1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,
(1 0.06332751),(2 0.10752103),(3 0.14632964),(4 0.18281956),(5 0.2183058),(6 0.25357533),(7 0.28614178),(8 0.31556034),(9 0.34536684),(10 0.3727835),(11 0.39810574),(12 0.42384347),(13 0.4485131),(14 0.47123647),(15 0.49622726),(16 0.520116),(17 0.5442875),(18 0.567471),(19 0.59002),(20 0.6121496),(21 0.63515854),(22 0.65520453),(23 0.6756427),(24 0.69389844),(25 0.7135243),(26 0.73243773),(27 0.74843377),(28 0.7639683),(29 0.7796069),(30 0.7954172),(31 0.8128271),(32 0.82714236),(33 0.843485),(34 0.858532),(35 0.87314266),(36 0.8878657),(37 0.903078),(38 0.9187588),(39 0.9350042),(40 0.9490078),(41 0.96335584),(42 0.97734),(43 0.99277174),(44 1.0091271),(45 1.0213925),(46 1.0347356),(47 1.048383),(48 1.0621756),(49 1.0751569),(50 1.0875154),(51 1.0999774),(52 1.1115472),(53 1.1213503),(54 1.1330227),(55 1.1439601),(56 1.1575693),(57 1.1691566),(58 1.1803731),(59 1.1909618),(60 1.2015556),(61 1.2094293),(62 1.2178972),(63 1.2274646),(64 1.2371608),(65 1.247631),(66 1.2572331),(67 1.2690132),(68 1.2795746),(69 1.2919263),(70 1.3049524),(71 1.3170159),(72 1.3307521),(73 1.3396517),(74 1.3504348),(75 1.3594412),(76 1.3691709),(77 1.3793236),(78 1.3876851),(79 1.3964459),
(1 0.1499497),(2 0.26718122),(3 0.3703793),(4 0.4686938),(5 0.56289876),(6 0.65181434),(7 0.7340168),(8 0.81157756),(9 0.8843108),(10 0.95450836),(11 1.017797),(12 1.0802748),(13 1.1376119),(14 1.1930752),(15 1.2519965),(16 1.3090602),(17 1.3617105),(18 1.4097627),(19 1.4561226),(20 1.4993706),(21 1.5426443),(22 1.5830657),(23 1.6203467),(24 1.6553146),(25 1.6940863),(26 1.732936),(27 1.7704414),(28 1.807298),(29 1.8418403),(30 1.8761389),(31 1.9121196),(32 1.9461696),(33 1.9826957),(34 2.015902),(35 2.0487247),(36 2.0807357),(37 2.1124356),(38 2.1420677),(39 2.168835),(40 2.1976748),(41 2.219419),(42 2.2421489),(43 2.2630131),(44 2.2837286),(45 2.3001063),(46 2.3186972),(47 2.3362372),(48 2.3532906),(49 2.3696918),(50 2.389002),(51 2.4071794),(52 2.4234324),(53 2.4386446),(54 2.4499998),(55 2.466049),(56 2.483234),(57 2.4974523),(58 2.5144777),(59 2.527238),(60 2.540051),(61 2.5533888),(62 2.5698676),(63 2.5857596),(64 2.598922),(65 2.6131523),(66 2.6279454),(67 2.6435666),(68 2.6612203),(69 2.6742947),(70 2.6905618),(71 2.704834),(72 2.721597),(73 2.7334187),(74 2.7476213),(75 2.7601218),(76 2.77181),(77 2.7835777),(78 2.794979),(79 2.8090212),
(1 0.25028726),(2 0.45263544),(3 0.6315304),(4 0.8019221),(5 0.9619442),(6 1.111113),(7 1.2488365),(8 1.3815699),(9 1.5061698),(10 1.6213183),(11 1.7257586),(12 1.8246944),(13 1.9228532),(14 2.0166557),(15 2.1081924),(16 2.1970022),(17 2.2771065),(18 2.3554983),(19 2.433151),(20 2.5054293),(21 2.5793169),(22 2.6507397),(23 2.7159479),(24 2.781265),(25 2.843869),(26 2.902555),(27 2.958606),(28 3.011815),(29 3.0665786),(30 3.1207707),(31 3.1725726),(32 3.2198503),(33 3.2675414),(34 3.3076782),(35 3.3433073),(36 3.382578),(37 3.416356),(38 3.445351),(39 3.4716196),(40 3.496855),(41 3.5163682),(42 3.5371592),(43 3.5565875),(44 3.5805132),(45 3.6017127),(46 3.625222),(47 3.6461103),(48 3.6694298),(49 3.688112),(50 3.708795),(51 3.728224),(52 3.7433124),(53 3.755824),(54 3.7690637),(55 3.782315),(56 3.7968407),(57 3.8048253),(58 3.815425),(59 3.8209035),(60 3.8278394),(61 3.8344245),(62 3.8444095),(63 3.8581378),(64 3.868616),(65 3.877792),(66 3.8842404),(67 3.8930788),(68 3.899517),(69 3.9116483),(70 3.9211588),(71 3.9289281),(72 3.937932),(73 3.9415967),(74 3.9457438),(75 3.9482133),(76 3.9518328),(77 3.956088),(78 3.9598858),(79 3.965942),
(1 0.5421425),(2 0.9855288),(3 1.3902236),(4 1.7611123),(5 2.1038456),(6 2.4201922),(7 2.7015917),(8 2.95791),(9 3.201945),(10 3.4208772),(11 3.625762),(12 3.8103068),(13 3.973663),(14 4.1367693),(15 4.2887506),(16 4.4317393),(17 4.5682244),(18 4.704449),(19 4.831434),(20 4.93699),(21 5.03358),(22 5.1352863),(23 5.22608),(24 5.3093643),(25 5.388334),(26 5.459767),(27 5.528123),(28 5.587861),(29 5.6549096),(30 5.7244606),(31 5.7953486),(32 5.859005),(33 5.924282),(34 5.9773107),(35 6.0230026),(36 6.0646844),(37 6.09832),(38 6.125189),(39 6.1514606),(40 6.182761),(41 6.2086153),(42 6.234423),(43 6.2519593),(44 6.278199),(45 6.2939167),(46 6.315279),(47 6.33726),(48 6.358459),(49 6.377956),(50 6.4003754),(51 6.424208),(52 6.4394846),(53 6.452127),(54 6.468844),(55 6.4779906),(56 6.4872336),(57 6.497845),(58 6.5078254),(59 6.513433),(60 6.519651),(61 6.523435),(62 6.536042),(63 6.5531163),(64 6.5619674),(65 6.5622926),(66 6.576824),(67 6.578592),(68 6.581234),(69 6.5866528),(70 6.588249),(71 6.5937366),(72 6.606752),(73 6.6148195),(74 6.6239734),(75 6.632377),(76 6.642985),(77 6.6421185),(78 6.6438556),(79 6.642072),
(1 0.86698145),(2 1.5732776),(3 2.192864),(4 2.7476995),(5 3.239112),(6 3.6714182),(7 4.048169),(8 4.3866158),(9 4.6948953),(10 4.9753914),(11 5.227336),(12 5.4523344),(13 5.644296),(14 5.8175673),(15 5.969602),(16 6.1160107),(17 6.248463),(18 6.376499),(19 6.487344),(20 6.5940986),(21 6.695582),(22 6.8021913),(23 6.890802),(24 6.970919),(25 7.0403585),(26 7.1037173),(27 7.1590405),(28 7.2118444),(29 7.276152),(30 7.331688),(31 7.393837),(32 7.459058),(33 7.516023),(34 7.5612955),(35 7.604673),(36 7.637294),(37 7.6674523),(38 7.700705),(39 7.734129),(40 7.758926),(41 7.7739987),(42 7.7933416),(43 7.8111644),(44 7.8445377),(45 7.858755),(46 7.8686733),(47 7.882112),(48 7.8959627),(49 7.8961973),(50 7.9020042),(51 7.907511),(52 7.890829),(53 7.8646526),(54 7.8476653),(55 7.833851),(56 7.836855),(57 7.838565),(58 7.85188),(59 7.8507113),(60 7.854917),(61 7.8637075),(62 7.869833),(63 7.873705),(64 7.879681),(65 7.8779416),(66 7.8730145),(67 7.8626657),(68 7.8593197),(69 7.8548684),(70 7.851215),(71 7.8555126),(72 7.8619766),(73 7.869329),(74 7.867909),(75 7.8612676),(76 7.861483),(77 7.856326),(78 7.8449945),(79 7.835051),
(1 1.0271742),(2 1.8496882),(3 2.5503552),(4 3.1569076),(5 3.67586),(6 4.1375513),(7 4.5301523),(8 4.8708587),(9 5.180115),(10 5.4496784),(11 5.6765823),(12 5.87297),(13 6.051835),(14 6.219707),(15 6.3769627),(16 6.5068984),(17 6.6394944),(18 6.7611413),(19 6.8529687),(20 6.925081),(21 6.9783893),(22 7.0500083),(23 7.1116395),(24 7.1666746),(25 7.213702),(26 7.2630577),(27 7.2873335),(28 7.2918396),(29 7.336306),(30 7.370717),(31 7.3968506),(32 7.4224687),(33 7.4429216),(34 7.455776),(35 7.468227),(36 7.481271),(37 7.5042963),(38 7.523391),(39 7.5371294),(40 7.52921),(41 7.5128202),(42 7.5159545),(43 7.5161533),(44 7.5449166),(45 7.548833),(46 7.548998),(47 7.5592346),(48 7.5825152),(49 7.6004133),(50 7.622025),(51 7.6340456),(52 7.6304474),(53 7.631415),(54 7.6253705),(55 7.615265),(56 7.6038604),(57 7.5841436),(58 7.5664544),(59 7.548851),(60 7.53793),(61 7.5194197),(62 7.511466),(63 7.51432),(64 7.5176225),(65 7.514627),(66 7.5054555),(67 7.504084),(68 7.5206485),(69 7.5454545),(70 7.548936),(71 7.5529),(72 7.562082),(73 7.57181),(74 7.5827594),(75 7.5894427),(76 7.5935073),(77 7.5992017),(78 7.598994),(79 7.5945935),
(1 1.658468),(2 2.93133),(3 3.9644053),(4 4.8064632),(5 5.513433),(6 6.097716),(7 6.5666237),(8 6.9586787),(9 7.288386),(10 7.5629525),(11 7.798278),(12 7.986235),(13 8.146174),(14 8.2930155),(15 8.429263),(16 8.548893),(17 8.640982),(18 8.754461),(19 8.835393),(20 8.897151),(21 8.958851),(22 9.022244),(23 9.081598),(24 9.124672),(25 9.1658325),(26 9.197149),(27 9.226371),(28 9.246217),(29 9.261866),(30 9.267471),(31 9.279099),(32 9.297253),(33 9.305624),(34 9.302888),(35 9.314913),(36 9.330114),(37 9.353684),(38 9.376596),(39 9.377044),(40 9.370057),(41 9.366198),(42 9.363842),(43 9.355261),(44 9.364463),(45 9.355896),(46 9.342578),(47 9.344919),(48 9.346547),(49 9.349731),(50 9.34232),(51 9.322355),(52 9.304964),(53 9.30698),(54 9.292544),(55 9.26085),(56 9.266227),(57 9.252873),(58 9.242262),(59 9.242283),(60 9.247578),(61 9.235942),(62 9.233564),(63 9.228007),(64 9.24439),(65 9.258369),(66 9.275781),(67 9.281192),(68 9.278652),(69 9.3039875),(70 9.33699),(71 9.370438),(72 9.411978),(73 9.445213),(74 9.459048),(75 9.47219),(76 9.492787),(77 9.49607),(78 9.475332),(79 9.467165),
(1 2.3360894),(2 4.06969),(3 5.4236927),(4 6.493999),(5 7.3567657),(6 8.023658),(7 8.565027),(8 9.006586),(9 9.346356),(10 9.607408),(11 9.836133),(12 10.028606),(13 10.177537),(14 10.289589),(15 10.398639),(16 10.468678),(17 10.531098),(18 10.576294),(19 10.5854),(20 10.594926),(21 10.602655),(22 10.639847),(23 10.69386),(24 10.722515),(25 10.752678),(26 10.78946),(27 10.820306),(28 10.814641),(29 10.818851),(30 10.802393),(31 10.799084),(32 10.7979355),(33 10.790103),(34 10.8116455),(35 10.825783),(36 10.82952),(37 10.842466),(38 10.853176),(39 10.860888),(40 10.878531),(41 10.86896),(42 10.874111),(43 10.870196),(44 10.88189),(45 10.881495),(46 10.879847),(47 10.859371),(48 10.863685),(49 10.858055),(50 10.863612),(51 10.892617),(52 10.888993),(53 10.888088),(54 10.892576),(55 10.896314),(56 10.898424),(57 10.905426),(58 10.91406),(59 10.904597),(60 10.893257),(61 10.883823),(62 10.872843),(63 10.858785),(64 10.856817),(65 10.86036),(66 10.849354),(67 10.865847),(68 10.894441),(69 10.90298),(70 10.925256),(71 10.92319),(72 10.944906),(73 10.977975),(74 10.989327),(75 10.976718),(76 10.955016),(77 10.945151),(78 10.921182),(79 10.91351),
(1 3.168772),(2 5.404974),(3 7.046656),(4 8.270497),(5 9.180344),(6 9.868292),(7 10.393072),(8 10.7934675),(9 11.10232),(10 11.35103),(11 11.540374),(12 11.630698),(13 11.7362385),(14 11.816297),(15 11.872819),(16 11.917792),(17 11.9482565),(18 11.967808),(19 11.974057),(20 11.974098),(21 11.971584),(22 12.017211),(23 12.049985),(24 12.087576),(25 12.099124),(26 12.11463),(27 12.135341),(28 12.135575),(29 12.140224),(30 12.127057),(31 12.104392),(32 12.097452),(33 12.099172),(34 12.093189),(35 12.101497),(36 12.107194),(37 12.132081),(38 12.135615),(39 12.127956),(40 12.098512),(41 12.103273),(42 12.109846),(43 12.134634),(44 12.153273),(45 12.156476),(46 12.165957),(47 12.17445),(48 12.194262),(49 12.19174),(50 12.198115),(51 12.180885),(52 12.176478),(53 12.162924),(54 12.141784),(55 12.1214),(56 12.101994),(57 12.07827),(58 12.073155),(59 12.062391),(60 12.059149),(61 12.073378),(62 12.091824),(63 12.090926),(64 12.0879345),(65 12.093185),(66 12.081839),(67 12.078545),(68 12.068062),(69 12.051628),(70 12.058003),(71 12.093699),(72 12.148368),(73 12.168284),(74 12.184011),(75 12.181849),(76 12.173753),(77 12.147556),(78 12.109985),(79 12.074196),
(1 3.8615212),(2 6.412857),(3 8.195797),(4 9.462351),(5 10.350563),(6 10.983612),(7 11.434372),(8 11.744718),(9 11.987315),(10 12.174792),(11 12.301644),(12 12.393483),(13 12.451493),(14 12.503577),(15 12.507259),(16 12.518758),(17 12.511244),(18 12.530827),(19 12.528953),(20 12.518189),(21 12.517667),(22 12.53136),(23 12.541507),(24 12.55435),(25 12.559012),(26 12.571179),(27 12.575302),(28 12.57766),(29 12.576444),(30 12.574993),(31 12.588757),(32 12.62661),(33 12.646932),(34 12.692368),(35 12.706343),(36 12.729134),(37 12.703133),(38 12.701052),(39 12.676378),(40 12.639617),(41 12.637593),(42 12.64918),(43 12.6523075),(44 12.663557),(45 12.638077),(46 12.611834),(47 12.619274),(48 12.64184),(49 12.661879),(50 12.690353),(51 12.694585),(52 12.694444),(53 12.681415),(54 12.666186),(55 12.670953),(56 12.676559),(57 12.679898),(58 12.69463),(59 12.696069),(60 12.717757),(61 12.727849),(62 12.737861),(63 12.736336),(64 12.749486),(65 12.75003),(66 12.772885),(67 12.795879),(68 12.7934),(69 12.779269),(70 12.774737),(71 12.778247),(72 12.778134),(73 12.761499),(74 12.757221),(75 12.741032),(76 12.738481),(77 12.716167),(78 12.695842),(79 12.706129),
(1 4.1134048),(2 6.663495),(3 8.372248),(4 9.507883),(5 10.229455),(6 10.703099),(7 11.043151),(8 11.299929),(9 11.475471),(10 11.610049),(11 11.716567),(12 11.7630005),(13 11.809538),(14 11.812051),(15 11.82847),(16 11.852022),(17 11.865116),(18 11.843225),(19 11.829229),(20 11.823691),(21 11.821683),(22 11.850094),(23 11.869246),(24 11.880472),(25 11.917918),(26 11.934873),(27 11.94514),(28 11.917063),(29 11.900609),(30 11.870793),(31 11.871454),(32 11.867955),(33 11.866052),(34 11.861334),(35 11.848497),(36 11.832259),(37 11.845664),(38 11.865791),(39 11.8864155),(40 11.904731),(41 11.916046),(42 11.910044),(43 11.9319),(44 11.894852),(45 11.861578),(46 11.825206),(47 11.844184),(48 11.880074),(49 11.893497),(50 11.899244),(51 11.897115),(52 11.903195),(53 11.897454),(54 11.873896),(55 11.881572),(56 11.872818),(57 11.872589),(58 11.871695),(59 11.844449),(60 11.82945),(61 11.825019),(62 11.81339),(63 11.832386),(64 11.832643),(65 11.870776),(66 11.882305),(67 11.881129),(68 11.878447),(69 11.862794),(70 11.855372),(71 11.824923),(72 11.821138),(73 11.825108),(74 11.801164),(75 11.783827),(76 11.765582),(77 11.749527),(78 11.762035),(79 11.775689),
