1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.025323827),(2 0.039637603),(3 0.05142039),(4 0.06264635),(5 0.07360377),(6 0.08410223),(7 0.09443599),(8 0.105189115),(9 0.11551942),(10 0.12559412),(11 0.13515736),(12 0.14553803),(13 0.15441889),(14 0.16399817),(15 0.17403117),(16 0.18360414),(17 0.1934878),(18 0.20215665),(19 0.21069078),(20 0.21923912),(21 0.22751024),(22 0.23584986),(23 0.24218868),(24 0.24944529),(25 0.25750074),(26 0.2641955),(27 0.27029642),(28 0.27863306),(29 0.28567022),(30 0.29180178),(31 0.298202),(32 0.30393574),(33 0.31064975),(34 0.3178512),(35 0.32505766),(36 0.33308628),(37 0.34061998),(38 0.3476632),(39 0.354841),(40 0.36134413),(41 0.3669983),(42 0.37294492),(43 0.3805625),(44 0.38730562),(45 0.39323908),(46 0.39965388),(47 0.40488878),(48 0.41044495),(49 0.41463408),(50 0.4201971),(51 0.42544383),(52 0.42959303),(53 0.43405318),(54 0.4389206),(55 0.442863),(56 0.44750088),(57 0.45323494),(58 0.45793486),(59 0.46320456),(60 0.46984017),(61 0.47599757),(62 0.48117647),(63 0.48617217),(64 0.49109855),(65 0.4946552),(66 0.499591),(67 0.50411046),(68 0.5077984),(69 0.51314473),(70 0.5189626),(71 0.5258809),(72 0.5314796),(73 0.53718346),(74 0.5435346),(75 0.5492058),(76 0.5531976),(77 0.5600547),(78 0.56514525),(79 0.5698432),
(1 0.06433371),(2 0.11030322),(3 0.15205494),(4 0.19066165),(5 0.2286885),(6 0.26738027),(7 0.3068426),(8 0.3478852),(9 0.3838434),(10 0.42012993),(11 0.45229825),(12 0.48627284),(13 0.5183643),(14 0.5494369),(15 0.58428204),(16 0.6173065),(17 0.6495179),(18 0.6818829),(19 0.71606195),(20 0.75079584),(21 0.7827768),(22 0.8152548),(23 0.8475501),(24 0.8774597),(25 0.9090605),(26 0.9406506),(27 0.97285175),(28 1.0064114),(29 1.03784),(30 1.0683157),(31 1.0986482),(32 1.127757),(33 1.1592141),(34 1.1922818),(35 1.225583),(36 1.2582208),(37 1.2882035),(38 1.3164158),(39 1.3450052),(40 1.3732826),(41 1.4000522),(42 1.426151),(43 1.4552082),(44 1.4818223),(45 1.5088376),(46 1.5359879),(47 1.5597613),(48 1.5870136),(49 1.6127713),(50 1.6363571),(51 1.6612543),(52 1.6816157),(53 1.705887),(54 1.7278098),(55 1.7481427),(56 1.771752),(57 1.7909902),(58 1.8113594),(59 1.8308963),(60 1.8506515),(61 1.8702443),(62 1.8897895),(63 1.9106891),(64 1.9281678),(65 1.945037),(66 1.9612479),(67 1.9788532),(68 1.9962622),(69 2.0162795),(70 2.0354788),(71 2.0545857),(72 2.0729425),(73 2.0885253),(74 2.1053162),(75 2.122518),(76 2.1387749),(77 2.155393),(78 2.1695282),(79 2.1830292),
(1 0.11421929),(2 0.20423433),(3 0.28938365),(4 0.36945328),(5 0.4480512),(6 0.5257826),(7 0.599287),(8 0.67550296),(9 0.7413872),(10 0.80437976),(11 0.8612526),(12 0.9131873),(13 0.9660354),(14 1.0175376),(15 1.0681591),(16 1.1248193),(17 1.1759651),(18 1.2246948),(19 1.2726774),(20 1.322252),(21 1.3721423),(22 1.4146223),(23 1.4563444),(24 1.499091),(25 1.5399803),(26 1.5805047),(27 1.6193311),(28 1.6563643),(29 1.6971554),(30 1.7377888),(31 1.7770166),(32 1.8110474),(33 1.8449093),(34 1.8740121),(35 1.9056593),(36 1.9337896),(37 1.9601289),(38 1.9871879),(39 2.0120773),(40 2.036526),(41 2.0591812),(42 2.0777404),(43 2.1020627),(44 2.1275225),(45 2.150921),(46 2.1764846),(47 2.2003818),(48 2.2277622),(49 2.2559445),(50 2.281518),(51 2.3031497),(52 2.3235652),(53 2.3439417),(54 2.3611126),(55 2.3788462),(56 2.4008536),(57 2.418486),(58 2.4288216),(59 2.4398637),(60 2.4475472),(61 2.4618042),(62 2.470003),(63 2.484769),(64 2.5012975),(65 2.5175016),(66 2.5331702),(67 2.5550582),(68 2.5794425),(69 2.6052492),(70 2.6323967),(71 2.6573362),(72 2.6796076),(73 2.6995795),(74 2.723876),(75 2.7506468),(76 2.7695425),(77 2.7919455),(78 2.810282),(79 2.8277986),
(1 0.25384185),(2 0.4715245),(3 0.6685546),(4 0.8550266),(5 1.0394008),(6 1.2208561),(7 1.389149),(8 1.5487815),(9 1.7007545),(10 1.8488904),(11 1.9816124),(12 2.1076527),(13 2.223103),(14 2.341861),(15 2.4512684),(16 2.5539768),(17 2.6504698),(18 2.7514715),(19 2.83966),(20 2.9304612),(21 3.015216),(22 3.1000366),(23 3.1778502),(24 3.2527707),(25 3.3287191),(26 3.3985064),(27 3.4667797),(28 3.523948),(29 3.587016),(30 3.6454442),(31 3.6960955),(32 3.748062),(33 3.8012102),(34 3.8565433),(35 3.9085414),(36 3.9575286),(37 4.006111),(38 4.049953),(39 4.093291),(40 4.1267095),(41 4.158394),(42 4.1905603),(43 4.2330155),(44 4.2701125),(45 4.298366),(46 4.3313046),(47 4.3562775),(48 4.380966),(49 4.403425),(50 4.4218903),(51 4.4396567),(52 4.450942),(53 4.4657087),(54 4.4761),(55 4.48978),(56 4.5099845),(57 4.5265617),(58 4.541896),(59 4.5580907),(60 4.5785503),(61 4.6036687),(62 4.632369),(63 4.6588497),(64 4.684641),(65 4.700837),(66 4.7223234),(67 4.7383633),(68 4.7536182),(69 4.767687),(70 4.7792273),(71 4.789969),(72 4.807819),(73 4.8187623),(74 4.8417377),(75 4.852603),(76 4.855888),(77 4.8521276),(78 4.850473),(79 4.8453074),
(1 0.4082095),(2 0.7571586),(3 1.0723494),(4 1.3632879),(5 1.6525992),(6 1.9296083),(7 2.1845999),(8 2.4294827),(9 2.6608315),(10 2.8831809),(11 3.089926),(12 3.285255),(13 3.4644494),(14 3.6306062),(15 3.7825978),(16 3.9355512),(17 4.0725217),(18 4.215649),(19 4.352886),(20 4.489032),(21 4.606786),(22 4.726514),(23 4.8353043),(24 4.9419184),(25 5.0478597),(26 5.1455255),(27 5.2430177),(28 5.334811),(29 5.4189625),(30 5.4891543),(31 5.5605674),(32 5.619404),(33 5.6827097),(34 5.748704),(35 5.8109994),(36 5.858807),(37 5.8974953),(38 5.937888),(39 5.9896636),(40 6.0160403),(41 6.0441995),(42 6.0694647),(43 6.097186),(44 6.1243153),(45 6.15225),(46 6.1776843),(47 6.208016),(48 6.23093),(49 6.25384),(50 6.27192),(51 6.2896504),(52 6.301669),(53 6.3014708),(54 6.3067327),(55 6.3135867),(56 6.320877),(57 6.3269343),(58 6.3371673),(59 6.353706),(60 6.3726563),(61 6.3910685),(62 6.4174905),(63 6.442344),(64 6.457392),(65 6.4725294),(66 6.494766),(67 6.5095463),(68 6.520938),(69 6.537481),(70 6.5377874),(71 6.5406756),(72 6.547149),(73 6.54064),(74 6.5362153),(75 6.523991),(76 6.510781),(77 6.4946547),(78 6.486874),(79 6.489535),
(1 0.49023864),(2 0.91282624),(3 1.3008934),(4 1.6459448),(5 1.9591435),(6 2.2573237),(7 2.5227978),(8 2.7607083),(9 2.989624),(10 3.1963897),(11 3.3903227),(12 3.5695436),(13 3.7369652),(14 3.9015362),(15 4.0604076),(16 4.203751),(17 4.3422737),(18 4.4719515),(19 4.602055),(20 4.7213545),(21 4.8384805),(22 4.9378934),(23 5.038727),(24 5.1273537),(25 5.201417),(26 5.258656),(27 5.32078),(28 5.3875284),(29 5.4576144),(30 5.520453),(31 5.5794096),(32 5.6284018),(33 5.677896),(34 5.7273345),(35 5.7664557),(36 5.803462),(37 5.828627),(38 5.8554773),(39 5.8775973),(40 5.884315),(41 5.880622),(42 5.8790283),(43 5.879973),(44 5.8957753),(45 5.8865743),(46 5.8834195),(47 5.878012),(48 5.885614),(49 5.884961),(50 5.8862004),(51 5.8836603),(52 5.8725524),(53 5.857666),(54 5.849503),(55 5.8263435),(56 5.80319),(57 5.777671),(58 5.7621675),(59 5.7333455),(60 5.7200556),(61 5.70876),(62 5.71037),(63 5.7246656),(64 5.728392),(65 5.7190895),(66 5.7078543),(67 5.695405),(68 5.687509),(69 5.697399),(70 5.7065377),(71 5.7096734),(72 5.717271),(73 5.728053),(74 5.7266755),(75 5.7210174),(76 5.710614),(77 5.7126718),(78 5.695519),(79 5.6940813),
(1 0.81322825),(2 1.4953594),(3 2.1100886),(4 2.6708262),(5 3.1741383),(6 3.6287422),(7 4.0289927),(8 4.3845453),(9 4.7083006),(10 4.989363),(11 5.2511415),(12 5.4807663),(13 5.683697),(14 5.876549),(15 6.045671),(16 6.19308),(17 6.312546),(18 6.440243),(19 6.5597878),(20 6.6587973),(21 6.7363777),(22 6.792988),(23 6.839527),(24 6.8899646),(25 6.9331994),(26 6.9878173),(27 7.0452056),(28 7.090485),(29 7.13556),(30 7.195646),(31 7.2362137),(32 7.291062),(33 7.347258),(34 7.407417),(35 7.4521294),(36 7.4861474),(37 7.49786),(38 7.5175233),(39 7.5215826),(40 7.5224185),(41 7.519775),(42 7.5209026),(43 7.5110955),(44 7.527058),(45 7.5321865),(46 7.54606),(47 7.553654),(48 7.5697913),(49 7.5661907),(50 7.575765),(51 7.585144),(52 7.570844),(53 7.5644245),(54 7.551934),(55 7.5472116),(56 7.5416617),(57 7.529805),(58 7.5086493),(59 7.4778776),(60 7.457175),(61 7.4506555),(62 7.454921),(63 7.4708858),(64 7.488345),(65 7.5003357),(66 7.5157104),(67 7.5009046),(68 7.504276),(69 7.513713),(70 7.5078573),(71 7.5027413),(72 7.5027747),(73 7.5211496),(74 7.5376325),(75 7.5479417),(76 7.5650744),(77 7.5830493),(78 7.606491),(79 7.6046658),
(1 1.1818564),(2 2.1373),(3 2.9754739),(4 3.718921),(5 4.3721833),(6 4.941223),(7 5.4297123),(8 5.8636193),(9 6.217531),(10 6.5316606),(11 6.8048816),(12 7.0402412),(13 7.257109),(14 7.450304),(15 7.599635),(16 7.7429595),(17 7.8646455),(18 7.9732833),(19 8.03584),(20 8.09929),(21 8.158101),(22 8.225842),(23 8.284522),(24 8.328948),(25 8.357947),(26 8.399378),(27 8.442894),(28 8.472821),(29 8.513563),(30 8.5560875),(31 8.580625),(32 8.5970955),(33 8.598541),(34 8.599656),(35 8.608576),(36 8.595125),(37 8.593465),(38 8.578866),(39 8.557236),(40 8.535601),(41 8.491194),(42 8.437525),(43 8.424292),(44 8.430992),(45 8.391254),(46 8.337676),(47 8.319685),(48 8.315264),(49 8.32601),(50 8.335309),(51 8.338366),(52 8.331088),(53 8.318434),(54 8.304207),(55 8.278539),(56 8.259997),(57 8.24476),(58 8.255276),(59 8.244709),(60 8.233619),(61 8.229478),(62 8.244429),(63 8.255356),(64 8.274176),(65 8.310367),(66 8.320071),(67 8.342077),(68 8.335123),(69 8.341457),(70 8.336764),(71 8.335126),(72 8.357105),(73 8.386187),(74 8.392834),(75 8.39303),(76 8.392573),(77 8.3839245),(78 8.347208),(79 8.323639),
(1 1.6538342),(2 2.9644706),(3 4.035219),(4 4.9223576),(5 5.670956),(6 6.3214736),(7 6.8481593),(8 7.293978),(9 7.7008104),(10 8.040007),(11 8.316718),(12 8.554943),(13 8.752465),(14 8.938388),(15 9.095805),(16 9.190995),(17 9.252844),(18 9.345537),(19 9.397186),(20 9.441107),(21 9.458434),(22 9.49526),(23 9.519273),(24 9.518494),(25 9.525797),(26 9.555461),(27 9.542499),(28 9.516934),(29 9.521215),(30 9.528749),(31 9.525865),(32 9.558641),(33 9.566926),(34 9.593324),(35 9.612212),(36 9.64417),(37 9.6801605),(38 9.698788),(39 9.6946945),(40 9.671729),(41 9.6835785),(42 9.711944),(43 9.739848),(44 9.776053),(45 9.781696),(46 9.815875),(47 9.817354),(48 9.804774),(49 9.788123),(50 9.793027),(51 9.779264),(52 9.72868),(53 9.7280855),(54 9.693573),(55 9.64493),(56 9.634183),(57 9.59058),(58 9.58196),(59 9.5715065),(60 9.576161),(61 9.547612),(62 9.546617),(63 9.5196495),(64 9.50737),(65 9.492106),(66 9.458487),(67 9.480408),(68 9.495984),(69 9.521979),(70 9.580503),(71 9.632494),(72 9.677913),(73 9.7339525),(74 9.768228),(75 9.791351),(76 9.798571),(77 9.807432),(78 9.837631),(79 9.833072),
(1 2.0377238),(2 3.609197),(3 4.8774014),(4 5.918549),(5 6.786096),(6 7.5190287),(7 8.085653),(8 8.493173),(9 8.818613),(10 9.084551),(11 9.301711),(12 9.48833),(13 9.619386),(14 9.744485),(15 9.830109),(16 9.933214),(17 10.001432),(18 10.103564),(19 10.1934595),(20 10.224092),(21 10.22978),(22 10.267849),(23 10.342979),(24 10.395369),(25 10.395528),(26 10.397411),(27 10.395177),(28 10.352007),(29 10.288635),(30 10.222106),(31 10.168147),(32 10.152411),(33 10.121643),(34 10.119575),(35 10.140016),(36 10.164646),(37 10.19235),(38 10.272781),(39 10.306218),(40 10.324606),(41 10.334153),(42 10.362455),(43 10.384588),(44 10.404685),(45 10.376407),(46 10.345709),(47 10.306466),(48 10.258336),(49 10.237437),(50 10.19809),(51 10.180655),(52 10.143304),(53 10.145816),(54 10.134289),(55 10.095356),(56 10.100836),(57 10.106573),(58 10.127958),(59 10.15593),(60 10.1728525),(61 10.171337),(62 10.159562),(63 10.154523),(64 10.123186),(65 10.088746),(66 10.082795),(67 10.088032),(68 10.097088),(69 10.094053),(70 10.105952),(71 10.114915),(72 10.13389),(73 10.1713295),(74 10.207711),(75 10.240105),(76 10.252323),(77 10.261461),(78 10.210613),(79 10.164204),
(1 2.1808429),(2 3.8399448),(3 5.1498275),(4 6.189469),(5 7.009408),(6 7.627059),(7 8.088176),(8 8.471888),(9 8.778229),(10 9.015864),(11 9.19805),(12 9.345319),(13 9.462723),(14 9.530509),(15 9.562986),(16 9.59059),(17 9.613586),(18 9.658993),(19 9.672819),(20 9.655996),(21 9.635686),(22 9.620771),(23 9.608466),(24 9.603307),(25 9.599244),(26 9.600282),(27 9.592418),(28 9.6076765),(29 9.62301),(30 9.639768),(31 9.65155),(32 9.686233),(33 9.677083),(34 9.67163),(35 9.679209),(36 9.691754),(37 9.740467),(38 9.7823925),(39 9.833969),(40 9.8495455),(41 9.858708),(42 9.848132),(43 9.8095875),(44 9.774379),(45 9.787551),(46 9.798101),(47 9.775928),(48 9.76973),(49 9.753685),(50 9.767646),(51 9.773812),(52 9.766559),(53 9.767847),(54 9.772364),(55 9.768144),(56 9.744436),(57 9.735378),(58 9.707804),(59 9.6929245),(60 9.65317),(61 9.6278925),(62 9.6018),(63 9.575804),(64 9.608421),(65 9.614329),(66 9.640542),(67 9.661456),(68 9.6806755),(69 9.706114),(70 9.742526),(71 9.793768),(72 9.876141),(73 9.950169),(74 9.991518),(75 10.023273),(76 10.011515),(77 10.031933),(78 9.988095),(79 9.958931),
