1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,
(1 0.03898223),(2 0.06104053),(3 0.0784936),(4 0.09245987),(5 0.1076931),(6 0.124444716),(7 0.13957904),(8 0.15366219),(9 0.16906661),(10 0.18405646),(11 0.19737825),(12 0.21049148),(13 0.2231005),(14 0.23444572),(15 0.24705544),(16 0.2580049),(17 0.27025235),(18 0.28098062),(19 0.29048875),(20 0.3004199),(21 0.31271747),(22 0.32447416),(23 0.33611327),(24 0.3478692),(25 0.35970736),(26 0.3717227),(27 0.38398844),(28 0.3962288),(29 0.40825585),(30 0.41896096),(31 0.42937353),(32 0.4396375),(33 0.44906607),(34 0.4580401),(35 0.46812272),(36 0.47907656),(37 0.4886891),(38 0.49873573),(39 0.5087541),(40 0.5180505),(41 0.52815443),(42 0.53599966),(43 0.54588836),(44 0.557604),(45 0.56723046),(46 0.5758286),(47 0.58715516),(48 0.598239),(49 0.61062694),(50 0.62064964),(51 0.6303355),(52 0.6381368),(53 0.6467972),(54 0.6546811),(55 0.66310585),(56 0.67322505),(57 0.6815727),(58 0.6896553),(59 0.6979304),(60 0.7049708),(61 0.710758),(62 0.7189116),(63 0.7281448),(64 0.738723),(65 0.7468946),(66 0.75672865),(67 0.7670802),(68 0.77836883),(69 0.7868202),(70 0.7954604),(71 0.8063056),(72 0.81883),(73 0.8288778),(74 0.83927727),(75 0.8510248),(76 0.861808),(77 0.8711441),(78 0.8845721),(79 0.8952827),
(1 0.09083574),(2 0.15006456),(3 0.20370512),(4 0.2528855),(5 0.3018749),(6 0.35138404),(7 0.39831483),(8 0.44547904),(9 0.49066585),(10 0.53875256),(11 0.5799195),(12 0.62116957),(13 0.66197217),(14 0.70403343),(15 0.7470589),(16 0.7878026),(17 0.830433),(18 0.8691227),(19 0.91081345),(20 0.9520434),(21 0.990945),(22 1.030374),(23 1.0669641),(24 1.1017151),(25 1.1400324),(26 1.1770477),(27 1.2118607),(28 1.2464474),(29 1.2793257),(30 1.3108776),(31 1.3407098),(32 1.3672515),(33 1.393196),(34 1.4175639),(35 1.4438682),(36 1.4681953),(37 1.4910992),(38 1.5163158),(39 1.5387732),(40 1.5595489),(41 1.5799131),(42 1.6003033),(43 1.6233656),(44 1.6458073),(45 1.6693273),(46 1.691513),(47 1.7140726),(48 1.7405498),(49 1.7672685),(50 1.7930773),(51 1.8221058),(52 1.8452647),(53 1.8698717),(54 1.8925524),(55 1.916175),(56 1.9418974),(57 1.9646872),(58 1.9864684),(59 2.010819),(60 2.0339127),(61 2.0587153),(62 2.0847778),(63 2.1093566),(64 2.1309352),(65 2.1495905),(66 2.1732934),(67 2.1945336),(68 2.215929),(69 2.2399247),(70 2.260878),(71 2.2830358),(72 2.303693),(73 2.3194199),(74 2.3386736),(75 2.357496),(76 2.3728504),(77 2.3926795),(78 2.412325),(79 2.4313843),
(1 0.1438707),(2 0.24957733),(3 0.3425526),(4 0.42717415),(5 0.5188742),(6 0.6045631),(7 0.6871698),(8 0.77083766),(9 0.85102314),(10 0.9303217),(11 1.0001898),(12 1.0774848),(13 1.152758),(14 1.2281086),(15 1.2990077),(16 1.3709545),(17 1.440986),(18 1.5154021),(19 1.5865241),(20 1.6547555),(21 1.7216814),(22 1.7861454),(23 1.8505725),(24 1.9046727),(25 1.958884),(26 2.0132804),(27 2.068304),(28 2.1201131),(29 2.170333),(30 2.222694),(31 2.2759132),(32 2.326642),(33 2.3741908),(34 2.426712),(35 2.4741163),(36 2.5218372),(37 2.5677922),(38 2.6197126),(39 2.6638937),(40 2.7014008),(41 2.7371938),(42 2.778061),(43 2.8172507),(44 2.8643563),(45 2.905844),(46 2.9440665),(47 2.9840095),(48 3.0273755),(49 3.06595),(50 3.1045213),(51 3.1457639),(52 3.178667),(53 3.2074425),(54 3.2347496),(55 3.2655978),(56 3.2959843),(57 3.324451),(58 3.3475595),(59 3.3776448),(60 3.402652),(61 3.4268858),(62 3.4561274),(63 3.4923015),(64 3.5197952),(65 3.5429494),(66 3.5687234),(67 3.5955322),(68 3.619687),(69 3.6451817),(70 3.6733294),(71 3.7051744),(72 3.7369246),(73 3.7615573),(74 3.794019),(75 3.8286295),(76 3.8552282),(77 3.8825932),(78 3.9146688),(79 3.9406137),
(1 0.31292486),(2 0.56241214),(3 0.788331),(4 1.0026124),(5 1.2202833),(6 1.4291965),(7 1.6250013),(8 1.8173838),(9 1.9992287),(10 2.1758597),(11 2.3423836),(12 2.502088),(13 2.6492007),(14 2.790718),(15 2.925826),(16 3.0587225),(17 3.1969469),(18 3.3279722),(19 3.4497797),(20 3.5627644),(21 3.683743),(22 3.7958229),(23 3.907113),(24 4.0233865),(25 4.1318026),(26 4.2384305),(27 4.336604),(28 4.434411),(29 4.5363193),(30 4.637764),(31 4.735632),(32 4.830222),(33 4.9227595),(34 5.0225725),(35 5.12399),(36 5.214291),(37 5.308916),(38 5.3975415),(39 5.4835076),(40 5.566726),(41 5.6563253),(42 5.739231),(43 5.818603),(44 5.908225),(45 5.984794),(46 6.06698),(47 6.150037),(48 6.240854),(49 6.3218627),(50 6.4038467),(51 6.4758735),(52 6.5372906),(53 6.5975003),(54 6.6512704),(55 6.713291),(56 6.768778),(57 6.8273787),(58 6.8725257),(59 6.9246573),(60 6.9679546),(61 7.017873),(62 7.071319),(63 7.1239805),(64 7.171961),(65 7.205837),(66 7.251223),(67 7.3040347),(68 7.3529854),(69 7.4049425),(70 7.4570765),(71 7.506951),(72 7.5542393),(73 7.598063),(74 7.640593),(75 7.6779876),(76 7.709267),(77 7.7467184),(78 7.787028),(79 7.826885),
(1 0.49608696),(2 0.9015726),(3 1.2798468),(4 1.6377207),(5 1.9834232),(6 2.310717),(7 2.6173644),(8 2.9009457),(9 3.1705601),(10 3.4361331),(11 3.6784918),(12 3.9079947),(13 4.1321774),(14 4.346407),(15 4.54852),(16 4.740288),(17 4.927451),(18 5.1110616),(19 5.2794333),(20 5.442267),(21 5.611427),(22 5.76524),(23 5.9148192),(24 6.057032),(25 6.2001104),(26 6.332669),(27 6.449852),(28 6.56207),(29 6.674149),(30 6.7878127),(31 6.9070077),(32 7.0176635),(33 7.125414),(34 7.2331796),(35 7.3385425),(36 7.438646),(37 7.523319),(38 7.613132),(39 7.70527),(40 7.7889504),(41 7.8695),(42 7.955115),(43 8.046916),(44 8.130343),(45 8.197058),(46 8.269898),(47 8.330676),(48 8.397399),(49 8.45098),(50 8.503362),(51 8.535717),(52 8.564913),(53 8.604491),(54 8.640945),(55 8.667882),(56 8.700761),(57 8.728885),(58 8.768649),(59 8.793556),(60 8.821271),(61 8.853837),(62 8.899917),(63 8.950211),(64 9.007905),(65 9.054347),(66 9.115109),(67 9.168772),(68 9.227185),(69 9.267727),(70 9.31144),(71 9.344883),(72 9.396785),(73 9.417955),(74 9.46295),(75 9.490818),(76 9.516338),(77 9.538901),(78 9.565902),(79 9.577629),
(1 0.58167005),(2 1.071593),(3 1.5187167),(4 1.940805),(5 2.357656),(6 2.7526894),(7 3.1392667),(8 3.5018682),(9 3.8327975),(10 4.152682),(11 4.451078),(12 4.726217),(13 4.9774914),(14 5.205654),(15 5.4263496),(16 5.639514),(17 5.847661),(18 6.064991),(19 6.2658362),(20 6.4489627),(21 6.637101),(22 6.8270316),(23 6.9956317),(24 7.149825),(25 7.2995825),(26 7.433255),(27 7.5832024),(28 7.7112103),(29 7.831002),(30 7.932558),(31 8.038245),(32 8.126656),(33 8.215251),(34 8.284011),(35 8.343374),(36 8.411105),(37 8.471617),(38 8.5196),(39 8.571804),(40 8.616201),(41 8.651095),(42 8.694971),(43 8.738852),(44 8.799036),(45 8.839797),(46 8.887081),(47 8.917613),(48 8.9609165),(49 8.987925),(50 9.02604),(51 9.057885),(52 9.08724),(53 9.100262),(54 9.112397),(55 9.130935),(56 9.154803),(57 9.179456),(58 9.196283),(59 9.196436),(60 9.198295),(61 9.204159),(62 9.2222395),(63 9.260324),(64 9.286887),(65 9.323588),(66 9.345485),(67 9.37196),(68 9.3989525),(69 9.423811),(70 9.444847),(71 9.473319),(72 9.51242),(73 9.529547),(74 9.556394),(75 9.558615),(76 9.555802),(77 9.558736),(78 9.567524),(79 9.588034),
(1 0.94827074),(2 1.7341063),(3 2.4666793),(4 3.1360686),(5 3.7558203),(6 4.33837),(7 4.8600726),(8 5.3355265),(9 5.8032017),(10 6.250938),(11 6.662238),(12 7.0486307),(13 7.3982058),(14 7.7228227),(15 8.038101),(16 8.349936),(17 8.62212),(18 8.891575),(19 9.129513),(20 9.346417),(21 9.5581665),(22 9.7646055),(23 9.969166),(24 10.166846),(25 10.337525),(26 10.479527),(27 10.609989),(28 10.728739),(29 10.849881),(30 10.982915),(31 11.1196785),(32 11.216757),(33 11.30899),(34 11.384965),(35 11.470319),(36 11.545548),(37 11.589757),(38 11.654176),(39 11.704002),(40 11.740074),(41 11.767586),(42 11.782433),(43 11.822492),(44 11.869929),(45 11.915716),(46 11.958226),(47 12.001851),(48 12.047493),(49 12.090355),(50 12.125),(51 12.178262),(52 12.180108),(53 12.1963825),(54 12.232482),(55 12.254602),(56 12.28559),(57 12.294733),(58 12.297426),(59 12.279287),(60 12.275489),(61 12.266303),(62 12.265073),(63 12.287177),(64 12.308289),(65 12.325327),(66 12.336837),(67 12.363594),(68 12.394383),(69 12.424027),(70 12.443608),(71 12.455459),(72 12.4665),(73 12.482857),(74 12.478725),(75 12.480732),(76 12.475644),(77 12.471006),(78 12.476512),(79 12.499907),
(1 1.3741926),(2 2.5352514),(3 3.5846605),(4 4.539598),(5 5.4206433),(6 6.214395),(7 6.9229174),(8 7.535491),(9 8.145361),(10 8.683505),(11 9.17059),(12 9.608613),(13 9.980574),(14 10.331447),(15 10.687349),(16 10.999891),(17 11.2923765),(18 11.571156),(19 11.850534),(20 12.103999),(21 12.337507),(22 12.547737),(23 12.76505),(24 12.976613),(25 13.170523),(26 13.364898),(27 13.524752),(28 13.710855),(29 13.865311),(30 14.055965),(31 14.226739),(32 14.353344),(33 14.48774),(34 14.613558),(35 14.702082),(36 14.77785),(37 14.821877),(38 14.856728),(39 14.906612),(40 14.969312),(41 14.996901),(42 15.0364275),(43 15.046254),(44 15.052783),(45 15.056368),(46 15.053982),(47 15.086318),(48 15.110369),(49 15.104399),(50 15.099328),(51 15.1205635),(52 15.138907),(53 15.115062),(54 15.1135235),(55 15.087414),(56 15.061498),(57 15.019612),(58 15.0088625),(59 14.974929),(60 14.916569),(61 14.877742),(62 14.908754),(63 14.931628),(64 14.923099),(65 14.887123),(66 14.864779),(67 14.824676),(68 14.774151),(69 14.740969),(70 14.714531),(71 14.679759),(72 14.654067),(73 14.668706),(74 14.639465),(75 14.61305),(76 14.585379),(77 14.590724),(78 14.578963),(79 14.554288),
(1 1.9064096),(2 3.5090878),(3 4.936402),(4 6.2513757),(5 7.393197),(6 8.417277),(7 9.306886),(8 10.098288),(9 10.8026495),(10 11.431837),(11 12.025687),(12 12.53543),(13 12.986943),(14 13.400916),(15 13.772889),(16 14.1072235),(17 14.412603),(18 14.708096),(19 14.911585),(20 15.08206),(21 15.216643),(22 15.331807),(23 15.420556),(24 15.495227),(25 15.568241),(26 15.627224),(27 15.678219),(28 15.739742),(29 15.839475),(30 15.955958),(31 16.048471),(32 16.11023),(33 16.163279),(34 16.204071),(35 16.211946),(36 16.229029),(37 16.254757),(38 16.300928),(39 16.301792),(40 16.278502),(41 16.25684),(42 16.303522),(43 16.331694),(44 16.416035),(45 16.449062),(46 16.465935),(47 16.5112),(48 16.583673),(49 16.626657),(50 16.68498),(51 16.677248),(52 16.659443),(53 16.667034),(54 16.679113),(55 16.686127),(56 16.659296),(57 16.635365),(58 16.595675),(59 16.486074),(60 16.436163),(61 16.406588),(62 16.377771),(63 16.367146),(64 16.389622),(65 16.417046),(66 16.45647),(67 16.432734),(68 16.407412),(69 16.436165),(70 16.444405),(71 16.451065),(72 16.43085),(73 16.435246),(74 16.444317),(75 16.446775),(76 16.480532),(77 16.474014),(78 16.499456),(79 16.4843),
(1 2.3671434),(2 4.3254905),(3 6.0529857),(4 7.5362473),(5 8.832186),(6 9.950594),(7 10.924611),(8 11.768558),(9 12.4879055),(10 13.134236),(11 13.706151),(12 14.228202),(13 14.698243),(14 15.087989),(15 15.43908),(16 15.801992),(17 16.098644),(18 16.333864),(19 16.522211),(20 16.679052),(21 16.78663),(22 16.921904),(23 17.054585),(24 17.14591),(25 17.228981),(26 17.308046),(27 17.341734),(28 17.394846),(29 17.454218),(30 17.49328),(31 17.517302),(32 17.584871),(33 17.622366),(34 17.606588),(35 17.633068),(36 17.639368),(37 17.668875),(38 17.681345),(39 17.666376),(40 17.645058),(41 17.575275),(42 17.519453),(43 17.474873),(44 17.517416),(45 17.500742),(46 17.487293),(47 17.494825),(48 17.52475),(49 17.584337),(50 17.621014),(51 17.604471),(52 17.59202),(53 17.599655),(54 17.563553),(55 17.520477),(56 17.507544),(57 17.510677),(58 17.493666),(59 17.489882),(60 17.494534),(61 17.485989),(62 17.485094),(63 17.474499),(64 17.515282),(65 17.535942),(66 17.492304),(67 17.457218),(68 17.378105),(69 17.360058),(70 17.315176),(71 17.3144),(72 17.332392),(73 17.321846),(74 17.306717),(75 17.334473),(76 17.36019),(77 17.349974),(78 17.32078),(79 17.281717),
(1 2.5689793),(2 4.6058826),(3 6.30181),(4 7.7831993),(5 8.997583),(6 10.083056),(7 10.977466),(8 11.74451),(9 12.399923),(10 12.938583),(11 13.413833),(12 13.847584),(13 14.1837225),(14 14.513579),(15 14.782085),(16 14.991181),(17 15.203882),(18 15.369739),(19 15.4415),(20 15.509344),(21 15.524935),(22 15.594916),(23 15.637587),(24 15.731617),(25 15.811071),(26 15.888449),(27 15.948029),(28 15.957409),(29 16.00898),(30 16.040667),(31 16.109661),(32 16.188627),(33 16.297977),(34 16.336006),(35 16.357256),(36 16.394129),(37 16.428503),(38 16.446335),(39 16.456501),(40 16.429619),(41 16.43034),(42 16.463139),(43 16.471857),(44 16.527359),(45 16.548964),(46 16.566624),(47 16.558805),(48 16.55708),(49 16.528103),(50 16.539934),(51 16.530659),(52 16.463902),(53 16.422987),(54 16.387655),(55 16.35395),(56 16.33926),(57 16.303408),(58 16.268032),(59 16.203075),(60 16.18664),(61 16.176838),(62 16.187386),(63 16.150295),(64 16.149218),(65 16.128174),(66 16.103003),(67 16.044079),(68 16.031557),(69 16.050905),(70 16.053469),(71 16.061758),(72 16.105583),(73 16.183498),(74 16.20719),(75 16.19716),(76 16.211054),(77 16.198196),(78 16.15802),(79 16.1261),
