1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,
(1 0.012424306),(2 0.017424053),(3 0.022531686),(4 0.0282035),(5 0.03213913),(6 0.03645),(7 0.04118855),(8 0.045436677),(9 0.049317375),(10 0.05273805),(11 0.05535924),(12 0.059141494),(13 0.062206056),(14 0.06562434),(15 0.06758585),(16 0.06935633),(17 0.0725567),(18 0.0751866),(19 0.076393545),(20 0.07792564),(21 0.08021513),(22 0.08312816),(23 0.08591624),(24 0.08879106),(25 0.09185123),(26 0.09399128),(27 0.09671279),(28 0.09982039),(29 0.1018329),(30 0.10420392),(31 0.10683367),(32 0.10851329),(33 0.11178747),(34 0.115360335),(35 0.118225366),(36 0.120724864),(37 0.12340527),(38 0.12780409),(39 0.1311656),(40 0.13329063),(41 0.13588014),(42 0.13848017),(43 0.140466),(44 0.1429711),(45 0.14550012),(46 0.1491066),(47 0.15123914),(48 0.15189898),(49 0.15401722),(50 0.15672521),(51 0.15892386),(52 0.16143854),(53 0.16430922),(54 0.1684301),(55 0.17120607),(56 0.17323197),(57 0.1760403),(58 0.17784107),(59 0.18033509),(60 0.18338655),(61 0.18588546),(62 0.18905373),(63 0.19107176),(64 0.192715),(65 0.19458108),(66 0.19709273),(67 0.19875705),(68 0.2005595),(69 0.20210429),(70 0.20337673),(71 0.20500752),(72 0.20646991),(73 0.2078243),(74 0.20945084),(75 0.21122359),(76 0.21165653),(77 0.21302661),(78 0.21428528),(79 0.21348576),
(1 0.027489124),(2 0.04171896),(3 0.058007985),(4 0.070957355),(5 0.08527852),(6 0.09946683),(7 0.11280727),(8 0.12641649),(9 0.13862939),(10 0.15144232),(11 0.16176249),(12 0.17457038),(13 0.18540432),(14 0.2007829),(15 0.21287978),(16 0.22646086),(17 0.23964062),(18 0.25230497),(19 0.26381645),(20 0.27425626),(21 0.28580925),(22 0.29871386),(23 0.31147337),(24 0.32430586),(25 0.3380903),(26 0.3491039),(27 0.36118546),(28 0.3721159),(29 0.38300964),(30 0.39272726),(31 0.4043322),(32 0.4143224),(33 0.42584985),(34 0.4373246),(35 0.45001104),(36 0.4605044),(37 0.4720507),(38 0.48370343),(39 0.49559247),(40 0.5071212),(41 0.51677686),(42 0.52663803),(43 0.5379119),(44 0.5480539),(45 0.55752176),(46 0.56814325),(47 0.576763),(48 0.5843995),(49 0.59440356),(50 0.60511523),(51 0.6130133),(52 0.62163705),(53 0.6312367),(54 0.64101714),(55 0.64826477),(56 0.6566738),(57 0.6650155),(58 0.6741266),(59 0.6817887),(60 0.69177383),(61 0.69964284),(62 0.7059121),(63 0.714431),(64 0.72268933),(65 0.7306626),(66 0.7383281),(67 0.745081),(68 0.7494908),(69 0.75520706),(70 0.7605865),(71 0.76708305),(72 0.77397937),(73 0.781035),(74 0.7869799),(75 0.79385805),(76 0.80081916),(77 0.80514663),(78 0.8134678),(79 0.81803524),
(1 0.047585405),(2 0.07796443),(3 0.11032984),(4 0.14117877),(5 0.17097004),(6 0.19670446),(7 0.22722773),(8 0.2554048),(9 0.27898613),(10 0.30100814),(11 0.32287207),(12 0.3454196),(13 0.36655155),(14 0.38930473),(15 0.41591588),(16 0.4438843),(17 0.46872497),(18 0.4942344),(19 0.5193867),(20 0.5461385),(21 0.57360697),(22 0.59980553),(23 0.62533313),(24 0.64703286),(25 0.67224354),(26 0.69549114),(27 0.7182428),(28 0.7415229),(29 0.76060843),(30 0.7802586),(31 0.8014282),(32 0.8197158),(33 0.8363563),(34 0.85385644),(35 0.8705603),(36 0.8850644),(37 0.90384495),(38 0.9220454),(39 0.93892604),(40 0.9568127),(41 0.97312343),(42 0.98948246),(43 1.0079852),(44 1.0255402),(45 1.041832),(46 1.0569816),(47 1.069501),(48 1.0823685),(49 1.0960107),(50 1.1139674),(51 1.1305186),(52 1.1466252),(53 1.1628368),(54 1.1776551),(55 1.1902729),(56 1.2053462),(57 1.222305),(58 1.2406132),(59 1.2541193),(60 1.2669542),(61 1.2775533),(62 1.2884347),(63 1.3018918),(64 1.3123685),(65 1.3218324),(66 1.3310614),(67 1.3402557),(68 1.3510336),(69 1.3629007),(70 1.3764231),(71 1.3953502),(72 1.4105206),(73 1.424411),(74 1.4417752),(75 1.4578501),(76 1.4712994),(77 1.4809961),(78 1.4911113),(79 1.4987879),
(1 0.09858332),(2 0.1767075),(3 0.25086087),(4 0.32057995),(5 0.39049363),(6 0.46105957),(7 0.5295846),(8 0.59934396),(9 0.66584194),(10 0.729539),(11 0.7847019),(12 0.84283084),(13 0.9003932),(14 0.95695335),(15 1.0154387),(16 1.0783597),(17 1.1395591),(18 1.2010295),(19 1.2618679),(20 1.3246442),(21 1.3827444),(22 1.4396082),(23 1.5011579),(24 1.5651026),(25 1.6262931),(26 1.6832614),(27 1.7340786),(28 1.7868378),(29 1.8341745),(30 1.8820869),(31 1.9272242),(32 1.9731387),(33 2.020241),(34 2.0706012),(35 2.12193),(36 2.1703608),(37 2.2197325),(38 2.2626102),(39 2.3056464),(40 2.353603),(41 2.39861),(42 2.4391363),(43 2.484768),(44 2.5303574),(45 2.5748537),(46 2.6155565),(47 2.650046),(48 2.6874228),(49 2.7207837),(50 2.751314),(51 2.7858052),(52 2.8154452),(53 2.8483562),(54 2.8686278),(55 2.8942914),(56 2.9220476),(57 2.9457989),(58 2.968969),(59 2.98844),(60 3.0080712),(61 3.0271797),(62 3.05552),(63 3.0779912),(64 3.0981414),(65 3.1148994),(66 3.134119),(67 3.149888),(68 3.1727893),(69 3.195646),(70 3.209519),(71 3.2284408),(72 3.2412376),(73 3.2554722),(74 3.2663827),(75 3.2825458),(76 3.2991672),(77 3.3108099),(78 3.3147905),(79 3.3138273),
(1 0.15013269),(2 0.27501523),(3 0.39675325),(4 0.5119172),(5 0.6292885),(6 0.74327207),(7 0.85001373),(8 0.9618066),(9 1.0663139),(10 1.1650269),(11 1.2664261),(12 1.372065),(13 1.4750291),(14 1.5780579),(15 1.6791788),(16 1.7843169),(17 1.8794571),(18 1.978251),(19 2.075719),(20 2.174569),(21 2.2691135),(22 2.3602498),(23 2.4497128),(24 2.5435915),(25 2.6361914),(26 2.7299356),(27 2.8130867),(28 2.8938806),(29 2.975793),(30 3.054626),(31 3.1276517),(32 3.2005632),(33 3.2669194),(34 3.3355927),(35 3.4038534),(36 3.4643478),(37 3.5271833),(38 3.5880666),(39 3.6461117),(40 3.704219),(41 3.7550998),(42 3.8019814),(43 3.8539295),(44 3.9101906),(45 3.9612458),(46 4.0147777),(47 4.0655017),(48 4.1302166),(49 4.185279),(50 4.2304096),(51 4.2756963),(52 4.3151693),(53 4.3511896),(54 4.3758883),(55 4.405174),(56 4.4392457),(57 4.470271),(58 4.498422),(59 4.532564),(60 4.5680394),(61 4.599253),(62 4.629684),(63 4.6606107),(64 4.685757),(65 4.7093816),(66 4.7342243),(67 4.7768674),(68 4.8142433),(69 4.849512),(70 4.887169),(71 4.9176197),(72 4.94941),(73 4.980879),(74 5.0113072),(75 5.0462537),(76 5.073665),(77 5.0965443),(78 5.1244493),(79 5.146274),
(1 0.1854788),(2 0.33837253),(3 0.48504877),(4 0.6230528),(5 0.7677969),(6 0.909758),(7 1.0497894),(8 1.1865879),(9 1.2982025),(10 1.41868),(11 1.5204256),(12 1.6153713),(13 1.7085156),(14 1.807448),(15 1.8954645),(16 1.9717045),(17 2.0405848),(18 2.1095629),(19 2.168761),(20 2.2318196),(21 2.2922292),(22 2.3553393),(23 2.416719),(24 2.4737685),(25 2.5363472),(26 2.596558),(27 2.6616647),(28 2.720047),(29 2.7838223),(30 2.842933),(31 2.8913653),(32 2.9344215),(33 2.9721475),(34 3.0122106),(35 3.0519173),(36 3.0891886),(37 3.1316288),(38 3.175952),(39 3.2183483),(40 3.2589319),(41 3.2865741),(42 3.3275573),(43 3.3621023),(44 3.39257),(45 3.4325926),(46 3.4826784),(47 3.5184283),(48 3.5501614),(49 3.5897079),(50 3.6337144),(51 3.6644628),(52 3.6969547),(53 3.7337086),(54 3.7776973),(55 3.8195877),(56 3.8624887),(57 3.9072711),(58 3.952419),(59 3.9930763),(60 4.029257),(61 4.0711036),(62 4.114172),(63 4.1577845),(64 4.1943197),(65 4.228042),(66 4.265018),(67 4.3047857),(68 4.344817),(69 4.3767653),(70 4.410354),(71 4.4460816),(72 4.48379),(73 4.5085855),(74 4.5440774),(75 4.5771093),(76 4.5965586),(77 4.6227427),(78 4.6582785),(79 4.685562),
(1 0.29905677),(2 0.5442607),(3 0.77306974),(4 1.0045338),(5 1.2275176),(6 1.4450701),(7 1.6393182),(8 1.8281977),(9 2.0013914),(10 2.1683753),(11 2.3216946),(12 2.4708593),(13 2.6192517),(14 2.7654896),(15 2.8984258),(16 3.0227418),(17 3.1389492),(18 3.2617898),(19 3.377129),(20 3.495689),(21 3.6080701),(22 3.7132413),(23 3.8059409),(24 3.8840828),(25 3.9896493),(26 4.093109),(27 4.1936193),(28 4.288127),(29 4.3873625),(30 4.4793944),(31 4.5754924),(32 4.679507),(33 4.758067),(34 4.826703),(35 4.8954015),(36 4.9554825),(37 5.0236363),(38 5.086931),(39 5.158745),(40 5.22301),(41 5.2833014),(42 5.3554263),(43 5.421421),(44 5.4894543),(45 5.5226927),(46 5.560626),(47 5.572348),(48 5.593693),(49 5.6167564),(50 5.6438513),(51 5.666615),(52 5.684266),(53 5.7021294),(54 5.729523),(55 5.7474365),(56 5.7663593),(57 5.788391),(58 5.8024254),(59 5.817458),(60 5.8312936),(61 5.8572273),(62 5.8888135),(63 5.92587),(64 5.9690013),(65 5.992934),(66 6.0314984),(67 6.031895),(68 6.039543),(69 6.030701),(70 6.0277243),(71 6.035228),(72 6.0398073),(73 6.0419607),(74 6.0461526),(75 6.0506387),(76 6.0466795),(77 6.037755),(78 6.046149),(79 6.059381),
(1 0.42145213),(2 0.7975493),(3 1.1488152),(4 1.4675006),(5 1.7915266),(6 2.1110783),(7 2.3958228),(8 2.6740713),(9 2.947697),(10 3.202946),(11 3.450321),(12 3.709754),(13 3.9547222),(14 4.191947),(15 4.40824),(16 4.6122127),(17 4.7942324),(18 4.984421),(19 5.1480927),(20 5.299512),(21 5.445862),(22 5.5972896),(23 5.7303996),(24 5.859555),(25 5.9687614),(26 6.078739),(27 6.204359),(28 6.3235593),(29 6.4371862),(30 6.519),(31 6.6025715),(32 6.677726),(33 6.762097),(34 6.85036),(35 6.9030685),(36 6.9641576),(37 6.9990573),(38 7.0453954),(39 7.094047),(40 7.116563),(41 7.1560817),(42 7.1838737),(43 7.2218065),(44 7.2806845),(45 7.333335),(46 7.3936315),(47 7.454179),(48 7.4959707),(49 7.5268273),(50 7.580866),(51 7.6244445),(52 7.6521893),(53 7.697003),(54 7.7346644),(55 7.7826576),(56 7.8142843),(57 7.8451953),(58 7.875553),(59 7.9050937),(60 7.924349),(61 7.942178),(62 7.981024),(63 8.010573),(64 8.014163),(65 8.0065975),(66 8.023902),(67 8.027168),(68 8.038055),(69 8.037087),(70 8.029742),(71 8.030989),(72 8.054584),(73 8.054737),(74 8.069662),(75 8.083986),(76 8.076737),(77 8.0697),(78 8.05599),(79 8.043278),
(1 0.5895791),(2 1.0898126),(3 1.544172),(4 1.971976),(5 2.361212),(6 2.7251651),(7 3.0287845),(8 3.317264),(9 3.5949287),(10 3.862534),(11 4.1176443),(12 4.3456073),(13 4.5591164),(14 4.747751),(15 4.9296074),(16 5.126382),(17 5.301452),(18 5.4852414),(19 5.6676764),(20 5.8456597),(21 6.0096054),(22 6.149768),(23 6.280953),(24 6.3974905),(25 6.4880247),(26 6.578884),(27 6.663502),(28 6.744971),(29 6.8153157),(30 6.8902054),(31 6.9610996),(32 7.02908),(33 7.0849314),(34 7.145884),(35 7.200163),(36 7.245041),(37 7.2898088),(38 7.326846),(39 7.360692),(40 7.365944),(41 7.372419),(42 7.376947),(43 7.380187),(44 7.38894),(45 7.4002542),(46 7.4308805),(47 7.441995),(48 7.4644456),(49 7.4933333),(50 7.5166693),(51 7.518745),(52 7.50888),(53 7.507361),(54 7.5116544),(55 7.521877),(56 7.5501027),(57 7.575878),(58 7.631012),(59 7.6757813),(60 7.732294),(61 7.7817426),(62 7.831299),(63 7.882178),(64 7.9374766),(65 7.97009),(66 7.9992557),(67 8.043362),(68 8.102493),(69 8.166387),(70 8.206782),(71 8.271805),(72 8.327029),(73 8.354613),(74 8.384113),(75 8.383203),(76 8.382762),(77 8.360159),(78 8.369027),(79 8.372066),
(1 0.7556407),(2 1.4210303),(3 2.0222304),(4 2.5788414),(5 3.100348),(6 3.5981295),(7 3.9890583),(8 4.343689),(9 4.6761813),(10 4.9938555),(11 5.285978),(12 5.5394597),(13 5.7957172),(14 6.0504775),(15 6.307185),(16 6.5430636),(17 6.7743473),(18 7.007049),(19 7.2085996),(20 7.400592),(21 7.5778265),(22 7.7590055),(23 7.95744),(24 8.144951),(25 8.302321),(26 8.416671),(27 8.55035),(28 8.667014),(29 8.80936),(30 8.919992),(31 9.050059),(32 9.146403),(33 9.232796),(34 9.321037),(35 9.363737),(36 9.375388),(37 9.360219),(38 9.372139),(39 9.365046),(40 9.3575115),(41 9.339832),(42 9.299015),(43 9.290089),(44 9.277102),(45 9.262314),(46 9.279537),(47 9.285093),(48 9.292527),(49 9.315397),(50 9.333745),(51 9.301495),(52 9.241205),(53 9.155163),(54 9.124298),(55 9.062139),(56 9.026622),(57 9.000518),(58 8.999967),(59 8.991008),(60 9.005519),(61 9.019744),(62 9.069824),(63 9.144734),(64 9.181585),(65 9.184718),(66 9.194673),(67 9.197615),(68 9.178848),(69 9.191839),(70 9.221154),(71 9.250897),(72 9.273298),(73 9.288876),(74 9.300234),(75 9.299513),(76 9.285149),(77 9.2583475),(78 9.234021),(79 9.203513),
(1 0.8134562),(2 1.5103217),(3 2.1586998),(4 2.748889),(5 3.3070185),(6 3.8536448),(7 4.3333626),(8 4.7433214),(9 5.1439443),(10 5.5244575),(11 5.8347287),(12 6.106911),(13 6.3626475),(14 6.5926),(15 6.814612),(16 7.0033393),(17 7.146653),(18 7.3254232),(19 7.453706),(20 7.5552073),(21 7.6438904),(22 7.739046),(23 7.8535695),(24 7.9335117),(25 8.0142),(26 8.111859),(27 8.188304),(28 8.30349),(29 8.369695),(30 8.450621),(31 8.490983),(32 8.555715),(33 8.613624),(34 8.679532),(35 8.736374),(36 8.767627),(37 8.789634),(38 8.824382),(39 8.853503),(40 8.860848),(41 8.861267),(42 8.883848),(43 8.939767),(44 8.994892),(45 9.032091),(46 9.0733595),(47 9.152867),(48 9.187898),(49 9.199495),(50 9.229275),(51 9.241283),(52 9.279383),(53 9.299016),(54 9.312376),(55 9.295945),(56 9.274954),(57 9.247269),(58 9.210172),(59 9.169669),(60 9.114765),(61 9.09585),(62 9.091362),(63 9.076721),(64 9.017856),(65 8.962664),(66 8.909307),(67 8.896954),(68 8.875804),(69 8.872869),(70 8.856989),(71 8.83254),(72 8.813129),(73 8.790026),(74 8.781563),(75 8.793552),(76 8.807054),(77 8.824613),(78 8.819761),(79 8.809868),
