1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,
(1 0.024234403),(2 0.03385691),(3 0.043478694),(4 0.0489033),(5 0.0606076),(6 0.06791229),(7 0.07577473),(8 0.079643555),(9 0.08963986),(10 0.09729654),(11 0.103894256),(12 0.10751267),(13 0.11468652),(14 0.11934053),(15 0.12456701),(16 0.12714988),(17 0.1348413),(18 0.13883315),(19 0.14251012),(20 0.14486201),(21 0.15239479),(22 0.15457304),(23 0.15992577),(24 0.16087152),(25 0.16787809),(26 0.17101495),(27 0.17715493),(28 0.18047765),(29 0.18832831),(30 0.19182765),(31 0.1987702),(32 0.20107786),(33 0.20837827),(34 0.21261716),(35 0.2164413),(36 0.21988246),(37 0.22578576),(38 0.23078471),(39 0.23624112),(40 0.23872732),(41 0.24557506),(42 0.24854174),(43 0.25573957),(44 0.25866225),(45 0.2644693),(46 0.2672402),(47 0.27140522),(48 0.27268124),(49 0.27930063),(50 0.28285718),(51 0.2875007),(52 0.2880419),(53 0.2930401),(54 0.29700094),(55 0.30014864),(56 0.30321187),(57 0.30880028),(58 0.31362265),(59 0.31766167),(60 0.31893867),(61 0.3258022),(62 0.3304146),(63 0.3347651),(64 0.33430734),(65 0.34126738),(66 0.34459218),(67 0.34806505),(68 0.348076),(69 0.3519224),(70 0.3539423),(71 0.35619304),(72 0.35537425),(73 0.36012658),(74 0.3613948),(75 0.36436382),(76 0.3645521),(77 0.36947036),(78 0.37270248),(79 0.37595946),
(1 0.04137206),(2 0.06357122),(3 0.083999015),(4 0.101100974),(5 0.12072604),(6 0.13989277),(7 0.15873182),(8 0.17604074),(9 0.19279975),(10 0.21124096),(11 0.22832483),(12 0.2452224),(13 0.26001325),(14 0.27531004),(15 0.28867516),(16 0.3047218),(17 0.3226476),(18 0.33907568),(19 0.35076845),(20 0.36668438),(21 0.38259622),(22 0.39791173),(23 0.4102402),(24 0.42556033),(25 0.43912572),(26 0.4521963),(27 0.46590927),(28 0.48082876),(29 0.49404165),(30 0.5070299),(31 0.521926),(32 0.5350093),(33 0.54927605),(34 0.5625519),(35 0.5751926),(36 0.58915424),(37 0.6022841),(38 0.6161605),(39 0.62885624),(40 0.6407058),(41 0.6534608),(42 0.66414255),(43 0.67917126),(44 0.6906252),(45 0.7012506),(46 0.7113877),(47 0.7197019),(48 0.7309696),(49 0.74255806),(50 0.75601125),(51 0.76703405),(52 0.7781401),(53 0.7900561),(54 0.8023437),(55 0.81480306),(56 0.82739663),(57 0.84145564),(58 0.8532754),(59 0.86352026),(60 0.8736644),(61 0.8820347),(62 0.8926312),(63 0.9059272),(64 0.9160193),(65 0.92945564),(66 0.9396365),(67 0.95140296),(68 0.96169657),(69 0.97448957),(70 0.9867478),(71 0.9975411),(72 1.0073818),(73 1.017694),(74 1.0270113),(75 1.0399867),(76 1.0515484),(77 1.0655781),(78 1.0804706),(79 1.0929497),
(1 0.06442789),(2 0.10267683),(3 0.13805008),(4 0.17049704),(5 0.20197849),(6 0.23505023),(7 0.26735932),(8 0.29743457),(9 0.32765672),(10 0.3596672),(11 0.38647985),(12 0.4128265),(13 0.43944025),(14 0.46581617),(15 0.49542266),(16 0.5227931),(17 0.5509479),(18 0.5786974),(19 0.6051924),(20 0.63196474),(21 0.66201943),(22 0.6884475),(23 0.7126122),(24 0.7373865),(25 0.76234055),(26 0.7888928),(27 0.81488925),(28 0.839214),(29 0.86281043),(30 0.88372713),(31 0.9060084),(32 0.9326014),(33 0.95994467),(34 0.9853773),(35 1.0111289),(36 1.0350376),(37 1.0578569),(38 1.0824476),(39 1.1041179),(40 1.1245852),(41 1.1482766),(42 1.1682775),(43 1.1971538),(44 1.2211729),(45 1.2442516),(46 1.2673111),(47 1.28903),(48 1.3131472),(49 1.3413752),(50 1.3681456),(51 1.3912885),(52 1.4131942),(53 1.432903),(54 1.4574918),(55 1.4822482),(56 1.5077621),(57 1.5355603),(58 1.5615656),(59 1.5823431),(60 1.6071836),(61 1.632078),(62 1.6550655),(63 1.6779883),(64 1.6983945),(65 1.7217779),(66 1.7418927),(67 1.7667148),(68 1.7890958),(69 1.8142185),(70 1.8346397),(71 1.8565308),(72 1.884259),(73 1.9082328),(74 1.9289596),(75 1.9553618),(76 1.9818453),(77 2.0071185),(78 2.0314867),(79 2.0496974),
(1 0.12259766),(2 0.20694879),(3 0.2848489),(4 0.35713944),(5 0.43344203),(6 0.51210773),(7 0.5856939),(8 0.6559251),(9 0.7280819),(10 0.7982355),(11 0.86168176),(12 0.9298618),(13 0.996294),(14 1.0659131),(15 1.1388013),(16 1.2029213),(17 1.2662928),(18 1.3319339),(19 1.3970828),(20 1.4644122),(21 1.5274916),(22 1.5850805),(23 1.6482365),(24 1.7035567),(25 1.7626919),(26 1.8184136),(27 1.8788433),(28 1.9342649),(29 1.9849244),(30 2.0333455),(31 2.0853782),(32 2.1364458),(33 2.186568),(34 2.2340994),(35 2.2832985),(36 2.3337572),(37 2.3838937),(38 2.4371395),(39 2.4866853),(40 2.5334635),(41 2.5767717),(42 2.617311),(43 2.66062),(44 2.7037773),(45 2.7434418),(46 2.7802505),(47 2.8195755),(48 2.8596735),(49 2.8996098),(50 2.942476),(51 2.9882073),(52 3.0315874),(53 3.072735),(54 3.1143298),(55 3.1565065),(56 3.1964276),(57 3.2344108),(58 3.277229),(59 3.3113985),(60 3.341949),(61 3.3723197),(62 3.4025424),(63 3.4359806),(64 3.4569883),(65 3.484287),(66 3.5046818),(67 3.5263245),(68 3.5407858),(69 3.5652564),(70 3.5860052),(71 3.609009),(72 3.6397774),(73 3.6601324),(74 3.685007),(75 3.7082171),(76 3.7324376),(77 3.756866),(78 3.7820337),(79 3.8033686),
(1 0.18605952),(2 0.32070932),(3 0.44727942),(4 0.5691801),(5 0.68774474),(6 0.8062768),(7 0.92328715),(8 1.0351937),(9 1.1522609),(10 1.2695261),(11 1.3715414),(12 1.4757422),(13 1.5766222),(14 1.6744679),(15 1.7781711),(16 1.879492),(17 1.980637),(18 2.0912085),(19 2.1963015),(20 2.2995229),(21 2.4111254),(22 2.518473),(23 2.6273746),(24 2.733583),(25 2.8481972),(26 2.9524941),(27 3.0564005),(28 3.1580715),(29 3.258945),(30 3.3588555),(31 3.4606571),(32 3.5574098),(33 3.652101),(34 3.745869),(35 3.8373523),(36 3.9283009),(37 4.0237365),(38 4.122395),(39 4.218066),(40 4.3013263),(41 4.3811336),(42 4.4676642),(43 4.5546713),(44 4.635615),(45 4.717016),(46 4.7864323),(47 4.8531456),(48 4.924285),(49 5.00005),(50 5.0687838),(51 5.1353817),(52 5.1948633),(53 5.2540307),(54 5.3169994),(55 5.375344),(56 5.4427505),(57 5.504039),(58 5.5539308),(59 5.60774),(60 5.653521),(61 5.7047567),(62 5.7546406),(63 5.8063393),(64 5.846303),(65 5.878573),(66 5.916129),(67 5.949725),(68 5.990067),(69 6.0326476),(70 6.080288),(71 6.1269617),(72 6.177701),(73 6.216008),(74 6.2570944),(75 6.2976346),(76 6.333756),(77 6.381978),(78 6.418257),(79 6.4489822),
(1 0.21160151),(2 0.3694477),(3 0.5148239),(4 0.65037644),(5 0.7863805),(6 0.92579955),(7 1.0561206),(8 1.1873614),(9 1.3107759),(10 1.4287435),(11 1.5363319),(12 1.6529211),(13 1.7704446),(14 1.881858),(15 1.9938195),(16 2.107301),(17 2.216762),(18 2.33474),(19 2.4525528),(20 2.5661862),(21 2.669702),(22 2.769434),(23 2.8733668),(24 2.9859226),(25 3.0859036),(26 3.182104),(27 3.2737947),(28 3.379567),(29 3.481052),(30 3.5743837),(31 3.673432),(32 3.7797272),(33 3.8722901),(34 3.9675267),(35 4.0602994),(36 4.1496654),(37 4.2404184),(38 4.332006),(39 4.4199224),(40 4.5154595),(41 4.606451),(42 4.6901636),(43 4.788696),(44 4.8849854),(45 4.976776),(46 5.0729814),(47 5.1657867),(48 5.2548037),(49 5.3456435),(50 5.436968),(51 5.5360303),(52 5.619189),(53 5.704707),(54 5.779062),(55 5.858769),(56 5.943514),(57 6.023177),(58 6.0897927),(59 6.160461),(60 6.2204),(61 6.289496),(62 6.349543),(63 6.4114337),(64 6.457014),(65 6.5068865),(66 6.558914),(67 6.617437),(68 6.668804),(69 6.726354),(70 6.7772894),(71 6.823109),(72 6.865616),(73 6.909858),(74 6.955404),(75 7.005623),(76 7.0477285),(77 7.0890965),(78 7.1210012),(79 7.1527724),
(1 0.3281826),(2 0.5960239),(3 0.85725677),(4 1.116829),(5 1.3801312),(6 1.6392314),(7 1.8849922),(8 2.1332276),(9 2.3699167),(10 2.5942855),(11 2.8134716),(12 3.0257022),(13 3.2384028),(14 3.4409802),(15 3.6505625),(16 3.854469),(17 4.056729),(18 4.2475576),(19 4.4287076),(20 4.6073084),(21 4.7901835),(22 4.965566),(23 5.1324716),(24 5.306138),(25 5.4829574),(26 5.6586995),(27 5.8140655),(28 5.9773326),(29 6.134574),(30 6.289011),(31 6.430933),(32 6.5630093),(33 6.6950345),(34 6.828389),(35 6.9608574),(36 7.0961666),(37 7.2276196),(38 7.3474727),(39 7.4593606),(40 7.574971),(41 7.6814494),(42 7.76935),(43 7.8570037),(44 7.9518538),(45 8.0610285),(46 8.152329),(47 8.239488),(48 8.34144),(49 8.427088),(50 8.5127125),(51 8.58314),(52 8.6498375),(53 8.710491),(54 8.761212),(55 8.8284),(56 8.891956),(57 8.948245),(58 8.987632),(59 9.031019),(60 9.060465),(61 9.093509),(62 9.147192),(63 9.198497),(64 9.250607),(65 9.298573),(66 9.335629),(67 9.3853855),(68 9.433077),(69 9.482619),(70 9.546387),(71 9.610112),(72 9.671669),(73 9.73344),(74 9.810833),(75 9.876709),(76 9.945533),(77 10.025384),(78 10.083741),(79 10.146904),
(1 0.46868154),(2 0.8601453),(3 1.2321099),(4 1.5946509),(5 1.955293),(6 2.3089714),(7 2.640496),(8 2.9722416),(9 3.28392),(10 3.5801332),(11 3.856268),(12 4.139927),(13 4.395563),(14 4.658692),(15 4.914911),(16 5.1824317),(17 5.4634595),(18 5.728306),(19 5.972519),(20 6.2002144),(21 6.4366436),(22 6.6576333),(23 6.8659286),(24 7.069492),(25 7.275886),(26 7.481267),(27 7.65891),(28 7.8373747),(29 8.014297),(30 8.195669),(31 8.370223),(32 8.536052),(33 8.68335),(34 8.826962),(35 8.979417),(36 9.125119),(37 9.26296),(38 9.396992),(39 9.51152),(40 9.630522),(41 9.742669),(42 9.848781),(43 9.961987),(44 10.063189),(45 10.157166),(46 10.257417),(47 10.343704),(48 10.432358),(49 10.521096),(50 10.622088),(51 10.715934),(52 10.794),(53 10.872441),(54 10.94739),(55 11.014245),(56 11.097335),(57 11.166751),(58 11.234786),(59 11.296317),(60 11.360066),(61 11.429899),(62 11.49531),(63 11.563932),(64 11.646552),(65 11.715124),(66 11.790181),(67 11.885062),(68 12.003029),(69 12.090959),(70 12.174706),(71 12.25637),(72 12.3379755),(73 12.405019),(74 12.460039),(75 12.508175),(76 12.555603),(77 12.600117),(78 12.653801),(79 12.705774),
(1 0.65189046),(2 1.2027266),(3 1.7284925),(4 2.238483),(5 2.7505224),(6 3.2371328),(7 3.7258701),(8 4.2004285),(9 4.6204786),(10 5.0190973),(11 5.3869925),(12 5.712276),(13 6.046191),(14 6.374564),(15 6.689212),(16 6.9854007),(17 7.2644024),(18 7.5321884),(19 7.788595),(20 8.037326),(21 8.295994),(22 8.53642),(23 8.740059),(24 8.935066),(25 9.141812),(26 9.339881),(27 9.551448),(28 9.757214),(29 9.9623375),(30 10.151489),(31 10.364965),(32 10.555723),(33 10.749062),(34 10.916809),(35 11.098393),(36 11.272618),(37 11.429398),(38 11.58087),(39 11.734301),(40 11.89187),(41 12.054281),(42 12.2190275),(43 12.378626),(44 12.522113),(45 12.633514),(46 12.763667),(47 12.891275),(48 13.026764),(49 13.155795),(50 13.273455),(51 13.3845005),(52 13.482195),(53 13.582312),(54 13.677857),(55 13.779074),(56 13.890846),(57 13.981645),(58 14.064802),(59 14.15394),(60 14.23253),(61 14.322441),(62 14.413203),(63 14.510392),(64 14.58934),(65 14.677221),(66 14.776766),(67 14.850721),(68 14.932989),(69 15.012578),(70 15.1059675),(71 15.198056),(72 15.304583),(73 15.383018),(74 15.50657),(75 15.593979),(76 15.658426),(77 15.7035885),(78 15.754865),(79 15.804729),
(1 0.77969503),(2 1.4560947),(3 2.0699074),(4 2.6641278),(5 3.2371325),(6 3.7798471),(7 4.279961),(8 4.7777753),(9 5.265349),(10 5.7368426),(11 6.1791487),(12 6.616857),(13 7.034976),(14 7.4385424),(15 7.8438067),(16 8.219592),(17 8.598047),(18 8.945386),(19 9.267987),(20 9.581685),(21 9.912129),(22 10.205407),(23 10.472049),(24 10.742601),(25 10.998014),(26 11.263384),(27 11.518242),(28 11.734669),(29 11.932613),(30 12.12486),(31 12.311484),(32 12.476295),(33 12.6461525),(34 12.7968645),(35 12.930967),(36 13.078278),(37 13.210824),(38 13.357825),(39 13.519035),(40 13.658378),(41 13.789215),(42 13.915883),(43 14.048527),(44 14.1764145),(45 14.279841),(46 14.382321),(47 14.480555),(48 14.600412),(49 14.717439),(50 14.845138),(51 14.952342),(52 15.0653515),(53 15.1876545),(54 15.280338),(55 15.340027),(56 15.429827),(57 15.506338),(58 15.593727),(59 15.656802),(60 15.747218),(61 15.820265),(62 15.922017),(63 16.001787),(64 16.069944),(65 16.122835),(66 16.17392),(67 16.227888),(68 16.29905),(69 16.358946),(70 16.397324),(71 16.435497),(72 16.513842),(73 16.549246),(74 16.594248),(75 16.623783),(76 16.647879),(77 16.669952),(78 16.697926),(79 16.727365),
(1 0.85274905),(2 1.6022483),(3 2.316527),(4 3.0075233),(5 3.6869245),(6 4.3272233),(7 4.8973083),(8 5.4740205),(9 6.0139437),(10 6.5187635),(11 7.0174),(12 7.4903727),(13 7.906612),(14 8.300319),(15 8.667298),(16 9.041809),(17 9.40703),(18 9.757257),(19 10.08452),(20 10.417126),(21 10.73182),(22 11.004516),(23 11.269994),(24 11.508949),(25 11.728202),(26 11.927743),(27 12.116548),(28 12.295943),(29 12.481937),(30 12.682857),(31 12.854584),(32 13.03912),(33 13.208972),(34 13.363255),(35 13.491061),(36 13.635075),(37 13.753292),(38 13.859523),(39 13.987095),(40 14.073411),(41 14.119165),(42 14.145465),(43 14.192731),(44 14.2417345),(45 14.321097),(46 14.435315),(47 14.519323),(48 14.58011),(49 14.635203),(50 14.729638),(51 14.801112),(52 14.864786),(53 14.928255),(54 14.974512),(55 15.0197525),(56 15.059388),(57 15.096851),(58 15.145608),(59 15.174493),(60 15.199892),(61 15.212326),(62 15.271094),(63 15.353577),(64 15.440308),(65 15.501817),(66 15.579465),(67 15.63477),(68 15.704423),(69 15.740027),(70 15.772785),(71 15.773928),(72 15.790903),(73 15.769702),(74 15.771945),(75 15.724474),(76 15.680709),(77 15.661416),(78 15.672334),(79 15.68834),
