1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,
(1 0.4854467),(2 0.79013604),(3 1.0303233),(4 1.2188296),(5 1.3860228),(6 1.5208024),(7 1.6368548),(8 1.7441196),(9 1.8253473),(10 1.8987881),(11 1.9578961),(12 2.0147502),(13 2.0686235),(14 2.104238),(15 2.1370974),(16 2.1616468),(17 2.1912978),(18 2.22719),(19 2.2554216),(20 2.2817473),(21 2.308224),(22 2.3314574),(23 2.3466854),(24 2.3628418),(25 2.3712633),(26 2.371151),(27 2.3833964),(28 2.4000313),(29 2.4154043),(30 2.420639),(31 2.4270349),(32 2.4404576),(33 2.4402723),(34 2.4536757),(35 2.457841),(36 2.468891),(37 2.481083),(38 2.4948854),(39 2.4994955),(40 2.5066223),(41 2.520739),(42 2.53624),(43 2.5471776),(44 2.5546987),(45 2.5616286),(46 2.5703948),(47 2.5771914),(48 2.5825028),(49 2.5937557),(50 2.6205492),(51 2.6361122),(52 2.6405747),(53 2.6413808),(54 2.6428578),(55 2.6496441),(56 2.6516578),(57 2.6612904),(58 2.6674418),(59 2.6708796),(60 2.6731067),(61 2.6800373),(62 2.684069),(63 2.6820176),(64 2.6773436),(65 2.677444),(66 2.6744013),(67 2.667698),(68 2.6647623),(69 2.661654),(70 2.6672099),(71 2.674956),(72 2.6686618),(73 2.6695132),(74 2.6743367),(75 2.6829302),(76 2.678917),(77 2.6817868),(78 2.682527),(79 2.6802807),
(1 1.4554231),(2 2.2792792),(3 2.8228717),(4 3.2062123),(5 3.4777246),(6 3.6833184),(7 3.8451262),(8 3.9641361),(9 4.041288),(10 4.103316),(11 4.1459885),(12 4.1916704),(13 4.217401),(14 4.236602),(15 4.2448435),(16 4.242783),(17 4.241323),(18 4.2465982),(19 4.248091),(20 4.26342),(21 4.251394),(22 4.260485),(23 4.2522006),(24 4.259662),(25 4.2683754),(26 4.2735014),(27 4.273481),(28 4.2707872),(29 4.2879353),(30 4.2891226),(31 4.3011465),(32 4.3052564),(33 4.3085),(34 4.3357277),(35 4.3372693),(36 4.3324594),(37 4.341709),(38 4.342569),(39 4.3297024),(40 4.3249454),(41 4.3479986),(42 4.345559),(43 4.3481183),(44 4.333822),(45 4.320075),(46 4.320097),(47 4.3155694),(48 4.3270373),(49 4.354244),(50 4.3886776),(51 4.396624),(52 4.405707),(53 4.398068),(54 4.388381),(55 4.376294),(56 4.3625846),(57 4.3561625),(58 4.3279366),(59 4.3343663),(60 4.3441725),(61 4.3578105),(62 4.3679004),(63 4.363338),(64 4.3571463),(65 4.355146),(66 4.3449926),(67 4.3257627),(68 4.3183174),(69 4.3204513),(70 4.3226924),(71 4.3329773),(72 4.343324),(73 4.325468),(74 4.3392935),(75 4.3496475),(76 4.3436303),(77 4.3327036),(78 4.3339415),(79 4.3270454),
(1 2.6625512),(2 3.856971),(3 4.4530034),(4 4.777221),(5 4.976342),(6 5.098386),(7 5.198647),(8 5.2421727),(9 5.272608),(10 5.298743),(11 5.319593),(12 5.3362536),(13 5.3246098),(14 5.340595),(15 5.3243117),(16 5.301444),(17 5.305075),(18 5.3138685),(19 5.312839),(20 5.3167734),(21 5.3185525),(22 5.325098),(23 5.307844),(24 5.30176),(25 5.309633),(26 5.335538),(27 5.3334246),(28 5.3137684),(29 5.31571),(30 5.335415),(31 5.362227),(32 5.359418),(33 5.3493366),(34 5.3731546),(35 5.3771815),(36 5.389361),(37 5.38802),(38 5.3821397),(39 5.3750024),(40 5.385082),(41 5.374285),(42 5.319889),(43 5.3277435),(44 5.30153),(45 5.299569),(46 5.318604),(47 5.3283873),(48 5.3342347),(49 5.357234),(50 5.363387),(51 5.3706465),(52 5.369215),(53 5.3657174),(54 5.3630385),(55 5.337388),(56 5.3168015),(57 5.3182583),(58 5.3194733),(59 5.325932),(60 5.3042727),(61 5.30926),(62 5.327509),(63 5.35039),(64 5.342908),(65 5.342152),(66 5.3187814),(67 5.309155),(68 5.305143),(69 5.295776),(70 5.3076477),(71 5.3089685),(72 5.319774),(73 5.3213177),(74 5.3167353),(75 5.3087735),(76 5.296993),(77 5.3012714),(78 5.2842884),(79 5.2507367),
(1 5.3066697),(2 6.909875),(3 7.4551573),(4 7.6794686),(5 7.745581),(6 7.802719),(7 7.8325524),(8 7.8453565),(9 7.838618),(10 7.8869987),(11 7.8702917),(12 7.8991323),(13 7.9127393),(14 7.910844),(15 7.8860984),(16 7.890967),(17 7.886336),(18 7.8849115),(19 7.869901),(20 7.888997),(21 7.879281),(22 7.905958),(23 7.8951964),(24 7.8550525),(25 7.846512),(26 7.851552),(27 7.896535),(28 7.914824),(29 7.8840246),(30 7.844242),(31 7.848143),(32 7.852131),(33 7.8746753),(34 7.891483),(35 7.87141),(36 7.8442082),(37 7.8385277),(38 7.859276),(39 7.8791914),(40 7.8777537),(41 7.8321114),(42 7.839841),(43 7.823073),(44 7.7849956),(45 7.8074327),(46 7.8188267),(47 7.85939),(48 7.8590636),(49 7.8422246),(50 7.830903),(51 7.8121367),(52 7.8439074),(53 7.8437414),(54 7.8493204),(55 7.8490925),(56 7.894605),(57 7.860753),(58 7.8615384),(59 7.8572583),(60 7.8430014),(61 7.8306613),(62 7.8068514),(63 7.8080235),(64 7.8233995),(65 7.8382206),(66 7.8520103),(67 7.856012),(68 7.864361),(69 7.8528123),(70 7.894535),(71 7.867457),(72 7.865349),(73 7.8697305),(74 7.815358),(75 7.808948),(76 7.8422575),(77 7.8434405),(78 7.860315),(79 7.841837),
(1 7.5054603),(2 8.967591),(3 9.295951),(4 9.366782),(5 9.38709),(6 9.44503),(7 9.403337),(8 9.366485),(9 9.3677435),(10 9.392063),(11 9.360427),(12 9.379466),(13 9.40989),(14 9.406421),(15 9.371337),(16 9.440662),(17 9.417781),(18 9.4382105),(19 9.436712),(20 9.416697),(21 9.463863),(22 9.456578),(23 9.461818),(24 9.424861),(25 9.43408),(26 9.410635),(27 9.4796505),(28 9.482269),(29 9.412056),(30 9.409033),(31 9.414403),(32 9.394041),(33 9.382663),(34 9.397799),(35 9.402231),(36 9.422709),(37 9.374481),(38 9.4212265),(39 9.445221),(40 9.456925),(41 9.41466),(42 9.376514),(43 9.366134),(44 9.388259),(45 9.426584),(46 9.389802),(47 9.428802),(48 9.381506),(49 9.418656),(50 9.42428),(51 9.41646),(52 9.388956),(53 9.46197),(54 9.448202),(55 9.488819),(56 9.435408),(57 9.428345),(58 9.417768),(59 9.403539),(60 9.419663),(61 9.400409),(62 9.429293),(63 9.418548),(64 9.456567),(65 9.4640665),(66 9.439362),(67 9.42191),(68 9.454618),(69 9.41725),(70 9.400039),(71 9.3989725),(72 9.403309),(73 9.433796),(74 9.41986),(75 9.440689),(76 9.427509),(77 9.449425),(78 9.408112),(79 9.452358),
(1 7.486202),(2 8.311755),(3 8.419059),(4 8.421012),(5 8.409067),(6 8.466185),(7 8.476558),(8 8.43916),(9 8.455596),(10 8.456689),(11 8.475063),(12 8.450455),(13 8.468934),(14 8.447452),(15 8.422759),(16 8.405558),(17 8.454416),(18 8.461502),(19 8.454293),(20 8.44908),(21 8.487287),(22 8.44899),(23 8.475421),(24 8.447444),(25 8.438932),(26 8.449578),(27 8.485754),(28 8.459623),(29 8.4679),(30 8.454217),(31 8.473713),(32 8.430248),(33 8.46821),(34 8.48668),(35 8.478773),(36 8.47199),(37 8.448883),(38 8.437351),(39 8.436046),(40 8.458042),(41 8.421591),(42 8.393442),(43 8.410054),(44 8.465893),(45 8.481147),(46 8.417272),(47 8.429559),(48 8.415751),(49 8.451381),(50 8.46047),(51 8.426484),(52 8.426718),(53 8.404983),(54 8.417049),(55 8.3857975),(56 8.416591),(57 8.478642),(58 8.443957),(59 8.416546),(60 8.414276),(61 8.409911),(62 8.446964),(63 8.38721),(64 8.47272),(65 8.4341345),(66 8.428236),(67 8.440682),(68 8.435213),(69 8.466927),(70 8.412912),(71 8.413194),(72 8.41535),(73 8.427696),(74 8.449211),(75 8.472706),(76 8.448068),(77 8.431095),(78 8.394999),(79 8.420881),
(1 10.088581),(2 10.661571),(3 10.657779),(4 10.653573),(5 10.687536),(6 10.73703),(7 10.706332),(8 10.702353),(9 10.753658),(10 10.72539),(11 10.751396),(12 10.749855),(13 10.738171),(14 10.787062),(15 10.768954),(16 10.739956),(17 10.761828),(18 10.728145),(19 10.794252),(20 10.759505),(21 10.757707),(22 10.742281),(23 10.740393),(24 10.684562),(25 10.747945),(26 10.769293),(27 10.776908),(28 10.730798),(29 10.719982),(30 10.764988),(31 10.76039),(32 10.715001),(33 10.749524),(34 10.730962),(35 10.805995),(36 10.739648),(37 10.711816),(38 10.740022),(39 10.766341),(40 10.741913),(41 10.747118),(42 10.756226),(43 10.70884),(44 10.741961),(45 10.754537),(46 10.750813),(47 10.800109),(48 10.79187),(49 10.78558),(50 10.7748165),(51 10.742288),(52 10.757946),(53 10.755916),(54 10.747597),(55 10.763767),(56 10.727674),(57 10.722307),(58 10.74555),(59 10.738289),(60 10.71551),(61 10.738651),(62 10.743072),(63 10.755416),(64 10.773256),(65 10.76365),(66 10.763273),(67 10.752296),(68 10.765701),(69 10.769247),(70 10.742487),(71 10.779067),(72 10.828748),(73 10.837365),(74 10.824247),(75 10.780949),(76 10.796921),(77 10.791619),(78 10.783748),(79 10.78851),
(1 11.922295),(2 12.245323),(3 12.169442),(4 12.256922),(5 12.207448),(6 12.217139),(7 12.239747),(8 12.31869),(9 12.299218),(10 12.26961),(11 12.245536),(12 12.178005),(13 12.199145),(14 12.214742),(15 12.225351),(16 12.26208),(17 12.266859),(18 12.211479),(19 12.224495),(20 12.194958),(21 12.252401),(22 12.203275),(23 12.2246065),(24 12.243172),(25 12.244323),(26 12.222164),(27 12.26795),(28 12.185105),(29 12.230182),(30 12.1429205),(31 12.278992),(32 12.247159),(33 12.248849),(34 12.260179),(35 12.254053),(36 12.21678),(37 12.164844),(38 12.181036),(39 12.253575),(40 12.176979),(41 12.17606),(42 12.186766),(43 12.197448),(44 12.226207),(45 12.21766),(46 12.23959),(47 12.173582),(48 12.166311),(49 12.250445),(50 12.183718),(51 12.156385),(52 12.231727),(53 12.168858),(54 12.189505),(55 12.217071),(56 12.242944),(57 12.206564),(58 12.151524),(59 12.212951),(60 12.2061615),(61 12.179984),(62 12.191007),(63 12.190854),(64 12.211472),(65 12.203717),(66 12.240553),(67 12.225554),(68 12.2228775),(69 12.189117),(70 12.1950245),(71 12.189503),(72 12.194478),(73 12.279915),(74 12.16304),(75 12.211862),(76 12.236839),(77 12.234396),(78 12.262458),(79 12.174302),
(1 13.251548),(2 13.388124),(3 13.408336),(4 13.383275),(5 13.359928),(6 13.381299),(7 13.427146),(8 13.417081),(9 13.410402),(10 13.374847),(11 13.338265),(12 13.396534),(13 13.383507),(14 13.340289),(15 13.351926),(16 13.409771),(17 13.357149),(18 13.321838),(19 13.394134),(20 13.413304),(21 13.36901),(22 13.347422),(23 13.357233),(24 13.360898),(25 13.334449),(26 13.329868),(27 13.303031),(28 13.309888),(29 13.380614),(30 13.420816),(31 13.374126),(32 13.398092),(33 13.327777),(34 13.398688),(35 13.367229),(36 13.373959),(37 13.374565),(38 13.30851),(39 13.299409),(40 13.347581),(41 13.370614),(42 13.371804),(43 13.309454),(44 13.364324),(45 13.31303),(46 13.351274),(47 13.365092),(48 13.389249),(49 13.357219),(50 13.375874),(51 13.332692),(52 13.380125),(53 13.316246),(54 13.3595),(55 13.304614),(56 13.339463),(57 13.31464),(58 13.379366),(59 13.391342),(60 13.325517),(61 13.403091),(62 13.336562),(63 13.359255),(64 13.333357),(65 13.321146),(66 13.351823),(67 13.361232),(68 13.3207655),(69 13.297914),(70 13.3133335),(71 13.316867),(72 13.317372),(73 13.352353),(74 13.282734),(75 13.349953),(76 13.360075),(77 13.331109),(78 13.271274),(79 13.31718),
(1 13.842114),(2 13.886509),(3 13.915128),(4 13.87013),(5 13.854161),(6 13.893812),(7 13.852004),(8 13.918603),(9 13.918522),(10 13.910174),(11 13.853966),(12 13.838386),(13 13.8540535),(14 13.863994),(15 13.80426),(16 13.789568),(17 13.847724),(18 13.831929),(19 13.857409),(20 13.849208),(21 13.844179),(22 13.888534),(23 13.888277),(24 13.829313),(25 13.904184),(26 13.851933),(27 13.858478),(28 13.80657),(29 13.812416),(30 13.868257),(31 13.866961),(32 13.879078),(33 13.839719),(34 13.835703),(35 13.862419),(36 13.885273),(37 13.8248),(38 13.831824),(39 13.862871),(40 13.869726),(41 13.854786),(42 13.836056),(43 13.84198),(44 13.840098),(45 13.840055),(46 13.855117),(47 13.848839),(48 13.855698),(49 13.865073),(50 13.875357),(51 13.875154),(52 13.849111),(53 13.786355),(54 13.853573),(55 13.814828),(56 13.806895),(57 13.789031),(58 13.883306),(59 13.907436),(60 13.829448),(61 13.8852825),(62 13.786984),(63 13.864882),(64 13.834127),(65 13.769431),(66 13.816739),(67 13.803404),(68 13.815472),(69 13.79381),(70 13.784878),(71 13.826589),(72 13.7667055),(73 13.758388),(74 13.847211),(75 13.850657),(76 13.847414),(77 13.804047),(78 13.811974),(79 13.786918),
(1 12.684632),(2 12.688998),(3 12.695891),(4 12.695943),(5 12.693057),(6 12.708646),(7 12.725654),(8 12.666357),(9 12.679553),(10 12.703887),(11 12.689707),(12 12.676693),(13 12.676578),(14 12.746062),(15 12.67245),(16 12.666486),(17 12.682172),(18 12.66672),(19 12.678083),(20 12.722578),(21 12.693627),(22 12.692932),(23 12.716948),(24 12.689176),(25 12.710948),(26 12.716768),(27 12.723759),(28 12.665396),(29 12.717657),(30 12.697156),(31 12.709466),(32 12.698763),(33 12.710328),(34 12.701055),(35 12.742519),(36 12.660619),(37 12.733028),(38 12.680372),(39 12.707029),(40 12.683666),(41 12.672643),(42 12.663133),(43 12.674434),(44 12.629492),(45 12.754901),(46 12.6807995),(47 12.699543),(48 12.707818),(49 12.661886),(50 12.704728),(51 12.723156),(52 12.689151),(53 12.669751),(54 12.634232),(55 12.694155),(56 12.679118),(57 12.693781),(58 12.698216),(59 12.625549),(60 12.701101),(61 12.700767),(62 12.646081),(63 12.684414),(64 12.699628),(65 12.681596),(66 12.661665),(67 12.675161),(68 12.676953),(69 12.644956),(70 12.651955),(71 12.675721),(72 12.731546),(73 12.673347),(74 12.683352),(75 12.6861925),(76 12.731871),(77 12.71592),(78 12.726104),(79 12.723141),
