1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,
(1 0.23959501),(2 0.39337605),(3 0.5185193),(4 0.64772046),(5 0.75072145),(6 0.84954864),(7 0.9493581),(8 1.0412915),(9 1.1199086),(10 1.1930556),(11 1.2694477),(12 1.3451145),(13 1.4003043),(14 1.4581306),(15 1.5121301),(16 1.567591),(17 1.6173728),(18 1.6684555),(19 1.7091681),(20 1.7529278),(21 1.7954043),(22 1.8416201),(23 1.8813862),(24 1.9104931),(25 1.9363486),(26 1.9631625),(27 1.9859413),(28 2.01192),(29 2.036624),(30 2.0644436),(31 2.0873942),(32 2.1047082),(33 2.1285725),(34 2.1438282),(35 2.163211),(36 2.1825373),(37 2.2037902),(38 2.2315686),(39 2.2491877),(40 2.2594583),(41 2.2703383),(42 2.2806523),(43 2.2993894),(44 2.31666),(45 2.3365707),(46 2.356793),(47 2.3730254),(48 2.3909805),(49 2.4059758),(50 2.4233012),(51 2.4391081),(52 2.4505882),(53 2.4681435),(54 2.4801066),(55 2.501575),(56 2.51579),(57 2.531198),(58 2.5418036),(59 2.5652692),(60 2.5802596),(61 2.5835679),(62 2.5891023),(63 2.5860257),(64 2.5808434),(65 2.5820203),(66 2.581178),(67 2.5839918),(68 2.591746),(69 2.5895364),(70 2.5914583),(71 2.5945852),(72 2.5939746),(73 2.5979886),(74 2.602843),(75 2.60067),(76 2.6157367),(77 2.6302836),(78 2.6338344),(79 2.6379387),
(1 0.6889892),(2 1.1783918),(3 1.5676051),(4 1.9117504),(5 2.2059333),(6 2.4670734),(7 2.7087045),(8 2.9145021),(9 3.0903685),(10 3.2435813),(11 3.381458),(12 3.4933493),(13 3.578145),(14 3.6634426),(15 3.7380643),(16 3.79299),(17 3.852266),(18 3.906238),(19 3.9693139),(20 4.0197406),(21 4.069636),(22 4.110419),(23 4.142547),(24 4.178303),(25 4.196213),(26 4.220237),(27 4.238053),(28 4.2622623),(29 4.2729373),(30 4.273674),(31 4.288039),(32 4.30798),(33 4.326278),(34 4.3337703),(35 4.3407464),(36 4.364986),(37 4.3887553),(38 4.414873),(39 4.4308686),(40 4.464966),(41 4.487588),(42 4.5079594),(43 4.5262413),(44 4.5392957),(45 4.553901),(46 4.5780954),(47 4.6016803),(48 4.6229196),(49 4.6452208),(50 4.6682487),(51 4.694092),(52 4.712802),(53 4.724825),(54 4.7271757),(55 4.741939),(56 4.7591395),(57 4.767847),(58 4.796812),(59 4.814204),(60 4.84002),(61 4.8396134),(62 4.840881),(63 4.838482),(64 4.828594),(65 4.8215566),(66 4.8229823),(67 4.8252144),(68 4.831661),(69 4.836494),(70 4.836338),(71 4.8285074),(72 4.8130283),(73 4.8035326),(74 4.7914796),(75 4.779048),(76 4.7748694),(77 4.779902),(78 4.780188),(79 4.774648),
(1 1.2940723),(2 2.1578653),(3 2.7873561),(4 3.2904828),(5 3.6907542),(6 4.0052977),(7 4.262495),(8 4.4819336),(9 4.6219535),(10 4.7587943),(11 4.8394184),(12 4.916707),(13 4.966094),(14 4.990154),(15 5.032895),(16 5.066976),(17 5.0987926),(18 5.1453023),(19 5.181201),(20 5.206659),(21 5.2129064),(22 5.233644),(23 5.2033668),(24 5.19235),(25 5.201003),(26 5.185597),(27 5.208487),(28 5.2118654),(29 5.2154),(30 5.222824),(31 5.2314715),(32 5.239807),(33 5.2475557),(34 5.2451773),(35 5.2361),(36 5.252735),(37 5.2489533),(38 5.254569),(39 5.265289),(40 5.2809086),(41 5.290888),(42 5.300645),(43 5.276709),(44 5.271735),(45 5.2295556),(46 5.213048),(47 5.2100415),(48 5.204179),(49 5.2292733),(50 5.2407517),(51 5.2687078),(52 5.2741194),(53 5.285061),(54 5.2616277),(55 5.2467504),(56 5.2512136),(57 5.248815),(58 5.2565317),(59 5.2660136),(60 5.2924647),(61 5.306791),(62 5.320467),(63 5.311199),(64 5.297453),(65 5.281384),(66 5.2591753),(67 5.220438),(68 5.2314672),(69 5.243928),(70 5.255278),(71 5.253052),(72 5.2382884),(73 5.248694),(74 5.2425046),(75 5.245045),(76 5.233281),(77 5.2399335),(78 5.2466063),(79 5.250927),
(1 2.8553102),(2 4.5084043),(3 5.5916343),(4 6.328807),(5 6.822301),(6 7.1673193),(7 7.4203944),(8 7.579829),(9 7.703009),(10 7.776023),(11 7.8374777),(12 7.9022226),(13 7.9263215),(14 7.956382),(15 7.960973),(16 7.9270954),(17 7.921438),(18 7.9417825),(19 7.9543204),(20 7.9613085),(21 7.930448),(22 7.977276),(23 7.9672074),(24 7.9834976),(25 7.988783),(26 7.973325),(27 7.9533024),(28 7.962218),(29 8.019125),(30 8.047492),(31 8.050848),(32 8.06887),(33 8.095978),(34 8.103819),(35 8.108815),(36 8.099431),(37 8.077944),(38 8.070746),(39 8.057862),(40 8.059746),(41 8.031571),(42 8.034637),(43 8.038311),(44 8.009811),(45 8.029463),(46 8.018972),(47 7.987224),(48 7.9946136),(49 8.061018),(50 8.118807),(51 8.157627),(52 8.17816),(53 8.17241),(54 8.152852),(55 8.112096),(56 8.066614),(57 8.032872),(58 7.993105),(59 7.9925437),(60 7.97092),(61 7.975885),(62 7.9975095),(63 7.995417),(64 8.039871),(65 8.087051),(66 8.064427),(67 8.002777),(68 7.9927897),(69 8.024268),(70 8.023355),(71 8.027125),(72 8.049021),(73 8.064959),(74 8.069577),(75 8.065179),(76 8.074269),(77 8.053265),(78 8.026325),(79 8.014057),
(1 4.50664),(2 6.7374253),(3 7.9504128),(4 8.682375),(5 9.112474),(6 9.355726),(7 9.506498),(8 9.60673),(9 9.672275),(10 9.704502),(11 9.746225),(12 9.80935),(13 9.81159),(14 9.8335285),(15 9.796192),(16 9.735483),(17 9.741365),(18 9.743542),(19 9.742253),(20 9.701887),(21 9.722114),(22 9.736206),(23 9.678218),(24 9.734198),(25 9.714978),(26 9.695579),(27 9.62694),(28 9.612847),(29 9.622362),(30 9.639353),(31 9.637826),(32 9.679277),(33 9.700207),(34 9.744329),(35 9.764802),(36 9.826838),(37 9.834022),(38 9.8073),(39 9.82111),(40 9.845209),(41 9.808583),(42 9.795405),(43 9.813578),(44 9.802148),(45 9.814143),(46 9.821396),(47 9.780846),(48 9.804012),(49 9.869325),(50 9.900884),(51 9.93639),(52 9.940681),(53 9.961651),(54 9.903058),(55 9.823756),(56 9.761331),(57 9.772153),(58 9.777225),(59 9.751982),(60 9.679455),(61 9.691298),(62 9.6947565),(63 9.692472),(64 9.774284),(65 9.836573),(66 9.8086195),(67 9.743682),(68 9.688134),(69 9.667994),(70 9.673824),(71 9.671758),(72 9.688661),(73 9.66692),(74 9.686456),(75 9.683247),(76 9.64025),(77 9.61919),(78 9.592361),(79 9.564317),
(1 5.0723534),(2 7.1778874),(3 8.054846),(4 8.402729),(5 8.604917),(6 8.752406),(7 8.851721),(8 8.881236),(9 8.869192),(10 8.884802),(11 8.917873),(12 8.895566),(13 8.850136),(14 8.82556),(15 8.843379),(16 8.832437),(17 8.821394),(18 8.841263),(19 8.852596),(20 8.875528),(21 8.922609),(22 8.898263),(23 8.892714),(24 8.867695),(25 8.84716),(26 8.884482),(27 8.887354),(28 8.877799),(29 8.879622),(30 8.823789),(31 8.829742),(32 8.840699),(33 8.800959),(34 8.853793),(35 8.917584),(36 8.916403),(37 8.963745),(38 8.971472),(39 8.87),(40 8.846471),(41 8.862023),(42 8.829952),(43 8.828168),(44 8.764124),(45 8.715094),(46 8.797753),(47 8.830638),(48 8.840627),(49 8.901306),(50 8.89147),(51 8.917111),(52 8.905928),(53 8.920292),(54 8.918881),(55 8.902974),(56 8.907626),(57 8.898874),(58 8.923075),(59 8.938511),(60 8.888686),(61 8.867842),(62 8.876731),(63 8.920531),(64 8.909726),(65 8.921802),(66 8.921176),(67 8.933885),(68 8.944669),(69 8.907207),(70 8.913433),(71 8.926581),(72 8.950443),(73 8.992324),(74 8.9513855),(75 8.927041),(76 8.84183),(77 8.82994),(78 8.8526),(79 8.779857),
(1 7.6026907),(2 10.18093),(3 11.016704),(4 11.269556),(5 11.385562),(6 11.496925),(7 11.521793),(8 11.54413),(9 11.548702),(10 11.622967),(11 11.611631),(12 11.703925),(13 11.6204),(14 11.631783),(15 11.544335),(16 11.557066),(17 11.591531),(18 11.540145),(19 11.574935),(20 11.581557),(21 11.547594),(22 11.54341),(23 11.491161),(24 11.452149),(25 11.5124655),(26 11.56948),(27 11.626919),(28 11.598025),(29 11.5870075),(30 11.504424),(31 11.607732),(32 11.584542),(33 11.538094),(34 11.60481),(35 11.558799),(36 11.535402),(37 11.542245),(38 11.552617),(39 11.462779),(40 11.525236),(41 11.60276),(42 11.568778),(43 11.515836),(44 11.51898),(45 11.579078),(46 11.553695),(47 11.528553),(48 11.437526),(49 11.500842),(50 11.5620985),(51 11.479648),(52 11.536286),(53 11.533241),(54 11.552092),(55 11.504961),(56 11.616106),(57 11.533496),(58 11.52982),(59 11.595293),(60 11.547881),(61 11.46245),(62 11.459151),(63 11.449913),(64 11.435035),(65 11.424439),(66 11.437753),(67 11.5258465),(68 11.566534),(69 11.581809),(70 11.530097),(71 11.463889),(72 11.490249),(73 11.513434),(74 11.519519),(75 11.537014),(76 11.534381),(77 11.56751),(78 11.528622),(79 11.537784),
(1 9.883216),(2 12.203955),(3 12.786268),(4 12.997121),(5 13.09598),(6 13.052991),(7 13.030304),(8 12.962886),(9 13.014851),(10 13.082493),(11 13.006011),(12 13.079739),(13 13.082842),(14 13.175149),(15 13.0704565),(16 13.129606),(17 13.0687895),(18 13.128454),(19 13.136494),(20 13.086566),(21 13.082392),(22 13.121013),(23 13.103605),(24 13.121173),(25 13.08795),(26 13.066534),(27 13.14836),(28 13.167043),(29 13.08816),(30 13.009458),(31 13.025251),(32 12.992411),(33 13.000615),(34 13.085056),(35 13.085036),(36 13.184978),(37 13.0565605),(38 13.226797),(39 13.161087),(40 13.178133),(41 13.123239),(42 13.062394),(43 13.073288),(44 13.055071),(45 13.119776),(46 13.0624),(47 13.20407),(48 13.19294),(49 13.135203),(50 13.12318),(51 13.098583),(52 13.058095),(53 13.099549),(54 13.127219),(55 13.143386),(56 13.13272),(57 13.089533),(58 13.067704),(59 12.952775),(60 13.038464),(61 13.036516),(62 13.06751),(63 13.11959),(64 13.147448),(65 13.243138),(66 13.172158),(67 13.130535),(68 13.081065),(69 13.103816),(70 13.076058),(71 13.082245),(72 13.062325),(73 13.086619),(74 13.092731),(75 13.122812),(76 13.163193),(77 13.121568),(78 13.143524),(79 13.111453),
(1 12.222651),(2 14.22222),(3 14.575947),(4 14.614748),(5 14.639647),(6 14.714161),(7 14.702292),(8 14.59633),(9 14.548463),(10 14.657256),(11 14.587304),(12 14.596911),(13 14.697794),(14 14.599499),(15 14.532028),(16 14.607471),(17 14.615638),(18 14.631844),(19 14.557231),(20 14.645497),(21 14.62148),(22 14.677666),(23 14.701683),(24 14.591219),(25 14.520337),(26 14.582081),(27 14.636777),(28 14.72391),(29 14.66547),(30 14.704835),(31 14.720023),(32 14.71088),(33 14.717004),(34 14.719739),(35 14.700431),(36 14.662909),(37 14.650134),(38 14.657273),(39 14.738706),(40 14.709369),(41 14.606137),(42 14.49168),(43 14.542702),(44 14.648776),(45 14.686068),(46 14.751005),(47 14.700146),(48 14.578597),(49 14.638369),(50 14.636005),(51 14.607326),(52 14.555417),(53 14.681919),(54 14.6061325),(55 14.632273),(56 14.619886),(57 14.777803),(58 14.597258),(59 14.592202),(60 14.626861),(61 14.643642),(62 14.621544),(63 14.5880165),(64 14.703462),(65 14.67421),(66 14.693624),(67 14.633143),(68 14.689272),(69 14.625572),(70 14.546126),(71 14.644518),(72 14.712068),(73 14.700965),(74 14.611223),(75 14.647581),(76 14.612372),(77 14.767784),(78 14.639821),(79 14.637226),
(1 13.600289),(2 15.218906),(3 15.381223),(4 15.380857),(5 15.364876),(6 15.561943),(7 15.512294),(8 15.411242),(9 15.372871),(10 15.485678),(11 15.468199),(12 15.356903),(13 15.513753),(14 15.473089),(15 15.368093),(16 15.426295),(17 15.532771),(18 15.499892),(19 15.493033),(20 15.427964),(21 15.505304),(22 15.492209),(23 15.4551325),(24 15.529137),(25 15.448285),(26 15.407847),(27 15.527633),(28 15.43682),(29 15.339894),(30 15.456276),(31 15.506308),(32 15.355168),(33 15.386025),(34 15.457888),(35 15.47122),(36 15.464135),(37 15.421274),(38 15.398286),(39 15.482042),(40 15.494315),(41 15.429515),(42 15.337442),(43 15.301317),(44 15.446985),(45 15.398086),(46 15.413301),(47 15.457547),(48 15.411702),(49 15.449264),(50 15.451267),(51 15.383087),(52 15.327615),(53 15.349484),(54 15.38421),(55 15.387264),(56 15.33967),(57 15.450275),(58 15.503785),(59 15.439385),(60 15.415154),(61 15.325744),(62 15.432425),(63 15.327391),(64 15.464785),(65 15.4958105),(66 15.43888),(67 15.430639),(68 15.289578),(69 15.442506),(70 15.433386),(71 15.441902),(72 15.333196),(73 15.417098),(74 15.420827),(75 15.504221),(76 15.431165),(77 15.429123),(78 15.3245),(79 15.343976),
(1 13.109709),(2 14.365848),(3 14.449028),(4 14.364374),(5 14.302619),(6 14.414345),(7 14.413344),(8 14.439537),(9 14.479048),(10 14.435613),(11 14.460956),(12 14.452177),(13 14.412475),(14 14.345449),(15 14.411783),(16 14.410898),(17 14.445859),(18 14.493246),(19 14.4052515),(20 14.39085),(21 14.469946),(22 14.481729),(23 14.566731),(24 14.379416),(25 14.440243),(26 14.48722),(27 14.481277),(28 14.424902),(29 14.483978),(30 14.480399),(31 14.503716),(32 14.422402),(33 14.430713),(34 14.46927),(35 14.49386),(36 14.390881),(37 14.411232),(38 14.330298),(39 14.396078),(40 14.412361),(41 14.373639),(42 14.3386545),(43 14.38987),(44 14.404582),(45 14.513085),(46 14.423494),(47 14.492234),(48 14.462621),(49 14.402211),(50 14.456371),(51 14.42096),(52 14.453962),(53 14.370182),(54 14.387755),(55 14.317389),(56 14.418543),(57 14.401511),(58 14.329701),(59 14.3505335),(60 14.372907),(61 14.431259),(62 14.388851),(63 14.393678),(64 14.476989),(65 14.361858),(66 14.425958),(67 14.408369),(68 14.379793),(69 14.418144),(70 14.468332),(71 14.36728),(72 14.474271),(73 14.446768),(74 14.443077),(75 14.486618),(76 14.411651),(77 14.413468),(78 14.37784),(79 14.446895),
