1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.13170041),(2 0.20824899),(3 0.27374148),(4 0.33979997),(5 0.39973575),(6 0.45289218),(7 0.5060193),(8 0.56031966),(9 0.60325885),(10 0.63981885),(11 0.6839519),(12 0.7268759),(13 0.7546848),(14 0.79591995),(15 0.8267603),(16 0.8588845),(17 0.88484037),(18 0.91160536),(19 0.935911),(20 0.95796156),(21 0.978251),(22 1.00159),(23 1.0228863),(24 1.0406069),(25 1.0555004),(26 1.0726458),(27 1.0881543),(28 1.1059103),(29 1.1235229),(30 1.1423131),(31 1.1653968),(32 1.1781636),(33 1.1903012),(34 1.2007616),(35 1.202699),(36 1.2114338),(37 1.2174264),(38 1.2199794),(39 1.2241025),(40 1.2369955),(41 1.2414984),(42 1.2485081),(43 1.2618064),(44 1.271313),(45 1.2749017),(46 1.2911505),(47 1.3149058),(48 1.3283347),(49 1.3463681),(50 1.3627015),(51 1.3777301),(52 1.3921906),(53 1.4074214),(54 1.4193866),(55 1.4407338),(56 1.4516425),(57 1.4630623),(58 1.473101),(59 1.4844126),(60 1.5001237),(61 1.505022),(62 1.5116863),(63 1.5096703),(64 1.5104816),(65 1.5108385),(66 1.5074999),(67 1.507005),(68 1.5106001),(69 1.5121926),(70 1.5089474),(71 1.5064481),(72 1.4956391),(73 1.494238),(74 1.4868056),(75 1.4791698),(76 1.474915),(77 1.4721724),(78 1.4651334),(79 1.4592192),
(1 0.35787484),(2 0.60593),(3 0.81587255),(4 1.0107234),(5 1.1783159),(6 1.3187572),(7 1.4530567),(8 1.5795337),(9 1.6877265),(10 1.7928852),(11 1.881578),(12 1.9563986),(13 2.01802),(14 2.0742562),(15 2.1376057),(16 2.1817927),(17 2.231298),(18 2.2818768),(19 2.3201506),(20 2.3679824),(21 2.400466),(22 2.4344008),(23 2.4632287),(24 2.4776149),(25 2.490142),(26 2.4936655),(27 2.4951818),(28 2.512319),(29 2.52501),(30 2.5406752),(31 2.568881),(32 2.588035),(33 2.6155403),(34 2.6467326),(35 2.6729305),(36 2.716667),(37 2.743561),(38 2.771361),(39 2.7951138),(40 2.8130136),(41 2.827851),(42 2.8433776),(43 2.8685563),(44 2.8807445),(45 2.8798444),(46 2.895122),(47 2.9102495),(48 2.9196866),(49 2.946176),(50 2.959153),(51 2.972822),(52 2.983292),(53 2.9859083),(54 2.9928303),(55 3.0055416),(56 3.003881),(57 2.9958177),(58 2.9946103),(59 2.9853396),(60 2.984708),(61 2.9773037),(62 2.972466),(63 2.961767),(64 2.9625173),(65 2.9598596),(66 2.9634707),(67 2.9587271),(68 2.9609184),(69 2.960487),(70 2.9696186),(71 2.972454),(72 2.9626853),(73 2.9655719),(74 2.9625823),(75 2.9653335),(76 2.9635255),(77 2.969585),(78 2.9762104),(79 2.9874673),
(1 0.6819954),(2 1.1744092),(3 1.5558671),(4 1.8812283),(5 2.1475956),(6 2.3626444),(7 2.552838),(8 2.7075279),(9 2.8247402),(10 2.940685),(11 3.0263782),(12 3.110047),(13 3.159188),(14 3.2008224),(15 3.2550194),(16 3.271397),(17 3.2858174),(18 3.3171396),(19 3.3340642),(20 3.3475513),(21 3.3710816),(22 3.3955283),(23 3.406128),(24 3.4175477),(25 3.4106286),(26 3.3837385),(27 3.3805993),(28 3.3767643),(29 3.3702781),(30 3.3488371),(31 3.3350964),(32 3.33154),(33 3.3465307),(34 3.355911),(35 3.3637593),(36 3.3919723),(37 3.4245212),(38 3.4569612),(39 3.4627118),(40 3.4524055),(41 3.4744656),(42 3.4879322),(43 3.515634),(44 3.5356362),(45 3.535064),(46 3.5450115),(47 3.5296502),(48 3.5400815),(49 3.5388024),(50 3.5537918),(51 3.5583384),(52 3.5616663),(53 3.579406),(54 3.5760858),(55 3.5901608),(56 3.5753644),(57 3.5580397),(58 3.5473676),(59 3.5389569),(60 3.520749),(61 3.498451),(62 3.4784455),(63 3.4588768),(64 3.4649684),(65 3.4707136),(66 3.4698982),(67 3.4425716),(68 3.4237041),(69 3.4240644),(70 3.4262946),(71 3.4416661),(72 3.4374018),(73 3.4490547),(74 3.451151),(75 3.4730937),(76 3.473855),(77 3.4545681),(78 3.4371471),(79 3.4178205),
(1 1.4820067),(2 2.4214802),(3 3.083409),(4 3.578579),(5 3.9665556),(6 4.2283316),(7 4.4180856),(8 4.579829),(9 4.6610184),(10 4.7451477),(11 4.7883964),(12 4.8245044),(13 4.854206),(14 4.872759),(15 4.898412),(16 4.9050536),(17 4.896692),(18 4.899277),(19 4.9319897),(20 4.9607),(21 4.9591975),(22 5.0107193),(23 4.9606557),(24 4.9641924),(25 4.9662585),(26 4.965012),(27 4.9764056),(28 5.0012665),(29 4.9805946),(30 4.9881096),(31 5.0002213),(32 5.011439),(33 5.0396023),(34 5.034633),(35 5.03584),(36 5.024471),(37 5.0079446),(38 5.0086675),(39 5.001888),(40 4.9936776),(41 4.984028),(42 4.984173),(43 4.981956),(44 4.9441705),(45 4.95789),(46 4.98357),(47 4.9821925),(48 5.0142426),(49 5.034634),(50 5.068823),(51 5.078908),(52 5.0963664),(53 5.0813074),(54 5.1024766),(55 5.0334706),(56 5.0137906),(57 4.9977765),(58 4.958292),(59 4.920455),(60 4.8662934),(61 4.8521924),(62 4.864231),(63 4.8770437),(64 4.8975487),(65 4.9089513),(66 4.9268017),(67 4.88219),(68 4.8409076),(69 4.857337),(70 4.885046),(71 4.9048963),(72 4.907988),(73 4.920499),(74 4.9208164),(75 4.9339023),(76 4.9653835),(77 4.979203),(78 4.961314),(79 4.9338403),
(1 2.3430028),(2 3.700398),(3 4.5735373),(4 5.223111),(5 5.562914),(6 5.826634),(7 6.0364723),(8 6.1728177),(9 6.273265),(10 6.3319035),(11 6.392089),(12 6.469237),(13 6.4370465),(14 6.444737),(15 6.3912325),(16 6.3337283),(17 6.2962112),(18 6.3018413),(19 6.2990456),(20 6.292332),(21 6.2774744),(22 6.2847533),(23 6.2403913),(24 6.233527),(25 6.2401543),(26 6.256709),(27 6.2705736),(28 6.2728415),(29 6.283431),(30 6.283172),(31 6.321002),(32 6.354509),(33 6.337826),(34 6.3338566),(35 6.3160405),(36 6.2748137),(37 6.2460213),(38 6.220018),(39 6.2113705),(40 6.2446594),(41 6.2185693),(42 6.222103),(43 6.2532144),(44 6.246801),(45 6.216227),(46 6.1642957),(47 6.136572),(48 6.1329727),(49 6.1865926),(50 6.2118187),(51 6.2463245),(52 6.2754674),(53 6.2703476),(54 6.2671394),(55 6.208495),(56 6.1870046),(57 6.1896315),(58 6.2152905),(59 6.287299),(60 6.266954),(61 6.2676716),(62 6.2804575),(63 6.2540536),(64 6.278826),(65 6.3130145),(66 6.2721934),(67 6.246621),(68 6.185614),(69 6.1777854),(70 6.1721373),(71 6.1750045),(72 6.22431),(73 6.2436247),(74 6.2293468),(75 6.2363515),(76 6.246073),(77 6.2577453),(78 6.2259917),(79 6.215139),
(1 2.7145562),(2 4.06526),(3 4.7767015),(4 5.2025113),(5 5.393957),(6 5.5067225),(7 5.570758),(8 5.630414),(9 5.6621175),(10 5.683538),(11 5.7205377),(12 5.7506557),(13 5.700227),(14 5.6959467),(15 5.6979017),(16 5.675765),(17 5.711724),(18 5.7652025),(19 5.7891707),(20 5.6940603),(21 5.714819),(22 5.685737),(23 5.6717477),(24 5.703549),(25 5.7220745),(26 5.754195),(27 5.743114),(28 5.7079024),(29 5.6757774),(30 5.638114),(31 5.633888),(32 5.644991),(33 5.680886),(34 5.7131925),(35 5.7688165),(36 5.7579474),(37 5.788585),(38 5.794069),(39 5.8006005),(40 5.7794394),(41 5.742161),(42 5.706696),(43 5.687139),(44 5.66811),(45 5.673751),(46 5.678644),(47 5.6781464),(48 5.721221),(49 5.7490244),(50 5.7586117),(51 5.774534),(52 5.7558455),(53 5.75181),(54 5.677863),(55 5.6507425),(56 5.633972),(57 5.644747),(58 5.67448),(59 5.6841764),(60 5.659852),(61 5.6984787),(62 5.695236),(63 5.685099),(64 5.6589665),(65 5.693342),(66 5.738644),(67 5.748451),(68 5.726822),(69 5.732474),(70 5.7087297),(71 5.6626263),(72 5.663842),(73 5.6180344),(74 5.61972),(75 5.633001),(76 5.6261067),(77 5.5685596),(78 5.6055193),(79 5.5773783),
(1 4.1583676),(2 5.8822136),(3 6.634246),(4 6.868487),(5 6.997049),(6 7.0923996),(7 7.2023215),(8 7.211948),(9 7.2170153),(10 7.2640686),(11 7.2951107),(12 7.236554),(13 7.1625085),(14 7.1898303),(15 7.1977606),(16 7.1252146),(17 7.121518),(18 7.166639),(19 7.109951),(20 7.130461),(21 7.2118683),(22 7.2106614),(23 7.1963043),(24 7.2153172),(25 7.260263),(26 7.282911),(27 7.2532907),(28 7.195057),(29 7.177682),(30 7.152181),(31 7.0751204),(32 7.1274214),(33 7.1342545),(34 7.183206),(35 7.249878),(36 7.3142424),(37 7.379154),(38 7.3737016),(39 7.270737),(40 7.2062316),(41 7.189565),(42 7.1314197),(43 7.198115),(44 7.142363),(45 7.1175737),(46 7.1603074),(47 7.1821136),(48 7.200282),(49 7.1954017),(50 7.182523),(51 7.2099676),(52 7.186412),(53 7.2362175),(54 7.2490425),(55 7.279086),(56 7.243557),(57 7.2053833),(58 7.1619263),(59 7.1730595),(60 7.198149),(61 7.142021),(62 7.1637826),(63 7.180073),(64 7.209023),(65 7.1995034),(66 7.1797957),(67 7.1942797),(68 7.2201624),(69 7.2138553),(70 7.2052317),(71 7.231921),(72 7.1804595),(73 7.1997313),(74 7.2176414),(75 7.1992874),(76 7.218811),(77 7.2354674),(78 7.2526126),(79 7.195845),
(1 5.540882),(2 7.455143),(3 8.082947),(4 8.3437805),(5 8.431513),(6 8.4685),(7 8.504535),(8 8.450907),(9 8.479798),(10 8.577546),(11 8.594377),(12 8.612405),(13 8.603912),(14 8.589531),(15 8.59643),(16 8.583848),(17 8.617086),(18 8.580716),(19 8.534949),(20 8.561925),(21 8.536119),(22 8.524547),(23 8.560528),(24 8.4883585),(25 8.388138),(26 8.470013),(27 8.430625),(28 8.505978),(29 8.4792795),(30 8.453722),(31 8.502519),(32 8.464767),(33 8.554953),(34 8.612459),(35 8.500913),(36 8.410038),(37 8.468399),(38 8.460277),(39 8.490696),(40 8.450647),(41 8.440289),(42 8.460782),(43 8.425988),(44 8.381001),(45 8.452456),(46 8.548967),(47 8.589676),(48 8.490683),(49 8.464412),(50 8.546083),(51 8.534462),(52 8.513301),(53 8.41815),(54 8.477901),(55 8.512602),(56 8.5728445),(57 8.44251),(58 8.462946),(59 8.488015),(60 8.492581),(61 8.505255),(62 8.4942665),(63 8.482962),(64 8.40848),(65 8.405268),(66 8.461071),(67 8.476402),(68 8.47624),(69 8.551666),(70 8.5526085),(71 8.534186),(72 8.500425),(73 8.515666),(74 8.548626),(75 8.497343),(76 8.471899),(77 8.506187),(78 8.536148),(79 8.519034),
(1 7.055418),(2 8.827146),(3 9.374631),(4 9.523085),(5 9.536988),(6 9.59569),(7 9.566753),(8 9.525166),(9 9.438453),(10 9.507759),(11 9.503298),(12 9.51641),(13 9.577944),(14 9.619651),(15 9.564995),(16 9.651019),(17 9.629974),(18 9.592789),(19 9.616239),(20 9.585797),(21 9.549979),(22 9.512121),(23 9.549902),(24 9.553578),(25 9.573737),(26 9.574124),(27 9.625943),(28 9.631475),(29 9.615813),(30 9.592015),(31 9.579331),(32 9.573029),(33 9.51097),(34 9.516706),(35 9.476256),(36 9.583736),(37 9.547193),(38 9.587578),(39 9.565732),(40 9.582976),(41 9.558346),(42 9.544656),(43 9.541741),(44 9.544294),(45 9.551302),(46 9.536749),(47 9.571001),(48 9.481535),(49 9.549157),(50 9.506371),(51 9.59286),(52 9.593574),(53 9.634592),(54 9.637116),(55 9.521453),(56 9.506552),(57 9.486978),(58 9.43902),(59 9.475986),(60 9.470406),(61 9.501213),(62 9.479567),(63 9.5251),(64 9.529764),(65 9.49835),(66 9.58772),(67 9.587075),(68 9.490658),(69 9.438173),(70 9.412024),(71 9.396998),(72 9.49506),(73 9.502061),(74 9.481919),(75 9.571045),(76 9.537391),(77 9.492987),(78 9.466082),(79 9.39351),
(1 8.064947),(2 9.546327),(3 9.926843),(4 9.99929),(5 10.009714),(6 10.074642),(7 10.163176),(8 9.969166),(9 9.942678),(10 10.028776),(11 9.986784),(12 9.958964),(13 10.003948),(14 10.025195),(15 10.015979),(16 10.099923),(17 9.997156),(18 10.065208),(19 10.133225),(20 9.95102),(21 10.048973),(22 10.0290785),(23 9.994023),(24 9.999059),(25 9.966937),(26 9.931211),(27 10.02206),(28 10.106869),(29 10.101326),(30 10.139433),(31 10.142776),(32 10.045304),(33 10.017539),(34 10.021696),(35 9.994951),(36 10.004124),(37 9.954587),(38 9.954387),(39 10.125462),(40 10.075582),(41 10.046729),(42 10.110117),(43 10.0364895),(44 10.007861),(45 10.085231),(46 10.039744),(47 9.990821),(48 9.978628),(49 10.02862),(50 10.054041),(51 10.065873),(52 10.008748),(53 10.168206),(54 10.085198),(55 10.034889),(56 9.984578),(57 10.03213),(58 9.928896),(59 9.930935),(60 9.96061),(61 9.916023),(62 9.978875),(63 10.083633),(64 10.076824),(65 10.0934515),(66 10.011056),(67 10.028825),(68 9.852827),(69 9.904016),(70 9.930703),(71 9.892902),(72 9.980207),(73 10.067751),(74 10.033576),(75 10.089538),(76 10.020565),(77 10.094516),(78 10.006921),(79 10.051731),
(1 8.04617),(2 9.199255),(3 9.383436),(4 9.378283),(5 9.379326),(6 9.454228),(7 9.367338),(8 9.3941145),(9 9.330143),(10 9.420804),(11 9.447431),(12 9.376994),(13 9.474713),(14 9.362041),(15 9.441827),(16 9.419887),(17 9.469725),(18 9.502204),(19 9.403381),(20 9.414549),(21 9.406345),(22 9.4338455),(23 9.439985),(24 9.392302),(25 9.433284),(26 9.3810005),(27 9.459323),(28 9.403358),(29 9.32041),(30 9.330696),(31 9.363032),(32 9.291654),(33 9.272846),(34 9.387655),(35 9.335797),(36 9.399759),(37 9.376146),(38 9.416392),(39 9.410899),(40 9.326991),(41 9.289624),(42 9.262428),(43 9.24754),(44 9.373733),(45 9.426713),(46 9.327055),(47 9.313507),(48 9.300718),(49 9.434853),(50 9.364195),(51 9.359673),(52 9.338241),(53 9.360174),(54 9.401093),(55 9.392211),(56 9.37137),(57 9.390532),(58 9.44435),(59 9.394821),(60 9.30992),(61 9.316965),(62 9.367857),(63 9.336392),(64 9.47142),(65 9.395132),(66 9.288393),(67 9.306485),(68 9.3758135),(69 9.42735),(70 9.36191),(71 9.345014),(72 9.323219),(73 9.396417),(74 9.407861),(75 9.379182),(76 9.301938),(77 9.360654),(78 9.325007),(79 9.416158),
