1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,
(1 0.059341628),(2 0.098719716),(3 0.13159655),(4 0.15736505),(5 0.18042822),(6 0.1978145),(7 0.22195859),(8 0.24228525),(9 0.2630108),(10 0.28667572),(11 0.30626658),(12 0.3266693),(13 0.35093433),(14 0.3738721),(15 0.3926414),(16 0.4152835),(17 0.43246445),(18 0.45563647),(19 0.47373205),(20 0.489836),(21 0.5078207),(22 0.517351),(23 0.532777),(24 0.54901284),(25 0.55726737),(26 0.56832373),(27 0.57574564),(28 0.5838601),(29 0.59124535),(30 0.59956145),(31 0.6075763),(32 0.618499),(33 0.63443136),(34 0.6491124),(35 0.655945),(36 0.66673714),(37 0.668569),(38 0.6726344),(39 0.6776894),(40 0.68185014),(41 0.68220216),(42 0.68474054),(43 0.6934604),(44 0.7062099),(45 0.71181154),(46 0.7188207),(47 0.72896975),(48 0.7356636),(49 0.7407067),(50 0.7466439),(51 0.758384),(52 0.768801),(53 0.7710007),(54 0.7765418),(55 0.7806765),(56 0.7902294),(57 0.8009952),(58 0.80801624),(59 0.81645656),(60 0.8145796),(61 0.8128424),(62 0.81734556),(63 0.8162822),(64 0.8180598),(65 0.80826277),(66 0.80064327),(67 0.79478127),(68 0.78752524),(69 0.78285223),(70 0.7839405),(71 0.7812975),(72 0.7788406),(73 0.78034925),(74 0.78355765),(75 0.7876381),(76 0.7858456),(77 0.7871497),(78 0.78390414),(79 0.78262526),
(1 0.14042008),(2 0.2421052),(3 0.32874474),(4 0.41990128),(5 0.50121504),(6 0.57142574),(7 0.6525144),(8 0.71981347),(9 0.77488065),(10 0.83662045),(11 0.88684905),(12 0.94968),(13 1.0029385),(14 1.0560311),(15 1.108544),(16 1.1542596),(17 1.1996242),(18 1.2427483),(19 1.2794122),(20 1.3132279),(21 1.3531691),(22 1.3921717),(23 1.4275771),(24 1.4622915),(25 1.4860168),(26 1.5098374),(27 1.5287527),(28 1.548195),(29 1.5716063),(30 1.5997044),(31 1.6263347),(32 1.6469219),(33 1.6690761),(34 1.6996235),(35 1.7202427),(36 1.7450716),(37 1.76483),(38 1.7870927),(39 1.8085204),(40 1.8331766),(41 1.859266),(42 1.8879808),(43 1.9128147),(44 1.931275),(45 1.9502679),(46 1.9657811),(47 1.9820192),(48 1.9990537),(49 2.0102735),(50 2.033073),(51 2.0499654),(52 2.072017),(53 2.08837),(54 2.107273),(55 2.139543),(56 2.1565835),(57 2.1687238),(58 2.1782258),(59 2.1927414),(60 2.2004764),(61 2.20357),(62 2.2047944),(63 2.2132244),(64 2.2111402),(65 2.2009764),(66 2.1849782),(67 2.1922698),(68 2.1924348),(69 2.1988893),(70 2.2204561),(71 2.2323155),(72 2.2301598),(73 2.2407808),(74 2.2503006),(75 2.2543013),(76 2.250852),(77 2.2606566),(78 2.2601726),(79 2.2695208),
(1 0.26239035),(2 0.46339485),(3 0.64428943),(4 0.8111674),(5 0.9688195),(6 1.1192702),(7 1.274241),(8 1.4083862),(9 1.5399103),(10 1.6790966),(11 1.7968665),(12 1.9135351),(13 2.0084958),(14 2.1014814),(15 2.1897943),(16 2.2813096),(17 2.3564093),(18 2.44494),(19 2.518454),(20 2.5970201),(21 2.6572938),(22 2.7068036),(23 2.744899),(24 2.7633975),(25 2.7767482),(26 2.800656),(27 2.808429),(28 2.8307295),(29 2.839672),(30 2.8484776),(31 2.8553076),(32 2.845928),(33 2.846606),(34 2.8519475),(35 2.8743427),(36 2.9018106),(37 2.915487),(38 2.9407969),(39 2.9444592),(40 2.9594493),(41 2.9635103),(42 2.974539),(43 2.9873972),(44 3.0001907),(45 3.0006037),(46 3.014069),(47 3.0483437),(48 3.0752885),(49 3.0887744),(50 3.0979147),(51 3.107382),(52 3.1172018),(53 3.1250706),(54 3.1401596),(55 3.1667814),(56 3.1917698),(57 3.2062292),(58 3.2248905),(59 3.239581),(60 3.2770455),(61 3.2782252),(62 3.289434),(63 3.3154347),(64 3.331394),(65 3.3277335),(66 3.3160665),(67 3.310391),(68 3.287733),(69 3.2628047),(70 3.27638),(71 3.2570286),(72 3.245401),(73 3.2445002),(74 3.2394931),(75 3.2449584),(76 3.2344124),(77 3.2396584),(78 3.232837),(79 3.2334757),
(1 0.5536734),(2 0.9792964),(3 1.3630126),(4 1.7035838),(5 1.9934447),(6 2.2140193),(7 2.4354153),(8 2.6398258),(9 2.825056),(10 2.9812186),(11 3.14877),(12 3.2778451),(13 3.357503),(14 3.4484296),(15 3.5384285),(16 3.608938),(17 3.687701),(18 3.763798),(19 3.8348145),(20 3.9329143),(21 3.9869819),(22 4.0475945),(23 4.1071835),(24 4.1161537),(25 4.1223736),(26 4.14172),(27 4.1611266),(28 4.2140026),(29 4.2421613),(30 4.2707787),(31 4.285188),(32 4.3159614),(33 4.3517966),(34 4.380686),(35 4.407311),(36 4.419811),(37 4.4109735),(38 4.399726),(39 4.406839),(40 4.413808),(41 4.422967),(42 4.466173),(43 4.4822326),(44 4.5215645),(45 4.5697565),(46 4.627323),(47 4.6920958),(48 4.7360234),(49 4.7650666),(50 4.797262),(51 4.83476),(52 4.841839),(53 4.852259),(54 4.871284),(55 4.870012),(56 4.85881),(57 4.8287787),(58 4.7998357),(59 4.7826276),(60 4.7760115),(61 4.7550564),(62 4.7478423),(63 4.7385626),(64 4.729775),(65 4.6997714),(66 4.6888003),(67 4.6664248),(68 4.658204),(69 4.663803),(70 4.657944),(71 4.651138),(72 4.6334324),(73 4.619182),(74 4.591646),(75 4.551818),(76 4.5223923),(77 4.508533),(78 4.462688),(79 4.4379544),
(1 0.96271485),(2 1.7163116),(3 2.339377),(4 2.8499477),(5 3.257587),(6 3.6085868),(7 3.910536),(8 4.2011538),(9 4.5024476),(10 4.72117),(11 4.9111123),(12 5.0893617),(13 5.210458),(14 5.2932763),(15 5.3550606),(16 5.38475),(17 5.4402137),(18 5.4783273),(19 5.5008526),(20 5.5267906),(21 5.5227804),(22 5.530939),(23 5.526767),(24 5.503806),(25 5.493351),(26 5.444496),(27 5.4453325),(28 5.460541),(29 5.457589),(30 5.4145327),(31 5.3853726),(32 5.4258423),(33 5.449276),(34 5.519425),(35 5.594349),(36 5.6460123),(37 5.6722336),(38 5.6873574),(39 5.705802),(40 5.70695),(41 5.7072873),(42 5.7090755),(43 5.720708),(44 5.744187),(45 5.754906),(46 5.7819057),(47 5.7407184),(48 5.749624),(49 5.750333),(50 5.760734),(51 5.7882867),(52 5.7935805),(53 5.840819),(54 5.893265),(55 5.943134),(56 5.9556127),(57 5.948026),(58 5.9359784),(59 5.898493),(60 5.8585277),(61 5.8068485),(62 5.8288555),(63 5.8099895),(64 5.848594),(65 5.852805),(66 5.8221006),(67 5.821849),(68 5.826725),(69 5.810276),(70 5.815157),(71 5.846445),(72 5.807557),(73 5.763098),(74 5.751213),(75 5.7229433),(76 5.702493),(77 5.648098),(78 5.607884),(79 5.5609665),
(1 1.0909985),(2 1.8641181),(3 2.4775786),(4 2.95408),(5 3.4047506),(6 3.756463),(7 4.0331364),(8 4.248804),(9 4.376174),(10 4.4770217),(11 4.543874),(12 4.6227612),(13 4.674205),(14 4.699008),(15 4.7809005),(16 4.814897),(17 4.858089),(18 4.8454404),(19 4.832885),(20 4.861335),(21 4.8896914),(22 4.8921256),(23 4.84902),(24 4.8780856),(25 4.839539),(26 4.78516),(27 4.7791076),(28 4.737003),(29 4.7344494),(30 4.6985774),(31 4.652806),(32 4.664084),(33 4.6502805),(34 4.643926),(35 4.6562395),(36 4.7124968),(37 4.7040124),(38 4.7139974),(39 4.744499),(40 4.805419),(41 4.859028),(42 4.8574386),(43 4.8457336),(44 4.808174),(45 4.744317),(46 4.713107),(47 4.6774607),(48 4.7271876),(49 4.6845675),(50 4.7181005),(51 4.715185),(52 4.756014),(53 4.7742567),(54 4.8056927),(55 4.8486795),(56 4.8195205),(57 4.761461),(58 4.725002),(59 4.6407037),(60 4.5472693),(61 4.5230827),(62 4.529239),(63 4.516116),(64 4.529919),(65 4.578691),(66 4.61463),(67 4.595859),(68 4.568608),(69 4.5648704),(70 4.5942),(71 4.610288),(72 4.593216),(73 4.588077),(74 4.5707464),(75 4.569259),(76 4.562503),(77 4.596755),(78 4.6189575),(79 4.598677),
(1 1.8135163),(2 3.0613728),(3 4.016441),(4 4.6854854),(5 5.1979694),(6 5.583719),(7 5.796863),(8 6.0239754),(9 6.196353),(10 6.299753),(11 6.370675),(12 6.487197),(13 6.5034313),(14 6.4723),(15 6.4406853),(16 6.41828),(17 6.4470673),(18 6.524498),(19 6.6052537),(20 6.69336),(21 6.725284),(22 6.8628516),(23 6.8458214),(24 6.8326745),(25 6.8067274),(26 6.763832),(27 6.6999545),(28 6.694497),(29 6.666007),(30 6.7462587),(31 6.775194),(32 6.806146),(33 6.9319863),(34 7.0175185),(35 7.04634),(36 7.015612),(37 6.9931107),(38 6.9146805),(39 6.9186416),(40 6.926082),(41 6.9391565),(42 6.9926195),(43 7.01572),(44 6.9844394),(45 7.060892),(46 7.0592065),(47 7.0892386),(48 7.0985513),(49 7.0807705),(50 7.0146613),(51 7.017122),(52 6.969812),(53 6.842418),(54 6.819394),(55 6.714146),(56 6.69588),(57 6.6948414),(58 6.625547),(59 6.5485497),(60 6.4966154),(61 6.4934993),(62 6.5238805),(63 6.4980874),(64 6.517114),(65 6.5150857),(66 6.537439),(67 6.571418),(68 6.6136684),(69 6.6545744),(70 6.7407937),(71 6.796869),(72 6.8439627),(73 6.9249845),(74 6.9932165),(75 7.0606103),(76 7.085627),(77 7.0673614),(78 7.0193973),(79 6.944282),
(1 2.4425037),(2 3.987375),(3 5.1571817),(4 6.0432487),(5 6.585241),(6 6.923995),(7 7.1638684),(8 7.3681746),(9 7.4420447),(10 7.543623),(11 7.4792743),(12 7.5038443),(13 7.487088),(14 7.4766192),(15 7.482941),(16 7.502685),(17 7.504158),(18 7.466014),(19 7.28815),(20 7.2776337),(21 7.226756),(22 7.210291),(23 7.157191),(24 7.0521255),(25 7.101399),(26 7.102126),(27 7.222697),(28 7.3495283),(29 7.410421),(30 7.4609113),(31 7.4671397),(32 7.472367),(33 7.4669003),(34 7.477966),(35 7.4298677),(36 7.4388514),(37 7.4600525),(38 7.4390416),(39 7.352167),(40 7.372204),(41 7.3489976),(42 7.313812),(43 7.205375),(44 7.122612),(45 7.131717),(46 7.051818),(47 7.086974),(48 7.1117067),(49 7.1779466),(50 7.3010736),(51 7.3600316),(52 7.4513087),(53 7.4497705),(54 7.479311),(55 7.4022427),(56 7.344775),(57 7.2784376),(58 7.185465),(59 7.1260056),(60 7.0821147),(61 7.207665),(62 7.251316),(63 7.2899213),(64 7.299892),(65 7.2905073),(66 7.306998),(67 7.2308455),(68 7.249822),(69 7.233177),(70 7.1887765),(71 7.1633973),(72 7.189953),(73 7.2045207),(74 7.2335124),(75 7.3062053),(76 7.416267),(77 7.415463),(78 7.363905),(79 7.343105),
(1 3.4047985),(2 5.3321724),(3 6.447115),(4 7.3548765),(5 7.8064127),(6 8.100291),(7 8.219881),(8 8.398788),(9 8.434518),(10 8.527112),(11 8.67776),(12 8.791419),(13 8.7201805),(14 8.698088),(15 8.595378),(16 8.576036),(17 8.509682),(18 8.526935),(19 8.610597),(20 8.594016),(21 8.658788),(22 8.748878),(23 8.631975),(24 8.701658),(25 8.755666),(26 8.861788),(27 8.7183075),(28 8.667071),(29 8.62893),(30 8.6119585),(31 8.720169),(32 8.761881),(33 8.715518),(34 8.669838),(35 8.777907),(36 8.74462),(37 8.726606),(38 8.653612),(39 8.582617),(40 8.446325),(41 8.357692),(42 8.410512),(43 8.431624),(44 8.484587),(45 8.429937),(46 8.408279),(47 8.409894),(48 8.598945),(49 8.729578),(50 8.714785),(51 8.705258),(52 8.705368),(53 8.725951),(54 8.570774),(55 8.437976),(56 8.420718),(57 8.373493),(58 8.394672),(59 8.44785),(60 8.36638),(61 8.381515),(62 8.352428),(63 8.342412),(64 8.446791),(65 8.480325),(66 8.528101),(67 8.45534),(68 8.424412),(69 8.423343),(70 8.451698),(71 8.541694),(72 8.599687),(73 8.648469),(74 8.620175),(75 8.551031),(76 8.470584),(77 8.329829),(78 8.287507),(79 8.212901),
(1 4.180498),(2 6.3025947),(3 7.481354),(4 8.242331),(5 8.543246),(6 8.766499),(7 8.834407),(8 9.012717),(9 8.947277),(10 9.004224),(11 9.05034),(12 9.129834),(13 9.14736),(14 9.110459),(15 9.060815),(16 9.05741),(17 9.072305),(18 9.206949),(19 9.191078),(20 9.0415535),(21 9.021719),(22 8.950746),(23 8.915199),(24 9.012462),(25 8.995524),(26 8.967088),(27 8.898266),(28 8.881787),(29 8.931897),(30 8.937892),(31 8.953176),(32 8.961694),(33 9.048301),(34 9.082477),(35 9.15162),(36 9.174137),(37 9.201058),(38 9.2444725),(39 9.235352),(40 9.310945),(41 9.175584),(42 9.089976),(43 9.094991),(44 9.110395),(45 9.043625),(46 9.1350765),(47 9.086485),(48 9.230147),(49 9.334548),(50 9.537723),(51 9.52464),(52 9.514022),(53 9.412918),(54 9.322526),(55 9.14872),(56 9.117302),(57 9.111252),(58 9.154283),(59 9.177273),(60 9.136315),(61 9.178005),(62 9.094454),(63 8.94978),(64 9.044826),(65 9.058906),(66 9.16875),(67 9.091435),(68 9.096151),(69 9.068794),(70 9.01248),(71 8.96423),(72 9.0414295),(73 8.970437),(74 8.946428),(75 8.9931345),(76 8.97236),(77 8.874728),(78 8.784087),(79 8.757543),
(1 4.334798),(2 6.458092),(3 7.549426),(4 8.000651),(5 8.10814),(6 8.303297),(7 8.479511),(8 8.536378),(9 8.444658),(10 8.401965),(11 8.402627),(12 8.256849),(13 8.065954),(14 8.174902),(15 8.310572),(16 8.2596445),(17 8.304693),(18 8.327563),(19 8.327488),(20 8.213419),(21 8.317655),(22 8.333455),(23 8.374245),(24 8.425014),(25 8.472029),(26 8.402449),(27 8.3645525),(28 8.3851595),(29 8.380873),(30 8.351455),(31 8.338077),(32 8.313802),(33 8.301025),(34 8.413752),(35 8.362),(36 8.352413),(37 8.332165),(38 8.465988),(39 8.46587),(40 8.38486),(41 8.301043),(42 8.226182),(43 8.252936),(44 8.231523),(45 8.317562),(46 8.454243),(47 8.483735),(48 8.375203),(49 8.264928),(50 8.243454),(51 8.353256),(52 8.402891),(53 8.385157),(54 8.276003),(55 8.296827),(56 8.261272),(57 8.204148),(58 8.209071),(59 8.2765465),(60 8.299899),(61 8.353736),(62 8.383529),(63 8.393771),(64 8.31367),(65 8.3584795),(66 8.527071),(67 8.634542),(68 8.532707),(69 8.412266),(70 8.219143),(71 8.10951),(72 8.188388),(73 8.162365),(74 8.142303),(75 8.136648),(76 8.206729),(77 8.236066),(78 8.248592),(79 8.204294),
