1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 1.407233),(2 1.9055407),(3 2.1454294),(4 2.2768652),(5 2.3685544),(6 2.437161),(7 2.4799473),(8 2.5100367),(9 2.535868),(10 2.5595193),(11 2.5693414),(12 2.5894277),(13 2.5952256),(14 2.6050956),(15 2.5985618),(16 2.596539),(17 2.6076288),(18 2.611558),(19 2.6119745),(20 2.6103742),(21 2.6150646),(22 2.6218653),(23 2.6171885),(24 2.619706),(25 2.6208913),(26 2.6217194),(27 2.6291463),(28 2.6263487),(29 2.6324713),(30 2.6381118),(31 2.6338096),(32 2.6367588),(33 2.639293),(34 2.6446967),(35 2.6457462),(36 2.6475887),(37 2.653483),(38 2.6552625),(39 2.6514103),(40 2.658402),(41 2.6584709),(42 2.645844),(43 2.6493576),(44 2.648154),(45 2.6485975),(46 2.648101),(47 2.648802),(48 2.649183),(49 2.6583445),(50 2.6700747),(51 2.6670516),(52 2.6636114),(53 2.6702516),(54 2.662448),(55 2.6575124),(56 2.6505353),(57 2.6505613),(58 2.649938),(59 2.6472142),(60 2.6331978),(61 2.6386929),(62 2.6405284),(63 2.6458397),(64 2.6584861),(65 2.6554668),(66 2.650824),(67 2.6437507),(68 2.6452644),(69 2.643608),(70 2.6456907),(71 2.6478896),(72 2.6471615),(73 2.6561627),(74 2.6506288),(75 2.6534188),(76 2.6502123),(77 2.650436),(78 2.6461005),(79 2.6432974),
(1 3.5006514),(2 4.062895),(3 4.2000756),(4 4.2390695),(5 4.2625856),(6 4.2881885),(7 4.2921414),(8 4.2887526),(9 4.293585),(10 4.2999344),(11 4.29092),(12 4.2883816),(13 4.3016067),(14 4.3093),(15 4.292313),(16 4.305329),(17 4.3149195),(18 4.3113146),(19 4.3095818),(20 4.3054886),(21 4.3159266),(22 4.324535),(23 4.3105),(24 4.295391),(25 4.298376),(26 4.3082633),(27 4.3203535),(28 4.317251),(29 4.307436),(30 4.304323),(31 4.3040156),(32 4.3031363),(33 4.29865),(34 4.319075),(35 4.319306),(36 4.3066707),(37 4.303277),(38 4.312304),(39 4.314322),(40 4.308906),(41 4.3052683),(42 4.3011193),(43 4.289728),(44 4.3028426),(45 4.3090897),(46 4.3045726),(47 4.3113623),(48 4.305076),(49 4.313551),(50 4.308694),(51 4.30597),(52 4.300086),(53 4.315409),(54 4.3103104),(55 4.3055167),(56 4.3187118),(57 4.3162937),(58 4.315444),(59 4.301614),(60 4.3104367),(61 4.3028517),(62 4.319343),(63 4.297533),(64 4.313261),(65 4.3159776),(66 4.3075876),(67 4.307918),(68 4.3089433),(69 4.315887),(70 4.312348),(71 4.3067055),(72 4.319803),(73 4.323909),(74 4.3087797),(75 4.314403),(76 4.3108163),(77 4.3281937),(78 4.311463),(79 4.3115196),
(1 4.7065783),(2 4.9232635),(3 4.931803),(4 4.937045),(5 4.936375),(6 4.9505725),(7 4.9451466),(8 4.961272),(9 4.966397),(10 4.9584675),(11 4.964375),(12 4.936568),(13 4.9508443),(14 4.9487057),(15 4.939908),(16 4.958626),(17 4.9568024),(18 4.9454327),(19 4.953805),(20 4.957106),(21 4.965217),(22 4.949166),(23 4.9510655),(24 4.944096),(25 4.953364),(26 4.954214),(27 4.9688582),(28 4.9452386),(29 4.9484825),(30 4.93906),(31 4.9650307),(32 4.9512243),(33 4.9596276),(34 4.9578757),(35 4.9561825),(36 4.950899),(37 4.938623),(38 4.942374),(39 4.9509654),(40 4.941526),(41 4.9380755),(42 4.9408536),(43 4.938825),(44 4.9558764),(45 4.94777),(46 4.952456),(47 4.945811),(48 4.9488173),(49 4.947176),(50 4.9445868),(51 4.9420033),(52 4.959404),(53 4.940754),(54 4.9593716),(55 4.956069),(56 4.949969),(57 4.9408693),(58 4.9422894),(59 4.9458942),(60 4.943707),(61 4.947827),(62 4.95251),(63 4.953426),(64 4.9627333),(65 4.9498916),(66 4.9576507),(67 4.9584045),(68 4.9618225),(69 4.952747),(70 4.9405017),(71 4.95103),(72 4.953653),(73 4.963611),(74 4.954482),(75 4.9553123),(76 4.944811),(77 4.946335),(78 4.95077),(79 4.9524984),
(1 6.9152303),(2 6.9574184),(3 6.9588714),(4 6.976868),(5 6.9703045),(6 6.9795914),(7 6.987187),(8 7.0026727),(9 6.996397),(10 6.972534),(11 6.969715),(12 6.9707403),(13 6.967013),(14 6.9568477),(15 6.9668407),(16 6.9559946),(17 6.9701552),(18 6.958543),(19 6.978415),(20 6.979586),(21 6.977957),(22 6.992201),(23 6.9900317),(24 6.9721236),(25 6.9887414),(26 6.970703),(27 6.9771075),(28 6.9663434),(29 6.9707856),(30 6.972099),(31 6.9800034),(32 6.9682593),(33 6.980377),(34 6.974699),(35 6.9777946),(36 6.9837394),(37 6.982322),(38 6.966793),(39 6.968577),(40 6.974068),(41 6.9757953),(42 6.9526734),(43 6.9758754),(44 6.95501),(45 6.9780555),(46 6.969818),(47 6.9816236),(48 6.9888372),(49 6.9741564),(50 6.988288),(51 6.9767513),(52 6.9859896),(53 6.9634438),(54 6.9705553),(55 6.971764),(56 6.960105),(57 6.9683456),(58 6.962627),(59 6.9829774),(60 6.969857),(61 6.9858823),(62 6.9461613),(63 6.9600196),(64 6.96722),(65 6.9614863),(66 6.975809),(67 6.9744587),(68 6.964822),(69 6.947205),(70 6.954048),(71 6.96527),(72 6.954463),(73 6.961618),(74 6.976953),(75 6.9685616),(76 6.9782915),(77 6.956016),(78 6.963835),(79 6.942857),
(1 7.9583263),(2 8.009655),(3 7.992955),(4 7.978095),(5 7.9979124),(6 7.996313),(7 7.9979324),(8 8.007257),(9 7.9878583),(10 7.9981556),(11 7.9887514),(12 7.9939804),(13 7.9974003),(14 8.0054),(15 7.98147),(16 7.979814),(17 7.9968834),(18 7.9844494),(19 7.9900093),(20 7.996991),(21 8.004402),(22 7.9732237),(23 8.013135),(24 7.992606),(25 8.00817),(26 8.010829),(27 8.002057),(28 7.9936895),(29 7.998451),(30 7.9859276),(31 8.004047),(32 7.98847),(33 7.997781),(34 8.012568),(35 8.003101),(36 8.000131),(37 8.010582),(38 7.986599),(39 8.007281),(40 8.003064),(41 7.986719),(42 8.000926),(43 7.998028),(44 7.982481),(45 8.001237),(46 7.9847164),(47 8.000424),(48 7.9980907),(49 7.9842563),(50 7.9897547),(51 7.98619),(52 7.9829016),(53 7.978859),(54 7.9782724),(55 7.9882965),(56 7.9835963),(57 7.9793873),(58 7.971706),(59 7.983767),(60 7.97946),(61 7.985547),(62 7.961671),(63 7.973446),(64 7.970109),(65 7.9708376),(66 7.979396),(67 7.9752636),(68 7.98238),(69 7.9817085),(70 7.9762654),(71 7.992317),(72 7.980162),(73 7.993533),(74 7.9803214),(75 7.992628),(76 7.995994),(77 7.964966),(78 7.9750195),(79 7.9841237),
(1 6.679125),(2 6.68402),(3 6.688928),(4 6.6819468),(5 6.6797366),(6 6.6914406),(7 6.683936),(8 6.7033606),(9 6.685852),(10 6.6963077),(11 6.690334),(12 6.6871066),(13 6.685174),(14 6.689939),(15 6.68916),(16 6.6831093),(17 6.683039),(18 6.6837864),(19 6.692244),(20 6.6706386),(21 6.6842914),(22 6.6707273),(23 6.667329),(24 6.6851306),(25 6.6689734),(26 6.674772),(27 6.68354),(28 6.682576),(29 6.6906023),(30 6.6796484),(31 6.7047677),(32 6.6928096),(33 6.6770854),(34 6.683004),(35 6.686954),(36 6.678717),(37 6.670959),(38 6.68491),(39 6.6985297),(40 6.6658454),(41 6.682582),(42 6.6816278),(43 6.6853127),(44 6.666238),(45 6.678636),(46 6.6712055),(47 6.6833797),(48 6.6914406),(49 6.6766148),(50 6.683675),(51 6.671123),(52 6.682866),(53 6.6716247),(54 6.6718345),(55 6.6831436),(56 6.6747775),(57 6.671213),(58 6.686616),(59 6.6633744),(60 6.664619),(61 6.6607866),(62 6.670928),(63 6.66804),(64 6.6702843),(65 6.6628547),(66 6.6533003),(67 6.666198),(68 6.67266),(69 6.6716394),(70 6.66771),(71 6.6640296),(72 6.6767445),(73 6.6699543),(74 6.6664214),(75 6.677549),(76 6.6678643),(77 6.666967),(78 6.67158),(79 6.658934),
(1 7.8599424),(2 7.8693013),(3 7.877583),(4 7.8702536),(5 7.8716574),(6 7.8500304),(7 7.864488),(8 7.8765664),(9 7.8663216),(10 7.8480735),(11 7.852442),(12 7.8622756),(13 7.8599463),(14 7.8488994),(15 7.869966),(16 7.850761),(17 7.8655972),(18 7.8547497),(19 7.852553),(20 7.8760753),(21 7.8655334),(22 7.8652363),(23 7.8673887),(24 7.866378),(25 7.8544855),(26 7.8747983),(27 7.8573747),(28 7.875188),(29 7.86889),(30 7.861471),(31 7.875655),(32 7.864782),(33 7.867831),(34 7.868986),(35 7.8537183),(36 7.8648267),(37 7.865239),(38 7.8671303),(39 7.8517942),(40 7.860038),(41 7.858507),(42 7.858737),(43 7.854617),(44 7.8437705),(45 7.8766766),(46 7.8638372),(47 7.85215),(48 7.8561077),(49 7.871052),(50 7.8563776),(51 7.870344),(52 7.8662663),(53 7.8648067),(54 7.8639154),(55 7.8627186),(56 7.8642073),(57 7.8599195),(58 7.8490787),(59 7.8593493),(60 7.8514442),(61 7.8504586),(62 7.8592978),(63 7.857777),(64 7.8679295),(65 7.8773866),(66 7.862756),(67 7.856045),(68 7.859621),(69 7.8613334),(70 7.8447213),(71 7.85753),(72 7.856981),(73 7.8594885),(74 7.8472114),(75 7.85444),(76 7.8642516),(77 7.851053),(78 7.8601093),(79 7.8635435),
(1 8.060316),(2 8.060748),(3 8.04768),(4 8.061518),(5 8.049865),(6 8.054877),(7 8.05869),(8 8.073602),(9 8.054333),(10 8.059811),(11 8.058943),(12 8.059885),(13 8.05894),(14 8.063928),(15 8.053603),(16 8.054687),(17 8.067588),(18 8.051643),(19 8.066113),(20 8.071764),(21 8.059934),(22 8.064899),(23 8.044709),(24 8.070289),(25 8.060701),(26 8.061981),(27 8.062087),(28 8.062269),(29 8.052127),(30 8.05903),(31 8.054611),(32 8.04305),(33 8.070631),(34 8.071922),(35 8.074151),(36 8.068457),(37 8.070723),(38 8.066481),(39 8.068975),(40 8.066642),(41 8.061316),(42 8.053942),(43 8.066196),(44 8.065944),(45 8.062132),(46 8.062539),(47 8.071499),(48 8.060164),(49 8.079031),(50 8.06138),(51 8.082087),(52 8.062509),(53 8.051702),(54 8.058007),(55 8.061937),(56 8.051529),(57 8.063279),(58 8.049656),(59 8.053238),(60 8.058735),(61 8.05873),(62 8.047749),(63 8.051605),(64 8.059443),(65 8.04581),(66 8.048539),(67 8.054944),(68 8.052652),(69 8.047399),(70 8.057455),(71 8.053594),(72 8.056625),(73 8.052231),(74 8.05662),(75 8.051944),(76 8.062067),(77 8.032682),(78 8.055981),(79 8.058801),
(1 7.930458),(2 7.924971),(3 7.9308143),(4 7.9363737),(5 7.9278383),(6 7.946707),(7 7.934229),(8 7.943778),(9 7.942827),(10 7.937328),(11 7.932584),(12 7.9405932),(13 7.922892),(14 7.9438467),(15 7.9279356),(16 7.946697),(17 7.927904),(18 7.9380236),(19 7.9229503),(20 7.922978),(21 7.9419413),(22 7.9272375),(23 7.925138),(24 7.926014),(25 7.946904),(26 7.942768),(27 7.921703),(28 7.9258757),(29 7.923564),(30 7.9296374),(31 7.9410167),(32 7.932068),(33 7.929698),(34 7.934271),(35 7.931669),(36 7.9278746),(37 7.9326415),(38 7.921499),(39 7.926014),(40 7.9090686),(41 7.916938),(42 7.9240217),(43 7.933328),(44 7.939595),(45 7.9221525),(46 7.9201584),(47 7.920658),(48 7.922451),(49 7.936976),(50 7.9216714),(51 7.923481),(52 7.9305716),(53 7.9294124),(54 7.9224615),(55 7.920763),(56 7.9301615),(57 7.9222145),(58 7.9180145),(59 7.936872),(60 7.9256454),(61 7.922118),(62 7.9226494),(63 7.919635),(64 7.916744),(65 7.9310493),(66 7.9421053),(67 7.911517),(68 7.9177547),(69 7.9347644),(70 7.9360085),(71 7.9346976),(72 7.927225),(73 7.913713),(74 7.9259033),(75 7.9178195),(76 7.9176707),(77 7.9348965),(78 7.9259205),(79 7.9318447),
(1 7.322596),(2 7.341284),(3 7.326605),(4 7.336776),(5 7.3331046),(6 7.3319983),(7 7.3288617),(8 7.3295116),(9 7.326249),(10 7.3224387),(11 7.3230195),(12 7.3319483),(13 7.322784),(14 7.3171663),(15 7.330722),(16 7.322345),(17 7.3252916),(18 7.324266),(19 7.3288536),(20 7.316401),(21 7.3236003),(22 7.320885),(23 7.3158655),(24 7.324855),(25 7.331953),(26 7.321851),(27 7.325213),(28 7.3231735),(29 7.3186765),(30 7.3263397),(31 7.328573),(32 7.3273296),(33 7.317162),(34 7.326286),(35 7.3156037),(36 7.312279),(37 7.3118987),(38 7.3175983),(39 7.3100977),(40 7.315251),(41 7.328134),(42 7.309367),(43 7.3241696),(44 7.3163466),(45 7.316329),(46 7.3062344),(47 7.3273497),(48 7.3240633),(49 7.3271236),(50 7.3145514),(51 7.318137),(52 7.3192534),(53 7.30946),(54 7.31372),(55 7.3172984),(56 7.3177743),(57 7.322792),(58 7.296829),(59 7.3131585),(60 7.2983437),(61 7.2998123),(62 7.31483),(63 7.308516),(64 7.306878),(65 7.310443),(66 7.3098307),(67 7.3052297),(68 7.3168097),(69 7.302584),(70 7.3079095),(71 7.3164024),(72 7.3031945),(73 7.3142376),(74 7.3085375),(75 7.3163257),(76 7.312253),(77 7.316945),(78 7.3078356),(79 7.309736),
(1 5.8766227),(2 5.885198),(3 5.884779),(4 5.8775587),(5 5.8893237),(6 5.8655066),(7 5.8805914),(8 5.8806777),(9 5.880814),(10 5.8707576),(11 5.878743),(12 5.8897014),(13 5.8806653),(14 5.879073),(15 5.876026),(16 5.8744497),(17 5.8805265),(18 5.8770947),(19 5.881134),(20 5.877956),(21 5.8621507),(22 5.8789697),(23 5.8705735),(24 5.87295),(25 5.874643),(26 5.8627586),(27 5.8784885),(28 5.865548),(29 5.8747234),(30 5.863431),(31 5.8769836),(32 5.8731933),(33 5.86764),(34 5.8769183),(35 5.8733582),(36 5.872389),(37 5.876701),(38 5.8637733),(39 5.8683877),(40 5.874518),(41 5.879995),(42 5.868765),(43 5.879836),(44 5.873558),(45 5.8663635),(46 5.8758974),(47 5.8694386),(48 5.87069),(49 5.8696914),(50 5.8750086),(51 5.875641),(52 5.874957),(53 5.8784037),(54 5.86726),(55 5.875331),(56 5.872685),(57 5.8612714),(58 5.8707266),(59 5.862666),(60 5.8666387),(61 5.867163),(62 5.8669677),(63 5.858657),(64 5.8635073),(65 5.8528175),(66 5.866239),(67 5.871492),(68 5.8608727),(69 5.877578),(70 5.8737326),(71 5.8680577),(72 5.8652763),(73 5.861385),(74 5.869949),(75 5.8728175),(76 5.874204),(77 5.855625),(78 5.864212),(79 5.867291),
