1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 1.26996),(2 1.6718231),(3 1.863677),(4 1.9793012),(5 2.054184),(6 2.1061816),(7 2.1517873),(8 2.1816359),(9 2.199974),(10 2.2272437),(11 2.2419846),(12 2.2565517),(13 2.2698433),(14 2.2723386),(15 2.2807324),(16 2.2796166),(17 2.292693),(18 2.2992733),(19 2.306006),(20 2.3107805),(21 2.320469),(22 2.319557),(23 2.317932),(24 2.3220549),(25 2.319864),(26 2.334109),(27 2.345877),(28 2.341428),(29 2.3411593),(30 2.346432),(31 2.346694),(32 2.3509123),(33 2.3535256),(34 2.3660734),(35 2.3667326),(36 2.3695781),(37 2.3656027),(38 2.3704238),(39 2.3696563),(40 2.3705575),(41 2.3657577),(42 2.3642743),(43 2.3722382),(44 2.3745117),(45 2.371997),(46 2.3688526),(47 2.3740687),(48 2.37132),(49 2.3849723),(50 2.3944764),(51 2.3945513),(52 2.3963804),(53 2.3898754),(54 2.3925416),(55 2.3901787),(56 2.3966048),(57 2.4045532),(58 2.3995264),(59 2.4051213),(60 2.4040647),(61 2.4053159),(62 2.4020913),(63 2.3993707),(64 2.3996525),(65 2.400785),(66 2.3975353),(67 2.3962448),(68 2.4010131),(69 2.4058604),(70 2.3996263),(71 2.4042869),(72 2.402921),(73 2.4099681),(74 2.4070985),(75 2.412837),(76 2.4123187),(77 2.4134383),(78 2.3994098),(79 2.4027128),
(1 2.7472596),(2 3.315305),(3 3.525885),(4 3.6422608),(5 3.7194598),(6 3.781558),(7 3.8244247),(8 3.8439305),(9 3.8629062),(10 3.8876255),(11 3.9005613),(12 3.9132977),(13 3.924797),(14 3.9335334),(15 3.9199486),(16 3.9352117),(17 3.9286466),(18 3.9469826),(19 3.943047),(20 3.9454453),(21 3.956287),(22 3.9526725),(23 3.952753),(24 3.9491036),(25 3.952517),(26 3.9505923),(27 3.9658496),(28 3.9543765),(29 3.9455106),(30 3.9545481),(31 3.969391),(32 3.9718828),(33 3.9750073),(34 3.984712),(35 3.9765754),(36 3.98364),(37 3.9688911),(38 3.9781542),(39 3.9687326),(40 3.97568),(41 3.9670851),(42 3.9640112),(43 3.9628987),(44 3.9613092),(45 3.970882),(46 3.9689739),(47 3.9715273),(48 3.9754753),(49 3.9816628),(50 3.9946601),(51 3.991471),(52 3.99015),(53 3.9851418),(54 3.9882088),(55 3.9804368),(56 3.9722188),(57 3.9759736),(58 3.9776583),(59 3.9724593),(60 3.9598293),(61 3.9660254),(62 3.9772716),(63 3.9804397),(64 3.9929664),(65 3.9909158),(66 3.9887996),(67 3.9788315),(68 3.984039),(69 3.9791076),(70 3.9736998),(71 3.9806817),(72 3.9814954),(73 3.9955366),(74 3.9882393),(75 3.9940326),(76 3.988393),(77 3.9851909),(78 3.9843569),(79 3.9770083),
(1 3.9104662),(2 4.3933005),(3 4.5214033),(4 4.581308),(5 4.6160436),(6 4.641823),(7 4.641611),(8 4.6592097),(9 4.6569023),(10 4.658813),(11 4.6771817),(12 4.665294),(13 4.669305),(14 4.6742682),(15 4.663949),(16 4.659379),(17 4.6623545),(18 4.6543326),(19 4.668395),(20 4.6753793),(21 4.677066),(22 4.6764493),(23 4.675666),(24 4.6625214),(25 4.6736884),(26 4.675286),(27 4.663914),(28 4.6744986),(29 4.6586185),(30 4.655736),(31 4.661842),(32 4.6599603),(33 4.6560783),(34 4.678976),(35 4.675531),(36 4.666719),(37 4.6569495),(38 4.6678934),(39 4.67071),(40 4.667922),(41 4.667799),(42 4.662903),(43 4.6476216),(44 4.6590476),(45 4.651868),(46 4.6537056),(47 4.6582465),(48 4.661939),(49 4.6696796),(50 4.671905),(51 4.6652555),(52 4.672979),(53 4.669452),(54 4.672021),(55 4.6752696),(56 4.673201),(57 4.6647286),(58 4.655095),(59 4.6626377),(60 4.656996),(61 4.6574855),(62 4.6550903),(63 4.655806),(64 4.67297),(65 4.667486),(66 4.6726394),(67 4.6697717),(68 4.6658993),(69 4.665167),(70 4.661192),(71 4.6608453),(72 4.665126),(73 4.678055),(74 4.659313),(75 4.6617403),(76 4.660527),(77 4.663747),(78 4.6628165),(79 4.654421),
(1 6.3126483),(2 6.6383944),(3 6.682149),(4 6.68938),(5 6.7042837),(6 6.7220592),(7 6.728255),(8 6.7282043),(9 6.7274733),(10 6.7335114),(11 6.722091),(12 6.711187),(13 6.723571),(14 6.7103243),(15 6.710533),(16 6.7222385),(17 6.7215796),(18 6.7026625),(19 6.716769),(20 6.7146363),(21 6.72387),(22 6.7302985),(23 6.7043443),(24 6.7051287),(25 6.7097173),(26 6.7232842),(27 6.7451096),(28 6.7084827),(29 6.7173567),(30 6.7140613),(31 6.740999),(32 6.723539),(33 6.713563),(34 6.725814),(35 6.7438183),(36 6.72787),(37 6.716428),(38 6.714105),(39 6.723483),(40 6.7162957),(41 6.705587),(42 6.7043386),(43 6.698724),(44 6.7274523),(45 6.720287),(46 6.7173767),(47 6.7324944),(48 6.7167983),(49 6.722007),(50 6.727637),(51 6.716757),(52 6.7287626),(53 6.7193246),(54 6.7168484),(55 6.701556),(56 6.712783),(57 6.7102704),(58 6.71991),(59 6.7140775),(60 6.7133517),(61 6.7147684),(62 6.70548),(63 6.714251),(64 6.7189775),(65 6.708961),(66 6.711762),(67 6.714946),(68 6.7033834),(69 6.7026615),(70 6.699655),(71 6.7067432),(72 6.705744),(73 6.7119584),(74 6.711327),(75 6.729916),(76 6.730847),(77 6.7110424),(78 6.706077),(79 6.704919),
(1 7.7354255),(2 7.884358),(3 7.871478),(4 7.872649),(5 7.879463),(6 7.897093),(7 7.91039),(8 7.9184837),(9 7.910367),(10 7.901931),(11 7.8956194),(12 7.8927135),(13 7.8979716),(14 7.9001527),(15 7.872684),(16 7.8998413),(17 7.8965244),(18 7.8824787),(19 7.9097176),(20 7.8931413),(21 7.8999515),(22 7.8832636),(23 7.8967605),(24 7.8819633),(25 7.898151),(26 7.8893313),(27 7.9067817),(28 7.8809137),(29 7.900609),(30 7.8910117),(31 7.910415),(32 7.9008646),(33 7.9035096),(34 7.896692),(35 7.913491),(36 7.8971033),(37 7.897823),(38 7.899527),(39 7.900105),(40 7.889778),(41 7.892678),(42 7.8868623),(43 7.8831835),(44 7.8850055),(45 7.901025),(46 7.8839746),(47 7.8945265),(48 7.9103203),(49 7.890478),(50 7.9020696),(51 7.9035625),(52 7.910802),(53 7.8727016),(54 7.882921),(55 7.8867974),(56 7.8795943),(57 7.8711967),(58 7.886753),(59 7.899077),(60 7.901957),(61 7.899415),(62 7.8743696),(63 7.8816137),(64 7.8923326),(65 7.8819833),(66 7.892593),(67 7.888036),(68 7.8913574),(69 7.8722734),(70 7.8732166),(71 7.8872304),(72 7.8986397),(73 7.9159393),(74 7.8819084),(75 7.8952637),(76 7.9032707),(77 7.8831873),(78 7.9121423),(79 7.906772),
(1 6.763001),(2 6.809273),(3 6.804468),(4 6.8126736),(5 6.799432),(6 6.8049226),(7 6.8184276),(8 6.8196907),(9 6.8121367),(10 6.811451),(11 6.8050847),(12 6.81038),(13 6.8116446),(14 6.8097258),(15 6.8017592),(16 6.8058524),(17 6.8097215),(18 6.802639),(19 6.8189125),(20 6.8125043),(21 6.805749),(22 6.812352),(23 6.813451),(24 6.803114),(25 6.807376),(26 6.79818),(27 6.8123164),(28 6.7910514),(29 6.7960596),(30 6.8149796),(31 6.808655),(32 6.8092175),(33 6.802268),(34 6.808947),(35 6.806602),(36 6.7988324),(37 6.799051),(38 6.795371),(39 6.8081174),(40 6.803537),(41 6.8123403),(42 6.78973),(43 6.7983627),(44 6.793042),(45 6.8019505),(46 6.7989597),(47 6.7953577),(48 6.7973037),(49 6.797986),(50 6.7981586),(51 6.785886),(52 6.793801),(53 6.78689),(54 6.77847),(55 6.786316),(56 6.781714),(57 6.7863264),(58 6.779124),(59 6.7903194),(60 6.7857575),(61 6.78276),(62 6.7753353),(63 6.7743278),(64 6.7884245),(65 6.8011065),(66 6.786813),(67 6.7935395),(68 6.7942944),(69 6.7800794),(70 6.7779202),(71 6.7839704),(72 6.7771916),(73 6.7916775),(74 6.7887),(75 6.803205),(76 6.784402),(77 6.7809324),(78 6.787314),(79 6.77362),
(1 8.290795),(2 8.32248),(3 8.32988),(4 8.313519),(5 8.310955),(6 8.3096285),(7 8.326168),(8 8.338202),(9 8.314167),(10 8.34007),(11 8.315822),(12 8.323143),(13 8.322395),(14 8.31166),(15 8.312504),(16 8.301653),(17 8.31076),(18 8.302067),(19 8.325021),(20 8.307615),(21 8.310316),(22 8.304775),(23 8.323307),(24 8.312686),(25 8.322391),(26 8.320695),(27 8.31411),(28 8.321044),(29 8.309393),(30 8.289805),(31 8.320339),(32 8.3118),(33 8.325044),(34 8.319823),(35 8.313994),(36 8.320839),(37 8.319413),(38 8.308988),(39 8.312618),(40 8.300961),(41 8.321662),(42 8.309527),(43 8.316936),(44 8.301224),(45 8.320202),(46 8.291521),(47 8.32013),(48 8.313949),(49 8.312139),(50 8.31327),(51 8.309394),(52 8.302206),(53 8.3108),(54 8.305108),(55 8.312205),(56 8.311061),(57 8.294513),(58 8.315074),(59 8.284565),(60 8.296817),(61 8.295996),(62 8.310422),(63 8.298742),(64 8.296289),(65 8.302897),(66 8.318168),(67 8.301826),(68 8.31145),(69 8.301033),(70 8.30767),(71 8.305273),(72 8.319639),(73 8.308926),(74 8.301239),(75 8.297599),(76 8.319975),(77 8.302532),(78 8.294922),(79 8.315634),
(1 8.909514),(2 8.933732),(3 8.949249),(4 8.929904),(5 8.932515),(6 8.932932),(7 8.947928),(8 8.946512),(9 8.928666),(10 8.939988),(11 8.922453),(12 8.9350395),(13 8.934742),(14 8.949933),(15 8.932568),(16 8.918553),(17 8.933153),(18 8.930698),(19 8.935332),(20 8.931912),(21 8.949109),(22 8.921274),(23 8.938386),(24 8.941778),(25 8.926978),(26 8.925927),(27 8.939115),(28 8.925795),(29 8.944987),(30 8.924333),(31 8.931587),(32 8.920876),(33 8.92597),(34 8.934379),(35 8.936324),(36 8.94347),(37 8.935541),(38 8.928697),(39 8.928862),(40 8.915782),(41 8.909492),(42 8.91751),(43 8.925401),(44 8.90016),(45 8.942905),(46 8.937719),(47 8.921787),(48 8.921949),(49 8.932064),(50 8.923784),(51 8.931753),(52 8.913289),(53 8.911495),(54 8.92543),(55 8.93591),(56 8.913297),(57 8.900294),(58 8.904321),(59 8.923736),(60 8.914437),(61 8.905707),(62 8.916556),(63 8.901351),(64 8.9177885),(65 8.916693),(66 8.9210825),(67 8.918883),(68 8.910793),(69 8.915614),(70 8.922877),(71 8.914383),(72 8.919571),(73 8.912405),(74 8.918877),(75 8.928956),(76 8.908581),(77 8.899842),(78 8.916994),(79 8.90998),
(1 9.298614),(2 9.301247),(3 9.297928),(4 9.303452),(5 9.306067),(6 9.300289),(7 9.308041),(8 9.328192),(9 9.309662),(10 9.310988),(11 9.304523),(12 9.307258),(13 9.292822),(14 9.293028),(15 9.305567),(16 9.295973),(17 9.306744),(18 9.296227),(19 9.283307),(20 9.3150215),(21 9.299165),(22 9.28334),(23 9.285673),(24 9.293285),(25 9.284913),(26 9.296603),(27 9.28289),(28 9.30728),(29 9.287405),(30 9.271071),(31 9.301514),(32 9.279106),(33 9.298878),(34 9.294912),(35 9.296472),(36 9.2932825),(37 9.293242),(38 9.285338),(39 9.296383),(40 9.292282),(41 9.28675),(42 9.289285),(43 9.282895),(44 9.265248),(45 9.311736),(46 9.263575),(47 9.293108),(48 9.285276),(49 9.306199),(50 9.286009),(51 9.295852),(52 9.298997),(53 9.282725),(54 9.275616),(55 9.284316),(56 9.2855425),(57 9.289104),(58 9.271591),(59 9.274741),(60 9.271433),(61 9.281668),(62 9.261512),(63 9.280301),(64 9.274963),(65 9.287313),(66 9.271495),(67 9.289237),(68 9.2802725),(69 9.272709),(70 9.268813),(71 9.290565),(72 9.286525),(73 9.281765),(74 9.278205),(75 9.275696),(76 9.287068),(77 9.278436),(78 9.2871475),(79 9.294022),
(1 9.065052),(2 9.074073),(3 9.077443),(4 9.077819),(5 9.068848),(6 9.056723),(7 9.086545),(8 9.093152),(9 9.079458),(10 9.07335),(11 9.086683),(12 9.08508),(13 9.056082),(14 9.075634),(15 9.073212),(16 9.04952),(17 9.073179),(18 9.07209),(19 9.059838),(20 9.080757),(21 9.078238),(22 9.07677),(23 9.060205),(24 9.062419),(25 9.068145),(26 9.053467),(27 9.06092),(28 9.068326),(29 9.059152),(30 9.063086),(31 9.073344),(32 9.0512),(33 9.056999),(34 9.074721),(35 9.064563),(36 9.071025),(37 9.057919),(38 9.056218),(39 9.048526),(40 9.066845),(41 9.066408),(42 9.069765),(43 9.070655),(44 9.058881),(45 9.077462),(46 9.060714),(47 9.06611),(48 9.058388),(49 9.066217),(50 9.054682),(51 9.061102),(52 9.059941),(53 9.063517),(54 9.050041),(55 9.065393),(56 9.047358),(57 9.0557995),(58 9.049435),(59 9.069935),(60 9.038051),(61 9.054708),(62 9.058935),(63 9.069218),(64 9.057657),(65 9.051247),(66 9.064595),(67 9.048631),(68 9.0449705),(69 9.044947),(70 9.042596),(71 9.049889),(72 9.056142),(73 9.06263),(74 9.055421),(75 9.055884),(76 9.062046),(77 9.056129),(78 9.059686),(79 9.05197),
(1 7.7473335),(2 7.7519054),(3 7.751828),(4 7.748238),(5 7.754581),(6 7.754728),(7 7.753541),(8 7.7707753),(9 7.7617774),(10 7.7472496),(11 7.7508683),(12 7.7388144),(13 7.753074),(14 7.754773),(15 7.742299),(16 7.7490487),(17 7.7472143),(18 7.7466993),(19 7.7369294),(20 7.731231),(21 7.73756),(22 7.7438655),(23 7.7416987),(24 7.7404613),(25 7.742073),(26 7.754898),(27 7.73949),(28 7.738403),(29 7.7488503),(30 7.733357),(31 7.745169),(32 7.7346187),(33 7.745351),(34 7.7440677),(35 7.7442966),(36 7.735763),(37 7.7571926),(38 7.742422),(39 7.7505245),(40 7.7353215),(41 7.7293525),(42 7.718878),(43 7.7553315),(44 7.7416267),(45 7.7325296),(46 7.7307806),(47 7.733543),(48 7.7352424),(49 7.7541804),(50 7.730818),(51 7.7469),(52 7.7398725),(53 7.7274494),(54 7.7378564),(55 7.7327414),(56 7.7336545),(57 7.740612),(58 7.7167664),(59 7.7394905),(60 7.735397),(61 7.7329803),(62 7.7263803),(63 7.722614),(64 7.725619),(65 7.7373137),(66 7.730292),(67 7.7243266),(68 7.724005),(69 7.734243),(70 7.7369394),(71 7.732828),(72 7.7364225),(73 7.7316084),(74 7.7296934),(75 7.7319045),(76 7.7286153),(77 7.7360706),(78 7.7361803),(79 7.739408),
