1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 40.789093),(2 27873.74),(3 242949.98),(4 588012.44),(5 584747.56),(6 658926.9),(7 913837.25),(8 1066090.5),(9 1058886),(10 981573.75),(11 949849.7),(12 1057877.9),(13 1052007.5),(14 1310515.9),(15 22089878),(16 117884296),(17 117893720),(18 113545270),(19 112448440),(20 109311490),(21 109528184),(22 113951070),(23 115063490),(24 111479910),(25 111479624),(26 112807550),(27 107576650),(28 105075330),(29 104884710),(30 105089600),(31 93153496),(32 82173270),(33 82192376),(34 55776388),(35 33359638),(36 30092346),(37 29855232),(38 22820544),(39 20858710),(40 19896978),(41 19923562),(42 20540410),(43 21946874),(44 25851360),(45 26166306),(46 34756790),(47 37043164),(48 37027516),
(1 38.782936),(2 20955.586),(3 257530),(4 462977.2),(5 461412.16),(6 560775.3),(7 806217.94),(8 847572.3),(9 845566),(10 798129.06),(11 681655.5),(12 918688),(13 916151.2),(14 1278652),(15 12792206),(16 50168116),(17 50178080),(18 51645576),(19 54555370),(20 55370250),(21 55460570),(22 55840884),(23 56906508),(24 56436320),(25 56483520),(26 56394250),(27 53300212),(28 51575348),(29 51541896),(30 51226090),(31 46470332),(32 43317640),(33 43426668),(34 32188660),(35 22203254),(36 19686994),(37 19664732),(38 16114000),(39 15580334),(40 15319176),(41 15355659),(42 15758942),(43 16625635),(44 19439780),(45 19584644),(46 24392740),(47 25558532),(48 25589428),
(1 53.502132),(2 29148.045),(3 319531.03),(4 529924),(5 529994.8),(6 604780),(7 557152),(8 633975.44),(9 631762.4),(10 703415.5),(11 610266.5),(12 890780),(13 888384),(14 1236021.6),(15 6422044),(16 19922522),(17 19916214),(18 20350106),(19 21867646),(20 22381470),(21 22415738),(22 22492218),(23 22915384),(24 22779618),(25 22819090),(26 23133026),(27 22191242),(28 21598102),(29 21544006),(30 20922552),(31 18940342),(32 16903992),(33 16984394),(34 11424917),(35 7578252.5),(36 6855269.5),(37 6870477.5),(38 6032091.5),(39 5658482),(40 5648284),(41 5671936),(42 5920344),(43 5932525.5),(44 6729794.5),(45 6809100.5),(46 8402437),(47 9254078),(48 9266269),
(1 23.550447),(2 33523.59),(3 298127.22),(4 460783.44),(5 460299.34),(6 552254.4),(7 637463.9),(8 706049.75),(9 710187.2),(10 800391.56),(11 864571.75),(12 953452.75),(13 957118.75),(14 1231847),(15 2973529),(16 4649153),(17 4639858),(18 4945489.5),(19 5271754.5),(20 5378852),(21 5389331.5),(22 5686049),(23 5953026),(24 5924556.5),(25 5919378.5),(26 6092770),(27 6488008.5),(28 6758954.5),(29 6760798),(30 6677978),(31 6141292),(32 5991498.5),(33 6008407.5),(34 5154699.5),(35 4980602),(36 4839159.5),(37 4824517.5),(38 4478460.5),(39 4565262),(40 4485140.5),(41 4489066),(42 4524806),(43 4836558.5),(44 4776332.5),(45 4801175.5),(46 4984298),(47 4748746.5),(48 4748772.5),
(1 38.754025),(2 27061.252),(3 191348.69),(4 341118.7),(5 341802.75),(6 407562.3),(7 550863.56),(8 610637.25),(9 612023.56),(10 671513.4),(11 655665.1),(12 740161.4),(13 742569.25),(14 992688.4),(15 2124850.5),(16 4449445),(17 4445916.5),(18 4702736.5),(19 4446115.5),(20 4728944.5),(21 4726895.5),(22 4694106),(23 5058129),(24 5471393.5),(25 5456264),(26 5733078),(27 5726239.5),(28 5672793.5),(29 5649422),(30 5715189),(31 5876825.5),(32 5769087.5),(33 5762872),(34 5390331),(35 5221255),(36 5284479.5),(37 5284122),(38 5111445),(39 5210789),(40 4924341),(41 4908944),(42 4684979.5),(43 4524006),(44 4503865.5),(45 4523517),(46 4497876.5),(47 4316341),(48 4314616),
(1 15.347043),(2 27581.809),(3 189082.95),(4 319263.63),(5 320260.06),(6 416246.8),(7 562873.8),(8 681815.2),(9 678823.4),(10 729029.5),(11 641001.56),(12 772845.3),(13 771878.5),(14 977120.8),(15 1528935.9),(16 3226750),(17 3218583.8),(18 3270714.5),(19 3210238.5),(20 3510598.8),(21 3516601.5),(22 3557968.8),(23 3698836.8),(24 3991776),(25 3989385.5),(26 4211283),(27 3854270.8),(28 3710597.5),(29 3693085.5),(30 3784459.5),(31 4173245.5),(32 3946219.3),(33 3940025.5),(34 3646137.5),(35 3260320.5),(36 3283640.8),(37 3277873.8),(38 3513786.5),(39 3839042),(40 4106638.5),(41 4095933.5),(42 4225282.5),(43 4330237),(44 4191044.5),(45 4211467),(46 4117375.3),(47 4079131.5),(48 4083722.8),
(1 31.456705),(2 41288.93),(3 261875.75),(4 446534.03),(5 446304.22),(6 577683.8),(7 603262.1),(8 582981.5),(9 583053.5),(10 577524.7),(11 583921),(12 811976.9),(13 808166.56),(14 1087746.1),(15 1740795.4),(16 4045362.3),(17 4039598.3),(18 4322019.5),(19 4817461),(20 5195237),(21 5194128),(22 5258579.5),(23 6221256),(24 6702994.5),(25 6697311),(26 6839651.5),(27 6510298),(28 6395438),(29 6415200.5),(30 6556439.5),(31 6561038),(32 6001570.5),(33 6009570.5),(34 5368449),(35 4782064.5),(36 4716171.5),(37 4723743),(38 4713199.5),(39 4652151.5),(40 4652969),(41 4637551),(42 4725388.5),(43 4676075),(44 4963985),(45 4977765.5),(46 5145501.5),(47 5075049),(48 5073445.5),
(1 28.064537),(2 29740.555),(3 210195.73),(4 312294.34),(5 313156.53),(6 349171.3),(7 380486.53),(8 420617.4),(9 419063.5),(10 511699.8),(11 570336.94),(12 689335.9),(13 687919.25),(14 878065.75),(15 1774891.9),(16 4524674.5),(17 4521729),(18 4860044.5),(19 5151181),(20 5565818),(21 5565130),(22 5563442.5),(23 6654798),(24 7002898),(25 7006128.5),(26 7032725.5),(27 6617674.5),(28 6435223.5),(29 6454299.5),(30 6476761),(31 6262791),(32 5713784.5),(33 5724922),(34 5081387),(35 4389708),(36 4562493.5),(37 4571781),(38 4598125),(39 4398941.5),(40 4307883.5),(41 4317289),(42 4197303.5),(43 4473029),(44 4955009.5),(45 4962498.5),(46 5503561.5),(47 5625926),(48 5629014),
(1 51.310505),(2 42790.926),(3 189597.63),(4 274228.84),(5 274499.28),(6 327974.28),(7 491532.25),(8 630837.94),(9 629548.2),(10 736376.8),(11 761469.2),(12 958614.4),(13 955368.56),(14 1169654.9),(15 1623272.3),(16 2929328.8),(17 2928807.5),(18 2945815.3),(19 3145222.8),(20 3378436.3),(21 3381461.3),(22 3468755.3),(23 3718873.3),(24 3726250),(25 3723622),(26 3863185),(27 3605163.3),(28 3750538.8),(29 3761226.3),(30 3795727.8),(31 3868017.5),(32 3775206),(33 3790566.3),(34 3588778),(35 3780582.5),(36 3970372.3),(37 3971302.5),(38 4405127.5),(39 4625377),(40 4597807),(41 4601665),(42 4615778),(43 4322500),(44 4245036),(45 4240336.5),(46 4123851.8),(47 4112678.5),(48 4109724.8),
(1 19.298409),(2 33974.66),(3 252958.31),(4 373610.63),(5 373693.72),(6 390083.34),(7 480235.78),(8 554425),(9 556111.4),(10 644104.56),(11 629303.25),(12 729976.75),(13 729499.6),(14 925248.9),(15 1105335.4),(16 1920646.6),(17 1920356),(18 2019813.8),(19 2080344.9),(20 2399561.3),(21 2396694),(22 2505721),(23 3129870.3),(24 3234573),(25 3225002.8),(26 3043207.5),(27 2987905.8),(28 2999858.3),(29 3002621.8),(30 3060131),(31 3186164.3),(32 3166845),(33 3165604.5),(34 2994806.5),(35 3103482.5),(36 3019936.3),(37 3027008.3),(38 3170540.5),(39 3267755.5),(40 3541070.3),(41 3546483.8),(42 3512939.3),(43 3022255.3),(44 2867185.3),(45 2873273.8),(46 2810369.3),(47 2931249.8),(48 2930757.8),
(1 38.11631),(2 29292.555),(3 198327.7),(4 325662.63),(5 326273.25),(6 343325.75),(7 377245.94),(8 403341.13),(9 402185.25),(10 539417.8),(11 567269),(12 594462.2),(13 595768.94),(14 762079.75),(15 885699),(16 1459408.4),(17 1459047.3),(18 1487658),(19 1694901.6),(20 1896937),(21 1895833.4),(22 2128948.8),(23 2386082.8),(24 2529429.8),(25 2533131.8),(26 2384140.5),(27 2224643.5),(28 2336891.8),(29 2343925.8),(30 2355345.5),(31 2214878),(32 2251357.5),(33 2248655.8),(34 2054621.4),(35 1882684.8),(36 1872476),(37 1870858),(38 1769052.6),(39 1764722.3),(40 1785900),(41 1788222.4),(42 1649368.6),(43 1670011.8),(44 1687397.4),(45 1693231.3),(46 1650196.4),(47 1796024.3),(48 1796239.3),
