1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.00027823215),(2 0.3634035),(3 2.2717104),(4 3.1216066),(5 3.1199257),(6 3.5829477),(7 4.7169704),(8 5.1879168),(9 5.184223),(10 5.796052),(11 6.6187277),(12 7.5320125),(13 7.532953),(14 8.970056),(15 14.440416),(16 57.763718),(17 57.724846),(18 60.50952),(19 66.85008),(20 69.821175),(21 69.791794),(22 71.48205),(23 73.920006),(24 75.23256),(25 75.219185),(26 76.79956),(27 74.179085),(28 74.438354),(29 74.528046),(30 73.76657),(31 70.5752),(32 67.75084),(33 67.50805),(34 56.930267),(35 46.205776),(36 44.968174),(37 44.73211),(38 40.686424),(39 38.299805),(40 37.688004),(41 37.58605),(42 36.854626),(43 37.426758),(44 40.23435),(45 40.300568),(46 43.23781),(47 45.053818),(48 45.069244),
(1 0.00041228707),(2 0.61793464),(3 3.3734584),(4 4.5664105),(5 4.5694375),(6 5.418363),(7 7.1868825),(8 7.8476157),(9 7.8464084),(10 8.686666),(11 10.141457),(12 11.357102),(13 11.362626),(14 12.868458),(15 15.349377),(16 21.02901),(17 21.021141),(18 21.889696),(19 23.13697),(20 24.96963),(21 24.964352),(22 25.91533),(23 28.406147),(24 29.625303),(25 29.621117),(26 30.095705),(27 29.531887),(28 30.385546),(29 30.438938),(30 30.91085),(31 31.391838),(32 31.351616),(33 31.364838),(34 30.812994),(35 31.340338),(36 32.200935),(37 32.20934),(38 32.656216),(39 33.3962),(40 33.766094),(41 33.773483),(42 33.23845),(43 34.066166),(44 33.99155),(45 34.01695),(46 33.779366),(47 34.207367),(48 34.20641),
(1 0.00046147878),(2 0.6961719),(3 3.3432987),(4 4.5756965),(5 4.5795064),(6 5.47333),(7 7.248314),(8 8.079675),(9 8.081626),(10 9.416258),(11 11.724105),(12 12.56988),(13 12.581473),(14 13.672883),(15 15.578513),(16 18.359322),(17 18.360394),(18 18.3758),(19 20.104725),(20 21.086954),(21 21.089703),(22 21.883043),(23 22.174944),(24 23.024324),(25 23.035654),(26 23.260937),(27 23.86905),(28 24.6665),(29 24.68616),(30 24.815731),(31 25.629597),(32 25.448755),(33 25.4461),(34 25.35961),(35 26.345438),(36 26.621729),(37 26.615097),(38 26.374596),(39 26.753117),(40 26.96252),(41 26.969439),(42 26.693014),(43 27.247484),(44 26.285736),(45 26.281757),(46 26.100203),(47 26.45348),(48 26.448822),
(1 0.0005759243),(2 0.88430625),(3 4.1715984),(4 5.6391397),(5 5.639354),(6 6.797129),(7 9.3201475),(8 10.4101),(9 10.415132),(10 11.851463),(11 14.278467),(12 15.687462),(13 15.696648),(14 16.903107),(15 18.906235),(16 20.923143),(17 20.920214),(18 21.450375),(19 23.03847),(20 24.22483),(21 24.21838),(22 24.88394),(23 25.893606),(24 26.94946),(25 26.95522),(26 27.418406),(27 27.817858),(28 27.774645),(29 27.828138),(30 28.327816),(31 29.613302),(32 29.35533),(33 29.356472),(34 29.345757),(35 30.14501),(36 31.444426),(37 31.440437),(38 31.857006),(39 32.298134),(40 32.596516),(41 32.613735),(42 32.709087),(43 32.673576),(44 32.483418),(45 32.474495),(46 32.084507),(47 31.44959),(48 31.442776),
(1 0.00064394105),(2 0.9632581),(3 4.4526997),(4 5.9359183),(5 5.9329762),(6 7.1879997),(7 9.601311),(8 10.658258),(9 10.660901),(10 12.069449),(11 14.538503),(12 15.693619),(13 15.6942425),(14 16.841053),(15 18.50505),(16 19.974531),(17 19.972374),(18 20.642159),(19 21.9484),(20 23.241076),(21 23.237577),(22 23.74076),(23 24.126549),(24 24.715391),(25 24.723083),(26 24.934887),(27 25.666227),(28 26.41011),(29 26.458248),(30 26.876055),(31 28.215982),(32 28.14076),(33 28.1502),(34 28.704876),(35 30.33357),(36 31.177448),(37 31.18666),(38 31.315296),(39 30.909307),(40 31.314987),(41 31.322998),(42 31.288425),(43 31.490973),(44 31.097578),(45 31.09586),(46 30.811989),(47 30.65467),(48 30.649105),
(1 0.00051348965),(2 0.7229905),(3 3.2035925),(4 4.2368035),(5 4.2376885),(6 5.258191),(7 7.11701),(8 8.088348),(9 8.095166),(10 8.948247),(11 10.79519),(12 11.663811),(13 11.669011),(14 12.41918),(15 13.932057),(16 14.9310055),(17 14.925068),(18 15.381649),(19 15.88653),(20 16.727232),(21 16.71849),(22 17.268742),(23 17.970394),(24 18.586067),(25 18.59177),(26 18.86462),(27 19.382072),(28 19.520247),(29 19.526613),(30 19.553955),(31 20.069544),(32 19.959703),(33 19.976889),(34 20.192368),(35 21.508387),(36 21.88684),(37 21.889553),(38 22.195074),(39 22.48179),(40 22.984528),(41 22.981794),(42 23.109373),(43 23.145452),(44 22.650566),(45 22.651106),(46 22.336105),(47 21.837172),(48 21.836702),
(1 0.00055657915),(2 0.85016394),(3 3.7005267),(4 4.6881895),(5 4.691994),(6 5.7237706),(7 7.7683797),(8 8.749461),(9 8.75771),(10 9.524284),(11 11.529217),(12 12.450561),(13 12.44785),(14 13.167753),(15 14.687078),(16 15.246937),(17 15.249206),(18 15.635329),(19 16.240007),(20 17.312967),(21 17.311129),(22 17.447517),(23 17.825636),(24 18.311909),(25 18.31715),(26 18.640331),(27 19.293068),(28 19.798504),(29 19.813084),(30 19.586),(31 20.432386),(32 20.706572),(33 20.715256),(34 20.776806),(35 21.370659),(36 22.264498),(37 22.264265),(38 22.672613),(39 22.966095),(40 23.319918),(41 23.3208),(42 23.32028),(43 23.244871),(44 23.181276),(45 23.178576),(46 23.427088),(47 23.433428),(48 23.434916),
(1 0.0005679331),(2 0.9135702),(3 3.5772061),(4 4.596559),(5 4.60013),(6 5.595608),(7 7.419762),(8 8.298988),(9 8.302782),(10 9.131739),(11 10.737142),(12 11.410597),(13 11.410513),(14 12.002546),(15 13.241527),(16 14.03191),(17 14.030823),(18 14.514092),(19 14.994845),(20 15.50668),(21 15.508042),(22 16.056261),(23 16.349834),(24 16.721733),(25 16.723366),(26 17.138214),(27 17.913599),(28 18.363626),(29 18.378357),(30 18.263939),(31 19.138493),(32 19.264511),(33 19.26846),(34 19.25274),(35 20.326405),(36 20.948092),(37 20.950684),(38 20.817486),(39 20.924564),(40 21.332087),(41 21.339964),(42 21.500282),(43 21.398008),(44 21.227291),(45 21.235031),(46 21.202518),(47 21.16529),(48 21.169207),
(1 0.0005346121),(2 0.8502434),(3 3.2166398),(4 4.0932875),(5 4.097583),(6 5.0460157),(7 6.669091),(8 7.523794),(9 7.528111),(10 8.14577),(11 9.77684),(12 10.37911),(13 10.375326),(14 10.979706),(15 12.486435),(16 13.257939),(17 13.26303),(18 13.486235),(19 13.936646),(20 14.824002),(21 14.817327),(22 15.090117),(23 15.319964),(24 15.815268),(25 15.819015),(26 16.382717),(27 17.257998),(28 17.55769),(29 17.584064),(30 17.283829),(31 17.519033),(32 17.614674),(33 17.622091),(34 17.504936),(35 17.895105),(36 18.386791),(37 18.388414),(38 18.312199),(39 18.69586),(40 18.94184),(41 18.935616),(42 18.951769),(43 19.154993),(44 18.907108),(45 18.913425),(46 18.791235),(47 18.946156),(48 18.945944),
(1 0.0005088567),(2 0.81459135),(3 3.072108),(4 3.8962197),(5 3.9006379),(6 4.6187873),(7 6.2880206),(8 6.942501),(9 6.948103),(10 7.5730453),(11 9.033048),(12 9.686154),(13 9.687545),(14 10.048624),(15 11.02395),(16 11.553137),(17 11.556053),(18 11.935951),(19 12.042642),(20 12.700438),(21 12.705635),(22 12.88355),(23 13.208112),(24 13.679869),(25 13.681275),(26 14.0857),(27 14.61367),(28 15.101935),(29 15.143983),(30 15.1935215),(31 15.350869),(32 15.746956),(33 15.750967),(34 15.559917),(35 15.659848),(36 16.212788),(37 16.214045),(38 16.032543),(39 16.387814),(40 16.739933),(41 16.735003),(42 16.634882),(43 16.796337),(44 16.516115),(45 16.508419),(46 16.402683),(47 16.137571),(48 16.13718),
(1 0.000425467),(2 0.6381926),(3 2.476833),(4 3.1415815),(5 3.1428695),(6 3.7087538),(7 4.793278),(8 5.4247847),(9 5.4282703),(10 6.022869),(11 7.036358),(12 7.4260144),(13 7.4240265),(14 7.7776904),(15 8.534434),(16 9.205523),(17 9.21108),(18 9.468873),(19 9.769167),(20 10.445268),(21 10.446655),(22 10.509852),(23 10.724565),(24 11.30669),(25 11.311134),(26 11.814341),(27 12.059511),(28 12.064604),(29 12.081785),(30 12.138079),(31 12.338822),(32 12.641121),(33 12.642899),(34 12.392323),(35 12.701178),(36 13.204663),(37 13.200225),(38 13.162104),(39 13.20224),(40 13.410036),(41 13.410706),(42 13.560777),(43 13.65187),(44 13.4599),(45 13.464344),(46 13.458741),(47 13.4353075),(48 13.431728),
