1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,
(1 0.00016691421),(2 0.2515903),(3 1.4752444),(4 2.2618628),(5 2.2639542),(6 2.9294567),(7 4.067672),(8 4.951531),(9 4.9426026),(10 5.855514),(11 7.3505235),(12 8.506849),(13 8.495694),(14 10.20882),(15 14.630704),(16 27.91795),(17 27.916733),(18 30.985802),(19 36.052757),(20 39.308815),(21 39.315872),(22 39.84447),(23 44.380695),(24 45.565193),(25 45.554398),(26 46.203407),(27 46.40446),(28 47.772514),(29 47.873363),(30 48.315784),(31 48.17857),(32 47.449226),(33 47.47147),(34 45.059513),(35 44.661373),(36 44.272842),(37 44.239025),(38 43.69974),(39 44.27759),(40 43.39762),(41 43.423916),(42 43.47903),(43 42.42565),(44 42.877514),(45 42.94244),(46 43.353542),(47 43.066986),(48 43.081707),
(1 0.00030484083),(2 0.38126358),(3 2.4366553),(4 3.6098397),(5 3.6136642),(6 4.5190167),(7 5.654494),(8 6.835852),(9 6.8398557),(10 8.341306),(11 10.723702),(12 12.488277),(13 12.477187),(14 14.262041),(15 18.315367),(16 31.51967),(17 31.496473),(18 33.416107),(19 38.39246),(20 42.399723),(21 42.396732),(22 43.826008),(23 47.83132),(24 48.203335),(25 48.22092),(26 47.648155),(27 45.373844),(28 46.984554),(29 47.02923),(30 47.287434),(31 46.11166),(32 45.40525),(33 45.38953),(34 41.8887),(35 40.316334),(36 40.891872),(37 40.885292),(38 42.610405),(39 41.96454),(40 41.492374),(41 41.605686),(42 41.191208),(43 40.218037),(44 40.997967),(45 41.067673),(46 40.83911),(47 42.663174),(48 42.677586),
(1 0.00038700947),(2 0.5605622),(3 2.8816192),(4 4.1648393),(5 4.1713424),(6 5.0566163),(7 7.3768315),(8 8.5167265),(9 8.524574),(10 9.771239),(11 12.999824),(12 14.282975),(13 14.332589),(14 15.469546),(15 17.72332),(16 23.293348),(17 23.288208),(18 22.983395),(19 26.798565),(20 29.629185),(21 29.624609),(22 31.034142),(23 31.045855),(24 31.604916),(25 31.613802),(26 31.717602),(27 32.2094),(28 32.659634),(29 32.6932),(30 32.919155),(31 32.781784),(32 32.670166),(33 32.656548),(34 32.803753),(35 34.46573),(36 35.356236),(37 35.31832),(38 33.820934),(39 32.990585),(40 32.715374),(41 32.708656),(42 32.67917),(43 34.06244),(44 33.04013),(45 33.04719),(46 33.374374),(47 34.64913),(48 34.669678),
(1 0.0004980754),(2 1.0649846),(3 4.571739),(4 5.837918),(5 5.8389077),(6 7.556898),(7 11.924422),(8 12.860497),(9 12.855741),(10 14.214757),(11 17.085577),(12 18.67412),(13 18.68367),(14 20.618223),(15 22.333801),(16 26.416058),(17 26.426226),(18 27.316189),(19 30.075985),(20 31.822603),(21 31.827915),(22 32.91532),(23 33.80896),(24 34.398594),(25 34.414673),(26 36.093727),(27 37.935207),(28 39.045128),(29 39.01541),(30 41.5515),(31 42.18911),(32 41.764454),(33 41.754665),(34 42.247055),(35 42.50634),(36 44.89223),(37 44.851646),(38 45.51126),(39 46.336357),(40 45.919197),(41 45.921253),(42 44.29275),(43 44.96441),(44 44.77775),(45 44.804317),(46 44.43032),(47 44.135403),(48 44.123173),
(1 0.0005949535),(2 1.274503),(3 5.578679),(4 7.253016),(5 7.2503843),(6 8.866297),(7 13.255176),(8 14.813804),(9 14.818399),(10 16.585003),(11 20.681293),(12 22.194984),(13 22.20694),(14 24.856947),(15 26.803858),(16 28.924273),(17 28.932268),(18 30.041548),(19 34.30373),(20 34.493576),(21 34.47456),(22 35.693237),(23 36.715923),(24 35.759277),(25 35.755386),(26 36.224167),(27 38.81246),(28 39.452156),(29 39.471806),(30 41.36865),(31 43.65683),(32 42.702236),(33 42.715458),(34 42.5636),(35 44.977745),(36 47.39287),(37 47.399326),(38 47.90064),(39 48.945313),(40 48.15348),(41 48.212646),(42 48.49543),(43 49.96146),(44 48.785324),(45 48.79583),(46 47.700382),(47 45.764885),(48 45.75287),
(1 0.00052790495),(2 0.98633164),(3 4.634004),(4 6.360239),(5 6.3580427),(6 7.350254),(7 12.274089),(8 13.274322),(9 13.283861),(10 14.485627),(11 17.67168),(12 19.378405),(13 19.40423),(14 20.304733),(15 24.93331),(16 25.71273),(17 25.701225),(18 25.998638),(19 28.174786),(20 29.352612),(21 29.344748),(22 30.131695),(23 28.837698),(24 29.715746),(25 29.708494),(26 29.929453),(27 32.19234),(28 32.796783),(29 32.851444),(30 33.297523),(31 32.972107),(32 32.07221),(33 32.07338),(34 32.436142),(35 35.240456),(36 35.6912),(37 35.69299),(38 35.771538),(39 37.01534),(40 38.31677),(41 38.312153),(42 39.626675),(43 40.970814),(44 39.407818),(45 39.44659),(46 39.39856),(47 38.680542),(48 38.666954),
(1 0.0005706624),(2 1.1596472),(3 5.2299786),(4 7.4475775),(5 7.446898),(6 8.967559),(7 11.913083),(8 13.317899),(9 13.325678),(10 15.644715),(11 19.48182),(12 21.343344),(13 21.34907),(14 23.240261),(15 26.254192),(16 27.743122),(17 27.742603),(18 29.234915),(19 30.732313),(20 32.46366),(21 32.45413),(22 33.97104),(23 34.588276),(24 35.098015),(25 35.092552),(26 34.759403),(27 36.095432),(28 38.13538),(29 38.239517),(30 38.227875),(31 38.008335),(32 37.59189),(33 37.60094),(34 37.53126),(35 38.05277),(36 37.291092),(37 37.295734),(38 37.307373),(39 36.248135),(40 36.47957),(41 36.456135),(42 36.807625),(43 38.991558),(44 39.245564),(45 39.23216),(46 39.51053),(47 40.99747),(48 40.98811),
(1 0.0006380469),(2 1.2010623),(3 5.3914175),(4 6.951996),(5 6.9545326),(6 8.359234),(7 10.57755),(8 12.264708),(9 12.266539),(10 14.518161),(11 17.041668),(12 17.917183),(13 17.918459),(14 19.598587),(15 22.416393),(16 23.660498),(17 23.653013),(18 23.56143),(19 25.023388),(20 27.319248),(21 27.305712),(22 27.574738),(23 29.24868),(24 30.458557),(25 30.494822),(26 30.56169),(27 31.002243),(28 30.988625),(29 31.087059),(30 30.17768),(31 30.255669),(32 30.571774),(33 30.59249),(34 30.709543),(35 31.447762),(36 32.340908),(37 32.372005),(38 33.33386),(39 33.943573),(40 34.152855),(41 34.162457),(42 34.745193),(43 35.051598),(44 35.079124),(45 35.03395),(46 34.335617),(47 32.905354),(48 32.907383),
(1 0.00069783704),(2 1.2564378),(3 6.3462625),(4 8.265939),(5 8.266702),(6 9.886143),(7 12.16965),(8 13.61857),(9 13.631509),(10 15.963988),(11 19.61102),(12 20.448193),(13 20.45637),(14 21.116756),(15 23.869213),(16 26.078749),(17 26.0712),(18 26.157415),(19 26.964457),(20 29.31281),(21 29.290678),(22 29.394476),(23 31.389496),(24 31.915657),(25 31.936049),(26 30.981606),(27 31.850424),(28 33.09497),(29 33.121197),(30 33.575066),(31 35.411434),(32 35.601727),(33 35.621845),(34 35.741745),(35 36.74791),(36 38.506283),(37 38.506023),(38 38.48352),(39 40.405148),(40 40.05812),(41 40.064426),(42 39.113186),(43 38.89202),(44 38.423367),(45 38.40541),(46 39.253723),(47 39.474525),(48 39.461124),
(1 0.0006698609),(2 1.2893666),(3 5.642503),(4 7.538692),(5 7.540208),(6 9.56363),(7 12.456249),(8 13.465038),(9 13.467268),(10 14.922524),(11 17.879482),(12 19.381725),(13 19.380527),(14 19.810305),(15 22.246353),(16 22.992702),(17 23.002073),(18 23.00995),(19 24.00151),(20 25.488684),(21 25.490759),(22 25.754082),(23 26.48688),(24 27.564693),(25 27.577852),(26 28.265965),(27 28.443062),(28 29.13421),(29 29.153502),(30 29.78376),(31 31.59978),(32 31.431662),(33 31.444403),(34 32.127243),(35 33.963295),(36 35.636497),(37 35.653847),(38 36.06953),(39 35.33607),(40 35.646667),(41 35.633163),(42 35.234257),(43 34.858448),(44 33.922348),(45 33.923016),(46 34.563488),(47 35.75169),(48 35.756523),
(1 0.00058699225),(2 1.1176056),(3 5.0849614),(4 6.4105577),(5 6.415096),(6 7.378133),(7 9.879505),(8 11.2932),(9 11.297344),(10 12.451525),(11 14.986784),(12 16.362745),(13 16.373278),(14 17.694033),(15 18.627369),(16 19.723703),(17 19.723883),(18 19.790728),(19 20.72822),(20 21.285858),(21 21.28169),(22 22.374516),(23 22.58396),(24 23.297005),(25 23.292261),(26 24.233639),(27 25.853605),(28 26.56809),(29 26.590866),(30 26.819681),(31 28.37071),(32 28.668081),(33 28.68901),(34 28.563025),(35 29.820765),(36 30.622953),(37 30.631878),(38 30.884886),(39 30.30577),(40 30.851068),(41 30.890743),(42 31.141447),(43 31.13984),(44 30.158796),(45 30.178738),(46 29.535627),(47 29.751247),(48 29.758776),
