1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,
(1 0.00013543542),(2 0.25075665),(3 1.3752661),(4 2.2590644),(5 2.2510355),(6 2.7142072),(7 3.4731424),(8 4.256401),(9 4.234377),(10 5.114095),(11 6.305051),(12 7.4768596),(13 7.442233),(14 9.45914),(15 15.805244),(16 116.90279),(17 116.8124),(18 134.58963),(19 164.66241),(20 178.14635),(21 177.80775),(22 180.48239),(23 183.43546),(24 195.53395),(25 195.28441),(26 200.36957),(27 198.29677),(28 200.72687),(29 201.31097),(30 198.49728),(31 197.61713),(32 195.23195),(33 193.90462),(34 173.31023),(35 149.42421),(36 145.5856),(37 144.36005),(38 130.2258),(39 118.638756),(40 116.102356),(41 115.434685),(42 111.47896),(43 110.74327),(44 120.88813),(45 120.79318),(46 126.065475),(47 128.43596),(48 128.53006),
(1 0.00023170226),(2 0.4422441),(3 2.535476),(4 4.017054),(5 4.03089),(6 5.002774),(7 6.5127954),(8 7.7365375),(9 7.729195),(10 9.165233),(11 11.208173),(12 12.848721),(13 12.838405),(14 15.599234),(15 24.150625),(16 36.976753),(17 36.96031),(18 41.921764),(19 52.03508),(20 56.564743),(21 56.603264),(22 58.7218),(23 64.10743),(24 66.30702),(25 66.29059),(26 68.024956),(27 67.63107),(28 69.14334),(29 69.23449),(30 69.37883),(31 70.55433),(32 71.41132),(33 71.403145),(34 72.22041),(35 74.30087),(36 73.95823),(37 73.94215),(38 70.887924),(39 70.40859),(40 69.832214),(41 69.89972),(42 70.853676),(43 71.48716),(44 71.450386),(45 71.56099),(46 73.070404),(47 69.13025),(48 69.15588),
(1 0.0002370019),(2 0.44706902),(3 3.4208927),(4 5.106758),(5 5.1032233),(6 6.221316),(7 7.9318457),(8 9.463269),(9 9.485893),(10 11.160784),(11 13.653129),(12 16.02719),(13 16.02286),(14 18.649618),(15 25.664322),(16 35.123066),(17 35.14383),(18 38.136658),(19 42.904037),(20 48.970234),(21 48.9576),(22 50.45726),(23 58.184647),(24 59.15689),(25 59.112385),(26 59.72653),(27 58.988895),(28 61.896423),(29 62.021065),(30 62.98342),(31 62.86657),(32 62.148563),(33 62.24156),(34 59.647514),(35 60.336555),(36 59.89077),(37 59.909595),(38 62.514496),(39 61.4438),(40 61.162296),(41 61.188496),(42 61.234833),(43 57.787155),(44 57.94395),(45 57.98967),(46 58.050034),(47 60.14875),(48 60.146133),
(1 0.00048772094),(2 0.79350567),(3 5.003887),(4 7.012592),(5 7.01457),(6 8.342181),(7 9.975791),(8 11.596842),(9 11.600178),(10 14.74044),(11 19.328917),(12 21.55007),(13 21.59924),(14 23.74715),(15 31.20725),(16 43.460625),(17 43.48115),(18 47.571495),(19 58.048798),(20 64.343376),(21 64.33733),(22 67.43352),(23 72.81806),(24 73.51111),(25 73.501755),(26 72.9657),(27 71.88759),(28 74.259384),(29 74.42825),(30 76.74062),(31 77.12728),(32 76.55861),(33 76.540306),(34 75.22519),(35 75.17309),(36 77.156975),(37 77.22875),(38 81.35766),(39 80.960045),(40 80.723434),(41 80.82419),(42 80.76379),(43 81.02233),(44 81.80687),(45 81.88612),(46 81.39341),(47 85.55222),(48 85.57117),
(1 0.0005346053),(2 0.9399914),(3 6.163605),(4 9.1067915),(5 9.118154),(6 10.59692),(7 13.197529),(8 14.953555),(9 14.9666605),(10 18.244745),(11 24.495062),(12 26.45504),(13 26.493542),(14 28.488579),(15 33.95141),(16 39.67665),(17 39.671883),(18 41.50342),(19 49.170452),(20 55.39078),(21 55.39987),(22 59.054276),(23 62.57457),(24 64.63236),(25 64.614395),(26 66.04582),(27 65.578),(28 68.697365),(29 68.83021),(30 68.926384),(31 68.43341),(32 69.67014),(33 69.71185),(34 68.174644),(35 67.34918),(36 69.47512),(37 69.40368),(38 70.680916),(39 72.88391),(40 72.504616),(41 72.51985),(42 69.968864),(43 66.91547),(44 67.187775),(45 67.19135),(46 66.12027),(47 70.95581),(48 70.936676),
(1 0.00051784614),(2 1.100236),(3 5.0917277),(4 7.319783),(5 7.320045),(6 8.826995),(7 13.8050375),(8 14.995212),(9 15.010892),(10 16.699339),(11 21.426294),(12 23.650309),(13 23.666777),(14 25.745869),(15 29.17051),(16 36.53511),(17 36.570553),(18 36.469765),(19 40.84257),(20 44.548622),(21 44.577118),(22 45.999207),(23 49.339485),(24 50.74013),(25 50.79019),(26 51.295277),(27 53.99089),(28 55.830914),(29 56.01181),(30 57.30947),(31 60.29533),(32 60.131683),(33 60.072617),(34 59.36936),(35 60.167522),(36 61.775127),(37 61.71211),(38 61.545216),(39 60.127357),(40 61.349094),(41 61.26706),(42 59.253967),(43 57.39932),(44 55.41389),(45 55.348038),(46 54.275543),(47 57.47476),(48 57.488777),
(1 0.00058777706),(2 1.393358),(3 6.4341908),(4 8.732793),(5 8.75167),(6 10.304607),(7 16.19707),(8 18.270096),(9 18.267778),(10 21.658588),(11 27.44017),(12 30.27813),(13 30.35128),(14 33.013657),(15 34.28217),(16 36.266212),(17 36.30982),(18 37.516827),(19 42.565495),(20 47.915985),(21 47.914425),(22 50.638145),(23 51.230022),(24 52.223564),(25 52.208584),(26 52.283653),(27 52.18318),(28 55.204597),(29 55.18518),(30 56.287212),(31 55.932266),(32 56.339462),(33 56.357273),(34 56.95047),(35 60.382706),(36 62.541306),(37 62.515797),(38 63.999153),(39 63.63877),(40 62.594833),(41 62.675602),(42 62.92986),(43 67.07837),(44 65.59762),(45 65.60376),(46 63.29079),(47 62.29445),(48 62.28514),
(1 0.0006940847),(2 1.6256485),(3 7.7688794),(4 10.3094845),(5 10.315073),(6 13.347039),(7 19.814934),(8 21.465578),(9 21.474957),(10 22.888823),(11 29.026472),(12 32.536865),(13 32.556602),(14 35.45401),(15 36.990158),(16 43.89392),(17 43.906097),(18 44.381615),(19 51.60328),(20 54.124252),(21 54.155334),(22 55.982826),(23 56.616817),(24 55.005123),(25 54.984676),(26 56.428898),(27 59.26789),(28 61.480915),(29 61.50392),(30 64.41664),(31 65.49682),(32 66.31102),(33 66.36923),(34 67.267746),(35 70.876045),(36 75.59152),(37 75.58974),(38 76.465485),(39 79.59841),(40 78.15003),(41 78.099846),(42 75.72656),(43 75.66179),(44 73.55162),(45 73.57422),(46 73.222206),(47 73.60465),(48 73.61752),
(1 0.0007373695),(2 2.0523746),(3 9.197002),(4 12.349509),(5 12.367137),(6 14.997908),(7 23.554014),(8 26.268957),(9 26.277508),(10 28.791218),(11 34.874622),(12 39.858665),(13 39.928402),(14 43.276577),(15 45.759552),(16 49.97176),(17 49.98278),(18 49.976646),(19 55.78979),(20 58.249783),(21 58.228874),(22 59.816463),(23 60.312935),(24 58.12),(25 58.11152),(26 58.161972),(27 64.28001),(28 68.576965),(29 68.70638),(30 70.15241),(31 70.18837),(32 67.76679),(33 67.766716),(34 67.358604),(35 68.948265),(36 72.44556),(37 72.44572),(38 72.3754),(39 76.88723),(40 78.14231),(41 78.223755),(42 77.47369),(43 78.63094),(44 76.75196),(45 76.732796),(46 74.465164),(47 76.62016),(48 76.57539),
(1 0.0008172471),(2 2.174856),(3 9.349846),(4 12.322192),(5 12.320976),(6 15.029343),(7 21.250132),(8 23.226992),(9 23.221455),(10 24.958246),(11 30.02712),(12 32.164253),(13 32.150955),(14 35.458073),(15 40.59521),(16 44.04546),(17 44.020725),(18 44.994835),(19 49.807884),(20 50.48917),(21 50.439697),(22 52.643806),(23 53.084953),(24 53.581703),(25 53.602192),(26 55.027996),(27 57.4637),(28 60.177513),(29 60.300858),(30 63.909542),(31 64.46545),(32 64.20712),(33 64.16852),(34 65.3383),(35 67.60342),(36 71.50432),(37 71.49339),(38 72.1833),(39 76.28444),(40 76.71838),(41 76.84816),(42 77.15431),(43 77.16631),(44 75.33824),(45 75.28795),(46 74.66321),(47 74.37881),(48 74.33973),
(1 0.0008185044),(2 1.8151343),(3 7.9864817),(4 11.188606),(5 11.186305),(6 13.4352865),(7 18.68275),(8 21.529146),(9 21.498667),(10 24.791313),(11 30.853447),(12 33.33623),(13 33.34803),(14 37.51779),(15 43.481754),(16 46.37475),(17 46.353252),(18 47.174614),(19 56.98842),(20 59.25351),(21 59.237938),(22 60.701717),(23 56.68719),(24 53.179832),(25 53.139606),(26 53.634968),(27 58.815712),(28 59.67593),(29 59.764206),(30 60.669666),(31 60.801746),(32 60.105076),(33 60.16746),(34 60.24471),(35 65.412415),(36 64.89733),(37 64.96156),(38 62.949932),(39 62.467236),(40 61.416924),(41 61.467525),(42 64.07251),(43 66.74506),(44 64.53433),(45 64.57672),(46 63.52286),(47 64.17114),(48 64.13758),
