1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,
(1 0.000050800154),(2 0.05956893),(3 1.4048555),(4 2.463553),(5 2.4465563),(6 3.4062102),(7 4.585781),(8 5.6240306),(9 5.6129513),(10 4.9344006),(11 5.510843),(12 5.2530932),(13 5.248002),(14 5.33059),(15 6.925153),(16 11.138588),(17 11.094505),(18 13.259464),(19 19.29059),(20 20.482307),(21 20.541618),(22 21.315815),(23 22.665903),(24 25.521566),(25 25.526455),(26 25.064266),(27 23.455564),(28 22.79595),(29 22.793829),(30 21.938133),(31 22.98401),(32 24.010878),(33 24.125721),(34 21.507198),(35 18.126835),(36 17.62182),(37 17.616898),(38 16.096428),(39 15.317625),(40 14.879865),(41 14.88986),(42 15.854854),(43 17.1277),(44 17.768263),(45 17.842905),(46 17.693604),(47 16.891129),(48 16.90668),
(1 0.00019010951),(2 0.18045399),(3 2.4389782),(4 3.6852136),(5 3.6720662),(6 5.0261474),(7 5.4130416),(8 5.753901),(9 5.757599),(10 5.920009),(11 7.9223423),(12 8.325655),(13 8.321159),(14 9.441095),(15 9.4819),(16 12.153091),(17 12.125876),(18 13.252191),(19 14.979714),(20 17.265293),(21 17.254587),(22 17.836683),(23 19.442009),(24 22.03314),(25 22.015907),(26 22.731499),(27 25.50991),(28 26.97099),(29 26.97424),(30 24.755413),(31 23.778736),(32 24.320578),(33 24.31136),(34 22.325811),(35 23.550482),(36 23.141018),(37 23.19218),(38 22.580065),(39 22.412323),(40 20.786354),(41 20.82975),(42 20.997265),(43 24.462648),(44 25.536589),(45 25.560837),(46 26.203367),(47 26.056498),(48 26.041279),
(1 0.000095317904),(2 0.09396894),(3 0.9524971),(4 1.5244094),(5 1.5314088),(6 1.9950346),(7 2.080433),(8 2.006318),(9 2.0056627),(10 2.078069),(11 2.466036),(12 2.6623755),(13 2.645086),(14 2.731211),(15 3.306811),(16 5.437616),(17 5.4021406),(18 5.003432),(19 5.29841),(20 6.314545),(21 6.298712),(22 6.612644),(23 8.574507),(24 9.756023),(25 9.736779),(26 9.412676),(27 13.0141115),(28 14.622789),(29 14.769811),(30 14.89998),(31 12.516655),(32 11.73431),(33 11.750209),(34 10.749364),(35 11.516383),(36 12.267721),(37 12.278782),(38 11.6242695),(39 11.161811),(40 10.648025),(41 10.63895),(42 11.072267),(43 11.673973),(44 12.800967),(45 12.761113),(46 13.880308),(47 15.965322),(48 15.975396),
(1 0.0002647254),(2 0.18525377),(3 1.7857403),(4 2.4804826),(5 2.4833708),(6 3.1508317),(7 4.5270944),(8 4.813628),(9 4.8233614),(10 4.632251),(11 5.9459753),(12 6.674193),(13 6.6339884),(14 7.4196935),(15 10.520841),(16 11.588727),(17 11.581486),(18 11.105246),(19 12.912827),(20 14.161979),(21 14.133759),(22 14.186732),(23 15.949077),(24 16.578547),(25 16.60715),(26 16.665676),(27 20.723183),(28 22.14728),(29 22.203873),(30 22.735647),(31 22.813467),(32 23.739323),(33 23.623175),(34 22.96185),(35 21.35148),(36 21.017704),(37 21.05092),(38 21.215414),(39 23.32174),(40 23.92836),(41 23.926054),(42 23.100199),(43 20.178818),(44 20.686346),(45 20.59484),(46 22.744757),(47 21.775776),(48 21.831985),
(1 0.00024257218),(2 0.28203574),(3 1.9048511),(4 2.91005),(5 2.9089243),(6 3.0183656),(7 5.0214095),(8 5.2290845),(9 5.217517),(10 6.199175),(11 6.387642),(12 7.130714),(13 7.119167),(14 7.6773977),(15 10.836775),(16 10.296596),(17 10.317922),(18 10.881588),(19 13.1087),(20 13.968081),(21 13.969709),(22 14.718537),(23 17.869223),(24 18.887547),(25 18.898504),(26 18.589817),(27 21.266884),(28 22.464436),(29 22.475363),(30 22.47082),(31 22.709768),(32 24.37319),(33 24.36321),(34 22.542873),(35 18.907953),(36 18.880148),(37 18.91699),(38 18.292519),(39 19.814999),(40 20.635763),(41 20.698027),(42 20.948425),(43 17.709513),(44 16.386755),(45 16.35619),(46 16.601843),(47 19.379572),(48 19.333685),
(1 0.00023982412),(2 0.23308712),(3 2.1585715),(4 2.9524446),(5 2.9512599),(6 3.8702865),(7 5.4668536),(8 5.1792827),(9 5.160426),(10 6.538601),(11 7.171162),(12 8.319513),(13 8.399433),(14 9.349777),(15 11.082694),(16 12.118318),(17 12.114214),(18 12.6158),(19 11.155688),(20 11.893204),(21 11.844406),(22 11.469228),(23 11.843789),(24 11.808875),(25 11.816255),(26 11.749703),(27 13.24622),(28 13.199147),(29 13.098376),(30 13.244257),(31 15.023162),(32 15.449894),(33 15.419001),(34 16.111073),(35 16.562326),(36 17.085),(37 17.096264),(38 16.11946),(39 15.520943),(40 15.664332),(41 15.682267),(42 14.444981),(43 14.898876),(44 14.1884),(45 14.169766),(46 14.632517),(47 17.141747),(48 17.172327),
(1 0.00035829548),(2 0.45327047),(3 3.0958006),(4 4.955449),(5 4.9509068),(6 6.5963964),(7 8.534969),(8 9.348466),(9 9.37823),(10 11.440453),(11 13.039509),(12 14.697144),(13 14.765612),(14 16.391062),(15 21.585903),(16 25.157795),(17 25.136587),(18 27.452906),(19 28.310806),(20 29.612976),(21 29.632685),(22 29.711706),(23 27.555494),(24 27.79734),(25 27.793331),(26 28.14472),(27 24.983412),(28 25.260925),(29 25.344252),(30 25.145184),(31 24.702595),(32 24.162924),(33 24.105154),(34 23.09906),(35 23.384539),(36 25.009329),(37 25.05985),(38 24.565163),(39 25.7702),(40 24.8034),(41 24.786594),(42 21.461655),(43 25.313103),(44 26.662556),(45 26.649199),(46 28.586151),(47 31.089218),(48 31.065977),
(1 0.0004906075),(2 0.38609007),(3 3.129905),(4 4.4776998),(5 4.4940863),(6 6.5051694),(7 9.610063),(8 10.227934),(9 10.235639),(10 11.228085),(11 13.989087),(12 14.81981),(13 14.844702),(14 15.054151),(15 16.670765),(16 19.993135),(17 19.974478),(18 20.210379),(19 23.849667),(20 25.202206),(21 25.261728),(22 24.835125),(23 24.122328),(24 23.651894),(25 23.67098),(26 21.60015),(27 23.309395),(28 24.592466),(29 24.75641),(30 24.624949),(31 24.911507),(32 25.843931),(33 25.792364),(34 26.845562),(35 25.99945),(36 24.214197),(37 24.172913),(38 23.608654),(39 22.26103),(40 22.093895),(41 22.169529),(42 19.086575),(43 16.492634),(44 17.030619),(45 16.993872),(46 19.021914),(47 19.183277),(48 19.196732),
(1 0.0004797145),(2 0.419309),(3 2.7660437),(4 3.6366544),(5 3.643945),(6 5.3007574),(7 9.73656),(8 9.9928875),(9 9.972986),(10 11.2787075),(11 15.89278),(12 17.841805),(13 17.881062),(14 20.786371),(15 21.174843),(16 26.697884),(17 26.755041),(18 28.833889),(19 29.13008),(20 31.328056),(21 31.333452),(22 31.344288),(23 32.87595),(24 32.784172),(25 32.800953),(26 34.78987),(27 37.88243),(28 38.479824),(29 38.647858),(30 39.139008),(31 41.915462),(32 41.257305),(33 41.360733),(34 41.0111),(35 39.153683),(36 37.689747),(37 37.66169),(38 38.006855),(39 36.65575),(40 36.224697),(41 36.212097),(42 34.35564),(43 32.910206),(44 31.989122),(45 32.002285),(46 32.65039),(47 33.872715),(48 33.896526),
(1 0.00048284963),(2 0.53632843),(3 5.019324),(4 6.7349706),(5 6.7243714),(6 8.960218),(7 12.182945),(8 10.979401),(9 10.974219),(10 11.267939),(11 14.58633),(12 15.668197),(13 15.704794),(14 16.407223),(15 17.58556),(16 21.20574),(17 21.250965),(18 20.800951),(19 22.02932),(20 23.046865),(21 23.032026),(22 23.492634),(23 22.906864),(24 22.206236),(25 22.201286),(26 23.436184),(27 30.105906),(28 31.300058),(29 31.325502),(30 31.082706),(31 29.273844),(32 28.615587),(33 28.632442),(34 27.810755),(35 28.181072),(36 29.245077),(37 29.201378),(38 27.952242),(39 27.41729),(40 27.320047),(41 27.356424),(42 26.295256),(43 26.203619),(44 27.491938),(45 27.476221),(46 26.829021),(47 28.41631),(48 28.446005),
(1 0.00045149177),(2 0.4530305),(3 4.2892656),(4 6.462763),(5 6.464176),(6 9.059512),(7 11.730834),(8 11.804365),(9 11.819686),(10 12.495429),(11 11.22345),(12 11.88946),(13 11.876362),(14 11.8181305),(15 13.122626),(16 18.043741),(17 18.043255),(18 18.21685),(19 19.561275),(20 20.321508),(21 20.31825),(22 20.388712),(23 22.50846),(24 22.397797),(25 22.380684),(26 21.600521),(27 22.025925),(28 22.419909),(29 22.565893),(30 24.426653),(31 26.264252),(32 24.73919),(33 24.702003),(34 24.18646),(35 24.550905),(36 25.394648),(37 25.325827),(38 25.604782),(39 28.17325),(40 26.330954),(41 26.219467),(42 26.556662),(43 29.174461),(44 28.493904),(45 28.468372),(46 26.821907),(47 26.209877),(48 26.214645),
