1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00033409204),(2 0.33808154),(3 1.7851167),(4 2.387597),(5 2.3896236),(6 2.82872),(7 3.900315),(8 4.2737947),(9 4.2748284),(10 4.888165),(11 5.742851),(12 6.2256947),(13 6.2311273),(14 6.9787536),(15 8.033275),(16 9.89618),(17 9.896388),(18 10.25818),(19 10.87027),(20 11.59363),(21 11.589981),(22 12.076943),(23 12.760725),(24 13.309403),(25 13.310926),(26 13.607322),(27 13.771233),(28 14.055976),(29 14.071836),(30 14.369837),(31 14.834011),(32 14.831082),(33 14.824237),(34 14.836742),(35 15.487971),(36 15.895315),(37 15.890346),(38 15.941265),(39 15.981779),(40 16.132484),(41 16.134745),(42 16.057327),(43 16.341202),(44 16.013826),(45 16.013994),(46 15.702192),(47 15.616063),(48 15.613151),
(1 0.00042771874),(2 0.4474957),(3 2.0920517),(4 2.800415),(5 2.7989035),(6 3.3188846),(7 4.4843326),(8 4.994404),(9 4.997761),(10 5.688521),(11 6.9168124),(12 7.432422),(13 7.432735),(14 7.936877),(15 8.917357),(16 9.763577),(17 9.761575),(18 10.156999),(19 10.963527),(20 11.574652),(21 11.572814),(22 11.895619),(23 12.00403),(24 12.321033),(25 12.322272),(26 12.442031),(27 12.923823),(28 13.199958),(29 13.220825),(30 13.3700695),(31 14.177577),(32 14.220106),(33 14.221852),(34 14.336308),(35 14.98559),(36 15.320455),(37 15.326777),(38 15.426138),(39 15.471433),(40 15.719383),(41 15.724899),(42 15.767368),(43 15.753357),(44 15.555803),(45 15.555295),(46 15.411783),(47 15.32515),(48 15.324278),
(1 0.00036619135),(2 0.4052349),(3 1.7395798),(4 2.2452195),(5 2.2457352),(6 2.7999294),(7 3.845845),(8 4.385656),(9 4.3879204),(10 4.8164763),(11 5.712396),(12 6.1283836),(13 6.1290517),(14 6.441134),(15 7.212512),(16 7.941969),(17 7.941473),(18 8.152692),(19 8.495499),(20 8.976578),(21 8.977402),(22 9.092916),(23 9.288812),(24 9.56762),(25 9.570618),(26 9.742689),(27 10.057558),(28 10.329886),(29 10.337725),(30 10.308222),(31 10.545607),(32 10.618162),(33 10.624333),(34 10.7117405),(35 11.307627),(36 11.696545),(37 11.701919),(38 11.837879),(39 11.91798),(40 12.03051),(41 12.0336075),(42 11.970677),(43 11.952365),(44 11.781079),(45 11.784974),(46 11.76867),(47 11.869143),(48 11.868792),
(1 0.00039569935),(2 0.43936625),(3 1.7600156),(4 2.2575235),(5 2.25955),(6 2.7379813),(7 3.7050893),(8 4.17861),(9 4.1805544),(10 4.587916),(11 5.424309),(12 5.730631),(13 5.73012),(14 6.0412083),(15 6.882293),(16 7.3702064),(17 7.3712783),(18 7.5604467),(19 7.7909408),(20 8.262099),(21 8.262363),(22 8.392535),(23 8.54212),(24 8.805843),(25 8.807177),(26 9.07257),(27 9.399325),(28 9.620715),(29 9.640141),(30 9.625785),(31 9.764731),(32 9.980674),(33 9.982144),(34 9.893064),(35 10.108389),(36 10.342543),(37 10.342592),(38 10.347696),(39 10.525392),(40 10.629091),(41 10.628099),(42 10.603719),(43 10.664464),(44 10.463686),(45 10.464061),(46 10.453838),(47 10.374905),(48 10.374061),
(1 0.00034930953),(2 0.42608726),(3 1.5672507),(4 2.0130608),(5 2.0144098),(6 2.3978772),(7 3.1447926),(8 3.5019577),(9 3.5016878),(10 3.9124196),(11 4.5864134),(12 4.9139814),(13 4.9126554),(14 5.200755),(15 5.6948123),(16 6.1214113),(17 6.124277),(18 6.390719),(19 6.466978),(20 6.830645),(21 6.831506),(22 6.9133),(23 6.9691253),(24 7.313147),(25 7.313313),(26 7.5741696),(27 7.672397),(28 7.758949),(29 7.7705927),(30 7.850103),(31 7.9607844),(32 8.175693),(33 8.176238),(34 8.074266),(35 8.2055855),(36 8.420797),(37 8.421936),(38 8.320784),(39 8.663099),(40 8.888513),(41 8.886458),(42 8.902343),(43 8.913296),(44 8.664472),(45 8.665467),(46 8.668962),(47 8.630385),(48 8.629448),
(1 0.00023908634),(2 0.2712938),(3 1.0200744),(4 1.2894198),(5 1.2910848),(6 1.5448673),(7 2.029506),(8 2.276081),(9 2.2766387),(10 2.426513),(11 2.916417),(12 3.2015705),(13 3.2030158),(14 3.4335227),(15 3.7315502),(16 4.0491433),(17 4.0494747),(18 4.256389),(19 4.2702293),(20 4.5633383),(21 4.5629125),(22 4.6313086),(23 4.710534),(24 4.932947),(25 4.932506),(26 5.0518665),(27 5.183601),(28 5.325794),(29 5.332445),(30 5.353264),(31 5.428767),(32 5.413713),(33 5.414688),(34 5.2396684),(35 5.244525),(36 5.4790277),(37 5.4757037),(38 5.4831786),(39 5.578778),(40 5.697897),(41 5.6967125),(42 5.7341027),(43 5.7976093),(44 5.7570615),(45 5.754769),(46 5.7536535),(47 5.842458),(48 5.8424644),
(1 0.00022273774),(2 0.2839705),(3 0.96682197),(4 1.2300297),(5 1.2313377),(6 1.4529228),(7 1.8248308),(8 2.0506036),(9 2.0504904),(10 2.2217507),(11 2.663619),(12 2.8258932),(13 2.826228),(14 3.0260649),(15 3.317375),(16 3.5762749),(17 3.5764985),(18 3.6464458),(19 3.7665985),(20 4.0553737),(21 4.054),(22 4.0804796),(23 4.1589403),(24 4.4458632),(25 4.446678),(26 4.603096),(27 4.7492647),(28 4.8586555),(29 4.8637514),(30 4.8123283),(31 4.76365),(32 4.949693),(33 4.951688),(34 4.778757),(35 4.8580976),(36 5.102555),(37 5.099778),(38 5.107556),(39 5.065431),(40 5.152732),(41 5.150683),(42 5.146491),(43 5.2726493),(44 5.181771),(45 5.1780996),(46 5.27388),(47 5.3939624),(48 5.3933926),
(1 0.00020109722),(2 0.25346056),(3 0.83056056),(4 1.0437657),(5 1.0444258),(6 1.2513677),(7 1.5818962),(8 1.760811),(9 1.7624537),(10 1.8793639),(11 2.2033172),(12 2.3427467),(13 2.3428617),(14 2.5264337),(15 2.6905985),(16 2.9314148),(17 2.9311354),(18 3.068091),(19 3.1116703),(20 3.3262196),(21 3.325095),(22 3.398529),(23 3.4420152),(24 3.6303766),(25 3.6300821),(26 3.752663),(27 3.88907),(28 4.0297017),(29 4.0351157),(30 3.9772563),(31 4.001537),(32 4.105779),(33 4.1041555),(34 3.9575183),(35 3.9772587),(36 4.173441),(37 4.170604),(38 4.1264024),(39 4.0730433),(40 4.172318),(41 4.1703105),(42 4.1354628),(43 4.1492906),(44 4.0645),(45 4.0613523),(46 4.1447263),(47 4.204232),(48 4.2044),
(1 0.00018240581),(2 0.19117346),(3 0.6492697),(4 0.8293385),(5 0.8298252),(6 0.99641263),(7 1.2713746),(8 1.4420638),(9 1.4422597),(10 1.53784),(11 1.7999359),(12 1.977942),(13 1.9775629),(14 2.0968869),(15 2.2285526),(16 2.3930345),(17 2.393068),(18 2.4435809),(19 2.4627295),(20 2.673908),(21 2.6735861),(22 2.71522),(23 2.6965227),(24 2.8821077),(25 2.8802872),(26 3.022243),(27 3.1396487),(28 3.2109644),(29 3.2159097),(30 3.211118),(31 3.2431028),(32 3.2571154),(33 3.2560613),(34 3.075233),(35 3.0576007),(36 3.2463381),(37 3.2449095),(38 3.3064125),(39 3.2581263),(40 3.30655),(41 3.3054583),(42 3.301023),(43 3.3573232),(44 3.2933643),(45 3.2913027),(46 3.3441644),(47 3.3849404),(48 3.3847766),
(1 0.0001708839),(2 0.15640801),(3 0.5475124),(4 0.6973108),(5 0.6980522),(6 0.8400871),(7 1.0319307),(8 1.1426775),(9 1.1429864),(10 1.242603),(11 1.4720336),(12 1.6134105),(13 1.6130303),(14 1.703836),(15 1.7741913),(16 1.8970478),(17 1.8965701),(18 1.964742),(19 1.9963195),(20 2.1638885),(21 2.16208),(22 2.1761131),(23 2.1776338),(24 2.3497553),(25 2.3501),(26 2.4549417),(27 2.6096506),(28 2.6941624),(29 2.701649),(30 2.6560917),(31 2.6006205),(32 2.6464126),(33 2.6443226),(34 2.571484),(35 2.6197407),(36 2.7699635),(37 2.768726),(38 2.7453308),(39 2.7786384),(40 2.8050342),(41 2.8035092),(42 2.7708127),(43 2.7847106),(44 2.7208436),(45 2.7173657),(46 2.7393816),(47 2.8075364),(48 2.8074076),
(1 0.00014878591),(2 0.110076085),(3 0.40574297),(4 0.52518904),(5 0.5256416),(6 0.61841124),(7 0.79709876),(8 0.87914443),(9 0.87883747),(10 0.935664),(11 1.120398),(12 1.2097347),(13 1.2091504),(14 1.2637827),(15 1.3089676),(16 1.4145975),(17 1.4142712),(18 1.4562582),(19 1.4680694),(20 1.610701),(21 1.6096112),(22 1.6228029),(23 1.6121066),(24 1.7411393),(25 1.7412537),(26 1.8014898),(27 1.9119834),(28 2.0019717),(29 2.0081809),(30 1.9741613),(31 1.9775734),(32 2.0012646),(33 2.0009265),(34 1.9381852),(35 1.9726365),(36 2.0902157),(37 2.089075),(38 2.077315),(39 2.0656204),(40 2.0738003),(41 2.0721872),(42 2.0698454),(43 2.0313509),(44 1.966544),(45 1.9647195),(46 1.989697),(47 2.0247521),(48 2.0248706),
(1 0.00016031478),(2 0.11240285),(3 0.40537056),(4 0.5167731),(5 0.5168646),(6 0.6064198),(7 0.76527584),(8 0.84750295),(9 0.8474977),(10 0.9044436),(11 1.0730653),(12 1.15141),(13 1.150639),(14 1.1816714),(15 1.2499855),(16 1.3696603),(17 1.3690351),(18 1.3949082),(19 1.3887622),(20 1.5105486),(21 1.5092745),(22 1.5334172),(23 1.5032127),(24 1.6350222),(25 1.6347089),(26 1.7204317),(27 1.7780986),(28 1.8671743),(29 1.87063),(30 1.8335079),(31 1.8273488),(32 1.8797386),(33 1.8781635),(34 1.8235134),(35 1.8207713),(36 1.9334048),(37 1.9324522),(38 1.9328965),(39 1.9037493),(40 1.948578),(41 1.9484962),(42 1.9510719),(43 1.938273),(44 1.8759943),(45 1.8735539),(46 1.890007),(47 1.925812),(48 1.9257561),
(1 0.00015261763),(2 0.08883704),(3 0.32355112),(4 0.41808918),(5 0.41818848),(6 0.47858343),(7 0.6058603),(8 0.66555786),(9 0.6653524),(10 0.7178185),(11 0.8259441),(12 0.8921666),(13 0.8911608),(14 0.9323455),(15 0.9891376),(16 1.0609766),(17 1.0607686),(18 1.090437),(19 1.111262),(20 1.2201293),(21 1.218646),(22 1.2452693),(23 1.2279754),(24 1.3349372),(25 1.3343605),(26 1.3828225),(27 1.4053124),(28 1.4644724),(29 1.4726175),(30 1.4500554),(31 1.430666),(32 1.482064),(33 1.4803703),(34 1.4284481),(35 1.4461622),(36 1.5548927),(37 1.5534275),(38 1.5340058),(39 1.5191286),(40 1.5571817),(41 1.5561811),(42 1.5562112),(43 1.5433838),(44 1.4946287),(45 1.4932395),(46 1.5054982),(47 1.5616112),(48 1.5611666),
(1 0.00014168314),(2 0.070020765),(3 0.25950328),(4 0.32872957),(5 0.32929498),(6 0.37319702),(7 0.47115463),(8 0.5270649),(9 0.5264264),(10 0.5643868),(11 0.63737243),(12 0.695404),(13 0.69553244),(14 0.7174682),(15 0.7628035),(16 0.8152025),(17 0.81482166),(18 0.8370651),(19 0.8401185),(20 0.9211356),(21 0.9197977),(22 0.92618954),(23 0.9226023),(24 0.9935755),(25 0.992962),(26 1.027002),(27 1.0621979),(28 1.1067672),(29 1.1117506),(30 1.0972948),(31 1.0707233),(32 1.1128193),(33 1.1109809),(34 1.0722499),(35 1.0706106),(36 1.1507063),(37 1.1498684),(38 1.1609749),(39 1.1437715),(40 1.1655185),(41 1.163331),(42 1.1655976),(43 1.152943),(44 1.1420552),(45 1.1401281),(46 1.1486212),(47 1.1651187),(48 1.1650918),
(1 0.00012655878),(2 0.05354056),(3 0.20324488),(4 0.25762546),(5 0.25768536),(6 0.30046424),(7 0.37317565),(8 0.4144416),(9 0.41427794),(10 0.45156902),(11 0.51484215),(12 0.56040883),(13 0.5599035),(14 0.57405156),(15 0.60115975),(16 0.65544194),(17 0.65504307),(18 0.6654306),(19 0.6778632),(20 0.7372486),(21 0.7365609),(22 0.74655277),(23 0.73268044),(24 0.77345014),(25 0.7728827),(26 0.78775626),(27 0.8373131),(28 0.883781),(29 0.88748944),(30 0.8787906),(31 0.8743885),(32 0.89696306),(33 0.89636874),(34 0.8684297),(35 0.8623896),(36 0.9261244),(37 0.9257174),(38 0.92807573),(39 0.90506965),(40 0.9285996),(41 0.9273321),(42 0.91635746),(43 0.9175745),(44 0.8993583),(45 0.8975693),(46 0.8995012),(47 0.9167399),(48 0.9168104),
(1 0.00012315485),(2 0.044455465),(3 0.17019516),(4 0.21991749),(5 0.21998066),(6 0.25418186),(7 0.3092809),(8 0.341752),(9 0.3413029),(10 0.3688451),(11 0.4189825),(12 0.45265925),(13 0.4523368),(14 0.46337318),(15 0.485518),(16 0.5375968),(17 0.53708225),(18 0.54603064),(19 0.5505193),(20 0.59371203),(21 0.59271705),(22 0.5937013),(23 0.58797896),(24 0.6346669),(25 0.63415736),(26 0.65327066),(27 0.66621023),(28 0.7080546),(29 0.7108005),(30 0.69428796),(31 0.6988833),(32 0.7239101),(33 0.7220583),(34 0.68779653),(35 0.6845632),(36 0.73679864),(37 0.73629475),(38 0.7455426),(39 0.7423696),(40 0.75528157),(41 0.75348604),(42 0.74238855),(43 0.7390258),(44 0.7240281),(45 0.72256494),(46 0.7372882),(47 0.7519776),(48 0.7520615),
