1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.0002456124),(2 0.34539378),(3 1.7808957),(4 2.5231495),(5 2.5244367),(6 3.0111198),(7 3.9314399),(8 4.309181),(9 4.308063),(10 4.809053),(11 5.683829),(12 6.2302785),(13 6.2289743),(14 7.111672),(15 10.449264),(16 30.124523),(17 30.111435),(18 31.397074),(19 34.173637),(20 35.55829),(21 35.54413),(22 36.4167),(23 37.933548),(24 38.757915),(25 38.748043),(26 39.466904),(27 38.731514),(28 38.997177),(29 39.024673),(30 39.076607),(31 37.6941),(32 36.205868),(33 36.117413),(34 31.12573),(35 26.70923),(36 26.063412),(37 25.972351),(38 24.232834),(39 23.527304),(40 23.46564),(41 23.42803),(42 23.149271),(43 23.094334),(44 24.03807),(45 24.082655),(46 25.426064),(47 25.915966),(48 25.92245),
(1 0.00034536578),(2 0.44519675),(3 2.3569336),(4 3.2494335),(5 3.2507768),(6 3.8803508),(7 5.065663),(8 5.6714287),(9 5.6738977),(10 6.599661),(11 7.9632416),(12 8.648422),(13 8.654118),(14 9.380203),(15 10.691713),(16 12.944771),(17 12.943818),(18 13.154156),(19 13.895395),(20 14.690868),(21 14.687252),(22 15.261663),(23 15.9676075),(24 16.650784),(25 16.6551),(26 16.802137),(27 16.667545),(28 16.842487),(29 16.86773),(30 16.808504),(31 17.777039),(32 17.569538),(33 17.57516),(34 17.485575),(35 18.19618),(36 18.75397),(37 18.755419),(38 18.941008),(39 19.363102),(40 19.607767),(41 19.618254),(42 19.466164),(43 19.379303),(44 19.190285),(45 19.186289),(46 19.015623),(47 19.065393),(48 19.061804),
(1 0.00035514773),(2 0.5030718),(3 2.1820338),(4 2.92919),(5 2.9297373),(6 3.647766),(7 4.9856935),(8 5.542854),(9 5.5439067),(10 6.1527886),(11 7.5577064),(12 8.284799),(13 8.288241),(14 8.952334),(15 9.72656),(16 10.504687),(17 10.504061),(18 10.926549),(19 11.607376),(20 12.227563),(21 12.227697),(22 12.524203),(23 12.700251),(24 12.930969),(25 12.92978),(26 13.015108),(27 13.632779),(28 13.915834),(29 13.928517),(30 14.033479),(31 14.561847),(32 14.536355),(33 14.539636),(34 14.507073),(35 15.011323),(36 15.429115),(37 15.427714),(38 15.443687),(39 15.517326),(40 15.807181),(41 15.812656),(42 15.830095),(43 16.143988),(44 15.996523),(45 15.9946),(46 15.847742),(47 15.841015),(48 15.838628),
(1 0.00042096656),(2 0.57574177),(3 2.4669478),(4 3.173126),(5 3.1735914),(6 3.7791886),(7 5.040302),(8 5.723456),(9 5.7279706),(10 6.451449),(11 7.6529098),(12 8.1803665),(13 8.181171),(14 8.728756),(15 9.823749),(16 10.427933),(17 10.425069),(18 10.709534),(19 11.077135),(20 11.796607),(21 11.794185),(22 11.985688),(23 12.502967),(24 13.055633),(25 13.058729),(26 13.316477),(27 13.577066),(28 13.827519),(29 13.852685),(30 13.889176),(31 14.383341),(32 14.469101),(33 14.476329),(34 14.531561),(35 15.068635),(36 15.449098),(37 15.454712),(38 15.706133),(39 15.903575),(40 16.0819),(41 16.07891),(42 16.107775),(43 16.230429),(44 15.966643),(45 15.963901),(46 15.804473),(47 15.716015),(48 15.715997),
(1 0.0004085632),(2 0.6004184),(3 2.3716595),(4 3.066068),(5 3.068054),(6 3.7119195),(7 4.9295125),(8 5.482983),(9 5.4864187),(10 5.9829154),(11 7.001888),(12 7.5947037),(13 7.5950866),(14 8.056814),(15 9.035354),(16 9.5328045),(17 9.53554),(18 9.743557),(19 10.000202),(20 10.596467),(21 10.59771),(22 10.777887),(23 11.019569),(24 11.408776),(25 11.4120035),(26 11.747892),(27 12.347077),(28 12.494096),(29 12.499713),(30 12.333473),(31 12.796921),(32 12.934515),(33 12.936093),(34 12.923476),(35 13.296708),(36 13.705054),(37 13.705515),(38 13.638858),(39 13.706725),(40 13.891521),(41 13.890326),(42 13.9333105),(43 14.050394),(44 13.704658),(45 13.709393),(46 13.721843),(47 13.842478),(48 13.842488),
(1 0.00030030505),(2 0.42473713),(3 1.6265012),(4 2.0647585),(5 2.0668504),(6 2.458424),(7 3.3328288),(8 3.7524326),(9 3.7551258),(10 4.042769),(11 4.847737),(12 5.20018),(13 5.199052),(14 5.432228),(15 6.004262),(16 6.319371),(17 6.320688),(18 6.596643),(19 6.8548775),(20 7.271886),(21 7.2716436),(22 7.495599),(23 7.504121),(24 7.809178),(25 7.811644),(26 8.076903),(27 8.241295),(28 8.445079),(29 8.4625225),(30 8.5422535),(31 8.576486),(32 8.653691),(33 8.653535),(34 8.564865),(35 8.713132),(36 9.017836),(37 9.016223),(38 9.14464),(39 9.20315),(40 9.376217),(41 9.370467),(42 9.405432),(43 9.51005),(44 9.398126),(45 9.394284),(46 9.429985),(47 9.399369),(48 9.398478),
(1 0.00029835003),(2 0.4355336),(3 1.5885246),(4 2.0293472),(5 2.0310717),(6 2.4210374),(7 3.1593459),(8 3.5473156),(9 3.5468311),(10 3.9076622),(11 4.5936174),(12 4.892938),(13 4.8923583),(14 5.1563478),(15 5.614125),(16 6.0309725),(17 6.032986),(18 6.247413),(19 6.2600884),(20 6.669978),(21 6.670988),(22 6.7179117),(23 6.8702297),(24 7.3018217),(25 7.30251),(26 7.6195807),(27 7.8432765),(28 7.8870296),(29 7.8988123),(30 7.931367),(31 8.115258),(32 8.276305),(33 8.277193),(34 8.083939),(35 8.228838),(36 8.571427),(37 8.570854),(38 8.522854),(39 8.613117),(40 8.780786),(41 8.780789),(42 8.791446),(43 8.937759),(44 8.748758),(45 8.750408),(46 8.743401),(47 8.71846),(48 8.718421),
(1 0.00026484233),(2 0.40746),(3 1.4464164),(4 1.8249328),(5 1.8266212),(6 2.161724),(7 2.776451),(8 3.1356382),(9 3.1371958),(10 3.3524551),(11 3.8146021),(12 4.163525),(13 4.1624494),(14 4.4757023),(15 4.8659596),(16 5.2136655),(17 5.2135925),(18 5.371963),(19 5.415346),(20 5.7793584),(21 5.7794495),(22 5.8358235),(23 5.8922358),(24 6.228374),(25 6.229377),(26 6.4516687),(27 6.6759114),(28 6.889964),(29 6.901587),(30 6.9147677),(31 6.8756185),(32 6.9948936),(33 6.9940896),(34 6.8514447),(35 7.0420384),(36 7.3860154),(37 7.381669),(38 7.348735),(39 7.3394437),(40 7.483288),(41 7.482226),(42 7.5558743),(43 7.552305),(44 7.429179),(45 7.425715),(46 7.477291),(47 7.536141),(48 7.535023),
(1 0.00023388614),(2 0.35365844),(3 1.2308788),(4 1.5273366),(5 1.5293032),(6 1.8210604),(7 2.2817671),(8 2.570829),(9 2.5711246),(10 2.7811494),(11 3.375314),(12 3.6310909),(13 3.6318276),(14 3.8331702),(15 4.119459),(16 4.466838),(17 4.467426),(18 4.633537),(19 4.719787),(20 5.0102224),(21 5.007855),(22 5.068827),(23 5.103937),(24 5.4230056),(25 5.4229116),(26 5.523617),(27 5.70055),(28 5.8525095),(29 5.8599133),(30 5.8110113),(31 5.8200064),(32 5.9791136),(33 5.979078),(34 5.7548056),(35 5.8244543),(36 6.10746),(37 6.1048284),(38 6.100475),(39 6.1232514),(40 6.197461),(41 6.1955647),(42 6.1897116),(43 6.415034),(44 6.3292413),(45 6.3262606),(46 6.360185),(47 6.528038),(48 6.5276175),
(1 0.00021107562),(2 0.30116245),(3 1.0017483),(4 1.2708547),(5 1.2721664),(6 1.5418559),(7 1.9464664),(8 2.1922026),(9 2.1928973),(10 2.348679),(11 2.7059033),(12 2.8942506),(13 2.894532),(14 3.0848768),(15 3.3904696),(16 3.6414647),(17 3.6421642),(18 3.6841104),(19 3.7348247),(20 3.9941664),(21 3.9922168),(22 4.0431833),(23 4.1043587),(24 4.407796),(25 4.406308),(26 4.5602264),(27 4.63797),(28 4.832575),(29 4.8383226),(30 4.834741),(31 4.789519),(32 4.9000974),(33 4.8995624),(34 4.725341),(35 4.7439117),(36 5.0483546),(37 5.046356),(38 5.1288733),(39 5.0300927),(40 5.109796),(41 5.1073956),(42 5.0922394),(43 5.1508207),(44 5.1074615),(45 5.101694),(46 5.2112627),(47 5.2481236),(48 5.247788),
(1 0.00017751481),(2 0.23286204),(3 0.77643704),(4 0.98163086),(5 0.98293275),(6 1.1774861),(7 1.5228606),(8 1.7087655),(9 1.7095532),(10 1.810496),(11 2.1352336),(12 2.2963436),(13 2.295921),(14 2.4346488),(15 2.5819016),(16 2.7389202),(17 2.7382934),(18 2.8229256),(19 2.9156737),(20 3.135278),(21 3.1332827),(22 3.1453807),(23 3.1839554),(24 3.39105),(25 3.3917184),(26 3.5240502),(27 3.6759014),(28 3.7796662),(29 3.7863662),(30 3.7337801),(31 3.694883),(32 3.7829373),(33 3.7823157),(34 3.6619287),(35 3.6408746),(36 3.8229868),(37 3.822247),(38 3.7931054),(39 3.8204355),(40 3.871837),(41 3.8687825),(42 3.8510628),(43 3.8803697),(44 3.8092964),(45 3.8046274),(46 3.830347),(47 3.93201),(48 3.932404),
