1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 14.778307),(2 31.40683),(3 52.089935),(4 65.99815),(5 74.90209),(6 85.37306),(7 96.73526),(8 106.020035),(9 115.4844),(10 126.09077),(11 134.69621),(12 139.89804),(13 144.23502),(14 148.77988),(15 151.60849),(16 153.96603),(17 157.29091),(18 157.50989),(19 158.58456),(20 162.78386),(21 165.32639),(22 169.80707),(23 173.52425),(24 175.1997),(25 175.706),(26 178.1733),(27 183.94193),(28 187.33183),(29 188.65443),(30 192.91997),(31 198.71448),(32 201.20757),(33 202.30463),(34 203.33713),(35 202.82376),(36 199.03668),(37 196.95284),(38 196.94595),(39 201.7553),(40 205.66278),(41 209.49673),(42 213.4803),(43 217.09465),(44 216.57771),(45 216.65489),(46 214.83589),(47 210.83836),(48 208.75287),(49 207.40202),(50 203.60522),(51 198.86148),(52 190.72227),(53 183.09776),(54 183.23735),(55 185.19994),(56 192.71242),(57 198.4975),(58 206.23112),(59 208.85564),(60 212.50813),(61 213.61967),(62 215.23921),(63 216.56015),(64 215.50914),(65 217.33058),(66 221.13283),(67 228.66104),(68 229.30989),(69 225.73607),(70 222.70164),(71 220.47203),(72 219.39854),(73 217.9753),(74 218.1372),(75 216.58194),(76 216.38998),(77 214.85126),(78 213.06526),(79 211.28966),
(1 13.843093),(2 28.824919),(3 47.75824),(4 62.08333),(5 70.01708),(6 77.60136),(7 84.28938),(8 90.17079),(9 94.66402),(10 101.03756),(11 108.22961),(12 115.67352),(13 121.910126),(14 127.862015),(15 133.08073),(16 135.8848),(17 138.62637),(18 141.91734),(19 145.37904),(20 150.63739),(21 154.73296),(22 159.37718),(23 164.05064),(24 167.15176),(25 168.19255),(26 169.89655),(27 171.92789),(28 174.34338),(29 175.93013),(30 177.05243),(31 179.4221),(32 182.45345),(33 184.10321),(34 183.52855),(35 184.6436),(36 185.834),(37 186.03984),(38 187.56104),(39 190.90393),(40 193.92812),(41 195.68948),(42 198.13016),(43 201.58675),(44 203.15599),(45 205.4942),(46 207.02162),(47 208.35556),(48 209.47734),(49 210.4291),(50 210.90459),(51 210.6761),(52 211.48735),(53 211.5133),(54 212.56699),(55 214.5021),(56 216.54692),(57 217.63087),(58 218.21063),(59 218.05768),(60 218.33307),(61 218.99016),(62 217.90575),(63 217.40363),(64 217.44403),(65 216.90756),(66 216.60295),(67 219.14366),(68 218.67857),(69 217.74231),(70 216.51163),(71 217.25316),(72 217.93057),(73 219.0741),(74 219.84338),(75 221.53607),(76 224.60255),(77 226.79695),(78 228.1675),(79 228.86719),
(1 11.05307),(2 24.828209),(3 41.04882),(4 52.62103),(5 59.013847),(6 64.45863),(7 69.939384),(8 74.55826),(9 79.34065),(10 85.4721),(11 92.52214),(12 98.31495),(13 103.062996),(14 107.47518),(15 111.87831),(16 115.39092),(17 117.32031),(18 118.7674),(19 120.149216),(20 122.269844),(21 124.26822),(22 126.99859),(23 130.52194),(24 133.14209),(25 134.42735),(26 135.77559),(27 138.09653),(28 139.71552),(29 140.74774),(30 142.18382),(31 144.58162),(32 147.23103),(33 149.84435),(34 151.38362),(35 153.17102),(36 154.78276),(37 155.45517),(38 156.71646),(39 158.46193),(40 160.61023),(41 161.74155),(42 162.83482),(43 164.47142),(44 164.42436),(45 164.44379),(46 164.21802),(47 164.07957),(48 164.17622),(49 164.4268),(50 164.29889),(51 164.23161),(52 164.39256),(53 164.97632),(54 165.0432),(55 166.05672),(56 168.62549),(57 169.14056),(58 170.03578),(59 170.48073),(60 170.73352),(61 170.95589),(62 171.61357),(63 172.06265),(64 173.45625),(65 173.93526),(66 174.68835),(67 174.15376),(68 175.37228),(69 174.84596),(70 174.42453),(71 174.56342),(72 175.39423),(73 176.02087),(74 177.0157),(75 179.11653),(76 180.23994),(77 181.20937),(78 181.69922),(79 181.71605),
(1 13.341144),(2 29.306892),(3 47.143997),(4 58.501095),(5 64.89144),(6 71.52191),(7 78.13555),(8 82.70691),(9 86.951515),(10 93.08997),(11 100.895515),(12 107.435486),(13 112.30345),(14 116.74779),(15 120.57715),(16 122.92062),(17 124.13998),(18 124.49411),(19 124.9173),(20 126.07732),(21 128.12465),(22 130.52202),(23 133.82198),(24 136.36278),(25 138.45073),(26 140.32173),(27 141.8625),(28 143.0869),(29 142.78802),(30 143.2209),(31 146.03517),(32 148.8145),(33 151.45801),(34 153.19785),(35 154.4197),(36 154.71732),(37 154.34837),(38 154.47742),(39 155.2669),(40 155.9501),(41 156.55989),(42 156.49394),(43 156.6251),(44 156.71535),(45 156.46092),(46 155.59784),(47 155.90921),(48 156.66042),(49 157.10762),(50 157.80748),(51 158.36455),(52 158.79),(53 159.01654),(54 159.27628),(55 161.27913),(56 163.3388),(57 164.85045),(58 166.03192),(59 166.80156),(60 167.14236),(61 166.7447),(62 166.28336),(63 167.3217),(64 168.61423),(65 169.2929),(66 169.71458),(67 170.57036),(68 171.73543),(69 171.33954),(70 170.19627),(71 169.62784),(72 169.7328),(73 171.01881),(74 172.13844),(75 174.15532),(76 174.37764),(77 174.13637),(78 173.63127),(79 172.92715),
(1 13.043269),(2 28.31591),(3 45.772953),(4 56.69313),(5 62.0524),(6 67.17399),(7 71.82508),(8 74.975),(9 78.05907),(10 82.65604),(11 89.343254),(12 95.54298),(13 99.31031),(14 102.66932),(15 105.84359),(16 108.96916),(17 110.99902),(18 112.40817),(19 113.5155),(20 114.530945),(21 116.75095),(22 118.60989),(23 121.18855),(24 123.294365),(25 124.65206),(26 126.29106),(27 128.38464),(28 129.01167),(29 128.35255),(30 127.661064),(31 128.74516),(32 131.07385),(33 133.0675),(34 134.63411),(35 136.98636),(36 138.81377),(37 139.36227),(38 139.9645),(39 140.43134),(40 140.77477),(41 141.01695),(42 140.86996),(43 141.16092),(44 142.53543),(45 142.45195),(46 141.43558),(47 141.0637),(48 141.28369),(49 141.25743),(50 141.65352),(51 141.90453),(52 142.76955),(53 143.74518),(54 144.2122),(55 146.04402),(56 148.07835),(57 149.22365),(58 150.01468),(59 150.60298),(60 150.84218),(61 151.24077),(62 152.18817),(63 153.93106),(64 155.55882),(65 156.1712),(66 156.55542),(67 157.28217),(68 157.83594),(69 157.3097),(70 156.60817),(71 155.90187),(72 155.70544),(73 155.45355),(74 155.65855),(75 155.6914),(76 155.08246),(77 154.69063),(78 154.34889),(79 154.00192),
(1 9.739493),(2 20.811754),(3 33.596935),(4 41.56385),(5 46.16968),(6 50.888386),(7 55.26126),(8 58.487938),(9 60.484097),(10 64.122696),(11 68.44798),(12 72.03621),(13 74.03533),(14 75.50313),(15 76.4424),(16 78.14977),(17 79.235115),(18 79.50885),(19 80.36037),(20 80.72219),(21 81.67862),(22 82.49115),(23 84.03073),(24 85.821075),(25 87.29481),(26 88.71859),(27 90.657074),(28 91.863335),(29 92.49577),(30 93.505936),(31 95.62767),(32 97.84827),(33 99.4305),(34 100.62648),(35 101.42137),(36 102.29714),(37 102.45723),(38 102.82638),(39 103.65068),(40 104.49983),(41 105.28621),(42 104.759895),(43 104.44464),(44 104.50815),(45 104.23573),(46 103.60135),(47 103.083244),(48 103.068405),(49 103.09155),(50 103.03015),(51 102.279564),(52 102.591194),(53 103.00585),(54 103.56904),(55 104.12523),(56 104.78342),(57 104.981544),(58 105.14302),(59 105.71457),(60 106.16827),(61 106.13398),(62 106.452194),(63 107.29687),(64 108.60454),(65 109.1695),(66 109.63392),(67 110.367),(68 110.61347),(69 110.32258),(70 109.71666),(71 109.17576),(72 108.57111),(73 107.960724),(74 106.80014),(75 105.69809),(76 104.79363),(77 104.36326),(78 104.094955),(79 103.927765),
(1 10.43217),(2 21.446966),(3 33.251595),(4 40.749943),(5 45.359734),(6 49.83608),(7 54.54501),(8 58.099205),(9 60.456146),(10 63.83271),(11 67.71291),(12 71.29999),(13 73.52545),(14 75.51904),(15 77.043144),(16 78.26089),(17 78.81105),(18 78.826485),(19 79.151566),(20 79.47096),(21 80.5458),(22 81.213936),(23 82.13594),(24 83.272934),(25 83.78631),(26 84.73662),(27 86.21299),(28 87.49108),(29 87.93973),(30 88.27492),(31 89.021614),(32 90.48854),(33 91.48473),(34 92.09432),(35 92.76138),(36 93.63579),(37 94.09059),(38 94.71515),(39 95.13436),(40 95.39243),(41 95.295715),(42 94.71787),(43 94.52221),(44 94.744026),(45 94.88929),(46 94.38684),(47 94.65958),(48 94.855034),(49 94.88232),(50 94.37552),(51 93.65567),(52 94.46456),(53 95.24383),(54 96.43218),(55 96.895004),(56 97.67155),(57 98.00559),(58 98.14656),(59 98.31308),(60 97.93846),(61 97.50125),(62 97.41368),(63 97.09679),(64 97.137886),(65 96.80461),(66 96.3481),(67 96.15739),(68 96.540665),(69 96.566),(70 96.39694),(71 96.02061),(72 95.958565),(73 96.174545),(74 96.12328),(75 96.22335),(76 96.852394),(77 97.477936),(78 98.03457),(79 98.659065),
(1 9.702957),(2 19.859196),(3 30.410616),(4 36.769375),(5 40.65657),(6 44.83545),(7 49.29854),(8 52.711384),(9 55.001183),(10 57.61162),(11 60.8459),(12 63.906017),(13 65.70561),(14 67.23069),(15 68.62141),(16 69.80101),(17 70.634445),(18 71.17349),(19 71.52736),(20 72.21248),(21 72.87071),(22 73.24964),(23 73.86405),(24 74.88553),(25 75.33361),(26 75.985374),(27 76.48319),(28 76.96781),(29 77.07715),(30 77.14359),(31 77.89439),(32 79.22696),(33 79.94952),(34 80.49106),(35 81.27694),(36 81.59651),(37 81.75803),(38 81.994446),(39 82.765434),(40 83.5091),(41 84.11624),(42 84.30067),(43 85.07205),(44 85.77577),(45 85.9096),(46 85.442665),(47 85.386444),(48 85.86412),(49 86.09683),(50 85.73726),(51 85.57427),(52 86.01189),(53 86.22627),(54 86.34224),(55 86.40991),(56 86.83135),(57 86.99876),(58 86.88614),(59 87.22246),(60 87.495384),(61 87.784706),(62 88.05955),(63 88.62782),(64 89.375114),(65 89.57039),(66 89.64188),(67 89.88946),(68 90.41658),(69 90.27192),(70 89.70617),(71 89.52782),(72 90.02295),(73 90.35832),(74 90.63152),(75 90.78406),(76 90.853294),(77 90.54446),(78 90.31758),(79 90.42981),
(1 8.6779995),(2 17.754885),(3 26.984005),(4 32.624287),(5 36.053288),(6 39.7146),(7 43.23365),(8 46.075344),(9 48.01651),(10 50.382767),(11 53.072914),(12 55.53148),(13 56.800358),(14 57.39464),(15 58.45739),(16 58.88754),(17 59.40796),(18 59.818954),(19 60.325287),(20 60.818905),(21 61.575184),(22 62.16242),(23 63.46872),(24 64.68935),(25 65.1899),(26 65.73131),(27 66.68948),(28 67.72632),(29 68.16273),(30 68.66639),(31 68.86573),(32 69.92159),(33 70.326),(34 70.236885),(35 70.365685),(36 70.488396),(37 70.5453),(38 70.46914),(39 70.51931),(40 70.8264),(41 70.73042),(42 70.40169),(43 70.29175),(44 70.485275),(45 70.481186),(46 70.184456),(47 70.51834),(48 71.12124),(49 71.305855),(50 70.861115),(51 70.297745),(52 70.07046),(53 70.18473),(54 70.14089),(55 70.2508),(56 70.79638),(57 71.01154),(58 70.90503),(59 70.97357),(60 70.87776),(61 70.874),(62 70.89957),(63 71.18073),(64 71.723625),(65 72.15693),(66 72.63113),(67 72.93292),(68 73.46363),(69 73.337425),(70 73.20982),(71 73.32679),(72 73.73841),(73 73.931435),(74 73.4794),(75 73.37624),(76 73.40589),(77 73.40563),(78 73.719376),(79 73.91285),
(1 7.6762342),(2 15.809537),(3 24.140104),(4 29.57625),(5 32.96189),(6 36.339405),(7 39.558613),(8 42.220192),(9 43.84413),(10 45.52429),(11 47.12601),(12 48.92475),(13 49.992596),(14 50.700417),(15 52.05026),(16 52.86031),(17 53.333946),(18 53.516354),(19 53.980972),(20 54.70691),(21 55.260864),(22 55.597557),(23 56.15304),(24 57.00901),(25 57.378563),(26 57.74783),(27 58.555958),(28 59.294075),(29 59.610836),(30 60.06068),(31 60.269405),(32 61.12781),(33 61.440777),(34 61.142338),(35 60.995407),(36 61.34217),(37 61.464417),(38 61.693523),(39 62.15178),(40 62.429466),(41 62.43544),(42 62.247803),(43 62.041386),(44 62.083885),(45 61.917393),(46 61.49701),(47 61.532112),(48 62.200626),(49 62.6014),(50 62.620346),(51 62.568222),(52 62.79269),(53 62.87221),(54 62.892113),(55 62.880764),(56 63.76219),(57 64.15047),(58 64.17694),(59 64.22406),(60 64.15969),(61 64.00827),(62 63.89944),(63 63.819218),(64 64.07827),(65 64.20722),(66 63.9782),(67 63.66662),(68 63.882984),(69 63.691948),(70 63.495216),(71 63.564655),(72 63.322834),(73 63.1488),(74 62.693863),(75 62.499725),(76 62.121853),(77 61.8098),(78 61.673317),(79 61.571175),
(1 6.1896267),(2 12.663211),(3 19.326946),(4 23.576889),(5 26.104136),(6 28.49735),(7 30.848831),(8 32.99204),(9 34.25655),(10 35.443703),(11 36.777023),(12 38.375214),(13 39.20709),(14 39.77827),(15 40.831066),(16 41.634014),(17 42.190956),(18 42.36349),(19 42.738346),(20 43.373894),(21 43.62713),(22 43.6467),(23 43.869766),(24 44.34422),(25 44.544903),(26 44.670937),(27 45.46814),(28 46.173447),(29 46.43264),(30 46.633564),(31 46.96039),(32 47.612034),(33 48.062695),(34 48.227127),(35 48.439865),(36 48.930878),(37 48.93203),(38 49.08699),(39 49.382042),(40 49.70494),(41 49.613163),(42 49.431168),(43 49.688557),(44 49.749603),(45 49.735153),(46 49.437695),(47 49.243027),(48 49.362846),(49 49.510742),(50 49.48791),(51 49.58413),(52 49.84272),(53 49.97142),(54 49.842926),(55 49.9325),(56 49.97635),(57 49.8648),(58 49.519264),(59 49.403408),(60 49.479095),(61 49.449978),(62 49.346046),(63 49.524193),(64 49.77348),(65 50.024048),(66 49.95905),(67 50.104084),(68 50.49934),(69 50.643677),(70 50.399326),(71 50.654297),(72 50.863903),(73 50.98997),(74 51.016277),(75 51.171303),(76 51.10458),(77 50.692974),(78 50.444523),(79 50.413185),
