1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 6.0902834),(2 13.333139),(3 22.4684),(4 28.605202),(5 32.13885),(6 35.552624),(7 38.335773),(8 40.699394),(9 42.569912),(10 45.29203),(11 48.17502),(12 50.939056),(13 53.197067),(14 55.549652),(15 57.690716),(16 59.048786),(17 59.966366),(18 60.6103),(19 61.191914),(20 62.474754),(21 63.391792),(22 64.63903),(23 66.32935),(24 67.82042),(25 68.85413),(26 70.281006),(27 71.884796),(28 73.22849),(29 73.73165),(30 74.47018),(31 75.506096),(32 76.939285),(33 77.8794),(34 78.31217),(35 79.07472),(36 79.645004),(37 79.94898),(38 80.57271),(39 81.19532),(40 81.57798),(41 81.73711),(42 81.94683),(43 82.32706),(44 82.94335),(45 83.25563),(46 83.41034),(47 83.770805),(48 84.22147),(49 84.43544),(50 84.61455),(51 84.33371),(52 84.362305),(53 84.39932),(54 84.66145),(55 85.19073),(56 86.21541),(57 86.88295),(58 87.55741),(59 87.86102),(60 88.16687),(61 88.3061),(62 88.48227),(63 88.803345),(64 88.896965),(65 88.58963),(66 88.25358),(67 88.492134),(68 88.632805),(69 88.5194),(70 88.50476),(71 88.76015),(72 88.95822),(73 89.09966),(74 89.200226),(75 89.359184),(76 89.47449),(77 89.56891),(78 89.70034),(79 89.90405),
(1 5.4945445),(2 11.733033),(3 18.604166),(4 22.802103),(5 25.137693),(6 27.41163),(7 29.574333),(8 31.12477),(9 32.394253),(10 34.30307),(11 36.884693),(12 39.16655),(13 40.66121),(14 42.050144),(15 43.247562),(16 44.332024),(17 45.010994),(18 45.272804),(19 45.648846),(20 46.048378),(21 46.713882),(22 47.30327),(23 48.071808),(24 48.777523),(25 49.232334),(26 49.84279),(27 50.549725),(28 50.96315),(29 50.929806),(30 51.071514),(31 51.662827),(32 52.524487),(33 53.213207),(34 53.69299),(35 54.343655),(36 54.705093),(37 54.93532),(38 55.32762),(39 55.606483),(40 55.823185),(41 56.026638),(42 55.992466),(43 56.155693),(44 56.54664),(45 56.48679),(46 56.205612),(47 56.06251),(48 56.176376),(49 56.20253),(50 56.24834),(51 56.196484),(52 56.623245),(53 56.90781),(54 57.25028),(55 57.6506),(56 58.457268),(57 58.795055),(58 59.119316),(59 59.219917),(60 59.435486),(61 59.389423),(62 59.450047),(63 59.891907),(64 60.368355),(65 60.48097),(66 60.613483),(67 60.867058),(68 61.251263),(69 61.365776),(70 61.38063),(71 61.25181),(72 61.22804),(73 61.25577),(74 61.11575),(75 61.12569),(76 60.868576),(77 60.83089),(78 60.75145),(79 60.71579),
(1 4.0884433),(2 8.46448),(3 13.056145),(4 15.937927),(5 17.726776),(6 19.540848),(7 21.41849),(8 22.793592),(9 23.669956),(10 24.778402),(11 26.097067),(12 27.376656),(13 28.19046),(14 28.82324),(15 29.433674),(16 30.071241),(17 30.492819),(18 30.654444),(19 30.80414),(20 31.030499),(21 31.35172),(22 31.514828),(23 31.97593),(24 32.401833),(25 32.713566),(26 33.061928),(27 33.5638),(28 34.045876),(29 34.15576),(30 34.30918),(31 34.571854),(32 35.04933),(33 35.314156),(34 35.40489),(35 35.651493),(36 35.835484),(37 35.918724),(38 36.08751),(39 36.397736),(40 36.56264),(41 36.607067),(42 36.432587),(43 36.457413),(44 36.499424),(45 36.412952),(46 36.12555),(47 36.163883),(48 36.352734),(49 36.45799),(50 36.336063),(51 36.196487),(52 36.30244),(53 36.378696),(54 36.571053),(55 36.735336),(56 37.00731),(57 37.16412),(58 37.236122),(59 37.43677),(60 37.646355),(61 37.74825),(62 37.904488),(63 38.182827),(64 38.388157),(65 38.5094),(66 38.62299),(67 38.61547),(68 38.750813),(69 38.74784),(70 38.62275),(71 38.67522),(72 38.733967),(73 38.74026),(74 38.61626),(75 38.516773),(76 38.437637),(77 38.386257),(78 38.382717),(79 38.365494),
(1 3.607531),(2 7.3666368),(3 11.148785),(4 13.620359),(5 15.103909),(6 16.55035),(7 17.973492),(8 19.146807),(9 19.83159),(10 20.562449),(11 21.410383),(12 22.27842),(13 22.776762),(14 23.089462),(15 23.635061),(16 24.059923),(17 24.32547),(18 24.457905),(19 24.639648),(20 24.913452),(21 25.117245),(22 25.269913),(23 25.577227),(24 26.014715),(25 26.216238),(26 26.367622),(27 26.693506),(28 27.063847),(29 27.214384),(30 27.384226),(31 27.537622),(32 27.890896),(33 28.05925),(34 28.037205),(35 28.13619),(36 28.374914),(37 28.42667),(38 28.50566),(39 28.625708),(40 28.822939),(41 28.77597),(42 28.63419),(43 28.534857),(44 28.550535),(45 28.48979),(46 28.318865),(47 28.375061),(48 28.54061),(49 28.588837),(50 28.538729),(51 28.452978),(52 28.529705),(53 28.564182),(54 28.500114),(55 28.458078),(56 28.686161),(57 28.751669),(58 28.754063),(59 28.793402),(60 28.834028),(61 28.873968),(62 28.857084),(63 28.899282),(64 29.034586),(65 29.077394),(66 29.03631),(67 29.03067),(68 29.168108),(69 29.14229),(70 29.030138),(71 29.080914),(72 29.131973),(73 29.101479),(74 28.929455),(75 28.867758),(76 28.737982),(77 28.599625),(78 28.613771),(79 28.642883),
(1 2.9751058),(2 6.0762525),(3 9.060395),(4 11.020974),(5 12.145627),(6 13.182626),(7 14.262839),(8 15.078939),(9 15.544033),(10 16.033695),(11 16.70877),(12 17.359385),(13 17.758589),(14 18.051477),(15 18.448801),(16 18.840378),(17 19.046246),(18 19.15349),(19 19.307178),(20 19.558298),(21 19.706934),(22 19.824661),(23 19.976164),(24 20.201466),(25 20.306465),(26 20.350443),(27 20.515041),(28 20.7039),(29 20.79519),(30 20.811277),(31 20.839651),(32 21.01303),(33 21.064308),(34 21.057135),(35 21.185425),(36 21.365034),(37 21.38366),(38 21.428602),(39 21.55912),(40 21.75108),(41 21.765291),(42 21.715277),(43 21.778917),(44 21.936064),(45 21.962362),(46 21.89619),(47 21.897682),(48 21.927916),(49 21.89191),(50 21.797474),(51 21.730125),(52 21.863728),(53 21.89964),(54 21.948305),(55 22.009586),(56 22.143013),(57 22.202187),(58 22.16664),(59 22.185207),(60 22.282478),(61 22.354216),(62 22.320906),(63 22.339859),(64 22.470179),(65 22.52535),(66 22.49038),(67 22.404144),(68 22.457394),(69 22.376959),(70 22.261652),(71 22.252937),(72 22.262001),(73 22.185856),(74 22.068022),(75 22.016642),(76 21.937935),(77 21.824966),(78 21.813406),(79 21.835611),
(1 1.823365),(2 3.7337317),(3 5.530387),(4 6.7027817),(5 7.360307),(6 7.965783),(7 8.621446),(8 9.068577),(9 9.339954),(10 9.618834),(11 9.977436),(12 10.345437),(13 10.525103),(14 10.683322),(15 10.875979),(16 11.085585),(17 11.17587),(18 11.194966),(19 11.254758),(20 11.381769),(21 11.4503975),(22 11.523893),(23 11.629718),(24 11.753216),(25 11.805624),(26 11.850342),(27 11.972772),(28 12.112594),(29 12.151572),(30 12.15752),(31 12.272544),(32 12.388205),(33 12.452456),(34 12.411901),(35 12.468867),(36 12.559149),(37 12.56457),(38 12.564293),(39 12.603778),(40 12.695662),(41 12.697324),(42 12.643034),(43 12.631493),(44 12.723845),(45 12.740112),(46 12.726009),(47 12.754657),(48 12.852191),(49 12.897086),(50 12.880818),(51 12.925196),(52 13.026637),(53 13.027474),(54 13.009824),(55 13.042868),(56 13.164483),(57 13.209995),(58 13.218468),(59 13.231819),(60 13.283523),(61 13.287996),(62 13.246249),(63 13.248188),(64 13.3252325),(65 13.341371),(66 13.275725),(67 13.2493105),(68 13.301372),(69 13.284893),(70 13.239346),(71 13.238128),(72 13.27922),(73 13.273588),(74 13.223634),(75 13.178961),(76 13.138082),(77 13.075763),(78 13.035327),(79 13.034302),
(1 1.6126603),(2 3.311484),(3 4.901555),(4 5.9162927),(5 6.454554),(6 6.934021),(7 7.4188695),(8 7.821367),(9 8.05558),(10 8.271473),(11 8.543406),(12 8.825049),(13 8.952121),(14 9.065319),(15 9.255766),(16 9.459126),(17 9.547077),(18 9.57105),(19 9.644004),(20 9.781281),(21 9.841506),(22 9.879547),(23 9.968829),(24 10.070028),(25 10.097884),(26 10.082155),(27 10.125207),(28 10.208233),(29 10.211024),(30 10.212743),(31 10.273239),(32 10.367642),(33 10.408161),(34 10.3641),(35 10.394213),(36 10.450984),(37 10.4573145),(38 10.456014),(39 10.493287),(40 10.580676),(41 10.611824),(42 10.597249),(43 10.620418),(44 10.689651),(45 10.700476),(46 10.667113),(47 10.695713),(48 10.760376),(49 10.78058),(50 10.748669),(51 10.78154),(52 10.868266),(53 10.870214),(54 10.839762),(55 10.844478),(56 10.941482),(57 10.96296),(58 10.958354),(59 10.998795),(60 11.071178),(61 11.083985),(62 11.031249),(63 11.048133),(64 11.117304),(65 11.129452),(66 11.09519),(67 11.065093),(68 11.117581),(69 11.119492),(70 11.048982),(71 11.029211),(72 11.061157),(73 11.05983),(74 10.995055),(75 10.980075),(76 10.958719),(77 10.912775),(78 10.891272),(79 10.89221),
(1 1.3071417),(2 2.6742926),(3 3.9306884),(4 4.718065),(5 5.1235676),(6 5.466757),(7 5.828005),(8 6.1307096),(9 6.3209825),(10 6.488504),(11 6.695661),(12 6.912548),(13 7.014363),(14 7.108156),(15 7.2391315),(16 7.3848643),(17 7.445484),(18 7.4344425),(19 7.4466968),(20 7.5334263),(21 7.556218),(22 7.5541363),(23 7.5912504),(24 7.655774),(25 7.6635003),(26 7.641806),(27 7.675419),(28 7.743404),(29 7.745005),(30 7.7427716),(31 7.7766633),(32 7.8713856),(33 7.9053125),(34 7.897949),(35 7.916383),(36 7.996127),(37 8.016916),(38 8.003164),(39 8.022346),(40 8.094912),(41 8.1101),(42 8.09728),(43 8.114138),(44 8.186892),(45 8.195454),(46 8.15813),(47 8.141959),(48 8.204379),(49 8.211629),(50 8.193036),(51 8.207823),(52 8.281913),(53 8.300712),(54 8.277985),(55 8.291935),(56 8.386374),(57 8.407257),(58 8.383366),(59 8.376895),(60 8.443464),(61 8.445831),(62 8.419766),(63 8.43368),(64 8.478503),(65 8.484862),(66 8.482288),(67 8.477732),(68 8.519053),(69 8.518681),(70 8.465939),(71 8.449937),(72 8.488858),(73 8.49329),(74 8.44148),(75 8.436077),(76 8.389946),(77 8.351214),(78 8.345495),(79 8.340029),
(1 1.0118306),(2 2.0654674),(3 2.9979157),(4 3.5846133),(5 3.889853),(6 4.1613836),(7 4.456709),(8 4.690007),(9 4.819739),(10 4.9237676),(11 5.074576),(12 5.2382493),(13 5.3096337),(14 5.366256),(15 5.4352684),(16 5.537211),(17 5.578695),(18 5.580144),(19 5.571968),(20 5.632895),(21 5.6591907),(22 5.659339),(23 5.687924),(24 5.757286),(25 5.7775574),(26 5.7793713),(27 5.790141),(28 5.8339276),(29 5.826026),(30 5.796125),(31 5.827337),(32 5.892268),(33 5.9023237),(34 5.8683343),(35 5.863245),(36 5.9069424),(37 5.9136167),(38 5.9099636),(39 5.9407825),(40 6.0117674),(41 6.0287304),(42 6.0157204),(43 6.0373096),(44 6.101452),(45 6.1163297),(46 6.0847855),(47 6.0976667),(48 6.155814),(49 6.166459),(50 6.1417494),(51 6.11359),(52 6.1442394),(53 6.140505),(54 6.126411),(55 6.144271),(56 6.21559),(57 6.2335825),(58 6.2225413),(59 6.240633),(60 6.290635),(61 6.297706),(62 6.2759748),(63 6.2849092),(64 6.330818),(65 6.3423815),(66 6.334722),(67 6.3418803),(68 6.39627),(69 6.3856487),(70 6.339495),(71 6.3135295),(72 6.3289886),(73 6.3160644),(74 6.265576),(75 6.255099),(76 6.244402),(77 6.219536),(78 6.2143526),(79 6.2125816),
(1 0.79551524),(2 1.6125641),(3 2.339093),(4 2.7869642),(5 3.0147674),(6 3.2203174),(7 3.4270866),(8 3.597696),(9 3.6960971),(10 3.7891936),(11 3.9041998),(12 4.0304813),(13 4.083245),(14 4.1218233),(15 4.165207),(16 4.2369094),(17 4.264542),(18 4.271575),(19 4.2803874),(20 4.3301373),(21 4.345604),(22 4.336775),(23 4.341822),(24 4.3951116),(25 4.412751),(26 4.4114375),(27 4.4235864),(28 4.4649796),(29 4.453964),(30 4.425832),(31 4.43292),(32 4.4742002),(33 4.4844775),(34 4.4624114),(35 4.452744),(36 4.4854903),(37 4.480209),(38 4.4682493),(39 4.4869704),(40 4.5463886),(41 4.5634303),(42 4.5500193),(43 4.557151),(44 4.6080494),(45 4.622211),(46 4.59929),(47 4.5997977),(48 4.642766),(49 4.6615605),(50 4.6490064),(51 4.6525426),(52 4.6967173),(53 4.703848),(54 4.689345),(55 4.706152),(56 4.7610354),(57 4.7701173),(58 4.7517633),(59 4.7561707),(60 4.7951307),(61 4.8036056),(62 4.7841387),(63 4.78172),(64 4.81189),(65 4.809414),(66 4.7907624),(67 4.7821665),(68 4.811616),(69 4.795906),(70 4.7462845),(71 4.7312136),(72 4.7426653),(73 4.726041),(74 4.685017),(75 4.6793356),(76 4.6737757),(77 4.659143),(78 4.6626344),(79 4.670726),
(1 0.5748116),(2 1.162165),(3 1.6792338),(4 1.9949752),(5 2.1486902),(6 2.2919667),(7 2.4419105),(8 2.5663838),(9 2.6277673),(10 2.6755853),(11 2.7319841),(12 2.8044913),(13 2.8300235),(14 2.843924),(15 2.8690786),(16 2.9154155),(17 2.9314983),(18 2.9260263),(19 2.9373722),(20 2.9755433),(21 2.989008),(22 2.982918),(23 2.9931517),(24 3.035532),(25 3.0452547),(26 3.0419996),(27 3.0509908),(28 3.080323),(29 3.0754695),(30 3.0624697),(31 3.0698564),(32 3.1010532),(33 3.1083302),(34 3.094032),(35 3.0910935),(36 3.122134),(37 3.1275883),(38 3.1211407),(39 3.133378),(40 3.1622484),(41 3.1643822),(42 3.1437497),(43 3.141375),(44 3.1723397),(45 3.1807504),(46 3.1632078),(47 3.1684883),(48 3.2045307),(49 3.2185488),(50 3.2114446),(51 3.2088275),(52 3.245066),(53 3.2528868),(54 3.2602642),(55 3.26834),(56 3.3101513),(57 3.3253024),(58 3.3248715),(59 3.3304663),(60 3.358591),(61 3.3600032),(62 3.3464751),(63 3.352683),(64 3.3719914),(65 3.3671813),(66 3.3507326),(67 3.3314114),(68 3.3473523),(69 3.3327157),(70 3.3115976),(71 3.3042045),(72 3.3203435),(73 3.312628),(74 3.2781844),(75 3.2654638),(76 3.2558498),(77 3.2349777),(78 3.225847),(79 3.2249646),
