1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 6.588607),(2 14.533352),(3 24.275206),(4 31.0075),(5 34.97548),(6 38.7101),(7 41.603317),(8 43.837345),(9 46.51334),(10 49.905632),(11 53.62689),(12 56.505035),(13 59.304127),(14 62.104057),(15 64.66198),(16 66.944725),(17 68.74956),(18 69.45059),(19 69.95802),(20 71.03507),(21 71.67419),(22 72.777145),(23 73.60664),(24 73.82984),(25 73.79697),(26 74.645386),(27 76.99728),(28 78.58388),(29 79.18203),(30 80.36705),(31 82.07812),(32 83.24579),(33 83.63572),(34 83.811226),(35 82.752174),(36 82.005714),(37 82.00163),(38 83.12342),(39 85.27183),(40 86.893105),(41 88.25902),(42 89.01832),(43 90.4661),(44 91.26238),(45 91.27322),(46 90.64479),(47 89.67085),(48 89.464935),(49 89.33702),(50 88.15665),(51 86.138405),(52 83.91022),(53 82.26717),(54 82.5981),(55 83.697495),(56 86.21001),(57 87.94952),(58 89.92229),(59 90.52463),(60 90.882996),(61 90.48984),(62 90.160805),(63 90.31489),(64 90.590965),(65 90.993935),(66 92.19267),(67 94.50505),(68 95.49086),(69 94.79535),(70 94.02154),(71 93.25616),(72 92.90292),(73 92.79758),(74 92.76544),(75 92.72075),(76 92.74761),(77 92.9231),(78 93.46845),(79 93.86888),
(1 6.8861513),(2 14.868944),(3 24.125715),(4 30.396893),(5 33.93897),(6 37.582706),(7 41.106163),(8 43.74574),(9 45.869118),(10 49.012424),(11 52.58592),(12 55.782696),(13 57.95329),(14 60.018494),(15 61.56654),(16 62.786903),(17 63.614544),(18 63.99095),(19 64.50776),(20 65.83629),(21 67.18583),(22 68.60062),(23 70.49864),(24 71.94192),(25 72.9015),(26 74.13276),(27 75.40792),(28 76.21755),(29 76.56352),(30 77.11424),(31 78.426994),(32 79.46986),(33 80.46406),(34 81.15056),(35 82.25375),(36 82.82725),(37 83.0063),(38 83.52133),(39 84.49693),(40 85.35476),(41 85.94861),(42 86.443184),(43 87.15481),(44 87.45757),(45 87.77835),(46 87.7907),(47 88.08527),(48 88.54547),(49 88.88657),(50 89.0866),(51 89.049675),(52 89.23006),(53 89.26813),(54 89.84705),(55 90.5012),(56 91.7404),(57 92.26767),(58 92.780266),(59 92.98104),(60 93.13105),(61 93.246956),(62 93.243675),(63 93.273766),(64 93.607285),(65 93.75918),(66 93.63649),(67 94.290184),(68 94.33777),(69 93.9874),(70 93.52009),(71 93.51199),(72 93.74104),(73 93.91817),(74 93.912834),(75 93.928696),(76 94.38554),(77 94.55783),(78 94.511536),(79 94.40721),
(1 5.264108),(2 11.257316),(3 17.919352),(4 22.206594),(5 24.680283),(6 27.139019),(7 29.795403),(8 31.668568),(9 33.106495),(10 34.99472),(11 37.27267),(12 39.396637),(13 40.922695),(14 42.3329),(15 43.6493),(16 44.52069),(17 45.004402),(18 45.201733),(19 45.522167),(20 45.981518),(21 46.620293),(22 47.18033),(23 48.1144),(24 48.791386),(25 49.280365),(26 49.845264),(27 50.617462),(28 51.2844),(29 51.455605),(30 51.671074),(31 52.217968),(32 53.092678),(33 53.841896),(34 54.238487),(35 54.688133),(36 54.91867),(37 54.96993),(38 55.13082),(39 55.42584),(40 55.62148),(41 55.68338),(42 55.731323),(43 55.79076),(44 55.938274),(45 55.95656),(46 55.702934),(47 55.698463),(48 55.807),(49 55.85182),(50 55.826195),(51 55.840725),(52 56.024292),(53 56.20604),(54 56.39894),(55 56.742485),(56 57.26093),(57 57.5447),(58 57.81078),(59 58.023777),(60 58.190327),(61 58.259453),(62 58.385902),(63 58.76324),(64 59.177643),(65 59.2573),(66 59.34568),(67 59.5411),(68 59.933342),(69 59.993412),(70 59.847366),(71 59.813602),(72 59.93654),(73 60.09835),(74 60.2943),(75 60.662415),(76 60.769142),(77 60.726254),(78 60.63863),(79 60.578407),
(1 5.260956),(2 10.979932),(3 17.106333),(4 20.88576),(5 23.040874),(6 25.213665),(7 27.29076),(8 28.90001),(9 30.03817),(10 31.608555),(11 33.561855),(12 35.375927),(13 36.456924),(14 37.261806),(15 38.086384),(16 38.86863),(17 39.435844),(18 39.681137),(19 39.991558),(20 40.3109),(21 40.854225),(22 41.29493),(23 41.977047),(24 42.78614),(25 43.21716),(26 43.631603),(27 44.235462),(28 44.67069),(29 44.737812),(30 44.823223),(31 45.187214),(32 45.902588),(33 46.356083),(34 46.58661),(35 47.007217),(36 47.44064),(37 47.638687),(38 47.902046),(39 48.275475),(40 48.712788),(41 48.930744),(42 48.897724),(43 48.914894),(44 49.08517),(45 49.058),(46 48.898117),(47 48.835308),(48 48.965416),(49 48.97618),(50 48.81061),(51 48.646286),(52 48.8159),(53 49.03166),(54 49.290993),(55 49.563015),(56 50.00144),(57 50.13972),(58 50.155724),(59 50.261467),(60 50.33265),(61 50.342808),(62 50.41672),(63 50.70074),(64 51.063904),(65 51.206966),(66 51.246292),(67 51.30678),(68 51.517857),(69 51.40841),(70 51.295845),(71 51.22334),(72 51.237854),(73 51.116005),(74 50.892918),(75 50.669773),(76 50.501026),(77 50.4275),(78 50.4205),(79 50.461407),
(1 4.6213226),(2 9.459187),(3 14.409707),(4 17.49373),(5 19.317451),(6 21.16863),(7 22.989462),(8 24.39953),(9 25.345966),(10 26.37939),(11 27.761522),(12 29.064112),(13 29.815578),(14 30.39233),(15 31.12814),(16 31.741484),(17 32.111122),(18 32.255314),(19 32.47348),(20 32.841457),(21 33.179634),(22 33.381187),(23 33.73415),(24 34.187183),(25 34.4175),(26 34.69184),(27 35.209297),(28 35.643887),(29 35.786037),(30 35.874767),(31 36.038326),(32 36.54317),(33 36.812756),(34 36.943523),(35 37.201035),(36 37.47995),(37 37.543865),(38 37.635845),(39 37.853806),(40 38.04373),(41 38.073074),(42 37.98769),(43 38.065666),(44 38.22961),(45 38.217136),(46 38.02635),(47 38.08687),(48 38.294735),(49 38.37471),(50 38.23028),(51 38.176758),(52 38.386776),(53 38.525898),(54 38.632694),(55 38.687534),(56 38.932266),(57 39.031902),(58 38.953068),(59 39.046963),(60 39.134026),(61 39.186596),(62 39.227364),(63 39.32025),(64 39.510796),(65 39.565903),(66 39.54493),(67 39.545574),(68 39.779694),(69 39.762985),(70 39.672226),(71 39.72935),(72 39.87714),(73 39.902237),(74 39.792557),(75 39.770557),(76 39.82058),(77 39.772987),(78 39.891468),(79 40.00756),
(1 2.9310985),(2 6.043646),(3 9.232102),(4 11.278598),(5 12.499419),(6 13.652245),(7 14.852594),(8 15.804403),(9 16.374083),(10 16.972546),(11 17.622849),(12 18.32638),(13 18.713963),(14 18.967506),(15 19.429403),(16 19.797747),(17 20.018688),(18 20.107567),(19 20.22768),(20 20.45202),(21 20.649439),(22 20.822237),(23 21.077936),(24 21.434301),(25 21.632896),(26 21.732782),(27 21.948418),(28 22.210106),(29 22.297556),(30 22.361124),(31 22.47656),(32 22.743095),(33 22.845034),(34 22.770247),(35 22.884533),(36 23.087173),(37 23.150871),(38 23.19496),(39 23.307928),(40 23.530605),(41 23.54833),(42 23.511652),(43 23.454405),(44 23.49187),(45 23.46051),(46 23.330463),(47 23.337526),(48 23.454727),(49 23.48003),(50 23.419971),(51 23.394657),(52 23.465265),(53 23.461937),(54 23.471254),(55 23.48222),(56 23.711214),(57 23.835913),(58 23.825426),(59 23.907911),(60 23.984749),(61 24.035816),(62 24.028372),(63 24.074306),(64 24.21851),(65 24.294943),(66 24.29986),(67 24.235329),(68 24.323938),(69 24.272795),(70 24.2125),(71 24.232061),(72 24.241367),(73 24.210056),(74 24.10577),(75 24.07152),(76 24.014847),(77 23.909332),(78 23.88995),(79 23.877092),
(1 2.7367477),(2 5.5771008),(3 8.362552),(4 10.192102),(5 11.272404),(6 12.265314),(7 13.276117),(8 14.021989),(9 14.493932),(10 14.983236),(11 15.632429),(12 16.245962),(13 16.593445),(14 16.875105),(15 17.255577),(16 17.599125),(17 17.766066),(18 17.83559),(19 17.93893),(20 18.166172),(21 18.267494),(22 18.34453),(23 18.484753),(24 18.652105),(25 18.768833),(26 18.820953),(27 18.99806),(28 19.18223),(29 19.29194),(30 19.332684),(31 19.429018),(32 19.59715),(33 19.696882),(34 19.677683),(35 19.734282),(36 19.860209),(37 19.829554),(38 19.869844),(39 19.989874),(40 20.156742),(41 20.151302),(42 20.055525),(43 20.070845),(44 20.163927),(45 20.162489),(46 20.124601),(47 20.204145),(48 20.367601),(49 20.43272),(50 20.408018),(51 20.467455),(52 20.654821),(53 20.747126),(54 20.765223),(55 20.823751),(56 20.971407),(57 20.990892),(58 20.941578),(59 20.938751),(60 21.027138),(61 21.066023),(62 21.04444),(63 21.066095),(64 21.143646),(65 21.15391),(66 21.08096),(67 21.045671),(68 21.083933),(69 21.034712),(70 20.944675),(71 20.920439),(72 20.920301),(73 20.861744),(74 20.76925),(75 20.751898),(76 20.758162),(77 20.702883),(78 20.718987),(79 20.761345),
(1 2.2911496),(2 4.713558),(3 7.054172),(4 8.56884),(5 9.416506),(6 10.172699),(7 10.991483),(8 11.572918),(9 11.943045),(10 12.302619),(11 12.766913),(12 13.22593),(13 13.445012),(14 13.62116),(15 13.879362),(16 14.180908),(17 14.33399),(18 14.39568),(19 14.507101),(20 14.706044),(21 14.825865),(22 14.895122),(23 15.00396),(24 15.17112),(25 15.229769),(26 15.236906),(27 15.303619),(28 15.399799),(29 15.405445),(30 15.374707),(31 15.473906),(32 15.591804),(33 15.638327),(34 15.603459),(35 15.669657),(36 15.816418),(37 15.841418),(38 15.819813),(39 15.886397),(40 16.04027),(41 16.06975),(42 16.069765),(43 16.132275),(44 16.219912),(45 16.217278),(46 16.16213),(47 16.155142),(48 16.252314),(49 16.27803),(50 16.234686),(51 16.254023),(52 16.378647),(53 16.392708),(54 16.395758),(55 16.4313),(56 16.57881),(57 16.645815),(58 16.667921),(59 16.723726),(60 16.848087),(61 16.891317),(62 16.8605),(63 16.890331),(64 16.990767),(65 17.021185),(66 16.977068),(67 16.963537),(68 17.025362),(69 16.977339),(70 16.844435),(71 16.780617),(72 16.792095),(73 16.73516),(74 16.65539),(75 16.664383),(76 16.636059),(77 16.579205),(78 16.566551),(79 16.56579),
(1 1.8939147),(2 3.8749025),(3 5.75339),(4 6.9574685),(5 7.6139083),(6 8.189716),(7 8.792848),(8 9.236098),(9 9.491594),(10 9.742694),(11 10.082161),(12 10.4212475),(13 10.577593),(14 10.735519),(15 10.934276),(16 11.16735),(17 11.273304),(18 11.291937),(19 11.332578),(20 11.467185),(21 11.510685),(22 11.5416155),(23 11.602141),(24 11.720719),(25 11.754378),(26 11.743527),(27 11.812305),(28 11.913805),(29 11.931744),(30 11.915601),(31 12.010921),(32 12.131655),(33 12.197477),(34 12.193997),(35 12.215915),(36 12.333913),(37 12.35434),(38 12.359751),(39 12.420718),(40 12.527832),(41 12.529012),(42 12.50714),(43 12.518371),(44 12.577985),(45 12.56492),(46 12.513085),(47 12.494552),(48 12.554544),(49 12.553319),(50 12.523504),(51 12.558401),(52 12.661618),(53 12.705963),(54 12.710975),(55 12.767611),(56 12.902935),(57 12.948022),(58 12.942983),(59 12.9745865),(60 13.052509),(61 13.075505),(62 13.02183),(63 13.019147),(64 13.064022),(65 13.069097),(66 13.045221),(67 13.020678),(68 13.084441),(69 13.074286),(70 12.996204),(71 12.956364),(72 12.990195),(73 12.983035),(74 12.927642),(75 12.9088335),(76 12.874094),(77 12.798551),(78 12.77344),(79 12.765586),
(1 1.5590651),(2 3.19995),(3 4.741123),(4 5.711044),(5 6.2244277),(6 6.6647854),(7 7.1249886),(8 7.50971),(9 7.747014),(10 7.946938),(11 8.216076),(12 8.482197),(13 8.587507),(14 8.690949),(15 8.826152),(16 9.00173),(17 9.063889),(18 9.0625305),(19 9.0969),(20 9.205412),(21 9.249188),(22 9.265218),(23 9.334479),(24 9.412938),(25 9.4343195),(26 9.431694),(27 9.485121),(28 9.55325),(29 9.554775),(30 9.54017),(31 9.592117),(32 9.68491),(33 9.711353),(34 9.668762),(35 9.713816),(36 9.8110285),(37 9.828615),(38 9.794016),(39 9.841217),(40 9.9409075),(41 9.958991),(42 9.927364),(43 9.960141),(44 10.021377),(45 10.032498),(46 9.988469),(47 10.005454),(48 10.077972),(49 10.087961),(50 10.061125),(51 10.08046),(52 10.170918),(53 10.187721),(54 10.1644945),(55 10.174881),(56 10.295376),(57 10.334),(58 10.324638),(59 10.334007),(60 10.390864),(61 10.402968),(62 10.364604),(63 10.386167),(64 10.451678),(65 10.451576),(66 10.413228),(67 10.387361),(68 10.436269),(69 10.414332),(70 10.319468),(71 10.287149),(72 10.314706),(73 10.303447),(74 10.246633),(75 10.254829),(76 10.22633),(77 10.176066),(78 10.143355),(79 10.143999),
(1 1.1542726),(2 2.3819633),(3 3.520484),(4 4.229907),(5 4.597073),(6 4.9177866),(7 5.253478),(8 5.5339236),(9 5.70058),(10 5.8474503),(11 6.026428),(12 6.207375),(13 6.2714825),(14 6.3291054),(15 6.42663),(16 6.5520973),(17 6.586672),(18 6.5744505),(19 6.590588),(20 6.683006),(21 6.7126513),(22 6.7216516),(23 6.759347),(24 6.8390555),(25 6.8730702),(26 6.8732977),(27 6.8955445),(28 6.9511337),(29 6.96061),(30 6.9513392),(31 6.9760637),(32 7.047763),(33 7.0592704),(34 7.027897),(35 7.019491),(36 7.073065),(37 7.0599365),(38 7.025542),(39 7.0527935),(40 7.1232886),(41 7.140282),(42 7.137227),(43 7.160058),(44 7.229703),(45 7.2463837),(46 7.2168612),(47 7.2150645),(48 7.257555),(49 7.257622),(50 7.2297783),(51 7.2287364),(52 7.2923574),(53 7.31539),(54 7.30205),(55 7.327891),(56 7.4023824),(57 7.419401),(58 7.4052615),(59 7.429593),(60 7.5007353),(61 7.520753),(62 7.4840007),(63 7.4816165),(64 7.529746),(65 7.535631),(66 7.513317),(67 7.4997044),(68 7.549243),(69 7.552239),(70 7.5144577),(71 7.49565),(72 7.5220833),(73 7.50615),(74 7.4425197),(75 7.4341974),(76 7.408813),(77 7.3680167),(78 7.3442936),(79 7.335595),
