1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 5.3240857),(2 11.27408),(3 18.20366),(4 25.105648),(5 28.808744),(6 31.619242),(7 34.474144),(8 38.59139),(9 39.937767),(10 42.443607),(11 45.28841),(12 50.090885),(13 54.74599),(14 59.31214),(15 62.287033),(16 63.57587),(17 64.84505),(18 65.29326),(19 66.27574),(20 66.42738),(21 66.8067),(22 66.818016),(23 66.7621),(24 64.74173),(25 63.106926),(26 62.642605),(27 63.5386),(28 65.581184),(29 68.609406),(30 70.85918),(31 71.861534),(32 73.07411),(33 74.3866),(34 74.76483),(35 76.37714),(36 77.47053),(37 77.904076),(38 79.59659),(39 80.503044),(40 81.31567),(41 81.87589),(42 81.240585),(43 80.60037),(44 81.583405),(45 82.4117),(46 82.22907),(47 82.82049),(48 83.09103),(49 82.75141),(50 81.85616),(51 78.32789),(52 76.497154),(53 77.48925),(54 79.18201),(55 80.88809),(56 84.157),(57 86.182205),(58 86.86034),(59 87.48746),(60 88.51585),(61 90.996414),(62 91.87549),(63 91.94316),(64 93.72083),(65 96.620705),(66 99.10079),(67 100.45044),(68 100.79637),(69 99.73092),(70 98.53861),(71 97.372826),(72 98.389885),(73 100.543686),(74 102.74963),(75 104.060684),(76 103.08044),(77 101.377945),(78 99.43606),(79 98.14889),
(1 10.422386),(2 21.404837),(3 33.55827),(4 45.361626),(5 50.769817),(6 54.75526),(7 58.940815),(8 62.666523),(9 64.5867),(10 68.17099),(11 73.525826),(12 78.32238),(13 83.176735),(14 87.20728),(15 90.5758),(16 93.008286),(17 95.9772),(18 97.52163),(19 99.674095),(20 101.547165),(21 106.27367),(22 109.389694),(23 111.15214),(24 109.821465),(25 106.00903),(26 104.10657),(27 102.61141),(28 103.44875),(29 105.0791),(30 105.87226),(31 106.76963),(32 108.12533),(33 110.48832),(34 111.39901),(35 113.25092),(36 113.43624),(37 113.55445),(38 114.32589),(39 116.26912),(40 118.109764),(41 121.70828),(42 123.08988),(43 124.421814),(44 126.937386),(45 127.17285),(46 127.54208),(47 127.936676),(48 127.480995),(49 126.3578),(50 124.18227),(51 121.04424),(52 116.624306),(53 116.07308),(54 118.10802),(55 120.20846),(56 124.70841),(57 127.831505),(58 129.05092),(59 130.15651),(60 132.81328),(61 134.44795),(62 136.43292),(63 137.17072),(64 136.55644),(65 136.71054),(66 136.34424),(67 135.69025),(68 134.68604),(69 133.56001),(70 132.31143),(71 131.54413),(72 131.60744),(73 130.79424),(74 130.17177),(75 129.48001),(76 126.88032),(77 124.675674),(78 122.536705),(79 120.88038),
(1 11.501292),(2 23.267973),(3 35.687263),(4 45.667435),(5 50.51615),(6 53.261223),(7 55.595207),(8 57.462074),(9 58.071487),(10 59.61191),(11 61.64071),(12 65.23504),(13 67.80787),(14 69.34814),(15 69.66819),(16 71.420074),(17 73.39772),(18 74.463425),(19 75.33169),(20 77.73548),(21 81.83118),(22 85.35757),(23 86.91011),(24 85.35016),(25 85.33521),(26 85.86946),(27 89.01802),(28 92.37048),(29 95.33128),(30 97.660904),(31 101.076904),(32 101.04917),(33 102.09241),(34 102.423164),(35 103.439926),(36 102.67407),(37 101.83224),(38 101.50992),(39 100.85753),(40 102.90194),(41 106.55079),(42 109.139984),(43 110.13688),(44 112.752945),(45 112.73931),(46 111.90747),(47 110.9577),(48 110.15943),(49 108.48656),(50 107.057175),(51 104.8562),(52 103.930084),(53 104.15963),(54 106.51862),(55 109.530975),(56 113.64556),(57 116.393394),(58 117.387505),(59 116.88587),(60 117.287384),(61 118.403076),(62 118.98782),(63 119.547676),(64 117.951706),(65 118.573944),(66 118.99187),(67 118.48565),(68 117.99291),(69 118.1712),(70 118.25503),(71 118.17826),(72 118.5738),(73 117.92802),(74 116.96145),(75 116.15181),(76 114.63927),(77 112.76292),(78 111.12725),(79 109.26602),
(1 14.729291),(2 28.821934),(3 43.100754),(4 53.779667),(5 59.33796),(6 62.478092),(7 65.4343),(8 68.64078),(9 73.53351),(10 77.95399),(11 82.30235),(12 88.01404),(13 92.330696),(14 95.86084),(15 98.50906),(16 100.33859),(17 101.7402),(18 102.83509),(19 103.75129),(20 108.415924),(21 111.88523),(22 115.51591),(23 120.2486),(24 123.82062),(25 127.13262),(26 130.05038),(27 132.81778),(28 135.52422),(29 136.94214),(30 139.16266),(31 141.20718),(32 143.69183),(33 147.2681),(34 149.58638),(35 151.8379),(36 154.85202),(37 154.85175),(38 155.04031),(39 154.21626),(40 153.60768),(41 153.67133),(42 152.90431),(43 153.17477),(44 154.77165),(45 156.35849),(46 157.82419),(47 157.99031),(48 158.89265),(49 159.49307),(50 158.88861),(51 158.60803),(52 156.96465),(53 158.48819),(54 161.2743),(55 164.44928),(56 165.96034),(57 164.91805),(58 162.45752),(59 160.77333),(60 159.34393),(61 159.56131),(62 159.48566),(63 160.73024),(64 160.90327),(65 159.45027),(66 158.46828),(67 158.95613),(68 155.37837),(69 154.09572),(70 153.35652),(71 153.40337),(72 154.71597),(73 155.10898),(74 154.67863),(75 154.97104),(76 155.69379),(77 154.28531),(78 154.2417),(79 153.93233),
(1 16.058805),(2 31.210333),(3 46.71856),(4 58.085133),(5 64.438095),(6 68.30815),(7 71.083954),(8 74.26847),(9 77.748436),(10 81.61329),(11 85.475426),(12 90.348305),(13 94.54547),(14 97.92798),(15 101.79837),(16 105.393364),(17 107.28243),(18 108.41152),(19 110.13474),(20 111.82707),(21 115.01588),(22 117.85946),(23 121.52289),(24 125.49674),(25 126.49786),(26 128.14053),(27 129.12604),(28 129.88063),(29 130.50232),(30 131.39607),(31 132.68007),(32 134.34474),(33 136.6338),(34 137.99234),(35 137.67068),(36 139.10335),(37 138.96626),(38 138.73012),(39 137.51471),(40 136.80731),(41 138.7552),(42 139.73375),(43 140.61461),(44 143.09657),(45 145.08873),(46 147.05508),(47 147.28052),(48 147.80856),(49 147.54611),(50 146.31718),(51 144.96262),(52 143.9424),(53 145.31573),(54 146.65111),(55 148.36012),(56 147.79265),(57 146.34242),(58 144.85428),(59 143.74936),(60 143.64493),(61 144.82399),(62 144.07341),(63 144.32845),(64 143.95506),(65 145.36217),(66 146.44725),(67 148.88074),(68 147.74419),(69 147.34668),(70 147.017),(71 147.6831),(72 148.13603),(73 148.6306),(74 148.7762),(75 148.26599),(76 148.73047),(77 148.2304),(78 148.02158),(79 147.71944),
(1 11.964423),(2 22.842144),(3 33.601933),(4 42.266293),(5 47.805004),(6 51.56182),(7 55.396725),(8 57.748295),(9 59.958675),(10 62.839657),(11 66.58742),(12 70.69937),(13 74.048325),(14 76.818535),(15 79.40628),(16 80.7002),(17 81.372635),(18 82.69675),(19 85.3641),(20 87.35855),(21 90.21896),(22 92.29524),(23 93.71057),(24 95.53799),(25 96.4135),(26 97.89639),(27 99.12541),(28 98.516884),(29 97.57373),(30 96.028305),(31 93.64404),(32 93.11451),(33 93.29551),(34 93.01343),(35 91.81178),(36 91.841064),(37 92.29284),(38 92.66661),(39 92.71298),(40 92.644485),(41 92.34514),(42 92.20999),(43 92.120514),(44 92.87845),(45 93.7653),(46 94.924324),(47 95.55284),(48 96.06443),(49 95.323715),(50 94.946014),(51 95.28374),(52 96.05251),(53 97.664474),(54 99.042336),(55 100.07571),(56 101.34874),(57 102.00711),(58 102.071526),(59 101.075935),(60 101.15783),(61 102.370125),(62 102.58136),(63 103.509384),(64 104.07174),(65 104.07194),(66 104.45994),(67 104.39721),(68 102.40854),(69 101.49297),(70 100.918564),(71 101.35748),(72 100.9299),(73 100.92151),(74 100.64706),(75 100.85353),(76 100.64649),(77 99.997215),(78 99.86684),(79 99.413086),
(1 12.868073),(2 24.656261),(3 35.328003),(4 43.927288),(5 49.301365),(6 53.536236),(7 57.440723),(8 60.99648),(9 64.08441),(10 66.53668),(11 70.02004),(12 73.48383),(13 77.200035),(14 80.21805),(15 82.56647),(16 83.977165),(17 83.94066),(18 84.17381),(19 84.90212),(20 87.15929),(21 88.34379),(22 90.29618),(23 93.03288),(24 94.85415),(25 95.74364),(26 97.11581),(27 99.54301),(28 101.596),(29 103.43034),(30 104.53809),(31 105.35273),(32 104.88516),(33 105.27712),(34 105.64816),(35 105.75236),(36 105.97654),(37 107.19531),(38 108.57943),(39 109.360435),(40 109.17376),(41 108.66771),(42 108.144875),(43 107.7048),(44 109.082924),(45 109.24265),(46 109.30222),(47 108.48547),(48 107.253204),(49 107.03848),(50 106.261),(51 106.41757),(52 106.077805),(53 105.220436),(54 105.40675),(55 105.729904),(56 106.04639),(57 105.93404),(58 105.601036),(59 105.16364),(60 104.58451),(61 104.84241),(62 104.319016),(63 104.42432),(64 104.36895),(65 104.90709),(66 105.3523),(67 105.919716),(68 104.81389),(69 104.51185),(70 104.141594),(71 104.03944),(72 105.00928),(73 105.74783),(74 106.53053),(75 107.22364),(76 107.07613),(77 108.0301),(78 108.91005),(79 109.442604),
(1 12.9822445),(2 24.293518),(3 35.08639),(4 42.844143),(5 47.348827),(6 50.744953),(7 53.60329),(8 55.940693),(9 58.272038),(10 60.6833),(11 63.26003),(12 66.3778),(13 68.88887),(14 71.18935),(15 73.7567),(16 75.847855),(17 77.74875),(18 79.72425),(19 81.050125),(20 83.71358),(21 85.09919),(22 86.77119),(23 88.54783),(24 89.41662),(25 90.8999),(26 92.23429),(27 93.349945),(28 92.93946),(29 92.74009),(30 92.566864),(31 91.64207),(32 92.26979),(33 93.21312),(34 93.94767),(35 94.133835),(36 93.61571),(37 94.3287),(38 94.80688),(39 95.08863),(40 96.04342),(41 96.115135),(42 95.612404),(43 95.67361),(44 95.040535),(45 96.14655),(46 96.45724),(47 96.43059),(48 96.75675),(49 98.21142),(50 99.5463),(51 100.53143),(52 101.12317),(53 101.11993),(54 101.35516),(55 101.46695),(56 101.30475),(57 101.566666),(58 101.661354),(59 101.81979),(60 103.10835),(61 103.33747),(62 103.07115),(63 103.29745),(64 102.567825),(65 101.69825),(66 100.53655),(67 99.635254),(68 99.41094),(69 98.950874),(70 98.783615),(71 99.07606),(72 99.476585),(73 99.54114),(74 99.7071),(75 100.05538),(76 100.04881),(77 99.59859),(78 99.299225),(79 99.43372),
(1 11.877326),(2 22.395077),(3 32.31465),(4 39.534855),(5 43.485992),(6 46.41692),(7 49.083633),(8 52.191376),(9 54.796944),(10 57.868256),(11 61.3371),(12 64.19387),(13 66.92004),(14 69.05299),(15 70.92089),(16 73.67363),(17 75.8291),(18 78.14491),(19 79.55419),(20 81.62505),(21 83.707596),(22 84.85216),(23 86.37445),(24 87.68868),(25 88.99908),(26 90.10074),(27 90.745674),(28 91.37426),(29 91.45592),(30 91.65534),(31 90.87813),(32 90.340355),(33 90.71342),(34 90.54778),(35 91.04417),(36 91.3618),(37 91.82758),(38 92.59361),(39 93.3647),(40 94.27544),(41 94.59115),(42 94.55467),(43 94.73971),(44 94.87747),(45 95.41583),(46 96.198456),(47 97.084175),(48 97.22149),(49 97.94747),(50 97.71685),(51 97.32776),(52 97.35455),(53 97.33444),(54 97.67768),(55 97.909294),(56 97.78115),(57 98.0553),(58 98.39339),(59 97.9388),(60 97.532166),(61 96.80771),(62 96.53867),(63 96.37701),(64 96.055725),(65 96.31544),(66 96.11284),(67 95.72791),(68 96.54187),(69 96.08052),(70 95.53564),(71 94.789444),(72 94.42024),(73 94.42955),(74 95.02326),(75 95.86379),(76 95.414246),(77 95.44544),(78 95.50957),(79 95.9327),
(1 10.97411),(2 20.454515),(3 29.459227),(4 36.047512),(5 39.999554),(6 43.18614),(7 46.59115),(8 49.56271),(9 51.590546),(10 53.473885),(11 55.876957),(12 58.430542),(13 61.08091),(14 62.973083),(15 65.07588),(16 67.28116),(17 67.911285),(18 69.027534),(19 70.25082),(20 71.58735),(21 73.653046),(22 75.28018),(23 76.44948),(24 77.23114),(25 77.33378),(26 77.58773),(27 77.82588),(28 78.075485),(29 78.52864),(30 78.77197),(31 78.38768),(32 79.02277),(33 79.584114),(34 80.12413),(35 80.711205),(36 81.02429),(37 81.52501),(38 82.06779),(39 82.40981),(40 82.87021),(41 82.78689),(42 82.75531),(43 82.055984),(44 81.9568),(45 82.60647),(46 82.73366),(47 82.66508),(48 83.123375),(49 84.56063),(50 85.205414),(51 85.4328),(52 85.765656),(53 86.1774),(54 87.0679),(55 87.57103),(56 87.27318),(57 87.32718),(58 87.6077),(59 87.86671),(60 88.679634),(61 88.23945),(62 88.05396),(63 88.13499),(64 88.61941),(65 88.36952),(66 87.82161),(67 87.211266),(68 87.67293),(69 87.54626),(70 87.20636),(71 87.171814),(72 87.02927),(73 86.81787),(74 86.718475),(75 87.02235),(76 86.79671),(77 86.1429),(78 85.89838),(79 85.348526),
(1 9.120928),(2 17.24371),(3 24.651485),(4 30.380539),(5 33.996075),(6 36.44147),(7 39.17484),(8 41.767067),(9 43.599277),(10 45.61106),(11 47.75651),(12 49.499554),(13 50.750927),(14 52.08543),(15 53.526043),(16 55.34045),(17 56.040203),(18 57.00946),(19 57.5927),(20 58.351494),(21 59.214703),(22 59.706554),(23 60.04139),(24 60.809975),(25 61.577415),(26 62.200977),(27 62.667522),(28 63.220737),(29 63.338356),(30 63.383972),(31 63.49267),(32 63.505314),(33 63.578186),(34 63.55391),(35 64.08726),(36 64.12554),(37 64.28205),(38 64.45525),(39 64.57534),(40 63.570545),(41 63.01938),(42 62.825054),(43 62.7046),(44 62.537567),(45 63.088303),(46 63.23461),(47 63.372265),(48 64.08396),(49 64.55544),(50 64.77358),(51 64.489655),(52 64.64776),(53 64.93551),(54 65.22539),(55 65.09991),(56 65.26499),(57 65.74373),(58 66.08867),(59 65.91016),(60 66.2209),(61 65.70175),(62 65.40581),(63 65.4762),(64 65.33357),(65 64.913765),(66 64.40585),(67 64.11885),(68 64.06326),(69 63.776646),(70 63.556324),(71 63.557667),(72 63.879562),(73 64.3419),(74 64.53732),(75 64.88266),(76 65.55799),(77 66.3017),(78 66.831856),(79 67.01612),
