1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 55.34547),(2 55.346443),(3 113.7901),(4 168.88277),(5 202.53287),(6 202.55612),(7 233.46857),(8 181.39609),(9 217.26045),(10 217.25885),(11 232.4673),(12 244.13135),(13 241.82803),(14 241.88),(15 253.06584),(16 295.3378),(17 316.98016),(18 316.9028),(19 327.72678),(20 322.9975),(21 331.31973),(22 331.37906),(23 363.3751),(24 346.52103),(25 367.38022),(26 367.42993),(27 388.87683),(28 414.82788),(29 407.30466),(30 407.3195),(31 409.29584),(32 452.84915),(33 453.60095),(34 453.6052),(35 470.72034),(36 480.70093),(37 488.56284),(38 488.576),(39 504.94516),(40 490.15997),(41 501.18222),(42 501.06888),(43 505.30676),(44 505.2496),(45 505.2204),
(1 20.140308),(2 20.126787),(3 43.82579),(4 94.994804),(5 121.60182),(6 121.55997),(7 130.19557),(8 126.38572),(9 147.63155),(10 147.6394),(11 160.05588),(12 170.94165),(13 163.73741),(14 163.754),(15 170.52458),(16 207.99368),(17 226.6731),(18 226.67844),(19 239.29369),(20 247.43501),(21 257.44305),(22 257.4749),(23 262.96176),(24 280.1506),(25 264.50095),(26 264.48483),(27 270.03406),(28 261.82913),(29 282.20255),(30 282.22086),(31 281.94986),(32 285.7765),(33 274.4312),(34 274.40567),(35 278.6068),(36 281.22775),(37 277.6114),(38 277.64578),(39 290.0806),(40 292.81744),(41 288.88577),(42 288.84845),(43 282.82745),(44 282.93198),(45 282.92328),
(1 11.556425),(2 11.547302),(3 25.370182),(4 54.48183),(5 64.8797),(6 64.923645),(7 73.52816),(8 77.13926),(9 89.969376),(10 90.01792),(11 96.70652),(12 109.191315),(13 107.378784),(14 107.3989),(15 110.01106),(16 116.96109),(17 119.943405),(18 119.96444),(19 125.92658),(20 123.03098),(21 136.44058),(22 136.47643),(23 145.09125),(24 150.79993),(25 146.78703),(26 146.8132),(27 143.99167),(28 143.94379),(29 154.3816),(30 154.343),(31 158.27626),(32 156.06905),(33 159.31706),(34 159.37749),(35 161.22461),(36 163.19081),(37 158.81296),(38 158.79976),(39 158.24245),(40 161.01527),(41 154.62921),(42 154.6557),(43 155.80917),(44 155.85791),(45 155.88187),
(1 9.70058),(2 9.693558),(3 23.886072),(4 45.174362),(5 51.543316),(6 51.5875),(7 58.543205),(8 69.06434),(9 69.889755),(10 69.90396),(11 76.3239),(12 85.58738),(13 90.00126),(14 89.99446),(15 93.89698),(16 96.99551),(17 98.56728),(18 98.6299),(19 101.49991),(20 105.4724),(21 108.28132),(22 108.25165),(23 109.49557),(24 112.1411),(25 109.241646),(26 109.24937),(27 113.8246),(28 108.296265),(29 113.320076),(30 113.32064),(31 116.40772),(32 124.257225),(33 126.72228),(34 126.737885),(35 121.65884),(36 121.37307),(37 122.829475),(38 122.79452),(39 120.80454),(40 123.13098),(41 127.33555),(42 127.304085),(43 127.145935),(44 127.15864),(45 127.1666),
(1 7.46759),(2 7.4663267),(3 17.702147),(4 33.172577),(5 40.845367),(6 40.878036),(7 43.44624),(8 48.594234),(9 50.866936),(10 50.89198),(11 55.28294),(12 63.145885),(13 65.29361),(14 65.2577),(15 69.23127),(16 70.79938),(17 73.34704),(18 73.35477),(19 76.47162),(20 74.39447),(21 77.3503),(22 77.322586),(23 78.232864),(24 86.60456),(25 84.97671),(26 85.0042),(27 88.040634),(28 87.456116),(29 83.87019),(30 83.86013),(31 85.626015),(32 90.72784),(33 90.389175),(34 90.36691),(35 91.69024),(36 91.273575),(37 88.48202),(38 88.47187),(39 92.44499),(40 96.17697),(41 103.19531),(42 103.15512),(43 100.77564),(44 100.82204),(45 100.80692),
(1 5.078654),(2 5.075507),(3 10.595106),(4 18.6502),(5 23.740623),(6 23.758234),(7 25.305618),(8 26.64605),(9 28.286572),(10 28.309963),(11 30.880054),(12 36.568005),(13 37.372814),(14 37.350925),(15 39.475384),(16 41.439323),(17 41.772697),(18 41.75075),(19 45.565796),(20 44.883224),(21 44.71495),(22 44.714478),(23 45.365574),(24 47.08292),(25 46.988026),(26 46.967197),(27 47.938614),(28 46.78975),(29 46.078148),(30 46.064373),(31 47.12885),(32 49.55277),(33 48.690926),(34 48.710804),(35 48.205853),(36 52.219307),(37 48.639427),(38 48.6571),(39 49.85177),(40 51.355213),(41 50.11462),(42 50.09099),(43 50.061726),(44 50.079914),(45 50.07416),
(1 4.503121),(2 4.4995155),(3 10.569476),(4 17.426905),(5 20.467636),(6 20.484882),(7 21.775955),(8 23.068071),(9 24.746145),(10 24.772833),(11 27.024832),(12 30.900753),(13 32.44681),(14 32.47284),(15 32.531517),(16 33.917473),(17 36.10624),(18 36.101715),(19 38.559498),(20 35.927444),(21 36.845245),(22 36.843994),(23 37.548187),(24 38.26856),(25 38.52678),(26 38.516407),(27 38.846485),(28 39.46439),(29 40.287304),(30 40.300343),(31 41.443146),(32 42.65871),(33 41.872643),(34 41.848194),(35 43.17289),(36 42.61012),(37 41.16712),(38 41.17637),(39 42.093384),(40 42.770096),(41 41.506874),(42 41.538593),(43 41.82295),(44 41.825974),(45 41.82494),
(1 3.8309581),(2 3.8334208),(3 8.394211),(4 14.520796),(5 16.105692),(6 16.09687),(7 16.769419),(8 19.009434),(9 19.498257),(10 19.499176),(11 21.148422),(12 23.425068),(13 24.110086),(14 24.117258),(15 24.931526),(16 26.78173),(17 27.434),(18 27.438856),(19 29.147806),(20 28.75782),(21 28.989363),(22 28.99973),(23 29.64335),(24 31.41534),(25 31.373697),(26 31.36628),(27 31.005064),(28 30.83283),(29 30.98064),(30 30.982595),(31 30.944649),(32 33.19084),(33 32.84341),(34 32.865486),(35 33.192467),(36 34.266914),(37 33.732677),(38 33.742756),(39 33.61857),(40 33.923172),(41 32.924057),(42 32.93929),(43 32.46609),(44 32.4762),(45 32.480824),
(1 3.6106687),(2 3.6121247),(3 7.2191086),(4 11.053324),(5 11.698382),(6 11.704998),(7 12.499932),(8 14.466176),(9 14.972308),(10 14.977256),(11 16.361795),(12 17.85488),(13 18.589952),(14 18.615372),(15 19.503729),(16 20.3775),(17 20.111929),(18 20.107592),(19 22.023819),(20 22.441246),(21 22.781147),(22 22.770712),(23 22.690813),(24 23.062683),(25 22.29243),(26 22.291801),(27 23.698977),(28 22.974056),(29 23.99442),(30 23.996872),(31 24.261011),(32 24.990545),(33 23.95755),(34 23.946014),(35 24.29391),(36 24.456396),(37 24.273104),(38 24.304588),(39 25.08169),(40 24.654892),(41 23.712627),(42 23.698895),(43 23.718771),(44 23.71657),(45 23.71436),
(1 3.0089736),(2 3.013194),(3 5.729079),(4 9.1815605),(5 9.174507),(6 9.1818495),(7 10.040919),(8 11.73191),(9 11.906435),(10 11.90785),(11 12.97907),(12 14.726602),(13 14.96292),(14 14.97601),(15 15.467781),(16 16.312508),(17 16.694653),(18 16.689034),(19 17.655796),(20 18.20563),(21 18.72305),(22 18.723423),(23 18.429623),(24 19.02829),(25 19.129662),(26 19.131466),(27 19.577513),(28 18.096964),(29 18.170193),(30 18.158497),(31 18.403439),(32 18.63298),(33 18.599005),(34 18.593754),(35 18.721317),(36 19.040464),(37 18.633787),(38 18.632923),(39 18.798752),(40 19.47831),(41 18.515095),(42 18.514242),(43 19.15387),(44 19.140858),(45 19.136967),
(1 2.2296114),(2 2.2300909),(3 4.5160975),(4 6.7422957),(5 7.328407),(6 7.334819),(7 8.4412),(8 8.62347),(9 8.697797),(10 8.700617),(11 9.930635),(12 10.97309),(13 11.048826),(14 11.046315),(15 11.681866),(16 12.61162),(17 12.314184),(18 12.313046),(19 13.057633),(20 13.9199295),(21 14.174781),(22 14.171822),(23 14.031877),(24 14.820053),(25 14.446679),(26 14.443939),(27 14.703248),(28 13.912644),(29 14.014503),(30 14.009626),(31 14.23835),(32 13.791461),(33 13.110847),(34 13.11126),(35 13.297418),(36 13.752929),(37 13.5355625),(38 13.528534),(39 14.051284),(40 14.564248),(41 13.664841),(42 13.664774),(43 13.60646),(44 13.608183),(45 13.609617),
