1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 18.363184),(2 18.357697),(3 50.55715),(4 67.095474),(5 73.2032),(6 73.21444),(7 81.0193),(8 72.17837),(9 85.83217),(10 85.83211),(11 90.44682),(12 94.75046),(13 94.04408),(14 94.0703),(15 96.31905),(16 106.92929),(17 112.0957),(18 112.08108),(19 120.858734),(20 125.06865),(21 127.96336),(22 127.94536),(23 132.60562),(24 133.33397),(25 139.539),(26 139.55597),(27 140.88284),(28 143.47993),(29 149.35815),(30 149.35063),(31 151.60338),(32 160.0388),(33 161.23553),(34 161.22339),(35 161.7018),(36 163.10425),(37 163.17102),(38 163.15268),(39 166.32597),(40 167.44646),(41 168.16599),(42 168.14108),(43 169.28888),(44 169.29732),(45 169.30118),
(1 9.338863),(2 9.331467),(3 19.288202),(4 31.289047),(5 39.616325),(6 39.629845),(7 42.212986),(8 44.341625),(9 50.295456),(10 50.300922),(11 51.846268),(12 57.399956),(13 56.842407),(14 56.845165),(15 60.208885),(16 67.699356),(17 72.90632),(18 72.91067),(19 75.30818),(20 78.59425),(21 80.95096),(22 80.95027),(23 85.36995),(24 87.258484),(25 84.160904),(26 84.17891),(27 86.241905),(28 86.74581),(29 88.39992),(30 88.400795),(31 87.738495),(32 95.17286),(33 92.40793),(34 92.40622),(35 94.24432),(36 95.58058),(37 95.64835),(38 95.648),(39 98.54187),(40 99.64003),(41 99.81297),(42 99.80743),(43 97.96811),(44 97.98225),(45 97.98509),
(1 3.6655512),(2 3.6639068),(3 8.032722),(4 13.729982),(5 16.016077),(6 16.026783),(7 17.31195),(8 19.157782),(9 20.200644),(10 20.206085),(11 21.82323),(12 25.043543),(13 25.47506),(14 25.474207),(15 26.807573),(16 28.696877),(17 29.77651),(18 29.778778),(19 31.206247),(20 31.125511),(21 31.710636),(22 31.71142),(23 32.924515),(24 35.083607),(25 35.01908),(26 35.00824),(27 36.131527),(28 34.71519),(29 35.229176),(30 35.229183),(31 36.06863),(32 38.295807),(33 38.408),(34 38.4163),(35 37.910767),(36 37.945267),(37 37.98045),(38 37.98417),(39 38.75474),(40 38.48226),(41 38.53327),(42 38.528427),(43 38.581245),(44 38.58211),(45 38.583496),
(1 2.5595493),(2 2.5582588),(3 5.3337917),(4 8.841947),(5 10.107445),(6 10.11484),(7 10.690666),(8 11.957488),(9 12.445338),(10 12.453939),(11 13.523695),(12 15.575491),(13 16.003813),(14 16.003864),(15 16.82018),(16 17.97192),(17 18.321646),(18 18.319616),(19 19.316135),(20 19.470015),(21 19.358934),(22 19.360079),(23 19.889145),(24 20.3399),(25 20.590536),(26 20.587713),(27 20.88764),(28 20.529758),(29 20.638035),(30 20.636429),(31 21.060709),(32 22.259659),(33 21.698324),(34 21.697205),(35 21.689882),(36 22.286192),(37 21.86282),(38 21.861517),(39 22.422749),(40 23.021011),(41 23.148111),(42 23.139826),(43 22.88494),(44 22.884172),(45 22.884224),
(1 1.9485781),(2 1.9484168),(3 3.9135394),(4 6.063299),(5 6.831093),(6 6.8309793),(7 7.226232),(8 8.051158),(9 8.380279),(10 8.384944),(11 9.352389),(12 10.616534),(13 10.653393),(14 10.656776),(15 10.85384),(16 11.766072),(17 12.141043),(18 12.141395),(19 12.801766),(20 12.786062),(21 12.6331625),(22 12.636063),(23 13.081591),(24 13.5272045),(25 13.532082),(26 13.52788),(27 13.7768),(28 13.355132),(29 13.502492),(30 13.500686),(31 13.619877),(32 14.314806),(33 13.825203),(34 13.821348),(35 13.922751),(36 14.212258),(37 13.997313),(38 14.000645),(39 14.326814),(40 14.715914),(41 14.219217),(42 14.222559),(43 14.270031),(44 14.268641),(45 14.268161),
(1 1.1866518),(2 1.1869105),(3 2.2140262),(4 3.1803114),(5 3.4691553),(6 3.472427),(7 3.8576627),(8 4.2032933),(9 4.427242),(10 4.4295464),(11 4.888292),(12 5.4029593),(13 5.3257427),(14 5.32718),(15 5.7548537),(16 6.121815),(17 6.208685),(18 6.210185),(19 6.6214814),(20 6.8678007),(21 6.862309),(22 6.8635197),(23 6.8064976),(24 6.996515),(25 6.9534755),(26 6.954049),(27 7.1332064),(28 6.8131013),(29 6.841867),(30 6.8408575),(31 6.8707232),(32 7.067651),(33 6.8517857),(34 6.8519983),(35 6.8509464),(36 7.1063695),(37 6.996888),(38 6.99437),(39 7.20442),(40 7.1674714),(41 6.947658),(42 6.945107),(43 7.1086717),(44 7.109632),(45 7.1090984),
(1 0.9701054),(2 0.97035474),(3 1.731308),(4 2.5381868),(5 2.8995767),(6 2.9004955),(7 3.2399304),(8 3.4382834),(9 3.6685708),(10 3.6711824),(11 4.189932),(12 4.2506332),(13 4.3014545),(14 4.3019767),(15 4.69735),(16 5.029294),(17 4.976452),(18 4.9763656),(19 5.1722183),(20 5.325051),(21 5.2257347),(22 5.225568),(23 5.235386),(24 5.4381895),(25 5.4333754),(26 5.433969),(27 5.4784045),(28 5.407366),(29 5.3844013),(30 5.3829746),(31 5.3765783),(32 5.3869953),(33 5.22324),(34 5.2246523),(35 5.2904606),(36 5.389786),(37 5.3808846),(38 5.3785596),(39 5.4765067),(40 5.577801),(41 5.4053288),(42 5.407741),(43 5.3862953),(44 5.3880816),(45 5.3877587),
(1 0.6996829),(2 0.7000037),(3 1.1526462),(4 1.7527912),(5 1.9940069),(6 1.9942801),(7 2.2019114),(8 2.4076657),(9 2.6231956),(10 2.6247444),(11 2.9499342),(12 2.8491504),(13 2.9709322),(14 2.9699667),(15 3.1978648),(16 3.500182),(17 3.519961),(18 3.5215797),(19 3.4910505),(20 3.7107549),(21 3.6285527),(22 3.6288445),(23 3.6471136),(24 3.6689487),(25 3.6666787),(26 3.6666682),(27 3.6439972),(28 3.647196),(29 3.6108513),(30 3.6107373),(31 3.6120195),(32 3.7303534),(33 3.6044064),(34 3.6051326),(35 3.6654327),(36 3.6899278),(37 3.60729),(38 3.607119),(39 3.7140977),(40 3.8505049),(41 3.7506754),(42 3.7515097),(43 3.7473977),(44 3.749264),(45 3.7488341),
(1 0.4974205),(2 0.49777904),(3 0.8198576),(4 1.2240025),(5 1.4209718),(6 1.4216816),(7 1.5683458),(8 1.7106763),(9 1.8374687),(10 1.8388516),(11 2.0307233),(12 2.0590415),(13 2.1138904),(14 2.114017),(15 2.2607622),(16 2.5470467),(17 2.5110884),(18 2.5115352),(19 2.5725946),(20 2.6241157),(21 2.5544136),(22 2.5541074),(23 2.5680146),(24 2.668578),(25 2.6353173),(26 2.6358757),(27 2.6533456),(28 2.633842),(29 2.6477451),(30 2.647395),(31 2.6094916),(32 2.7043083),(33 2.5876231),(34 2.587105),(35 2.6045055),(36 2.6322763),(37 2.5781753),(38 2.5785706),(39 2.639534),(40 2.732971),(41 2.6541255),(42 2.6551666),(43 2.6326964),(44 2.6322386),(45 2.6325383),
(1 0.36072728),(2 0.36119834),(3 0.5516147),(4 0.8973967),(5 1.0085497),(6 1.009475),(7 1.1220766),(8 1.2341644),(9 1.3245848),(10 1.3261535),(11 1.4302173),(12 1.518673),(13 1.5396223),(14 1.5394183),(15 1.634116),(16 1.8562042),(17 1.8235283),(18 1.8229506),(19 1.893477),(20 1.9300952),(21 1.8755817),(22 1.8757771),(23 1.9023244),(24 1.9593316),(25 1.9583893),(26 1.9586551),(27 1.965647),(28 1.9389826),(29 1.9331518),(30 1.9344015),(31 1.9414487),(32 1.9925339),(33 1.8976475),(34 1.8969811),(35 1.943543),(36 1.9303544),(37 1.8946694),(38 1.8947862),(39 1.9519231),(40 1.9982367),(41 1.9530836),(42 1.9541806),(43 1.9415648),(44 1.9438636),(45 1.9437559),
(1 0.26696458),(2 0.26723996),(3 0.4008758),(4 0.6316878),(5 0.7209218),(6 0.72146916),(7 0.7698865),(8 0.85275924),(9 0.8998476),(10 0.9008422),(11 0.96951085),(12 1.0313237),(13 1.0595284),(14 1.0601459),(15 1.1101494),(16 1.2380496),(17 1.2394449),(18 1.2403029),(19 1.2672883),(20 1.3069658),(21 1.2738401),(22 1.2738744),(23 1.3152688),(24 1.3680655),(25 1.3607403),(26 1.361453),(27 1.3786638),(28 1.3553089),(29 1.3411561),(30 1.3421062),(31 1.3393795),(32 1.3874748),(33 1.3445956),(34 1.3439376),(35 1.3408241),(36 1.3350899),(37 1.30976),(38 1.309821),(39 1.3534074),(40 1.3993623),(41 1.3538028),(42 1.3545004),(43 1.3734553),(44 1.37475),(45 1.375238),
