1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 0.0011053559),(2 37.7077),(3 95.11986),(4 104.59445),(5 104.62876),(6 118.8991),(7 119.57384),(8 138.79477),(9 138.85175),(10 170.83804),(11 169.16241),(12 210.6969),(13 210.6813),(14 226.4882),(15 236.41814),(16 252.15387),(17 252.20148),(18 276.49274),(19 280.67853),(20 303.14844),(21 303.17365),(22 307.548),(23 294.3715),(24 303.88547),(25 303.9103),(26 288.01514),(27 270.1625),(28 277.4984),(29 277.5215),(30 288.59927),(31 311.4589),(32 305.2151),(33 305.11172),(34 285.10117),(35 266.9434),(36 280.7126),(37 280.71198),(38 258.59897),(39 264.7932),(40 266.80066),(41 266.81247),(42 272.04462),(43 282.143),(44 264.48785),(45 264.4879),
(1 0.0013443717),(2 18.44217),(3 43.102898),(4 60.34969),(5 60.36793),(6 60.59224),(7 71.37738),(8 79.572754),(9 79.58798),(10 83.03007),(11 91.74245),(12 99.028496),(13 99.01623),(14 101.96216),(15 112.53173),(16 117.83385),(17 117.86977),(18 128.03438),(19 123.8522),(20 135.80998),(21 135.81732),(22 141.01988),(23 147.77577),(24 141.88011),(25 141.90698),(26 130.9184),(27 125.52158),(28 124.724525),(29 124.69414),(30 125.684555),(31 126.06485),(32 120.17551),(33 120.13619),(34 120.60518),(35 127.60786),(36 126.74436),(37 126.78256),(38 122.477356),(39 127.71585),(40 132.20941),(41 132.20496),(42 138.22469),(43 141.9482),(44 141.74294),(45 141.7666),
(1 0.0014373105),(2 8.126237),(3 24.240236),(4 28.265402),(5 28.286596),(6 33.38212),(7 39.126614),(8 41.35536),(9 41.378033),(10 43.23379),(11 45.06054),(12 50.06086),(13 50.07573),(14 53.909107),(15 57.942596),(16 57.883907),(17 57.916233),(18 61.878235),(19 62.515545),(20 65.52446),(21 65.55649),(22 68.81854),(23 72.89425),(24 71.6147),(25 71.61387),(26 67.59843),(27 66.29861),(28 63.09385),(29 63.078815),(30 63.49949),(31 63.7705),(32 64.296165),(33 64.32571),(34 61.962692),(35 63.24219),(36 64.517265),(37 64.49085),(38 63.000088),(39 67.67563),(40 69.003944),(41 68.98996),(42 70.64798),(43 72.13703),(44 73.110954),(45 73.10089),
(1 0.0016430457),(2 6.7859077),(3 18.030787),(4 21.558268),(5 21.572062),(6 25.148941),(7 28.37797),(8 29.346611),(9 29.364124),(10 30.890436),(11 33.14346),(12 35.564823),(13 35.570816),(14 37.31017),(15 39.60472),(16 40.140465),(17 40.168034),(18 41.0764),(19 41.008995),(20 43.50309),(21 43.519722),(22 46.859184),(23 49.687187),(24 47.723724),(25 47.72312),(26 47.082264),(27 46.312016),(28 45.102196),(29 45.101566),(30 44.551704),(31 44.027363),(32 44.847332),(33 44.846123),(34 42.82289),(35 43.85535),(36 42.66763),(37 42.674828),(38 42.106518),(39 45.70638),(40 47.741814),(41 47.7545),(42 48.28827),(43 51.089428),(44 51.454006),(45 51.44128),
(1 0.0017207422),(2 5.3143716),(3 13.84837),(4 17.1377),(5 17.153193),(6 20.04428),(7 21.612503),(8 22.00278),(9 22.034786),(10 22.572304),(11 24.176392),(12 25.163246),(13 25.164915),(14 26.229534),(15 27.453423),(16 27.455448),(17 27.46261),(18 28.621239),(19 29.494486),(20 30.826824),(21 30.825363),(22 32.050266),(23 34.271294),(24 33.0973),(25 33.1019),(26 32.487255),(27 32.668396),(28 31.341452),(29 31.325546),(30 31.296461),(31 31.126003),(32 30.228773),(33 30.242231),(34 29.684368),(35 29.883455),(36 29.228249),(37 29.237576),(38 29.508234),(39 31.02138),(40 31.650137),(41 31.667362),(42 32.568554),(43 35.860844),(44 36.30561),(45 36.303627),
(1 0.0013219917),(2 3.4219186),(3 9.159172),(4 11.350746),(5 11.354209),(6 12.811199),(7 13.610259),(8 14.099269),(9 14.095804),(10 14.22622),(11 15.577717),(12 15.949912),(13 15.957216),(14 16.960943),(15 17.594559),(16 17.848331),(17 17.866013),(18 18.692905),(19 19.204098),(20 19.888979),(21 19.891193),(22 20.102781),(23 21.996231),(24 21.665373),(25 21.675787),(26 20.210657),(27 19.818647),(28 19.155678),(29 19.163418),(30 18.72342),(31 18.719595),(32 18.339521),(33 18.348152),(34 17.956419),(35 18.105373),(36 17.898178),(37 17.901676),(38 17.946836),(39 18.974213),(40 18.871775),(41 18.869516),(42 19.281052),(43 20.898695),(44 21.501265),(45 21.50226),
(1 0.0015145092),(2 2.8379276),(3 7.6318035),(4 9.428463),(5 9.428911),(6 10.681209),(7 11.161831),(8 11.81094),(9 11.814589),(10 12.15233),(11 12.272547),(12 12.563146),(13 12.572121),(14 13.377286),(15 13.667009),(16 13.6540365),(17 13.655953),(18 14.078492),(19 15.087334),(20 15.271367),(21 15.262983),(22 15.408376),(23 17.250647),(24 17.02621),(25 17.0276),(26 16.52023),(27 16.218773),(28 15.41368),(29 15.4008875),(30 14.396431),(31 14.451951),(32 14.396191),(33 14.396084),(34 14.411318),(35 13.865841),(36 14.16243),(37 14.16771),(38 14.101958),(39 15.383666),(40 15.4777565),(41 15.473761),(42 15.728222),(43 16.925972),(44 16.64843),(45 16.647604),
(1 0.0014513565),(2 2.466373),(3 6.302174),(4 7.749945),(5 7.7545443),(6 8.570713),(7 8.98978),(8 9.739029),(9 9.744125),(10 10.054773),(11 9.925279),(12 9.922216),(13 9.923739),(14 10.205868),(15 10.789187),(16 10.612918),(17 10.605923),(18 11.208332),(19 11.495533),(20 11.630116),(21 11.629175),(22 12.013898),(23 13.159843),(24 13.043174),(25 13.045343),(26 12.741764),(27 12.297778),(28 11.86151),(29 11.858985),(30 10.878128),(31 10.955621),(32 10.849432),(33 10.85839),(34 10.558831),(35 10.571315),(36 11.070257),(37 11.068847),(38 11.042462),(39 11.775999),(40 11.795236),(41 11.799375),(42 11.939212),(43 12.472828),(44 12.326225),(45 12.326732),
(1 0.001472333),(2 2.4496787),(3 5.2011824),(4 6.646102),(5 6.6457124),(6 6.714442),(7 7.312582),(8 7.953153),(9 7.955962),(10 7.8733363),(11 7.711132),(12 8.00265),(13 8.000129),(14 8.409894),(15 8.535218),(16 8.447447),(17 8.443013),(18 8.790341),(19 9.059838),(20 8.885783),(21 8.885556),(22 9.450699),(23 10.231212),(24 10.242061),(25 10.249717),(26 9.993521),(27 9.486937),(28 9.190683),(29 9.184472),(30 8.561882),(31 8.433347),(32 8.367205),(33 8.369362),(34 8.159353),(35 8.369254),(36 8.4833975),(37 8.484434),(38 8.464714),(39 9.136659),(40 9.195016),(41 9.193945),(42 9.553824),(43 9.792897),(44 10.022903),(45 10.022632),
(1 0.001298348),(2 2.3915625),(3 4.1859183),(4 5.221931),(5 5.225613),(6 5.7252293),(7 6.195741),(8 6.0344048),(9 6.0407476),(10 6.33506),(11 6.134035),(12 6.5234275),(13 6.524125),(14 6.800415),(15 6.823458),(16 6.7565737),(17 6.7609925),(18 7.140421),(19 7.3165298),(20 7.0681143),(21 7.0684175),(22 7.248889),(23 7.914442),(24 7.965256),(25 7.963633),(26 7.7371),(27 7.4079475),(28 6.9938593),(29 6.9971976),(30 6.6132903),(31 6.705963),(32 6.65599),(33 6.659478),(34 6.5762777),(35 6.6198726),(36 6.73307),(37 6.73104),(38 6.746853),(39 7.236996),(40 7.231077),(41 7.2373433),(42 7.37535),(43 7.8372035),(44 7.870625),(45 7.8707066),
(1 0.0010243744),(2 2.124086),(3 3.593564),(4 4.051077),(5 4.0515676),(6 4.8724756),(7 4.4809546),(8 4.62942),(9 4.631044),(10 4.5379043),(11 4.8245163),(12 5.197906),(13 5.1940618),(14 5.4819784),(15 5.3935738),(16 5.2374754),(17 5.236055),(18 5.534696),(19 5.457773),(20 5.4082003),(21 5.405632),(22 5.482918),(23 6.0959277),(24 6.116204),(25 6.1190386),(26 5.915047),(27 5.574119),(28 5.2914248),(29 5.2908335),(30 5.0254035),(31 5.1604543),(32 4.997316),(33 4.998341),(34 4.977671),(35 5.091071),(36 5.129699),(37 5.130194),(38 5.161976),(39 5.470086),(40 5.7444644),(41 5.739784),(42 5.7994256),(43 6.2422414),(44 6.1674128),(45 6.1676226),
