1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.0011682897),(2 52.65706),(3 126.001854),(4 153.00114),(5 152.9944),(6 174.41823),(7 147.90175),(8 183.51395),(9 183.47206),(10 219.41464),(11 249.1943),(12 330.96582),(13 330.92978),(14 362.68536),(15 395.81458),(16 436.6468),(17 436.6679),(18 473.26346),(19 440.5033),(20 423.80322),(21 423.72382),(22 419.45218),(23 478.6281),(24 461.66458),(25 461.69247),(26 471.89145),(27 488.03558),(28 486.91147),(29 486.90698),(30 576.5916),(31 709.6056),(32 704.0531),(33 703.92426),(34 665.5956),(35 686.98083),(36 643.0642),(37 643.0239),(38 463.22305),(39 389.46188),(40 424.8777),(41 424.89902),(42 478.84485),(43 397.57785),(44 305.59335),(45 305.5922),
(1 0.0014922759),(2 42.37516),(3 111.10533),(4 121.078064),(5 121.098366),(6 133.64484),(7 125.64708),(8 137.78471),(9 137.86746),(10 175.0608),(11 168.49728),(12 194.41142),(13 194.40378),(14 207.13992),(15 234.07268),(16 235.26808),(17 235.30573),(18 242.17224),(19 236.89279),(20 274.01517),(21 274.04407),(22 293.35107),(23 274.45355),(24 294.47623),(25 294.50943),(26 286.61197),(27 267.17505),(28 275.51996),(29 275.58798),(30 297.99844),(31 295.371),(32 298.20145),(33 298.129),(34 274.02704),(35 279.52094),(36 297.48672),(37 297.46375),(38 278.67398),(39 273.45575),(40 274.0824),(41 274.10278),(42 268.62534),(43 268.80017),(44 255.91313),(45 255.91351),
(1 0.0014796439),(2 20.132734),(3 49.64637),(4 60.19578),(5 60.220062),(6 61.38003),(7 66.89383),(8 72.81055),(9 72.814644),(10 81.371124),(11 84.24782),(12 91.66645),(13 91.658),(14 90.42743),(15 104.39608),(16 107.34295),(17 107.380165),(18 109.94352),(19 110.19819),(20 122.26408),(21 122.30595),(22 130.46634),(23 128.11136),(24 132.59743),(25 132.62177),(26 127.68762),(27 121.69712),(28 124.19006),(29 124.10629),(30 130.31828),(31 127.00222),(32 129.10556),(33 129.06615),(34 122.456406),(35 121.824196),(36 119.49579),(37 119.49599),(38 118.9972),(39 119.374405),(40 124.8075),(41 124.80317),(42 129.09227),(43 133.36684),(44 132.28185),(45 132.28212),
(1 0.0018325046),(2 13.426052),(3 37.01653),(4 41.910564),(5 41.925037),(6 46.51735),(7 51.67168),(8 54.811394),(9 54.809074),(10 60.054695),(11 59.929127),(12 60.08833),(13 60.103386),(14 62.275124),(15 72.03737),(16 74.152885),(17 74.18073),(18 74.030594),(19 73.978485),(20 78.87283),(21 78.89934),(22 87.91447),(23 87.3548),(24 84.10496),(25 84.12096),(26 80.42375),(27 81.646904),(28 80.266556),(29 80.2686),(30 79.87531),(31 81.85961),(32 83.44763),(33 83.43405),(34 79.205826),(35 79.24782),(36 78.9533),(37 78.9608),(38 77.58905),(39 79.21593),(40 80.90821),(41 80.92676),(42 84.57037),(43 88.26015),(44 90.59935),(45 90.59385),
(1 0.0020339019),(2 10.5197),(3 26.12272),(4 32.30911),(5 32.325405),(6 36.42836),(7 40.116028),(8 42.839523),(9 42.86798),(10 44.69522),(11 43.820683),(12 43.51798),(13 43.533962),(14 45.505165),(15 51.665165),(16 50.757366),(17 50.77781),(18 51.87904),(19 54.396275),(20 57.920364),(21 57.934845),(22 61.887928),(23 64.6471),(24 62.642635),(25 62.657692),(26 60.481937),(27 62.049217),(28 61.08694),(29 61.0823),(30 59.41722),(31 58.704746),(32 59.367756),(33 59.382378),(34 57.733685),(35 57.24678),(36 58.031208),(37 58.020706),(38 59.162815),(39 60.621857),(40 62.519436),(41 62.52611),(42 64.80684),(43 67.99983),(44 68.57244),(45 68.5632),
(1 0.0015471404),(2 5.7475896),(3 16.162287),(4 18.992033),(5 18.99984),(6 21.840397),(7 24.252747),(8 25.27999),(9 25.289736),(10 26.941004),(11 27.563734),(12 26.683426),(13 26.6757),(14 27.404053),(15 30.495747),(16 29.931316),(17 29.94392),(18 29.748932),(19 30.830044),(20 32.35089),(21 32.362736),(22 35.781097),(23 35.97556),(24 35.14142),(25 35.139786),(26 34.8184),(27 35.186024),(28 34.764618),(29 34.759266),(30 34.44236),(31 33.156853),(32 33.905632),(33 33.908978),(34 32.610413),(35 32.98481),(36 32.868015),(37 32.876625),(38 33.390102),(39 34.626945),(40 35.220688),(41 35.239883),(42 36.75412),(43 37.678318),(44 38.65817),(45 38.651875),
(1 0.0018512494),(2 5.454822),(3 14.012363),(4 16.667486),(5 16.671152),(6 18.80063),(7 20.296652),(8 21.21145),(9 21.23768),(10 22.152233),(11 22.518436),(12 22.207186),(13 22.210587),(14 22.735613),(15 24.96426),(16 24.552612),(17 24.55797),(18 24.912973),(19 25.75755),(20 27.030748),(21 27.026018),(22 28.467148),(23 29.754345),(24 29.667826),(25 29.673265),(26 29.52835),(27 30.015255),(28 29.628855),(29 29.62799),(30 28.439642),(31 27.298708),(32 27.234905),(33 27.23935),(34 26.425133),(35 26.361954),(36 26.638287),(37 26.649757),(38 27.246698),(39 28.00061),(40 29.390572),(41 29.382612),(42 30.455437),(43 32.101208),(44 32.43513),(45 32.425987),
(1 0.0018170879),(2 4.4902277),(3 11.661458),(4 13.673437),(5 13.683644),(6 15.587114),(7 17.097408),(8 17.522526),(9 17.534554),(10 17.649054),(11 17.933014),(12 17.436975),(13 17.436932),(14 18.04498),(15 19.22384),(16 19.410074),(17 19.421577),(18 19.261263),(19 20.398094),(20 21.2741),(21 21.279764),(22 22.23867),(23 23.85931),(24 23.971046),(25 23.974464),(26 23.597212),(27 23.547821),(28 23.48048),(29 23.47236),(30 22.311167),(31 21.169943),(32 21.119879),(33 21.127035),(34 20.406612),(35 20.245234),(36 20.534977),(37 20.545269),(38 21.023333),(39 20.96278),(40 21.56713),(41 21.574503),(42 22.907053),(43 24.194992),(44 25.051472),(45 25.05788),
(1 0.0018071731),(2 3.8235044),(3 9.4557),(4 11.128881),(5 11.136651),(6 12.717016),(7 13.464047),(8 13.998948),(9 14.008347),(10 14.62632),(11 14.305253),(12 14.032238),(13 14.038579),(14 14.366103),(15 15.916326),(16 15.60135),(17 15.606983),(18 15.717498),(19 16.495447),(20 16.949268),(21 16.948214),(22 17.27727),(23 19.1363),(24 18.936928),(25 18.936556),(26 18.508575),(27 18.200518),(28 17.819319),(29 17.81323),(30 16.667765),(31 15.871014),(32 16.0989),(33 16.092875),(34 15.4525175),(35 15.506412),(36 15.972677),(37 15.975647),(38 16.232248),(39 16.740635),(40 16.713459),(41 16.713612),(42 17.467545),(43 18.21116),(44 18.236448),(45 18.234741),
(1 0.0016901642),(2 3.4873533),(3 8.161816),(4 9.447485),(5 9.446852),(6 10.514459),(7 11.186544),(8 11.871649),(9 11.881488),(10 11.804897),(11 11.256373),(12 10.940551),(13 10.943728),(14 11.352894),(15 12.104268),(16 12.198729),(17 12.197672),(18 12.067935),(19 12.750929),(20 13.28473),(21 13.285121),(22 13.663829),(23 14.5467615),(24 14.380509),(25 14.37961),(26 14.106484),(27 13.790517),(28 13.81759),(29 13.809987),(30 12.999062),(31 12.28025),(32 12.280604),(33 12.274297),(34 11.809053),(35 11.874486),(36 12.182164),(37 12.186109),(38 12.563559),(39 13.142581),(40 13.469781),(41 13.47126),(42 14.244095),(43 14.776209),(44 15.065604),(45 15.0634365),
(1 0.001455958),(2 2.758605),(3 6.1580453),(4 7.1423454),(5 7.146683),(6 7.974069),(7 8.281262),(8 8.511967),(9 8.519065),(10 8.746708),(11 8.434165),(12 8.253079),(13 8.254476),(14 8.645687),(15 9.113197),(16 9.012659),(17 9.014625),(18 8.99565),(19 9.333442),(20 9.459751),(21 9.459582),(22 9.894152),(23 10.620037),(24 10.589282),(25 10.589904),(26 10.358336),(27 10.092631),(28 9.963186),(29 9.965362),(30 9.265546),(31 9.103423),(32 9.199289),(33 9.196193),(34 9.033749),(35 8.859396),(36 9.0419445),(37 9.040841),(38 9.258862),(39 9.646523),(40 9.706184),(41 9.703711),(42 10.229625),(43 10.858143),(44 10.832855),(45 10.830119),
