1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 0.001872833),(2 109.37947),(3 367.46423),(4 412.6165),(5 412.50543),(6 448.06018),(7 342.23462),(8 427.54028),(9 427.2714),(10 569.47736),(11 540.79987),(12 761.77045),(13 761.635),(14 931.80426),(15 1157.2174),(16 1254.0796),(17 1254.092),(18 1319.5494),(19 1139.3062),(20 1045.6737),(21 1045.4336),(22 1049.8231),(23 1060.1646),(24 1046.4238),(25 1046.4082),(26 1066.932),(27 1210.5953),(28 1230.4681),(29 1230.5355),(30 1511.0715),(31 1969.6168),(32 2003.6444),(33 2003.2981),(34 1865.6107),(35 1823.0702),(36 1676.8073),(37 1676.8158),(38 1215.8585),(39 1045.711),(40 1153.9751),(41 1154.1377),(42 1260.8796),(43 934.27325),(44 682.7253),(45 682.6123),
(1 0.0022131947),(2 149.49185),(3 459.88257),(4 464.71738),(5 464.71707),(6 515.87756),(7 381.19077),(8 455.1134),(9 455.27756),(10 599.10077),(11 640.09766),(12 760.89557),(13 760.87366),(14 776.90894),(15 855.0421),(16 900.78546),(17 900.8501),(18 935.48737),(19 817.23267),(20 934.3198),(21 934.3268),(22 1001.1803),(23 1080.4486),(24 1026.7681),(25 1026.8783),(26 1006.172),(27 973.9493),(28 981.8863),(29 981.9775),(30 1091.4402),(31 1166.7922),(32 1160.3373),(33 1160.2019),(34 1039.2577),(35 1065.6692),(36 1191.8474),(37 1191.9277),(38 1021.81885),(39 899.4598),(40 913.9515),(41 913.9658),(42 894.9888),(43 886.38837),(44 785.4679),(45 785.4151),
(1 0.0020873616),(2 86.98074),(3 175.97801),(4 182.46619),(5 182.55884),(6 204.94844),(7 231.41437),(8 265.1908),(9 265.33704),(10 288.73462),(11 295.62347),(12 336.54587),(13 336.48694),(14 337.69315),(15 362.592),(16 369.907),(17 370.01166),(18 404.54446),(19 394.41644),(20 474.522),(21 474.5965),(22 546.5121),(23 477.89352),(24 521.82404),(25 521.97424),(26 511.54895),(27 463.52994),(28 459.86588),(29 459.938),(30 449.96057),(31 466.4116),(32 486.60526),(33 486.34796),(34 421.21152),(35 425.22058),(36 427.2845),(37 427.24652),(38 434.0757),(39 441.42407),(40 448.6393),(41 448.58078),(42 469.42993),(43 478.21976),(44 467.50702),(45 467.5328),
(1 0.002718117),(2 46.676075),(3 121.57272),(4 150.72026),(5 150.78955),(6 155.6298),(7 181.4217),(8 201.97298),(9 202.01038),(10 228.28296),(11 245.64024),(12 262.72803),(13 262.76312),(14 264.3643),(15 291.73495),(16 313.4702),(17 313.56918),(18 316.37753),(19 330.5035),(20 367.32675),(21 367.34152),(22 357.03647),(23 399.23303),(24 401.42282),(25 401.46155),(26 378.90167),(27 372.626),(28 375.52435),(29 375.44742),(30 372.93924),(31 363.27216),(32 373.23633),(33 372.9936),(34 353.4469),(35 359.01578),(36 362.7136),(37 362.7284),(38 349.07718),(39 368.3375),(40 372.2787),(41 372.3067),(42 384.20493),(43 397.1036),(44 392.815),(45 392.866),
(1 0.002987017),(2 39.40309),(3 95.01221),(4 122.060745),(5 122.09259),(6 122.9914),(7 146.79381),(8 162.81947),(9 162.8166),(10 173.97426),(11 203.74603),(12 198.65132),(13 198.66934),(14 210.12315),(15 227.66803),(16 240.2029),(17 240.28148),(18 247.0967),(19 247.18417),(20 261.75385),(21 261.75046),(22 274.7126),(23 287.75052),(24 292.87204),(25 292.86572),(26 274.2846),(27 270.80896),(28 263.61356),(29 263.57986),(30 258.2571),(31 239.11076),(32 240.82768),(33 240.6562),(34 236.3522),(35 258.00922),(36 258.12054),(37 258.13678),(38 243.91373),(39 265.79083),(40 273.3368),(41 273.2743),(42 285.38293),(43 294.9764),(44 298.94077),(45 298.95862),
(1 0.0026252186),(2 20.913015),(3 60.37052),(4 70.73412),(5 70.790985),(6 86.08371),(7 97.173676),(8 104.251396),(9 104.269005),(10 114.94775),(11 110.577644),(12 121.020905),(13 121.04358),(14 122.94239),(15 136.27342),(16 145.57307),(17 145.68161),(18 148.5202),(19 146.62103),(20 155.03403),(21 155.1158),(22 166.10548),(23 174.12009),(24 173.0292),(25 173.05011),(26 165.04263),(27 164.20781),(28 159.08087),(29 159.0441),(30 155.18098),(31 153.14194),(32 152.79422),(33 152.76888),(34 149.297),(35 151.0735),(36 147.60281),(37 147.60313),(38 148.59805),(39 160.24),(40 160.76334),(41 160.76367),(42 170.41441),(43 179.70107),(44 182.23247),(45 182.23859),
(1 0.0030146055),(2 18.490534),(3 53.90227),(4 64.90439),(5 64.936516),(6 70.44942),(7 83.58293),(8 93.33166),(9 93.3147),(10 100.02564),(11 105.54066),(12 101.64571),(13 101.63079),(14 105.55474),(15 109.390564),(16 116.75182),(17 116.73759),(18 120.81056),(19 126.34703),(20 133.56737),(21 133.61403),(22 147.92548),(23 144.95984),(24 143.04495),(25 143.05173),(26 137.91423),(27 133.67632),(28 129.81976),(29 129.76804),(30 134.49323),(31 129.49005),(32 130.5559),(33 130.6095),(34 132.38687),(35 131.36621),(36 137.29214),(37 137.24431),(38 136.6689),(39 147.53732),(40 150.95526),(41 150.95702),(42 158.29495),(43 160.60721),(44 165.22552),(45 165.25665),
(1 0.0032081965),(2 15.785338),(3 42.99883),(4 54.03842),(5 54.076538),(6 61.835014),(7 75.39971),(8 80.471085),(9 80.51603),(10 81.851875),(11 84.381096),(12 86.15164),(13 86.18299),(14 91.010315),(15 101.08092),(16 101.4401),(17 101.542046),(18 102.679535),(19 111.77771),(20 117.938614),(21 117.99566),(22 124.31289),(23 128.63026),(24 126.73967),(25 126.772644),(26 123.79254),(27 124.997604),(28 124.50715),(29 124.42361),(30 115.90088),(31 112.18766),(32 111.29979),(33 111.28886),(34 107.84963),(35 109.725235),(36 116.208435),(37 116.20521),(38 114.997765),(39 126.97999),(40 126.5041),(41 126.51203),(42 130.1723),(43 130.0628),(44 131.20422),(45 131.17363),
(1 0.00350217),(2 15.162077),(3 36.49091),(4 45.065773),(5 45.087658),(6 52.952087),(7 61.415592),(8 64.715645),(9 64.72433),(10 68.136),(11 70.57406),(12 71.68212),(13 71.72613),(14 72.46708),(15 77.71491),(16 77.91754),(17 77.91461),(18 79.833824),(19 83.01494),(20 85.583084),(21 85.59244),(22 93.82847),(23 94.72823),(24 91.89422),(25 91.91951),(26 90.03282),(27 94.203094),(28 91.89876),(29 91.965775),(30 87.67535),(31 87.21336),(32 90.58823),(33 90.578285),(34 89.70616),(35 89.44262),(36 92.625534),(37 92.59449),(38 94.82173),(39 100.101295),(40 103.323875),(41 103.32636),(42 104.27832),(43 105.58895),(44 105.381584),(45 105.38253),
(1 0.0033167712),(2 12.048652),(3 30.928633),(4 37.930122),(5 37.93384),(6 44.847767),(7 50.417023),(8 52.725304),(9 52.78443),(10 55.51753),(11 58.219517),(12 59.323994),(13 59.32819),(14 59.419487),(15 63.002853),(16 64.57087),(17 64.61274),(18 66.51692),(19 69.18244),(20 72.876686),(21 72.89978),(22 78.48043),(23 84.940186),(24 83.96255),(25 83.99921),(26 81.5279),(27 80.79268),(28 79.80245),(29 79.75585),(30 74.67723),(31 74.29017),(32 74.259636),(33 74.29639),(34 74.51645),(35 73.91305),(36 75.783714),(37 75.7842),(38 76.56938),(39 84.25692),(40 85.975075),(41 85.96583),(42 87.390755),(43 89.82738),(44 90.896935),(45 90.86585),
(1 0.002881967),(2 9.406242),(3 23.966373),(4 30.36719),(5 30.385044),(6 34.32259),(7 36.85588),(8 37.765076),(9 37.808372),(10 40.374573),(11 42.705753),(12 43.741753),(13 43.747185),(14 46.704727),(15 48.962887),(16 48.43955),(17 48.46244),(18 48.928627),(19 51.2816),(20 52.795586),(21 52.777348),(22 55.65675),(23 59.469643),(24 58.843918),(25 58.84887),(26 60.502064),(27 60.494564),(28 59.190037),(29 59.1978),(30 56.878525),(31 52.90928),(32 54.047066),(33 53.97674),(34 52.111534),(35 51.686317),(36 55.332542),(37 55.36274),(38 56.20306),(39 57.407814),(40 59.834503),(41 59.834255),(42 61.465836),(43 64.13461),(44 65.56846),(45 65.563995),
