1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 11.650603),(2 40.846695),(3 55.161514),(4 55.147945),(5 69.67564),(6 82.5921),(7 84.516884),(8 84.51928),(9 88.49983),(10 101.72288),(11 102.66124),(12 102.64128),(13 99.05787),(14 97.27144),(15 100.55507),(16 100.62123),(17 99.97614),(18 100.450096),(19 102.966286),(20 102.98561),(21 106.354256),(22 103.71972),(23 104.38764),(24 104.44982),(25 104.37889),(26 109.062546),(27 118.46102),(28 118.47838),(29 120.757866),(30 117.51156),(31 120.90074),(32 120.86436),(33 125.73774),(34 129.62706),(35 131.57695),(36 131.59373),(37 126.160614),(38 123.23074),(39 125.544716),(40 125.51864),(41 123.29208),(42 132.32817),(43 131.32889),(44 131.33778),(45 132.3382),(46 142.37112),(47 139.27534),(48 139.27325),(49 137.25017),(50 137.23463),
(1 13.913942),(2 39.58044),(3 50.1726),(4 50.190502),(5 58.46864),(6 68.61503),(7 67.077415),(8 67.088875),(9 68.24331),(10 72.03634),(11 76.21507),(12 76.25399),(13 77.06501),(14 82.4311),(15 85.28248),(16 85.31101),(17 83.94268),(18 83.16762),(19 85.88045),(20 85.925735),(21 85.63193),(22 90.02061),(23 90.39164),(24 90.42119),(25 92.09227),(26 92.13145),(27 92.397156),(28 92.40521),(29 91.65791),(30 95.22549),(31 95.86314),(32 95.88359),(33 97.60307),(34 101.38242),(35 98.643776),(36 98.66116),(37 99.34885),(38 102.14688),(39 100.650795),(40 100.68091),(41 105.59777),(42 103.03208),(43 98.65981),(44 98.67671),(45 93.990776),(46 100.82419),(47 97.99752),(48 98.021965),(49 100.19402),(50 100.163445),
(1 10.285318),(2 27.617804),(3 33.55175),(4 33.554802),(5 37.927544),(6 43.673424),(7 44.8013),(8 44.814617),(9 44.86763),(10 45.002308),(11 46.013176),(12 46.02482),(13 46.27561),(14 48.848396),(15 49.938084),(16 49.960407),(17 52.397327),(18 51.667645),(19 50.869),(20 50.8924),(21 50.435947),(22 53.86405),(23 55.883137),(24 55.923637),(25 56.02741),(26 58.484207),(27 58.92729),(28 58.93054),(29 59.589058),(30 61.62936),(31 59.976692),(32 59.931458),(33 60.168888),(34 63.440235),(35 61.15163),(36 61.156384),(37 61.45522),(38 64.31015),(39 63.693848),(40 63.723957),(41 61.15536),(42 59.088703),(43 58.08336),(44 58.0923),(45 59.034042),(46 58.600857),(47 59.859123),(48 59.90554),(49 60.615837),(50 60.61972),
(1 8.578433),(2 23.654825),(3 27.614748),(4 27.611317),(5 31.366951),(6 33.998833),(7 34.65954),(8 34.67819),(9 33.620712),(10 36.272392),(11 38.0754),(12 38.091904),(13 38.563564),(14 40.101257),(15 41.89303),(16 41.912),(17 42.300495),(18 43.08583),(19 43.052788),(20 43.076347),(21 42.00577),(22 45.187267),(23 45.704784),(24 45.708973),(25 45.45486),(26 46.270546),(27 46.53321),(28 46.543873),(29 46.650158),(30 47.47145),(31 46.778423),(32 46.761787),(33 45.653996),(34 46.20982),(35 47.162422),(36 47.14342),(37 46.56794),(38 47.402714),(39 48.905144),(40 48.929943),(41 47.121555),(42 47.169594),(43 47.785625),(44 47.767242),(45 46.329136),(46 45.637344),(47 46.126846),(48 46.126156),(49 47.34143),(50 47.34464),
(1 7.742111),(2 19.63956),(3 23.359089),(4 23.361061),(5 25.428396),(6 26.634602),(7 27.64802),(8 27.675814),(9 28.791002),(10 29.99984),(11 31.41825),(12 31.444881),(13 31.412899),(14 32.09586),(15 33.96993),(16 33.96204),(17 34.600708),(18 35.60427),(19 35.7623),(20 35.776016),(21 34.675358),(22 35.020664),(23 35.720543),(24 35.717644),(25 36.02671),(26 36.46384),(27 37.573624),(28 37.575443),(29 37.30448),(30 37.409725),(31 37.777386),(32 37.792152),(33 37.50815),(34 37.5114),(35 38.65308),(36 38.6526),(37 39.639847),(38 41.23232),(39 41.495663),(40 41.502346),(41 39.155365),(42 38.749416),(43 39.8069),(44 39.800545),(45 39.224483),(46 38.830986),(47 39.17412),(48 39.18286),(49 38.18446),(50 38.184837),
(1 4.909498),(2 12.016732),(3 14.749543),(4 14.757205),(5 14.814889),(6 15.817096),(7 16.792322),(8 16.796675),(9 18.156052),(10 18.373568),(11 18.761604),(12 18.77936),(13 18.701551),(14 19.999472),(15 20.668436),(16 20.67114),(17 19.959484),(18 20.86515),(19 21.923254),(20 21.94035),(21 21.121212),(22 21.006592),(23 21.276062),(24 21.27611),(25 20.824272),(26 22.120039),(27 22.721127),(28 22.71165),(29 22.625256),(30 22.582262),(31 23.112823),(32 23.120985),(33 22.450312),(34 21.960043),(35 22.606386),(36 22.591257),(37 22.712288),(38 23.555101),(39 24.702564),(40 24.695457),(41 24.054733),(42 23.883417),(43 24.805248),(44 24.794603),(45 23.725754),(46 23.656834),(47 23.603771),(48 23.584528),(49 23.292122),(50 23.308523),
(1 4.3846893),(2 10.05694),(3 12.031692),(4 12.035624),(5 13.0516615),(6 13.8081875),(7 14.242031),(8 14.25651),(9 14.528859),(10 15.734187),(11 15.861013),(12 15.863091),(13 16.007835),(14 17.261566),(15 18.151644),(16 18.152248),(17 17.94085),(18 17.815933),(19 18.67886),(20 18.694365),(21 18.260223),(22 18.98545),(23 19.412636),(24 19.421236),(25 19.273155),(26 19.378263),(27 19.880806),(28 19.885044),(29 19.895111),(30 19.417425),(31 19.885382),(32 19.879704),(33 19.728876),(34 20.325874),(35 21.029408),(36 21.026379),(37 21.115396),(38 21.394917),(39 21.400013),(40 21.403622),(41 20.819202),(42 20.10671),(43 20.472078),(44 20.462175),(45 20.620987),(46 20.574575),(47 20.71103),(48 20.7053),(49 20.485996),(50 20.481407),
(1 3.648859),(2 8.82652),(3 10.077364),(4 10.077852),(5 10.528899),(6 11.394767),(7 11.914915),(8 11.911829),(9 12.391169),(10 13.54607),(11 14.076784),(12 14.083165),(13 13.8977),(14 14.562227),(15 14.763023),(16 14.771217),(17 14.412386),(18 14.876432),(19 15.552532),(20 15.547454),(21 15.193839),(22 15.52611),(23 16.300259),(24 16.294441),(25 15.886504),(26 16.321495),(27 16.30334),(28 16.307217),(29 15.778917),(30 15.831059),(31 16.321516),(32 16.330395),(33 16.388597),(34 17.12365),(35 17.774332),(36 17.765413),(37 17.493101),(38 17.593884),(39 17.583233),(40 17.582117),(41 17.267365),(42 16.683352),(43 16.933388),(44 16.935236),(45 16.922636),(46 16.740154),(47 17.309265),(48 17.291658),(49 16.914705),(50 16.920929),
(1 2.9965198),(2 6.9573345),(3 8.14534),(4 8.150508),(5 8.4591255),(6 9.232227),(7 9.6854925),(8 9.686252),(9 10.095165),(10 10.970301),(11 11.476304),(12 11.481969),(13 11.159359),(14 11.627975),(15 12.004679),(16 12.004888),(17 11.721555),(18 11.918415),(19 12.617761),(20 12.627666),(21 12.61551),(22 12.817033),(23 13.405302),(24 13.403487),(25 13.164001),(26 13.573597),(27 13.770233),(28 13.770229),(29 13.162589),(30 13.063551),(31 13.368056),(32 13.368857),(33 13.165972),(34 13.593643),(35 13.748067),(36 13.735484),(37 13.250967),(38 13.852405),(39 14.406698),(40 14.409768),(41 13.814431),(42 13.804903),(43 14.419699),(44 14.420196),(45 14.347852),(46 14.291089),(47 14.603606),(48 14.59215),(49 14.223784),(50 14.229756),
(1 2.597113),(2 5.711372),(3 6.9022474),(4 6.9027014),(5 7.106288),(6 7.6745305),(7 8.408205),(8 8.415009),(9 8.859034),(10 9.1842785),(11 9.520727),(12 9.525494),(13 9.198473),(14 9.280482),(15 9.759231),(16 9.754606),(17 9.791374),(18 9.905049),(19 10.294979),(20 10.301575),(21 10.150261),(22 10.334605),(23 10.797865),(24 10.798902),(25 10.5341625),(26 10.64818),(27 11.120781),(28 11.110796),(29 11.057427),(30 10.677458),(31 11.187982),(32 11.175074),(33 11.03288),(34 11.016639),(35 11.365521),(36 11.355988),(37 11.050053),(38 11.284351),(39 11.650903),(40 11.655566),(41 11.052591),(42 11.041974),(43 11.54843),(44 11.540017),(45 11.3278),(46 11.469409),(47 11.643025),(48 11.6311655),(49 11.302403),(50 11.2968855),
(1 1.9284632),(2 4.2814116),(3 5.1998315),(4 5.2042546),(5 5.3785567),(6 5.5591583),(7 6.1342077),(8 6.13607),(9 6.281833),(10 6.999092),(11 7.1789823),(12 7.1862016),(13 6.8514185),(14 7.1109385),(15 7.453906),(16 7.4492493),(17 7.4193397),(18 7.407618),(19 7.756498),(20 7.7552786),(21 7.6397305),(22 7.5799255),(23 7.862614),(24 7.8600235),(25 7.822211),(26 8.075478),(27 8.200402),(28 8.1997385),(29 8.00447),(30 7.9147296),(31 8.13122),(32 8.117279),(33 7.811978),(34 8.042914),(35 8.11668),(36 8.108638),(37 8.154087),(38 8.145621),(39 8.516209),(40 8.514557),(41 8.142674),(42 8.300805),(43 8.451421),(44 8.4451885),(45 8.173184),(46 8.190103),(47 8.37628),(48 8.373076),(49 8.153401),(50 8.15474),
(1 2.0276947),(2 4.5181684),(3 5.204636),(4 5.2025275),(5 5.3442283),(6 5.514178),(7 5.908811),(8 5.9093704),(9 6.0312243),(10 6.520282),(11 6.779035),(12 6.779741),(13 6.6052666),(14 6.9442477),(15 7.1179605),(16 7.122345),(17 7.0636992),(18 7.171731),(19 7.413343),(20 7.406718),(21 7.173353),(22 7.269553),(23 7.680383),(24 7.674887),(25 7.7483463),(26 7.8296723),(27 8.072907),(28 8.070421),(29 7.8198814),(30 7.6095033),(31 7.817236),(32 7.8151803),(33 7.717887),(34 7.8755345),(35 8.248896),(36 8.242623),(37 8.0775175),(38 7.983347),(39 8.279569),(40 8.275222),(41 7.9014254),(42 8.00472),(43 8.13038),(44 8.12449),(45 8.00646),(46 7.9876466),(47 8.0730715),(48 8.064299),(49 7.934419),(50 7.9341073),
(1 1.6619217),(2 3.6167219),(3 4.2345276),(4 4.2357726),(5 4.473357),(6 4.6781974),(7 4.9371576),(8 4.937274),(9 5.012056),(10 5.455579),(11 5.5922084),(12 5.592788),(13 5.5292835),(14 5.6538105),(15 5.9464097),(16 5.9474106),(17 5.799381),(18 5.853893),(19 6.0709257),(20 6.072769),(21 6.086588),(22 5.985229),(23 6.185985),(24 6.1834354),(25 6.2036586),(26 6.6192446),(27 6.9369435),(28 6.9338875),(29 6.675629),(30 6.6277966),(31 6.684421),(32 6.6765013),(33 6.498327),(34 6.7588716),(35 7.067637),(36 7.058998),(37 6.8950453),(38 6.741354),(39 6.926677),(40 6.9230256),(41 6.6100664),(42 6.575464),(43 6.7710786),(44 6.7726884),(45 6.5124817),(46 6.6999316),(47 6.9009805),(48 6.89136),(49 6.70062),(50 6.7107034),
(1 1.2928991),(2 2.752794),(3 3.2748163),(4 3.2747772),(5 3.3790634),(6 3.6831875),(7 3.93446),(8 3.9363856),(9 4.003633),(10 4.1577644),(11 4.3127675),(12 4.312283),(13 4.393757),(14 4.491834),(15 4.642884),(16 4.6418953),(17 4.600633),(18 4.643345),(19 4.874575),(20 4.8759427),(21 4.8484297),(22 4.7979293),(23 4.9551744),(24 4.9545145),(25 4.9547043),(26 5.190036),(27 5.431491),(28 5.426995),(29 5.175884),(30 5.141818),(31 5.2179933),(32 5.209955),(33 5.114149),(34 5.241478),(35 5.395714),(36 5.3876505),(37 5.328686),(38 5.3563433),(39 5.4944754),(40 5.492544),(41 5.3826127),(42 5.378485),(43 5.4722667),(44 5.46454),(45 5.284634),(46 5.2334995),(47 5.4946375),(48 5.484563),(49 5.281504),(50 5.2897115),
(1 1.0568881),(2 2.178241),(3 2.7146287),(4 2.7170992),(5 2.7458453),(6 2.9820156),(7 3.1999676),(8 3.1990635),(9 3.1926582),(10 3.4262536),(11 3.6348095),(12 3.6352572),(13 3.5978656),(14 3.7121272),(15 3.8764703),(16 3.873886),(17 3.7930627),(18 3.8727882),(19 4.112989),(20 4.1084056),(21 3.986537),(22 4.011295),(23 4.208964),(24 4.2069063),(25 4.180707),(26 4.2918687),(27 4.371028),(28 4.3703203),(29 4.2985263),(30 4.2534475),(31 4.4182653),(32 4.412533),(33 4.217067),(34 4.3643785),(35 4.5011163),(36 4.499873),(37 4.364757),(38 4.4135327),(39 4.561213),(40 4.559017),(41 4.420779),(42 4.419488),(43 4.5484157),(44 4.5413375),(45 4.3675666),(46 4.4222293),(47 4.5715165),(48 4.5674376),(49 4.4264956),(50 4.4293675),
(1 0.9163469),(2 1.9893665),(3 2.424459),(4 2.4234576),(5 2.4639416),(6 2.6162622),(7 2.8046353),(8 2.80178),(9 2.860619),(10 3.0653486),(11 3.2557395),(12 3.2543635),(13 3.1819046),(14 3.2799597),(15 3.4403322),(16 3.4337769),(17 3.3664978),(18 3.4596481),(19 3.6468465),(20 3.6477892),(21 3.5684662),(22 3.555282),(23 3.6734612),(24 3.6688797),(25 3.635065),(26 3.670423),(27 3.912259),(28 3.91011),(29 3.8145347),(30 3.6923926),(31 3.8715258),(32 3.8641791),(33 3.7252097),(34 3.8816254),(35 3.9550517),(36 3.9472728),(37 3.9464743),(38 3.865311),(39 3.9708798),(40 3.9690168),(41 3.8892608),(42 3.7797139),(43 3.8691006),(44 3.8669908),(45 3.7970285),(46 3.7624009),(47 3.8401685),(48 3.838701),(49 3.8737402),(50 3.872508),
(1 0.8554155),(2 1.7637345),(3 2.1132238),(4 2.1138585),(5 2.204639),(6 2.4248555),(7 2.6392736),(8 2.6362696),(9 2.637537),(10 2.7675595),(11 2.972589),(12 2.9722152),(13 2.8801746),(14 2.931359),(15 3.0998344),(16 3.0978029),(17 3.064697),(18 3.1560788),(19 3.3269196),(20 3.3208938),(21 3.2515461),(22 3.2275867),(23 3.3735242),(24 3.3708193),(25 3.226882),(26 3.267071),(27 3.4551954),(28 3.4541862),(29 3.399761),(30 3.3217359),(31 3.4142814),(32 3.4070618),(33 3.340873),(34 3.4245129),(35 3.5553985),(36 3.5519965),(37 3.4962702),(38 3.3863688),(39 3.553435),(40 3.5511088),(41 3.472673),(42 3.3488111),(43 3.417223),(44 3.4149094),(45 3.3306942),(46 3.3212683),(47 3.4429142),(48 3.4387364),(49 3.3604527),(50 3.3618774),
(1 0.72566175),(2 1.4473337),(3 1.7641138),(4 1.7647738),(5 1.8371006),(6 2.0379322),(7 2.167188),(8 2.1665132),(9 2.2094483),(10 2.4110625),(11 2.5982215),(12 2.5982606),(13 2.4879029),(14 2.6180568),(15 2.735226),(16 2.7340162),(17 2.6802087),(18 2.7005208),(19 2.8375916),(20 2.835027),(21 2.7753162),(22 2.7483318),(23 2.8459272),(24 2.8447502),(25 2.7406316),(26 2.774194),(27 2.9430823),(28 2.9402335),(29 2.8721454),(30 2.7973878),(31 2.8991168),(32 2.8937047),(33 2.7992554),(34 2.8567727),(35 2.961913),(36 2.9588528),(37 2.9122865),(38 2.8665388),(39 2.993422),(40 2.9918969),(41 2.8522017),(42 2.789139),(43 2.8699071),(44 2.8696153),(45 2.7558024),(46 2.7988257),(47 2.974049),(48 2.9686599),(49 2.9033637),(50 2.903203),
