1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,
(1 8.316159),(2 39.84077),(3 53.80204),(4 53.694393),(5 63.514626),(6 77.06687),(7 82.79723),(8 82.77805),(9 86.893135),(10 88.95879),(11 99.931816),(12 99.96962),(13 113.5956),(14 102.284386),(15 113.89125),(16 113.86942),(17 111.48847),(18 83.991425),(19 86.14721),(20 86.29078),(21 92.01551),(22 100.402756),(23 97.77033),(24 97.80928),(25 94.69766),(26 83.923706),(27 105.19615),(28 105.05505),(29 111.08723),(30 139.0084),(31 126.10223),(32 126.17753),(33 142.94821),(34 179.17458),(35 203.27184),(36 203.2617),(37 200.79378),(38 281.89978),(39 320.12485),(40 320.18365),(41 302.53552),(42 298.08817),(43 314.8035),(44 314.75906),(45 376.08807),(46 345.3015),(47 307.63248),(48 307.71698),(49 259.1696),(50 259.16602),
(1 14.928595),(2 73.32431),(3 90.71352),(4 90.555244),(5 111.9487),(6 161.63885),(7 141.46675),(8 141.51062),(9 146.66519),(10 141.83495),(11 148.17953),(12 148.30437),(13 152.44304),(14 150.47224),(15 163.15646),(16 163.35551),(17 159.64862),(18 175.19466),(19 182.47452),(20 182.44441),(21 189.27684),(22 159.06227),(23 162.85193),(24 162.97102),(25 154.93011),(26 141.75241),(27 200.83095),(28 200.75342),(29 250.36707),(30 199.44212),(31 193.59973),(32 193.65746),(33 220.94989),(34 273.7672),(35 318.7212),(36 318.90997),(37 304.4914),(38 300.72412),(39 356.2356),(40 356.09647),(41 357.02087),(42 309.43265),(43 307.74915),(44 307.82047),(45 340.4936),(46 361.71518),(47 371.80014),(48 371.72372),(49 309.6922),(50 309.7992),
(1 17.885374),(2 64.7875),(3 93.44559),(4 93.35377),(5 117.00579),(6 159.84256),(7 145.39636),(8 145.4025),(9 139.77852),(10 132.87862),(11 125.98553),(12 126.05945),(13 137.87222),(14 160.44475),(15 179.6538),(16 180.01334),(17 191.79713),(18 189.37234),(19 180.14697),(20 180.0952),(21 182.22246),(22 168.7595),(23 161.09473),(24 161.19044),(25 156.69753),(26 177.97525),(27 223.26682),(28 223.3185),(29 232.6993),(30 184.2472),(31 190.17242),(32 190.08644),(33 181.13052),(34 240.06529),(35 260.55515),(36 260.6875),(37 219.75868),(38 170.0669),(39 236.3625),(40 236.40213),(41 215.3757),(42 187.57094),(43 197.12874),(44 197.15906),(45 185.23062),(46 216.6772),(47 217.46022),(48 217.47467),(49 217.21),(50 217.31766),
(1 24.21716),(2 81.80552),(3 103.88102),(4 103.86428),(5 116.94426),(6 139.45322),(7 136.05434),(8 135.97275),(9 136.96823),(10 164.0334),(11 169.0259),(12 169.02832),(13 171.05281),(14 200.68132),(15 200.17404),(16 200.33784),(17 203.08885),(18 211.18747),(19 217.97154),(20 218.0254),(21 217.50122),(22 191.60475),(23 174.03412),(24 173.98814),(25 193.75368),(26 204.56853),(27 181.60986),(28 181.60414),(29 167.40967),(30 171.9843),(31 178.19766),(32 178.3215),(33 161.07565),(34 186.30594),(35 197.7963),(36 197.82162),(37 206.3675),(38 193.61438),(39 211.08095),(40 211.00581),(41 223.2486),(42 214.96384),(43 210.52367),(44 210.77664),(45 203.727),(46 246.90974),(47 223.61707),(48 223.48582),(49 252.69313),(50 252.25943),
(1 22.671112),(2 77.08311),(3 96.9001),(4 96.95555),(5 117.42692),(6 120.74039),(7 122.15963),(8 122.16303),(9 130.62448),(10 147.40114),(11 151.041),(12 151.07768),(13 151.28915),(14 162.12679),(15 167.42827),(16 167.47496),(17 160.21384),(18 164.62083),(19 172.60622),(20 172.6376),(21 178.87434),(22 165.42635),(23 161.68544),(24 161.76292),(25 168.99915),(26 180.8832),(27 159.5344),(28 159.70071),(29 150.40553),(30 150.71977),(31 167.53912),(32 167.26227),(33 172.87292),(34 196.55899),(35 209.0276),(36 209.1581),(37 221.87932),(38 211.66138),(39 202.08044),(40 202.30745),(41 216.18286),(42 228.38664),(43 213.342),(44 213.41353),(45 209.52742),(46 212.17255),(47 199.84052),(48 199.87749),(49 196.31195),(50 196.38742),
(1 14.540041),(2 51.023365),(3 64.53729),(4 64.629234),(5 81.55453),(6 86.05171),(7 86.70641),(8 86.66831),(9 92.108154),(10 98.40438),(11 100.56379),(12 100.64668),(13 104.689995),(14 108.23859),(15 113.888054),(16 113.63683),(17 123.62086),(18 107.940056),(19 103.95122),(20 103.864075),(21 109.07519),(22 102.30242),(23 111.77702),(24 111.89559),(25 106.821884),(26 114.65892),(27 109.528656),(28 109.39844),(29 106.59075),(30 97.83088),(31 99.937004),(32 99.873726),(33 92.2071),(34 118.62047),(35 124.95334),(36 125.020805),(37 119.23275),(38 126.56457),(39 118.15393),(40 118.07743),(41 146.02191),(42 139.77),(43 129.35388),(44 129.21336),(45 119.69619),(46 120.82661),(47 117.440125),(48 117.42908),(49 125.18203),(50 125.0641),
(1 19.767767),(2 43.85019),(3 63.525127),(4 63.543655),(5 73.36137),(6 69.06186),(7 78.01403),(8 78.10747),(9 80.023994),(10 85.84019),(11 90.53248),(12 90.53521),(13 92.378586),(14 96.23722),(15 95.19995),(16 95.13035),(17 95.67305),(18 105.93807),(19 111.59241),(20 111.73999),(21 105.39574),(22 115.6169),(23 115.69531),(24 115.80204),(25 118.47733),(26 112.4563),(27 105.06209),(28 105.10047),(29 105.01998),(30 109.44213),(31 127.20161),(32 127.19239),(33 127.94602),(34 137.01704),(35 136.65012),(36 136.53938),(37 122.665596),(38 140.80829),(39 138.15822),(40 138.21715),(41 144.87582),(42 128.79115),(43 125.035385),(44 125.16981),(45 118.37285),(46 124.243126),(47 129.4407),(48 129.36636),(49 128.79443),(50 128.87527),
(1 15.476978),(2 47.473118),(3 52.97983),(4 52.92829),(5 64.88012),(6 75.61067),(7 73.79985),(8 73.794106),(9 75.93679),(10 89.74073),(11 88.84783),(12 88.87314),(13 77.83995),(14 87.73997),(15 92.45037),(16 92.58307),(17 90.09116),(18 89.57122),(19 89.87093),(20 89.97191),(21 94.704185),(22 96.41092),(23 103.49663),(24 103.69505),(25 105.496124),(26 107.78904),(27 110.3242),(28 110.422195),(29 105.59825),(30 117.23304),(31 117.69552),(32 117.67196),(33 122.62476),(34 119.32789),(35 121.348305),(36 121.344765),(37 125.10658),(38 134.64684),(39 132.94354),(40 132.9588),(41 139.06813),(42 131.73561),(43 134.02739),(44 133.99983),(45 123.31225),(46 118.4413),(47 111.502396),(48 111.56631),(49 116.00804),(50 116.105896),
(1 13.807056),(2 41.256573),(3 47.226074),(4 47.24048),(5 61.936363),(6 68.57438),(7 66.501724),(8 66.49453),(9 68.156265),(10 65.21833),(11 66.30328),(12 66.27928),(13 73.48517),(14 85.4158),(15 84.29284),(16 84.423225),(17 80.74153),(18 77.5299),(19 79.57479),(20 79.61284),(21 83.51099),(22 95.20079),(23 94.42562),(24 94.45486),(25 93.60765),(26 100.71387),(27 98.48956),(28 98.524536),(29 96.467125),(30 92.087395),(31 88.42522),(32 88.45769),(33 87.52933),(34 96.57013),(35 96.67593),(36 96.7137),(37 98.94372),(38 106.64455),(39 112.70705),(40 112.639496),(41 111.9233),(42 119.23266),(43 119.73972),(44 119.7468),(45 116.65677),(46 107.73802),(47 93.49245),(48 93.45371),(49 98.48625),(50 98.287025),
(1 12.3613825),(2 38.492664),(3 46.798965),(4 46.869133),(5 57.271935),(6 64.80864),(7 65.64606),(8 65.71446),(9 66.496284),(10 61.959557),(11 65.79462),(12 65.867905),(13 66.47249),(14 74.02948),(15 81.16728),(16 81.10838),(17 77.86537),(18 74.94544),(19 74.93406),(20 74.99414),(21 81.286255),(22 89.88745),(23 93.453064),(24 93.55701),(25 88.39903),(26 83.5061),(27 84.536194),(28 84.560616),(29 89.05221),(30 92.28727),(31 93.504005),(32 93.4831),(33 100.87109),(34 105.993454),(35 108.59357),(36 108.495125),(37 102.96979),(38 104.04522),(39 104.427086),(40 104.56947),(41 106.49531),(42 108.14623),(43 114.09233),(44 114.134285),(45 109.005005),(46 93.410866),(47 93.0435),(48 92.94482),(49 95.22984),(50 95.18842),
(1 11.335693),(2 37.945457),(3 47.01612),(4 47.041485),(5 49.447918),(6 45.85819),(7 45.85688),(8 45.91047),(9 43.27872),(10 42.306324),(11 47.082996),(12 47.049267),(13 46.01835),(14 51.500797),(15 53.033485),(16 52.970234),(17 50.813187),(18 54.44758),(19 52.955578),(20 53.068977),(21 55.11477),(22 61.305416),(23 62.462963),(24 62.48189),(25 66.29337),(26 67.06263),(27 66.53875),(28 66.5868),(29 74.31456),(30 75.270035),(31 72.709625),(32 72.736404),(33 76.09547),(34 85.573524),(35 86.150024),(36 86.22984),(37 75.66631),(38 74.574265),(39 74.143234),(40 73.99343),(41 69.015495),(42 69.24441),(43 61.64998),(44 61.66964),(45 60.864994),(46 70.63642),(47 68.39411),(48 68.28931),(49 68.311104),(50 68.308586),
