1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,
(1 0.0003081749),(2 3.388902),(3 12.893245),(4 24.677034),(5 24.803808),(6 37.779755),(7 51.37285),(8 61.014236),(9 61.090103),(10 68.17583),(11 68.62232),(12 84.69698),(13 84.66998),(14 96.80118),(15 88.661285),(16 105.10237),(17 104.98553),(18 90.69936),(19 96.44191),(20 101.40533),(21 101.33067),(22 119.38823),(23 154.10336),(24 134.4786),(25 134.56357),(26 101.80405),(27 117.41772),(28 112.35183),(29 112.66908),(30 118.070045),(31 162.53412),(32 160.03546),(33 160.29477),(34 158.32498),(35 174.24641),(36 187.57007),(37 187.58571),(38 212.39592),(39 236.14543),(40 233.6436),(41 233.66643),(42 226.44289),(43 203.68306),(44 203.64551),(45 203.71042),
(1 0.0006061878),(2 6.318397),(3 26.96777),(4 44.95079),(5 45.041985),(6 71.25935),(7 92.23041),(8 101.38198),(9 101.28297),(10 117.38201),(11 134.51593),(12 149.599),(13 149.57446),(14 146.27982),(15 161.26935),(16 200.82507),(17 200.75316),(18 202.7813),(19 186.5899),(20 201.92145),(21 201.88371),(22 233.1022),(23 257.89014),(24 212.03052),(25 212.38766),(26 159.93642),(27 162.62035),(28 163.16634),(29 163.3089),(30 187.21101),(31 229.30742),(32 235.7269),(33 235.72693),(34 240.90819),(35 240.80952),(36 241.93787),(37 242.2469),(38 264.86392),(39 305.25262),(40 306.56094),(41 306.60342),(42 289.5855),(43 267.89688),(44 267.91995),(45 267.89645),
(1 0.0004983777),(2 8.619863),(3 39.945686),(4 62.018112),(5 62.084915),(6 84.67241),(7 100.355286),(8 110.604004),(9 110.65855),(10 139.32907),(11 158.5921),(12 154.74315),(13 154.72302),(14 133.25237),(15 158.88316),(16 185.31306),(17 185.41687),(18 190.02669),(19 162.96072),(20 165.49689),(21 165.52074),(22 145.54169),(23 138.25092),(24 151.46687),(25 151.37918),(26 141.70331),(27 153.48085),(28 176.39871),(29 176.40306),(30 188.86778),(31 233.40575),(32 229.24176),(33 229.14122),(34 224.9478),(35 209.62253),(36 226.09813),(37 226.07202),(38 252.79623),(39 285.57333),(40 263.81964),(41 263.54935),(42 233.29099),(43 279.0166),(44 279.03198),(45 279.0212),
(1 0.0005812162),(2 13.614211),(3 60.87811),(4 63.63951),(5 63.58093),(6 72.482445),(7 90.15357),(8 107.01203),(9 107.181435),(10 124.576614),(11 139.44524),(12 148.93909),(13 149.06462),(14 154.88847),(15 163.8051),(16 190.77184),(17 190.60875),(18 215.96477),(19 212.22995),(20 226.53221),(21 226.53523),(22 197.2947),(23 183.30594),(24 177.31839),(25 177.31102),(26 184.4519),(27 162.74007),(28 162.64294),(29 162.0805),(30 166.80724),(31 200.23047),(32 211.02039),(33 210.74805),(34 249.22937),(35 250.87329),(36 256.48288),(37 256.55634),(38 258.83627),(39 286.88107),(40 274.84863),(41 274.6817),(42 279.2934),(43 296.10803),(44 296.11526),(45 296.10553),
(1 0.0006857498),(2 15.939879),(3 58.032364),(4 58.70348),(5 58.685),(6 66.963776),(7 93.54427),(8 103.59995),(9 103.79551),(10 108.42319),(11 134.83849),(12 144.37592),(13 144.45898),(14 147.29506),(15 173.33287),(16 187.45909),(17 187.47539),(18 227.09137),(19 218.80061),(20 254.20116),(21 254.2562),(22 232.69563),(23 262.88455),(24 268.38007),(25 268.59915),(26 248.94565),(27 255.2562),(28 237.81415),(29 237.35196),(30 263.92087),(31 279.56143),(32 300.37094),(33 300.13724),(34 320.40396),(35 324.05008),(36 319.51807),(37 319.44403),(38 332.8534),(39 335.0299),(40 340.86655),(41 340.90933),(42 339.7547),(43 347.9294),(44 347.88416),(45 347.94205),
(1 0.00079542206),(2 13.15676),(3 38.94287),(4 39.589928),(5 39.560284),(6 54.091278),(7 69.49727),(8 77.69084),(9 77.72426),(10 78.54052),(11 92.90184),(12 92.51244),(13 92.474304),(14 93.786224),(15 125.60771),(16 140.88048),(17 140.87129),(18 141.8374),(19 155.83035),(20 159.94365),(21 159.92787),(22 150.87749),(23 139.86668),(24 135.22813),(25 135.3656),(26 135.30235),(27 156.39421),(28 156.89143),(29 157.24268),(30 153.10027),(31 172.64131),(32 178.24876),(33 178.36755),(34 168.33022),(35 174.38892),(36 187.99873),(37 187.88799),(38 214.35942),(39 214.5473),(40 226.58736),(41 226.82175),(42 217.22144),(43 234.03662),(44 233.97556),(45 234.05934),
(1 0.00086354814),(2 16.428745),(3 42.17735),(4 45.494473),(5 45.511597),(6 56.674034),(7 69.13583),(8 79.127174),(9 79.12237),(10 90.7505),(11 97.749214),(12 91.25429),(13 91.26413),(14 90.882),(15 114.97149),(16 128.17),(17 128.1074),(18 129.08821),(19 167.80992),(20 165.2476),(21 165.17145),(22 172.06522),(23 143.27046),(24 141.64351),(25 141.50885),(26 141.8763),(27 156.91112),(28 152.69485),(29 152.81894),(30 145.31636),(31 174.4813),(32 186.41423),(33 186.28093),(34 189.9671),(35 185.03825),(36 186.5418),(37 186.64642),(38 181.83685),(39 195.7514),(40 190.76207),(41 190.8282),(42 187.5481),(43 184.73174),(44 184.7732),(45 184.71744),
(1 0.00088865485),(2 16.19186),(3 40.886856),(4 50.614304),(5 50.63574),(6 60.376236),(7 70.384254),(8 70.67332),(9 70.7993),(10 93.161064),(11 116.91959),(12 111.4231),(13 111.55575),(14 121.92569),(15 119.18125),(16 130.6754),(17 130.81789),(18 139.08476),(19 148.38832),(20 157.65096),(21 157.74704),(22 154.13316),(23 155.00432),(24 164.24828),(25 164.19608),(26 153.54797),(27 162.01138),(28 152.77283),(29 152.94254),(30 158.55919),(31 178.41565),(32 188.86084),(33 188.93593),(34 182.73885),(35 202.83212),(36 190.56285),(37 190.50769),(38 177.53337),(39 187.38081),(40 205.06972),(41 204.88751),(42 226.55902),(43 217.48138),(44 217.45726),(45 217.46759),
(1 0.0011236201),(2 14.47854),(3 38.67561),(4 42.46577),(5 42.38036),(6 49.927544),(7 60.150475),(8 67.48609),(9 67.43037),(10 86.01389),(11 116.566154),(12 118.67876),(13 118.52435),(14 117.65713),(15 119.04481),(16 127.80437),(17 127.617836),(18 136.00327),(19 151.09515),(20 145.42783),(21 145.45319),(22 146.73138),(23 128.80367),(24 139.79948),(25 139.85745),(26 146.81813),(27 163.83936),(28 172.08078),(29 172.88719),(30 182.26018),(31 169.8582),(32 180.80792),(33 180.7819),(34 195.2989),(35 188.6385),(36 185.99915),(37 186.198),(38 186.89789),(39 190.01389),(40 206.38536),(41 206.24603),(42 209.25911),(43 208.2627),(44 208.2807),(45 208.25583),
(1 0.0010061617),(2 16.844423),(3 37.136173),(4 39.397003),(5 39.36072),(6 45.728863),(7 56.032234),(8 60.315174),(9 60.29958),(10 67.51034),(11 89.88926),(12 87.75739),(13 87.687195),(14 82.482544),(15 95.450455),(16 96.815025),(17 96.798546),(18 109.587204),(19 130.14893),(20 139.6845),(21 139.71878),(22 147.35304),(23 133.2063),(24 140.47787),(25 140.5006),(26 145.13133),(27 158.3088),(28 163.67336),(29 164.16606),(30 154.80313),(31 159.96513),(32 160.9682),(33 160.81407),(34 167.75427),(35 164.51804),(36 163.37881),(37 163.45116),(38 167.9375),(39 168.01306),(40 169.06439),(41 169.05406),(42 164.31479),(43 174.22487),(44 174.15117),(45 174.22284),
(1 0.0010364177),(2 11.922071),(3 31.753403),(4 37.19342),(5 37.18014),(6 39.009827),(7 49.53427),(8 56.371296),(9 56.50692),(10 62.557297),(11 75.3568),(12 75.600204),(13 75.78434),(14 78.7822),(15 98.25054),(16 102.94047),(17 103.035965),(18 117.70906),(19 120.95537),(20 114.6938),(21 114.58075),(22 119.014175),(23 110.84246),(24 107.62974),(25 107.67949),(26 106.49757),(27 110.810234),(28 121.66389),(29 122.05127),(30 115.59596),(31 128.8282),(32 109.658485),(33 109.57893),(34 101.48699),(35 114.84275),(36 109.607735),(37 109.5534),(38 111.293976),(39 114.3992),(40 117.65523),(41 117.73291),(42 115.886055),(43 116.604965),(44 116.584496),(45 116.60529),
