1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,
(1 0.000084563246),(2 2.6479998),(3 8.219043),(4 8.698864),(5 8.828545),(6 14.328591),(7 36.07069),(8 51.570217),(9 51.543587),(10 48.81316),(11 36.511036),(12 51.473186),(13 51.6321),(14 72.904396),(15 35.0259),(16 36.83176),(17 36.937115),(18 18.789316),(19 27.49927),(20 25.72847),(21 25.793287),(22 46.069958),(23 55.336304),(24 58.62753),(25 58.624855),(26 56.432484),(27 31.36534),(28 27.532818),(29 27.292482),(30 33.736862),(31 52.232067),(32 61.71716),(33 61.813896),(34 66.936676),(35 64.36548),(36 68.603584),(37 68.15876),(38 70.97741),(39 112.341805),(40 136.72237),(41 136.57054),(42 160.26025),(43 120.11189),(44 120.07929),(45 120.11576),
(1 0.00023884664),(2 4.985203),(3 17.09931),(4 38.054142),(5 38.1513),(6 64.388405),(7 83.76944),(8 98.57951),(9 98.48557),(10 118.13011),(11 109.37287),(12 138.30669),(13 138.04793),(14 158.58182),(15 110.87199),(16 109.01189),(17 108.66456),(18 72.882355),(19 70.53699),(20 87.824265),(21 87.872055),(22 125.895935),(23 92.57188),(24 89.60991),(25 89.84153),(26 103.84763),(27 137.09805),(28 114.4629),(29 114.6882),(30 140.62708),(31 237.10881),(32 246.05678),(33 246.2884),(34 215.74388),(35 207.6372),(36 213.36908),(37 213.1624),(38 220.1954),(39 261.53717),(40 276.42038),(41 276.15686),(42 221.65065),(43 168.39339),(44 168.24976),(45 168.41104),
(1 0.0003818559),(2 7.4015574),(3 24.07993),(4 38.217304),(5 38.2722),(6 63.939426),(7 83.639595),(8 88.06449),(9 88.07835),(10 99.991066),(11 90.66921),(12 86.45654),(13 86.52764),(14 74.89873),(15 135.16992),(16 177.87389),(17 177.97),(18 140.4147),(19 70.71169),(20 93.299),(21 93.188065),(22 117.1618),(23 95.26218),(24 99.39921),(25 99.68937),(26 121.467636),(27 149.9202),(28 144.03607),(29 144.00375),(30 134.4626),(31 179.45288),(32 184.93506),(33 184.83778),(34 172.97081),(35 132.06615),(36 142.20598),(37 142.18025),(38 148.56197),(39 158.41269),(40 135.40518),(41 135.31825),(42 104.16639),(43 153.7874),(44 153.90308),(45 153.8128),
(1 0.0003260525),(2 13.152839),(3 64.47949),(4 105.1689),(5 105.26015),(6 146.88535),(7 133.0519),(8 130.87492),(9 130.76501),(10 155.53745),(11 202.1498),(12 221.24825),(13 221.23898),(14 188.09683),(15 176.0514),(16 214.62646),(17 214.71524),(18 229.24954),(19 168.82732),(20 209.6967),(21 209.54199),(22 203.48134),(23 152.90413),(24 158.5417),(25 158.30229),(26 148.18164),(27 178.80145),(28 223.38155),(29 223.19112),(30 251.69357),(31 265.50867),(32 257.67834),(33 257.35355),(34 272.91345),(35 304.07788),(36 335.54715),(37 335.38638),(38 346.5097),(39 341.8947),(40 386.5284),(41 386.4908),(42 349.8936),(43 356.59897),(44 356.7357),(45 356.59747),
(1 0.00048969086),(2 17.358017),(3 80.4884),(4 118.17323),(5 118.173225),(6 153.92021),(7 140.56523),(8 155.01067),(9 155.14308),(10 167.37108),(11 159.6423),(12 166.30641),(13 166.18182),(14 161.83403),(15 154.83394),(16 184.7938),(17 184.85603),(18 166.19653),(19 160.90225),(20 180.53119),(21 180.73137),(22 139.7317),(23 169.85457),(24 162.90794),(25 163.06598),(26 151.9252),(27 180.33812),(28 214.51588),(29 214.75664),(30 265.33356),(31 349.55),(32 351.1822),(33 351.21896),(34 329.09866),(35 312.0948),(36 320.22418),(37 320.25583),(38 318.40552),(39 361.2939),(40 293.19016),(41 292.73596),(42 256.47495),(43 316.4009),(44 316.4806),(45 316.3727),
(1 0.00035703988),(2 17.989222),(3 79.11293),(4 76.10635),(5 76.24489),(6 81.399185),(7 99.12904),(8 108.940865),(9 109.2053),(10 138.45753),(11 175.32626),(12 169.8675),(13 169.97304),(14 143.11313),(15 167.31813),(16 179.72025),(17 179.49226),(18 179.21501),(19 177.9755),(20 187.01593),(21 187.08485),(22 158.49904),(23 135.00815),(24 112.00692),(25 112.19835),(26 120.85711),(27 104.71346),(28 121.36416),(29 120.37771),(30 110.54811),(31 135.32114),(32 148.3849),(33 148.32649),(34 153.8953),(35 153.95528),(36 167.71751),(37 167.70222),(38 176.95285),(39 176.51285),(40 148.38617),(41 148.34456),(42 125.81016),(43 209.23727),(44 209.07358),(45 209.23431),
(1 0.00055057515),(2 23.287844),(3 96.0918),(4 80.306595),(5 80.30674),(6 70.84128),(7 75.18417),(8 87.826706),(9 88.07878),(10 95.39436),(11 125.832085),(12 137.28783),(13 137.29099),(14 133.61713),(15 131.2499),(16 163.26698),(17 163.26596),(18 237.82082),(19 187.60191),(20 210.86691),(21 210.93634),(22 188.23965),(23 198.23846),(24 209.38818),(25 209.68532),(26 225.43906),(27 241.91074),(28 202.96243),(29 202.54646),(30 182.85358),(31 183.3637),(32 221.81013),(33 222.31541),(34 260.28775),(35 235.58328),(36 231.43597),(37 231.35959),(38 243.36873),(39 251.37894),(40 239.96942),(41 239.8417),(42 238.4339),(43 263.5939),(44 263.62314),(45 263.58868),
(1 0.00064419524),(2 26.427706),(3 56.91379),(4 63.83713),(5 63.931667),(6 67.35573),(7 88.61502),(8 87.47943),(9 87.46063),(10 91.79837),(11 101.97491),(12 105.789894),(13 105.77562),(14 113.31218),(15 147.89346),(16 160.56459),(17 160.68906),(18 196.81483),(19 228.98462),(20 279.7506),(21 279.80612),(22 222.91039),(23 219.41776),(24 191.30006),(25 191.26971),(26 181.42273),(27 203.65883),(28 174.24498),(29 173.27185),(30 187.94995),(31 233.59236),(32 230.40138),(33 229.93031),(34 238.47008),(35 228.26175),(36 239.25671),(37 239.26045),(38 233.10805),(39 224.80621),(40 241.93098),(41 241.77245),(42 217.5079),(43 220.24312),(44 220.2093),(45 220.24883),
(1 0.0007277532),(2 23.546103),(3 64.00223),(4 64.53897),(5 64.42015),(6 77.09192),(7 87.33548),(8 95.29787),(9 95.2966),(10 85.25739),(11 107.06702),(12 102.1257),(13 102.35468),(14 115.02322),(15 179.57208),(16 176.85095),(17 176.62119),(18 192.19504),(19 201.77254),(20 230.9729),(21 230.83127),(22 214.17992),(23 223.31206),(24 207.40965),(25 207.86668),(26 211.84491),(27 237.83195),(28 227.41663),(29 228.1984),(30 231.30502),(31 253.98235),(32 222.56538),(33 222.49556),(34 214.11653),(35 209.56212),(36 242.19586),(37 242.01773),(38 265.50415),(39 284.80988),(40 266.50943),(41 266.55435),(42 276.53217),(43 294.3843),(44 294.3066),(45 294.3977),
(1 0.0006460863),(2 26.526989),(3 77.91308),(4 62.16343),(5 62.036797),(6 91.60686),(7 101.64079),(8 94.070335),(9 93.89226),(10 117.14788),(11 138.56047),(12 127.419624),(13 127.64943),(14 119.82678),(15 166.45886),(16 191.13188),(17 191.10353),(18 214.60298),(19 254.61237),(20 299.68677),(21 299.40805),(22 274.73227),(23 211.17888),(24 189.50867),(25 189.29813),(26 173.42677),(27 208.1532),(28 184.83794),(29 184.95912),(30 166.72287),(31 214.04863),(32 217.28885),(33 217.26537),(34 212.77504),(35 218.74335),(36 234.13017),(37 234.27943),(38 216.67407),(39 232.58794),(40 234.65602),(41 234.73534),(42 226.45079),(43 261.2969),(44 261.36945),(45 261.29742),
(1 0.0007614041),(2 25.485619),(3 51.865307),(4 51.12016),(5 51.2007),(6 57.16057),(7 59.914936),(8 77.63254),(9 77.734634),(10 86.582016),(11 104.44341),(12 84.49608),(13 84.589966),(14 80.44893),(15 89.55459),(16 104.315155),(17 104.31572),(18 112.54745),(19 172.48619),(20 159.64267),(21 159.62415),(22 159.03947),(23 144.166),(24 153.84569),(25 153.71863),(26 167.38876),(27 175.4245),(28 195.44942),(29 194.87923),(30 179.48306),(31 165.24251),(32 191.79573),(33 191.67502),(34 179.89929),(35 184.87398),(36 174.97191),(37 174.57594),(38 165.29944),(39 203.93394),(40 201.87259),(41 201.6205),(42 209.28833),(43 174.20065),(44 174.23486),(45 174.13696),
