1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,
(1 1.7023059),(2 1.7050333),(3 4.2655034),(4 12.442205),(5 15.495089),(6 15.490076),(7 19.403362),(8 30.42085),(9 37.310017),(10 37.332928),(11 52.50179),(12 83.95203),(13 83.5687),(14 83.72454),(15 83.02944),(16 93.813545),(17 96.79791),(18 96.80129),(19 103.34107),(20 129.0665),(21 129.02069),(22 128.96571),(23 141.24919),(24 142.04367),(25 148.5834),(26 148.56566),(27 160.87395),(28 163.29689),(29 168.1338),(30 168.20453),(31 170.98103),(32 170.8798),(33 171.26192),(34 171.29874),(35 173.59308),(36 190.22105),(37 200.72186),(38 200.65614),(39 206.83493),(40 212.62564),(41 227.48058),(42 227.45752),(43 227.04459),(44 215.9435),(45 215.97565),
(1 2.6019433),(2 2.600612),(3 6.559327),(4 21.913067),(5 29.765537),(6 29.757938),(7 35.78906),(8 47.02106),(9 54.20218),(10 54.26639),(11 72.45623),(12 90.53878),(13 83.56918),(14 83.644295),(15 85.32024),(16 97.53593),(17 110.42974),(18 110.418724),(19 108.84718),(20 116.897415),(21 124.61703),(22 124.573425),(23 150.90668),(24 159.22461),(25 151.05142),(26 150.98119),(27 161.18585),(28 167.5538),(29 151.98228),(30 152.03714),(31 158.5698),(32 185.9741),(33 188.93535),(34 188.99168),(35 192.33633),(36 189.72028),(37 189.50317),(38 189.49333),(39 187.36684),(40 207.23027),(41 225.2447),(42 225.27205),(43 218.90642),(44 230.79599),(45 230.79445),
(1 2.5980296),(2 2.5957074),(3 6.563233),(4 20.600437),(5 28.256508),(6 28.246418),(7 32.461266),(8 44.63164),(9 55.455788),(10 55.47547),(11 65.544106),(12 61.400387),(13 64.33452),(14 64.35981),(15 69.669655),(16 69.15281),(17 71.88637),(18 71.88231),(19 68.297134),(20 70.46173),(21 80.05902),(22 80.05287),(23 98.997116),(24 120.91861),(25 117.52908),(26 117.54358),(27 116.85322),(28 131.35796),(29 127.38392),(30 127.24105),(31 140.1434),(32 150.0193),(33 151.17714),(34 151.21532),(35 154.53888),(36 163.35106),(37 160.39218),(38 160.40593),(39 166.01543),(40 173.94284),(41 188.62267),(42 188.64058),(43 187.05385),(44 189.06987),(45 189.08595),
(1 3.2364833),(2 3.2419045),(3 8.814134),(4 22.968674),(5 29.536266),(6 29.544464),(7 34.571423),(8 46.96879),(9 53.92417),(10 53.92977),(11 61.207714),(12 62.49283),(13 69.44693),(14 69.49137),(15 63.694748),(16 76.14621),(17 80.53177),(18 80.54647),(19 83.94453),(20 99.35312),(21 107.58498),(22 107.60502),(23 113.34114),(24 118.17541),(25 124.40574),(26 124.39622),(27 128.15831),(28 128.14882),(29 141.3971),(30 141.43895),(31 146.19504),(32 137.41475),(33 148.68607),(34 148.70206),(35 155.69633),(36 164.76663),(37 167.93604),(38 168.02359),(39 171.19301),(40 174.4863),(41 187.15196),(42 187.06537),(43 195.11832),(44 208.44362),(45 208.45135),
(1 3.914973),(2 3.9133875),(3 9.455952),(4 25.518785),(5 33.616043),(6 33.609028),(7 36.193104),(8 45.674053),(9 50.72699),(10 50.718884),(11 53.043518),(12 57.84693),(13 61.712757),(14 61.669094),(15 61.056984),(16 75.1719),(17 80.471954),(18 80.50606),(19 86.08981),(20 95.67078),(21 102.283226),(22 102.33929),(23 103.698135),(24 122.29724),(25 124.766914),(26 124.73438),(27 121.015915),(28 123.50871),(29 130.18173),(30 130.26695),(31 128.9692),(32 135.91098),(33 135.7005),(34 135.66187),(35 132.99489),(36 127.80113),(37 135.48044),(38 135.51994),(39 136.70027),(40 152.46373),(41 165.58656),(42 165.61089),(43 172.2045),(44 182.59663),(45 182.55542),
(1 3.334442),(2 3.3336825),(3 8.610887),(4 16.737291),(5 22.130383),(6 22.14089),(7 26.200462),(8 25.911089),(9 29.153112),(10 29.14542),(11 29.970675),(12 33.640484),(13 38.23994),(14 38.234577),(15 41.175934),(16 54.426815),(17 55.058044),(18 55.054672),(19 59.82424),(20 63.59785),(21 66.47128),(22 66.48153),(23 69.251526),(24 75.511185),(25 74.98012),(26 75.00127),(27 78.9758),(28 80.63697),(29 96.13576),(30 96.2266),(31 95.800026),(32 91.364395),(33 91.44572),(34 91.412125),(35 91.49216),(36 95.980225),(37 98.45531),(38 98.452484),(39 98.87332),(40 108.2056),(41 117.12291),(42 117.1379),(43 118.3778),(44 118.95015),(45 118.95435),
(1 4.0255833),(2 4.0282936),(3 9.017787),(4 17.37709),(5 21.790161),(6 21.793232),(7 24.872585),(8 25.717049),(9 29.019709),(10 28.987644),(11 28.611013),(12 33.54265),(13 39.153084),(14 39.12371),(15 44.128387),(16 52.673405),(17 56.828583),(18 56.822937),(19 59.380833),(20 71.967606),(21 72.72377),(22 72.704185),(23 74.27567),(24 76.01282),(25 81.079445),(26 81.113045),(27 81.2308),(28 83.41519),(29 86.44865),(30 86.44989),(31 91.29354),(32 93.11377),(33 93.89651),(34 93.86432),(35 100.34804),(36 109.67328),(37 108.29935),(38 108.25588),(39 110.78458),(40 107.7806),(41 109.91158),(42 109.880516),(43 111.5119),(44 114.689835),(45 114.69971),
(1 4.3243546),(2 4.3281164),(3 9.659532),(4 17.544947),(5 20.686802),(6 20.707664),(7 21.644154),(8 26.582228),(9 29.443417),(10 29.443861),(11 30.875721),(12 36.089756),(13 39.340363),(14 39.329937),(15 43.98665),(16 51.33989),(17 57.526684),(18 57.511448),(19 57.674522),(20 64.438095),(21 64.64696),(22 64.58414),(23 64.21321),(24 65.6763),(25 69.740425),(26 69.72823),(27 79.400986),(28 80.47178),(29 88.16492),(30 88.32467),(31 86.680626),(32 88.532295),(33 90.90103),(34 90.92382),(35 92.34249),(36 97.505806),(37 102.09883),(38 102.112175),(39 100.43327),(40 97.560135),(41 97.258194),(42 97.325935),(43 98.68503),(44 107.3781),(45 107.380554),
(1 4.369267),(2 4.3679605),(3 10.04092),(4 15.804763),(5 17.856829),(6 17.861723),(7 18.888317),(8 24.39943),(9 26.884993),(10 26.85974),(11 29.508875),(12 33.915993),(13 35.669605),(14 35.648197),(15 36.959915),(16 44.36697),(17 46.041172),(18 46.034157),(19 47.788128),(20 48.484848),(21 49.944614),(22 49.958546),(23 51.72549),(24 58.24331),(25 62.833218),(26 62.846333),(27 67.94508),(28 70.384346),(29 70.457504),(30 70.54523),(31 72.19663),(32 68.362785),(33 70.43777),(34 70.47019),(35 66.22922),(36 69.43372),(37 73.62752),(38 73.64608),(39 72.17085),(40 73.68297),(41 79.748474),(42 79.748344),(43 81.93992),(44 81.93164),(45 81.92449),
(1 4.2159514),(2 4.2172527),(3 8.694568),(4 14.080807),(5 16.526777),(6 16.53986),(7 17.395176),(8 20.198298),(9 23.119392),(10 23.129318),(11 24.278),(12 28.653946),(13 29.536402),(14 29.578579),(15 31.855211),(16 37.341248),(17 40.776184),(18 40.790184),(19 40.562626),(20 45.369244),(21 45.312912),(22 45.317722),(23 48.227104),(24 49.427486),(25 54.570175),(26 54.571365),(27 55.28806),(28 57.370243),(29 59.040253),(30 59.135468),(31 56.578045),(32 55.758312),(33 58.350883),(34 58.350815),(35 56.96827),(36 64.123375),(37 64.0156),(38 64.045525),(39 63.253235),(40 68.59593),(41 69.6059),(42 69.59336),(43 73.07873),(44 66.59305),(45 66.58476),
(1 3.6422791),(2 3.648962),(3 7.5155826),(4 10.752399),(5 13.250521),(6 13.25893),(7 13.535369),(8 16.733948),(9 18.41008),(10 18.400908),(11 18.819979),(12 23.782768),(13 25.758247),(14 25.763636),(15 27.688614),(16 31.258558),(17 33.670605),(18 33.667213),(19 33.09721),(20 35.87706),(21 37.73131),(22 37.72357),(23 40.589737),(24 41.18),(25 42.29062),(26 42.30077),(27 44.942116),(28 46.17222),(29 45.227283),(30 45.270435),(31 42.969967),(32 48.282066),(33 49.712105),(34 49.712788),(35 52.1915),(36 52.03262),(37 57.12044),(38 57.10197),(39 56.944218),(40 59.471462),(41 57.15186),(42 57.14998),(43 51.757572),(44 56.796803),(45 56.800793),
(1 4.0493226),(2 4.0438485),(3 7.8734193),(4 11.298105),(5 14.419709),(6 14.421137),(7 14.666285),(8 18.772234),(9 21.900331),(10 21.914948),(11 22.995632),(12 26.99637),(13 29.312181),(14 29.306444),(15 31.725693),(16 35.069),(17 37.325874),(18 37.311935),(19 37.262657),(20 38.50297),(21 40.089214),(22 40.083447),(23 40.80303),(24 45.53928),(25 47.333878),(26 47.35434),(27 45.661537),(28 48.457493),(29 50.38124),(30 50.382877),(31 48.456577),(32 51.96267),(33 51.230637),(34 51.268223),(35 50.55294),(36 53.519688),(37 55.791874),(38 55.758717),(39 57.6109),(40 58.729225),(41 58.890995),(42 58.90278),(43 59.993065),(44 59.455997),(45 59.44886),
(1 4.0430913),(2 4.041232),(3 7.916986),(4 10.069489),(5 13.267862),(6 13.272881),(7 14.513162),(8 18.151066),(9 20.329832),(10 20.34449),(11 20.398869),(12 24.336533),(13 26.401213),(14 26.393251),(15 27.953686),(16 29.744669),(17 30.943233),(18 30.94759),(19 31.398655),(20 34.260822),(21 35.204845),(22 35.183605),(23 35.43638),(24 37.167168),(25 38.583225),(26 38.556286),(27 39.87469),(28 39.190403),(29 41.9774),(30 42.01674),(31 40.409046),(32 41.58392),(33 46.528732),(34 46.50148),(35 46.004898),(36 46.606007),(37 47.96162),(38 47.97076),(39 48.41584),(40 48.437263),(41 50.89396),(42 50.913113),(43 49.1566),(44 53.45231),(45 53.454056),
