1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 0.45288858),(2 0.78249943),(3 0.7826707),(4 1.3600734),(5 3.274718),(6 4.306729),(7 4.3143597),(8 5.5549173),(9 8.422535),(10 9.954595),(11 9.982109),(12 11.442174),(13 14.566593),(14 15.8470745),(15 15.859921),(16 16.957474),(17 18.794117),(18 19.532871),(19 19.570377),(20 20.527092),(21 22.098028),(22 23.08097),(23 23.077065),(24 23.841946),(25 25.551884),(26 26.36762),(27 26.341442),(28 27.181093),(29 29.862007),(30 31.355524),(31 31.343752),(32 33.202904),(33 36.003548),(34 36.914158),(35 36.916737),(36 37.700146),(37 38.813),(38 39.67341),(39 39.67231),(40 41.061264),(41 42.204304),(42 42.337025),
(1 0.94697577),(2 1.7599871),(3 1.7606479),(4 2.9362452),(5 6.617656),(6 8.482866),(7 8.486938),(8 10.893181),(9 16.034147),(10 18.774027),(11 18.794903),(12 21.524971),(13 26.540752),(14 28.62551),(15 28.64995),(16 30.490078),(17 33.473736),(18 34.76722),(19 34.798252),(20 36.48776),(21 39.560997),(22 41.237934),(23 41.25679),(24 42.45915),(25 45.271217),(26 46.791904),(27 46.80967),(28 47.785793),(29 50.8829),(30 52.97127),(31 52.958828),(32 55.91393),(33 59.65728),(34 60.653477),(35 60.632465),(36 61.642704),(37 61.94677),(38 62.569954),(39 62.556774),(40 63.750942),(41 64.54449),(42 64.42693),
(1 1.2691394),(2 2.2735612),(3 2.274172),(4 3.6569498),(5 7.490201),(6 9.489786),(7 9.524051),(8 11.987479),(9 17.538465),(10 20.373663),(11 20.384594),(12 23.406332),(13 29.20453),(14 31.800768),(15 31.826859),(16 34.262768),(17 38.322163),(18 40.736073),(19 40.729614),(20 43.065723),(21 46.648598),(22 48.28315),(23 48.314636),(24 49.927612),(25 53.224297),(26 55.02694),(27 55.085514),(28 56.628315),(29 60.51058),(30 62.589607),(31 62.585293),(32 65.07405),(33 69.07016),(34 70.500404),(35 70.4795),(36 71.48082),(37 72.95675),(38 73.39363),(39 73.40792),(40 74.21798),(41 74.800674),(42 74.30258),
(1 1.9281555),(2 3.4826176),(3 3.4832814),(4 5.4764404),(5 11.3806715),(6 14.463562),(7 14.471432),(8 17.749224),(9 24.793127),(10 28.47679),(11 28.490458),(12 32.02044),(13 38.887707),(14 42.264465),(15 42.30271),(16 45.394085),(17 51.321514),(18 54.506775),(19 54.532497),(20 57.4559),(21 61.992012),(22 64.25856),(23 64.26408),(24 66.33084),(25 69.68642),(26 71.61821),(27 71.67452),(28 73.167885),(29 76.79959),(30 78.97358),(31 78.970856),(32 81.03026),(33 83.655396),(34 84.53491),(35 84.601685),(36 85.20756),(37 85.55858),(38 86.5099),(39 86.46548),(40 87.40322),(41 87.731926),(42 87.55036),
(1 2.3678536),(2 4.1721272),(3 4.173423),(4 6.315561),(5 12.224894),(6 15.32853),(7 15.349773),(8 18.674953),(9 25.820944),(10 29.308544),(11 29.321873),(12 32.371155),(13 37.927628),(14 40.264606),(15 40.30034),(16 42.562855),(17 47.49714),(18 50.602966),(19 50.650665),(20 53.237553),(21 58.0928),(22 60.6475),(23 60.669563),(24 63.403877),(25 66.79851),(26 69.02411),(27 69.099815),(28 70.89521),(29 74.90836),(30 76.21543),(31 76.216064),(32 78.10698),(33 81.71948),(34 82.85652),(35 82.87789),(36 84.11112),(37 84.97667),(38 85.03426),(39 85.017586),(40 85.21164),(41 85.53125),(42 85.6243),
(1 2.009918),(2 3.5595753),(3 3.5603611),(4 5.2773094),(5 9.930886),(6 12.576163),(7 12.594891),(8 15.491279),(9 21.709799),(10 24.33871),(11 24.342972),(12 26.520653),(13 30.47875),(14 32.041122),(15 32.03548),(16 33.545395),(17 36.449265),(18 38.06059),(19 38.047104),(20 39.754616),(21 43.462387),(22 45.037685),(23 45.037846),(24 46.84548),(25 49.733418),(26 51.18439),(27 51.213676),(28 52.17371),(29 54.990704),(30 56.112503),(31 56.112617),(32 57.139786),(33 58.956608),(34 59.459774),(35 59.450882),(36 59.667103),(37 60.619003),(38 61.34341),(39 61.326294),(40 61.88282),(41 62.185093),(42 62.06478),
(1 2.5172439),(2 4.331651),(3 4.331735),(4 6.265318),(5 11.652481),(6 14.537553),(7 14.553422),(8 17.812431),(9 25.340004),(10 28.890123),(11 28.916925),(12 31.5428),(13 36.17245),(14 38.018417),(15 38.064518),(16 39.64091),(17 43.19618),(18 45.00769),(19 45.038467),(20 46.18439),(21 48.391132),(22 49.97878),(23 50.01244),(24 51.635235),(25 54.055965),(26 55.14408),(27 55.160572),(28 56.19834),(29 59.036697),(30 60.86135),(31 60.865055),(32 62.899536),(33 66.51895),(34 67.87409),(35 67.851234),(36 69.11336),(37 71.19821),(38 71.874695),(39 71.89069),(40 72.1309),(41 72.58194),(42 72.6804),
(1 2.7592137),(2 4.839879),(3 4.839147),(4 6.9108973),(5 12.565304),(6 15.765671),(7 15.776883),(8 19.487185),(9 26.842768),(10 29.984598),(11 30.003859),(12 32.460155),(13 36.46645),(14 37.564526),(15 37.575974),(16 38.70424),(17 41.433342),(18 43.026558),(19 43.08328),(20 44.334354),(21 47.17841),(22 48.433533),(23 48.480286),(24 49.70681),(25 50.32099),(26 50.88977),(27 50.88648),(28 51.06074),(29 53.615486),(30 54.593132),(31 54.589794),(32 56.104996),(33 58.004894),(34 59.088852),(35 59.0716),(36 60.09399),(37 60.30468),(38 60.43727),(39 60.41935),(40 60.321262),(41 60.667362),(42 60.892418),
(1 2.7086356),(2 4.8385706),(3 4.8385687),(4 7.166991),(5 13.713999),(6 17.132292),(7 17.156563),(8 20.761143),(9 27.692062),(10 30.32566),(11 30.353062),(12 32.499504),(13 35.431503),(14 36.49193),(15 36.561565),(16 37.61923),(17 41.143375),(18 43.035465),(19 43.07077),(20 45.023544),(21 48.13177),(22 49.573086),(23 49.589073),(24 50.62963),(25 53.0622),(26 54.35558),(27 54.346718),(28 54.95373),(29 57.357113),(30 58.489494),(31 58.49058),(32 59.470146),(33 61.525173),(34 62.53871),(35 62.559177),(36 63.8997),(37 65.880684),(38 65.95434),(39 65.95294),(40 65.43786),(41 64.74846),(42 65.00902),
(1 3.0146277),(2 5.300907),(3 5.303612),(4 7.8303056),(5 14.641894),(6 18.120382),(7 18.131327),(8 21.819324),(9 29.10158),(10 31.151503),(11 31.17434),(12 32.323536),(13 33.43615),(14 33.920193),(15 33.921314),(16 34.97343),(17 38.037144),(18 40.12008),(19 40.15298),(20 42.03464),(21 45.404648),(22 46.66289),(23 46.673355),(24 47.740147),(25 48.492027),(26 48.94379),(27 48.985577),(28 49.6337),(29 51.82244),(30 52.754955),(31 52.758457),(32 53.601738),(33 55.85787),(34 57.288647),(35 57.315437),(36 58.231556),(37 59.04091),(38 59.521156),(39 59.50317),(40 59.914352),(41 60.42761),(42 60.806316),
(1 2.7145143),(2 4.7960725),(3 4.796773),(4 7.1974196),(5 13.147678),(6 16.070698),(7 16.092077),(8 19.23414),(9 23.921778),(10 25.062216),(11 25.07427),(12 25.776659),(13 26.202082),(14 26.936289),(15 26.952316),(16 28.158415),(17 31.519005),(18 33.441067),(19 33.470413),(20 35.531765),(21 38.33445),(22 39.015884),(23 39.04637),(24 39.683613),(25 40.951626),(26 41.768845),(27 41.80787),(28 41.895557),(29 43.218754),(30 43.609776),(31 43.605392),(32 44.01596),(33 44.30319),(34 45.04523),(35 45.04518),(36 46.508865),(37 48.23905),(38 48.882713),(39 48.900963),(40 48.934452),(41 49.261776),(42 49.244743),
