1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.45286083),(2 0.70438224),(3 0.7038634),(4 1.0966078),(5 2.311697),(6 2.7851303),(7 2.7772453),(8 3.3085308),(9 4.4790707),(10 5.140484),(11 5.1477766),(12 5.7476087),(13 7.51536),(14 8.086042),(15 8.087606),(16 8.429576),(17 9.974274),(18 10.322199),(19 10.324429),(20 10.570303),(21 10.603653),(22 10.943638),(23 10.906121),(24 11.40035),(25 12.57884),(26 13.66349),(27 13.662926),(28 14.554209),(29 16.453022),(30 17.29938),(31 17.286724),(32 18.24799),(33 19.668018),(34 20.200489),(35 20.163368),(36 20.438913),(37 20.574667),(38 21.421894),(39 21.400055),(40 22.518848),(41 23.28055),(42 23.29283),
(1 0.7719068),(2 1.2583773),(3 1.2576615),(4 2.0547678),(5 4.3363705),(6 5.4685674),(7 5.4836526),(8 6.6887383),(9 8.993104),(10 9.959127),(11 9.960419),(12 11.224611),(13 14.375774),(14 15.681101),(15 15.660591),(16 16.736198),(17 19.30069),(18 20.794626),(19 20.880089),(20 21.9669),(21 23.029013),(22 23.64294),(23 23.646273),(24 24.761705),(25 26.047285),(26 27.4679),(27 27.49114),(28 28.646238),(29 31.972221),(30 33.927902),(31 33.91342),(32 35.78517),(33 37.941013),(34 39.452496),(35 39.41192),(36 39.68733),(37 40.903206),(38 42.052334),(39 42.07117),(40 43.837006),(41 45.574787),(42 45.26063),
(1 0.99081296),(2 1.9122114),(3 1.912144),(4 3.1864088),(5 6.7155046),(6 8.294772),(7 8.317709),(8 10.120921),(9 13.102492),(10 14.318961),(11 14.323),(12 15.83298),(13 19.01337),(14 20.665384),(15 20.68844),(16 22.26723),(17 25.242094),(18 27.360714),(19 27.395403),(20 29.504944),(21 32.602962),(22 33.600513),(23 33.672993),(24 34.182056),(25 36.46801),(26 38.563393),(27 38.572147),(28 40.166),(29 44.863422),(30 47.910084),(31 47.898556),(32 50.7535),(33 54.22008),(34 55.867115),(35 55.913082),(36 56.875576),(37 56.882557),(38 56.14702),(39 56.087814),(40 56.370697),(41 56.101288),(42 55.126793),
(1 1.6906391),(2 3.0708227),(3 3.072401),(4 4.78764),(5 9.366111),(6 11.482026),(7 11.494563),(8 13.994542),(9 18.67674),(10 21.088709),(11 21.14853),(12 23.649534),(13 28.923147),(14 31.792658),(15 31.815521),(16 34.51084),(17 38.38337),(18 40.576286),(19 40.618416),(20 42.409073),(21 45.45753),(22 47.26045),(23 47.325428),(24 48.690487),(25 51.593594),(26 53.696266),(27 53.768787),(28 55.204193),(29 57.710297),(30 59.268738),(31 59.274334),(32 61.140568),(33 64.19237),(34 65.417854),(35 65.475555),(36 67.03805),(37 66.309746),(38 66.62697),(39 66.61027),(40 67.02215),(41 67.774025),(42 68.421196),
(1 2.250936),(2 3.9057775),(3 3.9078562),(4 5.917153),(5 11.185871),(6 13.905809),(7 13.914896),(8 16.675844),(9 22.39547),(10 25.321861),(11 25.330748),(12 28.202265),(13 34.582684),(14 37.590187),(15 37.633488),(16 40.556076),(17 44.52069),(18 47.107735),(19 47.138958),(20 49.328114),(21 52.823586),(22 54.669167),(23 54.65209),(24 56.67682),(25 59.72362),(26 61.46375),(27 61.558304),(28 62.964607),(29 65.31641),(30 65.96183),(31 65.963295),(32 67.136795),(33 70.396996),(34 71.373116),(35 71.48098),(36 72.114525),(37 72.25484),(38 72.44914),(39 72.425316),(40 73.04723),(41 73.89344),(42 73.577576),
(1 1.920229),(2 3.4166794),(3 3.416269),(4 5.3510714),(5 10.069545),(6 12.487318),(7 12.516982),(8 15.226217),(9 20.817501),(10 22.867985),(11 22.817337),(12 24.392593),(13 27.796223),(14 29.12122),(15 29.123789),(16 30.71829),(17 33.658493),(18 35.550297),(19 35.57498),(20 36.95256),(21 39.60768),(22 40.85292),(23 40.85915),(24 42.535255),(25 45.349926),(26 46.723587),(27 46.78479),(28 48.49242),(29 52.065117),(30 53.477917),(31 53.474556),(32 55.224995),(33 57.787643),(34 58.718666),(35 58.768543),(36 59.253517),(37 60.442287),(38 61.879215),(39 61.863594),(40 63.14189),(41 63.278996),(42 63.345604),
(1 2.3052285),(2 3.9354236),(3 3.9350338),(4 5.822543),(5 10.630823),(6 12.917218),(7 12.907872),(8 15.247252),(9 19.829006),(10 22.18967),(11 22.22007),(12 23.47674),(13 25.486006),(14 26.84842),(15 26.848598),(16 28.297592),(17 32.082874),(18 33.719498),(19 33.696342),(20 34.666016),(21 36.878254),(22 38.475952),(23 38.48108),(24 40.122433),(25 43.07016),(26 44.90617),(27 44.958797),(28 46.81225),(29 49.459328),(30 50.422897),(31 50.41963),(32 51.78529),(33 55.47456),(34 56.141712),(35 56.06871),(36 56.975426),(37 59.22637),(38 60.04336),(39 59.999043),(40 60.894062),(41 61.364357),(42 61.54824),
(1 2.4705393),(2 4.2442365),(3 4.2447853),(4 5.930119),(5 10.285871),(6 12.554672),(7 12.582664),(8 15.235595),(9 20.80633),(10 23.223133),(11 23.271694),(12 24.829247),(13 28.232447),(14 29.88249),(15 29.927027),(16 31.687231),(17 34.70597),(18 36.6846),(19 36.678467),(20 38.144127),(21 41.533054),(22 43.56891),(23 43.593197),(24 45.929565),(25 48.08473),(26 48.463654),(27 48.45221),(28 48.42251),(29 49.378693),(30 49.856567),(31 49.869698),(32 51.47106),(33 54.0325),(34 55.47081),(35 55.383877),(36 56.104137),(37 56.382862),(38 56.221733),(39 56.197865),(40 55.74252),(41 54.83516),(42 54.877388),
(1 2.6397762),(2 4.6551285),(3 4.654424),(4 6.4537673),(5 11.357462),(6 13.922123),(7 13.9295635),(8 16.957253),(9 23.10214),(10 25.745272),(11 25.78277),(12 27.366095),(13 30.87592),(14 32.4536),(15 32.511402),(16 33.725616),(17 37.46277),(18 38.555016),(19 38.63608),(20 39.720554),(21 42.595165),(22 43.723206),(23 43.767788),(24 44.723457),(25 45.309177),(26 45.26766),(27 45.307987),(28 45.78765),(29 48.54065),(30 49.879063),(31 49.88988),(32 51.25252),(33 54.395336),(34 55.635292),(35 55.607525),(36 56.31717),(37 57.428974),(38 57.601894),(39 57.586662),(40 57.351795),(41 56.84797),(42 56.90053),
(1 2.750925),(2 4.7203846),(3 4.719783),(4 6.519838),(5 11.560999),(6 14.204526),(7 14.239001),(8 17.126638),(9 22.577126),(10 24.56441),(11 24.616892),(12 26.357859),(13 29.617767),(14 30.819801),(15 30.86142),(16 31.770235),(17 34.424942),(18 36.018913),(19 36.096222),(20 37.866608),(21 40.37648),(22 41.36653),(23 41.36318),(24 42.63832),(25 43.20184),(26 43.544632),(27 43.56679),(28 43.944653),(29 46.441753),(30 47.93377),(31 47.9435),(32 49.997643),(33 53.53775),(34 55.260586),(35 55.208447),(36 56.65398),(37 57.609962),(38 57.030773),(39 57.03622),(40 56.477436),(41 55.62818),(42 56.11464),
(1 2.2114856),(2 3.9660387),(3 3.9666657),(4 5.7725506),(5 10.3974495),(6 12.7832155),(7 12.8054495),(8 15.459096),(9 20.171198),(10 21.739485),(11 21.78362),(12 23.305973),(13 27.01604),(14 28.688797),(15 28.699238),(16 30.028734),(17 32.642906),(18 34.372528),(19 34.378822),(20 35.961193),(21 37.931236),(22 38.717354),(23 38.728264),(24 39.33184),(25 40.084175),(26 41.06043),(27 41.032143),(28 41.98476),(29 43.46236),(30 44.849773),(31 44.84516),(32 45.555992),(33 46.13566),(34 47.46052),(35 47.486275),(36 49.60614),(37 51.385235),(38 51.625957),(39 51.57214),(40 52.082382),(41 52.445656),(42 53.00772),
