1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,
(1 0.43839365),(2 0.69267726),(3 0.69143474),(4 1.0364759),(5 2.3340914),(6 2.9359884),(7 2.9465778),(8 3.5354986),(9 4.642868),(10 5.0698233),(11 5.053527),(12 5.5455875),(13 7.1782784),(14 7.8645144),(15 7.875803),(16 8.520939),(17 10.31695),(18 10.734891),(19 10.740258),(20 11.087346),(21 11.216781),(22 11.3930025),(23 11.385345),(24 11.577078),(25 12.270219),(26 13.127945),(27 13.152178),(28 13.960982),(29 15.75068),(30 16.528795),(31 16.517065),(32 17.533955),(33 19.577803),(34 20.087294),(35 20.075035),(36 20.32093),(37 20.742887),(38 21.760397),(39 21.71871),(40 22.945547),(41 24.423601),(42 24.788494),
(1 0.74755496),(2 1.1522044),(3 1.1511023),(4 1.7796987),(5 3.5980864),(6 4.360415),(7 4.3687215),(8 5.3450065),(9 6.980322),(10 7.7562327),(11 7.7600923),(12 8.531308),(13 10.601168),(14 11.369271),(15 11.368805),(16 12.38435),(17 15.332549),(18 16.507273),(19 16.55894),(20 17.850725),(21 19.531408),(22 20.629822),(23 20.63176),(24 21.883085),(25 24.396296),(26 26.44608),(27 26.491817),(28 27.823229),(29 31.826372),(30 34.21297),(31 34.193707),(32 36.496548),(33 39.181843),(34 40.599243),(35 40.583263),(36 41.64355),(37 42.223213),(38 42.971954),(39 42.97378),(40 44.85094),(41 46.51168),(42 46.00255),
(1 1.0814068),(2 1.9503077),(3 1.94881),(4 3.1185896),(5 6.4131074),(6 7.8108153),(7 7.8320627),(8 9.439071),(9 12.221607),(10 13.560188),(11 13.569868),(12 14.7497225),(13 18.164864),(14 19.8121),(15 19.850395),(16 21.21896),(17 24.282213),(18 25.915071),(19 25.984596),(20 27.191912),(21 28.284077),(22 29.049927),(23 29.079489),(24 29.770157),(25 30.957624),(26 32.45917),(27 32.491516),(28 33.450844),(29 35.865913),(30 37.45975),(31 37.442127),(32 39.25423),(33 42.00306),(34 43.426888),(35 43.443607),(36 44.39358),(37 44.444794),(38 45.688133),(39 45.642185),(40 47.687447),(41 48.92275),(42 48.33699),
(1 1.7238737),(2 3.0103996),(3 3.0097344),(4 4.8426843),(5 9.610633),(6 11.690459),(7 11.736488),(8 14.277304),(9 18.52043),(10 20.63423),(11 20.676802),(12 23.076788),(13 28.342203),(14 30.692215),(15 30.67655),(16 33.023426),(17 37.14464),(18 39.414047),(19 39.483814),(20 41.24316),(21 44.523804),(22 46.067074),(23 46.08794),(24 47.771473),(25 51.827377),(26 54.793835),(27 54.851635),(28 56.85728),(29 61.41203),(30 64.08824),(31 64.07239),(32 67.21939),(33 70.56962),(34 72.08666),(35 72.0769),(36 72.57822),(37 70.36985),(38 69.127045),(39 69.173676),(40 69.16801),(41 67.967514),(42 67.38553),
(1 1.6738359),(2 2.8862765),(3 2.8892756),(4 4.4829764),(5 8.73615),(6 10.811746),(7 10.840985),(8 12.999398),(9 17.449356),(10 19.716785),(11 19.738369),(12 22.647741),(13 28.964628),(14 32.316),(15 32.338234),(16 35.880337),(17 41.452717),(18 45.15926),(19 45.21789),(20 48.61953),(21 53.149345),(22 55.38685),(23 55.496708),(24 56.83651),(25 61.338196),(26 64.556206),(27 64.570435),(28 67.17083),(29 72.547035),(30 76.04669),(31 76.03394),(32 79.639),(33 84.54669),(34 86.40157),(35 86.44912),(36 87.96135),(37 87.00574),(38 86.39422),(39 86.3914),(40 87.46856),(41 88.80636),(42 88.91544),
(1 1.9836),(2 3.6534474),(3 3.6549659),(4 5.887796),(5 10.919546),(6 13.23914),(7 13.250899),(8 16.154375),(9 21.26322),(10 23.506046),(11 23.495935),(12 25.659042),(13 31.40431),(14 34.324432),(15 34.38899),(16 37.22379),(17 40.965054),(18 43.745445),(19 43.730747),(20 45.92259),(21 50.074646),(22 51.54161),(23 51.59097),(24 52.463024),(25 55.033104),(26 57.24204),(27 57.328472),(28 59.410866),(29 63.600452),(30 65.748535),(31 65.75366),(32 68.47516),(33 72.418564),(34 73.768036),(35 73.91369),(36 74.371826),(37 73.72665),(38 73.42944),(39 73.35336),(40 73.41221),(41 73.06832),(42 71.947716),
(1 2.2813299),(2 3.9832006),(3 3.9843569),(4 5.966005),(5 10.889192),(6 13.526629),(7 13.536586),(8 16.034786),(9 21.617743),(10 24.283077),(11 24.30539),(12 26.885311),(13 33.125275),(14 36.259003),(15 36.315754),(16 39.408443),(17 45.48856),(18 48.84629),(19 48.87924),(20 52.443707),(21 58.44118),(22 60.54062),(23 60.590233),(24 62.98303),(25 66.80159),(26 69.038895),(27 69.161674),(28 71.32476),(29 75.618904),(30 77.13645),(31 77.13759),(32 78.36348),(33 81.68757),(34 83.09822),(35 83.19975),(36 83.84496),(37 85.314064),(38 85.93574),(39 85.89855),(40 86.36751),(41 86.30269),(42 86.36228),
(1 2.72917),(2 4.901343),(3 4.902924),(4 7.5886803),(5 13.654494),(6 16.75198),(7 16.753273),(8 19.654964),(9 24.875809),(10 26.91624),(11 26.941687),(12 28.956165),(13 34.04322),(14 36.421085),(15 36.457287),(16 39.572784),(17 44.643364),(18 48.526756),(19 48.515102),(20 50.92554),(21 56.447178),(22 60.104507),(23 60.149624),(24 63.18069),(25 67.72972),(26 70.693886),(27 70.79492),(28 73.61613),(29 78.8581),(30 80.70657),(31 80.71359),(32 82.60402),(33 85.81577),(34 87.00681),(35 86.98619),(36 87.95592),(37 88.232056),(38 88.44906),(39 88.455826),(40 89.313705),(41 89.29218),(42 88.70597),
(1 2.950168),(2 4.9459534),(3 4.9459567),(4 7.4072447),(5 13.917642),(6 17.22656),(7 17.21803),(8 20.581331),(9 27.826447),(10 30.899773),(11 30.909672),(12 33.505234),(13 39.174957),(14 42.13602),(15 42.13327),(16 45.37215),(17 51.61453),(18 54.80732),(19 54.81422),(20 57.713142),(21 62.014458),(22 64.10186),(23 64.04067),(24 66.721085),(25 69.91669),(26 71.50548),(27 71.61073),(28 73.48541),(29 77.358765),(30 78.156235),(31 78.15224),(32 79.55176),(33 83.70879),(34 84.12989),(35 84.16617),(36 85.239204),(37 87.45822),(38 88.91517),(39 88.88364),(40 89.52685),(41 89.2314),(42 89.01605),
(1 2.835201),(2 5.0553036),(3 5.053108),(4 7.252545),(5 13.253362),(6 16.450361),(7 16.458519),(8 19.901861),(9 26.334177),(10 28.840765),(11 28.86177),(12 30.986076),(13 34.187607),(14 35.761738),(15 35.76656),(16 37.99663),(17 43.37632),(18 45.49404),(19 45.506695),(20 47.656258),(21 51.102913),(22 52.780655),(23 52.83223),(24 54.914528),(25 56.79888),(26 57.74455),(27 57.772945),(28 58.726192),(29 62.271763),(30 63.179665),(31 63.180115),(32 65.14505),(33 70.76943),(34 72.939644),(35 72.96196),(36 74.03139),(37 75.55901),(38 76.840645),(39 76.82071),(40 77.29087),(41 77.16002),(42 75.947685),
(1 2.604708),(2 4.3583093),(3 4.3600936),(4 6.2951646),(5 10.937191),(6 13.489786),(7 13.478302),(8 16.31452),(9 22.205585),(10 24.76516),(11 24.80671),(12 26.52741),(13 30.729258),(14 33.109596),(15 33.1548),(16 35.42573),(17 39.741547),(18 41.268913),(19 41.304897),(20 42.4267),(21 45.873062),(22 48.30188),(23 48.28683),(24 50.424957),(25 54.176014),(26 56.008495),(27 56.072735),(28 57.479958),(29 60.491688),(30 62.045376),(31 62.04779),(32 63.38506),(33 65.01831),(34 66.011635),(35 65.9097),(36 66.588455),(37 68.34215),(38 68.29022),(39 68.25769),(40 69.32023),(41 69.14328),(42 68.686966),
