1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 0.26719126),(2 0.60768336),(3 0.5763331),(4 1.1410043),(5 2.9686897),(6 3.366018),(7 3.3491082),(8 4.006856),(9 5.762013),(10 6.610142),(11 6.6508017),(12 6.7006636),(13 7.6849713),(14 8.386437),(15 8.379399),(16 9.191687),(17 9.924274),(18 9.892102),(19 9.949079),(20 10.753436),(21 10.434337),(22 11.460404),(23 11.459911),(24 11.637738),(25 12.2852335),(26 12.24132),(27 12.394198),(28 11.580304),(29 11.129624),(30 11.448806),(31 11.464055),(32 11.937391),(33 11.452206),(34 10.863075),(35 10.909939),(36 9.741583),(37 8.721076),(38 7.920821),(39 7.936716),(40 7.8683233),(41 9.036804),(42 9.348536),(43 9.376087),(44 9.845513),(45 10.529549),(46 11.094052),
(1 0.32443064),(2 0.8371695),(3 0.84361017),(4 1.4066086),(5 3.7081292),(6 4.7267447),(7 4.7243843),(8 5.827845),(9 8.19046),(10 9.506225),(11 9.557769),(12 10.511915),(13 12.4578),(14 13.07779),(15 13.065324),(16 12.461398),(17 12.100125),(18 12.093956),(19 12.333058),(20 12.416411),(21 11.704476),(22 10.08103),(23 10.081559),(24 10.2832985),(25 10.155711),(26 10.411584),(27 10.418863),(28 10.207494),(29 10.227864),(30 10.940685),(31 10.914926),(32 12.007417),(33 14.520529),(34 14.963571),(35 15.154731),(36 15.500371),(37 14.882034),(38 16.31164),(39 16.337034),(40 17.45371),(41 22.311556),(42 24.78021),(43 25.106438),(44 26.388155),(45 28.60743),(46 31.064236),
(1 0.45233727),(2 1.1443707),(3 1.1976831),(4 1.6906468),(5 3.4812682),(6 4.53955),(7 4.5533075),(8 4.7969856),(9 7.427118),(10 8.365693),(11 8.357806),(12 9.612604),(13 13.902176),(14 16.068733),(15 16.060081),(16 17.447266),(17 18.385883),(18 19.222101),(19 19.289917),(20 19.831406),(21 21.775768),(22 22.419498),(23 22.41987),(24 21.793564),(25 22.693663),(26 24.968075),(27 24.877037),(28 25.295471),(29 25.374289),(30 25.91412),(31 25.88659),(32 27.889874),(33 32.037685),(34 33.26887),(35 33.068233),(36 32.710117),(37 30.859118),(38 30.40678),(39 30.416126),(40 30.505394),(41 34.77447),(42 34.559227),(43 34.499237),(44 35.887497),(45 38.171566),(46 40.09151),
(1 0.8866604),(2 2.0008671),(3 2.0782938),(4 3.187591),(5 6.607454),(6 7.871169),(7 7.883174),(8 9.510921),(9 14.540779),(10 16.104206),(11 16.085882),(12 18.59698),(13 24.551031),(14 27.487072),(15 27.481693),(16 29.617697),(17 31.914341),(18 33.00268),(19 33.0478),(20 34.678596),(21 37.733948),(22 38.919678),(23 38.90414),(24 38.641636),(25 39.8704),(26 39.05779),(27 38.800644),(28 36.81251),(29 37.276863),(30 37.415558),(31 37.416153),(32 37.490417),(33 40.71381),(34 43.325474),(35 43.379425),(36 44.902622),(37 44.790035),(38 43.83431),(39 44.070164),(40 44.076744),(41 47.32559),(42 48.427654),(43 48.538216),(44 50.222565),(45 55.3869),(46 57.70226),
(1 0.85163164),(2 2.0013437),(3 2.00226),(4 2.8184638),(5 5.4111404),(6 6.822242),(7 6.825765),(8 8.977166),(9 13.296937),(10 15.738235),(11 15.760094),(12 18.83195),(13 23.827248),(14 26.205887),(15 26.205791),(16 28.044046),(17 29.036764),(18 29.035677),(19 29.070032),(20 30.566355),(21 31.960123),(22 35.120365),(23 35.120674),(24 34.287914),(25 33.14801),(26 33.070606),(27 32.679916),(28 32.49135),(29 38.644566),(30 40.67476),(31 40.685837),(32 43.095924),(33 49.92997),(34 55.404846),(35 55.438023),(36 59.28375),(37 62.721165),(38 62.78686),(39 62.999794),(40 63.55603),(41 70.73755),(42 73.65936),(43 73.82742),(44 79.62447),(45 89.35118),(46 95.30387),
(1 0.7246272),(2 1.9266912),(3 1.9939106),(4 2.5527816),(5 5.6636987),(6 6.2245817),(7 6.2700496),(8 7.6586185),(9 9.692097),(10 11.290279),(11 11.19852),(12 12.093128),(13 15.061433),(14 17.579964),(15 17.569212),(16 17.913618),(17 18.713604),(18 18.62939),(19 18.69639),(20 19.864922),(21 21.717447),(22 22.082344),(23 22.084604),(24 22.471312),(25 25.623749),(26 28.529863),(27 28.560104),(28 29.746016),(29 32.209465),(30 33.93422),(31 33.939842),(32 34.948368),(33 37.018124),(34 39.9286),(35 39.97097),(36 42.06629),(37 48.15454),(38 51.490658),(39 51.53274),(40 54.632126),(41 60.700233),(42 63.681667),(43 63.615902),(44 66.91481),(45 80.99788),(46 86.052795),
(1 1.0404396),(2 2.459283),(3 2.5344567),(4 3.31454),(5 7.5270987),(6 9.793088),(7 9.779416),(8 11.295208),(9 16.296852),(10 19.414867),(11 19.372084),(12 21.669363),(13 29.304815),(14 32.16532),(15 32.191753),(16 34.781563),(17 36.27338),(18 37.615627),(19 37.67923),(20 39.282207),(21 41.499012),(22 45.424023),(23 45.432724),(24 46.03299),(25 47.334377),(26 47.67308),(27 47.973305),(28 48.220398),(29 47.89468),(30 49.692997),(31 49.695545),(32 49.679893),(33 54.305912),(34 61.233032),(35 61.33331),(36 65.28507),(37 72.00356),(38 75.056496),(39 74.83894),(40 81.05043),(41 92.16267),(42 96.069115),(43 95.948074),(44 100.01105),(45 110.71432),(46 114.38218),
(1 1.4982322),(2 3.2845566),(3 3.4061806),(4 5.1550074),(5 13.323462),(6 17.29472),(7 17.334185),(8 22.267864),(9 29.982183),(10 31.577734),(11 31.545809),(12 34.25573),(13 42.139893),(14 46.540794),(15 46.567608),(16 50.594444),(17 52.504066),(18 54.526222),(19 54.46695),(20 56.84529),(21 61.9851),(22 67.1412),(23 67.14903),(24 70.60115),(25 77.70961),(26 79.60396),(27 79.9594),(28 82.87506),(29 87.39),(30 89.21224),(31 89.23449),(32 91.690544),(33 98.37077),(34 101.40453),(35 101.54185),(36 101.99966),(37 101.56415),(38 103.1582),(39 103.31448),(40 107.66382),(41 116.34244),(42 119.061966),(43 119.29012),(44 121.10211),(45 133.18692),(46 137.52827),
(1 1.5556309),(2 2.813105),(3 2.7996528),(4 4.453743),(5 10.434842),(6 13.660073),(7 13.721411),(8 17.703562),(9 28.76021),(10 34.30142),(11 34.31284),(12 39.54972),(13 51.00361),(14 57.58528),(15 57.62016),(16 65.277405),(17 71.43565),(18 74.4324),(19 74.646935),(20 78.533165),(21 78.32709),(22 83.07828),(23 83.07173),(24 85.6702),(25 88.15108),(26 89.33344),(27 89.09302),(28 90.51115),(29 94.11639),(30 96.779686),(31 96.79045),(32 98.93958),(33 100.53255),(34 99.3573),(35 99.59182),(36 99.19147),(37 101.17157),(38 102.33098),(39 102.44032),(40 104.26554),(41 110.93028),(42 114.41443),(43 114.59618),(44 116.45448),(45 126.06742),(46 129.14963),
(1 1.8702801),(2 3.532167),(3 3.603196),(4 5.440401),(5 11.001974),(6 14.05112),(7 14.108852),(8 16.670889),(9 26.256735),(10 32.515392),(11 32.449787),(12 39.397884),(13 48.022526),(14 53.554768),(15 53.572353),(16 59.500957),(17 62.970276),(18 63.898952),(19 63.9473),(20 65.53573),(21 64.2687),(22 68.21112),(23 68.19947),(24 68.303345),(25 65.4823),(26 65.3529),(27 65.02513),(28 64.51859),(29 66.402626),(30 69.12559),(31 69.13314),(32 71.89356),(33 77.59706),(34 80.209595),(35 79.82536),(36 82.23408),(37 89.34913),(38 94.86919),(39 94.83532),(40 100.95345),(41 110.74721),(42 115.96743),(43 116.59383),(44 119.49626),(45 130.01593),(46 133.21881),
(1 1.8106209),(2 4.229688),(3 4.3480988),(4 6.4530883),(5 12.312023),(6 15.123562),(7 15.137793),(8 18.535725),(9 26.547165),(10 31.855886),(11 31.816349),(12 38.285023),(13 51.54141),(14 60.96899),(15 60.990044),(16 67.33042),(17 71.60737),(18 73.90607),(19 74.333046),(20 75.94602),(21 83.05862),(22 89.90505),(23 89.91135),(24 93.83216),(25 100.17396),(26 102.83636),(27 102.72098),(28 106.17731),(29 114.97924),(30 122.276215),(31 122.292595),(32 128.60455),(33 139.81775),(34 142.69975),(35 143.0547),(36 145.08827),(37 142.80664),(38 142.20703),(39 142.24792),(40 143.1623),(41 141.65094),(42 141.85071),(43 142.09695),(44 145.1099),(45 141.65205),(46 141.78793),
