1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.2654554),(2 0.58524156),(3 0.59430516),(4 0.90032434),(5 1.8589966),(6 2.2922287),(7 2.2909405),(8 2.9176922),(9 4.0739055),(10 4.6524596),(11 4.64272),(12 5.3482785),(13 6.9991302),(14 8.033376),(15 8.037321),(16 8.875148),(17 9.770212),(18 10.185452),(19 10.201388),(20 10.837713),(21 11.892771),(22 12.992703),(23 12.992256),(24 13.604411),(25 14.669076),(26 15.044649),(27 15.042936),(28 15.4911995),(29 16.643154),(30 17.45622),(31 17.45759),(32 18.017414),(33 19.155796),(34 19.838308),(35 19.853086),(36 20.152445),(37 20.286133),(38 20.268438),(39 20.282013),(40 20.585833),(41 21.295877),(42 21.615398),(43 21.617615),(44 21.951532),(45 23.111198),(46 23.673681),
(1 0.4837779),(2 0.9942354),(3 1.0129057),(4 1.4871999),(5 2.94216),(6 3.5326536),(7 3.5359206),(8 4.4483657),(9 6.306846),(10 7.3515873),(11 7.3505206),(12 8.750354),(13 11.53897),(14 13.204842),(15 13.206711),(16 14.601889),(17 16.639599),(18 17.561312),(19 17.594418),(20 18.587122),(21 20.58379),(22 22.686913),(23 22.685694),(24 23.944525),(25 26.1727),(26 27.341328),(27 27.378584),(28 28.496674),(29 30.816933),(30 31.979465),(31 31.980574),(32 32.653416),(33 33.708668),(34 34.139305),(35 34.119457),(36 34.260178),(37 34.1122),(38 34.42613),(39 34.44854),(40 35.043957),(41 36.13136),(42 36.47022),(43 36.474182),(44 37.04624),(45 37.63612),(46 37.74587),
(1 0.5970818),(2 1.2098305),(3 1.2296885),(4 1.8669596),(5 3.658717),(6 4.410495),(7 4.4064784),(8 5.443773),(9 7.6782093),(10 8.900866),(11 8.900976),(12 10.365899),(13 12.706952),(14 13.899608),(15 13.89793),(16 14.870453),(17 16.432072),(18 17.351204),(19 17.360046),(20 18.192167),(21 19.430473),(22 20.622877),(23 20.62078),(24 21.414412),(25 22.940723),(26 23.901302),(27 23.88875),(28 24.901566),(29 27.253561),(30 28.528376),(31 28.527794),(32 29.686678),(33 31.78442),(34 32.642086),(35 32.649303),(36 33.504845),(37 35.40663),(38 36.339558),(39 36.37809),(40 37.19425),(41 38.91873),(42 39.604378),(43 39.599953),(44 40.01956),(45 40.862034),(46 41.206707),
(1 0.7657289),(2 1.6512092),(3 1.6770477),(4 2.628442),(5 5.2107496),(6 6.304779),(7 6.3111076),(8 7.990602),(9 11.513915),(10 12.879927),(11 12.885492),(12 14.575365),(13 17.379246),(14 18.920815),(15 18.920767),(16 20.202671),(17 22.920162),(18 24.220697),(19 24.238823),(20 25.434914),(21 27.152433),(22 28.783842),(23 28.781286),(24 29.556398),(25 31.54557),(26 31.980017),(27 31.981853),(28 32.26208),(29 33.082394),(30 33.536587),(31 33.534225),(32 33.80501),(33 35.025394),(34 35.70122),(35 35.734287),(36 36.488266),(37 38.129673),(38 39.234417),(39 39.23333),(40 40.11985),(41 42.427845),(42 43.618706),(43 43.59897),(44 44.19728),(45 45.12703),(46 45.29627),
(1 0.8703181),(2 1.8143753),(3 1.8344498),(4 2.9062178),(5 5.9485855),(6 7.0856657),(7 7.083006),(8 8.644507),(9 11.4010105),(10 12.310184),(11 12.32508),(12 13.751773),(13 16.467415),(14 17.95689),(15 17.95649),(16 19.215576),(17 21.134718),(18 21.889086),(19 21.901026),(20 22.63081),(21 23.811275),(22 25.092766),(23 25.092224),(24 25.506147),(25 26.818333),(26 27.528357),(27 27.529942),(28 28.210606),(29 30.480133),(30 31.459045),(31 31.456728),(32 31.987726),(33 33.524574),(34 34.48461),(35 34.497524),(36 35.442974),(37 36.73969),(38 37.57388),(39 37.59544),(40 38.53723),(41 40.911823),(42 41.805233),(43 41.79075),(44 42.307503),(45 42.849064),(46 43.128716),
(1 0.8950764),(2 1.7379702),(3 1.7565777),(4 2.6397786),(5 5.104435),(6 6.0989585),(7 6.092795),(8 7.289775),(9 9.510445),(10 10.269336),(11 10.283902),(12 11.31511),(13 13.196802),(14 14.30332),(15 14.301921),(16 14.900645),(17 16.15943),(18 16.722166),(19 16.725304),(20 17.40344),(21 18.715313),(22 20.331656),(23 20.33283),(24 20.96915),(25 21.531012),(26 22.160772),(27 22.185175),(28 22.708126),(29 23.96593),(30 24.581692),(31 24.573399),(32 24.875025),(33 25.66471),(34 26.331543),(35 26.338306),(36 26.81897),(37 27.924032),(38 28.338287),(39 28.358637),(40 28.482893),(41 28.74142),(42 28.906431),(43 28.904846),(44 28.980297),(45 28.943256),(46 29.030188),
(1 1.0633239),(2 2.0976357),(3 2.1282127),(4 3.2061317),(5 6.2344723),(6 7.3101077),(7 7.31856),(8 8.613573),(9 11.308545),(10 12.1755705),(11 12.175671),(12 13.231322),(13 15.032039),(14 15.8875),(15 15.890823),(16 16.526411),(17 18.22464),(18 19.04678),(19 19.076548),(20 19.964249),(21 21.347532),(22 23.04289),(23 23.042946),(24 23.383623),(25 24.067352),(26 24.157047),(27 24.19068),(28 24.455734),(29 25.251652),(30 25.831728),(31 25.830229),(32 26.025743),(33 27.30348),(34 28.111912),(35 28.122526),(36 28.685026),(37 29.57277),(38 29.884705),(39 29.908594),(40 29.909502),(41 29.794643),(42 29.665369),(43 29.654882),(44 29.630844),(45 29.288717),(46 29.373812),
(1 1.1957322),(2 2.417845),(3 2.4417276),(4 3.697122),(5 6.828355),(6 7.7155643),(7 7.7249947),(8 8.883549),(9 10.999055),(10 11.786901),(11 11.792835),(12 12.773744),(13 14.544292),(14 15.270381),(15 15.270041),(16 16.051516),(17 18.107944),(18 18.976643),(19 18.985975),(20 19.62731),(21 19.883379),(22 21.293346),(23 21.293438),(24 21.501867),(25 22.044937),(26 22.444546),(27 22.480032),(28 22.617432),(29 23.65302),(30 24.16727),(31 24.163439),(32 24.475143),(33 25.567766),(34 26.131083),(35 26.1591),(36 26.596796),(37 27.380175),(38 27.88305),(39 27.893671),(40 28.085743),(41 28.664888),(42 28.727568),(43 28.737139),(44 28.965899),(45 29.376255),(46 29.574612),
(1 1.2102776),(2 2.4639637),(3 2.4857566),(4 3.7298095),(5 6.741039),(6 7.81115),(7 7.816808),(8 9.028553),(9 11.212538),(10 12.033272),(11 12.044414),(12 12.993811),(13 14.77582),(14 15.39634),(15 15.397196),(16 15.978873),(17 16.960047),(18 17.49092),(19 17.495277),(20 17.901308),(21 18.090773),(22 19.083124),(23 19.084305),(24 19.18584),(25 19.268192),(26 19.800323),(27 19.838726),(28 20.297075),(29 21.660583),(30 22.365908),(31 22.364641),(32 22.82235),(33 23.650423),(34 24.031788),(35 24.038343),(36 24.467073),(37 25.446432),(38 26.223322),(39 26.219122),(40 26.562283),(41 27.127068),(42 27.075932),(43 27.097914),(44 27.132828),(45 26.944489),(46 26.962719),
(1 1.083233),(2 2.1426528),(3 2.162295),(4 3.2095082),(5 5.6459165),(6 6.533363),(7 6.524992),(8 7.7371173),(9 9.761788),(10 10.514984),(11 10.535033),(12 11.317164),(13 13.10442),(14 13.94468),(15 13.946574),(16 14.478206),(17 15.177912),(18 15.575143),(19 15.593922),(20 15.749581),(21 16.067953),(22 17.435812),(23 17.436588),(24 17.942919),(25 18.866968),(26 19.38152),(27 19.39611),(28 19.95009),(29 20.953127),(30 21.430622),(31 21.4353),(32 21.83024),(33 22.507996),(34 22.738525),(35 22.726772),(36 22.844803),(37 23.44574),(38 23.866459),(39 23.897196),(40 23.940353),(41 23.91746),(42 24.014025),(43 24.045496),(44 24.15612),(45 24.460064),(46 24.470034),
(1 1.1132611),(2 2.0582316),(3 2.0759907),(4 2.9678948),(5 5.1946144),(6 5.910095),(7 5.909702),(8 6.7678304),(9 8.316357),(10 8.977508),(11 8.981491),(12 9.820255),(13 11.225167),(14 11.601938),(15 11.6007395),(16 11.994905),(17 12.646217),(18 13.02656),(19 13.030526),(20 13.295939),(21 13.898186),(22 14.900145),(23 14.90124),(24 15.1768875),(25 15.831017),(26 16.337132),(27 16.378622),(28 16.73604),(29 17.495745),(30 17.726664),(31 17.726885),(32 17.966217),(33 18.100159),(34 18.254347),(35 18.251339),(36 18.699085),(37 19.591745),(38 19.95556),(39 19.975506),(40 20.158655),(41 20.310017),(42 20.258146),(43 20.266785),(44 20.334293),(45 20.816982),(46 20.986135),
