1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,
(1 0.21773155),(2 0.45891336),(3 0.4620965),(4 0.6225741),(5 1.3601228),(6 1.7339761),(7 1.7287331),(8 2.1817696),(9 2.8457701),(10 3.112344),(11 3.098874),(12 3.5268133),(13 4.7355294),(14 5.4873614),(15 5.4923615),(16 5.978521),(17 6.462165),(18 6.725666),(19 6.7254744),(20 7.1983566),(21 8.203069),(22 8.990729),(23 8.990946),(24 9.379753),(25 10.1596155),(26 10.548128),(27 10.582858),(28 10.882031),(29 11.544945),(30 12.023537),(31 12.022897),(32 12.608599),(33 13.889915),(34 14.622746),(35 14.63745),(36 14.978168),(37 15.484),(38 15.817221),(39 15.851102),(40 16.425411),(41 17.674324),(42 17.978394),(43 18.009378),(44 18.4786),(45 20.118761),(46 21.04607),
(1 0.43520308),(2 0.9271946),(3 0.94448453),(4 1.3390645),(5 2.708284),(6 3.3200536),(7 3.3333073),(8 4.0436716),(9 5.7263584),(10 6.779105),(11 6.76316),(12 8.049019),(13 10.906468),(14 12.779808),(15 12.785456),(16 14.365386),(17 16.462013),(18 17.26818),(19 17.308523),(20 18.204363),(21 19.667326),(22 21.377737),(23 21.377838),(24 22.45793),(25 23.725422),(26 24.426062),(27 24.36403),(28 24.92943),(29 26.408571),(30 27.492447),(31 27.494669),(32 28.428934),(33 29.876589),(34 30.488966),(35 30.493633),(36 30.58724),(37 30.305613),(38 30.623314),(39 30.634182),(40 31.339893),(41 32.656948),(42 33.200092),(43 33.24965),(44 33.588043),(45 34.364452),(46 34.490147),
(1 0.5270394),(2 1.0337223),(3 1.0535496),(4 1.3916682),(5 2.7073722),(6 3.2559094),(7 3.256796),(8 4.001314),(9 5.5061793),(10 6.2053075),(11 6.202846),(12 7.154659),(13 9.362242),(14 10.8527775),(15 10.852059),(16 12.272975),(17 14.33248),(18 15.2885),(19 15.294298),(20 16.302448),(21 18.331858),(22 19.931122),(23 19.93064),(24 21.24398),(25 23.741419),(26 24.778486),(27 24.81772),(28 26.080944),(29 28.749268),(30 30.25637),(31 30.25624),(32 31.1472),(33 32.59209),(34 32.829235),(35 32.812237),(36 33.007305),(37 33.30257),(38 33.838722),(39 33.880432),(40 34.732254),(41 36.50329),(42 36.975384),(43 36.99425),(44 37.62872),(45 38.836903),(46 39.238255),
(1 0.826947),(2 1.6561891),(3 1.6818304),(4 2.4834495),(5 4.5868716),(6 5.416245),(7 5.408461),(8 6.7037272),(9 9.710115),(10 11.494896),(11 11.497275),(12 13.803116),(13 17.77973),(14 19.965446),(15 19.962782),(16 21.636847),(17 23.750854),(18 25.082602),(19 25.111885),(20 26.377209),(21 28.116272),(22 29.34305),(23 29.342953),(24 30.132223),(25 32.386185),(26 34.05667),(27 34.097675),(28 35.459393),(29 38.371506),(30 39.96831),(31 39.964363),(32 41.316658),(33 43.340534),(34 43.91995),(35 43.92023),(36 44.46317),(37 46.321507),(38 47.199665),(39 47.246548),(40 47.98241),(41 49.510715),(42 50.19839),(43 50.176292),(44 50.49243),(45 51.215336),(46 51.975685),
(1 0.82192504),(2 1.7248211),(3 1.7494477),(4 2.625776),(5 5.0727744),(6 6.018635),(7 6.0238466),(8 7.6201415),(9 10.947702),(10 12.479922),(11 12.477173),(12 14.234407),(13 16.953243),(14 18.445333),(15 18.443346),(16 20.05015),(17 23.58535),(18 25.115026),(19 25.140009),(20 26.84969),(21 29.289097),(22 31.671902),(23 31.672295),(24 33.068),(25 35.542763),(26 36.284378),(27 36.32899),(28 37.248714),(29 39.07905),(30 39.812237),(31 39.808037),(32 40.79502),(33 43.604298),(34 44.98618),(35 45.021843),(36 46.733227),(37 50.31155),(38 52.27213),(39 52.294033),(40 53.550995),(41 55.484966),(42 56.372437),(43 56.355957),(44 56.45967),(45 56.213745),(46 55.983704),
(1 0.7178144),(2 1.5492519),(3 1.5563862),(4 2.3427255),(5 4.5539064),(6 5.497401),(7 5.491893),(8 7.032007),(9 10.316501),(10 11.6065235),(11 11.636819),(12 13.224819),(13 15.876597),(14 17.131947),(15 17.137543),(16 18.026987),(17 19.894228),(18 20.954212),(19 20.997663),(20 21.719648),(21 22.839277),(22 24.24858),(23 24.249388),(24 25.036354),(25 27.85291),(26 28.576641),(27 28.589554),(28 29.339142),(29 31.35742),(30 31.9538),(31 31.9554),(32 32.158234),(33 33.36348),(34 33.87754),(35 33.89817),(36 34.86925),(37 36.65618),(38 37.449562),(39 37.49763),(40 38.503048),(41 41.026203),(42 42.22262),(43 42.228867),(44 43.040337),(45 44.30776),(46 44.69317),
(1 0.95077246),(2 1.8853873),(3 1.9073547),(4 3.0206914),(5 6.127355),(6 7.218223),(7 7.226545),(8 8.641046),(9 11.367866),(10 12.585213),(11 12.5949745),(12 14.139159),(13 16.999784),(14 18.3847),(15 18.377253),(16 19.650442),(17 21.63612),(18 22.27887),(19 22.283937),(20 23.12196),(21 24.422813),(22 25.69506),(23 25.697115),(24 26.28714),(25 27.014055),(26 27.395227),(27 27.355844),(28 27.831923),(29 29.380655),(30 29.95172),(31 29.952532),(32 30.276217),(33 31.777258),(34 32.463028),(35 32.48035),(36 33.376152),(37 34.445442),(38 35.065487),(39 35.041996),(40 35.60446),(41 37.26193),(42 37.915363),(43 37.86126),(44 37.974525),(45 38.46187),(46 38.82201),
(1 1.113548),(2 2.0787194),(3 2.107462),(4 3.1774082),(5 5.9719152),(6 7.1466103),(7 7.14426),(8 8.809828),(9 12.007107),(10 13.297981),(11 13.320523),(12 14.757821),(13 17.413408),(14 18.942678),(15 18.940529),(16 19.914867),(17 21.784452),(18 22.632683),(19 22.634546),(20 23.468357),(21 25.346697),(22 27.221827),(23 27.225145),(24 27.830667),(25 28.418837),(26 29.063961),(27 29.097095),(28 29.474607),(29 30.359852),(30 30.805271),(31 30.794632),(32 30.881664),(33 31.861214),(34 32.745846),(35 32.776043),(36 33.25223),(37 34.51849),(38 34.892982),(39 34.9317),(40 34.64837),(41 34.89083),(42 35.05731),(43 35.030983),(44 34.803345),(45 35.075375),(46 35.20348),
(1 1.3525887),(2 2.531932),(3 2.5679486),(4 3.5083447),(5 6.27499),(6 7.461077),(7 7.4730825),(8 8.872007),(9 11.642894),(10 12.689253),(11 12.689964),(12 13.844208),(13 16.109129),(14 17.304953),(15 17.311264),(16 18.36107),(17 20.240326),(18 20.934269),(19 20.960857),(20 22.076775),(21 23.331953),(22 25.226677),(23 25.226517),(24 25.480091),(25 25.806864),(26 25.922579),(27 25.915415),(28 26.325537),(29 27.765057),(30 28.759832),(31 28.752733),(32 29.265816),(33 30.782557),(34 31.630854),(35 31.625813),(36 32.494514),(37 33.912045),(38 34.097103),(39 34.138954),(40 33.832893),(41 33.71135),(42 33.72843),(43 33.74544),(44 33.41971),(45 33.0492),(46 32.9292),
(1 1.3382298),(2 2.6348),(3 2.6570811),(4 4.0784097),(5 7.626738),(6 8.8556795),(7 8.863789),(8 10.202069),(9 12.832059),(10 13.662693),(11 13.686722),(12 14.670935),(13 15.968507),(14 16.372223),(15 16.372818),(16 16.744528),(17 18.116163),(18 19.040373),(19 19.056208),(20 19.927599),(21 21.214407),(22 22.76397),(23 22.762476),(24 23.305824),(25 23.460958),(26 23.272976),(27 23.348055),(28 23.22367),(29 23.265509),(30 23.595417),(31 23.590359),(32 23.85654),(33 25.531984),(34 26.213137),(35 26.204756),(36 26.526667),(37 27.31261),(38 27.732094),(39 27.74023),(40 27.864344),(41 28.399393),(42 28.557735),(43 28.575668),(44 28.878815),(45 28.840073),(46 29.02439),
(1 1.0950869),(2 2.2092726),(3 2.228836),(4 3.28726),(5 5.995923),(6 6.863647),(7 6.8696694),(8 8.023652),(9 10.093008),(10 10.92232),(11 10.922608),(12 11.74697),(13 13.407977),(14 14.06662),(15 14.066283),(16 14.848881),(17 16.540512),(18 16.834005),(19 16.828903),(20 17.031689),(21 17.065594),(22 18.378902),(23 18.379702),(24 18.888971),(25 19.31293),(26 19.796717),(27 19.828003),(28 20.161818),(29 21.432056),(30 22.062033),(31 22.056755),(32 22.345385),(33 23.0931),(34 23.539948),(35 23.567488),(36 23.997284),(37 24.83777),(38 25.218859),(39 25.198626),(40 25.144417),(41 24.898611),(42 24.545914),(43 24.533903),(44 24.653841),(45 25.681238),(46 26.28979),
