1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,
(1 0.16614051),(2 0.38717934),(3 0.38699383),(4 0.5397497),(5 0.91513485),(6 1.0673611),(7 1.0524093),(8 1.3213269),(9 1.8879235),(10 2.1408496),(11 2.1365814),(12 2.3414848),(13 3.0226364),(14 3.419519),(15 3.418859),(16 3.640733),(17 3.5503104),(18 3.485342),(19 3.5050755),(20 3.633048),(21 3.9987752),(22 4.2116103),(23 4.2114615),(24 4.3766046),(25 5.0976715),(26 5.623503),(27 5.6023326),(28 6.044334),(29 6.796771),(30 7.213281),(31 7.2103734),(32 7.8761373),(33 9.434098),(34 10.260745),(35 10.274838),(36 10.651594),(37 11.051084),(38 11.4075985),(39 11.4295435),(40 12.146385),(41 13.473083),(42 13.63847),(43 13.666461),(44 14.062997),(45 15.404824),(46 16.474693),
(1 0.1871248),(2 0.4782183),(3 0.48917562),(4 0.6771252),(5 1.4163376),(6 1.6400151),(7 1.6473563),(8 1.9687023),(9 2.8825374),(10 3.3137176),(11 3.3087015),(12 3.8606992),(13 5.312575),(14 6.033793),(15 6.037176),(16 6.453257),(17 7.1823735),(18 7.574119),(19 7.5920773),(20 8.279079),(21 9.181824),(22 10.018514),(23 10.019624),(24 10.398987),(25 11.43543),(26 11.924313),(27 11.942316),(28 12.647295),(29 14.388746),(30 14.941571),(31 14.938689),(32 15.533643),(33 16.94737),(34 17.945671),(35 18.012278),(36 18.334095),(37 19.490576),(38 20.341175),(39 20.376162),(40 21.75513),(41 24.82644),(42 25.963802),(43 25.985643),(44 27.233519),(45 32.302643),(46 34.62311),
(1 0.3325341),(2 0.73917127),(3 0.7564139),(4 1.3068448),(5 2.550938),(6 2.9704268),(7 2.9805222),(8 3.7634518),(9 5.778858),(10 6.843716),(11 6.838434),(12 8.301222),(13 11.3803215),(14 12.966626),(15 12.9705105),(16 14.447115),(17 15.573293),(18 15.777741),(19 15.789894),(20 16.48048),(21 17.002872),(22 17.840643),(23 17.841763),(24 18.280972),(25 18.586718),(26 18.688427),(27 18.68906),(28 18.74212),(29 18.572392),(30 18.667751),(31 18.676094),(32 19.117844),(33 19.828527),(34 20.305304),(35 20.328205),(36 20.435724),(37 21.07721),(38 21.468842),(39 21.48692),(40 22.07201),(41 24.012657),(42 25.063581),(43 25.169472),(44 26.240297),(45 29.920347),(46 31.481571),
(1 0.5581156),(2 1.17168),(3 1.2047606),(4 1.782296),(5 3.2614567),(6 4.0354633),(7 4.038324),(8 4.998868),(9 8.130448),(10 9.631108),(11 9.617447),(12 11.900712),(13 16.34717),(14 19.773197),(15 19.773731),(16 22.688898),(17 26.153511),(18 27.363766),(19 27.395596),(20 28.785831),(21 31.712984),(22 34.267174),(23 34.26657),(24 36.440487),(25 38.98892),(26 40.43148),(27 40.405014),(28 41.784164),(29 45.05508),(30 47.344177),(31 47.35986),(32 48.466892),(33 50.404305),(34 50.69971),(35 50.685333),(36 50.194427),(37 49.23523),(38 49.191654),(39 49.308784),(40 50.028458),(41 50.31844),(42 50.36299),(43 50.349297),(44 50.43659),(45 51.41082),(46 52.16405),
(1 0.74113035),(2 1.4491755),(3 1.4718848),(4 2.1148984),(5 3.8206758),(6 4.356405),(7 4.3486714),(8 5.110129),(9 7.2653103),(10 8.475202),(11 8.478918),(12 10.142509),(13 14.090989),(14 17.140089),(15 17.14209),(16 19.790842),(17 24.162357),(18 26.337769),(19 26.325623),(20 28.34956),(21 32.981297),(22 36.49417),(23 36.49277),(24 39.69293),(25 44.21807),(26 46.808636),(27 46.826088),(28 49.25279),(29 55.07267),(30 57.752438),(31 57.770454),(32 59.73409),(33 63.641926),(34 65.208466),(35 65.23333),(36 65.30572),(37 64.6013),(38 63.476482),(39 63.467445),(40 64.70805),(41 65.335236),(42 64.01956),(43 64.05649),(44 63.284634),(45 62.554996),(46 62.379375),
(1 0.6181432),(2 1.1829596),(3 1.1988643),(4 1.9498359),(5 4.0226717),(6 4.8054395),(7 4.7920494),(8 5.8773317),(9 9.276744),(10 11.049152),(11 11.058428),(12 13.17816),(13 17.67361),(14 20.227257),(15 20.224709),(16 22.215986),(17 24.048332),(18 24.861088),(19 24.861671),(20 25.501884),(21 26.120926),(22 25.998262),(23 25.998419),(24 26.520777),(25 27.643843),(26 28.555561),(27 28.623274),(28 30.005045),(29 32.17127),(30 33.434742),(31 33.440826),(32 34.732464),(33 37.713005),(34 38.124825),(35 38.111217),(36 38.700665),(37 39.513905),(38 39.928562),(39 39.957462),(40 40.330875),(41 41.74938),(42 41.914787),(43 41.887897),(44 42.560066),(45 43.671616),(46 44.46455),
(1 1.1336197),(2 2.2974885),(3 2.3254423),(4 3.6647797),(5 6.0769267),(6 6.815458),(7 6.8064137),(8 8.095189),(9 11.7517),(10 13.770907),(11 13.803058),(12 16.347345),(13 21.032104),(14 23.182663),(15 23.181818),(16 24.672155),(17 26.222729),(18 27.567919),(19 27.651157),(20 28.706831),(21 29.96698),(22 30.804068),(23 30.803082),(24 30.994177),(25 32.45865),(26 33.68912),(27 33.693226),(28 35.41859),(29 40.16981),(30 42.511475),(31 42.51329),(32 44.447304),(33 47.771477),(34 49.218136),(35 49.217297),(36 50.891647),(37 54.056713),(38 55.377247),(39 55.39769),(40 56.93267),(41 60.17402),(42 60.644604),(43 60.693424),(44 61.130077),(45 60.85881),(46 60.64494),
(1 0.87763506),(2 1.8815137),(3 1.9107618),(4 3.0618224),(5 5.554998),(6 6.2722945),(7 6.2797728),(8 7.787884),(9 11.410605),(10 13.442428),(11 13.470829),(12 16.04546),(13 20.361399),(14 22.696804),(15 22.695341),(16 24.621614),(17 27.500532),(18 28.609715),(19 28.618992),(20 29.908546),(21 32.28607),(22 34.587723),(23 34.592083),(24 36.521523),(25 40.43964),(26 42.333042),(27 42.363895),(28 44.523148),(29 48.232506),(30 49.342205),(31 49.324684),(32 50.266533),(33 52.46296),(34 54.182938),(35 54.180054),(36 56.4701),(37 61.56114),(38 64.51668),(39 64.574486),(40 65.64285),(41 67.55509),(42 68.409424),(43 68.32829),(44 68.5041),(45 67.96442),(46 67.2882),
(1 0.7447119),(2 1.5964634),(3 1.6137823),(4 2.6249156),(5 5.0637207),(6 5.8942466),(7 5.910313),(8 7.4038982),(9 11.181775),(10 12.648146),(11 12.651188),(12 14.323959),(13 17.409946),(14 19.63234),(15 19.632448),(16 21.587273),(17 26.819872),(18 29.076607),(19 29.081083),(20 31.425713),(21 35.32015),(22 38.60801),(23 38.607746),(24 40.208878),(25 42.80706),(26 43.718166),(27 43.675777),(28 44.409275),(29 45.101685),(30 45.204548),(31 45.19485),(32 45.340454),(33 47.2033),(34 48.439),(35 48.46884),(36 50.099804),(37 53.228043),(38 55.022392),(39 55.028786),(40 56.518326),(41 59.649204),(42 62.10269),(43 62.11129),(44 64.03462),(45 66.80605),(46 67.46528),
(1 0.8141619),(2 1.8940094),(3 1.9101757),(4 3.281142),(5 6.6960626),(6 8.110252),(7 8.101246),(8 10.336698),(9 14.542446),(10 15.819806),(11 15.830047),(12 17.847597),(13 21.658398),(14 23.4329),(15 23.433985),(16 24.743153),(17 28.357487),(18 30.340757),(19 30.388165),(20 31.630941),(21 33.377823),(22 35.169968),(23 35.16727),(24 35.958088),(25 38.2574),(26 39.00761),(27 39.039207),(28 39.893517),(29 41.580055),(30 42.358154),(31 42.351036),(32 42.687595),(33 44.310913),(34 44.96279),(35 44.99601),(36 45.948174),(37 48.0418),(38 49.85655),(39 49.89779),(40 51.937904),(41 55.2899),(42 56.71841),(43 56.704597),(44 57.76608),(45 59.97085),(46 60.380447),
(1 0.82916206),(2 1.7996918),(3 1.8127589),(4 2.9959123),(5 5.8792963),(6 6.859702),(7 6.8556604),(8 8.707053),(9 12.517317),(10 14.082797),(11 14.111287),(12 16.023483),(13 19.27144),(14 21.224365),(15 21.22448),(16 22.921293),(17 25.93515),(18 26.773954),(19 26.809803),(20 27.624746),(21 28.099463),(22 29.10198),(23 29.106682),(24 29.713346),(25 31.878366),(26 32.54339),(27 32.51649),(28 33.323654),(29 35.67603),(30 36.155457),(31 36.15648),(32 35.76561),(33 36.56252),(34 37.338383),(35 37.359123),(36 37.948223),(37 39.277096),(38 40.298595),(39 40.339592),(40 41.79733),(41 44.20317),(42 45.162647),(43 45.071793),(44 45.100254),(45 45.36923),(46 45.392323),
