1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,
(1 0.23562406),(2 0.5515171),(3 0.5485239),(4 0.8500688),(5 1.6839068),(6 1.9816449),(7 1.9724666),(8 2.2627137),(9 3.2846565),(10 4.0188227),(11 4.021647),(12 4.364459),(13 5.764229),(14 6.3444595),(15 6.3389006),(16 6.6463113),(17 6.774543),(18 7.157745),(19 7.225013),(20 7.7384214),(21 8.433122),(22 8.844087),(23 8.842955),(24 9.139721),(25 9.129612),(26 9.898),(27 9.941124),(28 9.925679),(29 9.903197),(30 10.350794),(31 10.338897),(32 11.100674),(33 12.499723),(34 13.139214),(35 13.150256),(36 13.049276),(37 12.359723),(38 13.067116),(39 13.100544),(40 13.785823),(41 16.61843),(42 17.258114),(43 17.34745),(44 18.226585),(45 20.612057),(46 22.607405),
(1 0.3618498),(2 0.8768208),(3 0.8884583),(4 1.3064393),(5 3.094827),(6 3.8587918),(7 3.837006),(8 4.746657),(9 6.490316),(10 6.9356446),(11 6.8827853),(12 8.048837),(13 10.491755),(14 11.746877),(15 11.74621),(16 12.216546),(17 12.283324),(18 12.459394),(19 12.449102),(20 13.272282),(21 14.730057),(22 15.623719),(23 15.624655),(24 15.74679),(25 16.841055),(26 17.490593),(27 17.443535),(28 17.616497),(29 18.57738),(30 18.941086),(31 18.942698),(32 19.502748),(33 21.41339),(34 23.296171),(35 23.401793),(36 24.456274),(37 24.98536),(38 24.59507),(39 24.602776),(40 24.91819),(41 26.74691),(42 27.836151),(43 27.886356),(44 29.880219),(45 33.576157),(46 36.271484),
(1 0.4130742),(2 1.007852),(3 1.0312258),(4 1.5428613),(5 3.700783),(6 4.522105),(7 4.532586),(8 5.6515965),(9 8.147617),(10 9.045785),(11 8.9886465),(12 10.134643),(13 13.763803),(14 15.822255),(15 15.837488),(16 17.760195),(17 19.308334),(18 20.279676),(19 20.273191),(20 21.37325),(21 22.191072),(22 23.106152),(23 23.106491),(24 23.367788),(25 24.480469),(26 25.179045),(27 25.153425),(28 25.96888),(29 27.312784),(30 28.308949),(31 28.31813),(32 29.127146),(33 31.097351),(34 33.17372),(35 33.187508),(36 34.116123),(37 36.269054),(38 36.897026),(39 36.945625),(40 38.142372),(41 41.248264),(42 42.714237),(43 42.713516),(44 44.470444),(45 50.149525),(46 51.89722),
(1 0.9304669),(2 1.9031806),(3 1.9219303),(4 2.902862),(5 6.456158),(6 7.913669),(7 7.943068),(8 10.14588),(9 16.363214),(10 19.222778),(11 19.212254),(12 22.377642),(13 28.936457),(14 32.95684),(15 32.974453),(16 36.83973),(17 40.50797),(18 41.996517),(19 42.117847),(20 44.903095),(21 45.896587),(22 48.903942),(23 48.9028),(24 49.720833),(25 51.66834),(26 52.74566),(27 52.59143),(28 53.636944),(29 56.37266),(30 58.18129),(31 58.187805),(32 59.458645),(33 61.801334),(34 61.772778),(35 61.75203),(36 62.04447),(37 63.19139),(38 63.83398),(39 63.853497),(40 65.39723),(41 69.055145),(42 70.18831),(43 70.39634),(44 71.09115),(45 76.418076),(46 77.95368),
(1 1.2309004),(2 2.5409858),(3 2.5730135),(4 3.8521452),(5 7.7744465),(6 9.737329),(7 9.742982),(8 12.463344),(9 19.242115),(10 23.729948),(11 23.70479),(12 28.234354),(13 37.51178),(14 42.942287),(15 42.955486),(16 47.65244),(17 51.84108),(18 53.152214),(19 53.318436),(20 55.41104),(21 59.66537),(22 63.15179),(23 63.152405),(24 65.16189),(25 66.09668),(26 66.796555),(27 66.84622),(28 67.712456),(29 71.24022),(30 74.80365),(31 74.824234),(32 77.825165),(33 83.502335),(34 84.40123),(35 84.382065),(36 83.91588),(37 83.62221),(38 84.08259),(39 84.09416),(40 85.69969),(41 89.56351),(42 91.73244),(43 91.95316),(44 93.00997),(45 99.16595),(46 100.44473),
(1 0.9133397),(2 1.9779187),(3 2.0284963),(4 2.9120119),(5 5.772791),(6 7.0733356),(7 7.068449),(8 9.199609),(9 13.672072),(10 16.745901),(11 16.698545),(12 20.633022),(13 28.447153),(14 34.12556),(15 34.136482),(16 39.43282),(17 46.610424),(18 49.863304),(19 49.98234),(20 53.46694),(21 61.157993),(22 69.86747),(23 69.85782),(24 74.76436),(25 83.32491),(26 86.06573),(27 86.18854),(28 90.12669),(29 98.73451),(30 102.29499),(31 102.3188),(32 103.55805),(33 104.70863),(34 105.81595),(35 105.78427),(36 105.24573),(37 102.54259),(38 103.33308),(39 103.49134),(40 105.03596),(41 105.94944),(42 107.23473),(43 107.19998),(44 109.45964),(45 108.45049),(46 108.58025),
(1 1.2955071),(2 2.6471832),(3 2.6941001),(4 3.945949),(5 7.549308),(6 9.102089),(7 9.130267),(8 11.651921),(9 15.977282),(10 17.729725),(11 17.707626),(12 20.547522),(13 26.795984),(14 31.004023),(15 30.991302),(16 33.861256),(17 38.80729),(18 41.003296),(19 40.996258),(20 43.60374),(21 48.746765),(22 54.005253),(23 54.00061),(24 58.17596),(25 66.57102),(26 71.019226),(27 71.11255),(28 74.83376),(29 82.7533),(30 86.09059),(31 86.09152),(32 88.695465),(33 93.82637),(34 95.60711),(35 95.55524),(36 97.24289),(37 97.48087),(38 98.14095),(39 98.08213),(40 99.883606),(41 101.064644),(42 101.231995),(43 101.22657),(44 100.37869),(45 100.89153),(46 100.54322),
(1 1.4732213),(2 2.828613),(3 2.8716807),(4 4.001182),(5 8.21798),(6 10.074991),(7 10.084327),(8 12.425408),(9 16.230247),(10 18.865376),(11 18.830153),(12 22.308014),(13 29.996157),(14 34.359154),(15 34.360477),(16 38.10111),(17 44.193165),(18 46.599537),(19 46.513813),(20 48.92195),(21 51.983585),(22 53.96055),(23 53.956554),(24 56.22758),(25 60.329063),(26 62.026283),(27 62.090206),(28 63.62664),(29 68.09622),(30 72.27945),(31 72.29409),(32 75.252975),(33 81.75577),(34 83.864784),(35 83.8328),(36 85.6884),(37 88.75493),(38 89.81011),(39 89.82287),(40 92.241264),(41 96.88588),(42 98.096275),(43 98.045715),(44 100.33646),(45 104.66038),(46 106.47678),
(1 1.939732),(2 3.950526),(3 3.9918072),(4 6.2810006),(5 12.069568),(6 14.139765),(7 14.129661),(8 17.71002),(9 26.132496),(10 30.598604),(11 30.589638),(12 36.730274),(13 46.266964),(14 50.48226),(15 50.483658),(16 53.537174),(17 57.015),(18 60.47939),(19 60.4919),(20 63.310448),(21 67.84831),(22 72.27189),(23 72.258675),(24 74.8129),(25 80.5891),(26 85.127525),(27 85.29275),(28 87.9828),(29 96.600044),(30 101.83633),(31 101.82708),(32 106.650116),(33 113.53625),(34 115.12554),(35 115.32243),(36 116.93428),(37 120.919174),(38 123.17032),(39 123.28031),(40 124.917725),(41 130.42015),(42 131.8997),(43 131.90549),(44 132.96521),(45 138.51012),(46 140.69908),
(1 1.9411609),(2 3.9679332),(3 4.04449),(4 6.086482),(5 11.703655),(6 13.879708),(7 13.866226),(8 16.969725),(9 25.19828),(10 29.667015),(11 29.74024),(12 35.14935),(13 44.747444),(14 49.88657),(15 49.878796),(16 53.446384),(17 57.389008),(18 59.612442),(19 59.6962),(20 61.497322),(21 63.84954),(22 66.20016),(23 66.2016),(24 67.87759),(25 74.379524),(26 79.03419),(27 78.92621),(28 82.64448),(29 92.29469),(30 96.528656),(31 96.50654),(32 99.678154),(33 106.21865),(34 110.29443),(35 110.40052),(36 113.792755),(37 123.76321),(38 128.88034),(39 128.94481),(40 133.48068),(41 141.77126),(42 144.79628),(43 144.80495),(44 147.22809),(45 147.60971),(46 147.71518),
(1 1.5628607),(2 3.5554001),(3 3.6205735),(4 5.699006),(5 11.393303),(6 13.885355),(7 13.907705),(8 17.84667),(9 25.69952),(10 29.597242),(11 29.657011),(12 34.327374),(13 40.8594),(14 44.472355),(15 44.458336),(16 46.938828),(17 52.161503),(18 55.09251),(19 55.199543),(20 58.75766),(21 62.755394),(22 68.35061),(23 68.338875),(24 71.409615),(25 75.20122),(26 75.50516),(27 75.56902),(28 77.66768),(29 84.12036),(30 87.901375),(31 87.89203),(32 91.23994),(33 97.68887),(34 100.39291),(35 100.360176),(36 105.013466),(37 112.416565),(38 116.882195),(39 117.17439),(40 118.69828),(41 121.8728),(42 123.27751),(43 123.33382),(44 123.180016),(45 122.39915),(46 121.80776),
