1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.26075912),(2 0.5500044),(3 0.5570993),(4 0.84344065),(5 1.6630881),(6 1.9792931),(7 1.9791607),(8 2.4654539),(9 3.4859219),(10 3.9084141),(11 3.907768),(12 4.4476266),(13 5.520409),(14 6.1324844),(15 6.1325684),(16 6.62381),(17 7.2992163),(18 7.645736),(19 7.654367),(20 8.081271),(21 8.808945),(22 9.46187),(23 9.461656),(24 9.815379),(25 10.466943),(26 10.791182),(27 10.792726),(28 11.0355015),(29 11.738377),(30 12.171796),(31 12.171663),(32 12.497802),(33 13.263289),(34 13.560973),(35 13.567177),(36 13.799663),(37 14.253966),(38 14.518215),(39 14.527006),(40 14.854671),(41 15.598286),(42 15.956733),(43 15.953406),(44 16.180094),(45 16.71364),(46 16.984585),
(1 0.43410107),(2 0.8906194),(3 0.9003666),(4 1.3457416),(5 2.6213057),(6 3.1222656),(7 3.1227648),(8 3.8462534),(9 5.2971063),(10 5.943421),(11 5.948343),(12 6.733328),(13 8.238389),(14 9.072998),(15 9.072764),(16 9.721252),(17 10.824055),(18 11.313993),(19 11.3201275),(20 11.844889),(21 12.735176),(22 13.661893),(23 13.662092),(24 14.137305),(25 14.840882),(26 15.273929),(27 15.294029),(28 15.657508),(29 16.527386),(30 17.02168),(31 17.02117),(32 17.331253),(33 18.11472),(34 18.50661),(35 18.513094),(36 18.786142),(37 19.207203),(38 19.418814),(39 19.43762),(40 19.709835),(41 20.390232),(42 20.716482),(43 20.712887),(44 20.932158),(45 21.33415),(46 21.594147),
(1 0.4715348),(2 0.96162367),(3 0.9728192),(4 1.5029277),(5 2.8844786),(6 3.4135187),(7 3.413682),(8 4.090971),(9 5.429422),(10 5.9344378),(11 5.9386425),(12 6.6059794),(13 7.7297106),(14 8.2348995),(15 8.234742),(16 8.67131),(17 9.574021),(18 9.968431),(19 9.977365),(20 10.315217),(21 10.721512),(22 11.4468775),(23 11.446807),(24 11.706016),(25 12.265184),(26 12.561663),(27 12.573502),(28 12.834085),(29 13.581457),(30 13.902399),(31 13.90237),(32 14.088869),(33 14.665743),(34 15.014449),(35 15.023548),(36 15.324979),(37 15.860885),(38 16.14723),(39 16.153458),(40 16.308634),(41 16.798397),(42 16.942024),(43 16.941093),(44 17.049976),(45 17.203253),(46 17.210667),
(1 0.6153967),(2 1.2149491),(3 1.226625),(4 1.833073),(5 3.3715346),(6 3.9441624),(7 3.9460077),(8 4.645634),(9 6.0115485),(10 6.494654),(11 6.502056),(12 7.0436497),(13 7.9942713),(14 8.449384),(15 8.449405),(16 8.778284),(17 9.461012),(18 9.81212),(19 9.816746),(20 10.1336155),(21 10.598516),(22 11.383114),(23 11.38325),(24 11.590942),(25 11.985107),(26 12.270329),(27 12.287421),(28 12.570526),(29 13.241995),(30 13.525525),(31 13.524002),(32 13.635755),(33 14.008306),(34 14.271912),(35 14.2737465),(36 14.49548),(37 14.932826),(38 15.118431),(39 15.134586),(40 15.209048),(41 15.479626),(42 15.669156),(43 15.677246),(44 15.809159),(45 15.934007),(46 16.02151),
(1 0.68336993),(2 1.3200715),(3 1.3326125),(4 1.9400591),(5 3.4302866),(6 3.9486916),(7 3.952527),(8 4.5862226),(9 5.8749366),(10 6.334502),(11 6.3433),(12 6.822966),(13 7.589653),(14 7.8769417),(15 7.876959),(16 8.154735),(17 8.753202),(18 9.098515),(19 9.103293),(20 9.414053),(21 9.786969),(22 10.509982),(23 10.509783),(24 10.635127),(25 11.00031),(26 11.248456),(27 11.26491),(28 11.394334),(29 11.802769),(30 12.038282),(31 12.0369835),(32 12.202751),(33 12.627136),(34 12.828288),(35 12.829885),(36 12.997628),(37 13.357806),(38 13.590793),(39 13.592348),(40 13.696991),(41 13.9580145),(42 13.996964),(43 14.004534),(44 14.152074),(45 14.261701),(46 14.275407),
(1 0.5068584),(2 0.93824506),(3 0.947082),(4 1.349112),(5 2.347793),(6 2.7078824),(7 2.709184),(8 3.1619568),(9 3.9400773),(10 4.22806),(11 4.2364426),(12 4.52931),(13 5.1011357),(14 5.3810015),(15 5.3809075),(16 5.5791516),(17 5.918877),(18 6.1099987),(19 6.117348),(20 6.2507615),(21 6.441462),(22 6.9243565),(23 6.924232),(24 6.977461),(25 7.2094893),(26 7.3525057),(27 7.3633847),(28 7.510966),(29 7.864552),(30 7.9984627),(31 7.999526),(32 8.051117),(33 8.295056),(34 8.393275),(35 8.400245),(36 8.473486),(37 8.643591),(38 8.762069),(39 8.771349),(40 8.826913),(41 8.932987),(42 8.980244),(43 8.986417),(44 9.077004),(45 9.206074),(46 9.270675),
(1 0.57603335),(2 1.0203176),(3 1.0295091),(4 1.4209355),(5 2.3961632),(6 2.6981301),(7 2.701741),(8 3.0767708),(9 3.918585),(10 4.2212286),(11 4.229628),(12 4.526728),(13 4.86627),(14 5.113973),(15 5.1139717),(16 5.3261824),(17 5.731444),(18 5.920666),(19 5.924248),(20 6.051367),(21 6.154412),(22 6.631274),(23 6.631091),(24 6.6898346),(25 6.9595337),(26 7.117789),(27 7.1322913),(28 7.2622347),(29 7.5067973),(30 7.6199913),(31 7.620363),(32 7.656895),(33 7.813033),(34 7.940417),(35 7.948523),(36 8.107995),(37 8.354114),(38 8.496912),(39 8.50431),(40 8.578114),(41 8.69042),(42 8.70282),(43 8.708028),(44 8.721579),(45 8.758296),(46 8.81525),
(1 0.52351373),(2 0.9182633),(3 0.9263485),(4 1.2377248),(5 2.1103773),(6 2.3710866),(7 2.3766582),(8 2.727892),(9 3.3724217),(10 3.5642166),(11 3.5722773),(12 3.7928843),(13 4.198485),(14 4.469771),(15 4.4695272),(16 4.659513),(17 4.9737024),(18 5.134801),(19 5.139646),(20 5.30252),(21 5.4588494),(22 5.8965425),(23 5.896542),(24 5.940368),(25 6.0846944),(26 6.1928115),(27 6.2042327),(28 6.309421),(29 6.4316072),(30 6.4854937),(31 6.48615),(32 6.5584865),(33 6.7495985),(34 6.8582387),(35 6.8687468),(36 6.99273),(37 7.094037),(38 7.1845555),(39 7.189656),(40 7.244323),(41 7.389364),(42 7.423264),(43 7.432479),(44 7.504539),(45 7.5200152),(46 7.5275183),
(1 0.5028244),(2 0.84768456),(3 0.85513496),(4 1.0867631),(5 1.8192605),(6 2.0451682),(7 2.0497818),(8 2.3265564),(9 2.910509),(10 3.1115658),(11 3.1192057),(12 3.338642),(13 3.617391),(14 3.8175652),(15 3.8174493),(16 3.9837773),(17 4.20236),(18 4.3233447),(19 4.326069),(20 4.4383945),(21 4.580224),(22 5.011855),(23 5.0117736),(24 5.0757694),(25 5.217624),(26 5.285878),(27 5.3087935),(28 5.3582444),(29 5.5044475),(30 5.570473),(31 5.5703783),(32 5.620313),(33 5.7422576),(34 5.8157964),(35 5.821495),(36 5.876616),(37 5.9518657),(38 6.0283327),(39 6.030249),(40 6.0948005),(41 6.2006774),(42 6.244971),(43 6.2452874),(44 6.267569),(45 6.2690954),(46 6.271616),
(1 0.43490198),(2 0.72682005),(3 0.73368955),(4 0.90635014),(5 1.5535246),(6 1.7264708),(7 1.731577),(8 1.9654357),(9 2.4331956),(10 2.5902147),(11 2.5951276),(12 2.7731032),(13 3.055007),(14 3.2543676),(15 3.2543416),(16 3.3733933),(17 3.5909448),(18 3.7169323),(19 3.7218082),(20 3.8191633),(21 3.9009445),(22 4.2699056),(23 4.269716),(24 4.3334203),(25 4.4736724),(26 4.5450654),(27 4.561625),(28 4.5801935),(29 4.6803937),(30 4.730829),(31 4.7305083),(32 4.743769),(33 4.8402042),(34 4.9302597),(35 4.93404),(36 5.023693),(37 5.078798),(38 5.101782),(39 5.1062574),(40 5.1338463),(41 5.2077975),(42 5.229183),(43 5.2323937),(44 5.24258),(45 5.228278),(46 5.231079),
(1 0.36428058),(2 0.6026484),(3 0.6102137),(4 0.7354763),(5 1.2226301),(6 1.3650618),(7 1.3686835),(8 1.5396066),(9 1.9097599),(10 2.0152767),(11 2.019825),(12 2.1385531),(13 2.3606718),(14 2.501309),(15 2.5013955),(16 2.6013155),(17 2.7314346),(18 2.8319383),(19 2.8357918),(20 2.909784),(21 2.9854078),(22 3.309548),(23 3.3095915),(24 3.3712742),(25 3.5105217),(26 3.5722375),(27 3.5829551),(28 3.572428),(29 3.5842662),(30 3.6462345),(31 3.6457922),(32 3.6840727),(33 3.7955935),(34 3.8441348),(35 3.8478537),(36 3.8808374),(37 3.9112842),(38 3.9311924),(39 3.9338217),(40 3.9518569),(41 4.0258136),(42 4.0777016),(43 4.0798965),(44 4.111121),(45 4.1439834),(46 4.172956),
(1 0.39832997),(2 0.6493002),(3 0.65585315),(4 0.77696246),(5 1.2963933),(6 1.4479073),(7 1.4518127),(8 1.6555449),(9 2.0201888),(10 2.1533217),(11 2.1593354),(12 2.3012304),(13 2.4864275),(14 2.647019),(15 2.6471324),(16 2.7699826),(17 2.8949823),(18 2.9886682),(19 2.9934995),(20 3.0741215),(21 3.1368308),(22 3.4706762),(23 3.4706988),(24 3.4996526),(25 3.6307793),(26 3.7056031),(27 3.7200704),(28 3.7152867),(29 3.786802),(30 3.848885),(31 3.8488379),(32 3.8765724),(33 3.9582117),(34 3.9923425),(35 3.9957592),(36 4.052034),(37 4.1233606),(38 4.1330743),(39 4.137229),(40 4.169424),(41 4.1833935),(42 4.198007),(43 4.2007113),(44 4.249573),(45 4.295536),(46 4.2862225),
(1 0.36309505),(2 0.57543623),(3 0.5812717),(4 0.67569256),(5 1.1424654),(6 1.2917362),(7 1.2957065),(8 1.4640417),(9 1.762619),(10 1.8682832),(11 1.8736452),(12 1.9814636),(13 2.1720169),(14 2.3031557),(15 2.3031428),(16 2.3821855),(17 2.4973447),(18 2.5895712),(19 2.5945456),(20 2.6598353),(21 2.7124329),(22 2.9881055),(23 2.9878736),(24 3.0234973),(25 3.0891316),(26 3.1274874),(27 3.1367614),(28 3.144131),(29 3.2285993),(30 3.3086991),(31 3.3088555),(32 3.325639),(33 3.3926766),(34 3.4287927),(35 3.431853),(36 3.467919),(37 3.5153437),(38 3.5418372),(39 3.5463657),(40 3.5407603),(41 3.5711403),(42 3.600249),(43 3.6026402),(44 3.6193845),(45 3.673565),(46 3.6842406),
(1 0.30090648),(2 0.46774924),(3 0.4728536),(4 0.56045634),(5 0.9553493),(6 1.0691389),(7 1.0725346),(8 1.20188),(9 1.4587471),(10 1.541657),(11 1.5468912),(12 1.6381292),(13 1.7789193),(14 1.8801988),(15 1.880301),(16 1.9512119),(17 2.0500135),(18 2.1107724),(19 2.1158562),(20 2.177573),(21 2.210872),(22 2.460422),(23 2.4604046),(24 2.484019),(25 2.5658367),(26 2.6108325),(27 2.621004),(28 2.6303658),(29 2.6880949),(30 2.72459),(31 2.7246234),(32 2.726682),(33 2.7833912),(34 2.8156893),(35 2.8180592),(36 2.847168),(37 2.8927398),(38 2.897564),(39 2.9022639),(40 2.8961127),(41 2.924412),(42 2.948055),(43 2.9511197),(44 2.9768023),(45 3.013035),(46 3.000214),
(1 0.2672353),(2 0.40775597),(3 0.41287053),(4 0.47918725),(5 0.79721755),(6 0.89379144),(7 0.89627653),(8 1.0052557),(9 1.2115705),(10 1.2729623),(11 1.2770666),(12 1.3499012),(13 1.4692956),(14 1.5673847),(15 1.5674255),(16 1.6150113),(17 1.70445),(18 1.7568778),(19 1.7605417),(20 1.8175981),(21 1.849257),(22 2.092196),(23 2.0922518),(24 2.1318445),(25 2.1940002),(26 2.215588),(27 2.2251284),(28 2.2198093),(29 2.2731113),(30 2.2990396),(31 2.299336),(32 2.3080204),(33 2.3371346),(34 2.3712006),(35 2.3747077),(36 2.4003143),(37 2.449375),(38 2.46669),(39 2.4705644),(40 2.4706712),(41 2.4890954),(42 2.5172884),(43 2.5208051),(44 2.5386465),(45 2.563323),(46 2.5460517),
(1 0.23512276),(2 0.34627053),(3 0.3520211),(4 0.4097447),(5 0.71119076),(6 0.7991436),(7 0.8016398),(8 0.8967161),(9 1.0668972),(10 1.113234),(11 1.1181676),(12 1.1712428),(13 1.2692316),(14 1.3524903),(15 1.3526443),(16 1.4042958),(17 1.4604362),(18 1.5092732),(19 1.5131497),(20 1.5505545),(21 1.5874069),(22 1.7961787),(23 1.7962208),(24 1.8223507),(25 1.8486534),(26 1.8662314),(27 1.8763168),(28 1.8838791),(29 1.9293493),(30 1.9726887),(31 1.9726844),(32 1.9815147),(33 2.025279),(34 2.055159),(35 2.0571744),(36 2.065637),(37 2.101503),(38 2.1289084),(39 2.1325917),(40 2.1346827),(41 2.158693),(42 2.1713824),(43 2.1731439),(44 2.1897902),(45 2.2114768),(46 2.196406),
(1 0.21420622),(2 0.32200947),(3 0.3277994),(4 0.37984738),(5 0.645436),(6 0.72179276),(7 0.7243186),(8 0.8070415),(9 0.9710206),(10 1.0189555),(11 1.0229571),(12 1.0839448),(13 1.1758056),(14 1.2469047),(15 1.2469175),(16 1.290356),(17 1.3557534),(18 1.4037602),(19 1.4069545),(20 1.4341434),(21 1.448853),(22 1.6447464),(23 1.6448575),(24 1.6726922),(25 1.7155681),(26 1.7440231),(27 1.756485),(28 1.7596167),(29 1.8074806),(30 1.8446589),(31 1.8447152),(32 1.8539095),(33 1.8580306),(34 1.8788817),(35 1.8807464),(36 1.8963546),(37 1.9253305),(38 1.9385229),(39 1.9408275),(40 1.942163),(41 1.975161),(42 1.986761),(43 1.9876838),(44 1.9955776),(45 2.0077395),(46 2.0138052),
(1 0.18368736),(2 0.27315006),(3 0.278419),(4 0.32573244),(5 0.5574076),(6 0.61301863),(7 0.6154),(8 0.68086684),(9 0.8049181),(10 0.84738165),(11 0.8518232),(12 0.9052526),(13 0.98701316),(14 1.044369),(15 1.0443625),(16 1.0732353),(17 1.1247277),(18 1.1685768),(19 1.1718917),(20 1.1959356),(21 1.2221731),(22 1.4161571),(23 1.416196),(24 1.440763),(25 1.4684471),(26 1.4883744),(27 1.4985079),(28 1.5058092),(29 1.5540648),(30 1.5715424),(31 1.5715973),(32 1.5742694),(33 1.5970583),(34 1.6091459),(35 1.6110835),(36 1.6180977),(37 1.6392429),(38 1.6528703),(39 1.65465),(40 1.657438),(41 1.676847),(42 1.6716188),(43 1.6717422),(44 1.6777022),(45 1.6800508),(46 1.6879002),
