1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.0002923709),(2 2.0834463),(3 7.110958),(4 10.616066),(5 10.633283),(6 13.449485),(7 19.997744),(8 20.60291),(9 20.62594),(10 20.932577),(11 25.281609),(12 27.848282),(13 27.827625),(14 29.078262),(15 28.934137),(16 28.473667),(17 28.470306),(18 29.955196),(19 31.800926),(20 33.80219),(21 33.8309),(22 34.77641),(23 37.408737),(24 38.07446),(25 38.065086),(26 37.81174),(27 35.87481),(28 38.589977),(29 38.594883),(30 39.595295),(31 40.286755),(32 41.76934),(33 41.771065),(34 41.413002),(35 43.116352),(36 42.445198),(37 42.47159),(38 47.61973),(39 49.050793),(40 50.687077),(41 50.694756),(42 51.646038),(43 55.774902),(44 58.52468),(45 58.48688),(46 58.92764),(47 67.26273),(48 65.132576),(49 65.12823),(50 65.13795),
(1 0.00040325362),(2 2.8950653),(3 9.339333),(4 13.408623),(5 13.407289),(6 16.890026),(7 26.271488),(8 28.111635),(9 28.120323),(10 27.198816),(11 32.152126),(12 34.88412),(13 34.86748),(14 36.085423),(15 37.572132),(16 38.74402),(17 38.7324),(18 40.7947),(19 44.04834),(20 47.07915),(21 47.09104),(22 48.99643),(23 50.08328),(24 51.860264),(25 51.8854),(26 52.459183),(27 51.77398),(28 53.62353),(29 53.621998),(30 54.11093),(31 54.63127),(32 56.25576),(33 56.254547),(34 56.01372),(35 56.11776),(36 57.112732),(37 57.121567),(38 63.540897),(39 65.54589),(40 65.82633),(41 65.81306),(42 65.335014),(43 68.14882),(44 71.81531),(45 71.846954),(46 71.13803),(47 79.90726),(48 79.7898),(49 79.75555),(50 79.78872),
(1 0.00047475589),(2 2.564883),(3 10.88109),(4 14.632755),(5 14.632455),(6 16.350311),(7 22.7713),(8 25.93343),(9 25.9352),(10 26.6149),(11 30.213175),(12 33.444576),(13 33.4662),(14 34.266296),(15 37.3218),(16 38.942265),(17 38.9238),(18 40.593334),(19 41.710518),(20 43.54682),(21 43.567307),(22 45.049793),(23 45.07438),(24 46.016796),(25 46.02908),(26 46.939026),(27 49.48811),(28 52.458294),(29 52.479862),(30 53.343655),(31 55.76478),(32 57.219044),(33 57.23518),(34 56.68108),(35 57.745216),(36 57.654724),(37 57.67265),(38 59.075768),(39 61.069183),(40 61.93914),(41 61.9325),(42 60.832756),(43 61.29316),(44 63.26612),(45 63.277176),(46 63.516262),(47 70.09095),(48 70.493904),(49 70.48032),(50 70.48765),
(1 0.0005866158),(2 2.7143443),(3 11.015483),(4 15.059258),(5 15.064152),(6 17.501219),(7 23.077799),(8 25.533697),(9 25.527628),(10 26.286825),(11 30.30295),(12 32.468964),(13 32.48489),(14 33.669537),(15 37.002735),(16 38.579414),(17 38.583206),(18 40.09891),(19 42.07866),(20 46.104286),(21 46.107754),(22 47.394627),(23 49.02186),(24 50.21655),(25 50.226433),(26 52.173973),(27 53.251316),(28 54.007534),(29 54.02812),(30 53.762524),(31 54.53574),(32 54.97028),(33 55.040646),(34 55.182842),(35 55.87631),(36 56.52176),(37 56.516193),(38 57.785805),(39 57.230408),(40 56.912666),(41 56.902184),(42 56.925907),(43 57.184265),(44 57.504425),(45 57.484085),(46 58.603287),(47 61.389446),(48 61.436382),(49 61.450043),(50 61.435787),
(1 0.0006406178),(2 2.489772),(3 10.450227),(4 14.70644),(5 14.718074),(6 16.56171),(7 21.249634),(8 24.595867),(9 24.62311),(10 25.500662),(11 29.369173),(12 32.10802),(13 32.109615),(14 33.78139),(15 37.421715),(16 37.05627),(17 37.058685),(18 38.34564),(19 37.73495),(20 39.44009),(21 39.437977),(22 40.42721),(23 42.484726),(24 42.9438),(25 42.96191),(26 44.2557),(27 45.09279),(28 46.374924),(29 46.378014),(30 47.04744),(31 45.74312),(32 46.0936),(33 46.0666),(34 45.880543),(35 45.894466),(36 45.72951),(37 45.736256),(38 45.973034),(39 46.82351),(40 46.17477),(41 46.183434),(42 45.437912),(43 47.187847),(44 47.80898),(45 47.832172),(46 47.806767),(47 50.225204),(48 50.658764),(49 50.673016),(50 50.65508),
(1 0.00054007105),(2 1.8868777),(3 7.0330863),(4 10.367743),(5 10.379735),(6 12.53349),(7 15.235144),(8 17.015463),(9 17.033388),(10 18.168827),(11 20.629307),(12 22.889717),(13 22.875553),(14 24.05662),(15 26.715929),(16 26.288515),(17 26.289562),(18 27.057856),(19 26.806915),(20 28.27329),(21 28.256859),(22 28.13322),(23 29.544264),(24 30.07204),(25 30.087526),(26 30.188965),(27 31.714748),(28 31.978563),(29 32.00241),(30 32.02177),(31 30.615274),(32 30.105793),(33 30.079947),(34 28.777506),(35 30.65435),(36 30.781233),(37 30.759176),(38 31.506968),(39 30.765928),(40 30.93821),(41 30.963596),(42 30.93119),(43 30.288084),(44 31.253029),(45 31.252844),(46 31.773836),(47 32.167973),(48 32.813427),(49 32.82036),(50 32.813667),
(1 0.00062650663),(2 1.6747681),(3 7.2022033),(4 9.876929),(5 9.878209),(6 11.867125),(7 14.701236),(8 16.730133),(9 16.745773),(10 17.500204),(11 20.025398),(12 21.792696),(13 21.809206),(14 22.784513),(15 25.348557),(16 25.277254),(17 25.272102),(18 25.778841),(19 25.719538),(20 27.829811),(21 27.832647),(22 28.656054),(23 30.288507),(24 30.703608),(25 30.709124),(26 31.959911),(27 32.34001),(28 32.546585),(29 32.554974),(30 32.43598),(31 32.203312),(32 32.125423),(33 32.130432),(34 31.750183),(35 32.573273),(36 31.798143),(37 31.771563),(38 31.984684),(39 32.2802),(40 32.34408),(41 32.37091),(42 32.397068),(43 32.172993),(44 32.390324),(45 32.358086),(46 32.465427),(47 32.46621),(48 33.084568),(49 33.092724),(50 33.09042),
(1 0.00063314976),(2 1.5655785),(3 6.1841087),(4 9.338074),(5 9.35591),(6 11.310622),(7 14.105227),(8 15.903942),(9 15.91268),(10 16.904562),(11 18.623465),(12 20.154886),(13 20.189383),(14 20.396963),(15 21.543314),(16 21.734224),(17 21.732183),(18 22.274992),(19 23.484636),(20 25.234879),(21 25.24807),(22 25.32304),(23 25.561878),(24 26.38205),(25 26.397482),(26 27.107443),(27 27.15626),(28 26.69827),(29 26.697435),(30 26.963892),(31 26.87175),(32 27.247135),(33 27.296034),(34 26.843338),(35 27.359608),(36 27.058426),(37 27.054468),(38 27.373709),(39 26.72066),(40 27.419065),(41 27.422264),(42 27.26394),(43 27.50499),(44 28.085331),(45 28.084665),(46 27.736116),(47 28.092714),(48 28.463781),(49 28.466763),(50 28.463692),
(1 0.0006520984),(2 1.4152365),(3 5.474107),(4 8.210051),(5 8.215998),(6 9.764668),(7 12.798976),(8 14.552564),(9 14.561899),(10 15.728077),(11 16.649696),(12 18.066137),(13 18.075455),(14 18.389273),(15 19.951096),(16 19.894054),(17 19.891043),(18 20.711367),(19 21.64002),(20 23.786217),(21 23.77829),(22 24.35247),(23 24.348719),(24 24.85983),(25 24.85424),(26 25.195208),(27 25.0074),(28 23.90661),(29 23.916693),(30 23.861103),(31 23.770493),(32 23.69261),(33 23.709135),(34 23.241444),(35 23.887264),(36 23.745872),(37 23.74458),(38 23.901545),(39 24.48428),(40 25.185993),(41 25.179674),(42 24.70807),(43 24.601097),(44 25.109016),(45 25.125443),(46 25.089655),(47 25.139172),(48 25.219505),(49 25.216587),(50 25.224562),
(1 0.0006318518),(2 1.3691623),(3 5.3850975),(4 7.9234943),(5 7.928964),(6 9.337088),(7 11.352896),(8 12.506983),(9 12.507727),(10 13.322652),(11 15.031103),(12 16.293331),(13 16.285212),(14 16.9315),(15 17.246891),(16 17.416769),(17 17.41649),(18 18.10959),(19 18.851315),(20 20.733406),(21 20.728191),(22 20.963858),(23 21.41188),(24 21.860083),(25 21.863611),(26 21.762293),(27 21.700966),(28 21.546),(29 21.547033),(30 21.872963),(31 21.939949),(32 21.72759),(33 21.74932),(34 21.457897),(35 21.722342),(36 22.091236),(37 22.109362),(38 22.127344),(39 22.36874),(40 22.582651),(41 22.565773),(42 22.332138),(43 21.712563),(44 22.173582),(45 22.177979),(46 22.334898),(47 22.486393),(48 22.401754),(49 22.405048),(50 22.40456),
(1 0.0005606754),(2 1.0754635),(3 3.9900305),(4 5.731999),(5 5.742628),(6 6.8155723),(7 8.64828),(8 9.762928),(9 9.783194),(10 10.3566265),(11 11.464112),(12 12.632206),(13 12.639895),(14 13.077067),(15 13.887004),(16 13.589362),(17 13.588004),(18 14.151834),(19 14.608609),(20 16.035637),(21 16.03288),(22 16.073153),(23 16.376955),(24 16.46399),(25 16.474247),(26 16.535433),(27 15.714215),(28 15.724586),(29 15.730718),(30 16.115177),(31 15.804688),(32 15.387879),(33 15.403893),(34 15.110669),(35 15.484145),(36 15.924072),(37 15.930685),(38 15.844664),(39 15.955277),(40 16.161959),(41 16.15509),(42 16.01557),(43 15.897238),(44 16.233356),(45 16.233564),(46 16.515696),(47 17.056124),(48 17.248981),(49 17.252884),(50 17.251049),
(1 0.0007369197),(2 1.2200446),(3 4.413709),(4 6.420941),(5 6.4304094),(6 7.756815),(7 9.673711),(8 11.101182),(9 11.113433),(10 11.800294),(11 12.789769),(12 13.873677),(13 13.881541),(14 14.197202),(15 15.12258),(16 15.32175),(17 15.329332),(18 15.82613),(19 15.698035),(20 17.279919),(21 17.275944),(22 17.506334),(23 17.871925),(24 18.063953),(25 18.061417),(26 18.03532),(27 18.24904),(28 18.240343),(29 18.235558),(30 18.651836),(31 18.783226),(32 19.079376),(33 19.111784),(34 18.905281),(35 18.85965),(36 18.935219),(37 18.946968),(38 18.597498),(39 18.412191),(40 18.534927),(41 18.539473),(42 18.336277),(43 18.196857),(44 18.599176),(45 18.583857),(46 18.704699),(47 19.267408),(48 19.47948),(49 19.469933),(50 19.480703),
