1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.00033336505),(2 1.9505635),(3 7.2050214),(4 9.59325),(5 9.601037),(6 12.653735),(7 18.271904),(8 19.232658),(9 19.261177),(10 20.357653),(11 23.883352),(12 26.263205),(13 26.257772),(14 29.01221),(15 25.898996),(16 25.59782),(17 25.58578),(18 26.123573),(19 27.190363),(20 28.260996),(21 28.292896),(22 27.823238),(23 31.500917),(24 32.556442),(25 32.526283),(26 32.85593),(27 32.781265),(28 36.412777),(29 36.409817),(30 37.75555),(31 38.19742),(32 38.050915),(33 38.044025),(34 37.37192),(35 38.014004),(36 37.939976),(37 37.9185),(38 41.100506),(39 45.078373),(40 45.52941),(41 45.507225),(42 43.714073),(43 42.049015),(44 44.709152),(45 44.68098),(46 46.522133),(47 58.481472),(48 57.2237),(49 57.23741),(50 57.229725),
(1 0.00043533402),(2 2.497558),(3 10.397295),(4 17.584454),(5 17.606575),(6 23.833513),(7 32.30533),(8 32.883022),(9 32.93147),(10 33.319954),(11 37.493347),(12 40.44682),(13 40.4055),(14 42.590446),(15 40.09389),(16 40.19985),(17 40.204227),(18 42.93668),(19 46.933243),(20 51.033928),(21 51.08476),(22 52.409508),(23 54.981876),(24 57.450413),(25 57.38752),(26 54.746582),(27 50.040783),(28 52.82782),(29 52.86185),(30 53.248287),(31 51.921684),(32 54.461823),(33 54.443623),(34 54.086742),(35 54.689907),(36 52.293884),(37 52.331017),(38 54.372097),(39 58.34961),(40 62.029938),(41 62.013096),(42 65.38036),(43 70.62242),(44 76.23866),(45 76.21126),(46 78.552),(47 69.79583),(48 66.280205),(49 66.26467),(50 66.30113),
(1 0.0004401474),(2 2.5314891),(3 7.960501),(4 13.805813),(5 13.811491),(6 18.870777),(7 28.928503),(8 30.315897),(9 30.312567),(10 30.543299),(11 35.368893),(12 38.20466),(13 38.145294),(14 39.607784),(15 41.223057),(16 43.06899),(17 43.058563),(18 45.980747),(19 48.682945),(20 54.06797),(21 54.09264),(22 56.22007),(23 59.391644),(24 60.048653),(25 60.10855),(26 57.122017),(27 55.589203),(28 58.35851),(29 58.374798),(30 61.231922),(31 62.526237),(32 63.39633),(33 63.43934),(34 61.71827),(35 60.268612),(36 60.619514),(37 60.68589),(38 66.50621),(39 70.987595),(40 73.95283),(41 73.92539),(42 74.24572),(43 74.2445),(44 81.133675),(45 81.20779),(46 84.116776),(47 102.882675),(48 102.95463),(49 102.95843),(50 102.96005),
(1 0.0007883298),(2 3.8676238),(3 10.691978),(4 15.279204),(5 15.281667),(6 21.376028),(7 30.90981),(8 32.432163),(9 32.43913),(10 34.512287),(11 42.599705),(12 47.907803),(13 47.952892),(14 50.30141),(15 50.027214),(16 51.13179),(17 51.142124),(18 53.93056),(19 58.950806),(20 63.91838),(21 63.967194),(22 67.24246),(23 71.14469),(24 71.29415),(25 71.36711),(26 71.11347),(27 75.871124),(28 77.21011),(29 77.20082),(30 77.609985),(31 78.97351),(32 77.03872),(33 77.10093),(34 72.0267),(35 68.8825),(36 71.5252),(37 71.50304),(38 82.12765),(39 84.67514),(40 85.62757),(41 85.70817),(42 87.95439),(43 90.5406),(44 94.200066),(45 94.21299),(46 96.58614),(47 115.44911),(48 114.32222),(49 114.28269),(50 114.31763),
(1 0.00090315496),(2 4.9319067),(3 18.356411),(4 21.954287),(5 21.951899),(6 24.674755),(7 37.518425),(8 40.400906),(9 40.428738),(10 43.34251),(11 48.57121),(12 53.80526),(13 53.869453),(14 56.341618),(15 58.905537),(16 59.919815),(17 59.889614),(18 64.00248),(19 70.09407),(20 73.42809),(21 73.432556),(22 76.05036),(23 77.6494),(24 76.99597),(25 76.94473),(26 76.74187),(27 81.532455),(28 80.252205),(29 80.37371),(30 84.04137),(31 85.80191),(32 87.40029),(33 87.46365),(34 82.46485),(35 77.566086),(36 78.62459),(37 78.61411),(38 85.10837),(39 91.08895),(40 91.92325),(41 91.91754),(42 93.175995),(43 95.4728),(44 98.94737),(45 98.880295),(46 98.9919),(47 117.046074),(48 117.49122),(49 117.51617),(50 117.49718),
(1 0.00062682916),(2 3.10244),(3 12.968794),(4 17.411856),(5 17.392773),(6 18.917671),(7 26.7447),(8 30.602144),(9 30.587172),(10 31.894564),(11 36.240097),(12 39.97574),(13 39.996708),(14 41.35198),(15 42.385975),(16 41.56162),(17 41.54911),(18 40.858585),(19 40.335793),(20 43.56785),(21 43.622555),(22 46.091496),(23 49.342373),(24 50.118237),(25 50.112976),(26 50.8425),(27 53.18453),(28 55.445076),(29 55.410934),(30 55.943428),(31 59.06388),(32 62.692986),(33 62.586952),(34 61.448067),(35 64.42841),(36 66.69694),(37 66.639626),(38 68.81937),(39 69.02855),(40 69.80863),(41 69.709755),(42 68.51957),(43 67.075806),(44 70.06135),(45 70.10889),(46 71.0285),(47 76.2471),(48 78.33597),(49 78.319305),(50 78.31225),
(1 0.0006874795),(2 3.708147),(3 12.522015),(4 17.751463),(5 17.76299),(6 20.355019),(7 24.591717),(8 26.369913),(9 26.345858),(10 27.343027),(11 30.879574),(12 34.69846),(13 34.745632),(14 36.16006),(15 39.56882),(16 40.599617),(17 40.59009),(18 42.53426),(19 47.28364),(20 53.727173),(21 53.75562),(22 54.65328),(23 54.561646),(24 56.86327),(25 56.909817),(26 59.273415),(27 59.505165),(28 63.05308),(29 63.133965),(30 61.857716),(31 62.251675),(32 63.42413),(33 63.469707),(34 63.37456),(35 65.70873),(36 68.42874),(37 68.386116),(38 71.366035),(39 67.92775),(40 69.78068),(41 69.758804),(42 72.30695),(43 70.91361),(44 72.77153),(45 72.80429),(46 76.31221),(47 76.364944),(48 76.479065),(49 76.5078),(50 76.484505),
(1 0.000834913),(2 3.4941769),(3 14.234837),(4 19.582018),(5 19.586697),(6 22.245684),(7 30.412472),(8 32.202366),(9 32.175808),(10 33.437046),(11 35.995403),(12 38.740204),(13 38.725456),(14 40.340878),(15 43.22611),(16 43.383472),(17 43.378414),(18 44.08867),(19 47.71748),(20 53.163723),(21 53.16498),(22 54.608402),(23 58.2842),(24 59.918976),(25 59.990868),(26 62.766914),(27 66.43934),(28 67.063095),(29 67.048775),(30 67.96965),(31 69.8192),(32 68.63473),(33 68.861015),(34 67.58855),(35 69.7811),(36 70.22246),(37 70.210434),(38 72.0226),(39 71.793076),(40 72.613365),(41 72.63401),(42 71.9525),(43 72.90827),(44 74.55719),(45 74.54735),(46 76.606766),(47 76.05562),(48 77.64314),(49 77.6742),(50 77.64389),
(1 0.00081427535),(2 3.157189),(3 12.076599),(4 17.414307),(5 17.451136),(6 19.590801),(7 24.731247),(8 28.795584),(9 28.825666),(10 29.51811),(11 34.17331),(12 37.36793),(13 37.388092),(14 39.013783),(15 44.454407),(16 44.82635),(17 44.841244),(18 45.505196),(19 46.975975),(20 47.626923),(21 47.63147),(22 47.88307),(23 49.331165),(24 50.30877),(25 50.26703),(26 51.8167),(27 53.397717),(28 53.47301),(29 53.489067),(30 52.455433),(31 53.26799),(32 52.8179),(33 52.913387),(34 51.330585),(35 51.522366),(36 53.15727),(37 53.215954),(38 55.002857),(39 54.055103),(40 54.69777),(41 54.699818),(42 52.432278),(43 55.52192),(44 55.77433),(45 55.839943),(46 55.909554),(47 62.262894),(48 63.508724),(49 63.514942),(50 63.50772),
(1 0.0008957505),(2 3.0493376),(3 9.943574),(4 14.944226),(5 14.983274),(6 17.360706),(7 20.811195),(8 25.113327),(9 25.142725),(10 26.712187),(11 30.916458),(12 33.59012),(13 33.542416),(14 34.58847),(15 38.260765),(16 38.734608),(17 38.744743),(18 39.397133),(19 40.02086),(20 41.090195),(21 41.054306),(22 42.209908),(23 43.29395),(24 44.356308),(25 44.411182),(26 45.938606),(27 45.99148),(28 48.081654),(29 48.116283),(30 47.95616),(31 45.563763),(32 46.312214),(33 46.25982),(34 44.63156),(35 45.43794),(36 46.392803),(37 46.353443),(38 45.912235),(39 46.2494),(40 46.986008),(41 47.02913),(42 47.394535),(43 47.781353),(44 49.66736),(45 49.688145),(46 49.11596),(47 49.658367),(48 50.218765),(49 50.26786),(50 50.23556),
(1 0.0007489394),(2 2.3191118),(3 9.241569),(4 13.212986),(5 13.222797),(6 15.541555),(7 19.005198),(8 21.55937),(9 21.563967),(10 22.218039),(11 24.23731),(12 25.90932),(13 25.903616),(14 27.81775),(15 30.029589),(16 29.549477),(17 29.544386),(18 30.285973),(19 30.793398),(20 33.26432),(21 33.291767),(22 33.215958),(23 36.342506),(24 37.253036),(25 37.269844),(26 38.673145),(27 43.998657),(28 44.419884),(29 44.404877),(30 46.2846),(31 42.86642),(32 42.60372),(33 42.56912),(34 41.144672),(35 44.49127),(36 44.913197),(37 44.91649),(38 45.369488),(39 43.86395),(40 45.121254),(41 45.108067),(42 43.821777),(43 40.860004),(44 42.08266),(45 42.061993),(46 42.53354),(47 43.14459),(48 44.038914),(49 44.04429),(50 44.030067),
