1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,
(1 0.00047626998),(2 3.9539647),(3 10.497233),(4 15.000124),(5 15.06399),(6 20.167408),(7 33.898098),(8 32.197853),(9 32.202534),(10 32.42776),(11 39.316883),(12 39.848186),(13 39.830654),(14 36.62165),(15 27.881792),(16 27.863556),(17 27.868715),(18 28.23262),(19 26.52757),(20 27.021278),(21 27.011925),(22 27.318386),(23 30.50708),(24 31.562815),(25 31.542772),(26 29.604328),(27 36.963863),(28 35.566242),(29 35.48185),(30 39.50175),(31 40.82383),(32 38.04231),(33 37.83352),(34 35.436275),(35 39.20082),(36 35.32949),(37 35.256374),(38 40.52665),(39 35.850246),(40 37.99014),(41 38.06537),(42 37.37023),(43 40.035084),(44 45.22505),(45 45.232548),(46 50.707855),(47 84.030334),(48 83.05544),(49 83.12414),(50 83.07584),
(1 0.00066100876),(2 4.160972),(3 14.336409),(4 19.606758),(5 19.586805),(6 23.508017),(7 39.26615),(8 40.743584),(9 40.78651),(10 41.74712),(11 51.14468),(12 60.898712),(13 60.86292),(14 68.46885),(15 66.8058),(16 63.70043),(17 63.65212),(18 66.04705),(19 60.675583),(20 63.839317),(21 63.893345),(22 64.705635),(23 68.92347),(24 71.72213),(25 71.63281),(26 73.21372),(27 73.924576),(28 78.09044),(29 78.11928),(30 81.05332),(31 83.23815),(32 81.092),(33 81.15447),(34 79.6768),(35 91.42972),(36 96.95064),(37 96.99772),(38 119.99016),(39 130.62552),(40 137.0941),(41 137.15164),(42 132.67706),(43 129.46355),(44 136.14139),(45 136.39919),(46 142.53998),(47 167.10065),(48 157.95715),(49 158.04384),(50 157.97539),
(1 0.0007626431),(2 4.489242),(3 15.100468),(4 22.285788),(5 22.26291),(6 30.840824),(7 47.14565),(8 50.50966),(9 50.516167),(10 50.741585),(11 64.48442),(12 67.93288),(13 67.93626),(14 72.16573),(15 68.375465),(16 66.010666),(17 65.99964),(18 69.03128),(19 82.84),(20 84.91635),(21 85.036064),(22 86.76442),(23 97.68198),(24 96.39601),(25 96.30276),(26 96.66762),(27 92.14475),(28 103.34406),(29 103.45819),(30 103.967514),(31 105.21368),(32 108.70188),(33 108.56381),(34 107.61321),(35 113.03567),(36 106.59022),(37 106.57915),(38 112.67234),(39 117.28311),(40 118.90583),(41 118.75415),(42 126.225266),(43 125.38134),(44 127.2583),(45 127.14973),(46 129.35066),(47 134.8843),(48 136.75208),(49 136.73332),(50 136.78242),
(1 0.0009197635),(2 6.5983844),(3 21.78455),(4 34.827644),(5 34.90395),(6 48.863735),(7 69.76162),(8 71.07953),(9 71.131966),(10 68.751625),(11 80.58725),(12 84.111115),(13 83.956375),(14 83.694534),(15 86.168755),(16 86.10117),(17 86.11052),(18 91.45473),(19 99.48113),(20 107.92576),(21 107.95412),(22 111.13637),(23 115.85281),(24 121.62783),(25 121.589066),(26 120.69588),(27 109.13338),(28 121.5899),(29 121.58662),(30 123.1773),(31 130.81946),(32 139.49068),(33 139.44339),(34 142.02664),(35 148.06622),(36 138.66652),(37 138.75854),(38 148.6614),(39 169.91762),(40 180.03918),(41 180.014),(42 188.1303),(43 215.61514),(44 234.54282),(45 234.22531),(46 236.37799),(47 228.37749),(48 228.94244),(49 228.84799),(50 228.96172),
(1 0.0010417061),(2 7.5323753),(3 25.90232),(4 44.909634),(5 44.96751),(6 58.54449),(7 77.33456),(8 77.12668),(9 77.155594),(10 76.87944),(11 91.8478),(12 97.26394),(13 97.139084),(14 97.614105),(15 102.78655),(16 105.27716),(17 105.28598),(18 114.92433),(19 121.09663),(20 136.62122),(21 136.67603),(22 142.64256),(23 154.67982),(24 166.96172),(25 167.03381),(26 171.2823),(27 157.35304),(28 171.927),(29 171.8514),(30 172.97432),(31 167.96736),(32 174.45639),(33 174.27876),(34 174.23344),(35 187.65257),(36 187.9805),(37 188.2098),(38 203.73428),(39 187.8093),(40 190.15694),(41 190.12115),(42 187.25873),(43 200.20241),(44 213.23843),(45 213.03136),(46 211.19739),(47 226.76695),(48 223.3641),(49 223.23865),(50 223.36304),
(1 0.0006867573),(2 6.2541003),(3 19.114182),(4 30.627377),(5 30.6609),(6 40.378334),(7 66.962494),(8 71.27112),(9 71.2232),(10 68.82529),(11 85.22822),(12 94.63307),(13 94.604164),(14 99.14067),(15 96.891464),(16 99.64175),(17 99.655975),(18 101.80758),(19 103.887184),(20 111.783745),(21 111.6783),(22 118.15001),(23 126.43982),(24 125.75717),(25 125.92312),(26 119.19557),(27 120.153625),(28 124.65492),(29 124.5812),(30 130.29082),(31 136.16374),(32 142.22636),(33 142.26222),(34 145.15332),(35 142.98682),(36 132.71338),(37 132.82988),(38 147.7129),(39 162.78464),(40 166.54765),(41 166.76192),(42 172.35236),(43 175.42514),(44 188.21788),(45 188.18355),(46 184.97983),(47 203.17488),(48 202.47557),(49 202.42517),(50 202.44737),
(1 0.0015945666),(2 8.011845),(3 24.675997),(4 37.131123),(5 37.183685),(6 48.66534),(7 67.278336),(8 72.33956),(9 72.39933),(10 71.81208),(11 94.054695),(12 108.608574),(13 108.63843),(14 116.550606),(15 120.13633),(16 120.889275),(17 120.903984),(18 126.00187),(19 147.4754),(20 158.41948),(21 158.64308),(22 164.06561),(23 165.56425),(24 168.71214),(25 168.98953),(26 168.93488),(27 166.76476),(28 172.08005),(29 172.17885),(30 167.60007),(31 172.63048),(32 175.74886),(33 176.03146),(34 172.81915),(35 169.50325),(36 178.67107),(37 178.62387),(38 192.11884),(39 196.55843),(40 193.61156),(41 193.6634),(42 191.01387),(43 208.9951),(44 223.34073),(45 223.33714),(46 222.98798),(47 250.60329),(48 238.94138),(49 238.89229),(50 238.97093),
(1 0.0012328773),(2 9.895254),(3 36.868095),(4 47.481544),(5 47.405716),(6 56.134636),(7 81.416115),(8 85.83023),(9 85.91284),(10 85.682556),(11 91.651344),(12 101.03914),(13 101.06474),(14 100.2462),(15 106.77289),(16 112.19904),(17 112.13538),(18 121.67801),(19 133.42113),(20 139.23706),(21 139.30977),(22 142.30257),(23 144.27052),(24 148.23824),(25 148.16634),(26 145.58374),(27 145.97075),(28 153.70944),(29 153.74742),(30 147.90271),(31 159.94038),(32 164.98398),(33 164.97499),(34 158.86684),(35 154.77467),(36 155.8823),(37 155.8592),(38 176.98355),(39 197.11076),(40 198.84666),(41 198.99736),(42 196.44218),(43 189.04118),(44 181.31963),(45 181.28749),(46 179.0574),(47 220.97403),(48 214.59436),(49 214.69579),(50 214.58636),
(1 0.0016345631),(2 8.980916),(3 36.334335),(4 45.788063),(5 45.799763),(6 52.28722),(7 85.44054),(8 100.80695),(9 100.89753),(10 101.28497),(11 118.24485),(12 129.73604),(13 129.85147),(14 132.91104),(15 144.41866),(16 149.77896),(17 149.69032),(18 161.3994),(19 159.37831),(20 164.4895),(21 164.348),(22 170.8978),(23 171.8229),(24 171.2584),(25 171.16577),(26 178.07228),(27 188.68283),(28 194.34438),(29 194.51596),(30 193.72377),(31 194.84547),(32 199.46207),(33 199.27144),(34 195.04083),(35 189.86427),(36 190.1279),(37 190.28987),(38 195.40695),(39 192.79015),(40 192.09784),(41 192.224),(42 189.1917),(43 202.12411),(44 216.82425),(45 216.98087),(46 213.75279),(47 246.65477),(48 257.85797),(49 257.72366),(50 257.86496),
(1 0.0015627686),(2 7.415198),(3 35.288864),(4 46.789886),(5 46.7852),(6 52.62965),(7 83.46012),(8 95.10957),(9 95.04968),(10 95.01567),(11 111.75195),(12 124.91056),(13 124.94619),(14 129.31651),(15 138.08856),(16 142.42468),(17 142.39308),(18 145.07715),(19 129.99335),(20 130.06569),(21 130.13144),(22 136.66432),(23 146.74347),(24 149.92899),(25 149.94678),(26 152.67915),(27 159.28625),(28 170.30489),(29 170.3184),(30 176.60707),(31 190.24503),(32 194.24255),(33 194.37221),(34 191.27951),(35 190.79553),(36 193.18387),(37 193.2187),(38 192.15778),(39 197.25519),(40 196.51335),(41 196.39789),(42 192.76193),(43 196.80476),(44 207.7022),(45 207.98228),(46 209.00098),(47 221.3866),(48 222.44211),(49 222.37389),(50 222.35596),
(1 0.0012634957),(2 7.844469),(3 34.896786),(4 48.0019),(5 47.986774),(6 50.134956),(7 56.386307),(8 60.210022),(9 60.267956),(10 62.641666),(11 74.385284),(12 80.26139),(13 80.34755),(14 84.7259),(15 88.56988),(16 90.513374),(17 90.5133),(18 94.990555),(19 106.037674),(20 113.865906),(21 114.04778),(22 120.52618),(23 118.36051),(24 122.81527),(25 122.72702),(26 126.88165),(27 131.03416),(28 129.29198),(29 129.35516),(30 133.55759),(31 133.83998),(32 134.21933),(33 134.22603),(34 138.68474),(35 143.04318),(36 141.21744),(37 141.23688),(38 144.80554),(39 146.5879),(40 145.6031),(41 145.60007),(42 139.65324),(43 136.38284),(44 133.25722),(45 133.2652),(46 134.07343),(47 145.90086),(48 151.52289),(49 151.47777),(50 151.50423),
