1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00034225176),(2 1.176609),(3 4.5497875),(4 6.4581165),(5 6.459361),(6 7.7671037),(7 11.20049),(8 12.700186),(9 12.701402),(10 12.747223),(11 15.071259),(12 16.429955),(13 16.42895),(14 17.255018),(15 18.540817),(16 19.014372),(17 19.01174),(18 19.90141),(19 21.873674),(20 22.982357),(21 22.983839),(22 23.5063),(23 24.207434),(24 25.10806),(25 25.116184),(26 25.310936),(27 25.268335),(28 25.994925),(29 25.996109),(30 25.891045),(31 26.554338),(32 26.815279),(33 26.824633),(34 27.1562),(35 26.964972),(36 26.925653),(37 26.92559),(38 27.885605),(39 27.8529),(40 28.249567),(41 28.254858),(42 28.293924),(43 29.124245),(44 30.09239),(45 30.087934),(46 30.168549),(47 32.230194),(48 32.735195),(49 32.727253),(50 32.732605),
(1 0.00044836634),(2 0.98504084),(3 4.1127577),(4 5.744912),(5 5.750481),(6 6.8238215),(7 8.963913),(8 10.253358),(9 10.26036),(10 10.888195),(11 12.326114),(12 13.289574),(13 13.290469),(14 13.865474),(15 15.382223),(16 15.53629),(17 15.536441),(18 15.887051),(19 15.992638),(20 17.23084),(21 17.23001),(22 17.679165),(23 18.349064),(24 18.793293),(25 18.800097),(26 19.063892),(27 19.536846),(28 19.682499),(29 19.687841),(30 19.733576),(31 19.707186),(32 19.688719),(33 19.693867),(34 19.576065),(35 19.973173),(36 20.02812),(37 20.03089),(38 20.588444),(39 20.509441),(40 20.709263),(41 20.711828),(42 20.682539),(43 20.714247),(44 20.969862),(45 20.976513),(46 21.137604),(47 21.887009),(48 22.29197),(49 22.296911),(50 22.292484),
(1 0.00040261337),(2 0.6804263),(3 2.7901585),(4 4.008996),(5 4.0143776),(6 4.8857803),(7 6.176709),(8 6.9891253),(9 6.992641),(10 7.4648767),(11 8.216932),(12 8.851909),(13 8.85775),(14 9.095851),(15 9.917973),(16 9.892468),(17 9.891401),(18 10.182734),(19 10.503126),(20 11.29265),(21 11.294849),(22 11.4315195),(23 11.675119),(24 11.952999),(25 11.951614),(26 12.155013),(27 12.251479),(28 12.188524),(29 12.190599),(30 12.240773),(31 12.07183),(32 12.225237),(33 12.233832),(34 12.1339035),(35 12.415157),(36 12.322768),(37 12.320757),(38 12.444004),(39 12.332217),(40 12.62668),(41 12.628236),(42 12.57778),(43 12.540343),(44 12.677575),(45 12.678187),(46 12.713281),(47 12.638018),(48 12.821407),(49 12.82297),(50 12.822826),
(1 0.0004261105),(2 0.64265525),(3 2.4684138),(4 3.6191869),(5 3.6222103),(6 4.2720866),(7 5.347618),(8 6.031285),(9 6.0365868),(10 6.405451),(11 7.0292225),(12 7.583919),(13 7.5901995),(14 7.7322574),(15 8.293348),(16 8.260619),(17 8.259301),(18 8.588597),(19 8.77653),(20 9.400101),(21 9.397755),(22 9.495965),(23 9.694818),(24 9.816601),(25 9.81529),(26 9.918302),(27 9.94268),(28 9.870796),(29 9.872648),(30 10.024367),(31 10.080277),(32 10.120913),(33 10.129226),(34 9.941708),(35 9.92079),(36 9.938016),(37 9.939404),(38 9.915887),(39 10.032712),(40 10.181162),(41 10.176906),(42 10.050222),(43 10.022348),(44 10.184104),(45 10.183012),(46 10.207461),(47 10.33986),(48 10.473746),(49 10.47347),(50 10.474374),
(1 0.0004336148),(2 0.5513854),(3 1.8798661),(4 2.7433953),(5 2.7460353),(6 3.2497282),(7 4.093243),(8 4.6607285),(9 4.667089),(10 4.9371924),(11 5.4144096),(12 5.8157716),(13 5.82156),(14 5.8730936),(15 6.2594833),(16 6.248165),(17 6.250205),(18 6.460345),(19 6.637039),(20 7.2253246),(21 7.22563),(22 7.373193),(23 7.560288),(24 7.6648607),(25 7.6681943),(26 7.694672),(27 7.728349),(28 7.7313943),(29 7.7314262),(30 7.844548),(31 7.8917117),(32 7.9135756),(33 7.922536),(34 7.8779507),(35 7.949361),(36 7.9444213),(37 7.9474535),(38 7.799845),(39 7.800455),(40 7.8204308),(41 7.8210087),(42 7.706004),(43 7.7187524),(44 7.8500533),(45 7.8521833),(46 7.8782167),(47 8.019244),(48 8.035161),(49 8.036186),(50 8.036131),
(1 0.00032989876),(2 0.34089914),(3 1.1882604),(4 1.7411923),(5 1.7426437),(6 2.0668237),(7 2.5359538),(8 2.8359337),(9 2.8406055),(10 3.006654),(11 3.2267942),(12 3.4369328),(13 3.44173),(14 3.4555986),(15 3.8041856),(16 3.8010132),(17 3.8019674),(18 3.9188855),(19 4.001364),(20 4.433891),(21 4.4323792),(22 4.4584494),(23 4.567669),(24 4.6817493),(25 4.6830773),(26 4.665301),(27 4.5940146),(28 4.5737176),(29 4.5753717),(30 4.6126413),(31 4.6609907),(32 4.6743164),(33 4.6802516),(34 4.602269),(35 4.615231),(36 4.6932316),(37 4.694134),(38 4.6651983),(39 4.7133007),(40 4.792483),(41 4.792527),(42 4.7099524),(43 4.7327394),(44 4.797281),(45 4.798072),(46 4.796989),(47 4.857712),(48 4.8723817),(49 4.8730335),(50 4.8726983),
(1 0.00034863653),(2 0.30809537),(3 1.0184464),(4 1.5069677),(5 1.5082353),(6 1.7423081),(7 2.1264532),(8 2.4221942),(9 2.4270203),(10 2.5566428),(11 2.7239583),(12 2.87872),(13 2.881011),(14 2.9002259),(15 3.2213364),(16 3.232473),(17 3.2327528),(18 3.3357222),(19 3.4028502),(20 3.7554414),(21 3.7542434),(22 3.7623923),(23 3.8731265),(24 3.9339871),(25 3.9342306),(26 3.9642773),(27 4.0007057),(28 3.9746938),(29 3.9747362),(30 4.050913),(31 4.1061425),(32 4.1376047),(33 4.1406446),(34 4.0547204),(35 4.081074),(36 4.0722604),(37 4.0702915),(38 3.9911618),(39 4.0528545),(40 4.155343),(41 4.1530566),(42 4.1196294),(43 4.1592827),(44 4.205852),(45 4.2043977),(46 4.1612124),(47 4.1392536),(48 4.162773),(49 4.1621575),(50 4.1622424),
(1 0.00032826362),(2 0.2571348),(3 0.76634127),(4 1.1421922),(5 1.1426741),(6 1.3096846),(7 1.6416948),(8 1.8573321),(9 1.8617715),(10 1.9314345),(11 2.0573583),(12 2.2059429),(13 2.209838),(14 2.2126005),(15 2.4519277),(16 2.465173),(17 2.4651875),(18 2.5398328),(19 2.6136405),(20 2.9257867),(21 2.9262307),(22 2.9500363),(23 3.0330303),(24 3.0889983),(25 3.0874534),(26 3.0228274),(27 3.0907073),(28 3.0864296),(29 3.0844717),(30 3.1039016),(31 3.1569817),(32 3.1732304),(33 3.1744618),(34 3.1053963),(35 3.1284585),(36 3.1496418),(37 3.1487045),(38 3.0778708),(39 3.0780623),(40 3.1478944),(41 3.146507),(42 3.123844),(43 3.111788),(44 3.1245553),(45 3.1245403),(46 3.11907),(47 3.1903248),(48 3.2017894),(49 3.202248),(50 3.2016401),
(1 0.00030797574),(2 0.19761018),(3 0.5925957),(4 0.8980279),(5 0.8990324),(6 1.0252763),(7 1.2401426),(8 1.4045442),(9 1.4076684),(10 1.4785172),(11 1.5987486),(12 1.7198695),(13 1.7225537),(14 1.7373742),(15 1.9253186),(16 1.9315014),(17 1.9315476),(18 1.984036),(19 2.0163944),(20 2.2822716),(21 2.2828767),(22 2.289313),(23 2.340558),(24 2.3846934),(25 2.383564),(26 2.3590415),(27 2.3775446),(28 2.3744686),(29 2.3730395),(30 2.37561),(31 2.472302),(32 2.4911025),(33 2.4917755),(34 2.4427934),(35 2.461284),(36 2.4936771),(37 2.4916954),(38 2.4355717),(39 2.4557297),(40 2.499809),(41 2.498662),(42 2.4875205),(43 2.5059056),(44 2.5080094),(45 2.507727),(46 2.4956686),(47 2.5272338),(48 2.5276756),(49 2.5280056),(50 2.5275238),
(1 0.00029719036),(2 0.15788242),(3 0.46561915),(4 0.7028841),(5 0.7032962),(6 0.81784),(7 0.99795),(8 1.1170119),(9 1.1204259),(10 1.161881),(11 1.253814),(12 1.3332837),(13 1.3343133),(14 1.3252271),(15 1.479131),(16 1.465881),(17 1.4658916),(18 1.5098503),(19 1.5368992),(20 1.7560387),(21 1.7551752),(22 1.7753611),(23 1.7956384),(24 1.8385099),(25 1.8371828),(26 1.8204576),(27 1.8269385),(28 1.8468447),(29 1.844871),(30 1.8523268),(31 1.9021854),(32 1.918319),(33 1.9201623),(34 1.8754352),(35 1.8893578),(36 1.9119556),(37 1.910239),(38 1.8555027),(39 1.861973),(40 1.905637),(41 1.9037321),(42 1.8957309),(43 1.9037746),(44 1.9054223),(45 1.9045528),(46 1.8827423),(47 1.9316428),(48 1.9376236),(49 1.9368929),(50 1.9377973),
(1 0.00025017947),(2 0.11616916),(3 0.32172087),(4 0.49059436),(5 0.49130085),(6 0.55801386),(7 0.67581314),(8 0.75844836),(9 0.7608797),(10 0.79654807),(11 0.88412356),(12 0.9367115),(13 0.9373847),(14 0.9348244),(15 1.0422359),(16 1.0390981),(17 1.0391057),(18 1.078866),(19 1.0858096),(20 1.2590537),(21 1.2591051),(22 1.2567732),(23 1.271082),(24 1.3128889),(25 1.3119861),(26 1.3029139),(27 1.3070993),(28 1.3222101),(29 1.321107),(30 1.3286158),(31 1.3682388),(32 1.3737464),(33 1.3773168),(34 1.3546714),(35 1.3378932),(36 1.3601137),(37 1.3591912),(38 1.3101692),(39 1.3243678),(40 1.3631369),(41 1.3611087),(42 1.3417337),(43 1.3458629),(44 1.3602668),(45 1.3595041),(46 1.3504506),(47 1.357878),(48 1.3558924),(49 1.3565573),(50 1.3561431),
