1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 34.75393),(2 65.76368),(3 65.81437),(4 91.75563),(5 105.50773),(6 108.401115),(7 108.470825),(8 105.521484),(9 83.68188),(10 72.252625),(11 72.244965),(12 70.631424),(13 96.757324),(14 120.69859),(15 120.71949),(16 131.51326),(17 133.87782),(18 125.393906),(19 125.36967),(20 112.52041),(21 82.874466),(22 81.66517),(23 81.64364),(24 87.34866),(25 134.141),(26 153.78575),(27 153.78644),(28 155.92938),(29 146.47029),(30 145.22914),(31 145.2899),(32 131.67235),(33 115.15297),(34 129.3349),(35 129.44527),(36 129.12248),(37 171.60652),(38 171.9386),(39 171.97319),(40 171.16275),(41 156.42972),(42 156.7087),(43 156.72377),(44 148.17503),(45 142.09135),(46 142.09758),
(1 56.731586),(2 94.744606),(3 94.778595),(4 127.40695),(5 138.92725),(6 134.7837),(7 134.85889),(8 126.09),(9 97.63087),(10 91.07042),(11 91.073875),(12 93.93213),(13 126.83127),(14 150.77338),(15 150.79173),(16 161.71262),(17 177.31252),(18 150.17293),(19 150.14828),(20 128.33942),(21 104.38692),(22 107.05156),(23 107.08572),(24 115.14112),(25 176.64659),(26 199.5942),(27 199.6366),(28 192.6971),(29 190.41695),(30 188.20573),(31 188.2113),(32 170.65009),(33 167.31497),(34 181.52467),(35 181.57472),(36 181.13185),(37 213.77223),(38 216.6151),(39 216.65923),(40 212.97621),(41 179.44061),(42 171.40475),(43 171.42659),(44 165.97624),(45 175.61143),(46 175.65938),
(1 59.00637),(2 97.80623),(3 97.82738),(4 123.29264),(5 131.7497),(6 124.88253),(7 124.95955),(8 110.896),(9 90.20988),(10 84.89996),(11 84.91824),(12 83.263596),(13 115.2449),(14 131.99683),(15 132.01932),(16 126.129745),(17 128.56436),(18 116.3103),(19 116.29489),(20 108.270134),(21 98.08047),(22 92.56041),(23 92.55987),(24 99.54217),(25 134.73355),(26 148.50096),(27 148.54015),(28 144.15634),(29 145.06146),(30 142.9681),(31 142.96663),(32 133.85876),(33 126.12755),(34 134.8775),(35 134.96384),(36 134.55766),(37 155.41647),(38 160.01035),(39 159.98557),(40 161.80627),(41 149.49219),(42 147.10872),(43 147.1178),(44 139.13777),(45 124.92236),(46 124.96951),
(1 68.030014),(2 98.49788),(3 98.5152),(4 116.51534),(5 139.18071),(6 132.48253),(7 132.5517),(8 114.548355),(9 91.30462),(10 82.53257),(11 82.56735),(12 89.27095),(13 115.136246),(14 123.630104),(15 123.67772),(16 124.45002),(17 141.19571),(18 124.12394),(19 124.16106),(20 113.7274),(21 99.27377),(22 101.09563),(23 101.17247),(24 107.11006),(25 124.07397),(26 133.17314),(27 133.16515),(28 127.58283),(29 134.99304),(30 134.00484),(31 134.00317),(32 126.93923),(33 124.48215),(34 133.3184),(35 133.28795),(36 127.47364),(37 139.886),(38 144.18437),(39 144.21718),(40 148.51314),(41 135.72322),(42 129.91898),(43 129.9213),(44 124.24778),(45 124.33399),(46 124.334785),
(1 65.942215),(2 90.092),(3 90.10835),(4 98.76874),(5 101.99529),(6 103.52808),(7 103.57739),(8 95.01697),(9 78.70984),(10 69.25535),(11 69.25452),(12 73.66305),(13 96.79474),(14 105.37706),(15 105.40126),(16 99.43129),(17 103.35367),(18 97.760185),(19 97.775345),(20 95.77912),(21 83.7119),(22 88.034164),(23 88.071014),(24 92.55414),(25 103.373055),(26 105.84993),(27 105.87499),(28 97.58868),(29 103.30634),(30 107.52753),(31 107.5246),(32 108.793304),(33 103.85069),(34 112.8416),(35 112.87038),(36 103.746956),(37 112.72004),(38 112.99505),(39 112.98763),(40 110.78109),(41 104.05567),(42 106.6142),(43 106.59232),(44 104.670425),(45 106.91412),(46 106.91511),
(1 45.241295),(2 60.596066),(3 60.6176),(4 69.11798),(5 68.76175),(6 67.12586),(7 67.202065),(8 59.309765),(9 51.895737),(10 51.392666),(11 51.38999),(12 53.7769),(13 66.27365),(14 67.59599),(15 67.62606),(16 67.5749),(17 72.13217),(18 65.31756),(19 65.29645),(20 64.14594),(21 58.02988),(22 60.466053),(23 60.475346),(24 68.358345),(25 73.867874),(26 75.36243),(27 75.3495),(28 73.01953),(29 70.83259),(30 73.294556),(31 73.29298),(32 68.34172),(33 65.73677),(34 71.96001),(35 71.95675),(36 69.05593),(37 71.344215),(38 70.23902),(39 70.24736),(40 70.62814),(41 64.87299),(42 69.52407),(43 69.53828),(44 69.0274),(45 73.88412),(46 73.88317),
(1 44.493412),(2 53.883564),(3 53.898155),(4 58.497868),(5 62.734802),(6 62.596096),(7 62.60502),(8 54.82346),(9 53.38526),(10 52.50823),(11 52.524418),(12 54.033287),(13 59.812748),(14 63.40107),(15 63.42824),(16 67.19441),(17 72.47482),(18 69.697136),(19 69.68865),(20 66.837265),(21 62.092815),(22 66.530846),(23 66.55127),(24 68.17021),(25 65.25913),(26 68.03561),(27 68.03439),(28 65.37974),(29 72.26369),(30 69.091705),(31 69.08441),(32 68.972176),(33 67.40051),(34 71.20936),(35 71.237175),(36 70.779434),(37 66.66297),(38 69.45644),(39 69.47635),(40 71.87515),(41 67.068954),(42 65.59865),(43 65.58675),(44 63.515667),(45 62.062683),(46 62.054684),
(1 39.944237),(2 44.57396),(3 44.587997),(4 48.84976),(5 52.047676),(6 51.561558),(7 51.558723),(8 49.72661),(9 47.045708),(10 46.21792),(11 46.215702),(12 46.561295),(13 53.220505),(14 54.162262),(15 54.176144),(16 56.82148),(17 58.87846),(18 58.214302),(19 58.20848),(20 56.75179),(21 52.92689),(22 55.99029),(23 55.992393),(24 60.478798),(25 56.10651),(26 56.790718),(27 56.787704),(28 57.410023),(29 58.48165),(30 59.286625),(31 59.302948),(32 60.170845),(33 58.433414),(34 63.40787),(35 63.408092),(36 58.727146),(37 58.326122),(38 55.625603),(39 55.624695),(40 58.160927),(41 57.287647),(42 55.351143),(43 55.361015),(44 55.816322),(45 57.3447),(46 57.328415),
(1 32.764675),(2 39.052685),(3 39.073017),(4 41.55871),(5 42.39535),(6 42.443047),(7 42.48444),(8 42.265022),(9 41.967167),(10 40.7223),(11 40.715206),(12 40.174084),(13 44.82634),(14 46.231087),(15 46.230152),(16 48.79622),(17 48.154182),(18 48.148098),(19 48.175373),(20 48.86),(21 47.053764),(22 49.260674),(23 49.290718),(24 50.77981),(25 48.817287),(26 50.93298),(27 50.933002),(28 50.103992),(29 50.703396),(30 49.488316),(31 49.48933),(32 49.452244),(33 51.083504),(34 54.21673),(35 54.221523),(36 53.937176),(37 53.38015),(38 53.646442),(39 53.65602),(40 55.249237),(41 49.439278),(42 48.675964),(43 48.662186),(44 48.25583),(45 47.534664),(46 47.51914),
(1 28.477892),(2 31.601599),(3 31.607092),(4 33.871883),(5 35.275246),(6 34.628025),(7 34.65007),(8 33.1497),(9 33.64341),(10 33.36375),(11 33.364872),(12 33.558243),(13 37.11672),(14 38.822544),(15 38.80985),(16 39.73356),(17 40.129955),(18 42.33821),(19 42.33853),(20 42.62939),(21 40.07857),(22 42.552383),(23 42.557858),(24 43.543232),(25 42.230217),(26 42.017605),(27 42.01063),(28 41.648014),(29 42.80403),(30 41.47617),(31 41.490158),(32 42.098854),(33 42.4583),(34 46.88639),(35 46.876465),(36 44.589203),(37 43.4172),(38 43.144978),(39 43.14635),(40 42.695152),(41 39.85858),(42 41.109993),(43 41.10655),(44 40.66308),(45 41.42346),(46 41.417946),
(1 22.372444),(2 25.074038),(3 25.0917),(4 27.890472),(5 27.594358),(6 27.463444),(7 27.467777),(8 29.693829),(9 27.98055),(10 27.76082),(11 27.762371),(12 28.184984),(13 29.341187),(14 30.942333),(15 30.93295),(16 30.17774),(17 30.477684),(18 31.554873),(19 31.564398),(20 32.872486),(21 31.386806),(22 32.965214),(23 32.982124),(24 34.763374),(25 32.311325),(26 33.994904),(27 33.991714),(28 31.791073),(29 33.49833),(30 34.653934),(31 34.641666),(32 32.81491),(33 32.95877),(34 34.280373),(35 34.29413),(36 33.761997),(37 34.667774),(38 32.459667),(39 32.459248),(40 34.415916),(41 32.39231),(42 32.027637),(43 32.026814),(44 31.119152),(45 32.195084),(46 32.21099),
