1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,
(1 2.6417055),(2 4.0052934),(3 3.9678547),(4 17.167986),(5 18.052458),(6 22.430134),(7 22.39337),(8 20.544535),(9 11.357211),(10 6.4111233),(11 6.3896766),(12 5.6404843),(13 7.640513),(14 9.893179),(15 9.902008),(16 21.017202),(17 35.895924),(18 39.6394),(19 39.723255),(20 35.508423),(21 16.876953),(22 8.873581),(23 9.0223),(24 2.708942),(25 16.632603),(26 26.313429),(27 26.324802),(28 24.60469),(29 33.35173),(30 26.093847),(31 26.005205),(32 17.055914),(33 13.693622),(34 23.048786),(35 22.929735),(36 15.984413),(37 24.27164),(38 26.03853),(39 26.01194),(40 25.851236),(41 14.88069),(42 13.440737),(43 13.354251),(44 14.977255),(45 14.560107),(46 14.563912),
(1 9.777168),(2 15.519341),(3 15.526264),(4 23.346523),(5 17.936419),(6 15.168926),(7 15.237143),(8 13.412033),(9 10.53042),(10 11.160798),(11 11.148619),(12 14.265427),(13 20.159216),(14 21.732769),(15 21.848286),(16 26.932846),(17 27.78193),(18 29.270903),(19 29.340504),(20 33.956585),(21 18.686888),(22 10.253105),(23 10.374477),(24 11.073599),(25 30.599453),(26 30.437834),(27 30.387264),(28 23.130335),(29 33.84928),(30 31.552189),(31 31.94279),(32 28.369614),(33 20.873032),(34 14.101044),(35 14.082516),(36 28.743002),(37 31.593775),(38 28.447042),(39 28.486769),(40 25.326365),(41 14.342989),(42 13.630561),(43 13.656995),(44 14.175296),(45 34.305466),(46 34.41808),
(1 11.223011),(2 15.091974),(3 15.098144),(4 14.144936),(5 21.810583),(6 20.884392),(7 20.896387),(8 24.77093),(9 26.470793),(10 25.177336),(11 25.19102),(12 25.25667),(13 20.422823),(14 15.511971),(15 15.566784),(16 20.474777),(17 27.38743),(18 30.734463),(19 30.822987),(20 32.723534),(21 24.365076),(22 18.786367),(23 18.797878),(24 22.178034),(25 21.598907),(26 24.71901),(27 24.655115),(28 27.987429),(29 29.700981),(30 23.727032),(31 23.789179),(32 20.416458),(33 31.847265),(34 28.458439),(35 28.498919),(36 25.684217),(37 29.954472),(38 36.503757),(39 36.593674),(40 37.6279),(41 36.65298),(42 34.21691),(43 34.275833),(44 31.670147),(45 36.497173),(46 36.454018),
(1 17.97366),(2 20.22788),(3 20.208353),(4 29.562046),(5 41.635155),(6 39.207836),(7 39.309242),(8 37.744354),(9 33.78485),(10 26.796684),(11 26.829998),(12 31.237343),(13 34.664658),(14 38.98058),(15 39.06299),(16 48.13256),(17 48.780968),(18 55.92517),(19 55.841244),(20 52.307663),(21 54.01369),(22 49.796524),(23 49.762733),(24 48.908127),(25 62.29097),(26 58.877968),(27 58.84191),(28 53.49217),(29 63.04649),(30 65.855515),(31 65.97309),(32 66.29719),(33 76.96576),(34 68.79251),(35 68.93343),(36 50.4121),(37 51.585003),(38 46.233032),(39 46.3119),(40 43.88259),(41 59.83002),(42 57.29235),(43 57.267094),(44 59.993732),(45 65.642876),(46 65.568306),
(1 16.586615),(2 22.697369),(3 22.668673),(4 31.89404),(5 47.16694),(6 44.625286),(7 44.6322),(8 42.588284),(9 30.09882),(10 26.012335),(11 25.911219),(12 29.999353),(13 42.555386),(14 46.64796),(15 46.639534),(16 51.765656),(17 47.931183),(18 54.312576),(19 54.309124),(20 54.033676),(21 52.28077),(22 52.135628),(23 52.147266),(24 45.43466),(25 60.963135),(26 59.747257),(27 59.74761),(28 58.729053),(29 45.628143),(30 39.857296),(31 39.892895),(32 34.37546),(33 61.730732),(34 73.44542),(35 73.33185),(36 76.32072),(37 79.55812),(38 79.06334),(39 79.05943),(40 69.80123),(41 57.20272),(42 59.785572),(43 59.731277),(44 65.49961),(45 76.919876),(46 76.97276),
(1 25.75709),(2 31.94331),(3 31.895521),(4 38.70617),(5 41.702965),(6 41.25297),(7 41.321312),(8 36.515472),(9 25.322704),(10 26.116808),(11 26.137615),(12 34.99004),(13 50.169037),(14 45.592213),(15 45.562553),(16 42.695473),(17 39.839943),(18 39.94702),(19 40.031567),(20 36.28648),(21 28.144672),(22 38.111855),(23 38.13536),(24 42.84795),(25 57.444458),(26 74.10805),(27 74.02931),(28 62.375187),(29 48.883457),(30 44.58705),(31 44.58976),(32 46.75997),(33 52.462486),(34 60.623676),(35 60.646294),(36 56.236305),(37 63.30154),(38 67.91181),(39 68.024506),(40 55.61892),(41 48.522945),(42 36.8487),(43 36.794727),(44 45.468494),(45 44.91253),(46 44.86393),
(1 22.899866),(2 37.363132),(3 37.372887),(4 35.437263),(5 34.680542),(6 37.17177),(7 37.213017),(8 38.899113),(9 37.42154),(10 34.75299),(11 34.824482),(12 40.24831),(13 65.19491),(14 58.64495),(15 58.6735),(16 52.441475),(17 47.226368),(18 48.035057),(19 47.975212),(20 40.293156),(21 51.10179),(22 51.16528),(23 51.252556),(24 56.758297),(25 65.39347),(26 67.959984),(27 67.9692),(28 57.58649),(29 60.24692),(30 69.40988),(31 69.463234),(32 67.496025),(33 55.44112),(34 73.209854),(35 73.2025),(36 68.83619),(37 57.87086),(38 63.992363),(39 64.016014),(40 62.58947),(41 43.696014),(42 43.222507),(43 43.259094),(44 47.880814),(45 47.982117),(46 47.90383),
(1 25.728783),(2 33.334274),(3 33.354507),(4 37.51741),(5 35.06457),(6 38.534145),(7 38.476074),(8 32.424225),(9 35.071064),(10 30.744326),(11 30.766415),(12 35.41163),(13 46.025105),(14 35.88945),(15 35.844223),(16 34.76625),(17 54.42381),(18 49.66864),(19 49.583687),(20 48.675888),(21 43.57555),(22 43.411808),(23 43.38157),(24 41.72752),(25 50.978558),(26 54.194607),(27 54.206192),(28 56.11659),(29 61.217293),(30 55.73339),(31 55.719913),(32 52.59812),(33 67.51123),(34 75.74728),(35 75.67093),(36 76.18343),(37 67.894806),(38 76.87757),(39 76.859055),(40 81.854836),(41 50.597893),(42 49.26604),(43 49.254887),(44 59.920624),(45 77.3402),(46 77.319115),
(1 26.04375),(2 34.420345),(3 34.48987),(4 43.488464),(5 42.17637),(6 43.255783),(7 43.12867),(8 38.184345),(9 32.71201),(10 33.444824),(11 33.449345),(12 35.058136),(13 58.4561),(14 65.65817),(15 65.68186),(16 57.409866),(17 51.112984),(18 48.006992),(19 47.94847),(20 59.69983),(21 54.367435),(22 54.585655),(23 54.67382),(24 57.289265),(25 51.654774),(26 66.90043),(27 66.976295),(28 58.41946),(29 59.740707),(30 48.082638),(31 48.12348),(32 55.420624),(33 52.878628),(34 58.662582),(35 58.783527),(36 56.780254),(37 48.70985),(38 54.56308),(39 54.47526),(40 64.12825),(41 65.7131),(42 61.023872),(43 60.929436),(44 62.450592),(45 68.29233),(46 68.2332),
(1 28.426771),(2 39.19205),(3 39.216156),(4 36.529835),(5 46.494816),(6 49.48916),(7 49.57299),(8 48.77379),(9 45.150948),(10 45.79887),(11 45.76932),(12 46.743053),(13 51.452187),(14 48.7538),(15 48.73092),(16 44.98772),(17 45.652954),(18 51.578247),(19 51.449284),(20 56.59339),(21 53.726727),(22 51.178616),(23 51.23939),(24 61.10318),(25 63.211113),(26 58.06646),(27 58.07447),(28 51.399708),(29 52.93411),(30 53.93543),(31 53.911247),(32 44.404945),(33 54.033585),(34 63.89683),(35 63.968758),(36 50.906933),(37 47.122406),(38 47.72742),(39 47.568638),(40 51.663414),(41 52.204544),(42 52.5356),(43 52.580013),(44 46.160084),(45 64.82849),(46 64.8333),
(1 25.739153),(2 35.59164),(3 35.525734),(4 38.802017),(5 43.53903),(6 39.598248),(7 39.61689),(8 43.13708),(9 41.582417),(10 35.708134),(11 35.76459),(12 37.477135),(13 43.79051),(14 61.00232),(15 61.034695),(16 54.43178),(17 48.9026),(18 46.044914),(19 46.055756),(20 50.74406),(21 49.09641),(22 48.831707),(23 48.854267),(24 47.315876),(25 40.476288),(26 50.071552),(27 50.135544),(28 50.95617),(29 33.14783),(30 32.157307),(31 32.15569),(32 35.25825),(33 42.610992),(34 32.220634),(35 32.315857),(36 32.8732),(37 41.154144),(38 37.535778),(39 37.518005),(40 36.0503),(41 28.568714),(42 27.348589),(43 27.36866),(44 40.204803),(45 47.091293),(46 47.12601),
