1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.00023306278),(2 1.2605964),(3 6.374321),(4 9.701798),(5 9.699958),(6 15.304773),(7 20.650246),(8 20.93029),(9 20.92889),(10 20.733576),(11 23.022758),(12 23.67688),(13 23.698296),(14 25.428844),(15 27.804022),(16 29.75167),(17 29.8236),(18 33.52628),(19 36.561703),(20 39.198246),(21 39.196114),(22 40.699978),(23 41.760834),(24 44.897125),(25 44.896236),(26 46.640263),(27 52.18668),(28 53.550766),(29 53.571472),(30 56.36112),(31 62.17732),(32 64.237404),(33 64.239685),(34 60.276455),(35 52.015656),(36 52.048813),(37 52.060944),(38 54.027336),(39 55.39648),(40 55.108944),(41 55.11572),(42 54.73655),(43 53.26819),(44 53.271694),
(1 0.0003404215),(2 2.1733162),(3 9.66582),(4 12.863663),(5 12.864936),(6 17.35799),(7 23.194786),(8 24.354101),(9 24.384804),(10 25.686945),(11 28.826895),(12 32.715084),(13 32.755665),(14 35.438267),(15 39.87649),(16 46.46193),(17 46.46391),(18 52.075493),(19 53.256935),(20 51.88946),(21 51.872185),(22 50.951183),(23 55.482025),(24 56.566353),(25 56.589043),(26 57.155956),(27 61.549904),(28 62.118454),(29 62.196453),(30 62.417778),(31 64.98649),(32 65.37278),(33 65.364174),(34 60.938484),(35 55.083164),(36 56.966576),(37 56.9544),(38 59.906303),(39 60.210907),(40 60.489048),(41 60.466072),(42 59.89669),(43 63.74217),(44 63.743732),
(1 0.00037082747),(2 2.1920016),(3 8.979061),(4 12.297247),(5 12.285748),(6 16.40812),(7 21.089096),(8 23.523478),(9 23.536182),(10 23.77097),(11 26.292326),(12 29.127594),(13 29.117674),(14 29.94978),(15 33.625942),(16 37.068142),(17 37.07551),(18 40.006817),(19 40.63446),(20 39.11137),(21 39.099827),(22 40.941135),(23 43.927456),(24 44.762493),(25 44.785225),(26 47.00158),(27 49.910927),(28 51.61616),(29 51.68062),(30 51.739464),(31 49.44629),(32 48.69059),(33 48.709423),(34 47.6956),(35 48.481133),(36 49.96911),(37 49.974537),(38 50.11906),(39 50.55704),(40 49.974606),(41 49.946667),(42 49.02319),(43 50.586414),(44 50.574512),
(1 0.0005647296),(2 2.5045247),(3 9.148551),(4 13.087274),(5 13.097076),(6 17.089005),(7 22.834755),(8 25.457714),(9 25.500563),(10 26.132174),(11 29.703049),(12 32.28831),(13 32.261),(14 32.99626),(15 37.509045),(16 40.2092),(17 40.23659),(18 40.507187),(19 40.148975),(20 40.6406),(21 40.632187),(22 40.570957),(23 42.33606),(24 41.532135),(25 41.53238),(26 41.504078),(27 44.250584),(28 46.886013),(29 47.021294),(30 45.338066),(31 48.297874),(32 49.711193),(33 49.706913),(34 47.415928),(35 43.19229),(36 43.266666),(37 43.25478),(38 44.195034),(39 44.480618),(40 44.58246),(41 44.570488),(42 43.692883),(43 45.64842),(44 45.6666),
(1 0.0006645278),(2 2.4028373),(3 8.992428),(4 12.458189),(5 12.473471),(6 15.647596),(7 21.129313),(8 23.278244),(9 23.310524),(10 25.226),(11 29.289925),(12 32.19983),(13 32.22729),(14 33.879753),(15 38.313255),(16 39.119232),(17 39.14059),(18 39.11768),(19 38.691227),(20 39.78346),(21 39.797573),(22 38.216667),(23 38.23112),(24 38.026627),(25 38.00649),(26 38.996166),(27 41.924393),(28 43.66617),(29 43.75296),(30 41.66905),(31 47.519726),(32 48.568447),(33 48.58144),(34 47.46827),(35 45.4573),(36 45.8374),(37 45.829754),(38 44.993008),(39 44.221363),(40 44.113083),(41 44.098244),(42 44.118687),(43 46.070866),(44 46.08474),
(1 0.0005538077),(2 1.8361893),(3 6.4965415),(4 8.491805),(5 8.495597),(6 10.134377),(7 12.586274),(8 13.833121),(9 13.850252),(10 15.837328),(11 17.787777),(12 19.403385),(13 19.411762),(14 20.225513),(15 20.410572),(16 21.122667),(17 21.150778),(18 21.56954),(19 22.250362),(20 23.37462),(21 23.376806),(22 22.176168),(23 23.126764),(24 22.796144),(25 22.803957),(26 22.324306),(27 23.409319),(28 23.545334),(29 23.599222),(30 23.196123),(31 24.865757),(32 26.434107),(33 26.448753),(34 26.15762),(35 26.323515),(36 27.417402),(37 27.412634),(38 26.86014),(39 26.370852),(40 26.931734),(41 26.925985),(42 26.73272),(43 27.89276),(44 27.891),
(1 0.00066902436),(2 1.8267308),(3 6.5394826),(4 8.802458),(5 8.800153),(6 10.852827),(7 14.076259),(8 16.004686),(9 16.01784),(10 17.809351),(11 19.944323),(12 21.537271),(13 21.55823),(14 22.936352),(15 24.207531),(16 24.010664),(17 24.040936),(18 24.051392),(19 24.485264),(20 25.028664),(21 25.046005),(22 23.809685),(23 22.602388),(24 22.628654),(25 22.624233),(26 23.333712),(27 24.87616),(28 26.042213),(29 26.150063),(30 25.275496),(31 26.89034),(32 28.57838),(33 28.581028),(34 29.681393),(35 28.478737),(36 27.425114),(37 27.43965),(38 27.562069),(39 26.85127),(40 26.872677),(41 26.870876),(42 26.57065),(43 27.428913),(44 27.427856),
(1 0.00067490514),(2 1.5975604),(3 6.200146),(4 8.630261),(5 8.628627),(6 9.90215),(7 12.362901),(8 13.758943),(9 13.774562),(10 15.206626),(11 17.384975),(12 18.217712),(13 18.246962),(14 18.617758),(15 19.494791),(16 19.918554),(17 19.92909),(18 20.125286),(19 20.509298),(20 21.56201),(21 21.559807),(22 20.679716),(23 20.056349),(24 19.79974),(25 19.798183),(26 19.362312),(27 21.051918),(28 21.185795),(29 21.290157),(30 20.677246),(31 21.79589),(32 22.79369),(33 22.793287),(34 23.854174),(35 23.046888),(36 22.885231),(37 22.905258),(38 22.445896),(39 22.29003),(40 22.62875),(41 22.62609),(42 22.239008),(43 22.444948),(44 22.443686),
(1 0.00067229604),(2 1.5305936),(3 5.285037),(4 7.027319),(5 7.0293274),(6 8.364009),(7 10.245865),(8 11.717085),(9 11.728783),(10 13.633281),(11 14.491594),(12 14.755581),(13 14.769572),(14 14.993585),(15 15.837618),(16 16.023489),(17 16.041845),(18 16.649708),(19 17.174389),(20 18.179287),(21 18.19338),(22 17.576998),(23 17.920427),(24 18.489285),(25 18.481209),(26 18.72051),(27 19.745157),(28 20.41905),(29 20.492895),(30 19.955294),(31 19.27424),(32 20.295076),(33 20.312885),(34 20.318699),(35 18.939734),(36 19.899296),(37 19.911047),(38 19.895113),(39 19.874672),(40 20.011234),(41 20.01335),(42 19.826742),(43 19.91846),(44 19.911163),
(1 0.0006384348),(2 1.4266456),(3 4.696735),(4 6.2436576),(5 6.245223),(6 7.153572),(7 8.84017),(8 10.212217),(9 10.2144375),(10 11.518229),(11 12.446664),(12 13.049037),(13 13.053369),(14 13.674208),(15 13.718215),(16 13.525075),(17 13.526614),(18 14.018546),(19 14.685734),(20 15.508287),(21 15.530206),(22 15.521246),(23 15.730267),(24 16.511354),(25 16.523546),(26 16.900787),(27 16.65057),(28 16.379887),(29 16.438023),(30 16.068184),(31 16.159494),(32 16.977863),(33 16.97472),(34 17.05846),(35 17.276514),(36 17.56622),(37 17.565155),(38 17.30522),(39 17.604261),(40 17.922428),(41 17.929625),(42 17.623564),(43 18.088324),(44 18.088419),
(1 0.0005273904),(2 1.0667855),(3 3.497793),(4 4.6731133),(5 4.672175),(6 5.2637305),(7 6.8731976),(8 8.343068),(9 8.345514),(10 9.065976),(11 9.615201),(12 10.302593),(13 10.306639),(14 10.854534),(15 10.943321),(16 10.9844675),(17 10.999811),(18 11.547841),(19 11.2779255),(20 11.709938),(21 11.71137),(22 11.396355),(23 11.594825),(24 11.938849),(25 11.934869),(26 11.90624),(27 12.150435),(28 12.578744),(29 12.640963),(30 12.652372),(31 12.869649),(32 13.395843),(33 13.386798),(34 13.577773),(35 13.362909),(36 13.425518),(37 13.422598),(38 13.293367),(39 13.082208),(40 13.062774),(41 13.068578),(42 12.50072),(43 12.53979),(44 12.53846),
