1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,
(1 0.00008888155),(2 0.23852378),(3 3.1179273),(4 2.650234),(5 2.66294),(6 5.2210026),(7 8.774568),(8 8.809563),(9 8.81614),(10 9.189418),(11 9.603702),(12 10.53068),(13 10.541257),(14 10.969682),(15 10.282999),(16 13.053461),(17 13.053398),(18 13.683607),(19 14.371199),(20 15.627026),(21 15.618394),(22 15.924038),(23 18.471172),(24 19.598225),(25 19.554892),(26 20.485315),(27 20.703701),(28 22.09017),(29 22.099335),(30 22.725317),(31 24.015097),(32 22.084337),(33 22.073866),(34 20.688242),(35 15.499508),(36 14.4049015),(37 14.433326),(38 14.26492),(39 14.570542),(40 14.678043),(41 14.687079),(42 15.310711),(43 17.188845),(44 17.186771),
(1 0.00015464032),(2 0.7260574),(3 3.685164),(4 4.396754),(5 4.390797),(6 7.5105257),(7 12.827533),(8 12.093267),(9 12.111144),(10 11.918094),(11 12.335831),(12 13.051832),(13 13.040343),(14 12.886482),(15 11.865619),(16 14.769723),(17 14.777834),(18 15.943345),(19 17.300175),(20 16.62739),(21 16.63266),(22 18.615765),(23 20.919786),(24 21.410664),(25 21.39506),(26 22.10425),(27 28.567112),(28 30.913479),(29 31.057032),(30 31.831724),(31 31.03477),(32 28.447985),(33 28.425121),(34 27.306572),(35 20.91789),(36 21.409246),(37 21.40199),(38 22.376783),(39 24.346947),(40 24.671238),(41 24.63757),(42 23.969212),(43 21.15908),(44 21.155073),
(1 0.00015063523),(2 0.85779),(3 5.5825434),(4 5.441375),(5 5.4290485),(6 7.2084093),(7 10.533815),(8 9.786232),(9 9.806762),(10 9.745851),(11 11.191778),(12 13.175826),(13 13.197393),(14 14.757474),(15 13.239697),(16 18.65148),(17 18.703102),(18 20.414333),(19 23.306112),(20 23.83265),(21 23.78871),(22 24.563156),(23 27.874212),(24 27.747211),(25 27.76181),(26 28.54719),(27 30.069252),(28 31.502792),(29 31.46514),(30 32.544262),(31 35.14463),(32 34.06771),(33 33.99844),(34 30.866627),(35 21.48346),(36 20.888916),(37 20.891298),(38 21.612495),(39 22.225077),(40 22.170479),(41 22.178307),(42 22.447704),(43 22.446508),(44 22.437819),
(1 0.0002504132),(2 1.2657876),(3 6.8873158),(4 7.052611),(5 7.0573287),(6 10.523905),(7 16.53721),(8 14.66189),(9 14.6733465),(10 14.489296),(11 17.00071),(12 18.885891),(13 18.925617),(14 21.129663),(15 22.776686),(16 23.830542),(17 23.92435),(18 24.778522),(19 27.492928),(20 28.058575),(21 28.03033),(22 28.148043),(23 33.354332),(24 36.454792),(25 36.45093),(26 40.077347),(27 46.49107),(28 43.083492),(29 43.113243),(30 44.288353),(31 48.413303),(32 49.524117),(33 49.50622),(34 49.744133),(35 38.527905),(36 38.77352),(37 38.784157),(38 38.196827),(39 38.413994),(40 37.725754),(41 37.687115),(42 37.00007),(43 36.365234),(44 36.359818),
(1 0.00030624145),(2 1.3860389),(3 6.1883483),(4 6.5425215),(5 6.5441446),(6 10.325159),(7 18.698656),(8 17.22513),(9 17.248652),(10 16.878527),(11 18.191431),(12 20.480947),(13 20.503014),(14 21.765398),(15 21.961246),(16 25.791977),(17 25.798513),(18 28.12388),(19 28.40753),(20 29.572603),(21 29.621876),(22 30.105545),(23 35.406334),(24 39.135212),(25 39.121056),(26 40.28494),(27 45.623512),(28 44.44336),(29 44.395775),(30 46.194496),(31 46.573868),(32 46.85561),(33 46.91764),(34 45.947502),(35 36.36752),(36 37.027714),(37 37.059727),(38 40.195347),(39 41.171757),(40 39.45899),(41 39.466606),(42 40.154964),(43 40.638157),(44 40.621487),
(1 0.00022910853),(2 1.2069411),(3 5.61697),(4 4.525249),(5 4.52985),(6 6.414212),(7 10.405845),(8 10.567559),(9 10.56548),(10 11.336763),(11 13.470741),(12 14.912315),(13 14.934746),(14 15.451842),(15 16.333048),(16 20.736477),(17 20.738775),(18 23.152822),(19 24.477585),(20 26.667423),(21 26.724318),(22 26.72439),(23 27.741125),(24 30.184559),(25 30.224398),(26 30.527122),(27 33.610245),(28 33.40315),(29 33.47618),(30 33.98287),(31 35.41522),(32 37.285114),(33 37.24897),(34 36.61851),(35 33.493717),(36 32.29151),(37 32.303894),(38 31.65439),(39 33.08723),(40 32.210766),(41 32.185246),(42 31.263302),(43 32.278175),(44 32.280296),
(1 0.00032392787),(2 1.4100493),(3 7.092798),(4 8.5415125),(5 8.5132065),(6 10.818423),(7 14.030628),(8 14.889551),(9 14.896627),(10 15.581443),(11 18.4163),(12 19.29268),(13 19.28605),(14 18.288502),(15 17.71301),(16 19.03455),(17 19.089691),(18 21.632238),(19 26.54451),(20 28.638048),(21 28.618168),(22 29.133308),(23 28.197077),(24 30.532446),(25 30.550676),(26 32.9433),(27 34.024815),(28 33.645),(29 33.687477),(30 34.990414),(31 36.66881),(32 38.501495),(33 38.482635),(34 38.42577),(35 31.047754),(36 31.922855),(37 31.913729),(38 31.882442),(39 31.913054),(40 31.50703),(41 31.51577),(42 30.693993),(43 31.353941),(44 31.366709),
(1 0.0004209424),(2 1.4630908),(3 5.8572907),(4 6.67711),(5 6.6763535),(6 9.609745),(7 14.311202),(8 14.059491),(9 14.059883),(10 14.900419),(11 17.695932),(12 18.863386),(13 18.90027),(14 18.830313),(15 20.818687),(16 23.948448),(17 23.90667),(18 25.833574),(19 29.15134),(20 31.090075),(21 31.06031),(22 33.694725),(23 35.02751),(24 36.169327),(25 36.21546),(26 37.129753),(27 41.03125),(28 44.136528),(29 44.223995),(30 43.29868),(31 39.79605),(32 39.79805),(33 39.785267),(34 38.882095),(35 34.540382),(36 32.871853),(37 32.834396),(38 32.922966),(39 33.288006),(40 32.669926),(41 32.674927),(42 33.586563),(43 33.643112),(44 33.638035),
(1 0.00045090285),(2 1.7181431),(3 7.1750836),(4 8.228245),(5 8.251581),(6 11.161748),(7 15.335825),(8 15.58071),(9 15.61484),(10 16.721106),(11 18.061798),(12 19.403288),(13 19.381708),(14 19.557034),(15 22.490004),(16 24.822578),(17 24.932589),(18 26.10372),(19 30.981318),(20 31.374239),(21 31.31807),(22 29.599098),(23 32.246376),(24 32.334496),(25 32.3331),(26 35.183567),(27 36.722076),(28 38.90761),(29 38.82461),(30 37.833553),(31 35.92278),(32 37.25432),(33 37.222313),(34 35.619007),(35 30.798716),(36 29.266485),(37 29.29064),(38 31.577835),(39 30.852333),(40 30.40734),(41 30.400892),(42 30.678179),(43 31.540253),(44 31.56003),
(1 0.00045814674),(2 1.5894685),(3 5.6871524),(4 6.4414015),(5 6.431207),(6 8.816058),(7 13.033094),(8 14.47808),(9 14.497151),(10 15.881687),(11 16.654173),(12 17.55671),(13 17.541725),(14 19.265675),(15 21.45673),(16 22.382565),(17 22.506252),(18 24.801237),(19 30.35796),(20 31.45321),(21 31.427109),(22 31.374815),(23 31.072847),(24 31.905674),(25 31.907635),(26 34.02888),(27 35.321815),(28 37.89271),(29 38.143036),(30 37.489815),(31 36.14409),(32 35.59462),(33 35.646263),(34 34.70262),(35 35.22641),(36 35.08855),(37 35.08156),(38 33.925735),(39 33.734795),(40 32.956196),(41 32.92559),(42 32.49934),(43 33.26642),(44 33.26798),
(1 0.00042283075),(2 1.385292),(3 5.1249),(4 5.851747),(5 5.8613834),(6 8.05166),(7 12.217436),(8 12.586457),(9 12.582883),(10 13.353363),(11 14.823602),(12 16.372519),(13 16.360016),(14 16.98461),(15 18.57827),(16 19.415268),(17 19.367502),(18 20.716879),(19 21.37255),(20 22.693233),(21 22.673695),(22 22.52732),(23 21.095121),(24 21.32088),(25 21.265734),(26 20.28352),(27 21.816248),(28 24.115675),(29 24.159304),(30 23.790619),(31 22.861366),(32 22.254892),(33 22.24932),(34 23.047956),(35 24.955864),(36 25.78751),(37 25.765482),(38 26.4052),(39 28.038721),(40 28.869394),(41 28.880148),(42 29.228256),(43 29.124931),(44 29.123075),
