1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.0002177158),(2 1.2982372),(3 5.699201),(4 7.8736987),(5 7.873094),(6 10.597284),(7 13.802123),(8 14.81027),(9 14.818109),(10 14.705027),(11 15.34423),(12 17.12451),(13 17.127684),(14 17.62269),(15 17.952528),(16 19.485388),(17 19.490719),(18 20.674026),(19 20.599724),(20 20.818377),(21 20.811264),(22 20.891409),(23 21.53615),(24 22.37054),(25 22.373133),(26 23.010693),(27 25.028215),(28 25.592457),(29 25.608675),(30 25.754742),(31 26.970297),(32 27.109615),(33 27.121485),(34 26.243328),(35 24.988813),(36 25.35292),(37 25.351027),(38 25.537218),(39 25.70465),(40 25.372677),(41 25.368366),(42 24.82079),(43 25.64022),(44 25.64512),
(1 0.0002985757),(2 1.1373702),(3 4.3546925),(4 5.910773),(5 5.9145317),(6 6.9979863),(7 9.205652),(8 10.369659),(9 10.379521),(10 11.132469),(11 12.442677),(12 13.141152),(13 13.143128),(14 13.582831),(15 14.1837015),(16 14.780153),(17 14.794296),(18 15.048376),(19 14.549783),(20 14.980242),(21 14.977495),(22 14.716053),(23 14.897661),(24 14.82785),(25 14.827449),(26 15.023589),(27 16.107962),(28 16.533472),(29 16.575666),(30 16.199198),(31 17.423697),(32 17.792904),(33 17.794582),(34 17.520727),(35 16.90855),(36 17.06252),(37 17.062246),(38 16.748184),(39 16.687584),(40 16.69149),(41 16.68397),(42 16.507717),(43 16.951574),(44 16.953913),
(1 0.00028503864),(2 0.7890753),(3 2.6105783),(4 3.6035619),(5 3.6030526),(6 4.344136),(7 5.65763),(8 6.267297),(9 6.272346),(10 6.8226776),(11 7.4196053),(12 7.541856),(13 7.551639),(14 7.5714855),(15 8.011178),(16 8.139614),(17 8.1493225),(18 8.264758),(19 8.76142),(20 9.063635),(21 9.066461),(22 8.721032),(23 8.467167),(24 8.552957),(25 8.5523405),(26 8.675689),(27 9.416044),(28 9.64504),(29 9.67863),(30 9.423745),(31 9.7968025),(32 10.349321),(33 10.353184),(34 10.552483),(35 10.09247),(36 10.234833),(37 10.239042),(38 10.172814),(39 10.025583),(40 10.196375),(41 10.194821),(42 9.93629),(43 10.074661),(44 10.0734215),
(1 0.0003270997),(2 0.68462217),(3 2.0953038),(4 2.8159516),(5 2.8165863),(6 3.2544546),(7 4.3169875),(8 4.901428),(9 4.9059305),(10 5.463591),(11 5.816536),(12 6.1455665),(13 6.1524243),(14 6.3435206),(15 6.4671407),(16 6.3706927),(17 6.378943),(18 6.64995),(19 6.610705),(20 6.8996134),(21 6.9028482),(22 6.791142),(23 6.939396),(24 7.1770544),(25 7.1760383),(26 7.2526784),(27 7.5561523),(28 7.647973),(29 7.671881),(30 7.543148),(31 7.569509),(32 7.7915363),(33 7.7867475),(34 7.8973746),(35 7.609399),(36 7.6681876),(37 7.66785),(38 7.630164),(39 7.702994),(40 7.867163),(41 7.8676653),(42 7.679758),(43 7.765677),(44 7.7645555),
(1 0.0003137613),(2 0.5193914),(3 1.6458864),(4 2.2344058),(5 2.235995),(6 2.4677734),(7 3.2551591),(8 3.6876807),(9 3.6934075),(10 4.009295),(11 4.2293644),(12 4.516463),(13 4.520112),(14 4.740127),(15 4.856885),(16 4.894156),(17 4.8981094),(18 5.184773),(19 5.11112),(20 5.2742996),(21 5.276745),(22 5.0214996),(23 5.1665897),(24 5.2973986),(25 5.2973413),(26 5.2208033),(27 5.5663342),(28 5.702298),(29 5.724396),(30 5.6670594),(31 5.640661),(32 5.877525),(33 5.8759356),(34 5.9581995),(35 5.8792777),(36 5.966443),(37 5.9650726),(38 5.879538),(39 5.7494836),(40 5.8212256),(41 5.8206935),(42 5.6275005),(43 5.6594415),(44 5.6585474),
(1 0.00023121235),(2 0.3227229),(3 1.012372),(4 1.3486447),(5 1.3495281),(6 1.4816322),(7 1.9246515),(8 2.163852),(9 2.1663644),(10 2.3683689),(11 2.5153844),(12 2.714737),(13 2.7143438),(14 2.760525),(15 2.8137474),(16 2.8220413),(17 2.8243132),(18 2.9168398),(19 2.8831596),(20 2.9823072),(21 2.984749),(22 2.8268886),(23 2.8732953),(24 2.9443915),(25 2.9451768),(26 2.8734064),(27 3.1953387),(28 3.3142374),(29 3.324402),(30 3.2508),(31 3.252318),(32 3.3985636),(33 3.398769),(34 3.3654943),(35 3.302974),(36 3.4057007),(37 3.4051237),(38 3.3487694),(39 3.2824352),(40 3.321306),(41 3.320852),(42 3.214288),(43 3.3189318),(44 3.3198376),
(1 0.00024631136),(2 0.27279636),(3 0.85018843),(4 1.1486312),(5 1.1495286),(6 1.2471927),(7 1.578382),(8 1.7578138),(9 1.7609268),(10 1.9253396),(11 2.0043023),(12 2.160363),(13 2.1611211),(14 2.1726747),(15 2.2678037),(16 2.2864048),(17 2.2862294),(18 2.370963),(19 2.2858105),(20 2.4297094),(21 2.4291954),(22 2.3106968),(23 2.3480315),(24 2.4196386),(25 2.4201348),(26 2.365791),(27 2.5972676),(28 2.674956),(29 2.6847596),(30 2.5983925),(31 2.6651082),(32 2.847003),(33 2.8454044),(34 2.802474),(35 2.7120562),(36 2.8221734),(37 2.820737),(38 2.7653012),(39 2.7034822),(40 2.7732046),(41 2.7724876),(42 2.645615),(43 2.694407),(44 2.6941648),
(1 0.00021889916),(2 0.20275077),(3 0.64976877),(4 0.85510623),(5 0.8552709),(6 0.91778433),(7 1.1626787),(8 1.2970262),(9 1.2971462),(10 1.4311817),(11 1.4660347),(12 1.5836003),(13 1.5831529),(14 1.6275729),(15 1.6798924),(16 1.705395),(17 1.704335),(18 1.7723786),(19 1.7286386),(20 1.8322448),(21 1.8321815),(22 1.7088727),(23 1.7721736),(24 1.8073013),(25 1.8079906),(26 1.7648882),(27 1.941969),(28 1.9886928),(29 1.9969417),(30 1.8951893),(31 1.9145284),(32 2.0154805),(33 2.0146077),(34 1.9888704),(35 1.9318355),(36 2.0097513),(37 2.0097783),(38 1.9888527),(39 1.9720942),(40 2.029256),(41 2.0289288),(42 1.9272329),(43 1.9550803),(44 1.9545089),
(1 0.00019754907),(2 0.1518023),(3 0.4770548),(4 0.6325304),(5 0.6328284),(6 0.6852621),(7 0.8573285),(8 0.96224326),(9 0.9635494),(10 1.0518296),(11 1.0926907),(12 1.1924676),(13 1.192589),(14 1.2011665),(15 1.2585652),(16 1.2587652),(17 1.2572141),(18 1.3178078),(19 1.2592857),(20 1.3244317),(21 1.3241297),(22 1.2416071),(23 1.2880579),(24 1.3477799),(25 1.3478978),(26 1.3336685),(27 1.4645678),(28 1.519257),(29 1.5301517),(30 1.465101),(31 1.4558189),(32 1.5152003),(33 1.5133195),(34 1.5158693),(35 1.4540806),(36 1.5195292),(37 1.5180901),(38 1.4935087),(39 1.5012655),(40 1.5391318),(41 1.5391136),(42 1.4537129),(43 1.5060228),(44 1.5059325),
(1 0.00018068546),(2 0.11522651),(3 0.3718317),(4 0.48405012),(5 0.48446044),(6 0.53032047),(7 0.6551494),(8 0.7156205),(9 0.7154052),(10 0.7663472),(11 0.8039269),(12 0.88427734),(13 0.88419443),(14 0.8949692),(15 0.95657045),(16 0.9595756),(17 0.95795715),(18 0.9911799),(19 0.9594061),(20 1.0243617),(21 1.0238038),(22 0.95155907),(23 0.9664088),(24 1.0019236),(25 1.0020146),(26 0.9871887),(27 1.0975207),(28 1.1350034),(29 1.1428301),(30 1.0840715),(31 1.0797805),(32 1.1488951),(33 1.1468846),(34 1.1338533),(35 1.0703121),(36 1.1364342),(37 1.1344339),(38 1.1221645),(39 1.1106117),(40 1.1374286),(41 1.1365424),(42 1.0789746),(43 1.1158577),(44 1.115684),
(1 0.00014187554),(2 0.08258203),(3 0.2645354),(4 0.34747514),(5 0.3477208),(6 0.3827731),(7 0.47068238),(8 0.5183658),(9 0.5185225),(10 0.5516887),(11 0.5741849),(12 0.63152856),(13 0.63122857),(14 0.63007104),(15 0.64343274),(16 0.65569943),(17 0.6544065),(18 0.6821149),(19 0.6485754),(20 0.6942715),(21 0.6937627),(22 0.65399337),(23 0.6875735),(24 0.7064088),(25 0.7066128),(26 0.6962824),(27 0.76957685),(28 0.78926486),(29 0.7917666),(30 0.74912405),(31 0.7404612),(32 0.78457606),(33 0.7829034),(34 0.7779374),(35 0.7412612),(36 0.7759876),(37 0.77569604),(38 0.7593466),(39 0.7590631),(40 0.7775176),(41 0.77753365),(42 0.7375035),(43 0.77554154),(44 0.7756088),
