1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.00029144308),(2 25.381287),(3 56.891426),(4 66.08266),(5 66.08559),(6 70.94595),(7 68.64895),(8 64.80843),(9 64.77903),(10 67.08245),(11 78.67083),(12 80.924614),(13 80.92638),(14 84.45634),(15 103.50182),(16 110.858635),(17 110.844505),(18 109.44177),(19 110.54041),(20 109.67363),(21 109.68066),(22 103.86414),(23 97.54547),(24 100.58606),(25 100.57506),(26 107.00233),(27 119.09395),(28 128.59312),(29 128.60187),(30 133.84845),(31 133.74606),(32 134.23012),(33 134.28232),(34 137.89409),(35 134.84578),(36 140.48997),(37 140.46654),(38 136.21344),(39 152.63364),(40 163.86087),(41 163.86551),(42 158.42503),(43 158.99884),(44 148.0571),(45 148.06857),(46 139.9296),
(1 0.0004554519),(2 24.141003),(3 45.084507),(4 56.47958),(5 56.490955),(6 61.434353),(7 66.58185),(8 67.94157),(9 67.9174),(10 64.638275),(11 68.134445),(12 72.531906),(13 72.53506),(14 74.63746),(15 90.5793),(16 101.19002),(17 101.213066),(18 99.95905),(19 95.16442),(20 97.965904),(21 97.94916),(22 95.22904),(23 92.75295),(24 98.598175),(25 98.595024),(26 108.844955),(27 119.0778),(28 121.30134),(29 121.302635),(30 123.54177),(31 123.51535),(32 117.65574),(33 117.66519),(34 117.45038),(35 119.237595),(36 121.762245),(37 121.74691),(38 121.879555),(39 126.80707),(40 131.5248),(41 131.52168),(42 132.14757),(43 125.26774),(44 119.91463),(45 119.913),(46 115.44207),
(1 0.0005162835),(2 15.59831),(3 35.514286),(4 43.362686),(5 43.37595),(6 44.644547),(7 46.986717),(8 50.519127),(9 50.516388),(10 48.58972),(11 49.990307),(12 51.22251),(13 51.23644),(14 52.089394),(15 57.60352),(16 64.23053),(17 64.22342),(18 65.390785),(19 66.25432),(20 66.35099),(21 66.36738),(22 64.242455),(23 65.78324),(24 67.031555),(25 67.04283),(26 70.02138),(27 76.79811),(28 80.03203),(29 80.05553),(30 80.99915),(31 83.46747),(32 83.75972),(33 83.76924),(34 80.885506),(35 78.80772),(36 78.27862),(37 78.28551),(38 78.26324),(39 80.06545),(40 82.0106),(41 82.01106),(42 77.59715),(43 76.23851),(44 75.93969),(45 75.934166),(46 71.86801),
(1 0.00073648005),(2 12.612729),(3 29.40498),(4 33.887905),(5 33.88941),(6 35.86968),(7 40.69107),(8 42.292873),(9 42.300457),(10 42.0097),(11 46.337135),(12 47.664227),(13 47.660484),(14 46.954613),(15 47.407684),(16 50.514256),(17 50.550117),(18 51.929264),(19 51.025276),(20 51.69281),(21 51.702175),(22 51.232906),(23 52.502777),(24 55.047653),(25 55.08352),(26 57.440365),(27 59.610935),(28 58.22004),(29 58.215374),(30 58.23667),(31 57.59604),(32 57.1646),(33 57.165073),(34 59.53637),(35 60.088463),(36 60.15435),(37 60.181477),(38 60.980247),(39 59.958622),(40 58.381645),(41 58.393684),(42 59.06644),(43 56.42426),(44 56.973785),(45 56.965725),(46 56.898754),
(1 0.0008295984),(2 11.764037),(3 26.215998),(4 31.254288),(5 31.254032),(6 31.591795),(7 35.31525),(8 36.495518),(9 36.50892),(10 35.165268),(11 37.256596),(12 37.55072),(13 37.556015),(14 36.69274),(15 38.903236),(16 40.255547),(17 40.274258),(18 40.67731),(19 40.828438),(20 41.022964),(21 41.034096),(22 42.609016),(23 42.246662),(24 44.509567),(25 44.518913),(26 45.93118),(27 47.49498),(28 45.970955),(29 45.97217),(30 44.452324),(31 45.93505),(32 45.96063),(33 45.970505),(34 45.754787),(35 48.523262),(36 47.16927),(37 47.18825),(38 47.092934),(39 47.52639),(40 47.435062),(41 47.44254),(42 46.543285),(43 44.89025),(44 45.35145),(45 45.3618),(46 45.946934),
(1 0.00062080624),(2 7.5816154),(3 15.536109),(4 17.617565),(5 17.6153),(6 18.619783),(7 19.907784),(8 20.983868),(9 20.996378),(10 20.132689),(11 21.941544),(12 22.77818),(13 22.795925),(14 21.958073),(15 23.435904),(16 24.330635),(17 24.336718),(18 23.773289),(19 23.741526),(20 24.09162),(21 24.105955),(22 23.968384),(23 24.094917),(24 24.126116),(25 24.14429),(26 24.142258),(27 25.53267),(28 24.756634),(29 24.754847),(30 24.658575),(31 25.333683),(32 26.33533),(33 26.346184),(34 26.09465),(35 26.681604),(36 26.3016),(37 26.30821),(38 25.866695),(39 25.480446),(40 26.102901),(41 26.116861),(42 25.78387),(43 24.645395),(44 24.881369),(45 24.889727),(46 24.989336),
(1 0.0007351728),(2 6.8444166),(3 14.080769),(4 16.278725),(5 16.280636),(6 16.795633),(7 18.232832),(8 19.240484),(9 19.250477),(10 18.275496),(11 18.301563),(12 18.227262),(13 18.22605),(14 17.800943),(15 19.277643),(16 20.378683),(17 20.387993),(18 20.00659),(19 20.636293),(20 20.11367),(21 20.11359),(22 19.7968),(23 20.406126),(24 20.919043),(25 20.924583),(26 20.050371),(27 21.265772),(28 21.45178),(29 21.452513),(30 21.075232),(31 21.618061),(32 22.649305),(33 22.65731),(34 22.257582),(35 22.84235),(36 23.014198),(37 23.017464),(38 22.158703),(39 21.792114),(40 22.283367),(41 22.281614),(42 22.249409),(43 21.206022),(44 21.862123),(45 21.873972),(46 21.337784),
(1 0.00068376306),(2 5.8683863),(3 11.21893),(4 13.122724),(5 13.120864),(6 13.54661),(7 14.3999405),(8 15.126106),(9 15.137168),(10 14.379743),(11 14.795954),(12 15.18174),(13 15.184895),(14 15.019029),(15 15.738288),(16 16.353037),(17 16.358541),(18 16.364702),(19 16.526512),(20 16.093216),(21 16.101608),(22 16.330404),(23 16.404448),(24 16.526133),(25 16.522604),(26 16.71429),(27 17.626072),(28 17.745129),(29 17.748892),(30 17.407223),(31 16.912754),(32 17.762585),(33 17.771353),(34 17.282524),(35 17.69831),(36 17.814358),(37 17.817219),(38 17.41241),(39 17.30246),(40 17.514704),(41 17.523603),(42 17.354544),(43 17.333687),(44 17.697617),(45 17.703333),(46 17.31567),
(1 0.00068162015),(2 4.593298),(3 9.092055),(4 10.417019),(5 10.409958),(6 11.073937),(7 11.607734),(8 12.224678),(9 12.230615),(10 11.30247),(11 11.506332),(12 11.609475),(13 11.6181),(14 11.4724),(15 12.158519),(16 12.862268),(17 12.859422),(18 12.695707),(19 12.639012),(20 12.622351),(21 12.624879),(22 12.340571),(23 12.539444),(24 12.657986),(25 12.659774),(26 12.771811),(27 13.3125),(28 13.630063),(29 13.628876),(30 13.139333),(31 13.03734),(32 13.659061),(33 13.658554),(34 13.188826),(35 13.27501),(36 13.763964),(37 13.765373),(38 13.641519),(39 13.51086),(40 14.051394),(41 14.054318),(42 13.986729),(43 13.188642),(44 13.3417845),(45 13.347418),(46 12.893971),
(1 0.00066703634),(2 3.8391724),(3 7.3540945),(4 8.318754),(5 8.316467),(6 8.705894),(7 9.262608),(8 9.433668),(9 9.439736),(10 9.03165),(11 9.2894335),(12 9.649257),(13 9.647335),(14 9.443367),(15 9.633178),(16 10.037231),(17 10.045496),(18 10.128914),(19 9.943301),(20 9.821866),(21 9.825027),(22 9.491401),(23 9.648528),(24 9.952279),(25 9.956966),(26 9.829929),(27 10.294067),(28 10.652941),(29 10.654359),(30 10.458239),(31 9.85709),(32 10.631334),(33 10.629386),(34 10.160623),(35 10.2434435),(36 10.623775),(37 10.623912),(38 10.467878),(39 10.301221),(40 10.474144),(41 10.475845),(42 9.944263),(43 10.035021),(44 10.374785),(45 10.376477),(46 10.065882),
(1 0.0005661978),(2 2.7759812),(3 5.369363),(4 6.0921607),(5 6.091004),(6 6.368671),(7 6.3910775),(8 6.7837524),(9 6.7846065),(10 6.691074),(11 6.8621283),(12 7.081348),(13 7.0840015),(14 6.9749265),(15 7.0756693),(16 7.5627737),(17 7.562001),(18 7.4092245),(19 7.191975),(20 7.3640227),(21 7.36113),(22 7.2400436),(23 7.291863),(24 7.558906),(25 7.5591707),(26 7.494893),(27 7.5032525),(28 7.7305837),(29 7.733726),(30 7.3465767),(31 7.3322062),(32 7.684434),(33 7.685347),(34 7.5176773),(35 7.449165),(36 7.7597647),(37 7.763147),(38 7.631257),(39 7.7675667),(40 8.025972),(41 8.026139),(42 7.821366),(43 7.365283),(44 7.644644),(45 7.6414013),(46 7.4299216),
