1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00031551026),(2 9.466415),(3 23.460407),(4 28.763704),(5 28.767208),(6 30.142435),(7 32.59107),(8 34.274414),(9 34.27389),(10 33.83841),(11 36.19353),(12 36.99592),(13 36.995808),(14 36.655525),(15 41.879837),(16 45.66699),(17 45.673923),(18 45.479424),(19 44.58307),(20 45.663685),(21 45.65888),(22 44.386322),(23 45.022793),(24 46.81121),(25 46.819626),(26 48.44858),(27 51.872883),(28 54.61),(29 54.615734),(30 55.413673),(31 55.1898),(32 54.7881),(33 54.797832),(34 55.19526),(35 57.414215),(36 58.09537),(37 58.093414),(38 57.12216),(39 57.808674),(40 57.44639),(41 57.44547),(42 55.511875),(43 54.95225),(44 52.908184),(45 52.91675),(46 52.513268),
(1 0.00042430445),(2 6.556961),(3 14.875988),(4 17.165903),(5 17.1728),(6 18.71173),(7 20.164179),(8 20.415426),(9 20.418903),(10 20.077671),(11 21.649729),(12 21.838852),(13 21.848406),(14 22.178738),(15 24.049355),(16 25.069408),(17 25.07712),(18 25.282679),(19 25.255407),(20 25.20328),(21 25.204842),(22 24.650087),(23 25.040201),(24 26.20403),(25 26.212307),(26 26.792467),(27 28.115997),(28 27.501442),(29 27.502686),(30 26.584394),(31 26.980436),(32 27.20368),(33 27.21701),(34 27.020792),(35 28.164808),(36 28.259836),(37 28.271774),(38 27.81428),(39 27.861628),(40 28.527943),(41 28.535215),(42 27.94355),(43 27.427387),(44 27.543827),(45 27.541876),(46 27.336658),
(1 0.0003827992),(2 3.775102),(3 7.893024),(4 9.696901),(5 9.698166),(6 10.360704),(7 11.019712),(8 11.480544),(9 11.487284),(10 11.062403),(11 11.428765),(12 11.819547),(13 11.822156),(14 11.788756),(15 12.355613),(16 12.974638),(17 12.979766),(18 12.622495),(19 12.43321),(20 12.24449),(21 12.25033),(22 12.276094),(23 12.516838),(24 12.76086),(25 12.76376),(26 12.377875),(27 13.226014),(28 13.396663),(29 13.401899),(30 13.33061),(31 13.516448),(32 13.853067),(33 13.859336),(34 13.288329),(35 14.2875185),(36 14.582022),(37 14.584506),(38 13.997917),(39 13.433654),(40 13.46844),(41 13.469844),(42 13.281267),(43 12.745976),(44 13.047241),(45 13.054574),(46 12.874525),
(1 0.00041386558),(2 2.846454),(3 5.7698236),(4 6.6647744),(5 6.6639233),(6 7.056341),(7 7.3936462),(8 7.8089113),(9 7.8113217),(10 7.3638115),(11 7.5972795),(12 7.74691),(13 7.74533),(14 7.747803),(15 7.990677),(16 8.498082),(17 8.501264),(18 8.462493),(19 8.230317),(20 8.251496),(21 8.253619),(22 8.134907),(23 8.224367),(24 8.480451),(25 8.48232),(26 8.5232725),(27 8.832169),(28 9.086489),(29 9.088283),(30 8.921554),(31 8.780066),(32 8.953098),(33 8.950747),(34 8.601694),(35 8.780017),(36 9.10332),(37 9.109289),(38 8.941048),(39 8.686337),(40 8.907923),(41 8.91004),(42 8.6639595),(43 8.677594),(44 8.814097),(45 8.814185),(46 8.5730915),
(1 0.0004084474),(2 1.9925673),(3 3.9281168),(4 4.500429),(5 4.5012445),(6 4.6824164),(7 4.7720394),(8 5.121989),(9 5.125425),(10 4.9363494),(11 5.0611887),(12 5.1628466),(13 5.164941),(14 5.104412),(15 5.2973666),(16 5.5870113),(17 5.589249),(18 5.500062),(19 5.395776),(20 5.539052),(21 5.5369663),(22 5.3385253),(23 5.3076577),(24 5.539219),(25 5.5399055),(26 5.4209375),(27 5.686383),(28 5.8475413),(29 5.8460493),(30 5.692496),(31 5.5733523),(32 5.726709),(33 5.7263694),(34 5.5779614),(35 5.6541376),(36 5.8612475),(37 5.8616424),(38 5.811501),(39 5.686812),(40 5.884794),(41 5.88489),(42 5.7381124),(43 5.5433736),(44 5.5637856),(45 5.560698),(46 5.4985604),
(1 0.00028042082),(2 1.0801754),(3 2.1343744),(4 2.5555544),(5 2.5568511),(6 2.6205835),(7 2.6818),(8 2.8029513),(9 2.803046),(10 2.756332),(11 2.7749543),(12 2.8444347),(13 2.8432186),(14 2.8182025),(15 2.8463743),(16 3.0956123),(17 3.0958931),(18 3.1050522),(19 3.0311978),(20 3.09587),(21 3.094125),(22 2.9470835),(23 2.885583),(24 3.093837),(25 3.0935774),(26 3.0095348),(27 3.1074975),(28 3.2177858),(29 3.2185814),(30 3.0665562),(31 3.0735626),(32 3.2345183),(33 3.2349727),(34 3.0935311),(35 3.171022),(36 3.3635335),(37 3.3628001),(38 3.1831245),(39 3.1312664),(40 3.2392857),(41 3.2387993),(42 3.1150832),(43 3.0444233),(44 3.1229038),(45 3.1219804),(46 3.045296),
(1 0.00026739071),(2 0.8905234),(3 1.6695011),(4 1.9669733),(5 1.9681007),(6 1.9674116),(7 1.9981968),(8 2.121668),(9 2.1196346),(10 2.0136626),(11 2.017238),(12 2.0893242),(13 2.0879269),(14 2.0716028),(15 2.159731),(16 2.3399067),(17 2.3387659),(18 2.2832584),(19 2.248954),(20 2.3151836),(21 2.3148494),(22 2.2667544),(23 2.2153533),(24 2.3431551),(25 2.342843),(26 2.257288),(27 2.3089159),(28 2.4122617),(29 2.4132354),(30 2.315391),(31 2.323584),(32 2.3850915),(33 2.3859925),(34 2.2907715),(35 2.346506),(36 2.4805596),(37 2.4803944),(38 2.4120252),(39 2.361739),(40 2.4571426),(41 2.45831),(42 2.3356106),(43 2.3161476),(44 2.3769474),(45 2.3748715),(46 2.3136473),
(1 0.00022194235),(2 0.64573646),(3 1.2697686),(4 1.4652584),(5 1.4650422),(6 1.4389431),(7 1.4439174),(8 1.5112777),(9 1.5112152),(10 1.4471914),(11 1.491206),(12 1.5519192),(13 1.5519569),(14 1.5409898),(15 1.5731126),(16 1.7001623),(17 1.6989388),(18 1.6669933),(19 1.6586074),(20 1.7001777),(21 1.6997492),(22 1.6185242),(23 1.6141595),(24 1.7028083),(25 1.7022256),(26 1.6680418),(27 1.6984649),(28 1.8080648),(29 1.8081977),(30 1.7157428),(31 1.7129904),(32 1.8418735),(33 1.841347),(34 1.7001839),(35 1.7459817),(36 1.8525667),(37 1.8523499),(38 1.7788972),(39 1.7371448),(40 1.7894993),(41 1.7895842),(42 1.7117541),(43 1.6722513),(44 1.7348388),(45 1.7338275),(46 1.6690766),
(1 0.00019757422),(2 0.47067517),(3 0.8900535),(4 1.0123949),(5 1.0120493),(6 0.9979977),(7 1.0157696),(8 1.085582),(9 1.0857416),(10 1.0374023),(11 1.063078),(12 1.1218967),(13 1.1217839),(14 1.1000409),(15 1.108266),(16 1.1987704),(17 1.1993123),(18 1.1621917),(19 1.1507084),(20 1.1923907),(21 1.1918886),(22 1.1376113),(23 1.138818),(24 1.1982225),(25 1.197742),(26 1.172758),(27 1.2103164),(28 1.2721363),(29 1.272121),(30 1.2210183),(31 1.2094582),(32 1.2652982),(33 1.2649894),(34 1.1987324),(35 1.2348953),(36 1.2892587),(37 1.288543),(38 1.2309006),(39 1.2102772),(40 1.2524351),(41 1.2529211),(42 1.2189449),(43 1.186804),(44 1.2029985),(45 1.2021455),(46 1.1678296),
(1 0.00017948287),(2 0.35168678),(3 0.6638595),(4 0.74059016),(5 0.7404144),(6 0.7503345),(7 0.786224),(8 0.8113376),(9 0.81177974),(10 0.7892112),(11 0.77562946),(12 0.80884165),(13 0.80780625),(14 0.78171617),(15 0.82107973),(16 0.88118297),(17 0.8808821),(18 0.8708658),(19 0.8548803),(20 0.8813079),(21 0.88002586),(22 0.83274233),(23 0.8357416),(24 0.8820313),(25 0.8818227),(26 0.86512035),(27 0.89649767),(28 0.94672525),(29 0.94687086),(30 0.8994038),(31 0.8987683),(32 0.9417287),(33 0.94132674),(34 0.90018976),(35 0.9286955),(36 0.9575458),(37 0.956545),(38 0.92272246),(39 0.9002632),(40 0.9492533),(41 0.94845486),(42 0.9138988),(43 0.8843477),(44 0.90623814),(45 0.9049139),(46 0.87627393),
