1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,
(1 0.005135302),(2 0.009194066),(3 0.014890553),(4 0.021960134),(5 0.030124081),(6 0.039101604),(7 0.048742596),(8 0.05925685),(9 0.07036972),(10 0.08224444),(11 0.09465154),(12 0.10762059),(13 0.121175565),(14 0.13513944),(15 0.14959335),(16 0.16462632),(17 0.18015459),(18 0.19613104),(19 0.21291246),(20 0.23013079),(21 0.24787334),(22 0.26575676),(23 0.28432104),(24 0.3030497),(25 0.32201716),(26 0.3414453),(27 0.36132458),(28 0.38150543),(29 0.40211213),(30 0.4231902),(31 0.4445189),(32 0.466355),(33 0.4884355),(34 0.5108631),(35 0.5335742),(36 0.5565007),(37 0.5797115),(38 0.60306615),(39 0.62665063),(40 0.65055966),(41 0.6747568),(42 0.6989996),(43 0.72376436),(44 0.74881154),(45 0.7739091),(46 0.7990603),(47 0.82432353),(48 0.8499103),(49 0.8748511),(50 0.90007985),(51 0.9251875),(52 0.95018786),(53 0.9751933),(54 1.0004498),(55 1.0257325),(56 1.0506209),(57 1.0753397),(58 1.1002542),(59 1.1249648),(60 1.1494149),(61 1.1732357),(62 1.1971705),(63 1.2209617),(64 1.2441907),(65 1.2678287),(66 1.2908351),(67 1.3134693),(68 1.3361183),(69 1.3582339),(70 1.3801515),(71 1.4020859),(72 1.4235444),(73 1.4444623),(74 1.4653862),(75 1.4860324),(76 1.5062083),(77 1.5261602),(78 1.5455056),(79 1.5648153),
(1 0.010497898),(2 0.019678846),(3 0.032606773),(4 0.048997927),(5 0.06824254),(6 0.09004439),(7 0.11404467),(8 0.14080341),(9 0.16949844),(10 0.20037356),(11 0.2332244),(12 0.26795608),(13 0.3044074),(14 0.3426134),(15 0.38261473),(16 0.4241685),(17 0.46723667),(18 0.5120431),(19 0.5584712),(20 0.6060608),(21 0.6551782),(22 0.7052097),(23 0.7567266),(24 0.80951184),(25 0.8634425),(26 0.9183161),(27 0.9746559),(28 1.0319635),(29 1.0899891),(30 1.1493256),(31 1.2094104),(32 1.2703255),(33 1.3317689),(34 1.3934435),(35 1.4556699),(36 1.5176957),(37 1.5803688),(38 1.6427115),(39 1.7058212),(40 1.7690614),(41 1.832615),(42 1.8960464),(43 1.9601498),(44 2.024073),(45 2.0871181),(46 2.1498437),(47 2.2127721),(48 2.275478),(49 2.3369217),(50 2.3980887),(51 2.458108),(52 2.5176425),(53 2.577311),(54 2.635989),(55 2.694338),(56 2.7514517),(57 2.8074863),(58 2.8627262),(59 2.9173012),(60 2.9702187),(61 3.0218382),(62 3.0720134),(63 3.1211514),(64 3.1688883),(65 3.2162347),(66 3.2614276),(67 3.305255),(68 3.347252),(69 3.388244),(70 3.427942),(71 3.4671912),(72 3.5052323),(73 3.541281),(74 3.576005),(75 3.60997),(76 3.6422675),(77 3.673419),(78 3.7026417),(79 3.7304015),
(1 0.015953962),(2 0.030295674),(3 0.050855868),(4 0.07692704),(5 0.10792711),(6 0.14322019),(7 0.18263975),(8 0.2263875),(9 0.273817),(10 0.32487035),(11 0.37982154),(12 0.43815947),(13 0.4999012),(14 0.5643243),(15 0.6318669),(16 0.7025179),(17 0.77538687),(18 0.85105413),(19 0.9291506),(20 1.0095025),(21 1.0920454),(22 1.1761692),(23 1.2622862),(24 1.3498698),(25 1.4390875),(26 1.5294673),(27 1.6210215),(28 1.7135683),(29 1.8068211),(30 1.9005376),(31 1.995289),(32 2.0904946),(33 2.1864414),(34 2.2815185),(35 2.3765287),(36 2.4712892),(37 2.564984),(38 2.6586032),(39 2.7513516),(40 2.8435202),(41 2.9345262),(42 3.0248759),(43 3.1139674),(44 3.20154),(45 3.2876139),(46 3.3710556),(47 3.4533072),(48 3.533748),(49 3.611388),(50 3.687381),(51 3.7602775),(52 3.8311493),(53 3.9003768),(54 3.9672852),(55 4.031762),(56 4.0924764),(57 4.1509123),(58 4.206916),(59 4.2597337),(60 4.309918),(61 4.35752),(62 4.4021277),(63 4.4442306),(64 4.482887),(65 4.5199256),(66 4.553607),(67 4.5838737),(68 4.6106915),(69 4.6352663),(70 4.6572104),(71 4.677073),(72 4.6948686),(73 4.7098417),(74 4.7224755),(75 4.732638),(76 4.739954),(77 4.744645),(78 4.7477174),(79 4.749124),
(1 0.032695767),(2 0.0648876),(3 0.111643605),(4 0.1722882),(5 0.24601486),(6 0.3314313),(7 0.42787328),(8 0.53543127),(9 0.6534236),(10 0.781119),(11 0.91825855),(12 1.0646563),(13 1.2191695),(14 1.3820454),(15 1.5525928),(16 1.7305877),(17 1.9136984),(18 2.1038132),(19 2.2997851),(20 2.4999354),(21 2.7048645),(22 2.9119604),(23 3.1222029),(24 3.3336334),(25 3.5464714),(26 3.7595732),(27 3.9737592),(28 4.187174),(29 4.4002085),(30 4.611397),(31 4.8204165),(32 5.027022),(33 5.2307825),(34 5.4299817),(35 5.6255136),(36 5.8151603),(37 6.0000567),(38 6.1789165),(39 6.3533096),(40 6.5203276),(41 6.6811857),(42 6.834779),(43 6.9824657),(44 7.121402),(45 7.253585),(46 7.376136),(47 7.4938335),(48 7.6015573),(49 7.700846),(50 7.7920895),(51 7.875184),(52 7.9493575),(53 8.016462),(54 8.075783),(55 8.12692),(56 8.170937),(57 8.207048),(58 8.2369995),(59 8.258918),(60 8.273609),(61 8.281943),(62 8.2824335),(63 8.276669),(64 8.264657),(65 8.248083),(66 8.224982),(67 8.196472),(68 8.1627),(69 8.124774),(70 8.082542),(71 8.036747),(72 7.986879),(73 7.9332395),(74 7.877787),(75 7.8202176),(76 7.7592926),(77 7.6969953),(78 7.6323195),(79 7.567118),
(1 0.049188685),(2 0.097881496),(3 0.16902274),(4 0.26099184),(5 0.37287796),(6 0.50272965),(7 0.6496627),(8 0.8135898),(9 0.9922416),(10 1.1860455),(11 1.3930538),(12 1.6132046),(13 1.8454382),(14 2.0885212),(15 2.3415823),(16 2.6043506),(17 2.8743331),(18 3.152354),(19 3.4371758),(20 3.7262795),(21 4.0193005),(22 4.3146415),(23 4.6105266),(24 4.9060626),(25 5.2015505),(26 5.494086),(27 5.7846413),(28 6.0716324),(29 6.354161),(30 6.630576),(31 6.902214),(32 7.1656365),(33 7.4220996),(34 7.6685214),(35 7.906772),(36 8.133181),(37 8.348491),(38 8.552214),(39 8.744122),(40 8.923208),(41 9.089847),(42 9.242772),(43 9.385357),(44 9.512506),(45 9.627244),(46 9.727665),(47 9.818112),(48 9.89313),(49 9.956551),(50 10.006557),(51 10.044215),(52 10.069932),(53 10.083901),(54 10.085963),(55 10.078375),(56 10.061205),(57 10.033642),(58 9.998587),(59 9.954794),(60 9.904249),(61 9.846924),(62 9.784087),(63 9.714755),(64 9.641108),(65 9.563335),(66 9.482867),(67 9.397931),(68 9.311005),(69 9.223285),(70 9.133431),(71 9.045085),(72 8.954264),(73 8.863519),(74 8.773243),(75 8.68459),(76 8.597687),(77 8.51198),(78 8.429082),(79 8.3505335),
(1 0.05783759),(2 0.11802413),(3 0.20679693),(4 0.32235092),(5 0.4633722),(6 0.6284331),(7 0.81527513),(8 1.0238538),(9 1.2517097),(10 1.4982101),(11 1.7607785),(12 2.038765),(13 2.3304453),(14 2.6335382),(15 2.9462104),(16 3.267571),(17 3.5940354),(18 3.925855),(19 4.2602262),(20 4.5961833),(21 4.9302597),(22 5.261919),(23 5.587409),(24 5.9051676),(25 6.216698),(26 6.5181103),(27 6.8079414),(28 7.0858917),(29 7.350818),(30 7.6020103),(31 7.8374314),(32 8.056116),(33 8.25952),(34 8.444727),(35 8.612719),(36 8.761479),(37 8.891689),(38 9.0033),(39 9.097082),(40 9.172145),(41 9.228815),(42 9.268384),(43 9.291383),(44 9.296618),(45 9.286252),(46 9.258826),(47 9.218405),(48 9.164907),(49 9.099176),(50 9.020331),(51 8.930682),(52 8.832041),(53 8.724428),(54 8.611457),(55 8.491528),(56 8.366242),(57 8.237258),(58 8.105304),(59 7.971221),(60 7.836282),(61 7.7005925),(62 7.5680804),(63 7.438356),(64 7.311265),(65 7.188432),(66 7.0706015),(67 6.95847),(68 6.853512),(69 6.754897),(70 6.66465),(71 6.5812345),(72 6.505642),(73 6.4388657),(74 6.3813195),(75 6.3323803),(76 6.2920785),(77 6.2599587),(78 6.237398),(79 6.2235417),
(1 0.09247386),(2 0.18856713),(3 0.33086088),(4 0.5162021),(5 0.7427246),(6 1.0063831),(7 1.3049854),(8 1.6358496),(9 1.9966935),(10 2.3844604),(11 2.7954936),(12 3.225956),(13 3.673885),(14 4.1365485),(15 4.610899),(16 5.0924335),(17 5.577141),(18 6.0644617),(19 6.549033),(20 7.0301023),(21 7.5029125),(22 7.964451),(23 8.410763),(24 8.841257),(25 9.252486),(26 9.641402),(27 10.007899),(28 10.349074),(29 10.66569),(30 10.953732),(31 11.213484),(32 11.440517),(33 11.6417265),(34 11.808619),(35 11.946298),(36 12.052497),(37 12.126815),(38 12.174518),(39 12.192298),(40 12.183341),(41 12.1495075),(42 12.090052),(43 12.009726),(44 11.905966),(45 11.786384),(46 11.646878),(47 11.494314),(48 11.326409),(49 11.148177),(50 10.958324),(51 10.759495),(52 10.557072),(53 10.35045),(54 10.14192),(55 9.9334545),(56 9.728397),(57 9.5274935),(58 9.330344),(59 9.141763),(60 8.961967),(61 8.795457),(62 8.63947),(63 8.496199),(64 8.367109),(65 8.253423),(66 8.154462),(67 8.07132),(68 8.002836),(69 7.9507284),(70 7.913825),(71 7.8922176),(72 7.885868),(73 7.894964),(74 7.916364),(75 7.9512095),(76 7.9979486),(77 8.056408),(78 8.124764),(79 8.203031),
(1 0.12840864),(2 0.2580392),(3 0.44909525),(4 0.69642407),(5 0.9972547),(6 1.347069),(7 1.7424248),(8 2.1802073),(9 2.6550229),(10 3.1622856),(11 3.6969001),(12 4.254654),(13 4.830438),(14 5.420505),(15 6.02007),(16 6.6225185),(17 7.221462),(18 7.8161187),(19 8.399673),(20 8.970181),(21 9.518995),(22 10.046294),(23 10.545898),(24 11.015114),(25 11.450486),(26 11.853033),(27 12.217808),(28 12.5431595),(29 12.830862),(30 13.077365),(31 13.282338),(32 13.444107),(33 13.568449),(34 13.65028),(35 13.694526),(36 13.702241),(37 13.670075),(38 13.608221),(39 13.515419),(40 13.393304),(41 13.244647),(42 13.07392),(43 12.883419),(44 12.676001),(45 12.454555),(46 12.221318),(47 11.982565),(48 11.737735),(49 11.491844),(50 11.244161),(51 10.997097),(52 10.758271),(53 10.528468),(54 10.308416),(55 10.099047),(56 9.905816),(57 9.727309),(58 9.564244),(59 9.416753),(60 9.28927),(61 9.180967),(62 9.092356),(63 9.023525),(64 8.973361),(65 8.943445),(66 8.9321785),(67 8.93989),(68 8.964076),(69 9.006424),(70 9.06349),(71 9.13506),(72 9.217837),(73 9.313396),(74 9.417978),(75 9.530904),(76 9.651182),(77 9.774553),(78 9.903328),(79 10.0327425),
(1 0.17734206),(2 0.36109713),(3 0.6298496),(4 0.98094726),(5 1.4049464),(6 1.8977509),(7 2.4503787),(8 3.0605862),(9 3.7173738),(10 4.4118066),(11 5.1389184),(12 5.89006),(13 6.657879),(14 7.4355054),(15 8.214293),(16 8.982708),(17 9.7332945),(18 10.462517),(19 11.16094),(20 11.821883),(21 12.440007),(22 13.011443),(23 13.532816),(24 13.999658),(25 14.409154),(26 14.760324),(27 15.049466),(28 15.277338),(29 15.447165),(30 15.554697),(31 15.602618),(32 15.598184),(33 15.538868),(34 15.429361),(35 15.273303),(36 15.07318),(37 14.8374605),(38 14.571049),(39 14.277806),(40 13.962506),(41 13.629846),(42 13.283427),(43 12.934685),(44 12.582916),(45 12.238754),(46 11.899647),(47 11.5747795),(48 11.265791),(49 10.976556),(50 10.7091675),(51 10.46865),(52 10.254572),(53 10.072705),(54 9.921551),(55 9.799309),(56 9.713562),(57 9.65986),(58 9.636512),(59 9.644846),(60 9.680864),(61 9.743595),(62 9.831112),(63 9.939965),(64 10.072387),(65 10.221235),(66 10.383309),(67 10.558034),(68 10.7412405),(69 10.928303),(70 11.117928),(71 11.308592),(72 11.496636),(73 11.676978),(74 11.849602),(75 12.011482),(76 12.161133),(77 12.29592),(78 12.415538),(79 12.516186),
(1 0.21812834),(2 0.44440126),(3 0.7770522),(4 1.2081634),(5 1.7287934),(6 2.3295288),(7 3.0013978),(8 3.7370918),(9 4.5221944),(10 5.3478026),(11 6.2009635),(12 7.070639),(13 7.94787),(14 8.822713),(15 9.683015),(16 10.515993),(17 11.312644),(18 12.069174),(19 12.771628),(20 13.41701),(21 13.996726),(22 14.509805),(23 14.948413),(24 15.3156),(25 15.604204),(26 15.821278),(27 15.962893),(28 16.031662),(29 16.03506),(30 15.971803),(31 15.848913),(32 15.671307),(33 15.443741),(34 15.170472),(35 14.86129),(36 14.522925),(37 14.163233),(38 13.788154),(39 13.410669),(40 13.030567),(41 12.654191),(42 12.289359),(43 11.945056),(44 11.623945),(45 11.33082),(46 11.070108),(47 10.84029),(48 10.647495),(49 10.488038),(50 10.367558),(51 10.287013),(52 10.244218),(53 10.237895),(54 10.268394),(55 10.329999),(56 10.422274),(57 10.543588),(58 10.686843),(59 10.851428),(60 11.03408),(61 11.226478),(62 11.42742),(63 11.636093),(64 11.842963),(65 12.048229),(66 12.246265),(67 12.434845),(68 12.610476),(69 12.771433),(70 12.918984),(71 13.043234),(72 13.150654),(73 13.234412),(74 13.296472),(75 13.337722),(76 13.357483),(77 13.359242),(78 13.340821),(79 13.303508),
(1 0.2389011),(2 0.4911766),(3 0.86145777),(4 1.3400115),(5 1.9181997),(6 2.5825496),(7 3.32097),(8 4.1217103),(9 4.9706373),(10 5.8515677),(11 6.752832),(12 7.658175),(13 8.555255),(14 9.432002),(15 10.273864),(16 11.066644),(17 11.800807),(18 12.472606),(19 13.069075),(20 13.585318),(21 14.017045),(22 14.36298),(23 14.621673),(24 14.788488),(25 14.871684),(26 14.873461),(27 14.803458),(28 14.658433),(29 14.454527),(30 14.188378),(31 13.881906),(32 13.535977),(33 13.162332),(34 12.771355),(35 12.372412),(36 11.972755),(37 11.584688),(38 11.210847),(39 10.864702),(40 10.550335),(41 10.26739),(42 10.030151),(43 9.834861),(44 9.687005),(45 9.589264),(46 9.538883),(47 9.53433),(48 9.576316),(49 9.660056),(50 9.783254),(51 9.938443),(52 10.127679),(53 10.340121),(54 10.573791),(55 10.823458),(56 11.082984),(57 11.341715),(58 11.600729),(59 11.855731),(60 12.095527),(61 12.319792),(62 12.521589),(63 12.700119),(64 12.853772),(65 12.979694),(66 13.075842),(67 13.143165),(68 13.17976),(69 13.184806),(70 13.161562),(71 13.110401),(72 13.034836),(73 12.935667),(74 12.821759),(75 12.692633),(76 12.550997),(77 12.404414),(78 12.249379),(79 12.09428),
(1 0.37564456),(2 0.7743141),(3 1.3584158),(4 2.11105),(5 3.014238),(6 4.0525303),(7 5.1979675),(8 6.4307714),(9 7.7227244),(10 9.053548),(11 10.398251),(12 11.734831),(13 13.036299),(14 14.285482),(15 15.460568),(16 16.542192),(17 17.516108),(18 18.373743),(19 19.101551),(20 19.689846),(21 20.14341),(22 20.456036),(23 20.633226),(24 20.672535),(25 20.587795),(26 20.390558),(27 20.094904),(28 19.709644),(29 19.2497),(30 18.725939),(31 18.158258),(32 17.565672),(33 16.956385),(34 16.34975),(35 15.758137),(36 15.196452),(37 14.67627),(38 14.208752),(39 13.803162),(40 13.467589),(41 13.201034),(42 13.009752),(43 12.893723),(44 12.852733),(45 12.883456),(46 12.980465),(47 13.137564),(48 13.349409),(49 13.602007),(50 13.897116),(51 14.219785),(52 14.55891),(53 14.907555),(54 15.25925),(55 15.601337),(56 15.924385),(57 16.221416),(58 16.49021),(59 16.718079),(60 16.910255),(61 17.056374),(62 17.15719),(63 17.216621),(64 17.232204),(65 17.20271),(66 17.13755),(67 17.03438),(68 16.897793),(69 16.733564),(70 16.547213),(71 16.346746),(72 16.1389),(73 15.92529),(74 15.714559),(75 15.517386),(76 15.328066),(77 15.159615),(78 15.014789),(79 14.89099),
(1 0.4465237),(2 0.92701954),(3 1.631544),(4 2.5360646),(5 3.6200454),(6 4.851403),(7 6.2058725),(8 7.649117),(9 9.152671),(10 10.677378),(11 12.193633),(12 13.6734705),(13 15.08861),(14 16.40908),(15 17.613123),(16 18.671585),(17 19.57365),(18 20.314993),(19 20.884249),(20 21.270985),(21 21.480927),(22 21.524187),(23 21.40849),(24 21.142466),(25 20.744976),(26 20.24259),(27 19.647738),(28 18.988678),(29 18.282303),(30 17.54502),(31 16.807932),(32 16.09067),(33 15.410833),(34 14.781658),(35 14.226939),(36 13.751335),(37 13.371801),(38 13.092618),(39 12.911684),(40 12.836528),(41 12.86435),(42 12.987952),(43 13.199479),(44 13.487461),(45 13.843353),(46 14.253183),(47 14.700276),(48 15.173436),(49 15.655318),(50 16.131798),(51 16.589872),(52 17.018337),(53 17.404053),(54 17.747667),(55 18.030075),(56 18.249771),(57 18.398174),(58 18.47524),(59 18.482323),(60 18.423847),(61 18.304848),(62 18.12615),(63 17.90187),(64 17.641132),(65 17.344482),(66 17.028482),(67 16.69669),(68 16.366667),(69 16.039125),(70 15.730721),(71 15.44299),(72 15.185673),(73 14.962057),(74 14.784818),(75 14.654245),(76 14.569273),(77 14.531386),(78 14.5416975),(79 14.599035),
(1 0.52232474),(2 1.0750449),(3 1.8809146),(4 2.913588),(5 4.143524),(6 5.5321198),(7 7.0469885),(8 8.645019),(9 10.290174),(10 11.942013),(11 13.560447),(12 15.107968),(13 16.559677),(14 17.88863),(15 19.063803),(16 20.068693),(17 20.881361),(18 21.504536),(19 21.936289),(20 22.16665),(21 22.212482),(22 22.081205),(23 21.797258),(24 21.374706),(25 20.831594),(26 20.20255),(27 19.508848),(28 18.77055),(29 18.013962),(30 17.26639),(31 16.553783),(32 15.895365),(33 15.30273),(34 14.796077),(35 14.386459),(36 14.078636),(37 13.881816),(38 13.789234),(39 13.798538),(40 13.901429),(41 14.093012),(42 14.362064),(43 14.69256),(44 15.074321),(45 15.492125),(46 15.928535),(47 16.362469),(48 16.789928),(49 17.190157),(50 17.551634),(51 17.860928),(52 18.121769),(53 18.32017),(54 18.454638),(55 18.523626),(56 18.526987),(57 18.468481),(58 18.354147),(59 18.196106),(60 17.99298),(61 17.756872),(62 17.499475),(63 17.230343),(64 16.956533),(65 16.687592),(66 16.433455),(67 16.201326),(68 16.001276),(69 15.835529),(70 15.699945),(71 15.607482),(72 15.555765),(73 15.546718),(74 15.579562),(75 15.646211),(76 15.74849),(77 15.8736),(78 16.027294),(79 16.189909),
(1 0.58014077),(2 1.1977277),(3 2.0968568),(4 3.242259),(5 4.5900826),(6 6.101708),(7 7.7318845),(8 9.424638),(9 11.145117),(10 12.839111),(11 14.461332),(12 15.978891),(13 17.35256),(14 18.548037),(15 19.554659),(16 20.345701),(17 20.918028),(18 21.264954),(19 21.400768),(20 21.327967),(21 21.063694),(22 20.635998),(23 20.074661),(24 19.400726),(25 18.649466),(26 17.852364),(27 17.037336),(28 16.233028),(29 15.468337),(30 14.768043),(31 14.153229),(32 13.64221),(33 13.242034),(34 12.9572315),(35 12.791508),(36 12.741422),(37 12.817036),(38 12.99315),(39 13.260271),(40 13.603732),(41 14.003624),(42 14.452619),(43 14.924493),(44 15.4014435),(45 15.860846),(46 16.295252),(47 16.690187),(48 17.02647),(49 17.295061),(50 17.496391),(51 17.622692),(52 17.676853),(53 17.662403),(54 17.582842),(55 17.440596),(56 17.245235),(57 17.00832),(58 16.747095),(59 16.469357),(60 16.184473),(61 15.905956),(62 15.645401),(63 15.417102),(64 15.22223),(65 15.064777),(66 14.953639),(67 14.888221),(68 14.867327),(69 14.894429),(70 14.958466),(71 15.060174),(72 15.195063),(73 15.351524),(74 15.529568),(75 15.710861),(76 15.897045),(77 16.073435),(78 16.242075),(79 16.39137),
(1 0.6978862),(2 1.4533212),(3 2.5523095),(4 3.9473646),(5 5.5888643),(6 7.416436),(7 9.372988),(8 11.395634),(9 13.421655),(10 15.386202),(11 17.235832),(12 18.92595),(13 20.416681),(14 21.660753),(15 22.651283),(16 23.35858),(17 23.789295),(18 23.955572),(19 23.870945),(20 23.551132),(21 23.023968),(22 22.334568),(23 21.520424),(24 20.620203),(25 19.67891),(26 18.738821),(27 17.833342),(28 17.001663),(29 16.27128),(30 15.667364),(31 15.201252),(32 14.892519),(33 14.738245),(34 14.741503),(35 14.891715),(36 15.177081),(37 15.5775585),(38 16.076164),(39 16.639524),(40 17.23885),(41 17.85079),(42 18.459642),(43 19.028511),(44 19.548037),(45 19.99013),(46 20.347956),(47 20.610922),(48 20.765814),(49 20.824486),(50 20.781681),(51 20.645605),(52 20.428856),(53 20.146109),(54 19.807133),(55 19.422785),(56 19.02816),(57 18.629427),(58 18.241304),(59 17.890654),(60 17.576746),(61 17.315723),(62 17.118242),(63 16.986128),(64 16.926609),(65 16.927675),(66 16.990274),(67 17.109293),(68 17.281319),(69 17.487526),(70 17.721172),(71 17.973902),(72 18.232477),(73 18.488148),(74 18.73166),(75 18.95694),(76 19.153265),(77 19.310915),(78 19.430725),(79 19.503654),
