1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.0030223145),(2 0.005049603),(3 0.007812001),(4 0.011071703),(5 0.01477764),(6 0.01869906),(7 0.023058072),(8 0.027720422),(9 0.03242639),(10 0.037450682),(11 0.04260084),(12 0.047918007),(13 0.053466685),(14 0.058955383),(15 0.0645459),(16 0.07025902),(17 0.07609691),(18 0.08205586),(19 0.08814359),(20 0.094420776),(21 0.10081155),(22 0.10749819),(23 0.114365675),(24 0.12120718),(25 0.12830484),(26 0.13543594),(27 0.14289767),(28 0.15017761),(29 0.15775709),(30 0.16513498),(31 0.17269424),(32 0.18020763),(33 0.18803892),(34 0.19553564),(35 0.20355144),(36 0.21132866),(37 0.2193038),(38 0.22693263),(39 0.23459439),(40 0.24198373),(41 0.24985635),(42 0.2574611),(43 0.2646137),(44 0.27202597),(45 0.27968442),(46 0.2871254),(47 0.2948541),(48 0.30251497),(49 0.31035355),(50 0.3180053),(51 0.3258305),(52 0.3335321),(53 0.34149784),(54 0.34966257),(55 0.3578366),(56 0.36568594),(57 0.37371254),(58 0.38140395),(59 0.38949063),(60 0.39754796),(61 0.40571922),(62 0.41360748),(63 0.4218461),(64 0.43000835),(65 0.43853515),(66 0.44698793),(67 0.45543146),(68 0.4639456),(69 0.4724044),(70 0.48100495),(71 0.4896935),(72 0.49870807),(73 0.5076627),(74 0.51692754),(75 0.5262199),(76 0.53589106),(77 0.54515725),(78 0.5545431),(79 0.5639046),
(1 0.0060533187),(2 0.011439216),(3 0.018848907),(4 0.028123522),(5 0.03897265),(6 0.0514312),(7 0.065326065),(8 0.08075622),(9 0.0973814),(10 0.11547259),(11 0.1346386),(12 0.15537944),(13 0.17747489),(14 0.2003833),(15 0.22435518),(16 0.24931455),(17 0.27542278),(18 0.3027905),(19 0.33119103),(20 0.36082703),(21 0.3916235),(22 0.42356262),(23 0.4567204),(24 0.49077654),(25 0.52556986),(26 0.5607719),(27 0.597296),(28 0.63418096),(29 0.67238253),(30 0.7111051),(31 0.7511093),(32 0.7914468),(33 0.83305275),(34 0.8749564),(35 0.91796255),(36 0.9616384),(37 1.005889),(38 1.0513904),(39 1.0969161),(40 1.1431547),(41 1.190216),(42 1.2371082),(43 1.2844069),(44 1.3321769),(45 1.3801558),(46 1.4278897),(47 1.4760804),(48 1.5246559),(49 1.573261),(50 1.622241),(51 1.6714189),(52 1.7200798),(53 1.7689205),(54 1.8173302),(55 1.8654673),(56 1.9139321),(57 1.9612157),(58 2.0083022),(59 2.0557396),(60 2.103142),(61 2.1499329),(62 2.1959314),(63 2.2422202),(64 2.2874458),(65 2.3328595),(66 2.377563),(67 2.4219542),(68 2.465803),(69 2.508433),(70 2.5515397),(71 2.5933025),(72 2.6342478),(73 2.6749642),(74 2.7145247),(75 2.753546),(76 2.791544),(77 2.8285916),(78 2.8651404),(79 2.9014041),
(1 0.008659348),(2 0.016105825),(3 0.02645868),(4 0.039540585),(5 0.05497872),(6 0.07253237),(7 0.09230893),(8 0.11417626),(9 0.13777785),(10 0.16325542),(11 0.1908281),(12 0.22014944),(13 0.2517565),(14 0.28469762),(15 0.3194089),(16 0.3552904),(17 0.3929188),(18 0.43230772),(19 0.4727199),(20 0.5148993),(21 0.5583908),(22 0.60322225),(23 0.64987314),(24 0.6974206),(25 0.7461115),(26 0.79542625),(27 0.84660846),(28 0.8990046),(29 0.95221883),(30 1.005895),(31 1.0610791),(32 1.116291),(33 1.1725473),(34 1.2294701),(35 1.287003),(36 1.3452492),(37 1.4041166),(38 1.4643068),(39 1.5242954),(40 1.5843412),(41 1.6445875),(42 1.7039769),(43 1.7644604),(44 1.8247728),(45 1.8851),(46 1.9447298),(47 2.0044515),(48 2.0647638),(49 2.1238487),(50 2.183563),(51 2.242901),(52 2.301596),(53 2.3598795),(54 2.418343),(55 2.476033),(56 2.5329642),(57 2.588189),(58 2.642452),(59 2.697561),(60 2.7515047),(61 2.8049448),(62 2.8567352),(63 2.9085197),(64 2.9591682),(65 3.0095036),(66 3.058078),(67 3.1064198),(68 3.1529458),(69 3.1979008),(70 3.2426805),(71 3.286139),(72 3.328823),(73 3.3697083),(74 3.4089253),(75 3.4476104),(76 3.4850042),(77 3.520918),(78 3.5551038),(79 3.5890188),
(1 0.016460441),(2 0.03180574),(3 0.05352612),(4 0.08157408),(5 0.1153113),(6 0.15402424),(7 0.19812123),(8 0.24750113),(9 0.30160037),(10 0.36074802),(11 0.4245433),(12 0.49348533),(13 0.56674),(14 0.6445881),(15 0.7264669),(16 0.81232595),(17 0.9012887),(18 0.9951177),(19 1.0923179),(20 1.1925527),(21 1.2971134),(22 1.4043084),(23 1.5150218),(24 1.6285132),(25 1.7451857),(26 1.8640358),(27 1.9854481),(28 2.1089833),(29 2.235326),(30 2.3619769),(31 2.4925485),(32 2.6226885),(33 2.754437),(34 2.8880055),(35 3.0217562),(36 3.1557622),(37 3.2915082),(38 3.4268286),(39 3.5626771),(40 3.697614),(41 3.833124),(42 3.9681668),(43 4.1029754),(44 4.236397),(45 4.3698163),(46 4.499401),(47 4.6284175),(48 4.754918),(49 4.8796263),(50 5.0026264),(51 5.1227837),(52 5.2406445),(53 5.3574843),(54 5.471403),(55 5.5835767),(56 5.6908755),(57 5.795631),(58 5.894991),(59 5.99164),(60 6.08395),(61 6.1729517),(62 6.2568655),(63 6.337424),(64 6.414256),(65 6.487604),(66 6.5547986),(67 6.619398),(68 6.6776266),(69 6.7313724),(70 6.781586),(71 6.828916),(72 6.8724346),(73 6.910455),(74 6.943534),(75 6.9731445),(76 6.997818),(77 7.018454),(78 7.0348125),(79 7.0489793),
(1 0.023606095),(2 0.04425813),(3 0.07284212),(4 0.108913176),(5 0.152289),(6 0.20144269),(7 0.25707388),(8 0.31880477),(9 0.38598406),(10 0.45886388),(11 0.5372776),(12 0.621543),(13 0.71008044),(14 0.8035167),(15 0.9005142),(16 1.0021217),(17 1.1082026),(18 1.2188247),(19 1.3331124),(20 1.4502758),(21 1.57111),(22 1.6958572),(23 1.8222929),(24 1.9506043),(25 2.0819323),(26 2.2151167),(27 2.3501468),(28 2.4864724),(29 2.624748),(30 2.761573),(31 2.901463),(32 3.0409076),(33 3.1809177),(34 3.3209002),(35 3.461478),(36 3.6017458),(37 3.7424452),(38 3.88103),(39 4.0194945),(40 4.156399),(41 4.2939043),(42 4.428598),(43 4.562124),(44 4.6932716),(45 4.8219013),(46 4.9467072),(47 5.0699396),(48 5.188457),(49 5.3061333),(50 5.419456),(51 5.52975),(52 5.6359215),(53 5.7398987),(54 5.8402033),(55 5.937101),(56 6.02934),(57 6.11746),(58 6.1998153),(59 6.2805142),(60 6.357094),(61 6.4302306),(62 6.498046),(63 6.563008),(64 6.6225295),(65 6.6798096),(66 6.731844),(67 6.7811985),(68 6.8236604),(69 6.8616667),(70 6.8963103),(71 6.927021),(72 6.9542675),(73 6.9758587),(74 6.9922447),(75 7.0060782),(76 7.0141),(77 7.0189743),(78 7.0197883),(79 7.0165353),
(1 0.029070923),(2 0.05772837),(3 0.09974667),(4 0.154425),(5 0.22149086),(6 0.2990249),(7 0.38715875),(8 0.48618934),(9 0.5944103),(10 0.7123706),(11 0.8391965),(12 0.9750302),(13 1.118679),(14 1.2694836),(15 1.4267902),(16 1.5903733),(17 1.7601434),(18 1.9355134),(19 2.1153395),(20 2.2997885),(21 2.4872096),(22 2.6779153),(23 2.8711054),(24 3.066037),(25 3.2620034),(26 3.4577687),(27 3.6533842),(28 3.8482106),(29 4.042652),(30 4.235051),(31 4.4257274),(32 4.6129436),(33 4.7987533),(34 4.9802046),(35 5.157487),(36 5.328164),(37 5.4925404),(38 5.650803),(39 5.803005),(40 5.946412),(41 6.0836487),(42 6.213526),(43 6.3362284),(44 6.4509645),(45 6.558581),(46 6.6578617),(47 6.748922),(48 6.830295),(49 6.902182),(50 6.9654493),(51 7.019043),(52 7.0617204),(53 7.098189),(54 7.1263986),(55 7.144621),(56 7.1534925),(57 7.153994),(58 7.1451983),(59 7.1255875),(60 7.1015706),(61 7.0683184),(62 7.0261793),(63 6.9771686),(64 6.920943),(65 6.8582563),(66 6.790648),(67 6.7186646),(68 6.63874),(69 6.5544324),(70 6.4649186),(71 6.3728576),(72 6.276995),(73 6.17591),(74 6.0751595),(75 5.969801),(76 5.862531),(77 5.755979),(78 5.6476455),(79 5.537394),
(1 0.044663858),(2 0.08981557),(3 0.15521987),(4 0.24001648),(5 0.34310576),(6 0.46420202),(7 0.6023395),(8 0.7571531),(9 0.92672795),(10 1.1106464),(11 1.3086094),(12 1.5186098),(13 1.7403485),(14 1.9730413),(15 2.2144854),(16 2.4656045),(17 2.7235303),(18 2.988197),(19 3.2602627),(20 3.534649),(21 3.813824),(22 4.0964837),(23 4.3813906),(24 4.6653743),(25 4.9506364),(26 5.2328873),(27 5.514181),(28 5.7913585),(29 6.066259),(30 6.3336196),(31 6.596168),(32 6.850548),(33 7.098085),(34 7.336541),(35 7.566638),(36 7.7886343),(37 7.9967875),(38 8.194782),(39 8.382071),(40 8.556114),(41 8.717712),(42 8.867525),(43 9.005324),(44 9.126774),(45 9.2373905),(46 9.331482),(47 9.413468),(48 9.48047),(49 9.533135),(50 9.571786),(51 9.596574),(52 9.608964),(53 9.607313),(54 9.595134),(55 9.569992),(56 9.532778),(57 9.483188),(58 9.4243555),(59 9.355519),(60 9.278011),(61 9.193429),(62 9.098038),(63 8.995167),(64 8.889533),(65 8.777956),(66 8.660314),(67 8.53735),(68 8.409847),(69 8.277846),(70 8.143371),(71 8.010206),(72 7.874836),(73 7.738856),(74 7.606714),(75 7.4737124),(76 7.3453226),(77 7.2145357),(78 7.0886674),(79 6.9654493),
(1 0.06362666),(2 0.1298591),(3 0.22786093),(4 0.35537052),(5 0.51143587),(6 0.69345295),(7 0.9017705),(8 1.1350851),(9 1.3900497),(10 1.6674285),(11 1.9640249),(12 2.27827),(13 2.60837),(14 2.9536345),(15 3.3120363),(16 3.6805353),(17 4.0560484),(18 4.438378),(19 4.826631),(20 5.2176204),(21 5.6086564),(22 5.9999633),(23 6.387713),(24 6.7679086),(25 7.143102),(26 7.507541),(27 7.8622127),(28 8.203241),(29 8.532684),(30 8.845564),(31 9.143145),(32 9.42412),(33 9.685702),(34 9.926137),(35 10.145723),(36 10.346902),(37 10.524868),(38 10.682723),(39 10.818145),(40 10.92948),(41 11.017628),(42 11.083432),(43 11.126783),(44 11.146002),(45 11.144438),(46 11.122179),(47 11.079744),(48 11.01681),(49 10.935538),(50 10.838407),(51 10.721463),(52 10.594816),(53 10.453103),(54 10.301009),(55 10.137907),(56 9.966067),(57 9.7851095),(58 9.601151),(59 9.409949),(60 9.218542),(61 9.021758),(62 8.82389),(63 8.628242),(64 8.434906),(65 8.246262),(66 8.060237),(67 7.8820987),(68 7.7084894),(69 7.5436926),(70 7.3894873),(71 7.2427583),(72 7.108658),(73 6.9842615),(74 6.8711047),(75 6.7675056),(76 6.6773725),(77 6.600502),(78 6.5342674),(79 6.4814773),
(1 0.084365204),(2 0.16744663),(3 0.28821316),(4 0.44439405),(5 0.635024),(6 0.8556032),(7 1.1074146),(8 1.3866234),(9 1.6922758),(10 2.01981),(11 2.367571),(12 2.7348545),(13 3.1175725),(14 3.5156066),(15 3.9242253),(16 4.34089),(17 4.7647443),(18 5.1912503),(19 5.619175),(20 6.045582),(21 6.4653835),(22 6.880582),(23 7.2849884),(24 7.6785254),(25 8.060119),(26 8.423402),(27 8.7680025),(28 9.096559),(29 9.404473),(30 9.691165),(31 9.956419),(32 10.1974125),(33 10.416081),(34 10.607728),(35 10.775994),(36 10.918237),(37 11.031048),(38 11.120358),(39 11.183986),(40 11.221556),(41 11.233325),(42 11.221334),(43 11.18793),(44 11.133934),(45 11.058099),(46 10.96597),(47 10.856468),(48 10.732608),(49 10.592972),(50 10.438351),(51 10.272931),(52 10.099575),(53 9.918068),(54 9.731669),(55 9.540111),(56 9.345333),(57 9.15237),(58 8.957886),(59 8.765199),(60 8.575276),(61 8.39329),(62 8.217826),(63 8.049765),(64 7.8911858),(65 7.741238),(66 7.6052055),(67 7.4796324),(68 7.3702216),(69 7.2767158),(70 7.1938357),(71 7.125489),(72 7.0709586),(73 7.030262),(74 7.0025544),(75 6.9884806),(76 6.9870667),(77 6.9983964),(78 7.021651),(79 7.0518236),
(1 0.10511037),(2 0.21192399),(3 0.36946657),(4 0.5749763),(5 0.8261703),(6 1.1184207),(7 1.4499446),(8 1.8175297),(9 2.215299),(10 2.6422892),(11 3.0959349),(12 3.5681703),(13 4.0597267),(14 4.5649376),(15 5.0781364),(16 5.597167),(17 6.114849),(18 6.629638),(19 7.138008),(20 7.640507),(21 8.124915),(22 8.593069),(23 9.043448),(24 9.470281),(25 9.867454),(26 10.23823),(27 10.577888),(28 10.88232),(29 11.1572075),(30 11.396565),(31 11.596082),(32 11.763174),(33 11.893503),(34 11.986977),(35 12.043329),(36 12.061874),(37 12.043556),(38 11.995722),(39 11.914823),(40 11.804553),(41 11.66831),(42 11.507337),(43 11.326211),(44 11.122206),(45 10.903114),(46 10.6676655),(47 10.424988),(48 10.17338),(49 9.915818),(50 9.656605),(51 9.392966),(52 9.132146),(53 8.874102),(54 8.621877),(55 8.377081),(56 8.144995),(57 7.930707),(58 7.726921),(59 7.5433693),(60 7.3758097),(61 7.2325964),(62 7.1103067),(63 7.009275),(64 6.93183),(65 6.8772774),(66 6.8456254),(67 6.8361025),(68 6.851877),(69 6.8903427),(70 6.947203),(71 7.0230265),(72 7.1199436),(73 7.231665),(74 7.3563795),(75 7.4979224),(76 7.6502934),(77 7.814326),(78 7.984693),(79 8.161401),
(1 0.117519535),(2 0.24289009),(3 0.4279958),(4 0.6692492),(5 0.9636441),(6 1.3076795),(7 1.6963038),(8 2.126604),(9 2.5930955),(10 3.0899866),(11 3.6173108),(12 4.162384),(13 4.729384),(14 5.3071823),(15 5.8914776),(16 6.476237),(17 7.0579906),(18 7.6335564),(19 8.194),(20 8.73832),(21 9.261281),(22 9.756718),(23 10.225752),(24 10.661445),(25 11.057918),(26 11.421959),(27 11.741837),(28 12.025312),(29 12.268639),(30 12.469354),(31 12.63121),(32 12.747106),(33 12.826679),(34 12.861071),(35 12.855012),(36 12.812052),(37 12.730372),(38 12.621809),(39 12.476846),(40 12.30661),(41 12.110428),(42 11.89406),(43 11.658806),(44 11.403218),(45 11.140205),(46 10.865062),(47 10.589497),(48 10.312372),(49 10.034659),(50 9.765527),(51 9.50299),(52 9.252921),(53 9.016979),(54 8.800503),(55 8.601444),(56 8.424042),(57 8.2732725),(58 8.144177),(59 8.042772),(60 7.9654446),(61 7.9173555),(62 7.897454),(63 7.9023976),(64 7.9347634),(65 7.991901),(66 8.072083),(67 8.176662),(68 8.297535),(69 8.44163),(70 8.602561),(71 8.77695),(72 8.961712),(73 9.158867),(74 9.363008),(75 9.569747),(76 9.777613),(77 9.983658),(78 10.182695),(79 10.376305),
