1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,
(1 0.0014080303),(2 0.00232431),(3 0.0036117367),(4 0.0050730268),(5 0.0066842907),(6 0.008325334),(7 0.010068847),(8 0.012003167),(9 0.013906391),(10 0.015849397),(11 0.017867325),(12 0.020034583),(13 0.022080235),(14 0.024195455),(15 0.02611397),(16 0.028166365),(17 0.030087076),(18 0.032122836),(19 0.034097023),(20 0.03625487),(21 0.03831568),(22 0.0405392),(23 0.042686217),(24 0.044960126),(25 0.047128182),(26 0.049497068),(27 0.051769953),(28 0.054322094),(29 0.05692681),(30 0.05950855),(31 0.062410362),(32 0.06512132),(33 0.067785814),(34 0.07072498),(35 0.07381571),(36 0.07660941),(37 0.07970269),(38 0.08268802),(39 0.085824564),(40 0.08901702),(41 0.09223356),(42 0.09562859),(43 0.09893256),(44 0.10237309),(45 0.10577747),(46 0.109215036),(47 0.11222698),(48 0.11540865),(49 0.118525304),(50 0.12154981),(51 0.12472101),(52 0.12804073),(53 0.13153751),(54 0.13471988),(55 0.13834007),(56 0.14192368),(57 0.14571229),(58 0.14955378),(59 0.15361066),(60 0.15765159),(61 0.1616302),(62 0.16570681),(63 0.16968644),(64 0.17381874),(65 0.17776255),(66 0.18195601),(67 0.18613558),(68 0.19052887),(69 0.19476649),(70 0.19914195),(71 0.20383286),(72 0.20864283),(73 0.21323648),(74 0.21846981),(75 0.22373334),(76 0.22922121),(77 0.23454306),(78 0.2400037),(79 0.24529855),
(1 0.0026031605),(2 0.0043373764),(3 0.0068286723),(4 0.0096900165),(5 0.012905367),(6 0.016360492),(7 0.020010296),(8 0.023825949),(9 0.027816717),(10 0.03192125),(11 0.035982937),(12 0.040490013),(13 0.04506531),(14 0.049884282),(15 0.054795224),(16 0.06026153),(17 0.065962285),(18 0.07183606),(19 0.07806932),(20 0.08443888),(21 0.09103602),(22 0.09800855),(23 0.10494119),(24 0.112355515),(25 0.11975515),(26 0.12749426),(27 0.13519354),(28 0.14320545),(29 0.15169826),(30 0.16018455),(31 0.16907384),(32 0.17810218),(33 0.18761921),(34 0.19737332),(35 0.20798458),(36 0.2184018),(37 0.22926262),(38 0.24009766),(39 0.25144246),(40 0.26249412),(41 0.27406162),(42 0.28551373),(43 0.29720464),(44 0.30857524),(45 0.32048905),(46 0.33220553),(47 0.34401017),(48 0.35606754),(49 0.3680675),(50 0.37978294),(51 0.39154327),(52 0.40351534),(53 0.41544318),(54 0.42773142),(55 0.44011393),(56 0.45280832),(57 0.46593636),(58 0.47916663),(59 0.49260736),(60 0.50614643),(61 0.519985),(62 0.53356606),(63 0.5472684),(64 0.56128114),(65 0.57536864),(66 0.58970046),(67 0.60416794),(68 0.6189104),(69 0.6335955),(70 0.6482081),(71 0.6628824),(72 0.67810047),(73 0.6929799),(74 0.7081833),(75 0.7236785),(76 0.7392082),(77 0.7543478),(78 0.76961136),(79 0.7850431),
(1 0.0035217907),(2 0.006242822),(3 0.01016659),(4 0.014721842),(5 0.019832155),(6 0.025571039),(7 0.031926215),(8 0.038947262),(9 0.046144094),(10 0.05391607),(11 0.06199945),(12 0.070621155),(13 0.079598375),(14 0.089054234),(15 0.09892147),(16 0.10909281),(17 0.119892776),(18 0.1312556),(19 0.14323393),(20 0.15582457),(21 0.16865544),(22 0.18227553),(23 0.19626592),(24 0.21098861),(25 0.22583179),(26 0.24125655),(27 0.2572566),(28 0.2733416),(29 0.28956607),(30 0.3057953),(31 0.322928),(32 0.34023985),(33 0.357859),(34 0.37560216),(35 0.39426073),(36 0.41300765),(37 0.4324694),(38 0.45214048),(39 0.47243178),(40 0.49306735),(41 0.5140347),(42 0.53550774),(43 0.55712456),(44 0.57899565),(45 0.6014624),(46 0.6240321),(47 0.6468039),(48 0.67009705),(49 0.693691),(50 0.7168838),(51 0.73951775),(52 0.76248187),(53 0.7856853),(54 0.8090591),(55 0.8328435),(56 0.856347),(57 0.87990063),(58 0.90378433),(59 0.9278691),(60 0.9526869),(61 0.97747743),(62 1.0025914),(63 1.0275795),(64 1.0523393),(65 1.0775852),(66 1.1026568),(67 1.1271508),(68 1.1521435),(69 1.1762596),(70 1.2005765),(71 1.2246158),(72 1.248622),(73 1.2721652),(74 1.2960049),(75 1.3201228),(76 1.3446621),(77 1.3692111),(78 1.3936747),(79 1.4182175),
(1 0.0065849954),(2 0.012262116),(3 0.0206703),(4 0.031055482),(5 0.043024503),(6 0.05710808),(7 0.07262907),(8 0.090138525),(9 0.109101035),(10 0.12948868),(11 0.151778),(12 0.17547323),(13 0.20051652),(14 0.22714062),(15 0.2551952),(16 0.28442743),(17 0.31578165),(18 0.34877983),(19 0.3833317),(20 0.4196687),(21 0.45713675),(22 0.49589345),(23 0.5361321),(24 0.5775431),(25 0.6206788),(26 0.66416174),(27 0.70906806),(28 0.7547839),(29 0.80184805),(30 0.84974176),(31 0.8991823),(32 0.9491178),(33 1.0005676),(34 1.0519778),(35 1.1049764),(36 1.158682),(37 1.213924),(38 1.2694327),(39 1.326302),(40 1.3851821),(41 1.4442016),(42 1.5041113),(43 1.5651536),(44 1.6264098),(45 1.6884547),(46 1.7501997),(47 1.8120289),(48 1.8749809),(49 1.9367554),(50 1.9998515),(51 2.0632844),(52 2.1265554),(53 2.1902015),(54 2.2541919),(55 2.318394),(56 2.3837142),(57 2.4477634),(58 2.5121055),(59 2.5769844),(60 2.6419947),(61 2.7056835),(62 2.7703676),(63 2.8344114),(64 2.897577),(65 2.9605994),(66 3.0237603),(67 3.0863812),(68 3.149251),(69 3.2107708),(70 3.2721424),(71 3.3330889),(72 3.392564),(73 3.452762),(74 3.5121768),(75 3.5703793),(76 3.6281707),(77 3.6847734),(78 3.7410595),(79 3.7964034),
(1 0.010037385),(2 0.020294912),(3 0.03557411),(4 0.055429447),(5 0.078945905),(6 0.1065317),(7 0.13807347),(8 0.17365327),(9 0.21342926),(10 0.25660765),(11 0.303664),(12 0.35451177),(13 0.40901348),(14 0.46783718),(15 0.5295794),(16 0.5945641),(17 0.6635177),(18 0.7364598),(19 0.8119602),(20 0.8916761),(21 0.9742422),(22 1.0593212),(23 1.1477324),(24 1.2386843),(25 1.3332769),(26 1.4289464),(27 1.5281518),(28 1.6297123),(29 1.7340363),(30 1.8406768),(31 1.9500358),(32 2.0610695),(33 2.1746242),(34 2.2891798),(35 2.406251),(36 2.5253646),(37 2.64655),(38 2.7702863),(39 2.8947508),(40 3.0211585),(41 3.1497228),(42 3.278627),(43 3.4092882),(44 3.542225),(45 3.6755376),(46 3.8077178),(47 3.941653),(48 4.0769715),(49 4.2107124),(50 4.3475504),(51 4.4836197),(52 4.6184983),(53 4.755653),(54 4.891635),(55 5.0281754),(56 5.165235),(57 5.3011785),(58 5.435868),(59 5.5714626),(60 5.7051425),(61 5.836621),(62 5.9674783),(63 6.0987325),(64 6.22647),(65 6.3550224),(66 6.481671),(67 6.607338),(68 6.7324543),(69 6.854621),(70 6.9751678),(71 7.095464),(72 7.214811),(73 7.332196),(74 7.4478035),(75 7.560302),(76 7.6698356),(77 7.778487),(78 7.8841877),(79 7.988714),
(1 0.010180897),(2 0.02043584),(3 0.035055015),(4 0.05418312),(5 0.077148974),(6 0.10456167),(7 0.13523899),(8 0.17043212),(9 0.2093611),(10 0.25175443),(11 0.29836223),(12 0.348614),(13 0.4026773),(14 0.4603329),(15 0.52133495),(16 0.58611435),(17 0.6544707),(18 0.72613835),(19 0.8007636),(20 0.8789834),(21 0.96045405),(22 1.0444342),(23 1.1325428),(24 1.2229853),(25 1.3164846),(26 1.4125168),(27 1.5108958),(28 1.6125839),(29 1.7161869),(30 1.822421),(31 1.9313368),(32 2.0411847),(33 2.1532743),(34 2.2667904),(35 2.3833764),(36 2.5004096),(37 2.6181116),(38 2.7383132),(39 2.8585122),(40 2.9791253),(41 3.101376),(42 3.2245812),(43 3.3482902),(44 3.474621),(45 3.6006315),(46 3.725881),(47 3.8520288),(48 3.979478),(49 4.1045356),(50 4.2312055),(51 4.3568106),(52 4.4810424),(53 4.6070604),(54 4.7285438),(55 4.8504915),(56 4.970877),(57 5.0895553),(58 5.2074823),(59 5.3242345),(60 5.4391465),(61 5.550318),(62 5.6599164),(63 5.765933),(64 5.8707037),(65 5.975517),(66 6.0753617),(67 6.1733184),(68 6.268751),(69 6.358882),(70 6.4465995),(71 6.533461),(72 6.6176286),(73 6.6957316),(74 6.7701635),(75 6.841911),(76 6.90931),(77 6.9740906),(78 7.035062),(79 7.0920434),
(1 0.016078653),(2 0.032329194),(3 0.056330748),(4 0.08759728),(5 0.12546915),(6 0.1702449),(7 0.22115217),(8 0.2788864),(9 0.34365737),(10 0.41380212),(11 0.49058244),(12 0.5737568),(13 0.66297245),(14 0.7571221),(15 0.857987),(16 0.9635003),(17 1.0730637),(18 1.1896471),(19 1.3093626),(20 1.435923),(21 1.5659465),(22 1.6987264),(23 1.8376542),(24 1.9802667),(25 2.1270325),(26 2.278298),(27 2.4327238),(28 2.5907497),(29 2.7526798),(30 2.9172015),(31 3.0856667),(32 3.2557492),(33 3.4274428),(34 3.6011672),(35 3.7756784),(36 3.9511702),(37 4.127781),(38 4.3026433),(39 4.480077),(40 4.657654),(41 4.835637),(42 5.01235),(43 5.1895247),(44 5.3683634),(45 5.54488),(46 5.7209287),(47 5.8950443),(48 6.0685925),(49 6.241191),(50 6.4119267),(51 6.5821133),(52 6.747975),(53 6.914148),(54 7.0777464),(55 7.237111),(56 7.3911557),(57 7.5407295),(58 7.6872745),(59 7.8296094),(60 7.968603),(61 8.103195),(62 8.232531),(63 8.356619),(64 8.475043),(65 8.588415),(66 8.696578),(67 8.798387),(68 8.8925),(69 8.986541),(70 9.072757),(71 9.158516),(72 9.239504),(73 9.31177),(74 9.380414),(75 9.441526),(76 9.495223),(77 9.544515),(78 9.586636),(79 9.62529),
(1 0.02048228),(2 0.03774814),(3 0.06260628),(4 0.094235346),(5 0.1324205),(6 0.1771659),(7 0.22808494),(8 0.28374234),(9 0.34596524),(10 0.41276845),(11 0.4845304),(12 0.5620047),(13 0.64392155),(14 0.73106766),(15 0.8217758),(16 0.91704994),(17 1.0169411),(18 1.1218942),(19 1.2315605),(20 1.3440887),(21 1.4614497),(22 1.5815239),(23 1.7050886),(24 1.8323022),(25 1.9611443),(26 2.0927544),(27 2.2238672),(28 2.3594332),(29 2.496741),(30 2.6361306),(31 2.7775962),(32 2.9198515),(33 3.0630271),(34 3.2080095),(35 3.354022),(36 3.5013735),(37 3.6465409),(38 3.7908504),(39 3.9376466),(40 4.082333),(41 4.2297144),(42 4.373465),(43 4.517986),(44 4.660445),(45 4.799615),(46 4.937264),(47 5.0730066),(48 5.202763),(49 5.333732),(50 5.460375),(51 5.5844245),(52 5.7059617),(53 5.827409),(54 5.943741),(55 6.0531406),(56 6.162171),(57 6.2669787),(58 6.367373),(59 6.464776),(60 6.556551),(61 6.643892),(62 6.7264924),(63 6.80704),(64 6.881897),(65 6.9495234),(66 7.0156283),(67 7.074182),(68 7.1243577),(69 7.172715),(70 7.2157497),(71 7.2536077),(72 7.286564),(73 7.3117204),(74 7.332429),(75 7.3490796),(76 7.357381),(77 7.359284),(78 7.3564677),(79 7.349393),
(1 0.027474368),(2 0.055026844),(3 0.0953203),(4 0.14717487),(5 0.21070944),(6 0.28518444),(7 0.37069625),(8 0.4659226),(9 0.57081133),(10 0.6849241),(11 0.81055385),(12 0.94433737),(13 1.0876372),(14 1.2398444),(15 1.3997272),(16 1.5686444),(17 1.7448393),(18 1.9286193),(19 2.117909),(20 2.3137202),(21 2.513716),(22 2.7200809),(23 2.9313092),(24 3.1465762),(25 3.3645518),(26 3.585744),(27 3.8096669),(28 4.035565),(29 4.2627063),(30 4.490565),(31 4.722256),(32 4.951198),(33 5.180661),(34 5.408699),(35 5.635145),(36 5.85923),(37 6.079121),(38 6.296901),(39 6.5089097),(40 6.716663),(41 6.921151),(42 7.1193743),(43 7.3149734),(44 7.5049233),(45 7.6874294),(46 7.8639507),(47 8.03146),(48 8.191931),(49 8.348272),(50 8.493591),(51 8.633015),(52 8.763643),(53 8.888177),(54 9.003349),(55 9.108408),(56 9.202959),(57 9.2858925),(58 9.357136),(59 9.419744),(60 9.471576),(61 9.514715),(62 9.549021),(63 9.575808),(64 9.589516),(65 9.599257),(66 9.601873),(67 9.592768),(68 9.573489),(69 9.545434),(70 9.509722),(71 9.465959),(72 9.411486),(73 9.349138),(74 9.278917),(75 9.203695),(76 9.120771),(77 9.031089),(78 8.937347),(79 8.836664),
(1 0.03782173),(2 0.0811175),(3 0.1467263),(4 0.23274858),(5 0.34060904),(6 0.4663046),(7 0.61228114),(8 0.7766241),(9 0.9575718),(10 1.155173),(11 1.369364),(12 1.6010715),(13 1.8466798),(14 2.1067953),(15 2.3797843),(16 2.665275),(17 2.962053),(18 3.2692282),(19 3.58758),(20 3.9117088),(21 4.245456),(22 4.5848947),(23 4.932142),(24 5.280901),(25 5.633063),(26 5.9857826),(27 6.3411856),(28 6.693689),(29 7.0457716),(30 7.395012),(31 7.74045),(32 8.083641),(33 8.423158),(34 8.756141),(35 9.0815115),(36 9.402661),(37 9.709754),(38 10.012517),(39 10.302826),(40 10.577178),(41 10.845422),(42 11.098383),(43 11.340059),(44 11.568329),(45 11.785294),(46 11.985301),(47 12.172921),(48 12.344988),(49 12.499403),(50 12.64241),(51 12.763091),(52 12.867651),(53 12.960286),(54 13.037623),(55 13.093271),(56 13.1331),(57 13.15148),(58 13.159936),(59 13.147973),(60 13.12138),(61 13.0764),(62 13.016834),(63 12.94064),(64 12.848764),(65 12.744089),(66 12.62939),(67 12.499835),(68 12.357113),(69 12.203514),(70 12.039719),(71 11.865198),(72 11.679575),(73 11.482082),(74 11.278076),(75 11.068124),(76 10.848866),(77 10.626233),(78 10.397443),(79 10.163132),
(1 0.041043796),(2 0.085496925),(3 0.15151237),(4 0.24016564),(5 0.34924242),(6 0.47864032),(7 0.62634313),(8 0.7939662),(9 0.97958905),(10 1.1825725),(11 1.4025652),(12 1.6380162),(13 1.888615),(14 2.15441),(15 2.4313762),(16 2.7232125),(17 3.0224288),(18 3.3334491),(19 3.6539774),(20 3.9813983),(21 4.3160567),(22 4.6556726),(23 5.0011725),(24 5.348669),(25 5.700586),(26 6.054918),(27 6.403737),(28 6.7517104),(29 7.099815),(30 7.437774),(31 7.772714),(32 8.098221),(33 8.421108),(34 8.730124),(35 9.029227),(36 9.31943),(37 9.598288),(38 9.85988),(39 10.110327),(40 10.347235),(41 10.571053),(42 10.777647),(43 10.970173),(44 11.140584),(45 11.297074),(46 11.4297495),(47 11.548262),(48 11.6415415),(49 11.718143),(50 11.778766),(51 11.817759),(52 11.84141),(53 11.848704),(54 11.840955),(55 11.813832),(56 11.765183),(57 11.70085),(58 11.621886),(59 11.52466),(60 11.413819),(61 11.286444),(62 11.143404),(63 10.987596),(64 10.821689),(65 10.648406),(66 10.46521),(67 10.271267),(68 10.068974),(69 9.863754),(70 9.647091),(71 9.426828),(72 9.19829),(73 8.965151),(74 8.735096),(75 8.496753),(76 8.261572),(77 8.021358),(78 7.7853703),(79 7.550287),
