1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,
(1 0.0033175),(2 0.005116962),(3 0.007415662),(4 0.01024619),(5 0.013439796),(6 0.016870307),(7 0.02026809),(8 0.024199609),(9 0.028221043),(10 0.032190483),(11 0.03642174),(12 0.040902097),(13 0.045699175),(14 0.05044367),(15 0.055499688),(16 0.06065492),(17 0.065756395),(18 0.07098728),(19 0.076429926),(20 0.08193482),(21 0.08740053),(22 0.09346386),(23 0.099310994),(24 0.10525191),(25 0.11158396),(26 0.11779931),(27 0.12410773),(28 0.13047579),(29 0.13713379),(30 0.14339386),(31 0.15016447),(32 0.15662879),(33 0.16288595),(34 0.16976236),(35 0.17696391),(36 0.18383032),(37 0.1908114),(38 0.19806449),(39 0.20533966),(40 0.21279004),(41 0.22005355),(42 0.22752069),(43 0.23461439),(44 0.24270691),(45 0.25027618),(46 0.25815657),(47 0.26530206),(48 0.2732024),(49 0.2809378),(50 0.28899288),(51 0.29679078),(52 0.3047592),(53 0.31244615),(54 0.32083878),(55 0.3291987),(56 0.33778605),(57 0.34642655),(58 0.3557829),(59 0.36536667),(60 0.37537554),(61 0.38548264),(62 0.39530352),(63 0.4049048),(64 0.41533333),(65 0.4252366),(66 0.435768),(67 0.44582355),(68 0.45661777),(69 0.46692908),(70 0.47733688),(71 0.48811477),(72 0.49908143),(73 0.5095764),(74 0.5210879),(75 0.532211),(76 0.54410654),(77 0.5560618),(78 0.5680985),(79 0.58017033),
(1 0.005405052),(2 0.008659836),(3 0.0124800615),(4 0.017318618),(5 0.022858707),(6 0.028557263),(7 0.03437499),(8 0.041266963),(9 0.04793168),(10 0.054847255),(11 0.06210166),(12 0.06988069),(13 0.07782351),(14 0.08623948),(15 0.09488024),(16 0.10382163),(17 0.11279325),(18 0.122264646),(19 0.13218121),(20 0.14213315),(21 0.15264921),(22 0.16368446),(23 0.17496923),(24 0.18638328),(25 0.19822282),(26 0.20998676),(27 0.22209756),(28 0.23452179),(29 0.24762931),(30 0.2606495),(31 0.27422705),(32 0.2875753),(33 0.300903),(34 0.31442273),(35 0.3284641),(36 0.34266904),(37 0.3574748),(38 0.37224904),(39 0.38689458),(40 0.40199587),(41 0.41698578),(42 0.43247047),(43 0.4480891),(44 0.46411312),(45 0.48015317),(46 0.4964577),(47 0.51275176),(48 0.52920777),(49 0.546949),(50 0.5645812),(51 0.5821974),(52 0.6005356),(53 0.6189104),(54 0.63745105),(55 0.6566316),(56 0.6760054),(57 0.6956707),(58 0.7158997),(59 0.73646903),(60 0.7583063),(61 0.7797479),(62 0.8013621),(63 0.82296914),(64 0.84533316),(65 0.86834145),(66 0.89181656),(67 0.9147488),(68 0.9392839),(69 0.963476),(70 0.9886527),(71 1.0144278),(72 1.040357),(73 1.066861),(74 1.094619),(75 1.1209193),(76 1.1494129),(77 1.1766284),(78 1.2047716),(79 1.2323303),
(1 0.006819066),(2 0.010740541),(3 0.016083058),(4 0.022662107),(5 0.029977025),(6 0.03791615),(7 0.046123616),(8 0.055743344),(9 0.0652919),(10 0.07544753),(11 0.08622788),(12 0.097646005),(13 0.109418295),(14 0.122083865),(15 0.13501878),(16 0.14832866),(17 0.16228771),(18 0.17690532),(19 0.19239426),(20 0.20846072),(21 0.22494744),(22 0.24232568),(23 0.26023507),(24 0.27823806),(25 0.29691678),(26 0.31566018),(27 0.335191),(28 0.35510385),(29 0.3758861),(30 0.39656666),(31 0.4183018),(32 0.44011718),(33 0.46222034),(34 0.4844787),(35 0.508123),(36 0.53169465),(37 0.5563055),(38 0.5808741),(39 0.60557324),(40 0.63092405),(41 0.6564938),(42 0.68266404),(43 0.7091471),(44 0.73600745),(45 0.76260215),(46 0.7904742),(47 0.8184542),(48 0.8466612),(49 0.8757558),(50 0.90447927),(51 0.93391174),(52 0.9635641),(53 0.99285406),(54 1.0226173),(55 1.0534048),(56 1.0842161),(57 1.1159098),(58 1.1474596),(59 1.1800089),(60 1.2127886),(61 1.2460687),(62 1.279929),(63 1.3138849),(64 1.3484565),(65 1.38343),(66 1.4190236),(67 1.4533998),(68 1.4891711),(69 1.5247977),(70 1.561347),(71 1.5982552),(72 1.635293),(73 1.6723027),(74 1.7105054),(75 1.7479612),(76 1.7868694),(77 1.8247296),(78 1.863121),(79 1.9016311),
(1 0.0116337035),(2 0.019490551),(3 0.03005119),(4 0.043365024),(5 0.05899439),(6 0.07623745),(7 0.09490648),(8 0.1163613),(9 0.13908514),(10 0.16434923),(11 0.19065067),(12 0.21899462),(13 0.24927863),(14 0.28071505),(15 0.31409106),(16 0.34899795),(17 0.38584659),(18 0.42410728),(19 0.46476394),(20 0.50648934),(21 0.55032057),(22 0.5958133),(23 0.6429588),(24 0.6906599),(25 0.74081403),(26 0.79190814),(27 0.8449892),(28 0.8989289),(29 0.95426506),(30 1.0115333),(31 1.069889),(32 1.129377),(33 1.1903785),(34 1.2517391),(35 1.3147161),(36 1.3788108),(37 1.4435086),(38 1.509481),(39 1.5763611),(40 1.6444405),(41 1.7130008),(42 1.7821113),(43 1.852269),(44 1.9228654),(45 1.9951782),(46 2.0673263),(47 2.1400762),(48 2.2145262),(49 2.2891915),(50 2.3642144),(51 2.440377),(52 2.517195),(53 2.593368),(54 2.6711776),(55 2.749361),(56 2.8270326),(57 2.9054718),(58 2.9843466),(59 3.0642588),(60 3.1449294),(61 3.2257404),(62 3.308286),(63 3.3893406),(64 3.4731967),(65 3.5564368),(66 3.6393278),(67 3.72249),(68 3.8072371),(69 3.8903682),(70 3.9742978),(71 4.0593576),(72 4.142968),(73 4.2286572),(74 4.3144207),(75 4.3981814),(76 4.4822993),(77 4.5656204),(78 4.649594),(79 4.734856),
(1 0.015842307),(2 0.027054388),(3 0.042941965),(4 0.06263368),(5 0.08651222),(6 0.113450006),(7 0.14323176),(8 0.17714466),(9 0.21346387),(10 0.25355244),(11 0.2966471),(12 0.34249538),(13 0.3920252),(14 0.44415942),(15 0.4991169),(16 0.55666745),(17 0.61680627),(18 0.6804872),(19 0.7462652),(20 0.8153372),(21 0.8876451),(22 0.9621425),(23 1.0396439),(24 1.1193204),(25 1.2018619),(26 1.2867765),(27 1.3746847),(28 1.4648689),(29 1.5586717),(30 1.6533194),(31 1.7519903),(32 1.8521575),(33 1.9547002),(34 2.0577734),(35 2.1648514),(36 2.273391),(37 2.3830822),(38 2.4944594),(39 2.6081307),(40 2.7235105),(41 2.8386338),(42 2.9551003),(43 3.0729825),(44 3.191028),(45 3.3106315),(46 3.432026),(47 3.5537953),(48 3.6774466),(49 3.8017194),(50 3.9266505),(51 4.0536404),(52 4.1809983),(53 4.3091583),(54 4.437689),(55 4.5666847),(56 4.695825),(57 4.821808),(58 4.9514933),(59 5.080559),(60 5.2100663),(61 5.34),(62 5.469468),(63 5.599026),(64 5.7280025),(65 5.8570123),(66 5.984815),(67 6.1131525),(68 6.2410235),(69 6.3680305),(70 6.4957733),(71 6.6237483),(72 6.748722),(73 6.875093),(74 7.001558),(75 7.125463),(76 7.2491546),(77 7.372727),(78 7.4959702),(79 7.6218233),
(1 0.015659684),(2 0.026786273),(3 0.0425637),(4 0.06200644),(5 0.08474197),(6 0.11107459),(7 0.13980883),(8 0.17216252),(9 0.20669675),(10 0.24456748),(11 0.28436172),(12 0.32703286),(13 0.37235153),(14 0.42044842),(15 0.4708553),(16 0.5238344),(17 0.57952034),(18 0.6380734),(19 0.69837296),(20 0.76151603),(21 0.8266136),(22 0.89392954),(23 0.96332),(24 1.0333085),(25 1.1064614),(26 1.1799608),(27 1.2562133),(28 1.3339683),(29 1.413855),(30 1.495643),(31 1.5800184),(32 1.6678544),(33 1.7572086),(34 1.8493705),(35 1.9416968),(36 2.0358455),(37 2.132188),(38 2.2311738),(39 2.3310297),(40 2.433886),(41 2.5373564),(42 2.6419187),(43 2.749144),(44 2.856653),(45 2.9653113),(46 3.075208),(47 3.186575),(48 3.2987347),(49 3.4118476),(50 3.528045),(51 3.6426766),(52 3.7586415),(53 3.875658),(54 3.9917245),(55 4.1070137),(56 4.2254677),(57 4.3420715),(58 4.457859),(59 4.5753903),(60 4.6918135),(61 4.8068914),(62 4.9257026),(63 5.0414257),(64 5.158381),(65 5.273136),(66 5.388584),(67 5.5035214),(68 5.619251),(69 5.732295),(70 5.844644),(71 5.954923),(72 6.0656962),(73 6.1763825),(74 6.286443),(75 6.396092),(76 6.504741),(77 6.611006),(78 6.7175894),(79 6.823876),
(1 0.024886938),(2 0.04770832),(3 0.08081718),(4 0.1234961),(5 0.17605624),(6 0.2368362),(7 0.30600575),(8 0.38524324),(9 0.4727361),(10 0.5688233),(11 0.672749),(12 0.7848851),(13 0.9042759),(14 1.0321155),(15 1.167639),(16 1.3102447),(17 1.4613245),(18 1.6198747),(19 1.7841208),(20 1.9569178),(21 2.1348),(22 2.319197),(23 2.5106359),(24 2.7079718),(25 2.9104688),(26 3.1177254),(27 3.3307633),(28 3.547812),(29 3.769946),(30 3.9969218),(31 4.228398),(32 4.4643855),(33 4.7020793),(34 4.9436784),(35 5.188303),(36 5.435827),(37 5.6865735),(38 5.9408584),(39 6.19671),(40 6.4562287),(41 6.716508),(42 6.9799914),(43 7.2438364),(44 7.510047),(45 7.776575),(46 8.041251),(47 8.30865),(48 8.578096),(49 8.843526),(50 9.11156),(51 9.379527),(52 9.646232),(53 9.913703),(54 10.178783),(55 10.441114),(56 10.700975),(57 10.959483),(58 11.216416),(59 11.472982),(60 11.725214),(61 11.973585),(62 12.220172),(63 12.464008),(64 12.7067),(65 12.946609),(66 13.180999),(67 13.412898),(68 13.640119),(69 13.862461),(70 14.080367),(71 14.296446),(72 14.505164),(73 14.7097025),(74 14.907702),(75 15.101108),(76 15.286447),(77 15.46975),(78 15.644874),(79 15.816204),
(1 0.030790577),(2 0.056343056),(3 0.09232431),(4 0.13905059),(5 0.19534819),(6 0.2608888),(7 0.33483627),(8 0.41945302),(9 0.51060534),(10 0.61083513),(11 0.71967834),(12 0.8366933),(13 0.9608715),(14 1.0922002),(15 1.2329527),(16 1.3813947),(17 1.5377243),(18 1.7011606),(19 1.8713623),(20 2.047231),(21 2.2309515),(22 2.420981),(23 2.616635),(24 2.81751),(25 3.0226188),(26 3.23312),(27 3.4490798),(28 3.6684282),(29 3.8922255),(30 4.1228),(31 4.355297),(32 4.59216),(33 4.8342776),(34 5.0798573),(35 5.3266573),(36 5.5763855),(37 5.8285975),(38 6.084885),(39 6.344069),(40 6.6043353),(41 6.8615127),(42 7.1242294),(43 7.388464),(44 7.653047),(45 7.9183836),(46 8.180968),(47 8.446506),(48 8.713395),(49 8.979551),(50 9.247761),(51 9.512105),(52 9.777119),(53 10.043745),(54 10.3055525),(55 10.565146),(56 10.826033),(57 11.082733),(58 11.337778),(59 11.589497),(60 11.839674),(61 12.085366),(62 12.326907),(63 12.563851),(64 12.798232),(65 13.031932),(66 13.256568),(67 13.479294),(68 13.697582),(69 13.908415),(70 14.116883),(71 14.322265),(72 14.522071),(73 14.715916),(74 14.901867),(75 15.085714),(76 15.257747),(77 15.426388),(78 15.58807),(79 15.747716),
(1 0.040869527),(2 0.07806215),(3 0.13173272),(4 0.20180084),(5 0.28665927),(6 0.38772598),(7 0.5013849),(8 0.6319883),(9 0.77593803),(10 0.93465453),(11 1.1064036),(12 1.2914833),(13 1.4900694),(14 1.7020152),(15 1.9271961),(16 2.1646845),(17 2.413182),(18 2.6747093),(19 2.9458148),(20 3.2269657),(21 3.5200613),(22 3.8206103),(23 4.1321964),(24 4.4498096),(25 4.777251),(26 5.111784),(27 5.453785),(28 5.804684),(29 6.160882),(30 6.525054),(31 6.895037),(32 7.271589),(33 7.652247),(34 8.036282),(35 8.423521),(36 8.812452),(37 9.205733),(38 9.6019535),(39 10.002122),(40 10.402162),(41 10.8024435),(42 11.204234),(43 11.6048975),(44 12.0086565),(45 12.411725),(46 12.811163),(47 13.2074795),(48 13.605877),(49 14.000777),(50 14.388215),(51 14.772007),(52 15.152813),(53 15.529922),(54 15.900575),(55 16.263815),(56 16.621868),(57 16.96928),(58 17.31117),(59 17.645739),(60 17.974573),(61 18.294596),(62 18.60695),(63 18.91168),(64 19.205603),(65 19.49632),(66 19.773746),(67 20.041172),(68 20.298052),(69 20.547161),(70 20.785952),(71 21.017065),(72 21.24151),(73 21.447294),(74 21.644674),(75 21.83102),(76 22.00943),(77 22.179731),(78 22.334663),(79 22.479042),
(1 0.046672307),(2 0.0885554),(3 0.14892733),(4 0.22719713),(5 0.32195392),(6 0.43308684),(7 0.5595227),(8 0.7035342),(9 0.8616922),(10 1.0342907),(11 1.2224832),(12 1.4266115),(13 1.6443241),(14 1.875781),(15 2.1203053),(16 2.378797),(17 2.6476953),(18 2.93016),(19 3.224974),(20 3.529966),(21 3.847007),(22 4.1745167),(23 4.511723),(24 4.8581905),(25 5.211126),(26 5.575508),(27 5.9436083),(28 6.319774),(29 6.7041225),(30 7.0944343),(31 7.489401),(32 7.8885283),(33 8.289577),(34 8.698885),(35 9.105767),(36 9.516336),(37 9.931115),(38 10.346627),(39 10.7653265),(40 11.181921),(41 11.597207),(42 12.010371),(43 12.420972),(44 12.831376),(45 13.237131),(46 13.636989),(47 14.035821),(48 14.432248),(49 14.822592),(50 15.210039),(51 15.591243),(52 15.964819),(53 16.336565),(54 16.698198),(55 17.050896),(56 17.395332),(57 17.73135),(58 18.05925),(59 18.380507),(60 18.695063),(61 18.994102),(62 19.285725),(63 19.565634),(64 19.832672),(65 20.091528),(66 20.335669),(67 20.57142),(68 20.793472),(69 21.006445),(70 21.207855),(71 21.39806),(72 21.587286),(73 21.75882),(74 21.92044),(75 22.074183),(76 22.21212),(77 22.336515),(78 22.446438),(79 22.54628),
(1 0.047398437),(2 0.08422561),(3 0.1347292),(4 0.20102644),(5 0.2797275),(6 0.3709174),(7 0.4743057),(8 0.5893666),(9 0.71585286),(10 0.8556125),(11 1.005859),(12 1.1680304),(13 1.3411396),(14 1.5241772),(15 1.7174091),(16 1.9215722),(17 2.135369),(18 2.3600438),(19 2.5914297),(20 2.8319776),(21 3.0805893),(22 3.3357913),(23 3.5980334),(24 3.8640962),(25 4.1372924),(26 4.4143586),(27 4.69943),(28 4.988981),(29 5.280735),(30 5.5741634),(31 5.8732057),(32 6.174041),(33 6.4751673),(34 6.778313),(35 7.081615),(36 7.385209),(37 7.6898293),(38 7.9915442),(39 8.292281),(40 8.591127),(41 8.889046),(42 9.177939),(43 9.466331),(44 9.754176),(45 10.03161),(46 10.3073435),(47 10.58333),(48 10.854464),(49 11.119105),(50 11.37762),(51 11.62808),(52 11.869688),(53 12.107153),(54 12.337669),(55 12.562866),(56 12.77534),(57 12.983159),(58 13.181566),(59 13.372839),(60 13.558015),(61 13.735015),(62 13.903406),(63 14.061405),(64 14.213227),(65 14.352957),(66 14.48788),(67 14.607167),(68 14.713103),(69 14.811828),(70 14.902603),(71 14.985606),(72 15.062199),(73 15.12672),(74 15.185161),(75 15.233467),(76 15.265812),(77 15.292131),(78 15.306925),(79 15.314314),
