1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.020169409),(2 0.03894516),(3 0.065451734),(4 0.09865429),(5 0.13776866),(6 0.18194348),(7 0.2305888),(8 0.28343818),(9 0.33974448),(10 0.3992313),(11 0.46160296),(12 0.52664167),(13 0.59381735),(14 0.66268724),(15 0.73327893),(16 0.80471975),(17 0.8765892),(18 0.9492678),(19 1.0218593),(20 1.0941527),(21 1.1659149),(22 1.2364297),(23 1.3056533),(24 1.373334),(25 1.4394444),(26 1.5037884),(27 1.5660249),(28 1.6263798),(29 1.684438),(30 1.7400177),(31 1.79336),(32 1.8437833),(33 1.8920281),(34 1.9376358),(35 1.9807124),(36 2.0208633),(37 2.0583868),(38 2.093928),(39 2.127039),(40 2.1575956),(41 2.1860163),(42 2.2121146),(43 2.2365224),(44 2.2582526),(45 2.278538),(46 2.2960742),(47 2.3122194),(48 2.3262959),(49 2.3388846),(50 2.3495612),(51 2.3584902),(52 2.366249),(53 2.3727236),(54 2.378334),(55 2.3826473),(56 2.3861985),(57 2.3885584),(58 2.390252),(59 2.391276),(60 2.3916948),(61 2.391477),(62 2.3909512),(63 2.3898711),(64 2.3884373),(65 2.3869898),(66 2.385499),(67 2.3833117),(68 2.3810668),(69 2.3790212),(70 2.3764307),(71 2.3740149),(72 2.3714042),(73 2.368797),(74 2.3662283),(75 2.3635192),(76 2.360481),(77 2.357284),(78 2.3541963),(79 2.350949),
(1 0.049435105),(2 0.09831875),(3 0.16883597),(4 0.25897875),(5 0.36588773),(6 0.48797953),(7 0.622972),(8 0.7693362),(9 0.9252121),(10 1.0893266),(11 1.2595241),(12 1.4345299),(13 1.6128838),(14 1.7929989),(15 1.9733759),(16 2.1517413),(17 2.326966),(18 2.4987347),(19 2.665107),(20 2.8251774),(21 2.9779322),(22 3.122143),(23 3.257166),(24 3.3826566),(25 3.4982023),(26 3.603604),(27 3.6991546),(28 3.7841518),(29 3.859457),(30 3.9249566),(31 3.980578),(32 4.0264425),(33 4.063848),(34 4.0934258),(35 4.1151214),(36 4.129356),(37 4.137258),(38 4.1405334),(39 4.139074),(40 4.1333265),(41 4.124815),(42 4.113214),(43 4.1005025),(44 4.0857816),(45 4.070806),(46 4.054854),(47 4.0397506),(48 4.0245824),(49 4.01076),(50 3.997854),(51 3.9858804),(52 3.975886),(53 3.9680839),(54 3.9623086),(55 3.9580185),(56 3.9565074),(57 3.9568372),(58 3.9594512),(59 3.964333),(60 3.971322),(61 3.9797158),(62 3.9897804),(63 4.0017896),(64 4.014562),(65 4.02873),(66 4.044077),(67 4.0602293),(68 4.0768657),(69 4.094465),(70 4.1129365),(71 4.131088),(72 4.149504),(73 4.1674876),(74 4.1850085),(75 4.20206),(76 4.2178197),(77 4.232656),(78 4.246778),(79 4.2599235),
(1 0.08500866),(2 0.1721041),(3 0.2981724),(4 0.45931944),(5 0.65083927),(6 0.8690319),(7 1.109444),(8 1.3676935),(9 1.639178),(10 1.9209001),(11 2.208141),(12 2.4957497),(13 2.781746),(14 3.062375),(15 3.3342507),(16 3.5932994),(17 3.8378196),(18 4.0666447),(19 4.276218),(20 4.4659667),(21 4.634063),(22 4.7810907),(23 4.906366),(24 5.0099072),(25 5.093331),(26 5.156823),(27 5.202337),(28 5.2303085),(29 5.2437),(30 5.2424664),(31 5.2298937),(32 5.207428),(33 5.177251),(34 5.1412907),(35 5.100678),(36 5.0581894),(37 5.015183),(38 4.973345),(39 4.9335585),(40 4.8970413),(41 4.8641953),(42 4.836861),(43 4.814809),(44 4.797888),(45 4.7863717),(46 4.7803545),(47 4.7798357),(48 4.7832594),(49 4.7902775),(50 4.8004503),(51 4.8131123),(52 4.828178),(53 4.8444366),(54 4.861523),(55 4.878417),(56 4.8950768),(57 4.9094634),(58 4.921859),(59 4.931836),(60 4.9387336),(61 4.9426217),(62 4.9431305),(63 4.9401107),(64 4.933886),(65 4.9240026),(66 4.9113083),(67 4.8955016),(68 4.8762774),(69 4.8544183),(70 4.830495),(71 4.804383),(72 4.7764435),(73 4.746943),(74 4.716655),(75 4.6853924),(76 4.653806),(77 4.6218104),(78 4.591178),(79 4.5602674),
(1 0.1812717),(2 0.36782378),(3 0.63781613),(4 0.9799562),(5 1.3840853),(6 1.8380855),(7 2.330968),(8 2.851008),(9 3.3865268),(10 3.9261994),(11 4.458544),(12 4.9745393),(13 5.46516),(14 5.922254),(15 6.3396597),(16 6.710063),(17 7.0308723),(18 7.3012376),(19 7.518393),(20 7.682733),(21 7.7951713),(22 7.859353),(23 7.879806),(24 7.859921),(25 7.805253),(26 7.7231946),(27 7.6184416),(28 7.496945),(29 7.363781),(30 7.2237115),(31 7.0832806),(32 6.9461927),(33 6.8164983),(34 6.696755),(35 6.5901504),(36 6.4983964),(37 6.423754),(38 6.365283),(39 6.323869),(40 6.298254),(41 6.2854276),(42 6.285755),(43 6.296793),(44 6.314747),(45 6.3393197),(46 6.367392),(47 6.3965755),(48 6.426511),(49 6.4524484),(50 6.474243),(51 6.4899936),(52 6.4995103),(53 6.5021033),(54 6.498848),(55 6.487297),(56 6.471575),(57 6.448154),(58 6.4206433),(59 6.390009),(60 6.357111),(61 6.323198),(62 6.2894197),(63 6.2584786),(64 6.231109),(65 6.2074475),(66 6.1892095),(67 6.1778083),(68 6.173423),(69 6.1762075),(70 6.1859803),(71 6.2033606),(72 6.228041),(73 6.258706),(74 6.2960443),(75 6.3384237),(76 6.3841815),(77 6.4323697),(78 6.4819317),(79 6.531505),
(1 0.28646845),(2 0.5848063),(3 1.0146723),(4 1.5557407),(5 2.1872263),(6 2.8878648),(7 3.6358874),(8 4.408269),(9 5.182455),(10 5.937863),(11 6.6558466),(12 7.321299),(13 7.9182425),(14 8.439976),(15 8.876804),(16 9.224605),(17 9.483818),(18 9.656425),(19 9.746174),(20 9.758816),(21 9.70408),(22 9.591491),(23 9.432133),(24 9.237279),(25 9.017489),(26 8.784925),(27 8.55025),(28 8.320819),(29 8.104897),(30 7.9078298),(31 7.735732),(32 7.5913353),(33 7.47676),(34 7.3925366),(35 7.336928),(36 7.308918),(37 7.306443),(38 7.32486),(39 7.360547),(40 7.4090304),(41 7.465335),(42 7.527204),(43 7.591863),(44 7.6541066),(45 7.7113757),(46 7.764211),(47 7.8094096),(48 7.8477564),(49 7.877996),(50 7.9007525),(51 7.916498),(52 7.9272556),(53 7.9338527),(54 7.937543),(55 7.937923),(56 7.938567),(57 7.939958),(58 7.941627),(59 7.945825),(60 7.952236),(61 7.960485),(62 7.9706984),(63 7.9837976),(64 7.997948),(65 8.010201),(66 8.022224),(67 8.033293),(68 8.0421505),(69 8.046599),(70 8.046434),(71 8.041905),(72 8.031602),(73 8.014818),(74 7.9936943),(75 7.9676123),(76 7.936634),(77 7.9011264),(78 7.863319),(79 7.8230453),
(1 0.3304536),(2 0.67088073),(3 1.1558616),(4 1.7562624),(5 2.4434335),(6 3.1860092),(7 3.9528482),(8 4.714133),(9 5.44257),(10 6.111441),(11 6.7043667),(12 7.204878),(13 7.603305),(14 7.8921666),(15 8.077126),(16 8.1593485),(17 8.150272),(18 8.063058),(19 7.9125466),(20 7.713247),(21 7.4811177),(22 7.2334666),(23 6.9856014),(24 6.747857),(25 6.533185),(26 6.3490167),(27 6.2009473),(28 6.091128),(29 6.0194063),(30 5.9850287),(31 5.985468),(32 6.016275),(33 6.071454),(34 6.1454387),(35 6.232923),(36 6.3279285),(37 6.424538),(38 6.518151),(39 6.6061397),(40 6.68376),(41 6.7507386),(42 6.807074),(43 6.85275),(44 6.8877587),(45 6.9121523),(46 6.929822),(47 6.9417286),(48 6.9491386),(49 6.95137),(50 6.950895),(51 6.9493074),(52 6.9456544),(53 6.9418197),(54 6.934818),(55 6.927777),(56 6.917838),(57 6.905115),(58 6.889752),(59 6.8709307),(60 6.8479033),(61 6.8202085),(62 6.790591),(63 6.7581325),(64 6.7265105),(65 6.6921396),(66 6.660087),(67 6.6289434),(68 6.603528),(69 6.581614),(70 6.563022),(71 6.552711),(72 6.547784),(73 6.5502667),(74 6.5599337),(75 6.5788774),(76 6.602571),(77 6.6324964),(78 6.6674886),(79 6.707283),
(1 0.51766324),(2 1.0430021),(3 1.7827163),(4 2.6857128),(5 3.699299),(6 4.7691855),(7 5.843344),(8 6.8713064),(9 7.810341),(10 8.622067),(11 9.286846),(12 9.788117),(13 10.11841),(14 10.286748),(15 10.300383),(16 10.184894),(17 9.963437),(18 9.663917),(19 9.316313),(20 8.947193),(21 8.58292),(22 8.246103),(23 7.953717),(24 7.716146),(25 7.5403347),(26 7.4280095),(27 7.3772206),(28 7.3800874),(29 7.428196),(30 7.5143757),(31 7.623156),(32 7.7487965),(33 7.8784733),(34 8.007054),(35 8.125969),(36 8.230673),(37 8.31793),(38 8.387973),(39 8.440958),(40 8.474019),(41 8.495347),(42 8.5016),(43 8.499018),(44 8.488345),(45 8.471808),(46 8.452888),(47 8.43055),(48 8.4062605),(49 8.379651),(50 8.351168),(51 8.322264),(52 8.292267),(53 8.260903),(54 8.22867),(55 8.195705),(56 8.164067),(57 8.132719),(58 8.10479),(59 8.082211),(60 8.06594),(61 8.056321),(62 8.057172),(63 8.067921),(64 8.089341),(65 8.120083),(66 8.161893),(67 8.210237),(68 8.2629385),(69 8.319055),(70 8.372547),(71 8.426441),(72 8.473061),(73 8.512753),(74 8.540966),(75 8.559672),(76 8.564291),(77 8.558482),(78 8.541347),(79 8.512808),
(1 0.7051699),(2 1.4200704),(3 2.4128103),(4 3.5987892),(5 4.891292),(6 6.2066827),(7 7.4623675),(8 8.590979),(9 9.535854),(10 10.261848),(11 10.7519455),(12 11.009406),(13 11.046986),(14 10.893301),(15 10.590244),(16 10.183215),(17 9.723762),(18 9.25413),(19 8.818201),(20 8.4435),(21 8.156705),(22 7.969203),(23 7.883362),(24 7.8896394),(25 7.9765897),(26 8.124915),(27 8.314579),(28 8.524876),(29 8.737896),(30 8.934309),(31 9.101369),(32 9.230064),(33 9.319441),(34 9.366306),(35 9.3764305),(36 9.3552475),(37 9.308897),(38 9.246177),(39 9.176918),(40 9.1062765),(41 9.041265),(42 8.987206),(43 8.94287),(44 8.913248),(45 8.895968),(46 8.890644),(47 8.893798),(48 8.900891),(49 8.910788),(50 8.917723),(51 8.920648),(52 8.92133),(53 8.917462),(54 8.910177),(55 8.900502),(56 8.892894),(57 8.88572),(58 8.883557),(59 8.884734),(60 8.888889),(61 8.899351),(62 8.912306),(63 8.926469),(64 8.943861),(65 8.958125),(66 8.971834),(67 8.979908),(68 8.980533),(69 8.975141),(70 8.964001),(71 8.94852),(72 8.930087),(73 8.908594),(74 8.887003),(75 8.870261),(76 8.857014),(77 8.847634),(78 8.846622),(79 8.852648),
(1 0.90745836),(2 1.8120819),(3 3.0465188),(4 4.488926),(5 6.015314),(6 7.5081124),(7 8.860533),(8 9.992263),(9 10.843513),(10 11.391242),(11 11.6415205),(12 11.619627),(13 11.37075),(14 10.955317),(15 10.437572),(16 9.883326),(17 9.35399),(18 8.896128),(19 8.5438595),(20 8.316108),(21 8.215541),(22 8.235368),(23 8.351822),(24 8.540153),(25 8.772191),(26 9.016673),(27 9.245328),(28 9.443657),(29 9.589787),(30 9.682904),(31 9.7191925),(32 9.709235),(33 9.656256),(34 9.579447),(35 9.487771),(36 9.391824),(37 9.305963),(38 9.233657),(39 9.181451),(40 9.149761),(41 9.1369),(42 9.139324),(43 9.152921),(44 9.172525),(45 9.196368),(46 9.225201),(47 9.25223),(48 9.275287),(49 9.297626),(50 9.318721),(51 9.338437),(52 9.358095),(53 9.373303),(54 9.385053),(55 9.396279),(56 9.398642),(57 9.399227),(58 9.385819),(59 9.364872),(60 9.334688),(61 9.299443),(62 9.258995),(63 9.221481),(64 9.191291),(65 9.170496),(66 9.159603),(67 9.161064),(68 9.176144),(69 9.20316),(70 9.235458),(71 9.275418),(72 9.317131),(73 9.354692),(74 9.385116),(75 9.406412),(76 9.415474),(77 9.410972),(78 9.394941),(79 9.367514),
(1 1.0486367),(2 2.0794852),(3 3.4596176),(4 5.0329432),(5 6.640891),(6 8.13835),(7 9.4073105),(8 10.368655),(9 10.980723),(10 11.24144),(11 11.192118),(12 10.897197),(13 10.42916),(14 9.870343),(15 9.306778),(16 8.803811),(17 8.417336),(18 8.171048),(19 8.072671),(20 8.111572),(21 8.263234),(22 8.4943),(23 8.7595215),(24 9.025518),(25 9.259266),(26 9.438258),(27 9.54562),(28 9.586282),(29 9.56345),(30 9.489568),(31 9.38398),(32 9.2682495),(33 9.151298),(34 9.04914),(35 8.973914),(36 8.925517),(37 8.909587),(38 8.915235),(39 8.944436),(40 8.987712),(41 9.035458),(42 9.084472),(43 9.127592),(44 9.161909),(45 9.190981),(46 9.211757),(47 9.225412),(48 9.2343235),(49 9.235306),(50 9.229777),(51 9.219211),(52 9.205312),(53 9.185961),(54 9.162954),(55 9.136726),(56 9.104906),(57 9.076117),(58 9.047989),(59 9.028651),(60 9.016343),(61 9.015961),(62 9.02523),(63 9.04672),(64 9.082674),(65 9.120909),(66 9.163191),(67 9.203382),(68 9.236075),(69 9.260827),(70 9.275773),(71 9.273975),(72 9.262702),(73 9.23921),(74 9.211231),(75 9.1771555),(76 9.139052),(77 9.102297),(78 9.072157),(79 9.05002),
(1 1.062575),(2 2.0988672),(3 3.4559336),(4 4.952395),(5 6.410772),(6 7.684409),(7 8.661513),(8 9.284111),(9 9.545123),(10 9.481664),(11 9.173396),(12 8.7097225),(13 8.186433),(14 7.691547),(15 7.2948327),(16 7.0366144),(17 6.941049),(18 6.9922214),(19 7.1638894),(20 7.4127417),(21 7.6952205),(22 7.9648414),(23 8.187734),(24 8.342938),(25 8.420345),(26 8.422883),(27 8.362977),(28 8.263651),(29 8.141868),(30 8.019583),(31 7.914692),(32 7.8416033),(33 7.79853),(34 7.7888565),(35 7.807062),(36 7.8410196),(37 7.885685),(38 7.9298935),(39 7.968719),(40 8.001147),(41 8.01899),(42 8.028104),(43 8.027712),(44 8.021196),(45 8.009943),(46 7.997698),(47 7.985796),(48 7.975857),(49 7.967061),(50 7.957008),(51 7.9506044),(52 7.945657),(53 7.9395056),(54 7.9324007),(55 7.9233117),(56 7.9186444),(57 7.9139934),(58 7.9150357),(59 7.9173913),(60 7.9223094),(61 7.927756),(62 7.933989),(63 7.9402924),(64 7.944901),(65 7.9470468),(66 7.945816),(67 7.947261),(68 7.94303),(69 7.9388595),(70 7.9375415),(71 7.9330235),(72 7.93269),(73 7.9338365),(74 7.93688),(75 7.9446516),(76 7.9518814),(77 7.959188),(78 7.9665112),(79 7.9745393),
