1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 1.5300071),(2 4.407995),(3 8.899019),(4 14.155167),(5 19.38316),(6 23.565928),(7 27.735323),(8 32.59583),(9 36.26584),(10 40.172337),(11 43.175064),(12 46.4023),(13 47.581303),(14 49.316105),(15 50.3917),(16 51.721016),(17 53.617447),(18 55.4508),(19 55.473682),(20 55.918247),(21 55.911373),(22 55.705994),(23 55.648727),(24 55.383785),(25 55.43555),(26 55.931248),(27 56.867912),(28 58.29526),(29 59.18461),(30 59.589962),(31 60.83788),(32 60.880836),(33 60.404716),(34 59.914608),(35 60.28256),(36 60.613434),(37 62.104427),(38 62.51984),(39 63.047886),(40 62.595093),(41 62.452602),(42 62.68006),(43 62.448452),(44 62.602062),(45 63.17181),(46 62.914703),(47 63.191193),(48 63.904396),(49 65.00506),(50 65.95681),(51 66.928055),(52 67.858284),(53 69.01353),(54 69.65351),(55 69.65227),
(1 2.0463142),(2 4.843837),(3 8.462538),(4 11.841268),(5 14.979814),(6 16.87705),(7 19.05824),(8 21.0367),(9 22.603884),(10 22.823498),(11 23.968977),(12 25.363014),(13 25.622393),(14 26.286524),(15 27.240042),(16 28.696968),(17 28.69518),(18 28.565023),(19 28.40656),(20 28.935223),(21 29.014776),(22 29.603214),(23 29.993425),(24 29.587734),(25 29.622187),(26 29.867308),(27 29.951801),(28 29.79736),(29 29.372847),(30 28.350487),(31 28.563469),(32 28.59277),(33 28.679314),(34 29.073885),(35 29.93842),(36 30.86002),(37 31.927345),(38 32.009796),(39 31.897781),(40 32.230682),(41 32.260315),(42 32.784878),(43 32.98389),(44 32.2742),(45 31.978443),(46 31.484814),(47 31.303097),(48 30.665365),(49 29.765053),(50 29.093487),(51 29.025482),(52 28.583931),(53 28.510218),(54 27.946611),(55 27.943352),
(1 2.013223),(2 3.9440005),(3 6.477561),(4 8.144195),(5 9.523769),(6 10.611697),(7 11.434347),(8 11.961555),(9 12.997902),(10 13.694831),(11 14.4051285),(12 14.346922),(13 14.581794),(14 14.945158),(15 15.150047),(16 15.488637),(17 15.315054),(18 15.395913),(19 15.363702),(20 15.814319),(21 16.1004),(22 16.299639),(23 16.64253),(24 16.434608),(25 16.310757),(26 16.244886),(27 16.283308),(28 15.8007345),(29 15.643491),(30 15.424053),(31 15.609806),(32 15.8858185),(33 15.893175),(34 15.419205),(35 15.730164),(36 15.818563),(37 15.906669),(38 15.643358),(39 15.638704),(40 15.3443),(41 15.365938),(42 15.519311),(43 15.807922),(44 15.926148),(45 16.094212),(46 15.883755),(47 15.845993),(48 15.3453665),(49 14.935577),(50 14.851852),(51 15.110904),(52 15.125808),(53 15.21595),(54 14.840615),(55 14.844631),
(1 2.2099745),(2 3.9170346),(3 5.761075),(4 7.3330493),(5 8.506622),(6 9.536267),(7 10.866109),(8 11.129538),(9 11.335562),(10 11.282093),(11 11.14726),(12 10.9507885),(13 11.151145),(14 11.604093),(15 11.958133),(16 12.28037),(17 12.447805),(18 12.336513),(19 12.33559),(20 12.26331),(21 12.069292),(22 11.894728),(23 12.235445),(24 12.278161),(25 12.430612),(26 12.21191),(27 12.295396),(28 11.868977),(29 12.028859),(30 11.8061495),(31 11.860063),(32 11.77305),(33 11.676316),(34 11.497516),(35 11.913093),(36 11.920918),(37 11.943409),(38 11.856723),(39 11.887647),(40 11.210475),(41 10.679562),(42 10.402158),(43 10.678249),(44 10.879188),(45 11.124197),(46 10.903712),(47 10.948497),(48 11.081246),(49 11.052451),(50 11.419434),(51 11.715639),(52 11.609657),(53 11.709585),(54 11.577156),(55 11.580102),
(1 2.2992566),(2 3.7780926),(3 5.331643),(4 6.6264486),(5 7.712341),(6 8.2742605),(7 8.923959),(8 8.744515),(9 8.675825),(10 8.519361),(11 8.353781),(12 8.333844),(13 8.566433),(14 8.685031),(15 8.8823185),(16 8.819196),(17 8.715608),(18 8.593506),(19 8.890364),(20 9.202985),(21 9.13798),(22 9.208733),(23 9.432302),(24 9.437686),(25 9.518022),(26 9.136831),(27 9.4300165),(28 9.151138),(29 9.04863),(30 8.527683),(31 8.380919),(32 8.184383),(33 8.174894),(34 8.092427),(35 8.490175),(36 8.4495535),(37 8.526925),(38 8.638062),(39 8.590414),(40 8.576792),(41 8.50982),(42 8.264718),(43 8.206657),(44 8.287158),(45 8.395132),(46 8.300637),(47 8.383473),(48 8.524482),(49 8.43214),(50 8.397014),(51 8.550115),(52 8.142183),(53 7.9887285),(54 7.9193716),(55 7.9202065),
(1 1.6300945),(2 2.755701),(3 3.9007607),(4 4.493794),(5 5.1782813),(6 5.339997),(7 5.671725),(8 5.47648),(9 5.4664),(10 5.5144353),(11 5.5208955),(12 5.630638),(13 5.4749613),(14 5.285922),(15 5.2445087),(16 5.090716),(17 5.0377364),(18 5.211067),(19 5.517085),(20 5.9134736),(21 6.0708714),(22 5.8936734),(23 5.819049),(24 5.4982643),(25 5.4773226),(26 5.257143),(27 5.3485546),(28 5.275388),(29 5.1517096),(30 5.000619),(31 5.160462),(32 4.992358),(33 4.9933124),(34 4.85828),(35 5.2880797),(36 5.3446517),(37 5.177726),(38 5.1421366),(39 5.315127),(40 5.4738064),(41 5.632876),(42 5.561305),(43 5.6679893),(44 5.5852656),(45 5.5679293),(46 5.323272),(47 5.2212453),(48 5.028432),(49 4.8559217),(50 4.9517426),(51 5.00755),(52 4.9116015),(53 5.1038556),(54 5.1464996),(55 5.147671),
(1 1.6885941),(2 2.6983643),(3 3.7253132),(4 4.2205405),(5 4.614802),(6 4.5520797),(7 4.5683465),(8 4.439111),(9 4.5907893),(10 4.7062325),(11 4.602409),(12 4.524677),(13 4.46157),(14 4.3582125),(15 4.3821363),(16 4.4126453),(17 4.5317187),(18 4.462815),(19 4.4772954),(20 4.681517),(21 4.7725143),(22 4.8027053),(23 4.8606863),(24 4.7569375),(25 4.7386146),(26 4.4806647),(27 4.454305),(28 4.31227),(29 4.4802256),(30 4.361438),(31 4.4107423),(32 4.316445),(33 4.3426766),(34 4.1974735),(35 4.534513),(36 4.5810704),(37 4.7148952),(38 4.6932106),(39 4.921772),(40 4.808399),(41 4.8351116),(42 4.6486583),(43 4.644241),(44 4.4917717),(45 4.3984056),(46 4.358568),(47 4.2765946),(48 4.104669),(49 4.2652993),(50 4.461658),(51 4.596171),(52 4.5294323),(53 4.4633403),(54 4.382155),(55 4.3818436),
(1 1.5346011),(2 2.5650475),(3 3.2918983),(4 3.483821),(5 3.6958063),(6 3.567807),(7 3.754809),(8 3.7383316),(9 3.886906),(10 3.8088927),(11 3.7398512),(12 3.6436598),(13 3.6328497),(14 3.6559572),(15 3.7445776),(16 3.6378398),(17 3.6781042),(18 3.6622162),(19 3.6689112),(20 3.8909857),(21 3.9642224),(22 3.8956327),(23 3.895608),(24 3.770929),(25 3.8087745),(26 3.573518),(27 3.6612196),(28 3.581559),(29 3.6771646),(30 3.5337098),(31 3.6869624),(32 3.6569648),(33 3.789195),(34 3.6786513),(35 3.947208),(36 3.932159),(37 4.021904),(38 3.993034),(39 4.005015),(40 4.0178323),(41 3.8804154),(42 3.7243347),(43 3.784001),(44 3.6233969),(45 3.664592),(46 3.6282215),(47 3.831727),(48 3.7856646),(49 3.8647115),(50 3.8919961),(51 3.8424487),(52 3.7158318),(53 3.7486398),(54 3.6508107),(55 3.6523361),
(1 1.3940891),(2 2.3421133),(3 3.0288396),(4 3.114396),(5 3.4069362),(6 3.2880626),(7 3.4705598),(8 3.3607655),(9 3.259674),(10 3.0390663),(11 2.9121683),(12 2.9576035),(13 3.0752268),(14 3.0221765),(15 3.0768924),(16 3.0552568),(17 3.1871407),(18 3.2242289),(19 3.1796103),(20 3.435638),(21 3.4678183),(22 3.272572),(23 3.3277183),(24 3.28533),(25 3.3091767),(26 3.1888702),(27 3.2351253),(28 3.1525354),(29 3.2512767),(30 3.246919),(31 3.380108),(32 3.3048239),(33 3.290216),(34 3.1537013),(35 3.3895755),(36 3.4360106),(37 3.409638),(38 3.3409894),(39 3.3460186),(40 3.2959206),(41 3.18144),(42 3.0682929),(43 3.0759463),(44 3.1283147),(45 3.1983895),(46 3.1504245),(47 3.2491076),(48 3.1692433),(49 3.1713107),(50 3.193841),(51 3.17545),(52 3.068094),(53 3.1201832),(54 3.207805),(55 3.2077706),
(1 1.3035711),(2 2.1036417),(3 2.7563968),(4 2.6877744),(5 2.9660585),(6 2.866074),(7 2.9503284),(8 2.7817154),(9 2.6917794),(10 2.526674),(11 2.5066013),(12 2.5751147),(13 2.5839708),(14 2.5094762),(15 2.5561817),(16 2.6165404),(17 2.6614287),(18 2.6556008),(19 2.6636772),(20 2.817831),(21 2.8206291),(22 2.650379),(23 2.711172),(24 2.70817),(25 2.650883),(26 2.6264758),(27 2.6758978),(28 2.6705258),(29 2.7550266),(30 2.6252332),(31 2.6456807),(32 2.6365752),(33 2.6973152),(34 2.62887),(35 2.8069205),(36 2.7668893),(37 2.7732265),(38 2.6692095),(39 2.6466577),(40 2.625926),(41 2.5770426),(42 2.5218036),(43 2.5722795),(44 2.6121778),(45 2.6343958),(46 2.5831575),(47 2.5727115),(48 2.5109859),(49 2.5423768),(50 2.6508114),(51 2.6704848),(52 2.6169848),(53 2.634678),(54 2.5871449),(55 2.5874243),
(1 0.99280804),(2 1.7274984),(3 2.0920846),(4 1.9670241),(5 2.2750518),(6 2.325019),(7 2.3470592),(8 2.042555),(9 1.8886802),(10 1.803418),(11 1.8357077),(12 1.8177181),(13 1.8065543),(14 1.8992631),(15 2.007157),(16 1.9698459),(17 1.972903),(18 1.9457104),(19 1.8769308),(20 1.9431381),(21 1.9904251),(22 1.8958398),(23 1.9225177),(24 1.9806633),(25 2.0742784),(26 2.056553),(27 2.0223398),(28 2.01762),(29 2.110709),(30 1.99093),(31 1.956027),(32 1.9291626),(33 2.003123),(34 1.9499911),(35 2.1409135),(36 2.0957701),(37 2.1077871),(38 2.0357394),(39 2.113655),(40 2.1343205),(41 2.1583378),(42 2.0836916),(43 2.087307),(44 2.029291),(45 1.9817094),(46 1.9349201),(47 2.0059838),(48 1.9783887),(49 2.0230718),(50 2.0650725),(51 2.0789132),(52 2.060758),(53 2.0558686),(54 2.0397618),(55 2.0389745),
