1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 1.9425391),(2 6.7688622),(3 15.048964),(4 24.669365),(5 35.729176),(6 44.860504),(7 56.876537),(8 67.71216),(9 77.11779),(10 84.80783),(11 90.91903),(12 98.032936),(13 100.94302),(14 105.2773),(15 107.55589),(16 110.242676),(17 113.74152),(18 116.678665),(19 115.31091),(20 115.06765),(21 114.26923),(22 113.18632),(23 113.17548),(24 112.32537),(25 113.43066),(26 116.70277),(27 121.061104),(28 124.231186),(29 125.89495),(30 126.83054),(31 128.7977),(32 129.46997),(33 130.98442),(34 132.85918),(35 135.09885),(36 136.12881),(37 138.06366),(38 138.01758),(39 140.42575),(40 141.28343),(41 144.5033),(42 147.48903),(43 149.2478),(44 151.50772),(45 153.93614),(46 153.47989),(47 153.22054),(48 154.04025),(49 156.43214),(50 157.84348),(51 159.70421),(52 162.33746),(53 164.94221),(54 167.25793),(55 167.25945),
(1 2.7095954),(2 7.9426355),(3 15.40769),(4 23.426054),(5 31.272478),(6 36.572704),(7 41.93006),(8 47.926964),(9 51.602833),(10 54.23695),(11 56.68839),(12 61.152977),(13 62.757614),(14 65.84513),(15 68.13329),(16 69.92011),(17 72.0108),(18 75.611755),(19 75.18112),(20 75.993164),(21 77.39925),(22 77.268776),(23 76.259796),(24 74.12527),(25 72.85358),(26 73.37965),(27 73.05885),(28 74.76984),(29 77.34326),(30 78.3828),(31 80.5587),(32 81.00237),(33 79.643974),(34 78.34702),(35 77.99652),(36 77.60143),(37 80.276924),(38 81.0769),(39 81.459526),(40 80.5213),(41 81.58816),(42 82.52357),(43 83.1813),(44 83.758865),(45 85.00119),(46 84.59098),(47 85.4612),(48 86.21423),(49 87.00967),(50 88.499855),(51 90.124825),(52 91.30765),(53 91.505775),(54 90.66866),(55 90.65728),
(1 2.635993),(2 6.022539),(3 10.974056),(4 16.211702),(5 20.85405),(6 22.794424),(7 25.061974),(8 27.677618),(9 29.377295),(10 30.112486),(11 31.62531),(12 33.34046),(13 34.345993),(14 35.034344),(15 35.59934),(16 37.279587),(17 38.110786),(18 38.568592),(19 38.831577),(20 39.14204),(21 39.36663),(22 39.625736),(23 40.189335),(24 39.3674),(25 40.536873),(26 40.78263),(27 41.097713),(28 40.850792),(29 40.722248),(30 40.561405),(31 42.240868),(32 42.963966),(33 42.847378),(34 43.27713),(35 44.700184),(36 45.501095),(37 46.453144),(38 46.02615),(39 46.00124),(40 46.01421),(41 44.677433),(42 44.556313),(43 45.152313),(44 44.638588),(45 43.497673),(46 43.246975),(47 43.45749),(48 42.33492),(49 41.327232),(50 40.70707),(51 40.29438),(52 39.722897),(53 39.735428),(54 39.17841),(55 39.178635),
(1 3.0164096),(2 6.529509),(3 10.416196),(4 13.406726),(5 15.8918915),(6 18.314142),(7 19.70589),(8 21.119976),(9 23.53117),(10 24.946474),(11 27.096977),(12 27.41324),(13 27.067724),(14 27.358522),(15 27.397638),(16 28.035372),(17 28.129852),(18 27.700354),(19 27.617336),(20 28.175167),(21 28.4936),(22 28.785656),(23 29.818012),(24 30.0606),(25 29.71754),(26 29.425447),(27 29.224487),(28 28.940607),(29 29.083765),(30 29.149368),(31 29.676308),(32 29.455954),(33 29.656145),(34 28.74226),(35 29.005064),(36 29.060852),(37 29.238573),(38 29.077991),(39 29.114666),(40 28.592484),(41 28.128206),(42 28.072937),(43 28.928625),(44 28.600391),(45 28.49037),(46 27.802462),(47 27.661736),(48 27.182917),(49 26.597326),(50 26.236622),(51 26.15896),(52 26.037231),(53 26.251804),(54 26.127222),(55 26.135855),
(1 3.4853313),(2 6.2632356),(3 9.915574),(4 12.390239),(5 14.25867),(6 16.018038),(7 17.728813),(8 18.820024),(9 20.143393),(10 20.101408),(11 20.409708),(12 20.20555),(13 20.537304),(14 20.424744),(15 20.153494),(16 20.622383),(17 21.287819),(18 21.480984),(19 21.59871),(20 22.27151),(21 22.284462),(22 22.701763),(23 23.14234),(24 22.925192),(25 22.051142),(26 21.072739),(27 21.301317),(28 20.712854),(29 20.32411),(30 20.33405),(31 21.118984),(32 21.124685),(33 21.393927),(34 20.133305),(35 20.081415),(36 20.097149),(37 20.041218),(38 19.954962),(39 19.84785),(40 19.261745),(41 18.659319),(42 18.812672),(43 19.451096),(44 19.478275),(45 19.609608),(46 19.097687),(47 19.60066),(48 19.877077),(49 19.853024),(50 20.519838),(51 21.112251),(52 21.218552),(53 21.740784),(54 21.8669),(55 21.871742),
(1 2.7788558),(2 4.761709),(3 7.0729184),(4 8.739695),(5 10.154297),(6 11.653096),(7 12.991711),(8 13.291258),(9 13.4423275),(10 13.047626),(11 12.931169),(12 12.961937),(13 13.070641),(14 13.807589),(15 14.8913555),(16 15.274798),(17 15.748903),(18 15.9632635),(19 15.613362),(20 15.126093),(21 14.856871),(22 14.101491),(23 14.02191),(24 14.495993),(25 14.6274395),(26 14.402006),(27 14.613955),(28 13.902356),(29 13.981525),(30 13.695943),(31 13.406592),(32 12.945487),(33 12.82764),(34 12.53211),(35 12.884147),(36 13.332916),(37 13.433396),(38 13.540884),(39 13.575136),(40 12.680076),(41 12.330403),(42 12.334428),(43 12.703924),(44 13.408687),(45 14.076479),(46 13.987269),(47 14.5088215),(48 14.939505),(49 15.141887),(50 16.009653),(51 16.40741),(52 15.976879),(53 16.14645),(54 15.787039),(55 15.788422),
(1 3.1958494),(2 5.4149747),(3 7.6049004),(4 9.378148),(5 11.263235),(6 12.364976),(7 13.627826),(8 13.504602),(9 13.610827),(10 13.419923),(11 12.934229),(12 12.381572),(13 12.8817005),(14 13.183002),(15 14.0845175),(16 13.836901),(17 13.515946),(18 12.953739),(19 13.083001),(20 12.98602),(21 12.997383),(22 12.905902),(23 12.973013),(24 13.065035),(25 13.403061),(26 13.013251),(27 13.38098),(28 13.486539),(29 13.7413025),(30 12.70711),(31 12.375205),(32 12.474064),(33 12.091159),(34 11.449775),(35 12.023061),(36 12.189019),(37 12.392712),(38 12.643933),(39 12.396235),(40 12.483078),(41 12.770889),(42 12.637058),(43 12.365474),(44 12.368494),(45 13.081318),(46 13.174533),(47 13.765721),(48 14.354301),(49 14.628374),(50 14.599936),(51 14.842866),(52 14.374778),(53 14.338329),(54 13.8799),(55 13.886175),
(1 3.0829966),(2 4.828103),(3 6.9727993),(4 8.446892),(5 9.878212),(6 10.499215),(7 11.5476),(8 10.912089),(9 10.736276),(10 10.30793),(11 10.159194),(12 10.14649),(13 10.563123),(14 10.567953),(15 10.150919),(16 10.358113),(17 10.047981),(18 9.923865),(19 10.017692),(20 10.785273),(21 10.608451),(22 10.22571),(23 10.08928),(24 9.815338),(25 9.704605),(26 9.347239),(27 9.858676),(28 9.579004),(29 9.875582),(30 9.4671335),(31 9.678872),(32 9.464506),(33 9.405271),(34 9.348687),(35 10.074805),(36 9.925119),(37 9.915198),(38 9.671408),(39 9.763427),(40 9.8013735),(41 9.974659),(42 10.030912),(43 10.251811),(44 10.350337),(45 10.693844),(46 10.85049),(47 11.220463),(48 11.331702),(49 10.920072),(50 10.865368),(51 11.060154),(52 10.359579),(53 10.021767),(54 10.229959),(55 10.228301),
(1 2.9637623),(2 4.7347465),(3 6.729135),(4 7.7151957),(5 8.830871),(6 8.861991),(7 9.120566),(8 8.794572),(9 8.509296),(10 8.668021),(11 8.663255),(12 9.107925),(13 9.024309),(14 8.601989),(15 8.143285),(16 7.815989),(17 7.8699436),(18 8.0661),(19 8.552849),(20 8.906968),(21 8.962497),(22 8.671705),(23 8.629985),(24 8.487324),(25 8.413649),(26 7.843918),(27 8.089967),(28 7.956443),(29 8.011329),(30 7.719495),(31 8.149963),(32 7.7794337),(33 7.5239754),(34 7.332992),(35 8.103694),(36 8.306346),(37 8.422512),(38 8.463921),(39 8.789715),(40 8.819317),(41 8.963071),(42 8.634148),(43 8.704437),(44 8.508526),(45 8.6557455),(46 8.662924),(47 8.441629),(48 8.071686),(49 7.792044),(50 8.002577),(51 8.25026),(52 8.076712),(53 8.445958),(54 8.641345),(55 8.643176),
(1 2.6062496),(2 4.2720504),(3 5.820188),(4 6.9417205),(5 7.597603),(6 7.444631),(7 7.385205),(8 7.106972),(9 6.9495754),(10 7.2516575),(11 7.159093),(12 7.1123376),(13 7.106115),(14 6.767859),(15 6.544499),(16 6.600752),(17 6.881289),(18 6.810272),(19 6.851536),(20 6.949538),(21 6.921445),(22 6.8170385),(23 6.9558315),(24 6.829044),(25 6.809805),(26 6.278177),(27 6.4012566),(28 6.2510443),(29 6.394689),(30 6.171994),(31 6.4169354),(32 6.387841),(33 6.283945),(34 6.251264),(35 6.9116845),(36 7.1205473),(37 7.201222),(38 7.0681195),(39 7.386743),(40 7.415882),(41 7.2842655),(42 7.152712),(43 7.1431875),(44 7.01297),(45 6.9368954),(46 6.8371267),(47 6.7353854),(48 6.408906),(49 6.447507),(50 6.724142),(51 7.0719557),(52 7.2028513),(53 7.3237295),(54 7.1789565),(55 7.177632),
(1 2.1533127),(2 3.6344845),(3 4.691391),(4 5.368632),(5 5.6921134),(6 5.5885286),(7 5.8620176),(8 5.75537),(9 5.7939734),(10 5.895608),(11 5.840625),(12 5.6699576),(13 5.4735146),(14 5.2371683),(15 5.361978),(16 5.302432),(17 5.356902),(18 5.2377453),(19 5.1354117),(20 5.456768),(21 5.692212),(22 5.713455),(23 5.634883),(24 5.5419455),(25 5.427451),(26 5.0311384),(27 5.1575747),(28 5.1428046),(29 5.4686036),(30 5.44628),(31 5.502936),(32 5.331072),(33 5.3966403),(34 5.3224416),(35 5.717341),(36 5.839726),(37 5.9525847),(38 5.913093),(39 5.9293485),(40 5.74983),(41 5.601881),(42 5.338518),(43 5.4918423),(44 5.4321165),(45 5.499127),(46 5.3551564),(47 5.4824047),(48 5.408807),(49 5.762174),(50 6.132996),(51 6.335195),(52 6.193915),(53 6.117918),(54 5.90299),(55 5.902906),
