1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 2.1003578),(2 6.7435026),(3 15.332853),(4 26.440285),(5 42.231182),(6 56.505127),(7 74.475235),(8 92.31251),(9 105.53545),(10 115.53501),(11 123.049416),(12 130.92345),(13 136.56247),(14 143.46869),(15 150.27818),(16 156.29039),(17 160.31705),(18 160.86351),(19 156.51274),(20 152.17995),(21 150.25368),(22 150.50676),(23 151.11523),(24 153.26213),(25 156.62086),(26 160.32861),(27 166.41916),(28 171.76018),(29 175.64114),(30 178.10056),(31 181.89711),(32 184.2725),(33 187.86363),(34 193.65596),(35 200.0225),(36 202.95558),(37 206.72084),(38 206.15761),(39 209.6106),(40 207.97662),(41 208.41914),(42 207.3248),(43 205.65965),(44 206.9431),(45 211.78656),(46 211.254),(47 212.37001),(48 214.28516),(49 216.97124),(50 216.62132),(51 216.49518),(52 216.75702),(53 218.1959),(54 221.14629),(55 221.13882),
(1 2.976881),(2 8.522475),(3 18.126564),(4 29.810108),(5 42.749226),(6 53.025208),(7 67.47971),(8 81.30393),(9 91.10152),(10 98.32495),(11 104.09412),(12 112.72526),(13 118.48881),(14 127.20955),(15 136.78076),(16 144.39784),(17 151.15222),(18 158.5635),(19 161.53609),(20 163.65344),(21 164.93341),(22 161.92152),(23 158.7093),(24 156.2913),(25 156.5808),(26 159.11351),(27 162.26546),(28 164.80121),(29 168.63155),(30 170.01746),(31 173.30191),(32 174.70833),(33 175.67944),(34 178.20966),(35 184.0484),(36 187.91202),(37 194.09976),(38 195.89285),(39 199.60419),(40 199.2033),(41 198.75912),(42 198.61295),(43 198.35466),(44 199.72972),(45 202.12454),(46 200.86511),(47 200.05153),(48 201.23956),(49 201.65358),(50 199.79677),(51 199.92398),(52 200.80717),(53 202.86009),(54 204.49232),(55 204.48778),
(1 2.9954605),(2 8.670906),(3 16.964403),(4 25.925348),(5 34.604782),(6 43.426758),(7 51.42197),(8 61.618572),(9 70.99252),(10 78.97042),(11 87.01498),(12 95.459076),(13 97.4676),(14 100.788666),(15 100.45604),(16 102.72578),(17 104.41374),(18 107.098595),(19 107.02591),(20 107.956184),(21 109.80749),(22 111.686745),(23 112.99429),(24 112.57673),(25 112.72582),(26 113.50213),(27 114.17333),(28 113.73511),(29 112.551674),(30 110.248634),(31 109.95592),(32 108.9163),(33 107.57773),(34 106.5927),(35 106.99021),(36 106.81359),(37 110.03699),(38 110.88811),(39 111.346756),(40 111.08042),(41 113.840645),(42 114.267395),(43 114.6558),(44 114.56405),(45 115.48048),(46 115.890526),(47 117.275795),(48 119.31868),(49 122.080154),(50 124.77682),(51 127.28361),(52 130.395),(53 133.56802),(54 134.2977),(55 134.28738),
(1 4.1587367),(2 10.2068),(3 19.343992),(4 28.866842),(5 37.967934),(6 43.586773),(7 48.987194),(8 55.241207),(9 59.75317),(10 64.06789),(11 66.55731),(12 72.034836),(13 74.23992),(14 77.34366),(15 79.456764),(16 80.75671),(17 82.03122),(18 83.102356),(19 80.55446),(20 80.55763),(21 80.74814),(22 79.63443),(23 78.80979),(24 76.49678),(25 75.28185),(26 76.4129),(27 77.68769),(28 78.684074),(29 80.56767),(30 80.697525),(31 82.28132),(32 82.96948),(33 82.47387),(34 81.323715),(35 81.078316),(36 80.52359),(37 81.34543),(38 81.39382),(39 80.856705),(40 80.49466),(41 81.151985),(42 81.87507),(43 83.2398),(44 83.83137),(45 84.75824),(46 84.00933),(47 84.73622),(48 85.18965),(49 84.20716),(50 85.59144),(51 87.16764),(52 87.18338),(53 86.05314),(54 84.40574),(55 84.40088),
(1 4.569426),(2 10.162497),(3 17.255812),(4 25.352045),(5 32.385952),(6 37.406624),(7 42.546074),(8 46.957176),(9 51.907654),(10 53.276783),(11 54.9312),(12 56.83034),(13 56.767086),(14 57.45112),(15 57.292473),(16 56.369686),(17 55.342884),(18 53.468452),(19 52.47899),(20 53.38432),(21 53.319344),(22 53.99772),(23 54.99978),(24 55.12944),(25 55.498573),(26 55.79648),(27 56.930332),(28 57.3823),(29 58.37769),(30 58.658714),(31 60.602306),(32 61.46088),(33 60.972233),(34 59.64259),(35 59.926342),(36 60.10973),(37 61.615925),(38 61.600758),(39 62.637447),(40 61.665405),(41 59.81593),(42 59.69756),(43 61.122322),(44 61.281853),(45 61.57757),(46 61.080948),(47 61.397583),(48 60.11509),(49 59.416187),(50 58.83039),(51 58.623695),(52 58.685154),(53 59.296146),(54 59.71536),(55 59.709167),
(1 3.9731362),(2 8.670317),(3 14.442773),(4 19.282701),(5 22.491037),(6 24.721851),(7 28.174177),(8 29.938358),(9 31.906475),(10 32.833424),(11 33.959656),(12 34.415825),(13 33.31271),(14 33.954952),(15 33.14549),(16 33.226604),(17 33.332508),(18 33.445324),(19 33.54407),(20 34.596542),(21 35.515823),(22 36.66649),(23 37.859695),(24 38.09247),(25 38.583527),(26 38.749607),(27 39.995808),(28 39.580177),(29 38.146698),(30 37.58422),(31 38.753864),(32 38.800583),(33 38.026146),(34 36.775627),(35 37.23077),(36 37.67854),(37 38.162865),(38 38.20254),(39 38.30455),(40 37.339523),(41 36.696243),(42 36.838593),(43 37.56145),(44 36.192738),(45 34.665104),(46 34.545868),(47 35.853188),(48 35.48282),(49 34.441032),(50 34.252132),(51 34.6101),(52 35.468857),(53 36.018124),(54 34.901104),(55 34.898457),
(1 4.6726794),(2 8.946348),(3 14.422278),(4 17.924627),(5 21.826036),(6 24.518448),(7 26.956055),(8 28.86527),(9 30.207512),(10 30.752686),(11 31.64521),(12 30.741463),(13 30.301605),(14 30.353622),(15 29.854591),(16 30.163748),(17 30.659466),(18 31.24298),(19 31.280972),(20 32.6783),(21 32.66263),(22 33.34907),(23 34.395042),(24 34.54139),(25 33.94493),(26 33.74039),(27 32.95257),(28 31.954044),(29 31.543455),(30 30.378605),(31 30.519682),(32 31.110071),(33 32.1029),(34 32.01093),(35 32.280346),(36 32.401848),(37 32.167034),(38 31.398682),(39 31.526888),(40 31.002283),(41 30.057467),(42 29.734848),(43 30.34069),(44 30.465857),(45 30.338669),(46 28.836731),(47 29.113283),(48 29.379238),(49 29.380245),(50 29.979755),(51 30.086702),(52 29.744427),(53 29.805714),(54 29.842194),(55 29.85124),
(1 4.563851),(2 8.934342),(3 13.929939),(4 17.302193),(5 19.950928),(6 22.709642),(7 25.031315),(8 25.858944),(9 27.462212),(10 26.347664),(11 26.21253),(12 25.576344),(13 25.630302),(14 25.571133),(15 25.791039),(16 26.154333),(17 26.858868),(18 27.726515),(19 27.924822),(20 28.391956),(21 28.53703),(22 28.8913),(23 28.792871),(24 28.399479),(25 28.090496),(26 27.076216),(27 27.980564),(28 28.006107),(29 27.501127),(30 27.399878),(31 28.417582),(32 27.298359),(33 26.91904),(34 25.56918),(35 26.432098),(36 26.985588),(37 27.45858),(38 27.51298),(39 27.681164),(40 26.328053),(41 25.745338),(42 26.034817),(43 25.908981),(44 25.881927),(45 25.618559),(46 24.697483),(47 24.796661),(48 24.851805),(49 24.582048),(50 26.148546),(51 26.982084),(52 27.65079),(53 28.449797),(54 28.06217),(55 28.063992),
(1 4.7307835),(2 8.554089),(3 13.034037),(4 15.914329),(5 18.153315),(6 20.032625),(7 22.262884),(8 22.746517),(9 22.99274),(10 22.889965),(11 22.681301),(12 21.831066),(13 21.759073),(14 22.228691),(15 24.013996),(16 24.397984),(17 25.243048),(18 25.175028),(19 24.878637),(20 24.700882),(21 24.030922),(22 22.713478),(23 22.910788),(24 23.770308),(25 23.813204),(26 23.650639),(27 23.986017),(28 23.244455),(29 23.228516),(30 22.35751),(31 22.15161),(32 22.30146),(33 22.021778),(34 20.918854),(35 20.970507),(36 21.359959),(37 21.779203),(38 21.345552),(39 21.15207),(40 20.338228),(41 20.264122),(42 20.142189),(43 20.284327),(44 20.356165),(45 20.867538),(46 20.566977),(47 21.269054),(48 21.58551),(49 22.03796),(50 22.774559),(51 23.445436),(52 22.953152),(53 22.84123),(54 22.571121),(55 22.57458),
(1 4.513708),(2 8.03407),(3 11.767106),(4 14.983231),(5 17.525421),(6 19.393976),(7 21.38066),(8 20.763964),(9 20.682772),(10 19.61879),(11 18.679552),(12 18.434063),(13 18.789837),(14 19.643919),(15 20.506357),(16 21.135345),(17 21.234276),(18 20.828346),(19 20.684685),(20 20.50692),(21 20.16671),(22 20.46298),(23 21.450577),(24 21.710112),(25 21.60848),(26 20.612211),(27 20.82363),(28 20.340944),(29 20.253508),(30 19.60998),(31 19.28194),(32 18.86233),(33 18.475548),(34 18.080128),(35 18.80622),(36 19.078566),(37 19.84958),(38 20.15598),(39 20.654196),(40 20.01548),(41 19.531906),(42 19.429874),(43 18.697489),(44 18.815184),(45 19.323053),(46 18.237352),(47 18.367157),(48 18.771381),(49 18.856802),(50 20.28657),(51 20.70636),(52 20.048296),(53 19.992966),(54 19.442709),(55 19.438753),
(1 4.157794),(2 6.728823),(3 9.983094),(4 12.248778),(5 14.372251),(6 15.688869),(7 17.6865),(8 17.10103),(9 16.705963),(10 16.007618),(11 16.216953),(12 15.9567175),(13 16.263779),(14 16.45989),(15 17.073458),(16 17.191015),(17 16.563004),(18 16.048086),(19 16.104364),(20 16.469135),(21 16.455395),(22 16.258146),(23 16.503702),(24 16.407871),(25 16.419357),(26 16.142721),(27 16.346495),(28 15.72756),(29 16.399532),(30 15.608062),(31 15.70887),(32 15.655779),(33 15.300382),(34 14.950689),(35 15.8396635),(36 15.484853),(37 15.4930525),(38 15.15861),(39 15.082723),(40 14.957293),(41 15.080843),(42 14.908042),(43 14.739563),(44 14.605646),(45 14.864094),(46 14.995142),(47 15.498377),(48 15.661088),(49 15.705337),(50 16.288403),(51 17.142263),(52 16.39468),(53 16.422907),(54 16.482416),(55 16.487688),
