1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 16.756453),(2 40.81377),(3 61.29184),(4 76.59696),(5 86.82189),(6 92.09132),(7 93.88698),(8 94.17663),(9 94.24025),(10 94.78982),(11 95.30728),(12 95.81429),(13 95.92989),(14 96.26815),(15 96.49931),(16 96.014175),(17 95.81419),(18 95.61271),(19 94.93523),(20 94.557365),(21 95.38573),(22 96.05837),(23 96.469795),(24 97.07001),(25 97.90753),(26 99.34811),(27 100.47927),(28 100.8216),(29 100.58325),(30 100.43018),(31 100.36869),(32 100.49236),(33 100.38938),(34 100.32833),(35 100.45014),(36 100.613686),(37 101.1296),(38 102.084496),(39 103.22588),(40 103.79951),(41 104.0287),(42 103.825836),(43 103.546875),(44 103.25457),(45 103.57673),(46 102.808426),(47 101.55401),(48 100.00584),(49 99.59016),(50 100.25091),(51 100.89667),(52 101.89855),(53 103.10036),(54 104.86848),(55 105.98463),(56 106.69901),(57 106.97146),(58 106.8141),(59 106.21539),(60 105.09014),(61 103.807),(62 103.01864),(63 103.41819),(64 104.419586),(65 105.58352),(66 107.338486),(67 108.86249),(68 109.773315),(69 111.217316),(70 112.52224),(71 113.185265),(72 112.788086),(73 110.639565),(74 107.30102),(75 104.34742),(76 102.85117),(77 102.876656),(78 104.09161),(79 106.32322),
(1 22.836445),(2 53.26634),(3 78.399345),(4 94.40078),(5 102.328354),(6 105.250175),(7 104.60663),(8 102.96418),(9 101.29924),(10 101.12963),(11 101.3743),(12 102.63061),(13 103.39821),(14 103.957085),(15 103.87494),(16 103.2622),(17 102.60099),(18 101.9227),(19 101.17392),(20 101.00086),(21 101.4564),(22 101.85982),(23 101.90337),(24 102.019135),(25 101.76716),(26 102.0906),(27 102.82991),(28 103.701935),(29 104.05101),(30 104.54335),(31 104.32724),(32 103.823044),(33 102.67248),(34 101.67527),(35 101.4184),(36 101.49318),(37 102.372406),(38 103.88674),(39 105.67884),(40 106.90924),(41 107.91346),(42 108.02135),(43 107.19685),(44 105.866554),(45 105.803795),(46 106.39821),(47 107.49372),(48 109.22021),(49 110.3386),(50 110.8846),(51 110.430244),(52 110.069626),(53 109.309616),(54 109.51253),(55 110.541756),(56 111.57047),(57 112.15108),(58 112.03313),(59 111.64634),(60 111.11162),(61 110.622246),(62 110.430435),(63 110.43441),(64 110.48821),(65 110.40207),(66 110.80812),(67 111.567764),(68 113.26231),(69 115.54128),(70 116.74994),(71 116.607735),(72 114.988365),(73 112.1854),(74 108.81314),(75 105.88568),(76 104.09117),(77 103.214455),(78 103.47844),(79 105.29307),
(1 22.57307),(2 44.896687),(3 58.944305),(4 66.144585),(5 67.773254),(6 65.861694),(7 63.200214),(8 61.22353),(9 60.45964),(10 60.88991),(11 61.63464),(12 62.58322),(13 61.77034),(14 60.481224),(15 60.08272),(16 59.99771),(17 60.14001),(18 60.997253),(19 61.702267),(20 62.752335),(21 63.890896),(22 63.963684),(23 64.653824),(24 65.019424),(25 64.97247),(26 65.130646),(27 65.239716),(28 65.53857),(29 65.28528),(30 65.2096),(31 65.0296),(32 64.6415),(33 64.20094),(34 63.483974),(35 62.402836),(36 62.240482),(37 63.138054),(38 64.6096),(39 66.48088),(40 67.73878),(41 68.213005),(42 67.46903),(43 66.73698),(44 66.15963),(45 66.687),(46 66.33273),(47 65.71986),(48 65.41013),(49 65.09128),(50 65.19287),(51 65.512215),(52 65.98696),(53 66.65617),(54 67.72241),(55 68.28308),(56 68.65125),(57 69.23117),(58 69.416954),(59 68.91965),(60 67.67424),(61 66.474945),(62 65.518005),(63 65.424095),(64 65.85994),(65 66.48619),(66 67.61509),(67 68.328125),(68 68.604294),(69 69.00724),(70 69.283134),(71 69.68896),(72 70.15741),(73 69.68671),(74 68.51526),(75 67.26334),(76 66.58885),(77 66.574905),(78 66.80828),(79 67.00098),
(1 24.621433),(2 39.279324),(3 45.803658),(4 48.3126),(5 49.033054),(6 48.369743),(7 47.07607),(8 46.239906),(9 45.322952),(10 45.69132),(11 45.64182),(12 45.93173),(13 45.907757),(14 46.04142),(15 46.420166),(16 46.422592),(17 46.679806),(18 47.041935),(19 47.48214),(20 47.378452),(21 47.31031),(22 46.80648),(23 46.82331),(24 46.99357),(25 46.873257),(26 47.339916),(27 47.775196),(28 47.90172),(29 47.7074),(30 48.63316),(31 49.101902),(32 48.930946),(33 48.713047),(34 47.851513),(35 47.29248),(36 46.903774),(37 46.834316),(38 47.351864),(39 48.193474),(40 48.98581),(41 49.597355),(42 49.594032),(43 49.98144),(44 50.398838),(45 50.745525),(46 50.43),(47 49.642746),(48 49.314434),(49 48.413437),(50 48.34899),(51 48.942284),(52 50.087555),(53 50.149433),(54 50.356503),(55 50.67779),(56 50.808437),(57 50.990704),(58 50.807026),(59 50.384537),(60 50.102203),(61 49.838818),(62 49.28466),(63 48.93103),(64 48.928307),(65 49.00246),(66 49.39277),(67 49.84712),(68 50.21212),(69 50.988735),(70 51.155083),(71 50.960854),(72 50.696636),(73 50.167072),(74 49.545033),(75 49.331604),(76 49.61512),(77 49.603497),(78 49.29783),(79 49.427906),
(1 23.488565),(2 32.183056),(3 35.03895),(4 36.38001),(5 36.294044),(6 36.04023),(7 36.041492),(8 35.708992),(9 35.19757),(10 34.993923),(11 34.645832),(12 35.07192),(13 35.432407),(14 35.434692),(15 35.713142),(16 36.12114),(17 36.402245),(18 36.80213),(19 36.67394),(20 36.72073),(21 36.52027),(22 36.246223),(23 36.35266),(24 35.96873),(25 36.05778),(26 36.72941),(27 37.035225),(28 37.02504),(29 36.84152),(30 37.407455),(31 37.922646),(32 37.927975),(33 38.04994),(34 37.55896),(35 37.311337),(36 36.941456),(37 36.747833),(38 36.872696),(39 37.53535),(40 37.964516),(41 37.87464),(42 37.968357),(43 38.100506),(44 38.372715),(45 39.169487),(46 39.137398),(47 38.21695),(48 38.156998),(49 37.810093),(50 37.679436),(51 38.373585),(52 38.94253),(53 38.701233),(54 38.963154),(55 39.220486),(56 39.551403),(57 39.587963),(58 38.95999),(59 38.75425),(60 38.50461),(61 38.5984),(62 38.44202),(63 37.88065),(64 37.932747),(65 38.342587),(66 38.784786),(67 39.018124),(68 39.064064),(69 39.26923),(70 39.16973),(71 39.03689),(72 39.14547),(73 39.26524),(74 39.253796),(75 38.851395),(76 38.4116),(77 38.389965),(78 38.160934),(79 38.462696),
(1 17.184826),(2 20.721117),(3 22.059298),(4 22.741306),(5 22.61888),(6 22.244423),(7 22.22487),(8 22.36302),(9 22.261358),(10 22.463987),(11 22.408684),(12 22.600245),(13 22.427279),(14 22.528719),(15 22.68391),(16 22.879023),(17 22.962124),(18 22.854815),(19 22.641697),(20 22.885206),(21 23.023329),(22 22.919594),(23 22.86134),(24 22.811897),(25 22.875162),(26 23.082766),(27 23.432384),(28 23.590479),(29 23.260277),(30 23.334763),(31 23.605354),(32 23.93978),(33 24.16067),(34 23.986485),(35 23.83236),(36 23.526691),(37 23.441404),(38 23.509758),(39 24.022406),(40 24.095812),(41 24.050978),(42 23.819992),(43 24.219364),(44 24.638752),(45 24.636415),(46 24.75821),(47 24.472273),(48 24.272747),(49 24.00609),(50 24.014881),(51 24.397194),(52 24.676798),(53 24.73785),(54 25.116137),(55 24.947657),(56 24.740215),(57 24.84643),(58 24.639503),(59 24.555332),(60 24.426184),(61 24.494507),(62 24.614792),(63 24.617449),(64 24.668459),(65 24.73537),(66 25.01235),(67 25.203548),(68 24.83074),(69 24.529787),(70 24.664953),(71 24.636568),(72 24.837534),(73 24.985304),(74 24.942705),(75 24.871002),(76 24.85032),(77 24.716742),(78 24.312906),(79 24.42001),
(1 15.822258),(2 18.10393),(3 18.820358),(4 19.2359),(5 19.179295),(6 19.073093),(7 19.231483),(8 19.42677),(9 19.642975),(10 19.46798),(11 19.474731),(12 19.601631),(13 19.492083),(14 19.317698),(15 19.443628),(16 19.69031),(17 19.831205),(18 19.939531),(19 19.669893),(20 19.781029),(21 19.945967),(22 19.848343),(23 20.006136),(24 20.044115),(25 20.219482),(26 20.220558),(27 20.276037),(28 20.318073),(29 20.043997),(30 20.278467),(31 20.564905),(32 20.65228),(33 20.742458),(34 20.587797),(35 20.506733),(36 20.376215),(37 20.29168),(38 20.387756),(39 20.72461),(40 21.031466),(41 20.828072),(42 20.838034),(43 20.988),(44 21.085558),(45 21.295055),(46 21.635763),(47 21.678009),(48 21.299711),(49 21.253538),(50 21.325407),(51 21.534828),(52 21.842457),(53 21.766048),(54 22.106491),(55 22.075068),(56 21.809952),(57 21.786617),(58 21.623718),(59 21.690718),(60 21.666723),(61 21.811142),(62 21.878607),(63 21.834332),(64 21.798515),(65 21.885672),(66 21.941679),(67 22.101543),(68 22.20821),(69 22.273382),(70 22.241724),(71 22.078482),(72 22.165787),(73 22.1514),(74 22.334171),(75 22.194801),(76 22.222574),(77 22.301657),(78 21.749315),(79 21.808163),
(1 13.723189),(2 14.946271),(3 15.572391),(4 15.886444),(5 15.783211),(6 15.779238),(7 15.837709),(8 15.993858),(9 16.001432),(10 16.206728),(11 16.092245),(12 16.257675),(13 16.29852),(14 16.033096),(15 16.021368),(16 16.293242),(17 16.438923),(18 16.484121),(19 16.411884),(20 16.624668),(21 16.563492),(22 16.530624),(23 16.535471),(24 16.662134),(25 16.82313),(26 16.940348),(27 16.97714),(28 17.029285),(29 17.08499),(30 16.995443),(31 17.066225),(32 17.185232),(33 17.316166),(34 17.317385),(35 17.239372),(36 17.195793),(37 17.237709),(38 17.197634),(39 17.48568),(40 17.700478),(41 17.57348),(42 17.458668),(43 17.768312),(44 17.769949),(45 17.83306),(46 17.82316),(47 18.246136),(48 18.340605),(49 18.30377),(50 18.277782),(51 18.445152),(52 18.277372),(53 18.414827),(54 18.707678),(55 18.589523),(56 18.463953),(57 18.502642),(58 18.382614),(59 18.485487),(60 18.377424),(61 18.517023),(62 18.557243),(63 18.586027),(64 18.565008),(65 18.702463),(66 18.783142),(67 18.993824),(68 19.1037),(69 19.231846),(70 19.287153),(71 19.082201),(72 19.163164),(73 19.253294),(74 19.170298),(75 19.03395),(76 18.993998),(77 19.09482),(78 18.814892),(79 18.861458),
(1 11.425108),(2 12.260465),(3 12.651461),(4 12.789833),(5 12.779383),(6 12.925607),(7 13.138746),(8 13.204218),(9 13.150796),(10 13.196435),(11 13.227773),(12 13.342744),(13 13.4059925),(14 13.222515),(15 13.278087),(16 13.30133),(17 13.4998665),(18 13.531882),(19 13.477942),(20 13.567072),(21 13.632462),(22 13.592723),(23 13.665897),(24 13.738726),(25 13.770594),(26 13.950126),(27 14.027275),(28 13.9475),(29 14.022608),(30 14.100969),(31 14.177803),(32 14.161144),(33 14.106873),(34 14.282253),(35 14.224864),(36 14.383228),(37 14.279769),(38 14.328469),(39 14.369395),(40 14.5211935),(41 14.512496),(42 14.518953),(43 14.737561),(44 14.715908),(45 14.872922),(46 14.861518),(47 14.94008),(48 15.126294),(49 15.166934),(50 15.144516),(51 15.148241),(52 15.249671),(53 15.291923),(54 15.40663),(55 15.530269),(56 15.331896),(57 15.292204),(58 15.381692),(59 15.411399),(60 15.356415),(61 15.307408),(62 15.352888),(63 15.403065),(64 15.464219),(65 15.425061),(66 15.59793),(67 15.821507),(68 15.880402),(69 16.054924),(70 16.056162),(71 16.09837),(72 16.023336),(73 16.014578),(74 15.968639),(75 15.787855),(76 15.828498),(77 15.882001),(78 15.745532),(79 15.726185),
(1 9.423187),(2 9.975657),(3 10.350612),(4 10.457368),(5 10.564099),(6 10.611102),(7 10.628962),(8 10.753001),(9 10.702666),(10 10.898644),(11 10.898018),(12 10.957634),(13 11.022855),(14 10.960288),(15 10.935634),(16 11.0109005),(17 11.099094),(18 11.113055),(19 11.037311),(20 11.152544),(21 11.259716),(22 11.197901),(23 11.311719),(24 11.40107),(25 11.362638),(26 11.529763),(27 11.545509),(28 11.578799),(29 11.771243),(30 11.77931),(31 11.741829),(32 11.633053),(33 11.763894),(34 11.850733),(35 11.821951),(36 11.885802),(37 11.905724),(38 11.900127),(39 11.957194),(40 12.092024),(41 12.02332),(42 12.035812),(43 12.229796),(44 12.280763),(45 12.380669),(46 12.369825),(47 12.523089),(48 12.591651),(49 12.777904),(50 12.78758),(51 12.750623),(52 12.722049),(53 12.777885),(54 12.912648),(55 12.878948),(56 12.824253),(57 12.883411),(58 12.799529),(59 12.9738245),(60 12.902323),(61 12.894942),(62 12.867803),(63 12.930847),(64 12.943939),(65 13.098318),(66 13.253382),(67 13.409307),(68 13.455247),(69 13.519877),(70 13.597982),(71 13.652253),(72 13.616312),(73 13.63965),(74 13.530656),(75 13.404794),(76 13.411679),(77 13.494115),(78 13.367361),(79 13.350689),
(1 7.2959323),(2 7.6478024),(3 7.852199),(4 8.013399),(5 8.040093),(6 8.20347),(7 8.179416),(8 8.189042),(9 8.259763),(10 8.316758),(11 8.411715),(12 8.403908),(13 8.418795),(14 8.465429),(15 8.447658),(16 8.398055),(17 8.510381),(18 8.538055),(19 8.498658),(20 8.5668545),(21 8.596814),(22 8.657419),(23 8.745181),(24 8.787362),(25 8.768466),(26 8.8408),(27 8.911567),(28 8.941216),(29 9.033679),(30 8.98997),(31 9.059021),(32 8.998941),(33 9.106626),(34 9.12989),(35 9.046879),(36 9.166414),(37 9.145227),(38 9.238729),(39 9.155947),(40 9.277859),(41 9.306008),(42 9.385316),(43 9.411767),(44 9.492524),(45 9.575432),(46 9.550296),(47 9.654039),(48 9.84445),(49 9.845414),(50 9.93872),(51 9.941381),(52 10.022179),(53 10.00085),(54 9.998055),(55 10.083013),(56 10.034725),(57 10.093233),(58 10.0336895),(59 10.033712),(60 10.116283),(61 10.033479),(62 10.119393),(63 10.212542),(64 10.17639),(65 10.264842),(66 10.415929),(67 10.469734),(68 10.542274),(69 10.5939045),(70 10.612668),(71 10.651392),(72 10.677766),(73 10.690985),(74 10.667244),(75 10.584607),(76 10.587856),(77 10.537017),(78 10.582276),(79 10.525601),
