1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 15.528836),(2 44.677433),(3 72.493835),(4 93.931915),(5 108.54159),(6 117.89827),(7 123.80012),(8 127.767975),(9 130.68677),(10 133.76076),(11 137.22325),(12 140.46358),(13 143.40213),(14 146.09602),(15 148.48267),(16 150.38802),(17 151.88991),(18 152.75645),(19 152.9731),(20 152.77835),(21 152.74664),(22 153.00206),(23 153.62242),(24 154.79713),(25 156.12862),(26 157.10518),(27 157.78848),(28 157.83672),(29 157.40692),(30 156.7613),(31 156.10237),(32 155.36618),(33 154.63705),(34 154.04515),(35 153.58138),(36 153.22318),(37 153.01508),(38 152.56859),(39 151.84615),(40 150.87051),(41 149.81114),(42 149.02551),(43 148.47397),(44 147.94577),(45 147.44254),(46 147.01448),(47 146.82182),(48 146.89053),(49 147.03754),(50 147.32092),(51 147.62346),(52 147.76799),(53 147.93562),(54 148.15877),(55 148.27753),(56 148.21024),(57 148.12895),(58 148.08652),(59 148.01546),(60 148.00006),(61 148.40675),(62 148.97334),(63 149.52817),(64 149.99844),(65 150.21556),(66 150.25679),(67 150.36876),(68 150.517),(69 150.6823),(70 150.65352),(71 150.54633),(72 150.2331),(73 149.92804),(74 149.56644),(75 149.2383),(76 148.74759),(77 148.3475),(78 147.94432),(79 147.53941),
(1 18.19167),(2 43.346214),(3 59.45429),(4 67.44487),(5 70.32013),(6 70.79389),(7 71.01985),(8 71.70549),(9 72.540016),(10 73.56052),(11 74.38562),(12 74.5763),(13 74.52297),(14 74.60668),(15 75.036705),(16 75.41468),(17 75.74275),(18 75.875),(19 75.85203),(20 75.71113),(21 75.70918),(22 75.59494),(23 75.36961),(24 75.36873),(25 75.442474),(26 75.51946),(27 75.553055),(28 75.640396),(29 75.588745),(30 75.2739),(31 74.92525),(32 74.959564),(33 75.164406),(34 75.18636),(35 75.17277),(36 75.15376),(37 75.21085),(38 75.18091),(39 75.02313),(40 74.73822),(41 74.47551),(42 74.27874),(43 74.22772),(44 74.29659),(45 74.31466),(46 74.260475),(47 74.236725),(48 74.23167),(49 74.35111),(50 74.4747),(51 74.619934),(52 74.674995),(53 74.668076),(54 74.50849),(55 74.45578),(56 74.356834),(57 74.28934),(58 74.21715),(59 73.993546),(60 73.65878),(61 73.43684),(62 73.30954),(63 73.339584),(64 73.45196),(65 73.56347),(66 73.52492),(67 73.55545),(68 73.6271),(69 73.8018),(70 74.0474),(71 74.518845),(72 74.678764),(73 74.54693),(74 74.34958),(75 74.10985),(76 73.939415),(77 73.91367),(78 74.13902),(79 74.23177),
(1 16.130007),(2 32.007748),(3 38.067253),(4 39.50817),(5 39.215416),(6 38.80703),(7 38.988194),(8 39.269585),(9 39.398296),(10 39.893574),(11 40.64915),(12 41.24841),(13 41.213535),(14 40.742455),(15 40.665287),(16 40.81129),(17 41.01019),(18 41.338367),(19 41.58363),(20 41.567577),(21 41.471222),(22 41.350883),(23 41.126785),(24 41.075394),(25 41.06658),(26 40.928307),(27 40.739967),(28 40.585293),(29 40.504642),(30 40.478043),(31 40.503204),(32 40.519848),(33 40.490486),(34 40.39955),(35 40.336212),(36 40.346836),(37 40.405277),(38 40.43153),(39 40.409447),(40 40.48478),(41 40.526073),(42 40.495075),(43 40.30631),(44 40.205048),(45 40.082382),(46 40.023266),(47 40.014366),(48 40.064537),(49 40.19615),(50 40.332455),(51 40.415775),(52 40.47019),(53 40.475212),(54 40.369526),(55 40.28899),(56 40.332047),(57 40.452503),(58 40.431786),(59 40.362812),(60 40.370274),(61 40.411556),(62 40.360893),(63 40.327778),(64 40.39197),(65 40.443466),(66 40.28463),(67 40.33057),(68 40.353893),(69 40.27205),(70 40.195858),(71 40.295322),(72 40.261246),(73 40.01851),(74 40.012154),(75 39.948586),(76 39.927654),(77 39.904186),(78 39.898186),(79 39.913),
(1 15.556607),(2 25.857342),(3 27.637163),(4 26.830175),(5 26.73639),(6 27.595383),(7 28.0238),(8 27.866486),(9 27.652151),(10 27.748434),(11 28.050814),(12 28.676609),(13 28.980867),(14 28.782097),(15 28.730165),(16 28.728586),(17 28.831991),(18 28.843702),(19 28.987432),(20 28.978659),(21 29.004025),(22 28.917316),(23 28.91362),(24 28.916697),(25 28.931286),(26 28.770178),(27 28.841751),(28 28.88626),(29 28.800957),(30 28.6887),(31 28.767008),(32 28.780592),(33 28.77378),(34 28.659319),(35 28.5128),(36 28.514229),(37 28.575798),(38 28.56183),(39 28.512411),(40 28.524893),(41 28.668978),(42 28.85775),(43 28.83154),(44 28.772667),(45 28.74571),(46 28.712824),(47 28.599644),(48 28.549814),(49 28.479376),(50 28.394709),(51 28.429235),(52 28.43905),(53 28.524376),(54 28.518145),(55 28.557142),(56 28.575775),(57 28.55451),(58 28.539194),(59 28.533543),(60 28.556955),(61 28.545174),(62 28.538996),(63 28.529995),(64 28.496098),(65 28.598707),(66 28.627464),(67 28.711554),(68 28.67116),(69 28.651789),(70 28.559834),(71 28.548466),(72 28.497684),(73 28.508024),(74 28.44564),(75 28.30465),(76 28.276297),(77 28.395958),(78 28.489239),(79 28.337402),
(1 13.1820345),(2 19.204912),(3 19.228058),(4 18.429306),(5 18.964409),(6 19.669983),(7 19.68138),(8 19.710142),(9 19.840166),(10 19.879456),(11 19.898338),(12 20.139423),(13 20.332249),(14 20.449863),(15 20.420374),(16 20.28059),(17 20.478708),(18 20.593313),(19 20.558102),(20 20.50933),(21 20.550604),(22 20.53487),(23 20.59404),(24 20.66534),(25 20.635033),(26 20.569761),(27 20.644373),(28 20.628315),(29 20.655148),(30 20.57849),(31 20.553165),(32 20.584274),(33 20.621902),(34 20.575575),(35 20.540562),(36 20.562458),(37 20.546122),(38 20.520744),(39 20.528788),(40 20.573368),(41 20.577301),(42 20.599728),(43 20.649342),(44 20.644236),(45 20.572918),(46 20.580824),(47 20.61057),(48 20.5361),(49 20.468803),(50 20.422003),(51 20.448961),(52 20.455854),(53 20.461563),(54 20.443596),(55 20.500866),(56 20.51663),(57 20.470314),(58 20.426125),(59 20.421785),(60 20.391994),(61 20.333143),(62 20.377821),(63 20.397408),(64 20.357674),(65 20.391022),(66 20.378176),(67 20.43522),(68 20.388985),(69 20.396774),(70 20.366188),(71 20.398958),(72 20.42108),(73 20.415087),(74 20.416542),(75 20.461922),(76 20.365965),(77 20.373573),(78 20.44768),(79 20.380913),
(1 8.263353),(2 10.785336),(3 10.454014),(4 10.469332),(5 10.947449),(6 10.961371),(7 11.029559),(8 11.244979),(9 11.378259),(10 11.365969),(11 11.474933),(12 11.579102),(13 11.671638),(14 11.759367),(15 11.766971),(16 11.801148),(17 11.859006),(18 11.882888),(19 11.958136),(20 12.028633),(21 12.020149),(22 12.046338),(23 12.04856),(24 12.0156975),(25 12.040942),(26 12.055283),(27 12.040697),(28 12.084078),(29 12.153239),(30 12.070679),(31 12.015926),(32 12.053876),(33 12.104075),(34 12.106779),(35 12.074526),(36 12.052691),(37 12.0194025),(38 12.025782),(39 12.080215),(40 12.134638),(41 12.106673),(42 12.099412),(43 12.152544),(44 12.174583),(45 12.08749),(46 12.080837),(47 12.100746),(48 12.069514),(49 12.068304),(50 12.024759),(51 12.0260935),(52 12.0199585),(53 12.037091),(54 12.025791),(55 12.031598),(56 12.064704),(57 12.090442),(58 12.093676),(59 12.072483),(60 12.044922),(61 12.009979),(62 12.002636),(63 12.020358),(64 12.030715),(65 12.023121),(66 11.993656),(67 12.007854),(68 12.000239),(69 11.982085),(70 11.963141),(71 12.008496),(72 11.957533),(73 11.968108),(74 11.9319315),(75 11.987045),(76 11.958901),(77 11.967914),(78 11.924244),(79 11.870508),
(1 6.614639),(2 7.844349),(3 7.61913),(4 7.8636684),(5 8.105085),(6 8.204162),(7 8.284609),(8 8.369527),(9 8.372971),(10 8.45875),(11 8.5271435),(12 8.533173),(13 8.645929),(14 8.728546),(15 8.704686),(16 8.7530365),(17 8.794507),(18 8.7990265),(19 8.825831),(20 8.866079),(21 8.871733),(22 8.911235),(23 8.931265),(24 8.918683),(25 8.978551),(26 8.949917),(27 8.999265),(28 9.00419),(29 9.004322),(30 8.9846945),(31 8.953987),(32 8.959339),(33 9.020945),(34 9.037191),(35 9.070843),(36 9.097501),(37 9.074846),(38 9.09616),(39 9.130807),(40 9.148798),(41 9.120167),(42 9.131188),(43 9.2131195),(44 9.254174),(45 9.202981),(46 9.202769),(47 9.23556),(48 9.214011),(49 9.197967),(50 9.209773),(51 9.212889),(52 9.223911),(53 9.262985),(54 9.255723),(55 9.278642),(56 9.288459),(57 9.270917),(58 9.2441845),(59 9.248768),(60 9.233175),(61 9.255386),(62 9.244773),(63 9.256286),(64 9.206018),(65 9.159068),(66 9.190113),(67 9.158291),(68 9.140788),(69 9.130714),(70 9.163256),(71 9.16548),(72 9.10532),(73 9.137759),(74 9.114769),(75 9.107163),(76 9.071395),(77 9.100316),(78 9.103273),(79 9.050098),
(1 5.088908),(2 5.5751534),(3 5.523883),(4 5.758413),(5 5.932905),(6 6.0585318),(7 6.065075),(8 6.104054),(9 6.213857),(10 6.2298093),(11 6.29478),(12 6.293478),(13 6.3575034),(14 6.438392),(15 6.382281),(16 6.437085),(17 6.4847426),(18 6.45091),(19 6.4639735),(20 6.4933853),(21 6.517819),(22 6.5325136),(23 6.5423183),(24 6.54211),(25 6.5610714),(26 6.554194),(27 6.5860143),(28 6.5825243),(29 6.5704565),(30 6.5797367),(31 6.5836787),(32 6.545682),(33 6.5692463),(34 6.604375),(35 6.6018043),(36 6.596224),(37 6.5970845),(38 6.6084166),(39 6.6599703),(40 6.6676893),(41 6.6399775),(42 6.67554),(43 6.740105),(44 6.738451),(45 6.7355347),(46 6.7308702),(47 6.7327566),(48 6.732059),(49 6.712912),(50 6.735682),(51 6.777744),(52 6.7812204),(53 6.776113),(54 6.7850776),(55 6.819414),(56 6.826782),(57 6.8415103),(58 6.8228354),(59 6.838452),(60 6.815274),(61 6.8111825),(62 6.821875),(63 6.85061),(64 6.8325143),(65 6.799417),(66 6.8299303),(67 6.7948403),(68 6.811754),(69 6.8035617),(70 6.7970843),(71 6.7733803),(72 6.7483816),(73 6.773349),(74 6.7422857),(75 6.7527895),(76 6.7392235),(77 6.738954),(78 6.739154),(79 6.7376523),
(1 3.620909),(2 3.813974),(3 3.8932574),(4 4.0026813),(5 4.161056),(6 4.2097144),(7 4.2684655),(8 4.2955823),(9 4.392322),(10 4.414109),(11 4.43437),(12 4.5363884),(13 4.5184608),(14 4.555355),(15 4.58223),(16 4.577221),(17 4.5944533),(18 4.612391),(19 4.6359706),(20 4.635168),(21 4.663265),(22 4.6588306),(23 4.662105),(24 4.6528554),(25 4.683271),(26 4.670773),(27 4.6875486),(28 4.704049),(29 4.693953),(30 4.696547),(31 4.7061543),(32 4.680944),(33 4.670759),(34 4.68244),(35 4.689774),(36 4.681976),(37 4.6750917),(38 4.66649),(39 4.6815014),(40 4.6717095),(41 4.6669264),(42 4.692566),(43 4.715441),(44 4.7226486),(45 4.7269435),(46 4.703802),(47 4.7138295),(48 4.718648),(49 4.716432),(50 4.6832333),(51 4.702306),(52 4.7194915),(53 4.720376),(54 4.724547),(55 4.741301),(56 4.738518),(57 4.7420454),(58 4.7502947),(59 4.7569304),(60 4.7332025),(61 4.7229424),(62 4.730942),(63 4.7592077),(64 4.7417054),(65 4.750016),(66 4.7807236),(67 4.759189),(68 4.7558494),(69 4.775728),(70 4.7687716),(71 4.771535),(72 4.7558193),(73 4.7771077),(74 4.7678304),(75 4.7716985),(76 4.7860117),(77 4.7657504),(78 4.7699795),(79 4.7890997),
(1 2.5576236),(2 2.68318),(3 2.7742977),(4 2.8883913),(5 2.9943283),(6 3.0331101),(7 3.0574186),(8 3.1256363),(9 3.1694381),(10 3.1603377),(11 3.2352479),(12 3.2670262),(13 3.3122232),(14 3.2999375),(15 3.3388546),(16 3.346274),(17 3.3581252),(18 3.3578196),(19 3.3926091),(20 3.3808846),(21 3.3944354),(22 3.4136896),(23 3.4192684),(24 3.4249635),(25 3.4435563),(26 3.4404798),(27 3.4622169),(28 3.4558),(29 3.4596772),(30 3.451374),(31 3.446962),(32 3.4290657),(33 3.4551265),(34 3.463288),(35 3.4615228),(36 3.4620445),(37 3.4546053),(38 3.4620159),(39 3.4598465),(40 3.4546053),(41 3.4576998),(42 3.462746),(43 3.4819233),(44 3.4786518),(45 3.4753597),(46 3.4576402),(47 3.4667509),(48 3.454872),(49 3.4478562),(50 3.4475255),(51 3.4468722),(52 3.456786),(53 3.4606788),(54 3.4545),(55 3.4670696),(56 3.462684),(57 3.4625108),(58 3.4641912),(59 3.4630802),(60 3.4556086),(61 3.4468758),(62 3.4509013),(63 3.4651194),(64 3.4603338),(65 3.4602947),(66 3.4790719),(67 3.475944),(68 3.4666932),(69 3.483366),(70 3.457552),(71 3.4743326),(72 3.4764175),(73 3.4882228),(74 3.4763217),(75 3.4843273),(76 3.4799051),(77 3.4920955),(78 3.4919133),(79 3.4926674),
(1 1.7245812),(2 1.771768),(3 1.8925899),(4 2.002349),(5 2.0520396),(6 2.098451),(7 2.13282),(8 2.1753109),(9 2.186841),(10 2.2218673),(11 2.2644873),(12 2.2745063),(13 2.3090742),(14 2.3284993),(15 2.3428864),(16 2.3559146),(17 2.3733945),(18 2.3874195),(19 2.3937175),(20 2.3854215),(21 2.4064162),(22 2.4038322),(23 2.406677),(24 2.4099684),(25 2.4261258),(26 2.42491),(27 2.433411),(28 2.4338114),(29 2.4387386),(30 2.4263399),(31 2.4264681),(32 2.4195209),(33 2.4282365),(34 2.423411),(35 2.423675),(36 2.4245172),(37 2.424032),(38 2.430847),(39 2.4312549),(40 2.4278545),(41 2.4263418),(42 2.4293108),(43 2.4352727),(44 2.43468),(45 2.44944),(46 2.432515),(47 2.4350877),(48 2.4233313),(49 2.425662),(50 2.424542),(51 2.4213624),(52 2.4287949),(53 2.4394662),(54 2.435154),(55 2.438613),(56 2.4362478),(57 2.4431684),(58 2.4365509),(59 2.4301155),(60 2.4278088),(61 2.4303322),(62 2.427691),(63 2.4354234),(64 2.4419746),(65 2.437636),(66 2.448411),(67 2.449306),(68 2.439644),(69 2.452126),(70 2.4367537),(71 2.446249),(72 2.4470694),(73 2.4475524),(74 2.449717),(75 2.4491444),(76 2.443693),(77 2.4436035),(78 2.4529192),(79 2.4492636),
