1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 11.695914),(2 21.975857),(3 42.847317),(4 58.27386),(5 62.586372),(6 67.52778),(7 69.88812),(8 73.1617),(9 75.158745),(10 78.33987),(11 80.24583),(12 86.32608),(13 91.410225),(14 91.24997),(15 92.72411),(16 96.42058),(17 97.603455),(18 98.61444),(19 100.49381),(20 101.08541),(21 105.78963),(22 108.2792),(23 109.54378),(24 112.383156),(25 117.82226),(26 119.25832),(27 122.69839),(28 125.62922),(29 126.556786),(30 130.13922),(31 130.61417),(32 130.07285),(33 128.41663),(34 128.04358),(35 127.51617),(36 126.57065),(37 124.32768),(38 122.41792),(39 120.25889),(40 117.4807),(41 115.747406),(42 112.24555),(43 107.10163),(44 105.0826),(45 102.22423),(46 101.414),(47 100.7505),(48 103.360756),(49 107.08545),(50 107.66459),(51 107.86761),(52 106.16232),(53 106.11864),(54 108.22855),(55 109.4804),(56 109.87628),(57 108.944405),(58 107.38686),(59 105.661995),(60 103.27383),(61 101.65875),(62 100.8804),(63 98.11257),(64 97.364815),(65 96.529175),(66 96.34128),(67 97.913445),(68 103.40063),(69 105.844826),(70 111.86956),(71 112.953865),(72 112.620026),(73 110.23033),(74 109.43234),(75 108.95709),(76 108.24127),(77 107.698975),(78 109.3566),(79 109.33779),
(1 16.399235),(2 27.544432),(3 43.504063),(4 52.87645),(5 56.788254),(6 65.538155),(7 69.42744),(8 71.200645),(9 70.02416),(10 68.95044),(11 68.68964),(12 71.58885),(13 72.36377),(14 72.85641),(15 75.738205),(16 80.919334),(17 83.57945),(18 85.00146),(19 84.59002),(20 84.22333),(21 86.11784),(22 88.77025),(23 90.093124),(24 93.19579),(25 97.34462),(26 99.98044),(27 103.47809),(28 102.56567),(29 103.038345),(30 105.706604),(31 108.30308),(32 108.37819),(33 108.39945),(34 108.67687),(35 107.60763),(36 105.00517),(37 103.949196),(38 102.94052),(39 100.72135),(40 99.342514),(41 98.817215),(42 99.29312),(43 98.50802),(44 97.6789),(45 95.71873),(46 93.47007),(47 91.657455),(48 89.15504),(49 87.04632),(50 86.60716),(51 87.339),(52 86.2768),(53 85.610016),(54 83.83156),(55 82.001076),(56 81.840645),(57 82.50736),(58 81.73348),(59 80.893105),(60 81.13105),(61 82.86618),(62 83.61599),(63 85.018906),(64 85.21686),(65 84.73684),(66 83.24866),(67 82.97659),(68 86.52744),(69 87.28815),(70 88.37257),(71 86.7677),(72 84.94898),(73 83.21585),(74 84.94664),(75 86.03968),(76 86.88247),(77 87.41817),(78 88.14935),(79 88.14564),
(1 15.846305),(2 23.159456),(3 30.799763),(4 37.876137),(5 41.112343),(6 45.607357),(7 46.077175),(8 47.117844),(9 47.765034),(10 48.208054),(11 48.360115),(12 52.079384),(13 55.063843),(14 56.719223),(15 58.804497),(16 60.576183),(17 60.189083),(18 59.35894),(19 61.059746),(20 62.415676),(21 64.64553),(22 68.73863),(23 71.0018),(24 73.73094),(25 73.41703),(26 73.69625),(27 74.05425),(28 72.59279),(29 72.84089),(30 73.3878),(31 73.740974),(32 74.06099),(33 75.97762),(34 77.340164),(35 76.47182),(36 75.23053),(37 73.98502),(38 73.066956),(39 71.11818),(40 71.044334),(41 71.070496),(42 71.36577),(43 71.08903),(44 71.27398),(45 69.36262),(46 68.13198),(47 67.29142),(48 67.531044),(49 66.53282),(50 65.6609),(51 64.40665),(52 62.91462),(53 61.623238),(54 60.99406),(55 61.28655),(56 61.597557),(57 59.84586),(58 58.268345),(59 58.686256),(60 60.9377),(61 61.562126),(62 60.8898),(63 59.471603),(64 59.97775),(65 60.319527),(66 59.56074),(67 58.576225),(68 60.884644),(69 60.34457),(70 61.08895),(71 60.939972),(72 61.10124),(73 61.1654),(74 63.072884),(75 64.093704),(76 64.66431),(77 65.78725),(78 67.9276),(79 67.92159),
(1 15.390619),(2 21.5785),(3 29.978777),(4 34.242558),(5 35.046795),(6 38.750385),(7 39.682686),(8 41.560978),(9 42.028595),(10 44.35196),(11 43.57168),(12 44.39744),(13 46.900593),(14 47.21593),(15 47.90298),(16 49.51902),(17 48.88146),(18 49.09471),(19 50.30054),(20 50.892406),(21 50.255695),(22 51.33644),(23 51.73208),(24 54.245926),(25 53.853504),(26 53.725174),(27 54.309357),(28 54.18015),(29 54.10171),(30 53.151264),(31 52.2719),(32 52.957253),(33 53.50942),(34 52.84324),(35 51.81305),(36 52.481277),(37 53.56462),(38 54.34673),(39 54.557697),(40 55.222683),(41 54.60932),(42 53.07014),(43 52.725735),(44 53.508575),(45 53.53108),(46 53.306244),(47 53.40866),(48 53.79559),(49 55.28338),(50 55.278465),(51 53.67099),(52 51.945374),(53 51.15032),(54 51.2064),(55 52.0321),(56 51.912987),(57 49.02598),(58 48.804592),(59 50.038574),(60 51.270317),(61 51.928936),(62 52.2244),(63 51.06977),(64 51.67521),(65 52.34219),(66 52.655853),(67 51.6811),(68 52.66823),(69 51.90555),(70 52.733913),(71 52.605606),(72 53.15344),(73 54.342175),(74 55.240864),(75 55.80083),(76 56.311153),(77 55.897587),(78 56.653862),(79 56.65379),
(1 15.804411),(2 21.472149),(3 26.786953),(4 30.334585),(5 32.70872),(6 35.369125),(7 36.49917),(8 38.33497),(9 37.97281),(10 38.673943),(11 37.476124),(12 37.75843),(13 39.852177),(14 40.153965),(15 39.79599),(16 40.6374),(17 40.199516),(18 40.321743),(19 40.632717),(20 40.841328),(21 40.594025),(22 40.993015),(23 41.097065),(24 41.568863),(25 40.282833),(26 39.62416),(27 39.450024),(28 39.171455),(29 38.860794),(30 40.738274),(31 39.392742),(32 39.45958),(33 38.47396),(34 38.688923),(35 38.76575),(36 39.430435),(37 39.349102),(38 39.291195),(39 38.37295),(40 40.12757),(41 40.493263),(42 40.20173),(43 40.52961),(44 41.008396),(45 41.30961),(46 42.386566),(47 43.01138),(48 43.334072),(49 43.192963),(50 43.825874),(51 43.696644),(52 44.87943),(53 44.430576),(54 43.677315),(55 42.73464),(56 42.628952),(57 40.59224),(58 40.965305),(59 40.931805),(60 40.30774),(61 42.144592),(62 42.595207),(63 41.68949),(64 42.451813),(65 42.41583),(66 41.753178),(67 40.870487),(68 41.637165),(69 41.782066),(70 42.188198),(71 42.57212),(72 42.970345),(73 42.283623),(74 42.064095),(75 42.367805),(76 43.009716),(77 43.523067),(78 43.64596),(79 43.647312),
(1 12.284789),(2 16.52461),(3 19.418653),(4 23.345175),(5 23.69706),(6 24.772943),(7 25.72251),(8 26.80918),(9 27.07908),(10 27.843307),(11 27.268398),(12 28.686613),(13 28.686625),(14 29.158102),(15 28.834867),(16 28.347065),(17 28.583603),(18 28.580015),(19 29.26099),(20 29.360472),(21 27.681007),(22 27.284296),(23 26.355766),(24 26.133266),(25 25.785858),(26 25.577429),(27 25.139565),(28 25.396366),(29 25.409588),(30 25.822464),(31 25.28666),(32 24.951117),(33 25.061901),(34 25.222036),(35 24.819954),(36 24.943363),(37 26.155272),(38 26.079586),(39 24.820593),(40 25.84151),(41 25.909014),(42 26.258215),(43 26.885963),(44 26.852507),(45 25.380297),(46 25.684092),(47 25.868502),(48 25.731503),(49 25.633564),(50 26.48265),(51 26.537827),(52 27.35208),(53 27.689693),(54 29.105824),(55 29.756319),(56 30.45751),(57 30.100113),(58 30.646154),(59 30.359179),(60 29.648481),(61 29.617119),(62 29.551218),(63 29.004744),(64 28.905405),(65 28.39509),(66 28.3027),(67 28.64504),(68 28.343687),(69 28.700882),(70 29.309645),(71 28.664473),(72 28.977583),(73 28.722586),(74 28.03219),(75 27.807367),(76 27.585752),(77 27.507915),(78 27.70491),(79 27.707266),
(1 12.690602),(2 17.182722),(3 20.15974),(4 24.011969),(5 25.361986),(6 26.282663),(7 26.092308),(8 27.042187),(9 25.787796),(10 26.309376),(11 25.702223),(12 26.087734),(13 25.115759),(14 24.81606),(15 24.583918),(16 24.024452),(17 23.90255),(18 24.073298),(19 23.526882),(20 23.206213),(21 21.796951),(22 21.751282),(23 21.675983),(24 21.769955),(25 22.45782),(26 23.326084),(27 23.290594),(28 24.891483),(29 24.976883),(30 24.444542),(31 24.66765),(32 24.704296),(33 24.797459),(34 24.664738),(35 24.353014),(36 25.404873),(37 25.146801),(38 25.153265),(39 23.526878),(40 22.516495),(41 22.155235),(42 22.413946),(43 21.976986),(44 22.236212),(45 22.974333),(46 23.657978),(47 23.71344),(48 24.42209),(49 24.436499),(50 24.319405),(51 24.927132),(52 25.74602),(53 25.263119),(54 25.922562),(55 26.994448),(56 27.218016),(57 26.657042),(58 26.870485),(59 26.268688),(60 25.95162),(61 25.47761),(62 25.420925),(63 25.355038),(64 25.614677),(65 25.072605),(66 25.53994),(67 25.45679),(68 24.730862),(69 24.532001),(70 24.985598),(71 25.463743),(72 25.447233),(73 25.407251),(74 24.654188),(75 24.10358),(76 23.146124),(77 23.228395),(78 23.6369),(79 23.635492),
(1 12.780545),(2 16.79617),(3 20.630476),(4 23.820652),(5 24.20611),(6 25.004528),(7 24.432531),(8 24.848646),(9 24.765188),(10 24.910942),(11 24.066046),(12 23.222448),(13 21.99662),(14 21.759165),(15 21.097689),(16 21.307035),(17 20.701164),(18 20.461119),(19 20.304178),(20 20.623877),(21 19.479538),(22 19.675365),(23 19.449234),(24 19.925001),(25 19.866016),(26 20.766258),(27 20.923386),(28 22.00472),(29 22.097235),(30 22.897884),(31 22.513035),(32 23.498058),(33 23.331293),(34 23.030304),(35 22.556559),(36 22.483557),(37 22.013687),(38 21.72318),(39 20.329094),(40 20.446745),(41 20.43362),(42 20.850088),(43 20.297262),(44 20.691658),(45 20.688417),(46 21.096182),(47 21.227713),(48 22.032387),(49 21.384623),(50 21.60436),(51 21.34178),(52 21.730446),(53 21.314684),(54 21.520178),(55 22.14211),(56 22.151234),(57 22.240522),(58 22.996605),(59 23.34655),(60 22.960331),(61 22.386873),(62 22.181515),(63 21.673449),(64 22.103142),(65 21.90063),(66 21.903648),(67 21.568146),(68 21.627626),(69 21.561777),(70 21.003613),(71 21.209536),(72 21.34852),(73 20.9505),(74 20.043936),(75 19.659794),(76 19.491917),(77 19.233698),(78 19.188522),(79 19.18859),
(1 11.4126835),(2 14.443414),(3 17.53004),(4 20.19368),(5 20.247614),(6 20.519493),(7 20.248661),(8 20.368866),(9 20.229788),(10 19.754526),(11 19.078712),(12 18.274788),(13 17.131319),(14 16.798925),(15 16.206188),(16 15.717716),(17 15.49261),(18 15.379626),(19 15.558106),(20 15.767639),(21 15.6939125),(22 16.413689),(23 16.44503),(24 17.644615),(25 17.978132),(26 18.247103),(27 18.138939),(28 18.821455),(29 18.552011),(30 18.87494),(31 18.71768),(32 18.787952),(33 18.85434),(34 19.041548),(35 18.730856),(36 18.916283),(37 18.79694),(38 18.70818),(39 17.95028),(40 17.310497),(41 16.960955),(42 16.917994),(43 16.883781),(44 17.431734),(45 17.74874),(46 18.20424),(47 18.200922),(48 18.45394),(49 18.084797),(50 18.192904),(51 17.365784),(52 17.369495),(53 16.755062),(54 16.99493),(55 16.90351),(56 17.400375),(57 17.183931),(58 17.607409),(59 17.450592),(60 17.097513),(61 16.80292),(62 16.757288),(63 16.463823),(64 16.546675),(65 16.582848),(66 16.638828),(67 16.516695),(68 16.737068),(69 16.662207),(70 16.929937),(71 16.469534),(72 16.421492),(73 15.947445),(74 15.485595),(75 15.593912),(76 15.892873),(77 15.7939625),(78 16.151976),(79 16.151442),
(1 9.723247),(2 12.363038),(3 15.018228),(4 17.048182),(5 17.10228),(6 17.123882),(7 16.459522),(8 16.560926),(9 15.951168),(10 15.334183),(11 15.096356),(12 14.731909),(13 13.580416),(14 13.667522),(15 12.948669),(16 12.866976),(17 12.686652),(18 13.119866),(19 12.762256),(20 13.493328),(21 13.349635),(22 14.167147),(23 14.503354),(24 15.120403),(25 15.115848),(26 15.362567),(27 14.600556),(28 14.6985855),(29 14.238816),(30 14.588703),(31 14.767532),(32 14.978001),(33 14.989305),(34 15.125404),(35 14.897951),(36 15.458756),(37 15.181026),(38 15.109747),(39 14.637697),(40 15.1154175),(41 14.817299),(42 14.869668),(43 14.623291),(44 14.858203),(45 14.734265),(46 15.557089),(47 15.330797),(48 15.5645685),(49 15.462707),(50 15.7405205),(51 15.230274),(52 14.706126),(53 14.261583),(54 13.736204),(55 13.567196),(56 13.725605),(57 13.596175),(58 13.936091),(59 13.805938),(60 14.038864),(61 13.756426),(62 13.785301),(63 13.506418),(64 13.730018),(65 13.607591),(66 13.917808),(67 13.599462),(68 13.906788),(69 13.719186),(70 13.901158),(71 13.790909),(72 14.033),(73 13.691239),(74 13.87196),(75 13.814185),(76 14.001707),(77 14.191755),(78 14.372147),(79 14.370085),
(1 8.021778),(2 10.358416),(3 12.271119),(4 13.105509),(5 13.152549),(6 12.786206),(7 12.173863),(8 12.252901),(9 11.222426),(10 11.123616),(11 10.722566),(12 10.395008),(13 10.016614),(14 10.330568),(15 9.970413),(16 10.33998),(17 10.00426),(18 10.637336),(19 10.2924185),(20 10.647627),(21 10.971839),(22 11.598753),(23 11.49028),(24 11.6772),(25 11.258263),(26 11.227818),(27 10.6874695),(28 10.495937),(29 10.491772),(30 10.6903715),(31 10.721283),(32 10.9714),(33 10.983934),(34 11.161242),(35 10.952678),(36 11.158936),(37 10.90825),(38 11.073558),(39 11.130658),(40 11.569542),(41 11.477975),(42 11.698329),(43 11.634049),(44 11.616429),(45 11.386182),(46 11.823201),(47 11.5106),(48 11.809516),(49 12.254545),(50 12.50841),(51 12.314251),(52 12.449206),(53 11.584922),(54 11.183179),(55 10.706022),(56 10.897383),(57 10.306293),(58 10.588774),(59 10.72346),(60 10.772971),(61 10.535818),(62 10.639284),(63 10.4763565),(64 10.397553),(65 10.44954),(66 10.633013),(67 10.526454),(68 10.620388),(69 10.603549),(70 10.679024),(71 10.795468),(72 10.804261),(73 11.007499),(74 11.126311),(75 11.300039),(76 11.563311),(77 11.718906),(78 11.887831),(79 11.886922),
