1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,
(1 5.448477),(2 9.39283),(3 18.535374),(4 30.148024),(5 34.27687),(6 44.35143),(7 53.755535),(8 57.043343),(9 60.960308),(10 64.65562),(11 66.48897),(12 68.20944),(13 69.07062),(14 68.99359),(15 70.635925),(16 70.067024),(17 70.10236),(18 70.61852),(19 73.60863),(20 75.4062),(21 84.27065),(22 85.06128),(23 88.83633),(24 98.07831),(25 108.943146),(26 114.73752),(27 121.14183),(28 114.259766),(29 111.83257),(30 109.30432),(31 107.03516),(32 108.15158),(33 112.88094),(34 115.35757),(35 114.82804),(36 110.55081),(37 108.90779),(38 108.22053),(39 104.52017),(40 100.79513),(41 101.78106),(42 104.84916),(43 105.90884),(44 106.56101),(45 113.08428),(46 113.75356),(47 112.17034),(48 109.247375),(49 105.49268),(50 103.46392),(51 98.29619),(52 93.64866),(53 92.68122),(54 94.828064),(55 97.49908),(56 98.86594),(57 98.58777),(58 98.11829),(59 97.77587),(60 99.17546),(61 95.77321),(62 92.34817),(63 85.22677),(64 83.87065),(65 84.236244),(66 86.23797),(67 84.31221),(68 83.41584),(69 81.7093),(70 79.41707),(71 75.19081),(72 73.40274),(73 70.585144),(74 69.400116),(75 68.52486),(76 67.8294),(77 69.21369),(78 69.827614),(79 69.83818),
(1 8.693685),(2 16.180155),(3 33.899883),(4 53.81867),(5 62.256702),(6 80.8727),(7 99.01388),(8 109.57827),(9 123.04609),(10 135.90063),(11 141.64655),(12 152.22128),(13 158.77672),(14 160.65169),(15 163.7377),(16 166.40445),(17 165.49646),(18 166.2027),(19 165.7968),(20 166.47467),(21 174.47752),(22 181.00394),(23 188.3087),(24 201.22203),(25 211.89865),(26 217.02039),(27 229.41367),(28 230.95679),(29 231.4364),(30 237.55675),(31 250.75734),(32 258.1304),(33 261.7344),(34 260.7553),(35 256.0451),(36 243.38367),(37 231.2191),(38 222.31075),(39 206.61125),(40 194.90497),(41 195.10275),(42 204.65631),(43 217.52884),(44 224.79005),(45 236.24376),(46 242.95004),(47 239.68587),(48 232.67288),(49 218.96773),(50 212.11021),(51 195.89915),(52 185.40251),(53 180.59604),(54 178.41202),(55 178.59084),(56 179.37544),(57 174.25287),(58 169.95497),(59 170.86555),(60 177.50427),(61 177.80093),(62 177.96404),(63 174.85774),(64 175.52423),(65 174.69589),(66 173.90811),(67 173.59985),(68 175.49005),(69 176.37178),(70 180.6953),(71 183.44336),(72 184.28105),(73 185.03226),(74 184.28171),(75 183.52325),(76 180.34886),(77 179.07388),(78 179.63379),(79 179.6557),
(1 14.139298),(2 25.55582),(3 49.084442),(4 64.7719),(5 70.718506),(6 83.47702),(7 91.60152),(8 96.79182),(9 99.46152),(10 103.122314),(11 106.81425),(12 116.69453),(13 125.51579),(14 128.40979),(15 134.6688),(16 146.76715),(17 151.57634),(18 161.50256),(19 166.55823),(20 167.23315),(21 164.49252),(22 163.96677),(23 166.91638),(24 169.20122),(25 176.64873),(26 180.49857),(27 196.61406),(28 208.87015),(29 212.13786),(30 224.33305),(31 233.71262),(32 237.65224),(33 236.68932),(34 228.81105),(35 221.80696),(36 211.7049),(37 203.30254),(38 198.06061),(39 192.53285),(40 183.92635),(41 178.54414),(42 170.8863),(43 164.14583),(44 163.07774),(45 168.0884),(46 175.92732),(47 176.32803),(48 176.25333),(49 178.41562),(50 179.20538),(51 177.2056),(52 173.17361),(53 171.7824),(54 172.38823),(55 172.61559),(56 172.53511),(57 169.02274),(58 164.75769),(59 163.6897),(60 169.57549),(61 173.25888),(62 175.45583),(63 177.96797),(64 178.88568),(65 178.9301),(66 179.26154),(67 176.65297),(68 175.13284),(69 173.61113),(70 175.27635),(71 175.11604),(72 177.36246),(73 183.4527),(74 192.19292),(75 192.5915),(76 196.04852),(77 200.61816),(78 204.86546),(79 204.83911),
(1 22.219282),(2 40.924305),(3 80.3439),(4 115.6256),(5 134.78122),(6 156.98317),(7 162.0273),(8 169.22174),(9 171.74538),(10 173.8629),(11 174.76035),(12 183.92462),(13 187.85901),(14 188.80687),(15 190.6033),(16 199.34395),(17 201.56393),(18 208.4379),(19 210.84172),(20 210.78265),(21 211.44402),(22 218.3158),(23 222.81769),(24 229.1041),(25 236.8497),(26 242.66008),(27 256.5545),(28 260.26657),(29 257.59497),(30 266.7071),(31 276.76608),(32 284.14688),(33 289.17825),(34 286.91046),(35 281.1372),(36 271.87457),(37 264.62067),(38 260.28104),(39 250.7821),(40 239.75508),(41 233.75443),(42 225.4254),(43 212.99533),(44 208.6299),(45 210.77383),(46 209.81006),(47 209.25664),(48 212.88622),(49 215.69012),(50 215.973),(51 211.76659),(52 205.6861),(53 201.06847),(54 197.17255),(55 197.64218),(56 198.07544),(57 196.22823),(58 190.20743),(59 188.51344),(60 192.71172),(61 196.47368),(62 199.23013),(63 201.04549),(64 208.47437),(65 211.65138),(66 222.79942),(67 232.27785),(68 242.30748),(69 243.10973),(70 247.57814),(71 242.15468),(72 241.31995),(73 244.33684),(74 242.9926),(75 243.9511),(76 243.94049),(77 244.7741),(78 249.6813),(79 249.6847),
(1 22.832367),(2 42.674168),(3 86.818535),(4 115.76603),(5 128.61911),(6 143.99252),(7 151.20752),(8 158.82303),(9 161.64548),(10 168.46765),(11 171.21095),(12 190.3985),(13 196.44626),(14 196.2388),(15 196.10786),(16 205.30452),(17 210.03305),(18 219.26358),(19 222.34222),(20 220.74619),(21 220.23439),(22 226.78047),(23 232.24544),(24 245.43213),(25 255.80241),(26 264.38998),(27 282.62534),(28 306.5901),(29 310.3712),(30 327.2032),(31 344.31766),(32 350.79224),(33 352.25937),(34 343.9895),(35 335.55673),(36 323.2441),(37 315.6139),(38 306.7044),(39 295.95135),(40 277.46756),(41 268.51978),(42 255.61407),(43 239.87314),(44 233.60356),(45 233.6509),(46 240.38484),(47 243.72942),(48 255.52383),(49 262.01535),(50 260.9001),(51 256.7711),(52 243.54375),(53 235.2922),(54 229.10962),(55 222.39056),(56 222.82391),(57 220.80664),(58 227.66595),(59 230.70773),(60 240.44612),(61 242.91292),(62 243.735),(63 239.65643),(64 232.85913),(65 229.21234),(66 226.3972),(67 227.99083),(68 239.13097),(69 242.82164),(70 249.35194),(71 251.37422),(72 254.50713),(73 263.50854),(74 271.4791),(75 273.08768),(76 273.35596),(77 268.94144),(78 271.8679),(79 271.86813),
(1 16.637123),(2 30.689884),(3 58.739098),(4 85.2389),(5 100.36446),(6 111.770676),(7 113.6613),(8 117.63326),(9 113.170006),(10 110.672806),(11 112.60444),(12 126.22274),(13 132.85426),(14 136.47887),(15 139.4169),(16 145.87503),(17 149.67184),(18 157.31285),(19 160.73961),(20 159.81532),(21 154.70284),(22 153.38943),(23 157.87912),(24 171.51381),(25 186.6619),(26 194.26003),(27 209.91095),(28 211.6645),(29 210.93695),(30 210.60522),(31 212.18001),(32 211.89838),(33 210.68488),(34 211.54233),(35 213.65958),(36 219.15446),(37 227.3279),(38 226.40717),(39 216.71121),(40 202.38257),(41 197.63495),(42 194.22389),(43 188.69635),(44 184.40567),(45 182.87386),(46 182.02489),(47 182.89359),(48 189.13896),(49 187.87216),(50 187.02061),(51 184.75974),(52 174.98549),(53 170.91826),(54 168.23897),(55 170.86345),(56 170.43268),(57 166.09032),(58 160.4089),(59 160.49117),(60 166.9621),(61 169.98985),(62 170.936),(63 168.52982),(64 170.57985),(65 173.93178),(66 181.53378),(67 185.74602),(68 192.47987),(69 192.98183),(70 192.97531),(71 189.62515),(72 190.12498),(73 185.88568),(74 186.09557),(75 185.74443),(76 185.48917),(77 187.42375),(78 192.76544),(79 192.73824),
(1 19.161293),(2 35.358707),(3 67.39816),(4 94.76137),(5 107.00242),(6 117.14204),(7 122.44779),(8 127.77851),(9 123.95777),(10 126.84743),(11 126.61811),(12 132.09637),(13 134.91039),(14 137.8672),(15 142.06291),(16 143.67929),(17 144.28525),(18 145.60477),(19 146.8087),(20 148.51462),(21 159.5239),(22 167.10535),(23 174.87381),(24 194.92375),(25 210.63556),(26 215.2453),(27 226.3685),(28 232.32228),(29 234.13757),(30 240.81796),(31 250.64322),(32 251.0074),(33 241.90382),(34 236.83626),(35 233.60468),(36 235.19383),(37 237.3213),(38 239.38727),(39 238.75397),(40 231.96703),(41 226.72192),(42 219.6213),(43 206.08847),(44 199.09221),(45 193.96068),(46 195.27309),(47 194.85834),(48 198.76088),(49 195.5906),(50 192.7855),(51 190.20259),(52 185.59918),(53 186.82416),(54 193.81117),(55 197.14937),(56 198.78838),(57 198.7571),(58 196.44487),(59 195.31313),(60 196.78426),(61 200.00514),(62 202.60551),(63 208.79938),(64 216.01846),(65 217.36624),(66 221.68066),(67 218.84444),(68 218.85352),(69 217.71565),(70 215.64958),(71 217.70984),(72 221.64047),(73 224.42888),(74 230.56705),(75 232.93466),(76 233.32266),(77 226.54286),(78 225.80878),(79 225.80652),
(1 24.102192),(2 42.661266),(3 74.324745),(4 104.16584),(5 114.10584),(6 127.049),(7 135.77495),(8 139.87323),(9 138.18753),(10 132.4298),(11 129.5054),(12 131.89517),(13 135.78386),(14 140.35378),(15 151.9706),(16 160.74168),(17 164.63799),(18 168.12389),(19 160.40399),(20 158.57936),(21 165.45865),(22 177.45752),(23 186.96817),(24 204.68929),(25 213.96005),(26 217.69656),(27 221.73106),(28 224.37318),(29 226.4497),(30 230.75562),(31 234.10768),(32 236.11838),(33 236.90723),(34 236.52429),(35 236.80724),(36 237.05399),(37 235.11008),(38 235.40169),(39 225.72224),(40 213.57657),(41 208.58205),(42 204.79153),(43 200.3918),(44 196.59923),(45 191.02315),(46 188.57028),(47 189.54434),(48 196.81927),(49 202.41444),(50 204.3849),(51 204.99698),(52 201.37296),(53 196.20451),(54 188.96175),(55 184.86118),(56 186.0514),(57 188.83199),(58 191.42212),(59 193.80182),(60 202.25394),(61 204.24573),(62 204.1327),(63 205.71043),(64 207.1334),(65 205.79456),(66 205.61443),(67 203.37923),(68 206.53831),(69 204.42485),(70 202.35817),(71 197.04964),(72 196.05467),(73 189.72914),(74 189.95),(75 188.74265),(76 187.1943),(77 186.62848),(78 189.43874),(79 189.42513),
(1 27.686699),(2 44.722874),(3 69.04736),(4 88.83869),(5 100.08264),(6 121.75452),(7 128.27983),(8 134.7905),(9 136.09251),(10 137.13254),(11 134.19348),(12 136.06676),(13 142.2704),(14 149.78912),(15 164.43031),(16 168.60094),(17 165.02757),(18 158.68661),(19 155.81723),(20 160.39897),(21 177.04988),(22 196.6133),(23 205.58151),(24 218.50525),(25 231.93565),(26 236.1258),(27 245.41138),(28 249.10155),(29 251.42053),(30 251.12726),(31 255.39436),(32 256.4631),(33 262.1273),(34 261.42972),(35 257.1263),(36 251.55983),(37 249.03284),(38 248.49184),(39 242.84024),(40 237.21645),(41 235.94963),(42 234.60365),(43 221.98209),(44 218.14265),(45 212.44534),(46 213.03275),(47 208.48741),(48 209.93364),(49 213.53389),(50 212.22237),(51 210.18468),(52 201.30124),(53 196.47565),(54 192.07259),(55 193.0092),(56 196.25061),(57 208.04654),(58 210.75163),(59 207.58101),(60 205.37608),(61 208.14844),(62 212.03319),(63 219.77652),(64 221.1736),(65 219.9726),(66 218.7034),(67 219.6162),(68 222.72217),(69 219.60242),(70 208.70421),(71 195.53616),(72 191.22699),(73 185.50334),(74 192.08664),(75 199.4438),(76 210.01555),(77 216.6146),(78 220.37703),(79 220.34314),
(1 30.727962),(2 47.352314),(3 72.56578),(4 104.826546),(5 117.35261),(6 128.9001),(7 132.39117),(8 138.39172),(9 143.61794),(10 139.42274),(11 134.55002),(12 135.83052),(13 146.09059),(14 153.86133),(15 161.6325),(16 165.4683),(17 167.2167),(18 168.58095),(19 168.63132),(20 173.82635),(21 194.33037),(22 207.0615),(23 211.00737),(24 221.98485),(25 236.7861),(26 239.7771),(27 235.9723),(28 231.3838),(29 231.72025),(30 236.17651),(31 247.55981),(32 252.02547),(33 255.17549),(34 261.71164),(35 261.69922),(36 258.8412),(37 252.47102),(38 247.774),(39 234.6079),(40 224.0646),(41 217.97333),(42 219.86832),(43 218.33252),(44 218.18216),(45 211.04558),(46 208.69687),(47 204.19995),(48 202.11395),(49 198.59096),(50 197.5434),(51 201.79944),(52 202.73755),(53 197.79788),(54 186.05675),(55 180.43105),(56 181.87773),(57 184.06256),(58 184.93567),(59 183.16406),(60 182.30869),(61 184.83812),(62 185.82045),(63 195.08804),(64 200.06532),(65 199.59222),(66 194.92094),(67 190.02693),(68 192.44969),(69 188.52893),(70 182.68356),(71 177.19696),(72 177.88919),(73 178.90172),(74 187.47768),(75 190.86188),(76 194.42596),(77 193.06953),(78 194.28632),(79 194.25633),
(1 29.73848),(2 45.210648),(3 65.357254),(4 80.870476),(5 87.434616),(6 97.18216),(7 100.51812),(8 103.703285),(9 101.40498),(10 105.72344),(11 106.982155),(12 111.21004),(13 121.718124),(14 127.63657),(15 136.90576),(16 144.29507),(17 141.17422),(18 139.23357),(19 139.58765),(20 143.48215),(21 147.4474),(22 151.20038),(23 155.2853),(24 165.77808),(25 170.43054),(26 172.66878),(27 175.67596),(28 181.79233),(29 184.41962),(30 191.59186),(31 193.49681),(32 190.00165),(33 188.43494),(34 195.03716),(35 195.8601),(36 189.6313),(37 183.95618),(38 183.94617),(39 184.80327),(40 183.08746),(41 180.26295),(42 180.42348),(43 181.78961),(44 183.0802),(45 182.30421),(46 176.96353),(47 171.69821),(48 168.14952),(49 159.19698),(50 154.03918),(51 154.34987),(52 160.25452),(53 159.40977),(54 157.15388),(55 152.94464),(56 151.91122),(57 151.3682),(58 150.8718),(59 148.85446),(60 152.22026),(61 149.02629),(62 147.26878),(63 144.9156),(64 146.49255),(65 146.36035),(66 148.77419),(67 152.2311),(68 158.89359),(69 158.51582),(70 154.78967),(71 146.90929),(72 144.87419),(73 142.74109),(74 146.15865),(75 148.99619),(76 153.99234),(77 157.92886),(78 160.5413),(79 160.53426),
